id	outcome	previous_title	reviewed_title	concurrent_removal_reason
TCS-0491	renamed	Can every fixed-dimensional Tarski problem be solved with O(log² n) queries?	Log-squared query complexity for fixed-dimensional Tarski	
TCS-0492	renamed	Is containment of conjunctive queries under bag semantics decidable?	Conjunctive-query containment under bag semantics	
TCS-0494	retained	Finite controllability from bounded derivation	Finite controllability from bounded derivation	
TCS-0496	retained	Necessary size of query lineages	Necessary size of query lineages	
TCS-0499	retained	Query evaluation with treewidth parameter	Query evaluation with treewidth parameter	
TCS-0500	retained	Recognizing safe probabilistic queries	Recognizing safe probabilistic queries	
TCS-0502	retained	Tractable probability versus tractable lineage	Tractable probability versus tractable lineage	
TCS-0504	retained	Uniform algorithms across tractable CSPs	Uniform algorithms across tractable CSPs	
TCS-0505	retained	Uniform reliability of homomorphism-closed queries	Uniform reliability of homomorphism-closed queries	
TCS-0506	renamed	Is private PAC sample complexity polynomial in VC dimension and log-star Littlestone dimension?	Private PAC sample complexity from VC and Littlestone dimensions	
TCS-0507	renamed	Optimal Rates for Stochastic Decision-Theoretic Online Learning Under Differentially Privacy	Optimal regret for private stochastic online learning	
TCS-0510	renamed	Do you pay for Privacy in Online learning?	Cost of privacy in online learning	
TCS-0512	retained	Constant-locality non-signaling versus quantum LCL separation	Constant-locality non-signaling versus quantum LCL separation	
TCS-0515	renamed	Does sublinear deterministic volume always collapse to O(log* n)?	Deterministic volume gap	
TCS-0517	renamed	Can deterministic LOCAL coloring use a near-linear palette in log-star n rounds?	Near-linear-palette LOCAL coloring in O(log* n) rounds	
TCS-0519	retained	Bipartite maximal matching with polynomial-in-degree volume	Bipartite maximal matching with polynomial-in-degree volume	
TCS-0522	retained	Quantum 3-coloring of cycles in o(log* n) rounds	Quantum 3-coloring of cycles in o(log* n) rounds	
TCS-0524	renamed	Can deterministic (Delta+1)-coloring beat square-root dependence on degree?	LOCAL coloring below square-root degree dependence	
TCS-0535	retained	Vertex Connectivity in the LOCAL Model	Vertex Connectivity in the LOCAL Model	
TCS-0536	renamed	An Open Problem in Dynamic Edge Coloring	Dynamic edge coloring	
TCS-0537	renamed	Open Problem: Dynamic Brooks’ Theorem	Dynamic Brooks’ theorem	
TCS-0538	renamed	Open Problem: Low-Degree Spanning Tree	Low-degree spanning trees	
TCS-0540	retained	Communication Complexity of Max-Flow	Communication Complexity of Max-Flow	
TCS-0541	retained	Dynamic Complexity of Low-Stretch Spanning Trees	Dynamic Complexity of Low-Stretch Spanning Trees	
TCS-0543	retained	Dynamic Maximal Matching	Dynamic Maximal Matching	
TCS-0545	retained	Reducing weighted matching to unweighted matching	Reducing weighted matching to unweighted matching	
TCS-0553	retained	Minimal dominating sets enumeration and hypergraph colorings	Minimal dominating sets enumeration and hypergraph colorings	
TCS-0556	retained	Strong polynomial delay conjectures	Strong polynomial delay conjectures	
TCS-0557	retained	Truly subquadratic algorithms for 3SUM	Truly subquadratic algorithms for 3SUM	
TCS-0560	retained	Fine-grained reductions from Hitting Set to 3SUM	Fine-grained reductions from Hitting Set to 3SUM	
TCS-0562	retained	Refuting nondeterministic SETH	Refuting nondeterministic SETH	
TCS-0563	retained	Subexponential savings for balanced quantified Boolean formulas	Subexponential savings for balanced quantified Boolean formulas	
TCS-0571	retained	Positional Nash Equilibria	Positional Nash Equilibria	
TCS-0575	renamed	Tighten the complexity of solving random-turn games	Complexity of random-turn games	
TCS-0587	retained	Polylogarithmic treewidth with forbidden induced minors	Polylogarithmic treewidth with forbidden induced minors	
TCS-0588	renamed	Albertson’s chromatic-number crossing conjecture	Albertson’s conjecture	
TCS-0594	renamed	Is 3-colorability polynomial-time decidable on diameter-two graphs?	3-colorability of diameter-two graphs	
TCS-0597	renamed	Parameterized complexity of the coloring problems for H-free graphs	Parameterized coloring of H-free graphs	
TCS-0611	retained	Bipartite Exact Matching: deterministic polynomial time	Bipartite Exact Matching: deterministic polynomial time	
TCS-0619	retained	Reachability in Low-Dimensional VASS	Reachability in Low-Dimensional VASS	
TCS-0624	retained	Language Equivalence between Nondeterministic and Deterministic One-Counter Machines	Language Equivalence between Nondeterministic and Deterministic One-Counter Machines	
TCS-0632	retained	Complexity of fixed VAS reachability	Complexity of fixed VAS reachability	
TCS-0633	retained	Eventual non-negativity of Matrices	Eventual non-negativity of Matrices	
TCS-0640	retained	Shortest runs in 3-D VASS	Shortest runs in 3-D VASS	
TCS-0643	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The discrepancy contribution combines different norms, domains and permutation-structure questions, with no single remaining target after the recorded counterexample. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/DagRep.13.8.106.
TCS-0645	retained	Standard information versus linear information for Lp -approximation	Standard information versus linear information for Lp -approximation	
TCS-0646	retained	All-constant-factor parameterized approximation hardness of SVP in l1	All-constant-factor parameterized approximation hardness of SVP in l1	
TCS-0647	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The intended conditional lattice lower bound permits an unnamed norm and an unspecified class of standard hypotheses, so its premise and task are not fixed. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://www.cs.umd.edu/~gasarch/open/svp-color.pdf.
TCS-0648	retained	Constant-gap hardness of unique SVP	Constant-gap hardness of unique SVP	
TCS-0651	retained	Deterministic NP-hardness reductions for Euclidean SVP	Deterministic NP-hardness reductions for Euclidean SVP	
TCS-0652	retained	Dimension-preserving search-to-decision reductions for SVP	Dimension-preserving search-to-decision reductions for SVP	
TCS-0653	retained	Explicit quantum exponential-time lower bounds for Euclidean SVP	Explicit quantum exponential-time lower bounds for Euclidean SVP	
TCS-0655	retained	Polynomial-factor SVP hardness from standard assumptions	Polynomial-factor SVP hardness from standard assumptions	
TCS-0656	retained	Reducing factoring or discrete logarithms to approximate SVP	Reducing factoring or discrete logarithms to approximate SVP	
TCS-0657	retained	Smaller-factor coNP or coAM certificates for SVP	Smaller-factor coNP or coAM certificates for SVP	
TCS-0658	retained	Standard-assumption hardness for cryptographic-factor SVP	Standard-assumption hardness for cryptographic-factor SVP	
TCS-0659	retained	Stronger worst-case reductions to SIS and LWE	Stronger worst-case reductions to SIS and LWE	
TCS-0660	retained	Sub-square-root approximation in coMA for SVP	Sub-square-root approximation in coMA for SVP	
TCS-0661	retained	SVP hardness for fixed-rank module lattices	SVP hardness for fixed-rank module lattices	
TCS-0662	retained	Unconditional exponential hardness of n^(1+ε)-GapSVP	Unconditional exponential hardness of n^(1+ε)-GapSVP	
TCS-0663	renamed	Is Interaction Necessary for Order-Optimal 1-bit Mean Estimation?	Interaction in optimal one-bit mean estimation	
TCS-0664	renamed	Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent?	Distribution dependence of deep-learning advantages	
TCS-0668	renamed	Optimal Instance-Dependent Sample Complexity for finding Nash Equilibrium in Two Player Zero-Sum Matrix games	Instance-optimal equilibrium identification in zero-sum matrix games	
TCS-0670	renamed	Can Local Regularization Learn All Multiclass Problems?	Local regularization for multiclass learning	
TCS-0671	retained	Direct Sums in Learning Theory	Direct Sums in Learning Theory	
TCS-0672	retained	Tight Characterization of Instance-Optimal Identity Testing	Tight Characterization of Instance-Optimal Identity Testing	
TCS-0673	renamed	Is There a First-Order Method that Only Converges to Local Minimax Optima?	First-order convergence to local minimax optima	
TCS-0677	renamed	Properly learning decision trees in polynomial time?	Proper decision-tree learning in polynomial time	
TCS-0681	renamed	How fast can a multiclass test set be overfit?	Multiclass test-set overfitting	
TCS-0682	retained	Monotonicity of Learning	Monotonicity of Learning	
TCS-0683	retained	Improper learning of mixtures of Gaussians	Improper learning of mixtures of Gaussians	
TCS-0684	renamed	The Dependence of Sample Complexity Lower Bounds on Planning Horizon	Planning-horizon dependence of sample complexity	
TCS-0687	renamed	Best Arm Identification: Almost Instance-Wise Optimality and the Gap Entropy Conjecture	Gap-entropy conjecture	
TCS-0689	retained	Property Elicitation and Elicitation Complexity	Property Elicitation and Elicitation Complexity	
TCS-0691	retained	Recursive Teaching Dimension Versus VC Dimension	Recursive Teaching Dimension Versus VC Dimension	
TCS-0694	renamed	The Statistical Query Complexity of Learning Sparse Halfspaces	Statistical-query complexity of sparse halfspaces	
TCS-0700	retained	Hardness of Correlated Prophet Inequality	Hardness of Correlated Prophet Inequality	
TCS-0708	retained	Order Optimal Regret Bounds for Kernel-Based Reinforcement Learning	Order Optimal Regret Bounds for Kernel-Based Reinforcement Learning	
TCS-0711	retained	Model Selection for Contextual Bandits	Model Selection for Contextual Bandits	
TCS-0715	retained	Efficient Online Sparse Regression	Efficient Online Sparse Regression	
TCS-0716	retained	Online Local Learning	Online Local Learning	
TCS-0722	renamed	Polynomial linearly-convergent method for g-convex optimization?	Polynomial-time linear convergence for geodesically convex optimization	
TCS-0724	renamed	The Oracle Complexity of Convex Optimization with Limited Memory	Limited-memory convex optimization	
TCS-0725	retained	Second-order cone representability of semialgebraic convex hulls	Second-order cone representability of semialgebraic convex hulls	
TCS-0728	renamed	The Oracle Complexity of Smooth Convex Optimization in Nonstandard Settings	Smooth convex optimization in nonstandard oracle models	
TCS-0734	retained	FPT Inapproximability Results Beyond Gap-ETH	FPT Inapproximability Results Beyond Gap-ETH	
TCS-0761	retained	Fine-grained complexity of k-LCS	Fine-grained complexity of k-LCS	
TCS-0771	retained	Computational complexity of planar treewidth	Computational complexity of planar treewidth	
TCS-0775	retained	Optimal exact-distance labels for planar graphs	Optimal exact-distance labels for planar graphs	
TCS-0784	renamed	Existence of Polynomial Kernel for Edge-Disjoint Paths	Polynomial kernels for Edge-Disjoint Paths	
TCS-0787	retained	Lower Bounds for Computing Treewidth	Lower Bounds for Computing Treewidth	
TCS-0799	retained	Converting CNF to DNF	Converting CNF to DNF	
TCS-0800	retained	Cutwidth	Cutwidth	
TCS-0801	retained	Directed Hamiltonicity	Directed Hamiltonicity	
TCS-0805	retained	Exact Counting of Linear Extensions	Exact Counting of Linear Extensions	
TCS-0808	retained	Maximum Acyclic Subgraph	Maximum Acyclic Subgraph	
TCS-0809	retained	Mincost flow in planar graphs	Mincost flow in planar graphs	
TCS-0811	retained	Monochromatic Rectangles in Low-Rank Matrices	Monochromatic Rectangles in Low-Rank Matrices	
TCS-0815	retained	Relation between permanent computation and SETH	Relation between permanent computation and SETH	
TCS-0816	retained	Shortest common superstring problem	Shortest common superstring problem	
TCS-0818	renamed	The Complexity of #k-SAT	Complexity of #k-SAT	
TCS-0834	retained	Estimating a Graph's Degree Distribution	Estimating a Graph's Degree Distribution	
TCS-0836	retained	Non-Adaptive Group Testing	Non-Adaptive Group Testing	
TCS-0839	retained	AM vs. NP for Proofs of Proximity in Distribution Testing	AM vs. NP for Proofs of Proximity in Distribution Testing	
TCS-0841	retained	Equivalence Testing with Conditional Samples	Equivalence Testing with Conditional Samples	
TCS-0847	retained	Query complexity of directed acyclicity testing with bidirectional access	Query complexity of directed acyclicity testing with bidirectional access	
TCS-0848	retained	Testing Submodularity	Testing Submodularity	
TCS-0849	retained	Group Testing	Group Testing	
TCS-0854	renamed	Does derandomizing Promise-ZPP derandomize Promise-BPP?	Promise-ZPP versus Promise-BPP derandomization	
TCS-0855	retained	Query efficiency of PRGs constructed from arbitrary OWFs	Query efficiency of PRGs constructed from arbitrary OWFs	
TCS-0856	retained	Seed efficiency of PRGs constructed from arbitrary OWFs	Seed efficiency of PRGs constructed from arbitrary OWFs	
TCS-0858	retained	Complexity of the EPR Hamiltonian	Complexity of the EPR Hamiltonian	
TCS-0860	renamed	Find the complexity of Quantum Approximate Counting (QXC)	Complexity of Quantum Approximate Counting	
TCS-0861	renamed	Is QMA(2) in BQEXP?	QMA(2) versus BQEXP	
TCS-0862	renamed	Is QRG with constant rounds in PSPACE?	Constant-round QRG versus PSPACE	
TCS-0866	retained	Learning Quantum Circuits with Queries	Learning Quantum Circuits with Queries	
