176	Neeraj Kayal	0010	6612	Arithmetic circuit lower bounds and the power of branching programs.
177	Nitin Saxena	7113	6614	Identity testing and deterministic polynomial factorization.
178	Amir Shpilka	7113	6613	Derandomization and the formula complexity of algebraic computation.
179	Shubhangi Saraf	7269	1020	Algebraic lower bounds and local decoding.
180	Valentine Kabanets	1022	0021	Derandomization and the hardness of computing circuit size.
181	Christopher Umans	0007	1013	Algebraic multiplication algorithms and explicit pseudorandom objects.
182	Peter Bürgisser	7262	6666	Tensor asymptotics and algebraic lower bounds.
183	Ketan Mulmuley	6611	0005	Orbit geometry and the central separations of algebraic complexity.
184	Hendrik Lenstra	7264	6620	Integer programming and deterministic computational number theory.
185	Arjen Lenstra	6617	7223	Integer factorization and fast multiprecision arithmetic.
186	Eshan Chattopadhyay	7271	1016	Optimal explicit randomness extraction.
187	Xin Li	7271	1015	Multi-source and seeded extraction near their information-theoretic limits.
188	Ronen Shaltiel	1018	1005	Hardness-based pseudorandomness and structured weak random sources.
189	Anup Rao	6603	0013	Communication, information and robust interactive coding.
190	Gábor Tardos	new-beck-fiala	6603	Discrepancy and communication complexity of graph predicates.
191	Ryan O’Donnell	6604	6664	Fourier analysis and the geometry of Boolean threshold functions.
192	Shachar Lovett	6603	6581	Communication rank and the Fourier structure of DNF.
193	Swastik Kopparty	1020	1011	Local decoding and Reed–Solomon list decoding.
194	Atri Rudra	1337	6859	Efficient list decoding and explicit capacity-level code construction.
195	Mary Wootters	6609	7267	Local access to encoded data and the binary rate-distance frontier.
196	Leonard Adleman	7276	7265	The arithmetic assumptions behind RSA and deterministic prime generation.
197	Whitfield Diffie	7229	6618	The weakest basis for key exchange and discrete-logarithm security.
198	Martin Hellman	6546	7276	Cryptographic inversion and the relationship between RSA and factoring.
199	Moni Naor	6547	7275	Minimal assumptions and the information complexity of secret sharing.
200	Ran Canetti	6548	6552	Security under active attack and composable noninteractive proof primitives.
201	Mihir Bellare	6548	6547	The foundations of chosen-ciphertext security and collision resistance.
202	Phillip Rogaway	7167	6546	Precisely defined security guarantees and the structural limits of symmetric primitives.
203	Victor Shoup	6618	7276	Generic-group and arithmetic assumptions in public-key cryptography.
204	Yuval Ishai	7275	2732	Information complexity of secret sharing and distributed function evaluation.
205	Sanjam Garg	6550	7279	The weakest foundations of obfuscation and succinct arguments.
206	Zvika Brakerski	6551	7280	Homomorphic encryption and lattice-based one-way structure.
207	Eli Ben-Sasson	7268	7279	PCP parameters and succinct verification of general computations.
208	Tal Rabin	7275	6549	Threshold information sharing and complete secure-computation primitives.
209	Tal Malkin	6549	7274	The assumption hierarchy for secure computation and key agreement.
210	Xiaoyun Wang	6547	6454	Collision resistance as an abstract primitive and concrete full-round hash security.
211	Yevgeniy Dodis	1015	1024	Extracting usable randomness from imperfect sources.
212	Rafail Ostrovsky	new-pir-owf	new-offline-oram	Private access to outsourced data and the inherent overhead of oblivious memory.
213	Amit Sahai	6550	6552	Obfuscation and noninteractive zero knowledge from weak assumptions.
214	Brent Waters	7278	7277	The assumption hierarchy for advanced public-key encryption.
215	Chris Peikert	6551	7280	Worst-case lattice foundations and quantum attacks on lattice problems.
216	Daniele Micciancio	6619	6667	The complexity and space requirements of lattice algorithms.
217	Elette Boyle	2732	7275	Distributed point functions and general secret-sharing complexity.
218	Michael Kearns	6542	5358	Noise-tolerant learning and the limits of efficient PAC learning.
219	Yoav Freund	6581	7294	The structure underlying Boolean learning and weak-to-strong learning.
220	Shai Ben-David	6541	0691	Combinatorial characterizations of learnability and compression.
221	Sanjoy Dasgupta	new-hierarchical-clustering	6659	The approximation complexity of hierarchical and center-based clustering.
222	Nati Srebro	7298	0679	Computational-statistical gaps and distribution-independent generalization.
223	Sham Kakade	new-linear-bellman	0708	Efficient reinforcement learning with function approximation.
224	Elad Hazan	1529	new-calibration	Efficient online optimization with limited feedback.
225	Sébastien Bubeck	6576	new-polylog-kserver	High-dimensional online geometry and randomized service problems.
226	Nicolò Cesa-Bianchi	0711	6577	Sequential prediction and partial-information learning.
227	Gábor Lugosi	7296	6523	Robust estimation and the statistical foundations of learning.
228	Maria-Florina Balcan	new-hierarchical-clustering	7293	Clustering objectives and computationally efficient classification.
229	Adam Klivans	6543	0677	Efficient learning of structured Boolean functions.
230	Vitaly Feldman	0506	7236	The statistical and computational power of private learning.
231	Gautam Kamath	7296	7236	Robust high-dimensional estimation and private data analysis.
232	Jerry Li	7295	0054	Latent-variable learning and computational-statistical tradeoffs.
233	Kobbi Nissim	0506	6673	The sample complexity and accuracy limits of differential privacy.
234	Adam Smith	0507	7236	Private learning under interaction and simultaneous statistical release.
235	Frank McSherry	6673	7236	Private continual data processing and general query answering.
236	Santosh Vempala	6523	7240	Convex-body geometry and the complexity of polyhedral representations.
237	Alistair Sinclair	6628	6621	Approximate counting through Markov-chain sampling.
238	Martin Dyer	new-counting-dichotomy	1004	Approximate counting and classification of counting CSPs.
239	Leslie Ann Goldberg	7221	6671	Approximation-preserving complexity of counting graph structures.
240	Eric Vigoda	6621	6628	Sampling graph colorings and perfect matchings.
241	Dana Randall	6668	6523	Mixing times for constrained combinatorial and statistical-mechanical systems.
242	Bernhard Haeupler	6584	0013	Network coding and reliable interactive communication.
243	Fabian Kuhn	6557	6554	Distributed lower bounds and local randomized algorithms.
244	Mohsen Ghaffari	6499	6505	The LOCAL and massively parallel complexity of symmetry breaking.
245	Baruch Awerbuch	6506	2997	Distributed graph algorithms and network-wide coordination.
246	Hagit Attiya	7304	7303	The power of shared-memory primitives and consensus communication.
247	Faith Ellen	3416	7304	Consensus hierarchies and the computational strength of queues.
248	Nir Shavit	3416	7304	Topological constraints on wait-free shared-memory tasks.
249	Valerie King	7302	6625	Byzantine agreement and dynamic graph connectivity.
250	Jelani Nelson	6662	0984	Sparse recovery and explicit dimension-reducing maps.
251	Sofya Raskhodnikova	1033	0848	Sublinear testing of structural properties of functions.
252	Edith Cohen	0946	0973	Sketchable distances and compact summaries of large data.
253	Sepehr Assadi	6556	6505	Graph streaming and communication lower bounds.
254	Lov Grover	0029	0034	The largest possible quantum query advantages and their space costs.
255	Andris Ambainis	0033	6605	Quantum queries, approximation polynomials and classical simulation barriers.
256	John Watrous	6448	0862	Quantum proof systems and interactive game complexity.
257	Ronald de Wolf	6450	6449	Quantum communication and the value of quantum advice.
258	Richard Jozsa	7299	7300	The border between classically simulable and hard quantum processes.
259	David Deutsch	0036	0037	The fundamental computational power and limits of quantum computation.
260	Aram Harrow	6516	0861	Entanglement, many-body structure and quantum proof complexity.
261	Fernando Brandão	6446	6518	Quantum constraint satisfaction and the structure of entanglement.
262	Henry Yuen	6520	6447	Undecidability phenomena and efficient quantum verification.
263	Jeffrey Ullman	0492	6645	The expressive and enumeration complexity of database queries.
264	Ronald Fagin	7232	7195	Logical characterizations of complexity classes.
265	Georg Gottlob	0494	6680	Existential-rule queries and expressive ontology reasoning.
266	Leonid Libkin	0497	0488	Query determinacy and information-theoretic database bounds.
267	Dexter Kozen	4245	6643	Fixpoint games and decision problems in modal logic.
268	Neil Immerman	7311	0004	Descriptive complexity and unambiguous space computation.
269	Bruno Courcelle	6654	6678	The boundary of graph-structural logical metatheorems.
270	Wolfgang Thomas	6561	6564	Algebraic characterizations of definability by automata and logic.
271	Géraud Sénizergues	0164	6563	Equivalence of grammar and transducer models.
272	Javier Esparza	5773	6650	Verification of counter systems and recursive higher-order processes.
273	Joël Ouaknine	5773	6566	The decidability of zero events in discrete and continuous linear dynamics.
274	Patricia Bouyer	7309	7310	Parametric timed systems and quantitative continuous-time verification.
275	Kim Larsen	6567	6568	Quantitative verification and stochastic control models.
276	Orna Kupferman	4245	6568	Game-theoretic foundations of reactive synthesis.
277	Alexandra Silva	6559	6558	Equational, logical and semantic descriptions of automata.
278	Catuscia Palamidessi	6608	7215	Information-flow limits and the computability of information quantities.
279	Thierry Coquand	6569	6583	Foundational expressiveness and consistency questions in dependent type theory.
280	Gérard Huet	0171	6641	Normalization and unification.
281	Peter O’Hearn	6562	6650	Decision boundaries of program logics and termination reasoning.
282	Andrew Pitts	6570	7306	Denotational models and their equational theories.
283	Luke Ong	6582	6563	Higher-order recursion and equivalence of tree-producing programs.
284	Lars Birkedal	6569	6650	Expressive program logics and dependent-type foundations for verification.
285	Tobias Nipkow	6644	7194	Termination and decision procedures for symbolic reasoning.
286	Lawrence Paulson	6643	1098	Consistency of proof-assistant foundations and proof-search decidability.
287	Xavier Leroy	6644	6583	Machine-checked program reasoning and normalization of typed calculi.
288	Michael Fellows	6592	6660	The defining tractability barrier and preprocessing limits of parameterized complexity.
289	Fedor Fomin	7181	0553	Kernelization and output-efficient enumeration of graph structures.
290	Daniel Lokshtanov	6595	7313	Parameterized complexity and exact exponential-time algorithms.
291	Marek Cygan	7233	6594	Single-exponential parameter dependence in combinatorial algorithms.
292	Andrei Bulatov	6636	new-counting-dichotomy	Algebraic classifications of constraint satisfaction and counting.
293	Dmitriy Zhuk	6635	6637	Promise constraint satisfaction beyond the resolved finite CSP dichotomy.
294	Constantinos Daskalakis	7286	new-calibration	The complexity of computing and approximating equilibria.
295	Ariel Procaccia	0011	6633	The existence and computation of fair allocations.
296	Vincent Conitzer	6634	7207	Computational social choice and fair division.
297	Shahar Dobzinski	6632	6674	The approximation limits imposed by truthful mechanisms.
298	Lenore Blum	new-real-pnp	7230	Complexity and decidability over the real numbers.
299	André Nies	6646	6648	Definability, computability and algorithmic randomness.
300	Ming Li	5501	6648	Algorithmic information in communication and resource-bounded randomness.
