id,title,category,decision,reason
TCS-2481,"We suspect that Q(MODn ) = Θ(n3/2 ), but we leave open the problem of closing the gap between the upper and lower bounds in […]",Quantum computation,quarantined,Uzavírá exponentovou mezeru pro konkrétní turnajovou úlohu. Nejde o obecnou charakterizaci kvantových dotazů ani o centrální grafový algoritmický problém.
TCS-2559,"Can we achieve the additive complexity, i.e., O(t+polylog(1/ϵ))?",Quantum computation,retained,Not selected for removal in this pass.
TCS-2650,"Assuming QETH or QSETH, is MQCSP, UMCSP, or SMCSP quantumly hard?",Quantum computation,retained,Not selected for removal in this pass.
TCS-2671,"For every n-qubit unitary transformation U , does there exists an oracle A : {0, 1}∗ → {0, 1} such that a BQPA machine can […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-2678,"Consider a quantum algorithm Q that makes T queries to x ∈ {0, 1}N .",Quantum computation,quarantined,"Uložená věta pouze zavádí algoritmus, vstup a počet dotazů. Neobsahuje otázku ani domněnku, takže ji nelze počítat jako samostatný problém."
TCS-2768,"We conjecture that, as in the qubit case [13], any qutrit unitary with entries in T[ζ] can be exactly synthesised over Clifford+T .",Quantum computation,quarantined,Rozšiřuje přesnou syntézu na qutrity s koeficienty v určeném okruhu. Pro výběr zásadních bariér je tato aritmeticky omezená syntéza příliš specifická.
TCS-2799,"There exists a poly(n, 1ε ) time algorithm A that outputs a (1 - ε)-approximate cut of a random d-regular graph G with high probability […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-2913,Can we prove tight bounds on quantum speed-ups?,Quantum computation,quarantined,"Samotné přání těsných mezí neurčuje úlohu, model ani mezeru. Konkrétní problémy kvantového zrychlení už atlas obsahuje a jsou vhodnějšími jednotkami výběru."
TCS-2950,"We view the existence of a dual-mode CVQC in the QROM as evidence that our construction template is sound, and we leave constructing quantum null-iO […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-3083,It remains an open problem to derive a matching lower bound for the randomized communication complexity of ABC. ?,Quantum computation,quarantined,Jde o dorovnání dolní meze pro konkrétní úlohu ABC. Obecnou sílu komunikace s jedním čistým qubitem zastupuje širší separační otázka.
TCS-3130,We conjecture that there exists a constant c > 0 such that when D is √ the distribution over 2D random circuits of depth d […],Quantum computation,retained,Not selected for removal in this pass.
TCS-3140,Any quantum algorithm for finding K disjoint collisions in a random function f : [M ] → [N ] with success probability 2/3 must satisfy […],Quantum computation,retained,Not selected for removal in this pass.
TCS-3218,Would it be possible to establish the post-quantum security of memory hard functions through a similar reduction in the parallel quantum random oracle model?,Quantum computation,quarantined,Žádá přenos určité bezpečnostní redukce do paralelního kvantového orákulového modelu. Zásadnost bezpečnosti paměťově náročných funkcí sama nedává této metodické variantě samostatnou prioritu.
TCS-3257,Can we show that Q Clawn→n2/3 = Ω n2/3 ?,Quantum computation,quarantined,Zpřesňuje dotazovou dolní mez při konkrétní velikosti oboru hodnot; obecné kolizní a časoprostorové hranice mají podstatně širší význam.
TCS-3275,Error reduction of StoqMA remains open since this class was defined in 2006 [9] because this class does not permit amplification of gap between thresholds […],Quantum computation,retained,Not selected for removal in this pass.
TCS-3483,Can WZ∗Z2 be recognized by a 2QCFA with bounded error?,Quantum computation,quarantined,Rozhodnutelnost slovního problému konkrétní grupy jedním kvantovým automatem je úzký klasifikační případ; nenahrazuje obecnou charakterizaci síly tohoto modelu.
TCS-3573,"Can we prove the conjecture that the purified and discrete query input models are equivalent for classical distributions, with respect to the query complexity of […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-3608,In particular we do not know if the theorem still applies if F is merely an equivalence of categories.,Quantum computation,quarantined,Ptá se na oslabení předpokladu o funktoru v konkrétní větě o úplnosti. Jde o technické rozšíření existujícího výsledku.
TCS-3709,We do not know how to lift Q or Q0 to their analogous communication measures; this is likely to be significantly harder.,Quantum computation,retained,Not selected for removal in this pass.
TCS-3881,"We leave open the problem of determining the complexity of BQPO LH k,classical .",Quantum computation,retained,Not selected for removal in this pass.
TCS-3886,"Indeed, whether ∃ · BPP = MA remains an open question [11].",Quantum computation,retained,Not selected for removal in this pass.
TCS-4074,"Classically, it is still an open question whether the log(1/ε)-factor in the upper bound of [17] for (ε, δ)-proper PAC learning is necessary.",Quantum computation,retained,Not selected for removal in this pass.
TCS-4131,What is the relationship between PQMA[log] and PUQMA[log] ?,Quantum computation,retained,Not selected for removal in this pass.
TCS-4238,"Or, on the contrary, is the amount of certified randomness against no-signaling adversaries bounded also in the sequential scenario?",Quantum computation,retained,Not selected for removal in this pass.
TCS-4344,"As a consequence, the completeness of the ZX-calculus augmented with the supplementarity is an open question for any fragment which does not contain rational multiples […]",Quantum computation,quarantined,Úplnost s jedním přidaným pravidlem pro další fragmenty ZX-kalkulu je lokálnější než obecná axiomatizace kvantového uvažování; další samostatné místo jí nedávám.
TCS-4382,Is it true that quantum algorithms with 2 queries are equivalent to polynomials of degree 4?,Quantum computation,retained,Not selected for removal in this pass.
TCS-4419,Is it true that for any n-vertex graph H we have: (a) R(fH ) = Ω(αH · n)?,Quantum computation,retained,Not selected for removal in this pass.
TCS-4429,Do multi-source extractors remain secure also in the presence of non-signalling side information?,Quantum computation,retained,Not selected for removal in this pass.
TCS-4457,"We conjecture that the power of any two-qubit Hamiltonian obeys a dichotomy: either H is efficiently classicaly simulable in this model,",Quantum computation,retained,Not selected for removal in this pass.
TCS-4469,Is qq-QAM contained in BP · PP?,Quantum computation,retained,Not selected for removal in this pass.
TCS-4509,"A polynomial number of verifications is optimal for unconditionally secure schemes, nevertheless, a natural question that still remains open is whether we can have computationally […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-4579,"Could we simulate arbitrary von Neumann measurements as efficiently as the case of equatorial measurements, i.e. with O(n log n) bits of communication?",Quantum computation,quarantined,Rozšiřuje komunikačně efektivní simulaci z ekvatoriálních na obecná projektivní měření jednoho typu stavu. Obecné náklady klasické simulace provázání mají přednost.
TCS-4586,"While the query complexity of oracle identification in terms of M and N has been fully characterized, finding an optimal quantum algorithm for oip(C) remains […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-4595,What is the computational power conferred by 1 time-traveling qubit?,Quantum computation,quarantined,Výpočetní síla modelu s časovou smyčkou je modelová kuriozita vůči standardní kvantové výpočetní složitosti; do přísného výběru tisíce problémů ji nezařazuji.
TCS-4602,Which is a necessary condition for a family of MBQC resource states to be universal for the DQC1 computation?,Quantum computation,quarantined,Hledá pouze nutnou podmínku pro univerzalitu zdrojových stavů v omezené variantě měřením řízených výpočtů; cíl je příliš dílčí.
TCS-4615,The difficult question of whether or not the quantum entropy satisfies inequalities beyond positivity and SSA remains open for four or more parties.,Quantum computation,retained,Not selected for removal in this pass.
TCS-4642,What is the query complexity of verifying a given shift?,Quantum computation,quarantined,Ověřování již navrženého posunu je pomocná úloha k hidden shift. Zásadnější je samotné nalezení posunu a jeho kvantová algoritmická složitost.
TCS-4664,Can we extend the D(Bipartite Matchingn ) ≤ O(n3/2 log n) bound to general graphs?,Quantum computation,retained,Not selected for removal in this pass.
TCS-4696,Quantum Merkle Trees — Open Problem 2,Quantum computation,retained,Not selected for removal in this pass.
TCS-4697,Efficient Learning of Quantum States Prepared With Few Non-Clifford Gates — Question 10.2,Quantum computation,quarantined,Dolní mez je navázána na podprostor vymezený konkrétní větou a omezení na jednotlivé kopie. Jde o optimalitu dílčího kroku specializovaného učení.
TCS-4701,Spectral Gaps with Quantum Counting Queries and Oblivious State Preparation — Unresolved-question passage on page 20,Quantum computation,quarantined,Uložená otázka žádá analogii již odvozených dolních mezí pro hermitovské matice; nevymezuje novou obecnou bariéru spektrálních výpočtů.
TCS-4702,An adversary bound for quantum signal processing — Conjecture 4.15,Quantum computation,quarantined,"Domněnka propojuje dvě konkrétní formalizace vícerozměrného zpracování signálu. Je to otázka implementace uvnitř jedné techniky, nikoli obecná mez kvantových algoritmů."
TCS-4704,Information-theoretic generalization bounds for learning from quantum data — Open Problem 1,Quantum computation,quarantined,"Záznam žádá charakterizaci výkonnosti bez konkrétního tvrzení či cílové složitosti. Zásadní je samotná vzorková a výpočetní náročnost tomografie, nikoli tato neurčená formulace."
TCS-4707,Quantum channel coding: Approximation algorithms and strong converse exponents — Unresolved-question passage on page 28,Quantum computation,retained,Not selected for removal in this pass.
TCS-4708,Optimal Fermionic Joint Measurements for Estimating Non-Commuting Majorana Observables — Unresolved-question passage on page 15,Quantum computation,quarantined,Optimalizuje společné měření a robustnost nekompatibility určité rodiny fermionových observablí. Širší bariéry kvantového měření jsou pro atlas důležitější.
TCS-4709,Estimating the entanglement of random multipartite quantum states — Conjecture 1,Quantum computation,quarantined,Rovnost asymptotických limit pro dvě náhodné tensorové rodiny zpřesňuje konkrétní model náhodného provázání; nepředstavuje obecnou algoritmickou nebo složitostní hranici.
TCS-4712,Single-qubit gate teleportation provides a quantum advantage — Unresolved-question passage on page 31,Quantum computation,retained,Not selected for removal in this pass.
TCS-4713,Decoding Quasi-Cyclic Quantum LDPC Codes — Explicit open question on PDF page 10,Quantum computation,retained,Not selected for removal in this pass.
TCS-4715,Succinct Arguments for QMA from Standard Assumptions via Compiled Nonlocal Games — Explicit open question on PDF page 3,Quantum computation,retained,Not selected for removal in this pass.
TCS-4718,Low-Stabilizer-Complexity Quantum States Are Not Pseudorandom — Question 27,Quantum computation,retained,Not selected for removal in this pass.
TCS-4720,The Quantum and Classical Streaming Complexity of Quantum and Classical Max-Cut — Explicit open question on PDF page 2,Quantum computation,retained,Not selected for removal in this pass.
TCS-4724,Two-particle scattering on general graphs — Unresolved-question passage on page 20,Quantum computation,quarantined,"Pouhá existence nějakého omezení vedoucího k neuniverzalitě neurčuje netriviální hranici. Chybí konkrétní rodina omezení, jejíž klasifikace by byla zásadní."
TCS-4726,Lower T-count with faster algorithms — Unresolved-question passage on page 33,Quantum computation,retained,Not selected for removal in this pass.
TCS-4728,On the Computational Hardness of Quantum One-Wayness — Explicit open question on PDF page 7,Quantum computation,quarantined,Řeší úzké okno logaritmické délky výstupu. Obecné vztahy mezi pseudonáhodnými stavy a kvantovou jednosměrností ponechávám jako důležitější otázky.
TCS-4732,Agnostic Tomography of Stabilizer Product States — Unresolved-question passage on page 14,Quantum computation,quarantined,"Zrychlení z kvazipolynomiálního na polynomiální čas je skutečný algoritmický cíl, ale zde pro omezenou třídu součinových stabilizátorových stavů; širší tomografické bariéry mají přednost."
TCS-4734,Derandomised Tensor Product Gap Amplification for Quantum Hamiltonians — Explicit open question on PDF page 4,Quantum computation,retained,Not selected for removal in this pass.
TCS-4735,"An Unholy Trinity: TFNP, Polynomial Systems, and the Quantum Satisfiability Problem — Explicit open question on PDF page 11",Quantum computation,retained,Not selected for removal in this pass.
TCS-4737,Towards a Universal Gateset for QMA1 — Explicit open question on PDF page 2,Quantum computation,retained,Not selected for removal in this pass.
TCS-4742,Adaptive Online Learning of Quantum States — Unresolved-question passage on page 13,Quantum computation,quarantined,Doplňuje dolní mez pro dvě specializované varianty regretu. Obecná naučitelnost kvantových stavů a optimální online učení mají větší samostatný dosah.
TCS-4746,Enumerating Error Bounded Polytime Algorithms Through Arithmetical Theories — Explicit open question on PDF page 2,Quantum computation,retained,Not selected for removal in this pass.
TCS-4753,"Quantum Space, Ground Space Traversal, and How to Embed Multi-Prover Interactive Proofs into Unentanglement — Explicit open question on PDF page 12",Quantum computation,retained,Not selected for removal in this pass.
TCS-4761,On the Pure Quantum Polynomial Hierarchy and Quantified Hamiltonian Complexity — Unresolved-question passage on page 21,Quantum computation,quarantined,"Požadavek silnějších záruk než ve větě 18 nespecifikuje cílovou sílu. Obecný problém existence účinných disentanglerů tím nezpochybňuji, vyřazuji neurčený další krok."
TCS-4762,Quantum Merlin-Arthur with an Internally Separable Proof — Unresolved-question passage on page 9,Quantum computation,quarantined,"Amplifikace je zde požadována pro speciálně omezené interně separabilní svědky. Standardní QMA, QMA(2) a StoqMA mají přednost před další odvozenou třídou."
TCS-4769,Sensitivity and Query Complexity Under Uncertainty — Unresolved-question passage on page 16,Quantum computation,retained,Not selected for removal in this pass.
TCS-4770,Noisy Decoding by Shallow Circuits with Parities: Classical and Quantum (Extended Abstract) — Unresolved-question passage on page 7,Quantum computation,quarantined,"Výzva dekódovat další třídy kódů neuvádí konkrétní rodinu ani požadovaný práh. Je to směr rozšiřování výsledků, ne jednotlivý zásadní problém."
TCS-4771,Nondeterministic and Randomized Boolean Hierarchies in Communication Complexity — Explicit open question on PDF page 2,Quantum computation,retained,Not selected for removal in this pass.
TCS-4773,Oracle Complexity Classes and Local Measurements on Physical Hamiltonians — Unresolved-question passage on page 8,Quantum computation,retained,Not selected for removal in this pass.
TCS-4778,"A Qubit, a Coin, and an Advice String Walk into a Relational Problem — Unresolved-question passage on page 21",Quantum computation,retained,Not selected for removal in this pass.
TCS-4782,Vertex-Minor Universal Graphs for Generating Entangled Quantum Subsystems — Unresolved-question passage on page 15,Quantum computation,retained,Not selected for removal in this pass.
TCS-4789,Quantum Generalizations of the Polynomial Hierarchy with Applications to QMA(2) — Explicit open question on PDF page 6,Quantum computation,retained,Not selected for removal in this pass.
TCS-4790,Subset Sum Quantumly in 1.17^n — Explicit open question on PDF page 2,Quantum computation,retained,Not selected for removal in this pass.
TCS-4793,Query and Depth Upper Bounds for Quantum Unitaries via Grover Search — Question 1.14,Quantum computation,retained,Not selected for removal in this pass.
TCS-4796,Quantum Search-To-Decision Reductions and the State Synthesis Problem — Unresolved-question passage on page 17,Quantum computation,quarantined,Zpřísňuje přesnost jednorázové orákulové syntézy. Pro atlas má větší prioritu obecná realizovatelnost a složitost syntézy stavů.
TCS-4798,Optimizing Sparse SYK — Conjecture 4.7,Quantum computation,quarantined,Domněnka se týká velikosti sad stavů nezávislých na náhodné realizaci jednoho Hamiltoniánového modelu. Dopad je užší než obecná složitost základních stavů.
TCS-4799,Limits of Quantum Speed-Ups for Computational Geometry and Other Problems: Fine-Grained Complexity via Quantum Walks — Unresolved-question passage on page 9,Quantum computation,retained,Not selected for removal in this pass.
TCS-4800,The Complexity of Quantum Disjointness — Unresolved-question passage on page 8,Quantum computation,retained,Not selected for removal in this pass.
TCS-4811,How Hard Is Deciding Trivial Versus Nontrivial in the Dihedral Coset Problem? — Explicit open question on PDF page 2,Quantum computation,retained,Not selected for removal in this pass.
TCS-4813,The coherent measurement cost of coherence distillation — Conjecture 2,Quantum computation,quarantined,Hledá asymptotické dosažení konkrétní meze jednotlivými měřeními při IO destilaci; jde o jemnou optimalitu jedné úlohy resource theory.
TCS-4815,Complexity of Fermionic 2-SAT — Unresolved-question passage on page 26,Quantum computation,quarantined,"Ptá se, zda existují zajímavé matematické aplikace formalismu. Kritérium zajímavosti není definováno a formulace neudává rozhodovací ani konstrukční problém."
TCS-4832,Resource quantification for programming low-depth quantum circuits — Unresolved-question passage on page 23,Quantum computation,retained,Not selected for removal in this pass.
TCS-4833,A local automaton for the 2D toric code — Explicit open question on PDF page 12,Quantum computation,retained,Not selected for removal in this pass.
TCS-4835,A Complete Characterization of Unitary Quantum Space — Unresolved-question passage on page 12,Quantum computation,retained,Not selected for removal in this pass.
TCS-4842,Operational interpretation of the Stabilizer Entropy — Unresolved-question passage on page 10,Quantum computation,retained,Not selected for removal in this pass.
TCS-4857,The Pure-State Consistency of Local Density Matrices Problem: In PSPACE and Complete for a Class Between QMA and QMA(2) — Explicit open question on PDF page 8,Quantum computation,quarantined,Uložený výrok popisuje rovnost tříd pro jedinou kontrolu jako dosaženou skutečnost; žádná samostatná otevřená otázka v něm není vymezena.
TCS-4860,On the Complexity of Unique Quantum Witnesses and Quantum Approximate Counting — Explicit open question on PDF page 6,Quantum computation,retained,Not selected for removal in this pass.
TCS-4862,Multi-Armed Bandits and Quantum Channel Oracles — Conjecture 1,Quantum computation,retained,Not selected for removal in this pass.
TCS-4863,Quantum Learning Theory Beyond Batch Binary Classification — Unresolved-question passage on page 34,Quantum computation,quarantined,Porovnává několik konkrétních adversariálních modelů z jednoho článku. Bez obecnější charakterizace jde o sjednocení lokálních regretových odhadů.
TCS-4878,Efficient validation of Boson Sampling from binned photon-number distributions — Unresolved-question passage on page 17,Quantum computation,retained,Not selected for removal in this pass.
TCS-4882,Quantum 2-SAT on Low Dimensional Systems Is QMAsubscript{1}-Complete: Direct Embeddings and Black-Box Simulation — Explicit open question on PDF page 1,Quantum computation,retained,Not selected for removal in this pass.
TCS-4883,PDQMA = DQMA = NEXP: QMA with Hidden Variables and Non-Collapsing Measurements — Explicit open question on PDF page 3,Quantum computation,quarantined,Separace se týká modelu s nestandardním přístupem ke kvantovým trajektoriím. Oproti zásadním separacím standardní BQP má pro tento atlas nižší prioritu.
TCS-4892,Another Hamiltonian Cycle in Bipartite Pfaffian Graphs — Explicit open question on PDF page 3,Quantum computation,quarantined,Výňatek pouze připomíná zavedení PPA a známé zařazení úlohy. Neformuluje nový problém; důležitost PPA není důvod počítat historické pozadí jako další položku.
TCS-4894,Parity vs. AC0 with Simple Quantum Preprocessing — Explicit open question on PDF page 3,Quantum computation,retained,Not selected for removal in this pass.
TCS-4914,(No) Quantum Space-Time Tradeoff for USTCON — Unresolved-question passage on page 3,Quantum computation,retained,Not selected for removal in this pass.
TCS-4926,The Acrobatics of BQP — Explicit open question on PDF page 9,Quantum computation,quarantined,Hledá silnější kombinaci kolapsu a kvantového zrychlení v umělém orákulovém světě. Přednost mají samotné standardní separace a základní relativizační bariéry.
TCS-4927,The Classification of Reversible Bit Operations — Explicit open question on PDF page 2,Quantum computation,retained,Not selected for removal in this pass.
TCS-4930,Bounds in Sequential Unambiguous Discrimination of Multiple Pure Quantum States — Unresolved-question passage on page 13,Quantum computation,quarantined,Optimalizuje vzorky při zvláštním požadavku jednoznačného sekvenčního rozlišování. Obecná diskriminace a tomografie pokrývají důležitější informační hranice.
TCS-4951,Robust Quantum Entanglement at (Nearly) Room Temperature — Explicit open question on PDF page 6,Quantum computation,quarantined,Odhad životnosti konkrétní konstrukce je podproblém výzkumu samokorekce. Obecnou existenci samokorekční paměti ve třech rozměrech atlas ponechává.
TCS-4952,"Quantum Versus Randomized Communication Complexity, with Efficient Players — Explicit open question on PDF page 2",Quantum computation,retained,Not selected for removal in this pass.
TCS-4954,The Power of One Clean Qubit in Communication Complexity — Conjecture 25,Quantum computation,retained,Not selected for removal in this pass.
TCS-4977,"Quantum Polynomial Hierarchies: Karp-Lipton, Error Reduction, and Lower Bounds — Explicit open question on PDF page 3",Quantum computation,retained,Not selected for removal in this pass.
