sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
11,TCS-1881,Quantum catalytic space with imperfect resetting,"This interesting model resembles classical catalytic space classes with small errors in resetting, and we leave it as an open question to determine how it […]",Quantum computation,quarantined,individual_review,"Zkoumá variantu katalytické paměti s chybami při obnově. Nejprve má být zastoupena obecná síla katalytického prostoru, ne další volba jeho chybového modelu.",,,"This interesting model resembles classical catalytic space classes with small errors in resetting, and we leave it as an open question to determine how it […]",Quantum Catalytic Space,https://doi.org/10.4230/LIPIcs.TQC.2025.11
12,TCS-1950,Information-theoretic characterization of channel learning,Establish a quantum information-theoretic characterization of the performance in learning quantum-to-quantum channels in a query input model.,Quantum computation,quarantined,individual_review,"Požaduje obecnou informačněteoretickou charakterizaci učení kanálů, ale neurčuje kandidátní veličinu ani testovatelné tvrzení; je to výzkumný program místo jedné otázky.",,,Establish a quantum information-theoretic characterization of the performance in learning quantum-to-quantum channels in a query input model.,Information-theoretic generalization bounds for learning from quantum data,https://proceedings.mlr.press/v247/caro24a.html
13,TCS-2200,Constant hierarchy level for a Quantum Max-Cut relation,Does the optimal such relation (i.e. one precisely describing the feasible space) arise at a constant level k (with respect to d)?,Quantum computation,quarantined,individual_review,"Řeší, zda konkrétní relaci popíše konstantní úroveň relaxační hierarchie. To je pomocná geometrie jedné aproximační metody, nikoli samotná aproximační hranice Quantum Max-Cut.",,,Does the optimal such relation (i.e. one precisely describing the feasible space) arise at a constant level k (with respect to d)?,An Improved Quantum Max Cut Approximation via Maximum Matching,https://doi.org/10.4230/LIPIcs.ICALP.2024.105
14,TCS-2221,Other families with tuned pseudoentanglement,Do other families of quantum states achieve tightly tuned pseudoentanglement across any cut?,Quantum computation,quarantined,individual_review,Žádá další rodiny stavů s již sledovaným typem pseudoentanglementu. Bez nové bariéry nebo silnějšího cíle jde o rozšíření repertoáru konstrukcí.,,,Do other families of quantum states achieve tightly tuned pseudoentanglement across any cut?,Quantum Pseudoentanglement,https://doi.org/10.4230/LIPIcs.ITCS.2024.2
15,TCS-2398,Small-error entanglement-assisted equality,We also leave open the optimal communication complexity of equality with small error in the entanglement-assisted setting.,Quantum computation,quarantined,individual_review,Optimalizuje závislost na malé chybě u equality v modelu se sdíleným provázáním; obecné separace kvantové a klasické komunikace představují výrazně větší problém.,,,We also leave open the optimal communication complexity of equality with small error in the entanglement-assisted setting.,Tight Bounds for the Randomized and Quantum Communication Complexities of Equality with Small Error,https://doi.org/10.4230/LIPIcs.FSTTCS.2023.32
16,TCS-2481,Quantum queries for a tournament king variant,"We suspect that Q(MODn ) = Θ(n3/2 ), but we leave open the problem of closing the gap between the upper and lower bounds in […]",Quantum computation,quarantined,individual_review,Uzavírá exponentovou mezeru pro konkrétní turnajovou úlohu. Nejde o obecnou charakterizaci kvantových dotazů ani o centrální grafový algoritmický problém.,,,"We suspect that Q(MODn ) = Θ(n3/2 ), but we leave open the problem of closing the gap between the upper and lower bounds in […]",Randomized and Quantum Query Complexities of Finding a King in a Tournament,https://doi.org/10.4230/LIPIcs.FSTTCS.2023.30
17,TCS-2678,An algorithm making T quantum queries,"Consider a quantum algorithm Q that makes T queries to x ∈ {0, 1}N .",Quantum computation,quarantined,individual_review,"Uložená věta pouze zavádí algoritmus, vstup a počet dotazů. Neobsahuje otázku ani domněnku, takže ji nelze počítat jako samostatný problém.",,,"Consider a quantum algorithm Q that makes T queries to x ∈ {0, 1}N .",The Acrobatics of BQP,https://doi.org/10.4230/LIPIcs.CCC.2022.20
18,TCS-2768,Exact Clifford+T synthesis for qutrits,"We conjecture that, as in the qubit case [13], any qutrit unitary with entries in T[ζ] can be exactly synthesised over Clifford+T .",Quantum computation,quarantined,individual_review,Rozšiřuje přesnou syntézu na qutrity s koeficienty v určeném okruhu. Pro výběr zásadních bariér je tato aritmeticky omezená syntéza příliš specifická.,,,"We conjecture that, as in the qubit case [13], any qutrit unitary with entries in T[ζ] can be exactly synthesised over Clifford+T .",Qutrit Metaplectic Gates Are a Subset of Clifford+T,https://doi.org/10.4230/LIPIcs.TQC.2022.12
19,TCS-2913,Tight bounds on quantum speed-ups,Can we prove tight bounds on quantum speed-ups?,Quantum computation,quarantined,individual_review,"Samotné přání těsných mezí neurčuje úlohu, model ani mezeru. Konkrétní problémy kvantového zrychlení už atlas obsahuje a jsou vhodnějšími jednotkami výběru.",,,Can we prove tight bounds on quantum speed-ups?,Limits of Quantum Speed-Ups for Computational Geometry and Other Problems: Fine-Grained Complexity via Quantum Walks,https://doi.org/10.4230/LIPIcs.ITCS.2022.31
20,TCS-3083,Randomized communication lower bound for ABC,It remains an open problem to derive a matching lower bound for the randomized communication complexity of ABC. ?,Quantum computation,quarantined,individual_review,Jde o dorovnání dolní meze pro konkrétní úlohu ABC. Obecnou sílu komunikace s jedním čistým qubitem zastupuje širší separační otázka.,,,It remains an open problem to derive a matching lower bound for the randomized communication complexity of ABC. ?,The Power of One Clean Qubit in Communication Complexity,https://doi.org/10.4230/LIPIcs.MFCS.2021.69
21,TCS-3218,Memory-hard functions in the parallel QROM,Would it be possible to establish the post-quantum security of memory hard functions through a similar reduction in the parallel quantum random oracle model?,Quantum computation,quarantined,individual_review,Žádá přenos určité bezpečnostní redukce do paralelního kvantového orákulového modelu. Zásadnost bezpečnosti paměťově náročných funkcí sama nedává této metodické variantě samostatnou prioritu.,,,Would it be possible to establish the post-quantum security of memory hard functions through a similar reduction in the parallel quantum random oracle model?,On the Security of Proofs of Sequential Work in a Post-Quantum World,https://doi.org/10.4230/LIPIcs.ITC.2021.22
22,TCS-3257,Claw finding with a small range,Can we show that Q Clawn→n2/3 = Ω n2/3 ?,Quantum computation,quarantined,individual_review,Zpřesňuje dotazovou dolní mez při konkrétní velikosti oboru hodnot; obecné kolizní a časoprostorové hranice mají podstatně širší význam.,,,Can we show that Q Clawn→n2/3 = Ω n2/3 ?,A Note About Claw Function with a Small Range,https://doi.org/10.4230/LIPIcs.TQC.2021.6
23,TCS-3483,A group word problem for 2QCFA,Can WZ∗Z2 be recognized by a 2QCFA with bounded error?,Quantum computation,quarantined,individual_review,Rozhodnutelnost slovního problému konkrétní grupy jedním kvantovým automatem je úzký klasifikační případ; nenahrazuje obecnou charakterizaci síly tohoto modelu.,,,Can WZ∗Z2 be recognized by a 2QCFA with bounded error?,The Power of a Single Qubit: Two-Way Quantum Finite Automata and the Word Problem,https://doi.org/10.4230/LIPIcs.ICALP.2020.139
24,TCS-3608,Category equivalence in graphical quantum completeness,In particular we do not know if the theorem still applies if F is merely an equivalence of categories.,Quantum computation,quarantined,individual_review,Ptá se na oslabení předpokladu o funktoru v konkrétní větě o úplnosti. Jde o technické rozšíření existujícího výsledku.,,,In particular we do not know if the theorem still applies if F is merely an equivalence of categories.,"Completeness of Graphical Languages for Mixed States Quantum Mechanics (Track B: Automata, Logic, Semantics, and Theory of Programming)",https://doi.org/10.4230/LIPIcs.ICALP.2019.108
25,TCS-4344,Supplementarity and additional ZX fragments,"As a consequence, the completeness of the ZX-calculus augmented with the supplementarity is an open question for any fragment which does not contain rational multiples […]",Quantum computation,quarantined,individual_review,Úplnost s jedním přidaným pravidlem pro další fragmenty ZX-kalkulu je lokálnější než obecná axiomatizace kvantového uvažování; další samostatné místo jí nedávám.,,,"As a consequence, the completeness of the ZX-calculus augmented with the supplementarity is an open question for any fragment which does not contain rational multiples […]",Supplementarity is Necessary for Quantum Diagram Reasoning,https://doi.org/10.4230/LIPIcs.MFCS.2016.76
26,TCS-4579,Classical GHZ simulation for arbitrary measurements,"Could we simulate arbitrary von Neumann measurements as efficiently as the case of equatorial measurements, i.e. with O(n log n) bits of communication?",Quantum computation,quarantined,individual_review,Rozšiřuje komunikačně efektivní simulaci z ekvatoriálních na obecná projektivní měření jednoho typu stavu. Obecné náklady klasické simulace provázání mají přednost.,,,"Could we simulate arbitrary von Neumann measurements as efficiently as the case of equatorial measurements, i.e. with O(n log n) bits of communication?",Exact Classical Simulation of the GHZ Distribution,https://doi.org/10.4230/LIPIcs.TQC.2014.7
27,TCS-4595,One time-traveling qubit,What is the computational power conferred by 1 time-traveling qubit?,Quantum computation,quarantined,individual_review,Výpočetní síla modelu s časovou smyčkou je modelová kuriozita vůči standardní kvantové výpočetní složitosti; do přísného výběru tisíce problémů ji nezařazuji.,,,What is the computational power conferred by 1 time-traveling qubit?,One Time-traveling Bit is as Good as Logarithmically Many,https://doi.org/10.4230/LIPIcs.FSTTCS.2014.469
28,TCS-4602,Necessary resource-state conditions for DQC1 MBQC,Which is a necessary condition for a family of MBQC resource states to be universal for the DQC1 computation?,Quantum computation,quarantined,individual_review,Hledá pouze nutnou podmínku pro univerzalitu zdrojových stavů v omezené variantě měřením řízených výpočtů; cíl je příliš dílčí.,,,Which is a necessary condition for a family of MBQC resource states to be universal for the DQC1 computation?,Blindness and Verification of Quantum Computation with One Pure Qubit,https://doi.org/10.4230/LIPIcs.TQC.2014.176
29,TCS-4642,Verifying a given hidden shift,What is the query complexity of verifying a given shift?,Quantum computation,quarantined,individual_review,Ověřování již navrženého posunu je pomocná úloha k hidden shift. Zásadnější je samotné nalezení posunu a jeho kvantová algoritmická složitost.,,,What is the query complexity of verifying a given shift?,Easy and Hard Functions for the Boolean Hidden Shift Problem,https://doi.org/10.4230/LIPIcs.TQC.2013.50
30,TCS-4697,Single-copy lower bounds for a learned stabilizer subspace,Efficient Learning of Quantum States Prepared With Few Non-Clifford Gates — Question 10.2,Quantum computation,quarantined,individual_review,Dolní mez je navázána na podprostor vymezený konkrétní větou a omezení na jednotlivé kopie. Jde o optimalitu dílčího kroku specializovaného učení.,,,Are exp(t) many single-copy measurements necessary to learn a subspace S that satisfies the conditions of Theorem 6.4?,Efficient Learning of Quantum States Prepared With Few Non-Clifford Gates,https://doi.org/10.22331/q-2025-11-06-1907
31,TCS-4701,Hermitian extension of black-box spectral lower bounds,Spectral Gaps with Quantum Counting Queries and Oblivious State Preparation — Unresolved-question passage on page 20,Quantum computation,quarantined,individual_review,Uložená otázka žádá analogii již odvozených dolních mezí pro hermitovské matice; nevymezuje novou obecnou bariéru spektrálních výpočtů.,,,Whether analogous black-box lower bounds hold for Hermitian matrices remains an open question.,Spectral Gaps with Quantum Counting Queries and Oblivious State Preparation,https://doi.org/10.22331/q-2026-04-15-2067
32,TCS-4702,An SU(d) protocol for multivariate quantum signal processing,An adversary bound for quantum signal processing — Conjecture 4.15,Quantum computation,quarantined,individual_review,"Domněnka propojuje dvě konkrétní formalizace vícerozměrného zpracování signálu. Je to otázka implementace uvnitř jedné techniky, nikoli obecná mez kvantových algoritmů.",,,Every τ (z) of dimension d constructible by MQSP allows a M-QSP protocol over SU (d).,An adversary bound for quantum signal processing,https://doi.org/10.22331/q-2026-03-13-2025
33,TCS-4704,Information-theoretic characterization of shadow tomography,Information-theoretic generalization bounds for learning from quantum data — Open Problem 1,Quantum computation,quarantined,individual_review,"Záznam žádá charakterizaci výkonnosti bez konkrétního tvrzení či cílové složitosti. Zásadní je samotná vzorková a výpočetní náročnost tomografie, nikoli tato neurčená formulace.",,,Establish a quantum information-theoretic characterization of the performance of learners for shadow tomography.,Information-theoretic generalization bounds for learning from quantum data,https://proceedings.mlr.press/v247/caro24a.html
34,TCS-4708,Optimal joint measurements for Majorana observables,Optimal Fermionic Joint Measurements for Estimating Non-Commuting Majorana Observables — Unresolved-question passage on page 15,Quantum computation,quarantined,individual_review,Optimalizuje společné měření a robustnost nekompatibility určité rodiny fermionových observablí. Širší bariéry kvantového měření jsou pro atlas důležitější.,,,"A full characterization of the incompatibility robustness, as well as an optimal joint measurement for every system size, also remains open.",Optimal Fermionic Joint Measurements for Estimating Non-Commuting Majorana Observables,https://doi.org/10.22331/q-2025-11-17-1914
35,TCS-4709,Real versus complex Gaussian tensor norm limits,Estimating the entanglement of random multipartite quantum states — Conjecture 1,Quantum computation,quarantined,individual_review,Rovnost asymptotických limit pro dvě náhodné tensorové rodiny zpřesňuje konkrétní model náhodného provázání; nepředstavuje obecnou algoritmickou nebo složitostní hranici.,,,The asymptotic limits of the injective norms for corresponding (same order and symmetry) real and complex Gaussian tensors are identical.,Estimating the entanglement of random multipartite quantum states,https://doi.org/10.22331/q-2025-10-01-1870
36,TCS-4724,Gadget restrictions making quantum walks nonuniversal,Two-particle scattering on general graphs — Unresolved-question passage on page 20,Quantum computation,quarantined,individual_review,"Pouhá existence nějakého omezení vedoucího k neuniverzalitě neurčuje netriviální hranici. Chybí konkrétní rodina omezení, jejíž klasifikace by byla zásadní.",,,Is there a restricted set of gadgets which makes quantum walks nonuniversal?,Two-particle scattering on general graphs,https://doi.org/10.22331/q-2026-03-23-2038
37,TCS-4728,Short-output pseudorandom states implying OWSGs,On the Computational Hardness of Quantum One-Wayness — Explicit open question on PDF page 7,Quantum computation,quarantined,individual_review,Řeší úzké okno logaritmické délky výstupu. Obecné vztahy mezi pseudonáhodnými stavy a kvantovou jednosměrností ponechávám jako důležitější otázky.,,,"This leaves the question open of whether a PRS with m ∈ (c log n, log n] output qubits imply the existence of OWSGs.",On the Computational Hardness of Quantum One-Wayness,https://doi.org/10.22331/q-2025-03-27-1679
38,TCS-4732,Polynomial-time agnostic tomography of stabilizer product states,Agnostic Tomography of Stabilizer Product States — Unresolved-question passage on page 14,Quantum computation,quarantined,individual_review,"Zrychlení z kvazipolynomiálního na polynomiální čas je skutečný algoritmický cíl, ale zde pro omezenou třídu součinových stabilizátorových stavů; širší tomografické bariéry mají přednost.",,,"Can the runtime of Algorithm 1 be improved to polynomial in n and 1/τ , rather than quasipolynomial?",Agnostic Tomography of Stabilizer Product States,https://doi.org/10.22331/q-2026-03-13-2027
39,TCS-4742,Dynamic-regret lower bounds for quantum-state learning,Adaptive Online Learning of Quantum States — Unresolved-question passage on page 13,Quantum computation,quarantined,individual_review,Doplňuje dolní mez pro dvě specializované varianty regretu. Obecná naučitelnost kvantových stavů a optimální online učení mají větší samostatný dosah.,,,Can we prove an Ω( n) lower bound for dynamic regret or adaptive regret of online learning of quantum states?,Adaptive Online Learning of Quantum States,https://doi.org/10.22331/q-2024-09-12-1471
40,TCS-4761,Disentanglers stronger than a particular theorem,On the Pure Quantum Polynomial Hierarchy and Quantified Hamiltonian Complexity — Unresolved-question passage on page 21,Quantum computation,quarantined,individual_review,"Požadavek silnějších záruk než ve větě 18 nespecifikuje cílovou sílu. Obecný problém existence účinných disentanglerů tím nezpochybňuji, vyřazuji neurčený další krok.",,,Can one construct disentanglers with guarantees stronger than those in Theorem 18?,On the Pure Quantum Polynomial Hierarchy and Quantified Hamiltonian Complexity,https://doi.org/10.4230/LIPIcs.ICALP.2026.103
41,TCS-4762,Gap amplification for internally separable QMA proofs,Quantum Merlin-Arthur with an Internally Separable Proof — Unresolved-question passage on page 9,Quantum computation,quarantined,individual_review,"Amplifikace je zde požadována pro speciálně omezené interně separabilní svědky. Standardní QMA, QMA(2) a StoqMA mají přednost před další odvozenou třídou.",,,"As a starting point, does the complexity class QMAIS exhibit gap amplification?",Quantum Merlin-Arthur with an Internally Separable Proof,https://doi.org/10.4230/LIPIcs.TQC.2026.5
42,TCS-4770,Quantum decoding of more code classes,Noisy Decoding by Shallow Circuits with Parities: Classical and Quantum (Extended Abstract) — Unresolved-question passage on page 7,Quantum computation,quarantined,individual_review,"Výzva dekódovat další třídy kódů neuvádí konkrétní rodinu ani požadovaný práh. Je to směr rozšiřování výsledků, ne jednotlivý zásadní problém.",,,"Our results leave open the problem of decoding more general classes of error correcting codes by shallow quantum circuits, or by efficient quantum algorithms.",Noisy Decoding by Shallow Circuits with Parities: Classical and Quantum (Extended Abstract),https://doi.org/10.4230/LIPIcs.ITCS.2024.21
43,TCS-4796,One-query state synthesis with exponentially small error,Quantum Search-To-Decision Reductions and the State Synthesis Problem — Unresolved-question passage on page 17,Quantum computation,quarantined,individual_review,Zpřísňuje přesnost jednorázové orákulové syntézy. Pro atlas má větší prioritu obecná realizovatelnost a složitost syntézy stavů.,,,Is there a one-query algorithm for state synthesis that also achieves inverse exponential error?,Quantum Search-To-Decision Reductions and the State Synthesis Problem,https://doi.org/10.4230/LIPIcs.CCC.2022.5
44,TCS-4798,Disorder-independent state sets for sparse SYK,Optimizing Sparse SYK — Conjecture 4.7,Quantum computation,quarantined,individual_review,Domněnka se týká velikosti sad stavů nezávislých na náhodné realizaci jednoho Hamiltoniánového modelu. Dopad je užší než obecná složitost základních stavů.,,,"With probability exponentially close to 1 over the draw of the Hamiltonian, any disorder-independent set of states S containing a state which achieves energy t […]",Optimizing Sparse SYK,https://doi.org/10.22331/q-2026-03-16-2029
45,TCS-4813,Saturating measurement bounds in coherence distillation,The coherent measurement cost of coherence distillation — Conjecture 2,Quantum computation,quarantined,individual_review,Hledá asymptotické dosažení konkrétní meze jednotlivými měřeními při IO destilaci; jde o jemnou optimalitu jedné úlohy resource theory.,,,"For any ρ, there exists a sequence En of maximally-distilling IO channels with all but an asymptotically-vanishing fraction of measurements individually attaining the bound of […]",The coherent measurement cost of coherence distillation,https://doi.org/10.22331/q-2025-04-15-1707
46,TCS-4815,Classical mathematical applications of fermionic 2-SAT,Complexity of Fermionic 2-SAT — Unresolved-question passage on page 26,Quantum computation,quarantined,individual_review,"Ptá se, zda existují zajímavé matematické aplikace formalismu. Kritérium zajímavosti není definováno a formulace neudává rozhodovací ani konstrukční problém.",,,"It is an open question whether there are interesting classical mathematical problems which can be formulated as a question about Accepted in Quantum 2025-10-24, click […]",Complexity of Fermionic 2-SAT,https://doi.org/10.22331/q-2025-10-31-1900
47,TCS-4857,Single-check PureSuperQMA characterization,The Pure-State Consistency of Local Density Matrices Problem: In PSPACE and Complete for a Class Between QMA and QMA(2) — Explicit open question on PDF page 8,Quantum computation,quarantined,individual_review,Uložený výrok popisuje rovnost tříd pro jedinou kontrolu jako dosaženou skutečnost; žádná samostatná otevřená otázka v něm není vymezena.,,,"It can be shown that with a single check PureSuperQMA(1, poly , 0) = 5 QMA as there is no single check passed by a […]",The Pure-State Consistency of Local Density Matrices Problem: In PSPACE and Complete for a Class Between QMA and QMA(2),https://doi.org/10.4230/LIPIcs.ITCS.2026.83
48,TCS-4863,Regret comparisons across quantum online-learning models,Quantum Learning Theory Beyond Batch Binary Classification — Unresolved-question passage on page 34,Quantum computation,quarantined,individual_review,Porovnává několik konkrétních adversariálních modelů z jednoho článku. Bez obecnější charakterizace jde o sjednocení lokálních regretových odhadů.,,,"Would the expected regret bounds for the canonical classical online model (Section 4.1), classical adversary-provides-a-distribution model (Sections 4.2 and 4.3), and the quantum online model […]",Quantum Learning Theory Beyond Batch Binary Classification,https://doi.org/10.22331/q-2025-07-29-1813
49,TCS-4883,Oracle separation of NP from DQP,PDQMA = DQMA = NEXP: QMA with Hidden Variables and Non-Collapsing Measurements — Explicit open question on PDF page 3,Quantum computation,quarantined,individual_review,Separace se týká modelu s nestandardním přístupem ke kvantovým trajektoriím. Oproti zásadním separacím standardní BQP má pro tento atlas nižší prioritu.,,,"He claimed to give an oracle relative to which NP ̸⊂ DQP, although his proof had a bug [8] and the existence of such an […]",PDQMA = DQMA = NEXP: QMA with Hidden Variables and Non-Collapsing Measurements,https://doi.org/10.4230/LIPIcs.FSTTCS.2025.3
50,TCS-4892,PPA background for Another Hamiltonian Cycle,Another Hamiltonian Cycle in Bipartite Pfaffian Graphs — Explicit open question on PDF page 3,Quantum computation,quarantined,individual_review,Výňatek pouze připomíná zavedení PPA a známé zařazení úlohy. Neformuluje nový problém; důležitost PPA není důvod počítat historické pozadí jako další položku.,,,Papadimitriou [24] popularized the Another Hamiltonian Cycle problem and Thomason’s algorithm by introducing the complexity class PPA and showed the containment of the problem in […],Another Hamiltonian Cycle in Bipartite Pfaffian Graphs,https://doi.org/10.4230/LIPIcs.ICALP.2024.26
51,TCS-4926,An oracle with P = NP and BQP = EXP,The Acrobatics of BQP — Explicit open question on PDF page 9,Quantum computation,quarantined,individual_review,Hledá silnější kombinaci kolapsu a kvantového zrychlení v umělém orákulovém světě. Přednost mají samotné standardní separace a základní relativizační bariéry.,,,"We conjecture that Theorem 10 could be extended yet further, to give an oracle relative to which P = NP and yet BQP = EXP, […]",The Acrobatics of BQP,https://doi.org/10.4230/LIPIcs.CCC.2022.20
52,TCS-4930,Sequential unambiguous discrimination of pure states,Bounds in Sequential Unambiguous Discrimination of Multiple Pure Quantum States — Unresolved-question passage on page 13,Quantum computation,quarantined,individual_review,Optimalizuje vzorky při zvláštním požadavku jednoznačného sekvenčního rozlišování. Obecná diskriminace a tomografie pokrývají důležitější informační hranice.,,,"Despite these findings, an important question remains unresolved: namely, what is the optimal scaling of the expected number of samples as a function of the […]",Bounds in Sequential Unambiguous Discrimination of Multiple Pure Quantum States,https://doi.org/10.22331/q-2025-11-20-1919
53,TCS-4951,Coherence time of one proposed quantum-memory system,Robust Quantum Entanglement at (Nearly) Room Temperature — Explicit open question on PDF page 6,Quantum computation,quarantined,individual_review,Odhad životnosti konkrétní konstrukce je podproblém výzkumu samokorekce. Obecnou existenci samokorekční paměti ve třech rozměrech atlas ponechává.,,,"In addition, it would be insightful to understand the actual coherence time of such a system as a self-correcting quantum memory - we conjecture that […]",Robust Quantum Entanglement at (Nearly) Room Temperature,https://doi.org/10.4230/LIPIcs.ITCS.2021.49
54,TCS-5044,Packing overlapping qubits in a narrow overlap regime,Overlapping Qubits — Explicit open question on PDF page 3,Quantum computation,quarantined,individual_review,Otázka vyplňuje malé parametrické okno překryvů ve specifickém balicím modelu; obecné meze reprezentace kvantové informace mají větší dosah.,,,"For the range of overlaps 1/n . . (log n)/n, we do not know whether strictly more than n qubits can be packed into 2n […]",Overlapping Qubits,https://doi.org/10.4230/LIPIcs.ITCS.2017.48
55,TCS-5204,Exact quantum advantage factor for polynomial interpolation,Optimal Quantum Algorithm for Polynomial Interpolation — Explicit open question on PDF page 4,Quantum computation,quarantined,individual_review,"Hledá přesný faktor úspory dotazů při interpolaci. To je jemná optimalita konkrétního algoritmického primitiva, ne obecná bariéra kvantového zrychlení.",,,We conjecture that the quantum query complexity of this problem is smaller than the classical query complexity by a factor of n + 1.,Optimal Quantum Algorithm for Polynomial Interpolation,https://doi.org/10.4230/LIPIcs.ICALP.2016.16
56,TCS-5533,Nearest logical Pauli error variants,On the Hardness of Approximating Distances of Quantum Codes — Unresolved-question passage on page 16,Quantum computation,quarantined,individual_review,Navrhuje varianty vzdálenostních úloh formulované přes Pauliho chyby. Záznam nepřidává samostatnou hlavní domněnku nad rámec obecné složitosti vzdálenosti a dekódování kvantových kódů.,,,"These questions would not be about codewords per se, but about Pauli error operators, e.g. given a Pauli error, what is the closest logical error […]",On the Hardness of Approximating Distances of Quantum Codes,https://doi.org/10.4230/LIPIcs.FSTTCS.2025.34
