id,title,group,category,batch,slug,proposal
TCS-6573,Polynomial Hirsch conjecture,large,Optimization and numerics,fundamental-20260910,poly-hirsch,research/fundamental-additions-20260910/candidates.json
TCS-6579,Crouzeix’s conjecture,large,Optimization and numerics,fundamental-20260910,crouzeix,research/fundamental-additions-20260910/candidates.json
TCS-6576,Optimal competitive ratio for convex body chasing,large,Optimization and numerics,fundamental-20260910,body-chasing,research/fundamental-additions-20260910/candidates.json
TCS-6577,Minimax dimension dependence in bandit convex optimization,large,Optimization and numerics,fundamental-20260910,bco,research/fundamental-additions-20260910/candidates.json
TCS-6578,Smale’s seventh problem,large,Optimization and numerics,fundamental-20260910,smale7,research/fundamental-additions-20260910/candidates.json
TCS-6587,Constant-factor approximation for Densest k-Subgraph,small,Approximation algorithms and hardness of approximation,fundamental-20260910,densest-k,research/fundamental-small-20260910/shortlist.json
TCS-6588,Polylogarithmic approximation for Directed Steiner Tree,small,Approximation algorithms and hardness of approximation,fundamental-20260910,directed-steiner,research/fundamental-small-20260910/shortlist.json
TCS-6589,The 4/3 conjecture for the metric TSP subtour relaxation,small,Approximation algorithms and hardness of approximation,fundamental-20260910,tsp-four-thirds,research/fundamental-small-20260910/shortlist.json
TCS-6659,The optimal approximation threshold for metric k-Median,small,Approximation algorithms and hardness of approximation,fundamental-small-second-20260910,metric-k-median-optimal,research/fundamental-small-second-20260910/candidates.json
TCS-6590,The factor-2 integrality-gap conjecture for the ATSP subtour LP,small,Approximation algorithms and hardness of approximation,fundamental-20260910,atsp-gap-two,research/fundamental-small-20260910/shortlist.json
TCS-6591,Constant-factor approximation for Directed Feedback Vertex Set,small,Approximation algorithms and hardness of approximation,fundamental-20260910,dfvs-constant,research/fundamental-small-20260910/shortlist.json
TCS-6592,"Is k-Clique fixed-parameter tractable, equivalently FPT=W[1]?",small,Parameterized and exact algorithms,fundamental-20260910,fpt-w1,research/fundamental-small-20260910/shortlist.json
TCS-6593,The Exponential Time Hypothesis,small,Parameterized and exact algorithms,fundamental-20260910,eth,research/fundamental-small-20260910/shortlist.json
TCS-6594,The Set Cover Conjecture,small,Parameterized and exact algorithms,fundamental-20260910,setcover-exact,research/fundamental-small-20260910/shortlist.json
TCS-6660,A polynomial kernel for Edge Multiway Cut,small,Parameterized and exact algorithms,fundamental-small-second-20260910,edge-multiway-cut-kernel,research/fundamental-small-second-20260910/candidates.json
TCS-6595,Does the Strong Exponential Time Hypothesis hold?,small,Fine-grained complexity,fundamental-20260910,seth,research/fundamental-small-20260910/shortlist.json
TCS-6596,The Orthogonal Vectors Hypothesis,small,Fine-grained complexity,fundamental-20260910,orthogonal-vectors,research/fundamental-small-20260910/shortlist.json
TCS-6597,The algebraic k-Clique Hypothesis,small,Fine-grained complexity,fundamental-20260910,kclique,research/fundamental-small-20260910/shortlist.json
TCS-6661,The Hyperclique Hypothesis,small,Fine-grained complexity,fundamental-small-second-20260910,hyperclique-hypothesis,research/fundamental-small-second-20260910/candidates.json
TCS-6598,The Min-Plus Convolution Hypothesis,small,Fine-grained complexity,fundamental-20260910,minplus-convolution,research/fundamental-small-20260910/shortlist.json
TCS-6599,The Hitting Set Conjecture,small,Fine-grained complexity,fundamental-20260910,hitting-set-conjecture,research/fundamental-small-20260910/shortlist.json
TCS-6600,Optimal explicit pseudorandom generators for read-once branching programs,small,Pseudorandomness and derandomization,fundamental-20260910,space-prg-optimal,research/fundamental-small-20260910/shortlist.json
TCS-6662,Optimal deterministic restricted-isometry matrices,small,Pseudorandomness and derandomization,fundamental-small-second-20260910,optimal-rip,research/fundamental-small-second-20260910/candidates.json
TCS-6601,Superpolynomial Extended Frege lower bounds,small,Proof complexity,fundamental-20260910,ef-lower,research/fundamental-small-20260910/shortlist.json
TCS-6602,Superpolynomial AC0[p]-Frege lower bounds,small,Proof complexity,fundamental-20260910,modfrege,research/fundamental-small-20260910/shortlist.json
TCS-6663,Frege versus Extended Frege,small,Proof complexity,fundamental-small-second-20260910,frege-extended-frege,research/fundamental-small-second-20260910/candidates.json
TCS-6603,The Log-Rank Conjecture,small,Communication complexity and Boolean function analysis,fundamental-20260910,logrank,research/fundamental-small-20260910/shortlist.json
TCS-6604,The Fourier Entropy-Influence Conjecture,small,Communication complexity and Boolean function analysis,fundamental-20260910,fei,research/fundamental-small-20260910/shortlist.json
TCS-6605,The Aaronson-Ambainis Conjecture,small,Communication complexity and Boolean function analysis,fundamental-20260910,aaronson-ambainis,research/fundamental-small-20260910/shortlist.json
TCS-6664,The asymptotic Gotsman–Linial conjecture,small,Communication complexity and Boolean function analysis,fundamental-small-second-20260910,asymptotic-gotsman-linial,research/fundamental-small-second-20260910/candidates.json
TCS-6606,The exact capacity region of the two-user Gaussian interference channel,small,Coding and information theory,fundamental-20260910,gaussian-interference,research/fundamental-small-20260910/shortlist.json
TCS-6665,The capacity region of the general two-receiver broadcast channel,small,Coding and information theory,fundamental-small-second-20260910,broadcast-capacity,research/fundamental-small-second-20260910/candidates.json
TCS-6607,The capacity of the binary deletion channel,small,Coding and information theory,fundamental-20260910,deletion-capacity,research/fundamental-small-20260910/shortlist.json
TCS-6608,Decidability of unconditional information inequalities,small,Coding and information theory,fundamental-20260910,information-inequality-decision,research/fundamental-small-20260910/shortlist.json
TCS-6609,Constant-rate binary locally decodable codes with logarithmic query complexity,small,Coding and information theory,fundamental-20260910,ldc-logqueries,research/fundamental-small-20260910/shortlist.json
TCS-6610,The Shannon capacity of C7,small,Coding and information theory,fundamental-20260910,c7-capacity,research/fundamental-small-20260910/shortlist.json
TCS-6611,Superpolynomial determinantal complexity of the permanent,small,Algebraic computation,fundamental-20260910,permanent-determinantal,research/fundamental-small-20260910/shortlist.json
TCS-6666,The Shub–Smale τ-conjecture,small,Algebraic computation,fundamental-small-second-20260910,shub-smale-tau,research/fundamental-small-second-20260910/candidates.json
TCS-6612,VP versus VBP,small,Algebraic computation,fundamental-20260910,vp-vbp,research/fundamental-small-20260910/shortlist.json
TCS-6613,Polynomial-size arithmetic formulas for determinant,small,Algebraic computation,fundamental-20260910,determinant-formulas,research/fundamental-small-20260910/shortlist.json
TCS-6614,Deterministic polynomial-time polynomial factorization over finite fields,small,Algebraic computation,fundamental-20260910,finite-field-factor,research/fundamental-small-20260910/shortlist.json
TCS-6615,Polynomial-time finite-group isomorphism in the Cayley-table model,small,Algebraic computation,fundamental-20260910,finite-group-iso,research/fundamental-small-20260910/shortlist.json
TCS-6616,Breaking the 2^n barrier for exact permanent computation,small,Algebraic computation,fundamental-20260910,permanent-exact,research/fundamental-small-20260910/shortlist.json
TCS-6617,Classical polynomial-time integer factorization,small,Lattices and computational number theory,fundamental-20260910,factoring,research/fundamental-small-20260910/shortlist.json
TCS-6618,Classical polynomial-time discrete logarithms in prime fields,small,Lattices and computational number theory,fundamental-20260910,discrete-log,research/fundamental-small-20260910/shortlist.json
TCS-6667,"Polynomial-time, polynomial-factor approximation of Euclidean SVP",small,Lattices and computational number theory,fundamental-small-second-20260910,polynomial-factor-svp-algorithm,research/fundamental-small-second-20260910/candidates.json
TCS-6619,"Single-exponential-time, polynomial-space exact Euclidean SVP",small,Lattices and computational number theory,fundamental-20260910,svp-polyspace,research/fundamental-small-20260910/shortlist.json
TCS-6620,Vinogradov's least quadratic nonresidue conjecture,small,Lattices and computational number theory,fundamental-20260910,least-nonresidue,research/fundamental-small-20260910/shortlist.json
TCS-6621,Rapid mixing of Glauber dynamics with Delta+2 colours,small,Randomized algorithms and sampling,fundamental-20260910,coloring-mixing,research/fundamental-small-20260910/shortlist.json
TCS-6622,The Kannan-Tetali-Vempala switch-chain conjecture,small,Randomized algorithms and sampling,fundamental-20260910,switch-chain,research/fundamental-small-20260910/shortlist.json
TCS-6668,Polynomial mixing of critical three-dimensional Ising dynamics,small,Randomized algorithms and sampling,fundamental-small-second-20260910,critical-ising-3d,research/fundamental-small-second-20260910/candidates.json
TCS-6623,Polynomial-sample worst-case trace reconstruction,small,String algorithms and bioinformatics,fundamental-20260910,trace,research/fundamental-small-20260910/shortlist.json
TCS-6624,Constant-factor edit-distance approximation in O(n polylog n) time,small,String algorithms and bioinformatics,fundamental-20260910,edit-near-linear,research/fundamental-small-20260910/shortlist.json
TCS-6669,Breaking factor two for sum-of-pairs multiple sequence alignment,small,String algorithms and bioinformatics,fundamental-small-second-20260910,msa-below-two,research/fundamental-small-second-20260910/candidates.json
TCS-6625,Deterministic fully dynamic connectivity with polylogarithmic worst-case updates,small,Dynamic graph algorithms,fundamental-20260910,dynamic-connectivity,research/fundamental-small-20260910/shortlist.json
TCS-6626,Fully dynamic minimum spanning forest with polylogarithmic worst-case updates,small,Dynamic graph algorithms,fundamental-20260910,dynamic-msf,research/fundamental-small-20260910/shortlist.json
TCS-6627,Fully dynamic near-optimal matching with polylogarithmic updates,small,Dynamic graph algorithms,fundamental-20260910,dynamic-approx-matching,research/fundamental-small-20260910/shortlist.json
TCS-6670,Polylogarithmic maintenance of the exact global minimum cut,small,Dynamic graph algorithms,fundamental-small-second-20260910,dynamic-global-mincut,research/fundamental-small-second-20260910/candidates.json
TCS-6628,An FPRAS for perfect matchings in general graphs,small,Counting and enumeration,fundamental-20260910,general-perfect-matching,research/fundamental-small-20260910/shortlist.json
TCS-6629,A deterministic FPTAS for the nonnegative permanent,small,Counting and enumeration,fundamental-20260910,deterministic-permanent,research/fundamental-small-20260910/shortlist.json
TCS-6671,An FPRAS for counting undirected Euler tours,small,Counting and enumeration,fundamental-small-second-20260910,euler-tours-fpras,research/fundamental-small-second-20260910/candidates.json
TCS-6630,Characterizing polynomially testable hereditary graph properties,small,Property testing and distribution learning,fundamental-20260910,polynomial-hereditary-testing,research/fundamental-small-20260910/shortlist.json
TCS-6672,Sublinear testing of bounded-degree graph isomorphism,small,Property testing and distribution learning,fundamental-small-second-20260910,bounded-degree-isomorphism-testing,research/fundamental-small-second-20260910/candidates.json
TCS-6631,Optimal Euclidean error for pure-DP statistical-query release,small,Differential privacy,fundamental-20260910,pure-query-release-l2,research/fundamental-small-20260910/shortlist.json
TCS-6673,Optimal error for pure-DP continual counting,small,Differential privacy,fundamental-small-second-20260910,pure-dp-continual-counting,research/fundamental-small-second-20260910/candidates.json
TCS-6632,Constant-factor truthful combinatorial auctions for submodular bidders,small,"Algorithmic game theory, mechanism design and fair division",fundamental-20260910,truthful-submodular,research/fundamental-small-20260910/shortlist.json
TCS-6674,The power of randomization in truthful unrelated-machine scheduling,small,"Algorithmic game theory, mechanism design and fair division",fundamental-small-second-20260910,randomized-truthful-scheduling,research/fundamental-small-second-20260910/candidates.json
TCS-6633,Polynomial query complexity of exact envy-free cake cutting,small,"Algorithmic game theory, mechanism design and fair division",fundamental-20260910,cake-queries,research/fundamental-small-20260910/shortlist.json
TCS-6634,The optimal randomized metric distortion in social choice,small,"Algorithmic game theory, mechanism design and fair division",fundamental-20260910,randomized-distortion,research/fundamental-small-20260910/shortlist.json
TCS-6635,A complexity dichotomy for finite promise CSPs,small,Constraint satisfaction,fundamental-20260910,pcsp-dichotomy,research/fundamental-small-20260910/shortlist.json
TCS-6636,The Bodirsky-Pinsker infinite-domain CSP dichotomy,small,Constraint satisfaction,fundamental-20260910,infinite-csp-dichotomy,research/fundamental-small-20260910/shortlist.json
TCS-6637,Constant-colour polynomial-time colouring of 3-colourable graphs,small,Constraint satisfaction,fundamental-20260910,three-colourable-constant,research/fundamental-small-20260910/shortlist.json
TCS-6675,Search-to-decision equivalence for finite promise CSPs,small,Constraint satisfaction,fundamental-small-second-20260910,pcsp-search-decision,research/fundamental-small-second-20260910/candidates.json
TCS-6638,Breaking factor 2 for unrelated-machine makespan,small,Scheduling and packing,fundamental-20260910,unrelated-machines,research/fundamental-small-20260910/shortlist.json
TCS-6639,Constant-factor approximation for general Santa Claus allocation,small,Scheduling and packing,fundamental-20260910,santa-claus,research/fundamental-small-20260910/shortlist.json
TCS-6676,Breaking factor two for precedence-constrained makespan,small,Scheduling and packing,fundamental-small-second-20260910,precedence-makespan-below-two,research/fundamental-small-second-20260910/candidates.json
TCS-6640,Constant additive error for one-dimensional bin packing,small,Scheduling and packing,fundamental-20260910,binpacking-additive,research/fundamental-small-20260910/shortlist.json
TCS-6641,The word problem for one-relation monoids,small,Automated reasoning and unification,fundamental-20260910,one-relator-monoid,research/fundamental-small-20260910/shortlist.json
TCS-6642,The conjugacy problem for one-relator groups,small,Automated reasoning and unification,fundamental-20260910,one-relator-conjugacy,research/fundamental-small-20260910/shortlist.json
TCS-6677,The isomorphism problem for one-relator groups,small,Automated reasoning and unification,fundamental-small-second-20260910,one-relator-isomorphism,research/fundamental-small-second-20260910/candidates.json
TCS-6643,Decidability of unification in the basic modal logic K,small,Automated reasoning and unification,fundamental-20260910,modal-k-unification,research/fundamental-small-20260910/shortlist.json
TCS-6644,Decidability of termination for one-rule string rewriting,small,Automated reasoning and unification,fundamental-20260910,one-rule-termination,research/fundamental-small-20260910/shortlist.json
TCS-6678,FO model checking on hereditary monadically dependent graph classes,small,Database theory and finite model theory,fundamental-small-second-20260910,monadic-nip-model-checking,research/fundamental-small-second-20260910/candidates.json
TCS-6645,The full constant-delay conjunctive-query classification,small,Database theory and finite model theory,fundamental-20260910,query-enumeration,research/fundamental-small-20260910/shortlist.json
TCS-6646,Martin's conjecture on degree-invariant functions,small,Computability and algorithmic information,fundamental-20260910,martin-conjecture,research/fundamental-small-20260910/shortlist.json
TCS-6647,Rigidity of the Turing degrees,small,Computability and algorithmic information,fundamental-20260910,degree-rigidity,research/fundamental-small-20260910/shortlist.json
TCS-6648,Kolmogorov-Loveland randomness versus Martin-Lof randomness,small,Computability and algorithmic information,fundamental-20260910,kl-ml,research/fundamental-small-20260910/shortlist.json
TCS-6649,The reverse-mathematical strength of Hindman's theorem,small,Computability and algorithmic information,fundamental-20260910,hindman-strength,research/fundamental-small-20260910/shortlist.json
TCS-6679,Universality of Turing equivalence,small,Computability and algorithmic information,fundamental-small-second-20260910,turing-equivalence-universal,research/fundamental-small-second-20260910/candidates.json
TCS-6680,Decidability of conjunctive-query entailment in SROIQ,small,Knowledge representation and reasoning,fundamental-small-second-20260910,sroiq-cq-decidability,research/fundamental-small-second-20260910/candidates.json
TCS-6650,Deterministic polynomial-time equivalence testing for d-DNNFs,small,Knowledge representation and reasoning,fundamental-20260910,dnnf-equivalence,research/fundamental-small-20260910/shortlist.json
TCS-6681,DNF versus d-DNNF succinctness,small,Knowledge representation and reasoning,fundamental-small-second-20260910,dnf-ddnnf-succinctness,research/fundamental-small-second-20260910/candidates.json
TCS-6651,Hadwiger's conjecture,small,Structural graph theory,fundamental-20260910,hadwiger,research/fundamental-small-20260910/shortlist.json
TCS-6652,The Erdos-Hajnal conjecture for hereditary graph classes,small,Structural graph theory,fundamental-20260910,erdos-hajnal,research/fundamental-small-20260910/shortlist.json
TCS-6682,Reed's χ–ω–Δ conjecture,small,Structural graph theory,fundamental-small-second-20260910,reed-colouring,research/fundamental-small-second-20260910/candidates.json
TCS-6653,The Gyarfas-Sumner conjecture,small,Structural graph theory,fundamental-20260910,gyarfas-sumner,research/fundamental-small-20260910/shortlist.json
TCS-6683,The optimal quantitative Excluded Grid Theorem,small,Structural graph theory,fundamental-small-second-20260910,optimal-excluded-grid,research/fundamental-small-second-20260910/candidates.json
TCS-6654,Seese's conjecture for MSO1 and clique-width,small,Structural graph theory,fundamental-20260910,seese,research/fundamental-small-20260910/shortlist.json
TCS-6655,Cereceda's quadratic recolouring conjecture,small,Structural graph theory,fundamental-20260910,cereceda,research/fundamental-small-20260910/shortlist.json
TCS-6656,The planted-clique computational threshold,small,Beyond worst-case and average-case analysis,fundamental-20260910,planted-clique,research/fundamental-small-20260910/shortlist.json
TCS-6657,The computational threshold for dense tensor PCA,small,Beyond worst-case and average-case analysis,fundamental-20260910,tensor-pca,research/fundamental-small-20260910/shortlist.json
TCS-6684,The computational Kesten–Stigum threshold for sparse community recovery,small,Beyond worst-case and average-case analysis,fundamental-small-second-20260910,sbm-ks-threshold,research/fundamental-small-second-20260910/candidates.json
TCS-6658,Polynomial smoothed complexity of FLIP for Max-Cut,small,Beyond worst-case and average-case analysis,fundamental-20260910,smoothed-maxcut,research/fundamental-small-20260910/shortlist.json
