id,area,title,evidence,status,screening,decision,destination
TCS-0475,Algorithms & data structures,Does ordinary median-of-medians selection with groups of three run in linear time?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-6514,Algorithms & data structures,Do pure pairing heaps support O(log log n) amortized decrease-key?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-0596,Algorithms & data structures,Odd cycle transversal in P5 -free graphs,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-0598,Algorithms & data structures,Precoloring extension of graphs,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-0774,Algorithms & data structures,Near-linear-time minimum-cost Steiner perfect matching in planar graphs,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-0809,Algorithms & data structures,Mincost flow in planar graphs,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-0822,Algorithms & data structures,Vertex-capacitated max flow in directed planar graphs,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6502,Algorithms & data structures,Can lazy B-tree priority queues keep their I/O bounds with stable handles?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-0300,Algorithms & data structures,The randomized complexity of online labeling,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-0351,Algorithms & data structures,Minimum-weight perfect matching with odd red-edge parity,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-0956,Algorithms & data structures,Succinct Representation for Functions on Graphs,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1147,Algorithms & data structures,"Can one obtain deterministic algorithms for 2-DSP and Min-2-DSP, which match the time bounds guaranteed by the current fastest randomized algorithms?",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1163,Algorithms & data structures,Can the rectangle covering number be computed efficiently?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1221,Algorithms & data structures,It remains an open question to obtain a dynamic base packing algorithm that updates independent of the packing number.,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1292,Algorithms & data structures,It is unknown whether there exists a deterministic algorithm to reconstruct bounded-degree graphs in o(n2 ) queries.,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1338,Algorithms & data structures,"For a set system S Ď 2rms , weights w : rms Ñ Rě0 and ϵ ą 0, there exists a p1 ˘ ϵq sparsifier […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1345,Algorithms & data structures,"It should be mentioned that for general A and B, it is unknown whether the relation A ▷ B (or, equivalently, the existence of a […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1418,Algorithms & data structures,Can we design a data structure of size 2 o(n ) that provides a good approximation for the shortest path under three faults?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1425,Algorithms & data structures,Can one achieve the conditionally optimal update time O(k 2 )?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1503,Algorithms & data structures,"We also note that Theorem 28 shows that testing whether a given pair of vertices is adjacent takes Ω(n) effective resistance queries, but we do […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1617,Algorithms & data structures,"For any subcubic graph H, H-ISC is in P if and only if H is planar.",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1662,Algorithms & data structures,The complexity of determining whether such a blocking set exists in a given graph G remains an open computational problem.,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1664,Algorithms & data structures,"We do not know yet if temporal cliques admit O(n) spanners, thus the latter result might not appear very decisive.",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1690,Algorithms & data structures,"Now, can we find o(n/k) vertices as vantage points p OP T edge capacities?",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1783,Algorithms & data structures,Is there a candidate data structure for the convex shelling antimatroid that is fast enough to sort optimally?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1798,Algorithms & data structures,Is there a sparse fault-tolerant exact or approximate distance oracle for an arbitrary subset P of V × V ?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1827,Algorithms & data structures,"More concretely, is there an adaptive deterministic query algorithm that requires fewer than n O(∆3 log( ∆ )) queries?",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1844,Algorithms & data structures,Is there a Õ(W nω )-time algorithm for Shortest Disjoint S-Paths?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1913,Algorithms & data structures,This raises a natural question: does there exist a cache-oblivious priority queue that achieves the same amortized bounds on comparisons and I/Os?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1934,Algorithms & data structures,Does every n-node undirected graph have a constant-stretch shortestpaths preserving graph of aspect ratio poly(n)?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-1957,Algorithms & data structures,Is there an O( n)-adjacency labeling scheme for classes of bounded sddegeneracy?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2018,Algorithms & data structures,"Every submodular hypergraph admits a (1+ϵ)-sparsifier of size O(ϵ−2 n2 ), which is in fact a reweighted sub-hypergraph.",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2085,Algorithms & data structures,"For every fixed k, r and a CMSO2 formula ψ, the (r, ψ)-MWIS problem can be solved in polynomial time for graphs with induced matching […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2103,Algorithms & data structures,"For every integers t, r there exists a polynomial-time algorithm that, given an St,t,t -free and Kr -free vertex-weighted graph (G, w) computes the maximum […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2211,Algorithms & data structures,"Does there exist a randomised algorithm that reconstructs an n-vertex graph of maximum degree ∆ and treewidth k using Õ∆,k (n) queries in expectation?",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2247,Algorithms & data structures,"Is it true that all graphs of, say, bounded flip-width admit a linear-size dag compression?",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2316,Algorithms & data structures,"Finally, we end this paper by leaving the biggest open problem concerning mim-width: Given a graph G, is there a polynomial-time algorithm that computes a […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2328,Algorithms & data structures,Can k-APC be solved in faster than Õ(mω ) time for k = 3?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2353,Algorithms & data structures,"How hard is it, given a hypergraph H and a number k, to determine whether ehw(H) ⩽ k?",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2439,Algorithms & data structures,The recognition of H-graphs is polynomial-time solvable if and only if H is a unicyclic graph or H is a tree.,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2483,Algorithms & data structures,"The following simple result shows that for n = 3k the problem is at least as hard as the Cycle-Plus-Triangles problem, whose tractability is an […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2543,Algorithms & data structures,Is there an O(n3 )-time algorithm for the all-pairs version when the graph may contain negative cycles?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2691,Algorithms & data structures,The main problem that remains open is understanding whether better trade-offs are achievable for temporal cliques.,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2711,Algorithms & data structures,Can there always exist a pairwise preserver of size o(2k n|P|) for any k failures?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2730,Algorithms & data structures,"Thus, even in the non-succinct case, designing worst-case update operations is an open problem.",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2798,Algorithms & data structures,We leave open the question of closing the gap between upper and lower bounds for the worker-task assignment problem: the upper bound is polylog(wt) and […],index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2822,Algorithms & data structures,"Even the complexity (P versus NP) of deciding whether a directed graph contains an (s, t)-path longer than distG (s, t) (the case of k […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-2975,Algorithms & data structures,"For example, how difficult is it to decide if the distance between u and v may deteriorate up to d(u, v) + k for a […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3195,Algorithms & data structures,"Given an undirected graph G = (V, E), is it possible to find all 5-edge-connected components of G in linear time?",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3263,Algorithms & data structures,"Thus, if there are no k disjoint shortest paths, then computing k disjoint paths minimizing their total length in polynomial time is still an open […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3291,Algorithms & data structures,This motivates the following natural question: is there a notion of spectral sparsification that generalizes cut sparsification in directed graphs?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3346,Algorithms & data structures,"Indeed, it is an open problem whether the running time for the hypergraph isomorphism problem can be improved to 2polylog ∣V ∣ ⋅ ∣H∣O(1) [2].",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3545,Algorithms & data structures,"We leave open an interesting question of establishing the worst-case gap between the value of OPT and that of the Guillotine bound, and we hope […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3766,Algorithms & data structures,Does there exist a polylogarithmic distance labeling scheme for general median graphs or for median graphs of constant dimension?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3788,Algorithms & data structures,"It is an open problem whether randomization can speed up partitioning algorithms and lead, in particular, to faster data structures for the various operations considered […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3819,Algorithms & data structures,"Can these Tutte paths be found in polynomial time, and preferably, linear time?",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-3922,Algorithms & data structures,An example of one we find particularly interesting is as follows: how much quicker can general temporal graphs be explored if we allow an agent […],index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-4261,Algorithms & data structures,"The following basic question is still open though: is there a lower bound of Ω(n3/2+ ) edges for some ∈ (0, 1] for 2-additive spanners […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-4417,Algorithms & data structures,Is there an O(m)-time algorithm for the BP and BST problems?,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-4441,Algorithms & data structures,"In spite of our results, it remains an open problem for an infinite class of graphs H, whether a subexponential or even a polynomial algorithm […]",index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-4799,Algorithms & data structures,Limits of Quantum Speed-Ups for Computational Geometry and Other Problems: Fine-Grained Complexity via Quantum Walks,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-4997,Algorithms & data structures,Optimal Non-Adaptive Cell Probe Dictionaries and Hashing,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-4998,Algorithms & data structures,Cut Sparsification and Succinct Representation of Submodular Hypergraphs,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5037,Algorithms & data structures,Splitting-Off in Hypergraphs,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5103,Algorithms & data structures,The Diameter of Caterpillar Associahedra,source,uncertain,boundary_read,retain,Algorithms & data structures
TCS-5331,Algorithms & data structures,On the Size of Outer-String Representations,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5343,Algorithms & data structures,Planar Network Diversion,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5436,Algorithms & data structures,Sparse Outerstring Graphs Have Logarithmic Treewidth,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5548,Algorithms & data structures,Breaking O(nr) for Matroid Intersection,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5601,Algorithms & data structures,Faster Graph Algorithms Through DAG Compression,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5637,Algorithms & data structures,Computing Flows in Subquadratic Space,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5641,Algorithms & data structures,Hardness of Multi-Agent Path Finding on Trees: A Unified Approach,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5661,Algorithms & data structures,Fragile Complexity of Comparison-Based Algorithms,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5675,Algorithms & data structures,Vantage Point Selection Algorithms for Bottleneck Capacity Estimation,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5705,Algorithms & data structures,Tight Bounds on Adjacency Labels for Monotone Graph Classes,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5706,Algorithms & data structures,The Group Access Bounds for Binary Search Trees,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5758,Algorithms & data structures,Pairing heaps: the forward variant,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5768,Algorithms & data structures,What Does Dynamic Optimality Mean in External Memory?,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5821,Algorithms & data structures,An Upper Bound on the Weisfeiler-Leman Dimension,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5825,Algorithms & data structures,Dynamic Membership for Regular Languages,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5845,Algorithms & data structures,A Polynomial Delay Algorithm Generating All Potential Maximal Cliques in Triconnected Planar Graphs,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5874,Algorithms & data structures,Algorithms and Lower Bounds for Cycles and Walks: Small Space and Sparse Graphs,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5910,Algorithms & data structures,Switching Classes: Characterization and Computation,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5918,Algorithms & data structures,Detecting Disjoint Shortest Paths in Linear Time and More,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5926,Algorithms & data structures,Treewidth Is NP-Complete on Cubic Graphs,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5949,Algorithms & data structures,PACE Solver Description: Exact (GUTHMI) and Heuristic (GUTHM),source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-5951,Algorithms & data structures,Coloring and Recognizing Mixed Interval Graphs,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5969,Algorithms & data structures,Efficient Recognition of Subgraphs of Planar Cubic Bridgeless Graphs,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-5992,Algorithms & data structures,List Colouring Trees in Logarithmic Space,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6150,Algorithms & data structures,Graph Inference with Effective Resistance Queries,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6161,Algorithms & data structures,The Power of the Score Sequence of a Tournament,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6173,Algorithms & data structures,A Local-To-Global Theorem for Congested Shortest Paths,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6233,Algorithms & data structures,Rerouting Planar Curves and Disjoint Paths,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6237,Algorithms & data structures,PACE Solver Description: Touiouidth,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6251,Algorithms & data structures,Max Weight Independent Set in Graphs with No Long Claws: An Analog of the Gyárfás' Path Argument,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6254,Algorithms & data structures,On the Role of the High-Low Partition in Realizing a Degree Sequence by a Bipartite Graph,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6269,Algorithms & data structures,Augmenting Graphs to Minimize the Radius,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6270,Algorithms & data structures,A Simple Algorithm for Graph Reconstruction,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6290,Algorithms & data structures,Bottom-Up Rebalancing Binary Search Trees by Flipping a Coin,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6298,Algorithms & data structures,Low Sensitivity Hopsets,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6308,Algorithms & data structures,Shortest Two Disjoint Paths in Conservative Graphs,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6310,Algorithms & data structures,Exact Matching: Algorithms and Related Problems,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6421,Algorithms & data structures,Towards an Isomorphism Dichotomy for Hereditary Graph Classes,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6433,Algorithms & data structures,Connected Partitions via Connected Dominating Sets,source,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6480,Algorithms & data structures,Strongly History-Independent Storage Allocation: New Upper and Lower Bounds,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6492,Algorithms & data structures,Folklore Sampling is Optimal for Exact Hopsets: Confirming the $\sqrt{n}$ Barrier,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6782,Algorithms & data structures,Maximize the pair count admitting linear-size pairwise spanners with constant additive error.,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6783,Algorithms & data structures,Does every unweighted graph admit a +4 spanner with O(n^(4/3)) edges?,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6784,Algorithms & data structures,Match Thorup–Zwick emulator tradeoffs using actual spanners.,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6785,Algorithms & data structures,Determine optimal additive error for linear-size spanners.,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-6787,Algorithms & data structures,Close the bounds for fault-tolerant sourcewise distance preservers.,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-7061,Algorithms & data structures,Find a polynomial-time/NP-hard dichotomy for hereditary edge-deletion problems.,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-7075,Algorithms & data structures,Determine complexity of unrestricted vertex-connectivity augmentation beyond increasing connectivity by one.,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-7076,Algorithms & data structures,Is Planar Diameter Augmentation polynomial-time solvable or NP-hard?,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-7146,Algorithms & data structures,Detect any fixed pivot-minor or vertex-minor in polynomial time.,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-0001,Computational complexity,Does P equal NP?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-6530,Computational complexity,Does P equal PSPACE?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-6531,Computational complexity,Can every polynomial-time decision problem be solved in logarithmic space?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-6535,Computational complexity,Is nonuniform TC⁰ strictly smaller than nonuniform NC¹?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-6534,Computational complexity,The Berman–Hartmanis isomorphism conjecture,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-6532,Computational complexity,Is the polynomial hierarchy strict at every finite level?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-0021,Computational complexity,Does NP contain a language without polynomial-size Boolean circuits?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-0002,Computational complexity,Does every unsatisfiable Boolean formula have a short efficiently checkable certificate?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-0015,Computational complexity,An explicit function with no linear-size Boolean circuits,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-0016,Computational complexity,Exponential circuit lower bounds for 3-SAT,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-7158,Computational complexity,Does PH equal PSPACE?,source,source_open,topic_screen,retain,Computational complexity
TCS-7161,Computational complexity,Does NEXP require superpolynomial constant-depth threshold circuits?,source,source_open,topic_screen,retain,Computational complexity
TCS-6533,Computational complexity,NL versus UL,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-0004,Computational complexity,Can directed reachability be decided in deterministic logarithmic space?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-6681,Computational complexity,DNF versus d-DNNF succinctness,source,source_open,topic_screen,retain,Computational complexity
TCS-0020,Computational complexity,Polynomial-size circuits for EXP,index,uncertain,topic_screen,retain,Computational complexity
TCS-1056,Computational complexity,Majority outside constant-depth modular circuits,index,uncertain,topic_screen,retain,Computational complexity
TCS-0018,Computational complexity,P versus NP intersect coNP,index,uncertain,topic_screen,retain,Computational complexity
TCS-1054,Computational complexity,Exponential lower bounds for unrestricted threshold-of-threshold circuits,index,uncertain,topic_screen,retain,Computational complexity
TCS-7159,Computational complexity,The Hartmanis–Stearns conjecture,source,source_open,boundary_read,retain,Computational complexity
TCS-0017,Computational complexity,Karchmer–Raz–Wigderson formula composition conjecture,index,uncertain,topic_screen,retain,Computational complexity
TCS-0019,Computational complexity,Polynomial formulas versus linear circuits,index,uncertain,topic_screen,retain,Computational complexity
TCS-6455,Computational complexity,Doubly efficient IP = PSPACE for the full time range,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-0305,Computational complexity,Supercubic uniform formula lower bounds for SAT,index,uncertain,topic_screen,retain,Computational complexity
TCS-1052,Computational complexity,Depth-three lower bounds beyond the switching-lemma barrier,index,uncertain,topic_screen,retain,Computational complexity
TCS-1053,Computational complexity,Depth-three size bounds beyond exponential square root,index,uncertain,topic_screen,retain,Computational complexity
TCS-1039,Computational complexity,Explicit superlinear in-place XOR lower bounds,index,uncertain,topic_screen,retain,Computational complexity
TCS-0293,Computational complexity,Improving SPACE versus NSPACE via Tree Evaluation,index,uncertain,topic_screen,retain,Computational complexity
TCS-0301,Computational complexity,Excluding one-sided randomized quasilinear-time log-space SAT,index,uncertain,topic_screen,retain,Computational complexity
TCS-0302,Computational complexity,Excluding quasilinear-time log-space Max Clique,index,uncertain,topic_screen,retain,Computational complexity
TCS-0303,Computational complexity,Stronger log-space time lower bounds for SAT,index,uncertain,topic_screen,retain,Computational complexity
TCS-0304,Computational complexity,Stronger uniform depth-three majority lower bounds for SAT,index,uncertain,topic_screen,retain,Computational complexity
TCS-0308,Computational complexity,Formula versus circuit succinctness,index,uncertain,topic_screen,retain,Computational complexity
TCS-0310,Computational complexity,Is weighted falsifiability of unambiguous DNFs in polynomial time?,reviewed,source_open,topic_screen,retain,Computational complexity
TCS-1035,Computational complexity,Cost of restricting linear circuits to depth two,index,uncertain,topic_screen,retain,Computational complexity
TCS-1037,Computational complexity,Asymmetry of XOR complexity under matrix inversion,index,uncertain,topic_screen,retain,Computational complexity
TCS-1040,Computational complexity,Nonlinear-gate advantages for binary linear operators,index,uncertain,topic_screen,retain,Computational complexity
TCS-1034,Computational complexity,Largest separation between SUM and OR circuits,index,uncertain,topic_screen,retain,Computational complexity
TCS-1036,Computational complexity,Unbounded XOR-over-OR complexity separations,index,uncertain,topic_screen,retain,Computational complexity
TCS-1051,Computational complexity,Logarithmic negation-depth lower bounds for monotone functions,index,uncertain,topic_screen,retain,Computational complexity
TCS-0014,Computational complexity,Cubic monotone formulas for majority,index,uncertain,topic_screen,retain,Computational complexity
TCS-1023,Computational complexity,Natural complete problems for randomized classes,index,uncertain,topic_screen,retain,Computational complexity
TCS-0068,Computational complexity,AC0 on trees,index,uncertain,topic_screen,retain,Computational complexity
TCS-0069,Computational complexity,Perfect matchings for grid graphs and AC0,index,uncertain,topic_screen,retain,Computational complexity
TCS-0295,Computational complexity,Sampling modular distributions locally,index,uncertain,topic_screen,retain,Computational complexity
TCS-0297,Computational complexity,A counting function capturing exactly P with NP access,index,uncertain,topic_screen,retain,Computational complexity
TCS-0298,Computational complexity,SAT multi-prover proofs using efficient SAT-oracle provers,index,uncertain,topic_screen,retain,Computational complexity
TCS-0126,Computational complexity,The Parity Language,index,uncertain,topic_screen,retain,Computational complexity
TCS-1144,Computational complexity,Is it true that spr(IPn ) = ω(n) or spr(Disjn ) = ω(n)?,index,uncertain,topic_screen,retain,Computational complexity
TCS-1235,Computational complexity,It remains open whether the [ inclusion LDLk ⊊ LDLk is still proper if the depth restriction is removed.,index,uncertain,topic_screen,retain,Computational complexity
TCS-1278,Computational complexity,Every 2-CNF formula φ on n variables has a 2-CNF encoding φ′ such 2 that |φ′ | ≤ ( 41 + o(1)) lgn n .,index,uncertain,topic_screen,retain,Computational complexity
TCS-1442,Computational complexity,Is there an algebrizing barrier to proving MA ̸⊆ SIZE[nk ]?,index,uncertain,topic_screen,retain,Computational complexity
TCS-1494,Computational complexity,The main problem left open by this work is to exhibit a natural problem in TFZPPdt which is not reducible to Lossy-Code; we conjecture that […],index,uncertain,topic_screen,retain,Computational complexity
TCS-1510,Computational complexity,"Are there properties of finite mathematical objects that can only be certified efficiently to a high degree of confidence by probabilistic algorithms, but that we […]",index,uncertain,topic_screen,retain,Computational complexity
TCS-1516,Computational complexity,Can these techniques be used in order to separate LeastNumber from StrongAvoid?,index,uncertain,topic_screen,retain,Computational complexity
TCS-1553,Computational complexity,"Construct an explicit family of boolean functions fn : {0, 1}n → {0, 1} such that there exist constants δ1 , δ2 > 0 such […]",index,uncertain,topic_screen,retain,Computational complexity
TCS-1602,Computational complexity,The most interesting question that remains open is to determine the deterministic query complexity of finding a king in an n-vertex tournament.,index,uncertain,topic_screen,retain,Computational complexity
TCS-1936,Computational complexity,Does n2 -Ramsey belong to TFAP?,index,uncertain,topic_screen,retain,Computational complexity
TCS-1951,Computational complexity,Can execution bounded CRNs compute semilinear functions and predicates within polylogarithmic time?,index,uncertain,boundary_read,move,Miscellaneous
TCS-2029,Computational complexity,"In the other direction, we leave open whether FBPP ⊂ FBPPnegl or whether the two classes are incomparable.",index,uncertain,topic_screen,retain,Computational complexity
TCS-2093,Computational complexity,It is an open problem to give an unconditional depth hierarchy theorem that separates NDepth [a log n] from NDepth [b log n] for any […],index,uncertain,topic_screen,retain,Computational complexity
TCS-2215,Computational complexity,Can we prove a real version of Toda’s theorem [30]?,index,uncertain,topic_screen,retain,Computational complexity
TCS-2244,Computational complexity,Does Constant Degree Hypothesis hold?,index,uncertain,topic_screen,retain,Computational complexity
TCS-2319,Computational complexity,Can we reduce explicit construction problems to solving NC03 -Avoid?,index,uncertain,topic_screen,retain,Computational complexity
TCS-2331,Computational complexity,Is there a BPPNP certification algorithm that returns certificates of length O(Cert(f ))?,index,uncertain,topic_screen,retain,Computational complexity
TCS-2333,Computational complexity,Is every PLS-complete problem downward self-reducible?,index,uncertain,topic_screen,retain,Computational complexity
TCS-2425,Computational complexity,"Notably, it is still an open question if SZK is closed under ≤Ptt reducibility.",index,uncertain,topic_screen,retain,Computational complexity
TCS-2434,Computational complexity,Establishing a super-polynomial separation between randomness and pseudo-determinism remains open for Parity decision trees.,index,uncertain,topic_screen,retain,Computational complexity
