entry_key,source_id,source_title,source_year,kind,summary,locator,pdf_page,local_pdf_url,source_pdf_url,status
vadhan2012/11,vadhan2012,Pseudorandomness,2012,question,Explicitly construct balanced bipartite vertex expanders with expansion D−O(1).,Open Problem 4.43,119,pdf/vadhan2012.pdf#page=119,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=119,as_presented_in_source; current_status_not_checked
vadhan2012/12,vadhan2012,Pseudorandomness,2012,question,Explicitly construct undirected vertex expanders with expansion arbitrarily close to D.,Open Problem 4.44,119,pdf/vadhan2012.pdf#page=119,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=119,as_presented_in_source; current_status_not_checked
vadhan2012/13,vadhan2012,Pseudorandomness,2012,question,Simulate RL deterministically in space log^c n for c<3/2.,Open Problem 4.47,123,pdf/vadhan2012.pdf#page=123,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=123,as_presented_in_source; current_status_not_checked
vadhan2012/14,vadhan2012,Pseudorandomness,2012,question,Determine the optimal asymptotic binary rate–distance tradeoff.,Open Problem 5.9,140,pdf/vadhan2012.pdf#page=140,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=140,as_presented_in_source; current_status_not_checked
vadhan2012/15,vadhan2012,Pseudorandomness,2012,question,Can full-length Reed–Solomon codes be combinatorially list-decoded beyond the stated square-root bound?,Open Problem 5.20,146,pdf/vadhan2012.pdf#page=146,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=146,as_presented_in_source; current_status_not_checked
vadhan2012/16,vadhan2012,Pseudorandomness,2012,question,Construct explicit binary codes with efficient list decoding approaching capacity; see the formulation caveat.,Open Problem 5.26,154,pdf/vadhan2012.pdf#page=154,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=154,as_presented_in_source; current_status_not_checked
vadhan2012/17,vadhan2012,Pseudorandomness,2012,question,"Construct polylog-degree near-lossless unbalanced expanders, equivalently the specified near-optimal lossless condensers.",Open Problems 5.36 and 6.35; p.197,162,pdf/vadhan2012.pdf#page=162,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=162,as_presented_in_source; current_status_not_checked
vadhan2012/18,vadhan2012,Pseudorandomness,2012,question,Construct logarithmic-seed extractors with constant entropy loss.,Open Problem 6.41,202,pdf/vadhan2012.pdf#page=202,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=202,as_presented_in_source; current_status_not_checked
vadhan2012/19,vadhan2012,Pseudorandomness,2012,question,Construct extractors with seed length log n+O(1) and substantial output.,Open Problem 6.42,203,pdf/vadhan2012.pdf#page=203,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=203,as_presented_in_source; current_status_not_checked
vadhan2012/20,vadhan2012,Pseudorandomness,2012,question,Give direct optimal-order seed/output extractor constructions.,Open Problem 6.43,203,pdf/vadhan2012.pdf#page=203,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=203,as_presented_in_source; current_status_not_checked
vadhan2012/21,vadhan2012,Pseudorandomness,2012,question,Construct cryptographic PRGs from arbitrary one-way functions with seed length linear in input length.,Open Problem 7.13,225,pdf/vadhan2012.pdf#page=225,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=225,as_presented_in_source; current_status_not_checked
vadhan2012/22,vadhan2012,Pseudorandomness,2012,question,Build linear-seed hardness-to-randomness generators of the specified black-box form.,Open Problem 7.25,239,pdf/vadhan2012.pdf#page=239,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=239,as_presented_in_source; current_status_not_checked
vadhan2012/23,vadhan2012,Pseudorandomness,2012,question,"Does BPAC⁰=AC⁰, or at least BPAC⁰⊆P?",Open Problem 7.31,241,pdf/vadhan2012.pdf#page=241,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=241,as_presented_in_source; current_status_not_checked
vadhan2012/24,vadhan2012,Pseudorandomness,2012,question,Construct subpolynomial-seed PRGs fooling AC⁰[2].,Open Problem 7.33,242,pdf/vadhan2012.pdf#page=242,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=242,as_presented_in_source; current_status_not_checked
vadhan2012/25,vadhan2012,Pseudorandomness,2012,question,Do constant-query locally decodable binary codes have polynomial blocklength?,Open Problem 7.53,255,pdf/vadhan2012.pdf#page=255,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=255,as_presented_in_source; current_status_not_checked
vadhan2012/26,vadhan2012,Pseudorandomness,2012,question,Explicitly realize near-optimal unified Γ constructions with efficient local list decoding.,Open Problem 8.5,293,pdf/vadhan2012.pdf#page=293,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=293,as_presented_in_source; current_status_not_checked
vadhan2012/27,vadhan2012,Pseudorandomness,2012,question,Fool width-four read-once branching programs with seed length o(log²m).,Open Problem 8.6,295,pdf/vadhan2012.pdf#page=295,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=295,as_presented_in_source; current_status_not_checked
vadhan2012/28,vadhan2012,Pseudorandomness,2012,question,Derive strong uniform PRGs from EXP not contained in randomized subexponential time.,Open Problem 8.7,297,pdf/vadhan2012.pdf#page=297,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=297,as_presented_in_source; current_status_not_checked
vadhan2012/29,vadhan2012,Pseudorandomness,2012,question,Does promise-BPP derandomization imply superpolynomial circuit lower bounds for E?,Open Problem 8.8,298,pdf/vadhan2012.pdf#page=298,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=298,as_presented_in_source; current_status_not_checked
vadhan2012/30,vadhan2012,Pseudorandomness,2012,question,Does promise-BPP derandomization imply exponential-scale circuit lower bounds for NEXP?,Open Problem 8.9,298,pdf/vadhan2012.pdf#page=298,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=298,as_presented_in_source; current_status_not_checked
vadhan2012/31,vadhan2012,Pseudorandomness,2012,question,Find natural combinatorial or algebraic complete problems for randomized classes.,Open Problem 8.10,299,pdf/vadhan2012.pdf#page=299,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=299,as_presented_in_source; current_status_not_checked
vadhan2012/32,vadhan2012,Pseudorandomness,2012,question,Construct two-source extractors for every constant positive entropy rate.,Open Problem 8.11,306,pdf/vadhan2012.pdf#page=306,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=306,as_presented_in_source; current_status_not_checked
vadhan2012/33,vadhan2012,Pseudorandomness,2012,question,Extract from circuit-samplable sources with low entropy or negligible error under plausible assumptions.,Open Problem 8.12,306,pdf/vadhan2012.pdf#page=306,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=306,as_presented_in_source; current_status_not_checked
vadhan2012/34,vadhan2012,Pseudorandomness,2012,question,"Improve deterministic directed-reachability space, or achieve polynomial time with subpolynomial space.","§2.4, directed reachability",36,pdf/vadhan2012.pdf#page=36,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=36,as_presented_in_source; current_status_not_checked
vadhan2012/35,vadhan2012,Pseudorandomness,2012,question,"Derandomize AM to NP; in particular, establish NP certificates for graph nonisomorphism.","§2, interactive proofs; also p.268",52,pdf/vadhan2012.pdf#page=52,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=52,as_presented_in_source; current_status_not_checked
vadhan2012/36,vadhan2012,Pseudorandomness,2012,question,Make the capacity-approaching large-alphabet code construction fully explicit and deterministic.,"§5.2, large alphabets",154,pdf/vadhan2012.pdf#page=154,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=154,as_presented_in_source; current_status_not_checked
vadhan2012/37,vadhan2012,Pseudorandomness,2012,research_direction,Construct deterministic extractors for further structured source classes.,"§6, seedless extraction",181,pdf/vadhan2012.pdf#page=181,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=181,as_presented_in_source; current_status_not_checked
vadhan2012/38,vadhan2012,Pseudorandomness,2012,question,Obtain suitable worst-case-to-average-case reductions within NP.,"§7.5, NP hardness amplification",243,pdf/vadhan2012.pdf#page=243,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=243,as_presented_in_source; current_status_not_checked
vadhan2012/39,vadhan2012,Pseudorandomness,2012,question,Achieve optimal exponential-scale hardness amplification within NP.,"§8.2.3, NP amplification",302,pdf/vadhan2012.pdf#page=302,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=302,as_presented_in_source; current_status_not_checked
vadhan2012/40,vadhan2012,Pseudorandomness,2012,question,"Match nonuniform high-end amplification uniformly, including optimal NP amplification parameters.","§8.2.3, uniform amplification",303,pdf/vadhan2012.pdf#page=303,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=303,as_presented_in_source; current_status_not_checked
odonnell2021/01,odonnell2021,Analysis of Boolean Functions (updated author edition),2021,conjecture,Is the Fourier spectrum of a small DNF concentrated on a correspondingly small set?,"§4.1, Mansour’s conjecture",96,pdf/odonnell2021.pdf#page=96,https://arxiv.org/pdf/2105.10386#page=96,as_presented_in_source; current_status_not_checked
odonnell2021/02,odonnell2021,Analysis of Boolean Functions (updated author edition),2021,conjecture,Does every linear threshold function have degree-at-most-one Fourier weight at least 2/π?,Conjecture 5.3,115,pdf/odonnell2021.pdf#page=115,https://arxiv.org/pdf/2105.10386#page=115,as_presented_in_source; current_status_not_checked
odonnell2021/03,odonnell2021,Analysis of Boolean Functions (updated author edition),2021,question,Can growing-size juntas be learned from uniformly random examples in polynomial time?,§6.4,156,pdf/odonnell2021.pdf#page=156,https://arxiv.org/pdf/2105.10386#page=156,as_presented_in_source; current_status_not_checked
odonnell2021/04,odonnell2021,Analysis of Boolean Functions (updated author edition),2021,question,Improve the error dependence when sums of independent small-bias distributions fool low-degree polynomials.,"§6.5, after Viola’s theorem",163,pdf/odonnell2021.pdf#page=163,https://arxiv.org/pdf/2105.10386#page=163,as_presented_in_source; current_status_not_checked
odonnell2021/05,odonnell2021,Analysis of Boolean Functions (updated author edition),2021,question,Determine the asymptotic randomized decision-tree complexity of recursive majority-of-three.,"§8.4, Example 8.64",231,pdf/odonnell2021.pdf#page=231,https://arxiv.org/pdf/2105.10386#page=231,as_presented_in_source; current_status_not_checked
odonnell2021/06,odonnell2021,Analysis of Boolean Functions (updated author edition),2021,conjecture,Must a bounded low-degree polynomial have an influence polynomially large in variance divided by degree?,"§8.7, Aaronson–Ambainis conjecture",246,pdf/odonnell2021.pdf#page=246,https://arxiv.org/pdf/2105.10386#page=246,as_presented_in_source; current_status_not_checked
odonnell2021/07,odonnell2021,Analysis of Boolean Functions (updated author edition),2021,question,Must some squared Fourier coefficient be at least exp(−O(total influence))?,§9.6,270,pdf/odonnell2021.pdf#page=270,https://arxiv.org/pdf/2105.10386#page=270,as_presented_in_source; current_status_not_checked
odonnell2021/08,odonnell2021,Analysis of Boolean Functions (updated author edition),2021,conjecture,Approximate biased-measure monotone functions of bounded influence by bounded-width monotone DNFs.,"§10.4, Friedgut’s conjecture",305,pdf/odonnell2021.pdf#page=305,https://arxiv.org/pdf/2105.10386#page=305,as_presented_in_source; current_status_not_checked
raoyehudayoff/01,raoyehudayoff,Communication Complexity (early author draft),,question,Determine tight randomized communication bounds for number-on-forehead set disjointness.,"Introduction, multiparty disjointness",16,pdf/raoyehudayoff.pdf#page=16,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf#page=16,as_presented_in_source; current_status_not_checked
raoyehudayoff/02,raoyehudayoff,Communication Complexity (early author draft),,question,Determine the optimal gap between deterministic communication and logarithmic monochromatic partition size.,Open Problem 1.12,21,pdf/raoyehudayoff.pdf#page=21,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf#page=21,as_presented_in_source; current_status_not_checked
raoyehudayoff/03,raoyehudayoff,Communication Complexity (early author draft),,conjecture,Is deterministic communication bounded by a fixed power of the logarithm of real matrix rank?,Conjecture 2.12,37,pdf/raoyehudayoff.pdf#page=37,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf#page=37,as_presented_in_source; current_status_not_checked
raoyehudayoff/04,raoyehudayoff,Communication Complexity (early author draft),,question,"Can every polynomial-size Boolean circuit be replaced by a polynomial-size, logarithmic-depth circuit?",Open Problem 8.3,99,pdf/raoyehudayoff.pdf#page=99,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf#page=99,as_presented_in_source; current_status_not_checked
raoyehudayoff/05,raoyehudayoff,Communication Complexity (early author draft),,research_direction,Find a more direct geometric proof of the already established monochromatic-submatrix Lemma 2.14.,Open Problem 2.19,42,pdf/raoyehudayoff.pdf#page=42,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf#page=42,as_presented_in_source; current_status_not_checked
raoyehudayoff/06,raoyehudayoff,Communication Complexity (early author draft),,research_direction,Prove optimal lower bounds in the general number-on-forehead communication model.,Chapter 3 introduction,53,pdf/raoyehudayoff.pdf#page=53,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf#page=53,as_presented_in_source; current_status_not_checked
raoyehudayoff/07,raoyehudayoff,Communication Complexity (early author draft),,question,Are there polynomial-size logarithmic-depth general Boolean circuits for perfect matching?,"§8, perfect matching",100,pdf/raoyehudayoff.pdf#page=100,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf#page=100,as_presented_in_source; current_status_not_checked
jukna2012/01,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,"Prove polynomial CNF-complexity lower bounds from average degree for bipartite K₂,₂-free graphs.",Research Problem 1.33; also 11.17,51,pdf/jukna2012.pdf#page=51,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=51,as_presented_in_source; current_status_not_checked
jukna2012/02,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Exhibit graphs with superlogarithmic nondeterministic clique-versus-independent-set communication complexity.,Research Problem 4.15,110,pdf/jukna2012.pdf#page=110,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=110,as_presented_in_source; current_status_not_checked
jukna2012/03,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Is formula size polynomially bounded by the stated monochromatic partition measure?,Research Problem 6.24,183,pdf/jukna2012.pdf#page=183,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=183,as_presented_in_source; current_status_not_checked
jukna2012/04,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Separate polynomial-size monotone circuits from superpolynomial monotone span-program size.,Research Problem 8.7,236,pdf/jukna2012.pdf#page=236,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=236,as_presented_in_source; current_status_not_checked
jukna2012/05,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Separate ordinary and monotone span-program size for monotone functions.,Research Problem 8.12,239,pdf/jukna2012.pdf#page=239,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=239,as_presented_in_source; current_status_not_checked
jukna2012/06,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Strengthen monotone perfect-matching circuit lower bounds to stretched exponential.,Research Problem 9.39,283,pdf/jukna2012.pdf#page=283,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=283,as_presented_in_source; current_status_not_checked
jukna2012/07,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Strengthen explicit depth-three Boolean circuit lower bounds beyond the stated barriers.,Research Problems 11.2 and 11.15,306,pdf/jukna2012.pdf#page=306,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=306,as_presented_in_source; current_status_not_checked
jukna2012/08,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Prove exponential lower bounds for unrestricted depth-two threshold circuits.,Research Problem 11.40,334,pdf/jukna2012.pdf#page=334,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=334,as_presented_in_source; current_status_not_checked
jukna2012/09,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Prove or refute that Majority lies outside ACC⁰.,Research Problem 12.28,359,pdf/jukna2012.pdf#page=359,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=359,as_presented_in_source; current_status_not_checked
jukna2012/10,jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),2012,question,Prove exponential lower bounds for weakly read-once nondeterministic branching programs.,Research Problem 16.12,461,pdf/jukna2012.pdf#page=461,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf#page=461,as_presented_in_source; current_status_not_checked
williamson2011/01,williamson2011,The Design of Approximation Algorithms,2011,conjecture,Resolve the Unique Games Conjecture.,Problem 0,447,pdf/williamson2011.pdf#page=447,https://www.designofapproxalgs.com/book.pdf#page=447,as_presented_in_source; current_status_not_checked
williamson2011/02,williamson2011,The Design of Approximation Algorithms,2011,question,Improve metric TSP approximation; specifically seek a 4/3 guarantee through the subtour LP.,Problem 1; continues p.448,447,pdf/williamson2011.pdf#page=447,https://www.designofapproxalgs.com/book.pdf#page=447,as_presented_in_source; current_status_not_checked
williamson2011/03,williamson2011,The Design of Approximation Algorithms,2011,question,Give a constant-factor approximation for asymmetric metric TSP.,Problem 2,448,pdf/williamson2011.pdf#page=448,https://www.designofapproxalgs.com/book.pdf#page=448,as_presented_in_source; current_status_not_checked
williamson2011/04,williamson2011,The Design of Approximation Algorithms,2011,question,Pack using OPT+1 bins; a constant additive error is a highlighted intermediate goal.,Problem 3; continues p.449,448,pdf/williamson2011.pdf#page=448,https://www.designofapproxalgs.com/book.pdf#page=448,as_presented_in_source; current_status_not_checked
williamson2011/05,williamson2011,The Design of Approximation Algorithms,2011,question,Give a primal-dual 2-approximation for general survivable network design.,Problem 4,449,pdf/williamson2011.pdf#page=449,https://www.designofapproxalgs.com/book.pdf#page=449,as_presented_in_source; current_status_not_checked
williamson2011/06,williamson2011,The Design of Approximation Algorithms,2011,question,Obtain a relaxation-based approximation for capacitated facility location.,Problem 5,449,pdf/williamson2011.pdf#page=449,https://www.designofapproxalgs.com/book.pdf#page=449,as_presented_in_source; current_status_not_checked
williamson2011/07,williamson2011,The Design of Approximation Algorithms,2011,question,"Beat factor two for generalized Steiner tree, also called Steiner forest.",Problem 6; continues p.450,449,pdf/williamson2011.pdf#page=449,https://www.designofapproxalgs.com/book.pdf#page=449,as_presented_in_source; current_status_not_checked
williamson2011/08,williamson2011,The Design of Approximation Algorithms,2011,question,Beat factor two for makespan scheduling on unrelated machines.,Problem 7,450,pdf/williamson2011.pdf#page=450,https://www.designofapproxalgs.com/book.pdf#page=450,as_presented_in_source; current_status_not_checked
williamson2011/09,williamson2011,The Design of Approximation Algorithms,2011,question,Give a constant approximation for precedence-constrained scheduling on related machines.,Problem 8,450,pdf/williamson2011.pdf#page=450,https://www.designofapproxalgs.com/book.pdf#page=450,as_presented_in_source; current_status_not_checked
williamson2011/10,williamson2011,The Design of Approximation Algorithms,2011,question,Color a promised 3-colorable graph with O(log n) colors in polynomial time.,Problem 9,450,pdf/williamson2011.pdf#page=450,https://www.designofapproxalgs.com/book.pdf#page=450,as_presented_in_source; current_status_not_checked
williamson2011/11,williamson2011,The Design of Approximation Algorithms,2011,question,Match the Goemans–Williamson Max-Cut guarantee with a direct primal-dual algorithm.,Problem 10; continues p.451,450,pdf/williamson2011.pdf#page=450,https://www.designofapproxalgs.com/book.pdf#page=450,as_presented_in_source; current_status_not_checked
cygan2015/01,cygan2015,Parameterized Algorithms,2016,question,Determine the complexity of computing treewidth exactly on planar graphs.,"Chapter 7, branchwidth discussion",245,pdf/cygan2015.pdf#page=245,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=245,as_presented_in_source; current_status_not_checked
cygan2015/02,cygan2015,Parameterized Algorithms,2016,question,Does planar Minimum Bisection admit a polynomial-time algorithm?,Chapter 7 bibliographic notes,259,pdf/cygan2015.pdf#page=259,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=259,as_presented_in_source; current_status_not_checked
cygan2015/03,cygan2015,Parameterized Algorithms,2016,question,Compute chromatic number in O*(2ⁿ) time using only polynomial space.,§10.2,343,pdf/cygan2015.pdf#page=343,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=343,as_presented_in_source; current_status_not_checked
cygan2015/04,cygan2015,Parameterized Algorithms,2016,question,Construct linear representations of transversal matroids deterministically in polynomial time.,§12.1.4,399,pdf/cygan2015.pdf#page=399,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=399,as_presented_in_source; current_status_not_checked
cygan2015/05,cygan2015,Parameterized Algorithms,2016,question,"Find matroid circuits of size at least k, parameterized by k, for integer representations.",§12.2,402,pdf/cygan2015.pdf#page=402,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=402,as_presented_in_source; current_status_not_checked
cygan2015/06,cygan2015,Parameterized Algorithms,2016,question,"Separate levels of the W-hierarchy, including the Independent Set and Dominating Set levels.",§13.3,451,pdf/cygan2015.pdf#page=451,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=451,as_presented_in_source; current_status_not_checked
cygan2015/07,cygan2015,Parameterized Algorithms,2016,question,Determine fixed-parameter tractability of finding a small nonempty even set.,"§13.5, Even Set",472,pdf/cygan2015.pdf#page=472,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=472,as_presented_in_source; current_status_not_checked
cygan2015/08,cygan2015,Parameterized Algorithms,2016,conjecture,Resolve the Exponential-Time Hypothesis and its strong version.,Conjectures 14.1–14.2,485,pdf/cygan2015.pdf#page=485,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=485,as_presented_in_source; current_status_not_checked
cygan2015/09,cygan2015,Parameterized Algorithms,2016,question,Remove the logarithmic loss from the stated ETH-based exponent lower bound.,"Chapter 14, Subgraph Isomorphism",505,pdf/cygan2015.pdf#page=505,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=505,as_presented_in_source; current_status_not_checked
cygan2015/10,cygan2015,Parameterized Algorithms,2016,conjecture,Resolve the Set Cover Conjecture.,Conjecture 14.36,523,pdf/cygan2015.pdf#page=523,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=523,as_presented_in_source; current_status_not_checked
cygan2015/11,cygan2015,Parameterized Algorithms,2016,question,Separate polynomial compression from polynomial kernelization for natural problems.,§15.1.2,549,pdf/cygan2015.pdf#page=549,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf#page=549,as_presented_in_source; current_status_not_checked
goldreich2017/01,goldreich2017,Introduction to Property Testing (April 2017 manuscript),2017,question,Determine the exact rejection-versus-distance curve of the homomorphism tester.,Open Problem 2.4,72,pdf/goldreich2017.pdf#page=72,https://www.wisdom.weizmann.ac.il/~oded/PDF/pt-v3.pdf#page=72,as_presented_in_source; current_status_not_checked
goldreich2017/02,goldreich2017,Introduction to Property Testing (April 2017 manuscript),2017,question,Identify path distributions giving the stated near-square-root-dimensional monotonicity-testing guarantee.,Open Problem 4.5,101,pdf/goldreich2017.pdf#page=101,https://www.wisdom.weizmann.ac.il/~oded/PDF/pt-v3.pdf#page=101,as_presented_in_source; current_status_not_checked
goldreich2017/03,goldreich2017,Introduction to Property Testing (April 2017 manuscript),2017,question,Test monotone k-monomials with one-sided error and dimension-independent query complexity.,Open Problem 5.8,124,pdf/goldreich2017.pdf#page=124,https://www.wisdom.weizmann.ac.il/~oded/PDF/pt-v3.pdf#page=124,as_presented_in_source; current_status_not_checked
