key,kind,title,authors,year,area,source_url,pdf_url,updates_url
bandeira2015,lecture_notes,Ten Lectures and Forty-Two Open Problems in the Mathematics of Data Science,Afonso S. Bandeira,2015,Learning theory,https://www.ocw.mit.edu/courses/18-s096-topics-in-mathematics-of-data-science-fall-2015/,https://www.ocw.mit.edu/courses/18-s096-topics-in-mathematics-of-data-science-fall-2015/5f0f7205d1cf274e80d77345a7edbf2a_MIT18_S096F15_TenLec.pdf,
simonsfourier2013,workshop_problem_collection,Open problems in the analysis of Boolean functions,,2013,Analysis of Boolean functions,https://simons.berkeley.edu/sites/default/files/openprobsmerged.pdf,https://simons.berkeley.edu/sites/default/files/openprobsmerged.pdf,
nonabelian2011,survey,Aspects of Nonabelian Group Based Cryptography: A Survey and Open Problems,Benjamin Fine; Maggie Habeeb; Delaram Kahrobaei; Gerhard Rosenberger,2011,Cryptography,https://arxiv.org/abs/1103.4093,https://arxiv.org/pdf/1103.4093,
polycyclic2016,survey,The Status of Polycyclic Group-Based Cryptography: A Survey and Open Problems,Jonathan Gryak; Delaram Kahrobaei,2016,Cryptography,https://arxiv.org/abs/1607.05819,https://arxiv.org/pdf/1607.05819,
eccc2026_088,survey,"A digest of the work of Rothblum, Vadhan, and Wigderson (2013)",,2026,Computational complexity,https://eccc.weizmann.ac.il/report/2026/088/,https://eccc.weizmann.ac.il/report/2026/088/download/,
eccc2026_045,survey,Using Hardness vs Randomness to Design Low-Space Algorithms,,2026,Computational complexity,https://eccc.weizmann.ac.il/report/2026/045/,https://eccc.weizmann.ac.il/report/2026/045/download/,
eccc2026_032,survey,Advances in List Decoding of Polynomial Codes,,2026,Computational complexity,https://eccc.weizmann.ac.il/report/2026/032/,https://eccc.weizmann.ac.il/report/2026/032/download/,
eccc2025_207,survey,Algebra in Algorithmic Coding Theory,,2025,Computational complexity,https://eccc.weizmann.ac.il/report/2025/207/,https://eccc.weizmann.ac.il/report/2025/207/download/,
eccc2025_086,survey,An Introduction to Feasible Mathematics and Bounded Arithmetic for Computer Scientists,,2025,Computational complexity,https://eccc.weizmann.ac.il/report/2025/086/,https://eccc.weizmann.ac.il/report/2025/086/download/,
eccc2025_083,survey,A primer on the closure of algebraic complexity classes under factoring,,2025,Computational complexity,https://eccc.weizmann.ac.il/report/2025/083/,https://eccc.weizmann.ac.il/report/2025/083/download/,
eccc2025_041,survey,Meta-Mathematics of Computational Complexity Theory,,2025,Computational complexity,https://eccc.weizmann.ac.il/report/2025/041/,https://eccc.weizmann.ac.il/report/2025/041/download/,
eccc2025_015,survey,An exposition of recent list-size bounds of FRS Codes,,2025,Computational complexity,https://eccc.weizmann.ac.il/report/2025/015/,https://eccc.weizmann.ac.il/report/2025/015/download/,
eccc2024_159,survey,Binary Codes with Distance Close to Half,,2024,Computational complexity,https://eccc.weizmann.ac.il/report/2024/159/,https://eccc.weizmann.ac.il/report/2024/159/download/,
eccc2024_109,survey,On the Cook-Mertz Tree Evaluation procedure,,2024,Computational complexity,https://eccc.weizmann.ac.il/report/2024/109/,https://eccc.weizmann.ac.il/report/2024/109/download/,
eccc2024_078,survey,On the relaxed LDC of BGHSV: A survey that corrects the record,,2024,Computational complexity,https://eccc.weizmann.ac.il/report/2024/078/,https://eccc.weizmann.ac.il/report/2024/078/download/,
eccc2024_013,survey,On locally-characterized expander graphs (a survey),,2024,Computational complexity,https://eccc.weizmann.ac.il/report/2024/013/,https://eccc.weizmann.ac.il/report/2024/013/download/,
eccc2024_012,survey,Structure in Communication Complexity and Constant-Cost Complexity Classes,,2024,Computational complexity,https://eccc.weizmann.ac.il/report/2024/012/,https://eccc.weizmann.ac.il/report/2024/012/download/,
eccc2023_200,survey,An Efficient Deterministic Primality Test,,2023,Computational complexity,https://eccc.weizmann.ac.il/report/2023/200/,https://eccc.weizmann.ac.il/report/2023/200/download/,
eccc2023_179,survey,Reusing Space: Techniques and Open Problems,,2023,Computational complexity,https://eccc.weizmann.ac.il/report/2023/179/,https://eccc.weizmann.ac.il/report/2023/179/download/,
eccc2023_158,survey,On coarse and fine approximate counting of $t$-cliques,,2023,Computational complexity,https://eccc.weizmann.ac.il/report/2023/158/,https://eccc.weizmann.ac.il/report/2023/158/download/,
eccc2023_094,survey,New ways of studying the BPP = P conjecture,,2023,Computational complexity,https://eccc.weizmann.ac.il/report/2023/094/,https://eccc.weizmann.ac.il/report/2023/094/download/,
eccc2023_034,survey,On teaching the approximation method for circuit lower bounds,,2023,Computational complexity,https://eccc.weizmann.ac.il/report/2023/034/,https://eccc.weizmann.ac.il/report/2023/034/download/,
eccc2023_019,survey,Theory of Unconditional Pseudorandom Generators,,2023,Computational complexity,https://eccc.weizmann.ac.il/report/2023/019/,https://eccc.weizmann.ac.il/report/2023/019/download/,
eccc2022_170,survey,The Complexity of the Shortest Vector Problem,,2022,Computational complexity,https://eccc.weizmann.ac.il/report/2022/170/,https://eccc.weizmann.ac.il/report/2022/170/download/,
eccc2022_142,survey,Correlation bounds against polynomials,,2022,Computational complexity,https://eccc.weizmann.ac.il/report/2022/142/,https://eccc.weizmann.ac.il/report/2022/142/download/,
eccc2022_126,survey,An Invitation to the Promise Constraint Satisfaction Problem,,2022,Computational complexity,https://eccc.weizmann.ac.il/report/2022/126/,https://eccc.weizmann.ac.il/report/2022/126/download/,
eccc2022_121,survey,Recent Progress on Derandomizing Space-Bounded Computation,,2022,Computational complexity,https://eccc.weizmann.ac.il/report/2022/121/,https://eccc.weizmann.ac.il/report/2022/121/download/,
eccc2022_081,survey,Theory and Applications of Probabilistic Kolmogorov Complexity,,2022,Computational complexity,https://eccc.weizmann.ac.il/report/2022/081/,https://eccc.weizmann.ac.il/report/2022/081/download/,
eccc2022_065,survey,Streaming and Sketching Complexity of CSPs: A survey,,2022,Computational complexity,https://eccc.weizmann.ac.il/report/2022/065/,https://eccc.weizmann.ac.il/report/2022/065/download/,
eccc2022_005,survey,Sunflowers: from soil to oil,,2022,Computational complexity,https://eccc.weizmann.ac.il/report/2022/005/,https://eccc.weizmann.ac.il/report/2022/005/download/,
eccc2021_181,survey,The KW Games as a Teaser,,2021,Computational complexity,https://eccc.weizmann.ac.il/report/2021/181/,https://eccc.weizmann.ac.il/report/2021/181/download/,
eccc2021_175,survey,On the Locally Testable Code of Dinur et al. (2021),,2021,Computational complexity,https://eccc.weizmann.ac.il/report/2021/175/,https://eccc.weizmann.ac.il/report/2021/175/download/,
eccc2021_120,survey,How to Find Water in the Ocean: A Survey on Quantified Derandomization,,2021,Computational complexity,https://eccc.weizmann.ac.il/report/2021/120/,https://eccc.weizmann.ac.il/report/2021/120/download/,
eccc2021_088,survey,Open Problems in Property Testing of Graphs,,2021,Computational complexity,https://eccc.weizmann.ac.il/report/2021/088/,https://eccc.weizmann.ac.il/report/2021/088/download/,
eccc2021_065,survey,One-way communication complexity and non-adaptive decision trees,,2021,Computational complexity,https://eccc.weizmann.ac.il/report/2021/065/,https://eccc.weizmann.ac.il/report/2021/065/download/,
eccc2021_061,survey,Reflections on Proof Complexity and Counting Principles,,2021,Computational complexity,https://eccc.weizmann.ac.il/report/2021/061/,https://eccc.weizmann.ac.il/report/2021/061/download/,
eccc2020_115,survey,The Busy Beaver Frontier,,2020,Computational complexity,https://eccc.weizmann.ac.il/report/2020/115/,https://eccc.weizmann.ac.il/report/2020/115/download/,
eccc2020_086,survey,A Survey on Approximation in Parameterized Complexity: Hardness and Algorithms,,2020,Computational complexity,https://eccc.weizmann.ac.il/report/2020/086/,https://eccc.weizmann.ac.il/report/2020/086/download/,
eccc2020_078,survey,The New Complexity Landscape around Circuit Minimization,,2020,Computational complexity,https://eccc.weizmann.ac.il/report/2020/078/,https://eccc.weizmann.ac.il/report/2020/078/download/,
eccc2019_106,survey,Semialgebraic Proofs and Efficient Algorithm Design,,2019,Computational complexity,https://eccc.weizmann.ac.il/report/2019/106/,https://eccc.weizmann.ac.il/report/2019/106/download/,
eccc2019_086,survey,Perfect zero knowledge for quantum multiprover interactive proofs,,2019,Computational complexity,https://eccc.weizmann.ac.il/report/2019/086/,https://eccc.weizmann.ac.il/report/2019/086/download/,
eccc2018_166,survey,An overview of some semantic and syntactic complexity classes,,2018,Computational complexity,https://eccc.weizmann.ac.il/report/2018/166/,https://eccc.weizmann.ac.il/report/2018/166/download/,
eccc2018_151,survey,Recent progress on scaling algorithms and applications,,2018,Computational complexity,https://eccc.weizmann.ac.il/report/2018/151/,https://eccc.weizmann.ac.il/report/2018/151/download/,
eccc2018_125,survey,Fundamentals of Fully Homomorphic Encryption – A Survey,,2018,Computational complexity,https://eccc.weizmann.ac.il/report/2018/125/,https://eccc.weizmann.ac.il/report/2018/125/download/,
eccc2018_072,survey,On the nature of the Theory of Computation (ToC),,2018,Computational complexity,https://eccc.weizmann.ac.il/report/2018/072/,https://eccc.weizmann.ac.il/report/2018/072/download/,
eccc2018_001,survey,"Complexity Theory, Game Theory, and Economics",,2018,Computational complexity,https://eccc.weizmann.ac.il/report/2018/001/,https://eccc.weizmann.ac.il/report/2018/001/download/,
eccc2017_126,survey,Local Testing and Decoding of High-Rate Error-Correcting Codes,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/126/,https://eccc.weizmann.ac.il/report/2017/126/download/,
eccc2017_113,survey,Pseudorandom Functions: Three Decades Later,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/113/,https://eccc.weizmann.ac.il/report/2017/113/download/,
eccc2017_102,survey,Overview of the doubly-efficient interactive proof systems of RRR,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/102/,https://eccc.weizmann.ac.il/report/2017/102/download/,
eccc2017_101,survey,On the doubly-efficient interactive proof systems of GKR,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/101/,https://eccc.weizmann.ac.il/report/2017/101/download/,
eccc2017_084,survey,The Many Entropies in One-Way Functions,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/084/,https://eccc.weizmann.ac.il/report/2017/084/download/,
eccc2017_067,survey,Garbled Circuits as Randomized Encodings of Functions: a Primer,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/067/,https://eccc.weizmann.ac.il/report/2017/067/download/,
eccc2017_065,survey,The Complexity of Public-Key Cryptograph,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/065/,https://eccc.weizmann.ac.il/report/2017/065/download/,
eccc2017_004,survey,P=?NP,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/004/,https://eccc.weizmann.ac.il/report/2017/004/download/,
eccc2017_001,survey,A Survey of Classes of Primitive Recursive Functions,,2017,Computational complexity,https://eccc.weizmann.ac.il/report/2017/001/,https://eccc.weizmann.ac.il/report/2017/001/download/,
eccc2016_109,survey,The Complexity of Quantum States and Transformations: From Quantum Money to Black Holes,,2016,Computational complexity,https://eccc.weizmann.ac.il/report/2016/109/,https://eccc.weizmann.ac.il/report/2016/109/download/,
eccc2016_101,survey,"Algebraic Proof Complexity: Progress, Frontiers and Challenges",,2016,Computational complexity,https://eccc.weizmann.ac.il/report/2016/101/,https://eccc.weizmann.ac.il/report/2016/101/download/,
eccc2016_034,survey,On the Computational Complexity of MaxSAT,,2016,Computational complexity,https://eccc.weizmann.ac.il/report/2016/034/,https://eccc.weizmann.ac.il/report/2016/034/download/,
eccc2015_156,survey,Communication Complexity (for Algorithm Designers),,2015,Computational complexity,https://eccc.weizmann.ac.il/report/2015/156/,https://eccc.weizmann.ac.il/report/2015/156/download/,
eccc2015_153,survey,Computing Equilibria: A Computational Complexity Perspective,,2015,Computational complexity,https://eccc.weizmann.ac.il/report/2015/153/,https://eccc.weizmann.ac.il/report/2015/153/download/,
eccc2015_097,survey,Towards Better Inapproximability Bounds for TSP: A Challenge of Global Dependencies,,2015,Computational complexity,https://eccc.weizmann.ac.il/report/2015/097/,https://eccc.weizmann.ac.il/report/2015/097/download/,
eccc2015_063,survey,A Survey on Distribution Testing: Your Data is Big. But is it Blue?,,2015,Computational complexity,https://eccc.weizmann.ac.il/report/2015/063/,https://eccc.weizmann.ac.il/report/2015/063/download/,
eccc2015_060,survey,Information Complexity and the Quest for Interactive Compression,,2015,Computational complexity,https://eccc.weizmann.ac.il/report/2015/060/,https://eccc.weizmann.ac.il/report/2015/060/download/,
eccc2015_048,survey,Width Hierarchy for $k$-OBDD of Small Width,,2015,Computational complexity,https://eccc.weizmann.ac.il/report/2015/048/,https://eccc.weizmann.ac.il/report/2015/048/download/,
eccc2015_027,survey,Cryptographic Hardness of Random Local Functions -- Survey,,2015,Computational complexity,https://eccc.weizmann.ac.il/report/2015/027/,https://eccc.weizmann.ac.il/report/2015/027/download/,
eccc2014_143,survey,Compendium of Parameterized Problems at Higher Levels of the Polynomial Hierarchy,,2014,Computational complexity,https://eccc.weizmann.ac.il/report/2014/143/,https://eccc.weizmann.ac.il/report/2014/143/download/,
eccc2014_106,survey,Computing on the edge of chaos: Structure and randomness in encrypted computation,,2014,Computational complexity,https://eccc.weizmann.ac.il/report/2014/106/,https://eccc.weizmann.ac.il/report/2014/106/download/,
eccc2014_059,survey,Sum-of-squares proofs and the quest toward optimal algorithms,,2014,Computational complexity,https://eccc.weizmann.ac.il/report/2014/059/,https://eccc.weizmann.ac.il/report/2014/059/download/,
eccc2014_041,survey,Recent advances on the log-rank conjecture in communication complexity,,2014,Computational complexity,https://eccc.weizmann.ac.il/report/2014/041/,https://eccc.weizmann.ac.il/report/2014/041/download/,
eccc2014_008,survey,Space Complexity of the Directed Reachability Problem over Surface-Embedded Graphs.,,2014,Computational complexity,https://eccc.weizmann.ac.il/report/2014/008/,https://eccc.weizmann.ac.il/report/2014/008/download/,
eccc2013_186,survey,Progress on Polynomial Identity Testing - II,,2013,Computational complexity,https://eccc.weizmann.ac.il/report/2013/186/,https://eccc.weizmann.ac.il/report/2013/186/download/,
eccc2013_182,survey,Structure vs Combinatorics in Computational Complexity,,2013,Computational complexity,https://eccc.weizmann.ac.il/report/2013/182/,https://eccc.weizmann.ac.il/report/2013/182/download/,
eccc2013_166,survey,On testing affine-invariant properties,,2013,Computational complexity,https://eccc.weizmann.ac.il/report/2013/166/,https://eccc.weizmann.ac.il/report/2013/166/download/,
eccc2013_165,survey,Verifying computations without reexecuting them: from theoretical possibility to near-practicality,,2013,Computational complexity,https://eccc.weizmann.ac.il/report/2013/165/,https://eccc.weizmann.ac.il/report/2013/165/download/,
eccc2013_119,survey,Challenges in computational lower bounds,,2013,Computational complexity,https://eccc.weizmann.ac.il/report/2013/119/,https://eccc.weizmann.ac.il/report/2013/119/download/,
eccc2013_117,survey,Algorithms versus Circuit Lower Bounds,,2013,Computational complexity,https://eccc.weizmann.ac.il/report/2013/117/,https://eccc.weizmann.ac.il/report/2013/117/download/,
eccc2013_087,survey,Estimating the distance from testable affine-invariant properties,,2013,Computational complexity,https://eccc.weizmann.ac.il/report/2013/087/,https://eccc.weizmann.ac.il/report/2013/087/download/,
eccc2013_017,survey,A Short Excursion into Semi-Algebraic Hierarchies,,2013,Computational complexity,https://eccc.weizmann.ac.il/report/2013/017/,https://eccc.weizmann.ac.il/report/2013/017/download/,
eccc2012_120,survey,Proof vs. Truth in Computational Complexity,,2012,Computational complexity,https://eccc.weizmann.ac.il/report/2012/120/,https://eccc.weizmann.ac.il/report/2012/120/download/,
eccc2012_084,survey,Ironic Complicity: Satisfiability Algorithms and Circuit Lower Bounds,,2012,Computational complexity,https://eccc.weizmann.ac.il/report/2012/084/,https://eccc.weizmann.ac.il/report/2012/084/download/,
eccc2012_009,survey,"Computational Complexity, NP Completeness and Optimization Duality: A Survey",,2012,Computational complexity,https://eccc.weizmann.ac.il/report/2012/009/,https://eccc.weizmann.ac.il/report/2012/009/download/,
eccc2011_159,survey,Enhancements of Trapdoor Permutations,,2011,Computational complexity,https://eccc.weizmann.ac.il/report/2011/159/,https://eccc.weizmann.ac.il/report/2011/159/download/,
eccc2011_108,survey,Why Philosophers Should Care About Computational Complexity,,2011,Computational complexity,https://eccc.weizmann.ac.il/report/2011/108/,https://eccc.weizmann.ac.il/report/2011/108/download/,
eccc2011_093,survey,Complexity Dichotomies of Counting Problems,,2011,Computational complexity,https://eccc.weizmann.ac.il/report/2011/093/,https://eccc.weizmann.ac.il/report/2011/093/download/,
eccc2011_004,survey,On the complexity of computational problems regarding distributions (a survey),,2011,Computational complexity,https://eccc.weizmann.ac.il/report/2011/004/,https://eccc.weizmann.ac.il/report/2011/004/download/,
fair2023,survey,Complexity Results and Exact Algorithms for Fair Division of Indivisible Items: A Survey,,2023,Algorithmic game theory and fair division,https://www.ijcai.org/proceedings/2023/754,https://www.ijcai.org/proceedings/2023/0754.pdf,
fair2022,survey,Fair Division of Indivisible Goods: A Survey,,2022,Algorithmic game theory and fair division,https://www.cs.toronto.edu/~nisarg/teaching/2556s22/papers/fair-division-survey.pdf,https://www.cs.toronto.edu/~nisarg/teaching/2556s22/papers/fair-division-survey.pdf,
stringcover2022,survey,String Covering: A Survey,,2022,String algorithms,https://arxiv.org/abs/2211.11856,https://arxiv.org/pdf/2211.11856,
nordstrom2013,survey,"Pebble Games, Proof Complexity, and Time-Space Trade-offs",,2013,Proof complexity and logic,https://arxiv.org/abs/1307.3913,https://arxiv.org/pdf/1307.3913,
reconfig2020,survey,Reconfiguration of Colourings and Dominating Sets in Graphs: a Survey,,2020,Reconfiguration algorithms,https://arxiv.org/abs/2003.05956,https://arxiv.org/pdf/2003.05956,
codeequiv2026,survey,A Survey on Code Equivalence: The State-of-the-Art and Open Questions,,2026,Coding and information theory,https://arxiv.org/abs/2607.12870,https://arxiv.org/pdf/2607.12870,
mixedfair2023,survey,Mixed Fair Division: A Survey,,2023,Algorithmic game theory and fair division,https://arxiv.org/abs/2306.09564,https://arxiv.org/pdf/2306.09564,
additive2017,survey,Additive Combinatorics and its Applications in Theoretical Computer Science,,2017,Combinatorics and graph polynomials,https://www.theoryofcomputing.org/articles/gs008/,https://www.theoryofcomputing.org/articles/gs008/gs008.pdf,
temporal2015,survey,An Introduction to Temporal Graphs: An Algorithmic Perspective,,2015,Temporal graph algorithms,https://arxiv.org/abs/1503.00278,https://arxiv.org/pdf/1503.00278,
spanners2020,survey,Graph spanners: a tutorial review,,2020,Graph theory and graph algorithms,https://arxiv.org/abs/1909.03152,https://arxiv.org/pdf/1909.03152,
cspfine2020,survey,A Survey on the Fine-grained Complexity of Constraint Satisfaction Problems Based on Partial Polymorphisms,,2020,Constraint satisfaction,https://victorlagerkvist.github.io/assets/pdf/mvl2020.pdf,https://victorlagerkvist.github.io/assets/pdf/mvl2020.pdf,
bodirskycsp,survey,Constraint Satisfaction Problems,,2008,Constraint satisfaction,https://www.lix.polytechnique.fr/~bodirsky/publications/csp-survey.pdf,https://www.lix.polytechnique.fr/~bodirsky/publications/csp-survey.pdf,
cspbook2017,edited_book,The Constraint Satisfaction Problem: Complexity and Approximability,,2017,Constraint satisfaction,https://drops.dagstuhl.de/entities/volume/DFU-volume-7,https://drops.dagstuhl.de/storage/02dagstuhl-follow-ups/dfu-vol007/DFU.Vol7.15301/DFU.Vol7.15301.pdf,
williamson2011,book,The Design of Approximation Algorithms,,2011,Approximation algorithms,https://www.designofapproxalgs.com/,https://www.designofapproxalgs.com/book.pdf,
odonnell2021,book,Analysis of Boolean Functions (updated author edition),,2021,Analysis of Boolean functions,https://arxiv.org/abs/2105.10386,https://arxiv.org/pdf/2105.10386,
