id,title,category,decision,basis,concurrent_addition
TCS-4048,"The problem is that we do not know how to fix those holes later on: our characterization of 2D − CLH ∗ (k, 2) instances […]",Quantum computation,quarantine,fragment,False
TCS-4074,"Classically, it is still an open question whether the log(1/ε)-factor in the upper bound of [17] for (ε, δ)-proper PAC learning is necessary.",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4112,"It remains open, whether the log-factor can be shaved off of the upper bound (compare [2]).",Quantum computation,quarantine,followup,False
TCS-4131,What is the relationship between PQMA[log] and PUQMA[log] ?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4162,"Finally, while the present results provide necessary conditions for strong non-locality in three-qubit states, the more general question of characterising strong non-locality of n-qubit states, […]",Quantum computation,quarantine,followup,False
TCS-4188,Can we eliminate the round dependence in Theorem 33?,Quantum computation,quarantine,followup,False
TCS-4223,Does state-dependent contextuality admit a similar treatment?,Quantum computation,quarantine,followup,False
TCS-4238,"Or, on the contrary, is the amount of certified randomness against no-signaling adversaries bounded also in the sequential scenario?",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4239,Can one define and show hedging for bit-commitment?,Quantum computation,quarantine,specialized,False
TCS-4272,"Now, can we deduce this same equality from the supplementarity of some of its multiples?",Quantum computation,quarantine,followup,False
TCS-4282,Is the bit-complexity of O((n + m)M (n)) for producing explicit assignments optimal?,Quantum computation,quarantine,followup,False
TCS-4300,"Is it possible to give an algorithm with gate complexity only poly(d, log q)?",Quantum computation,quarantine,specialized,False
TCS-4326,Can we have examples where the dependence on input size is better?,Quantum computation,quarantine,fragment,False
TCS-4344,"As a consequence, the completeness of the ZX-calculus augmented with the supplementarity is an open question for any fragment which does not contain rational multiples […]",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4374,"It is an open problem if cases like this can be tackled, e.g., by considering multi-register algorithms.",Quantum computation,quarantine,followup,False
TCS-4382,Is it true that quantum algorithms with 2 queries are equivalent to polynomials of degree 4?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4383,What is the correct characterization there?,Quantum computation,quarantine,fragment,False
TCS-4419,Is it true that for any n-vertex graph H we have: (a) R(fH ) = Ω(αH · n)?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4429,Do multi-source extractors remain secure also in the presence of non-signalling side information?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4457,"We conjecture that the power of any two-qubit Hamiltonian obeys a dichotomy: either H is efficiently classicaly simulable in this model,",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4469,Is qq-QAM contained in BP · PP?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4493,"In particular, we do not know if a sharp threshold behaviour between both regimes exists or not.",Quantum computation,quarantine,fragment,False
TCS-4499,"It is an open question whether a similar result for maximum matching in a general nonbipartite graph can be proven, perhaps by applying Theorem 5.2 […]",Quantum computation,quarantine,followup,False
TCS-4508,2 A natural question (which we leave open) is how to define a relative entropy between assemblages that is non-increasing under generic assemblage transformations instead […],Quantum computation,quarantine,followup,False
TCS-4509,"A polynomial number of verifications is optimal for unconditionally secure schemes, nevertheless, a natural question that still remains open is whether we can have computationally […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4530,Is it possible to extend the Grover search analysis to handle CQ games?,Quantum computation,quarantine,followup,False
TCS-4579,"Could we simulate arbitrary von Neumann measurements as efficiently as the case of equatorial measurements, i.e. with O(n log n) bits of communication?",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4586,"While the query complexity of oracle identification in terms of M and N has been fully characterized, finding an optimal quantum algorithm for oip(C) remains […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4595,What is the computational power conferred by 1 time-traveling qubit?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4601,Can we replace bounds involving Q∞ with tighter bounds involving Q2 ?,Quantum computation,quarantine,followup,False
TCS-4602,Which is a necessary condition for a family of MBQC resource states to be universal for the DQC1 computation?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4603,"Alternatively, can we prove tightness of the current lower bound?",Quantum computation,quarantine,fragment,False
TCS-4610,"This raises the question: is there a sense in which a MBQC procedure on a graph G, which implements unitary a transformation using only measurements […]",Quantum computation,quarantine,followup,False
TCS-4615,The difficult question of whether or not the quantum entropy satisfies inequalities beyond positivity and SSA remains open for four or more parties.,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4638,Can we improve the factor 1/4 in Corollary 4?,Quantum computation,quarantine,fragment,False
TCS-4639,Can we say more about the dependence of MADVc on c?,Quantum computation,quarantine,followup,False
TCS-4642,What is the query complexity of verifying a given shift?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4664,Can we extend the D(Bipartite Matchingn ) ≤ O(n3/2 log n) bound to general graphs?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4696,Quantum Merkle Trees — Open Problem 2,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4697,Efficient Learning of Quantum States Prepared With Few Non-Clifford Gates — Question 10.2,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4698,Cutting circuits with multiple two-qubit unitaries — Question 1,Quantum computation,quarantine,specialized,False
TCS-4699,Quantum Meets the Minimum Circuit Size Problem — Open Problem 5,Quantum computation,quarantine,followup,False
TCS-4700,On the Suitability of Syndrome Decoding for Proof-of-Work under Quantum Adversaries: Design and Analysis — Unresolved-question passage on page 15,Quantum computation,quarantine,fragment,False
TCS-4701,Spectral Gaps with Quantum Counting Queries and Oblivious State Preparation — Unresolved-question passage on page 20,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4702,An adversary bound for quantum signal processing — Conjecture 4.15,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-4704,Information-theoretic generalization bounds for learning from quantum data — Open Problem 1,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
