id,title,category,state,reason_code,reason,duplicate_of,source
TCS-4326,Can we have examples where the dependence on input size is better?,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Can we have examples where the dependence on input size is better?”.",,https://doi.org/10.4230/LIPIcs.TQC.2016.3
TCS-4383,What is the correct characterization there?,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “What is the correct characterization there?”.",,https://doi.org/10.4230/LIPIcs.CCC.2016.26
TCS-4493,"In particular, we do not know if a sharp threshold behaviour between both regimes exists or not.",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “In particular, we do not know if a sharp threshold behaviour between both regimes exists or not.”.",,https://doi.org/10.4230/LIPIcs.TQC.2015.39
TCS-4603,"Alternatively, can we prove tightness of the current lower bound?",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Alternatively, can we prove tightness of the current lower bound?”.",,https://doi.org/10.4230/LIPIcs.TQC.2014.67
TCS-4638,Can we improve the factor 1/4 in Corollary 4?,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Can we improve the factor 1/4 in Corollary 4?”.",,https://doi.org/10.4230/LIPIcs.STACS.2013.424
TCS-4700,On the Suitability of Syndrome Decoding for Proof-of-Work under Quantum Adversaries: Design and Analysis — Unresolved-question passage on page 15,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “However, the extent to which it can be leveraged algorithmically remains open.”.",,https://eprint.iacr.org/2026/1526
TCS-4727,Quantum Chaos and Universal Trotterisation Behaviours in Digital Quantum Simulations — Unresolved-question passage on page 34,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Our numerical analyses do not provide an explanation for this behaviour, which we leave as an open question.”.",,https://doi.org/10.22331/q-2025-12-02-1924
TCS-4733,A hierarchy of semidefinite programs for generalised Einstein-Podolsky-Rosen scenarios — Explicit open question on PDF page 16,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Whether this sheds light on a general construction for τ is an open question.”.",,https://doi.org/10.22331/q-2025-01-14-1591
TCS-4747,Quantum Money from Abelian Group Actions — Explicit open question on PDF page 7,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “We do not know how to make non-interactive assumptions work, in general.”.",,https://doi.org/10.4230/LIPIcs.ITCS.2024.101
TCS-4759,Toward Separating QMA from QCMA with a Classical Oracle — Explicit open question on PDF page 4,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Unfortunately, we do not know how to prove that U which are close to k-wise independent are sufficient to make our approach work.”.",,https://doi.org/10.4230/LIPIcs.ITCS.2025.95
TCS-4766,Public-Key Pseudoentanglement and the Hardness of Learning Ground State Entanglement Structure — Explicit open question on PDF page 8,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “With the construction of [3], we do not know how to bound the entanglement of these reduced states.”.",,https://doi.org/10.4230/LIPIcs.CCC.2024.21
TCS-4783,A Distribution Testing Oracle Separating QMA and QCMA — Explicit open question on PDF page 7,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “We conjecture that our problem yields such a separation, but a new technique seems necessary to prove it.”.",,https://doi.org/10.4230/LIPIcs.CCC.2023.22
TCS-4795,Mitigating photon loss in linear optical quantum circuits — Conjecture 3,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “When m ∈ Ω(n2 ), and for values of k ∈ O(1), exponential extrapolation recycling mitigation gives the following performance guarantee with high probability …”.",,https://doi.org/10.22331/q-2026-03-16-2030
TCS-4808,Noise-tolerant public-key quantum money from a classical oracle — Unresolved-question passage on page 34,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Equation (50) uses the fact that |DE∗X \ CE∗X | = |DE∗X | − |DE∗X ∩ CE∗X | and that the intersection of two …”.",,https://doi.org/10.22331/q-2025-04-07-1691
TCS-4834,Hyper-optimized Quantum Lego Contraction Schedules — Unresolved-question passage on page 4,Quantum computation,quarantined,fragment,"An extraction false positive: “open” refers to qubits left uncontracted in a tensor, not to an unresolved research problem.",,https://doi.org/10.22331/q-2026-05-05-2092
TCS-4841,Measuring quantum relative entropy with finite-size effect — Explicit open question on PDF page 9,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “The analysis [48] is different from ours in the following points. (i) We assume that σ is known, but the paper [48] assumes that …”.",,https://doi.org/10.22331/q-2025-05-05-1725
TCS-4845,Trainability and Expressivity of Hamming-Weight Preserving Quantum Circuits for Machine Learning — Conjecture 1,Quantum computation,quarantined,fragment,The saved passage itself reports that the conjecture has been proved. It supplies no remaining question; this is a source-extraction issue rather than a new status determination.,,https://doi.org/10.22331/q-2025-05-15-1745
TCS-4877,Taming Quantum Time Complexity — Unresolved-question passage on page 50,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “On the other hand, K piq ě KLpiq {p2W q implying K{K piq ď 2W {Lpiq , which gives the error estimate (7.12) at …”.",,https://doi.org/10.22331/q-2024-08-23-1444
TCS-4928,Cloning is as Hard as Learning for Stabilizer States — Unresolved-question passage on page 9,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “While the question of robustness to random erasures has been studied extensively for Reed-Muller codes and they are known to achieve capacity for erasure …”.",,https://proceedings.mlr.press/v336/bansal26a.html
TCS-4929,Randomized and Quantum Approximate Matrix Multiplication — Unresolved-question passage on page 6,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “We remark that the most costly step of our quantum algorithms essentially is matrixvector multiplication in coherent arithmetic (rather than rectangular matrix multiplication in …”.",,https://doi.org/10.4230/LIPIcs.MFCS.2026.77
TCS-4956,Co-Degeneracy and Co-Treewidth: Using the Complement to Solve Dense Instances — Explicit open question on PDF page 3,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Gajarský, Lampis, and Ordyniak [32] showed that Graph Coloring and Hamiltonian Path are W[1]-hard parameterized by shrubdepth but FPT parameterized by modular-width (which is …”.",,https://doi.org/10.4230/LIPIcs.MFCS.2021.42
TCS-4957,Quantum Logarithmic Space and Post-Selection — Explicit open question on PDF page 2,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “A major step towards establishing the superiority of space-bounded quantum Turing machines over space-bounded classical (bounded-error) Turing machines has been the construction by Ta-Shma …”.",,https://doi.org/10.4230/LIPIcs.TQC.2021.10
TCS-5110,Amplification with One NP Oracle Query — Explicit open question on PDF page 2,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “If we start with advantage > k+1 where k is an integer, Theorem 1 tells us the best advantage achievable with q nonadaptive NP …”.",,https://doi.org/10.4230/LIPIcs.ICALP.2019.96
TCS-5239,Open Problem: Learning Quantum Circuits with Queries — Unresolved-question passage on page 2,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “These results elucidate which of the questions in Table 1 are known and which remain open.”.",,https://proceedings.mlr.press/v40/Kun15.html
TCS-5327,New bounds on the classical and quantum communication complexity of some graph properties — Unresolved-question passage on page 8,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Unlike in the previous reductions, in this case EA and EB will not be disjoint (we do not know how to do the reduction …”.",,https://doi.org/10.4230/LIPIcs.FSTTCS.2012.148
TCS-6050,Optimal Tradeoffs for Estimating Pauli Observables — Explicit open question on PDF page 4,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Then the protocol from the first part of Theorem 6 thus simultaneously achieves optimal scaling in n, k, ε, up to a single factor …”.",,https://doi.org/10.1109/FOCS61266.2024.00072
TCS-6479,Superposition detection and QMA with non-collapsing measurements — Explicit open question on PDF page 4,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “In fact, there exists a promise gap + for QMA (2) where a sharp transition in complexity occurs (assuming there is a transition) [JW24]; …”.",,https://doi.org/10.22331/q-2025-08-28-1839
TCS-6485,Efficient MPS representations and quantum circuits from the Fourier modes of classical image data — Unresolved-question passage on page 17,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “At least for small images, Ref. [22] found that using the same sequential circuit structure for learning the classification task as for the data …”.",,https://doi.org/10.22331/q-2024-12-03-1544
TCS-0864,Represent GKP Codes Using ZX Diagrams,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Represent GKP Codes Using ZX Diagrams”.",,https://doi.org/10.4230/DagRep.15.9.58
TCS-0865,ZXify Basic QEC,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “ZXify Basic QEC”.",,https://doi.org/10.4230/DagRep.15.9.58
TCS-1209,We leave it as an open question whether the log-concavity framework developed here can be adapted to handle such local models.,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “We leave it as an open question whether the log-concavity framework developed here can be adapted to handle such local models.”.",,https://doi.org/10.4230/LIPIcs.ESA.2026.110
TCS-1261,We conjecture that 2-designs are computationally secure against QAC0 circuits as well.,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “We conjecture that 2-designs are computationally secure against QAC0 circuits as well.”.",,https://doi.org/10.4230/LIPIcs.ITCS.2026.70
TCS-1272,We leave open the question of whether we can exploit sparsity in the quantum setting as well.,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “We leave open the question of whether we can exploit sparsity in the quantum setting as well.”.",,https://doi.org/10.4230/LIPIcs.MFCS.2026.77
TCS-1391,We conjecture that our worst-case lower bounds for phaseless stabilizer StateHSP and stabilizer state cloning similarly extend to the average case.,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “We conjecture that our worst-case lower bounds for phaseless stabilizer StateHSP and stabilizer state cloning similarly extend to the average case.”.",,https://proceedings.mlr.press/v336/bansal26a.html
TCS-1427,Can we find more applications of the samplizer for pure states?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Can we find more applications of the samplizer for pure states?”.",,https://doi.org/10.4230/LIPIcs.ICALP.2026.154
TCS-1436,Can the ideas in [43] still be useful in some quantum problems?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Can the ideas in [43] still be useful in some quantum problems?”.",,https://doi.org/10.4230/LIPIcs.ITCS.2026.10
TCS-1440,Can we get rid of the limitation on the number of inputs to the classical circuit?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Can we get rid of the limitation on the number of inputs to the classical circuit?”.",,https://doi.org/10.4230/LIPIcs.ITCS.2026.17
TCS-1457,Could we take a similar approach using lattice duality?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Could we take a similar approach using lattice duality?”.",,https://doi.org/10.4230/LIPIcs.STACS.2026.35
TCS-1474,"Is MaxCut an isolated case, or are there more general ways for classical algorithms to leverage the same structure that DQI does?",Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Is MaxCut an isolated case, or are there more general ways for classical algorithms to leverage the same structure that DQI does?”.",,https://doi.org/10.4230/LIPIcs.TQC.2026.6
TCS-1493,"We leave open whether our passive quantum monotonicity tester can be modified to achieve perfect completeness, while enjoying similar guarantees on the quantum sample and […]",Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “We leave open whether our passive quantum monotonicity tester can be modified to achieve perfect completeness, while enjoying similar guarantees on the quantum sample …”.",,https://doi.org/10.4230/LIPIcs.ITCS.2026.34
TCS-1572,It remains open whether a similar result holds for quantum circuits in either PSPACE-dimension or GapP-dimension (or even Hausdorff dimension).,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “It remains open whether a similar result holds for quantum circuits in either PSPACE-dimension or GapP-dimension (or even Hausdorff dimension).”.",,https://doi.org/10.4230/LIPIcs.CCC.2025.20
TCS-1642,Can the qubit count be improved beyond I + O(F ) without exceeding gate complexity O(I)?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Can the qubit count be improved beyond I + O(F ) without exceeding gate complexity O(I)?”.",,https://doi.org/10.4230/LIPIcs.ITCS.2025.32
TCS-1706,"It is an open problem to know if those normal forms and new operators can have further applications in simulation, compilation or the synthesis of […]",Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “It is an open problem to know if those normal forms and new operators can have further applications in simulation, compilation or the synthesis …”.",,https://doi.org/10.4230/LIPIcs.CSL.2025.38
TCS-1788,Can we encode tr(ρσ) rather than tr(ρσ 2 ) in the amplitudes?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Can we encode tr(ρσ) rather than tr(ρσ 2 ) in the amplitudes?”.",,https://doi.org/10.4230/LIPIcs.ESA.2025.4
TCS-1789,Can we find more applications of quantum approximate k-minimum finding?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Can we find more applications of quantum approximate k-minimum finding?”.",,https://doi.org/10.4230/LIPIcs.ESA.2025.51
TCS-1795,"For instance, can similar methods be adapted to reason about the more abstract and expressive constructs found in quantum programming languages?",Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “For instance, can similar methods be adapted to reason about the more abstract and expressive constructs found in quantum programming languages?”.",,https://doi.org/10.4230/LIPIcs.FSTTCS.2025.1
TCS-1828,Could variations of qUGC yield stronger results?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Could variations of qUGC yield stronger results?”.",,https://doi.org/10.4230/LIPIcs.ITCS.2025.76
TCS-1888,"We leave it as a very interesting open question as to whether or not one can still achieve logarithmic sample complexities in this setting, with […]",Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “We leave it as a very interesting open question as to whether or not one can still achieve logarithmic sample complexities in this setting, …”.",,https://proceedings.mlr.press/v291/chen25c.html
TCS-1977,"The question of the minimality in the context of quantum circuits with qubit initialisation, ancillae, and/or qubit discarding remains open.",Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “The question of the minimality in the context of quantum circuits with qubit initialisation, ancillae, and/or qubit discarding remains open.”.",,https://doi.org/10.4230/LIPIcs.CSL.2024.20
TCS-1983,Can we improve the logarithmic factors in the sample complexity of the samplizer given in Theorem 4?,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “Can we improve the logarithmic factors in the sample complexity of the samplizer given in Theorem 4?”.",,https://doi.org/10.4230/LIPIcs.ESA.2024.101
TCS-2057,We leave optimality of the quantum algorithm for testing clusterability as an open question.,Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “We leave optimality of the quantum algorithm for testing clusterability as an open question.”.",,https://doi.org/10.4230/LIPIcs.TQC.2024.8
TCS-2094,"We conjecture that the correct rate of decay in Theorem 1 is exponential in the message length, as suggested by the results we obtain in […]",Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “We conjecture that the correct rate of decay in Theorem 1 is exponential in the message length, as suggested by the results we obtain …”.",,https://doi.org/10.4230/LIPIcs.ITCS.2024.21
TCS-2135,"This is mostly complete, though it remains open what can be said for the HW basis when K is composite.",Quantum computation,quarantined,followup,"This is an extension or refinement of a particular construction, algorithm or analysis. The saved record does not establish consequences broad enough to prioritize it as a separate problem in the 1,000-problem atlas. Saved target: “This is mostly complete, though it remains open what can be said for the HW basis when K is composite.”.",,https://doi.org/10.4230/LIPIcs.ITCS.2024.69
