source_id,collection,title,url,locator,disposition,reason,atlas_ids,atlas_states,evidence,recommendation,retrieval_leads,source_status
opentcs:are-there-hyper-recurrent-combinators,opentcs,Are there hyper-recurrent combinators?,https://opentcs.cc/problems/are-there-hyper-recurrent-combinators/,,source_already_indexed,"Primary entry rta:53: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0880,TCS-0880:archived,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/53.html,,TCS-0880; TCS-0883; TCS-5786,not_certified
opentcs:are-universality-and-inclusion-of-ac-recognizable-languages-decidable,opentcs,Are universality and inclusion of AC-recognizable languages decidable?,https://opentcs.cc/problems/are-universality-and-inclusion-of-ac-recognizable-languages-decidable/,,source_already_indexed,"Primary entry rta:101: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0871,TCS-0871:active,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/101.html,,TCS-0871; TCS-2435; TCS-0168,not_certified
opentcs:basis-decision-for-proper-combinators,opentcs,Basis Decision for Proper Combinators,https://opentcs.cc/problems/basis-decision-for-proper-combinators/,,defer,Primary entry tlca:6: Basis decision needs the exact proper-combinator convention and a modern decidability check.,,,https://tlca.di.unito.it/opltlca/opltlcasu13.html#x18-22000,,TCS-0873; TCS-0913; TCS-1560,not_certified
opentcs:better-differentially-private-learning-algorithms-with-margin-guarantees,opentcs,Better Differentially Private Learning Algorithms with Margin Guarantees,https://opentcs.cc/problems/better-differentially-private-learning-algorithms-with-margin-guarantees/,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0509,TCS-0509:active,https://opentcs.cc/problems/better-differentially-private-learning-algorithms-with-margin-guarantees/,,TCS-0509; TCS-5568; TCS-3171,not_certified
opentcs:bi-reachability-in-petri-nets-with-ordered-data,opentcs,Bi-reachability in Petri nets with ordered data,https://opentcs.cc/problems/bi-reachability-in-petri-nets-with-ordered-data/,,source_already_indexed,"Primary entry automata:24.3: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0621,TCS-0621:active,https://automata.exchange/24.03-bi-reachability-in-petry-nets-with-ordered-data/,,TCS-0621; TCS-0638; TCS-6491,not_certified
opentcs:black-box-reductions-and-adaptive-gradient-methods-for-nonconvex-optimization,opentcs,Black-Box Reductions and Adaptive Gradient Methods for Nonconvex Optimization,https://opentcs.cc/problems/black-box-reductions-and-adaptive-gradient-methods-for-nonconvex-optimization/,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0720,TCS-0720:active,https://opentcs.cc/problems/black-box-reductions-and-adaptive-gradient-methods-for-nonconvex-optimization/,,TCS-0720; TCS-2071; TCS-6205,not_certified
opentcs:bounds-on-the-length-of-a-coverability-path-in-vass,opentcs,Bounds on the length of a coverability path in VASS,https://opentcs.cc/problems/bounds-on-the-length-of-a-coverability-path-in-vass/,,source_already_indexed,"Primary entry automata:23.4: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0628,TCS-0628:active,https://automata.exchange/23.04-bounds-length-coverability-vass/,,TCS-0628; TCS-0625; TCS-0631,not_certified
opentcs:bpp-vs-p,opentcs,BPP versus P,https://opentcs.cc/problems/bpp-vs-p/,,represented_target,The posted main target is represented by the named Atlas record. Preserve its active/archive disposition; this is not a fresh open-status certification.,TCS-0003,TCS-0003:active,https://opentcs.cc/problems/bpp-vs-p/,,TCS-6533; TCS-0018; TCS-1047,not_certified
opentcs:branching-immediate-observation-nets,opentcs,Branching Immediate Observation nets,https://opentcs.cc/problems/branching-immediate-observation-nets/,,needs_formulation,"Primary entry automata:20.6: The entry asks for applications, suitable games or improved algorithms across several representations. Select a fixed model and one mathematical success criterion.",,,https://automata.exchange/20.06-bio/,,TCS-0639; TCS-3742; TCS-6491,not_certified
opentcs:bu-chi-automata-using-graph-neural-networks,opentcs,Büchi automata using graph neural networks,https://opentcs.cc/problems/bu-chi-automata-using-graph-neural-networks/,,source_already_indexed,"Primary entry automata:22.13: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0118,TCS-0118:archived,https://automata.exchange/22.13-buchi-automata-using-graph-neural-networks/,,TCS-0118; TCS-0134; TCS-5911,not_certified
opentcs:can-completion-always-be-made-terminating-when-limiting-the-depth-of-occurrences-of-critical-pairs,opentcs,Can completion always be made terminating when limiting the depth of occurrences,https://opentcs.cc/problems/can-completion-always-be-made-terminating-when-limiting-the-depth-of-occurrences-of-critical-pairs/,,source_already_indexed,"Primary entry rta:49: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0891,TCS-0891:active,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/49.html,,TCS-0891; TCS-3188; TCS-4453,not_certified
opentcs:can-local-regularization-learn-all-multiclass-problems,opentcs,Can Local Regularization Learn All Multiclass Problems?,https://opentcs.cc/problems/can-local-regularization-learn-all-multiclass-problems/,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0670,TCS-0670:active,https://opentcs.cc/problems/can-local-regularization-learn-all-multiclass-problems/,,TCS-0670; TCS-5027; TCS-5531,not_certified
opentcs:can-strong-normalization-of-the-typed-lambda-calculus-be-proved-by-a-reasonably-straightforward-mapping-from-typed-terms-to-a-well-founded-ordering,opentcs,Can strong normalization of the typed lambda calculus be proved by a,https://opentcs.cc/problems/can-strong-normalization-of-the-typed-lambda-calculus-be-proved-by-a-reasonably-straightforward-mapping-from-typed-terms-to-a-well-founded-ordering/,,source_already_indexed,"Primary entry rta:19: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0892,TCS-0892:archived,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/19.html,,TCS-0892; TCS-6395; TCS-6583,not_certified
opentcs:can-the-application-condition-on-the-merge-rule-in-the-computation-of-dag-solved-forms-of-unification-problems-be-improved,opentcs,Can the application condition on the Merge rule in the computation of,https://opentcs.cc/problems/can-the-application-condition-on-the-merge-rule-in-the-computation-of-dag-solved-forms-of-unification-problems-be-improved/,,source_already_indexed,"Primary entry rta:39: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0174,TCS-0174:archived,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/39.html,,TCS-0174; TCS-4235; TCS-5369,not_certified
opentcs:can-we-use-the-dependency-pair-method-to-prove-relative-termination,opentcs,Can we use the dependency pair method to prove relative termination?,https://opentcs.cc/problems/can-we-use-the-dependency-pair-method-to-prove-relative-termination/,,source_already_indexed,"Primary entry rta:106: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0868,TCS-0868:archived,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/106.html,,TCS-0868; TCS-2199; TCS-3951,not_certified
opentcs:chromatic-number-of-the-plane,opentcs,Chromatic Number of the Plane,https://opentcs.cc/problems/chromatic-number-of-the-plane/,,source_already_indexed,"Primary entry topp:57: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0378,TCS-0378:active,https://topp.openproblem.net/p57,,TCS-0378; TCS-4543; TCS-6728,not_certified
opentcs:classes-of-languages-with-objective-independent-memory,opentcs,Classes of languages with objective-independent memory,https://opentcs.cc/problems/classes-of-languages-with-objective-independent-memory/,,source_already_indexed,"Primary entry automata:25.24: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0090,TCS-0090:active,https://automata.exchange/25.24-classes-of-languages-with-objective-independent-memory/,,TCS-0090; TCS-1545; TCS-0129,not_certified
opentcs:collapse-of-the-f-mega-typability-hierarchy,opentcs,Collapse of the Fω Typability Hierarchy,https://opentcs.cc/problems/collapse-of-the-f-mega-typability-hierarchy/,,defer,"Primary entry tlca:12: The F-omega typability hierarchy is a credible target, but the old hierarchy formulation needs a modern status review.",,,https://tlca.di.unito.it/opltlca/opltlcasu19.html#x24-34000,,TCS-4361; TCS-0623; TCS-6561,not_certified
opentcs:commutative-polynomial-automata-series,opentcs,Commutative polynomial automata series,https://opentcs.cc/problems/commutative-polynomial-automata-series/,,source_already_indexed,"Primary entry automata:25.5: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0091,TCS-0091:active,https://automata.exchange/25.5-commutative-polynomial-automata-series/,,TCS-0091; TCS-0103; TCS-3756,not_certified
opentcs:compatible-triangulations,opentcs,Compatible Triangulations,https://opentcs.cc/problems/compatible-triangulations/,,source_already_indexed,"Primary entry topp:38: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0401,TCS-0401:active,https://topp.openproblem.net/p38,,TCS-0401; TCS-1869; TCS-0359,not_certified
opentcs:complete-techniques-for-deducing-fair-almost-sure-termination,opentcs,Complete techniques for deducing Fair Almost-Sure Termination,https://opentcs.cc/problems/complete-techniques-for-deducing-fair-almost-sure-termination/,,source_already_indexed,"Primary entry automata:25.19: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0092,TCS-0092:active,https://automata.exchange/25.19-complete-techniques-for-deducing-fair-almost-sure-termination/,,TCS-0092; TCS-3187; TCS-3699,not_certified
opentcs:completing-partial-dfas-to-synchronizing-dfas,opentcs,Completing Partial DFAs to Synchronizing DFAs,https://opentcs.cc/problems/completing-partial-dfas-to-synchronizing-dfas/,,source_already_indexed,"Primary entry automata:22.6: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0119,TCS-0119:archived,https://automata.exchange/22.06-completing-partial-dfas-to-synchronizing-dfas/,,TCS-0119; TCS-2887; TCS-7000,not_certified
opentcs:complexity-of-deciding-conjugacy-of-rational-relations,opentcs,Complexity of deciding conjugacy of rational relations,https://opentcs.cc/problems/complexity-of-deciding-conjugacy-of-rational-relations/,,source_already_indexed,"Primary entry automata:25.23: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0093,TCS-0093:active,https://automata.exchange/25.23-complexity-of-deciding-conjugacy-of-rational-relations/,,TCS-0093; TCS-6642; TCS-6985,not_certified
opentcs:complexity-of-explorability-games-on-temporal-graphs,opentcs,Complexity of Explorability games on temporal graphs,https://opentcs.cc/problems/complexity-of-explorability-games-on-temporal-graphs/,,source_already_indexed,"Primary entry automata:25.14: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0564,TCS-0564:archived,https://automata.exchange/25.14-complexity-of-explorability-games-on-temporal-graphs/,,TCS-0564; TCS-1153; TCS-5460,not_certified
opentcs:complexity-of-fixed-vas-reachability,opentcs,Complexity of fixed VAS reachability,https://opentcs.cc/problems/complexity-of-fixed-vas-reachability/,,source_already_indexed,"Primary entry automata:22.1: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0632,TCS-0632:active,https://automata.exchange/22.01-complexity-fixed-vas-reachability/,,TCS-0632; TCS-0616; TCS-5313,not_certified
opentcs:complexity-of-generalised-reachability-games-with-target-sets-of-size-2,opentcs,Complexity of generalised reachability games with target sets of size 2,https://opentcs.cc/problems/complexity-of-generalised-reachability-games-with-target-sets-of-size-2/,,source_already_indexed,"Primary entry automata:25.1: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0565,TCS-0565:active,https://automata.exchange/25.1-complexity-of-generalised-reachability-games-with-target-sets-of-size-2/,,TCS-0565; TCS-0615; TCS-0632,not_certified
opentcs:complexity-of-maximising-reachability-for-target-sets-of-size-1,opentcs,Complexity of Maximising reachability for target sets of size 1,https://opentcs.cc/problems/complexity-of-maximising-reachability-for-target-sets-of-size-1/,,source_already_indexed,"Primary entry automata:25.15: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0615,TCS-0615:active,https://automata.exchange/25.15-complexity-of-maximising-reachability-for-target-sets-of-size-1/,,TCS-0615; TCS-0565; TCS-0632,not_certified
opentcs:complexity-of-reachability-in-fixed-dimensional-continuous-vass,opentcs,Complexity of Reachability in Fixed-Dimensional Continuous VASS,https://opentcs.cc/problems/complexity-of-reachability-in-fixed-dimensional-continuous-vass/,,source_already_indexed,"Primary entry automata:25.12: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0616,TCS-0616:active,https://automata.exchange/25.12-complexity-of-reachability-in-fixed-dimensional-continuous-vass/,,TCS-0616; TCS-0619; TCS-0632,not_certified
opentcs:congruent-partitions-of-polygons,opentcs,Congruent Partitions of Polygons,https://opentcs.cc/problems/congruent-partitions-of-polygons/,,source_already_indexed,"Primary entry topp:73: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0374,TCS-0374:active,https://topp.openproblem.net/p73,,TCS-0374; TCS-0359; TCS-6422,not_certified
opentcs:constructive-zermelo-s-problem,opentcs,Constructive Zermelo's Problem,https://opentcs.cc/problems/constructive-zermelo-s-problem/,,source_already_indexed,"Primary entry automata:22.9: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0120,TCS-0120:active,https://automata.exchange/22.09-constructive-zermelo-s-problem/,,TCS-0120; TCS-2043; TCS-2534,not_certified
opentcs:continuous-reachability-in-ordered-data-vas,opentcs,Continuous reachability in ordered data VAS,https://opentcs.cc/problems/continuous-reachability-in-ordered-data-vas/,,source_already_indexed,"Primary entry automata:19.14: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0638,TCS-0638:active,https://automata.exchange/19.14-continuous-reachability-in-ordered-data-vas/,,TCS-0638; TCS-0616; TCS-0621,not_certified
opentcs:continuously-complete-cpo-models-with-minimal-theory,opentcs,Continuously Complete CPO Models with Minimal Theory,https://opentcs.cc/problems/continuously-complete-cpo-models-with-minimal-theory/,,defer,Primary entry tlca:22: Continuously complete CPO models with minimal lambda theory are a plausible semantic boundary; verify current model-theoretic status.,,,https://tlca.di.unito.it/opltlca/opltlcasu29.html#x34-54000,,TCS-0273; TCS-0324; TCS-0638,not_certified
opentcs:convergence-of-single-timescale-mean-field-langevin-descent-ascent-for-two-player-zero-sum-games,opentcs,Convergence of Single-Timescale Mean-Field Langevin Descent--Ascent for Two-Player Zero-Sum Games,https://opentcs.cc/problems/convergence-of-single-timescale-mean-field-langevin-descent-ascent-for-two-player-zero-sum-games/,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0721,TCS-0721:active,https://opentcs.cc/problems/convergence-of-single-timescale-mean-field-langevin-descent-ascent-for-two-player-zero-sum-games/,,TCS-0721; TCS-0719; TCS-0668,not_certified
opentcs:counting-polyominoes,opentcs,Counting Polyominoes,https://opentcs.cc/problems/counting-polyominoes/,,source_already_indexed,"Primary entry topp:37: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0312,TCS-0312:active,https://topp.openproblem.net/p37,,TCS-0312; TCS-5187; TCS-4105,not_certified
opentcs:coverability-in-wait-only-networks-with-non-blocking-bounded-sendings,opentcs,Coverability in Wait-Only Networks with non-blocking bounded sendings,https://opentcs.cc/problems/coverability-in-wait-only-networks-with-non-blocking-bounded-sendings/,,source_already_indexed,"Primary entry automata:24.8: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0106,TCS-0106:archived,https://automata.exchange/24.08-coverability-in-wait-only-networks-with-non-blocking-bounded-sendings/,,TCS-0106; TCS-0628; TCS-3416,not_certified
opentcs:data-selection-for-regression-tasks,opentcs,Data Selection for Regression Tasks,https://opentcs.cc/problems/data-selection-for-regression-tasks/,,represented_target,"The main mathematical target is represented by the named Atlas record, including its original source. Preserve archive decisions and avoid creating a renamed duplicate.",TCS-0665,TCS-0665:archived,https://opentcs.cc/problems/data-selection-for-regression-tasks/,,TCS-0665; TCS-5336; TCS-0715,not_certified
opentcs:decidability-of-weighted-automata-determinization,opentcs,"Decidability of ( ,+)-weighted automata determinization",https://opentcs.cc/problems/decidability-of-weighted-automata-determinization/,,source_already_indexed,"Primary entry automata:22.5: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0121,TCS-0121:active,https://automata.exchange/22.05-decidability-of-min-plus-weighted-automata-determinization/,,TCS-0121; TCS-0111; TCS-0139,not_certified
opentcs:decidability-of-subtype-entailment,opentcs,Decidability of Subtype Entailment,https://opentcs.cc/problems/decidability-of-subtype-entailment/,,defer,Primary entry tlca:16: Subtype entailment requires exact constraint syntax; a modern decision/undecidability check is missing.,,,https://tlca.di.unito.it/opltlca/opltlcasu23.html#x28-42000,,TCS-6680; TCS-3149; TCS-3401,not_certified
opentcs:deciding-upperboundedness-of-z-ccra,opentcs,Deciding upperboundedness of Z -CCRA,https://opentcs.cc/problems/deciding-upperboundedness-of-z-ccra/,,source_already_indexed,"Primary entry automata:19.1: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0147,TCS-0147:active,https://automata.exchange/19.01-ccra/,,TCS-0147; TCS-0617; TCS-3858,not_certified
opentcs:design-a-framework-for-combining-constraint-solving-algorithms,opentcs,Design a framework for combining constraint solving algorithms.,https://opentcs.cc/problems/design-a-framework-for-combining-constraint-solving-algorithms/,,needs_formulation,"Primary entry rta:43: A methodology, framework or classification request without a fixed mathematical success criterion; not ready for an Atlas problem card.",,,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/43.html,,TCS-0915; TCS-6412; TCS-6092,not_certified
opentcs:design-a-notion-of-automata-for-graphs,opentcs,Design a notion of automata for graphs.,https://opentcs.cc/problems/design-a-notion-of-automata-for-graphs/,,needs_formulation,"Primary entry rta:70: A methodology, framework or classification request without a fixed mathematical success criterion; not ready for an Atlas problem card.",,,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/70.html,,TCS-0635; TCS-6417; TCS-4471,not_certified
opentcs:design-new-termination-methods-based-on-the-gap-embedding-theorems-of-friedman-and-kriz,opentcs,Design new termination methods based on the gap-embedding theorems of Friedman and,https://opentcs.cc/problems/design-new-termination-methods-based-on-the-gap-embedding-theorems-of-friedman-and-kriz/,,source_already_indexed,"Primary entry rta:100: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0872,TCS-0872:archived,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/100.html,,TCS-0872; TCS-0882; TCS-5747,not_certified
opentcs:design-pattern-matching-algorithms-for-graphs,opentcs,Design pattern-matching algorithms for graphs.,https://opentcs.cc/problems/design-pattern-matching-algorithms-for-graphs/,,needs_formulation,"Primary entry rta:71: A methodology, framework or classification request without a fixed mathematical success criterion; not ready for an Atlas problem card.",,,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/71.html,,TCS-0438; TCS-5496; TCS-4453,not_certified
opentcs:deterministic-separability-of-nondeterministic-timed-languages,opentcs,Deterministic separability of nondeterministic timed languages,https://opentcs.cc/problems/deterministic-separability-of-nondeterministic-timed-languages/,,source_already_indexed,"Primary entry automata:20.2: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0138,TCS-0138:active,https://automata.exchange/20.02-deterministic-separability-of-nondeterministic-timed-languages/,,TCS-0138; TCS-0624; TCS-0562,not_certified
opentcs:develop-effective-methods-to-decide-whether-a-system-decreases-with-respect-to-some-exponential-interpretation,opentcs,Develop effective methods to decide whether a system decreases with respect to,https://opentcs.cc/problems/develop-effective-methods-to-decide-whether-a-system-decreases-with-respect-to-some-exponential-interpretation/,,needs_formulation,"Primary entry rta:28: A methodology, framework or classification request without a fixed mathematical success criterion; not ready for an Atlas problem card.",,,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/28.html,,TCS-2796; TCS-3931; TCS-4109,not_certified
opentcs:direct-sums-in-learning-theory,opentcs,Direct Sums in Learning Theory,https://opentcs.cc/problems/direct-sums-in-learning-theory/,,represented_target,"The main mathematical target is represented by the named Atlas record, including its original source. Preserve archive decisions and avoid creating a renamed duplicate.",TCS-0671,TCS-0671:active,https://opentcs.cc/problems/direct-sums-in-learning-theory/,,TCS-0671; TCS-4807; TCS-5342,not_certified
opentcs:distances-among-point-sets-in-r-2-and-r-3,opentcs,Distances among Point Sets in R^2 and R^3,https://opentcs.cc/problems/distances-among-point-sets-in-r-2-and-r-3/,,source_already_indexed,"Primary entry topp:39: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0402,TCS-0402:active,https://topp.openproblem.net/p39,,TCS-0402; TCS-0993; TCS-2194,not_certified
opentcs:do-probabilities-matter-for-resolving-nondeterminism,opentcs,Do probabilities matter for resolving nondeterminism?,https://opentcs.cc/problems/do-probabilities-matter-for-resolving-nondeterminism/,,source_already_indexed,"Primary entry automata:25.25: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0094,TCS-0094:active,https://automata.exchange/25.25-do-probabilities-matter-for-resolving-nondeterminism-/,,TCS-0094; TCS-5863; TCS-0138,not_certified
