category,category_name,rank_in_category,key,title,question,importance_cs,novelty_note,status_note,sources
11,String algorithms and bioinformatics,1,msa-below-two,Breaking factor two for sum-of-pairs multiple sequence alignment,Does some universal ε>0 admit a polynomial-time (2−ε)-approximation for minimum sum-of-pairs multiple sequence alignment with an arbitrary number of input strings and metric substitution/gap costs?,Centrální optimalizační úloha bioinformatiky; otevřená je zásadní hranice kvality společného zarovnání mnoha sekvencí.,No sum-of-pairs MSA approximation question identified. Prior edit distance concerns TWO strings and running time.,The constant ε must not shrink with the number k of strings. Bounds 2−q/k for fixed q do not settle it. Distinguish sum-of-pairs from column scores and local alignment.,https://i.cs.hku.hk/~chin/paper/encycl_msa-1.pdf | https://profs.sci.univr.it/~rrizzi/classes/BioComp2003/homeworks/openProblems.pdf
12,Dynamic graph algorithms,1,dynamic-global-mincut,Polylogarithmic maintenance of the exact global minimum cut,"Can a fully dynamic simple undirected n-vertex graph maintain its exact global minimum-cut VALUE under edge insertions and deletions with polylog(n) amortized update time and polylog(n) query time, using polynomial space? Randomization against an oblivious update sequence is allowed.",Základní nezodpovězená otázka o udržování odolnosti celé sítě při změnách; cílem je přesný globální řez pro libovolnou hodnotu konektivity.,"No selected exact fully dynamic global min-cut question identified. The previous small pass added connectivity, MSF and approximate matching.",The 2026 exact algorithm requires a bounded min-cut value; its general-graph consequence is approximate. Reporting every edge of the cut is not required.,https://arxiv.org/abs/2512.13105 | https://people.csail.mit.edu/virgi/6.s078/papers/omv.pdf
13,Counting and enumeration,1,euler-tours-fpras,An FPRAS for counting undirected Euler tours,"Is there an FPRAS for the number of Euler tours of an arbitrary connected Eulerian undirected graph, with running time polynomial in the input length and 1/ε and multiplicative error 1±ε with probability at least 3/4?",Základní dosud nevyřešený případ aproximovaného počítání kombinatorických objektů: ani pro tyto přirozené průchody grafem neznáme obecné efektivní vzorkování a počítání.,TCS-4537 asks to extend EXACT bounded-treewidth counting to bounded clique-width or chordal graphs (full conclusion read). TCS-6022 asks about PARALLEL sampling in Eulerian DIGRAPHS.,Do not confuse Euler tours with Eulerian orientations: approximate counting of the latter has an FPRAS. Fix a tour-counting convention; standard rotation/reversal factors do not affect FPRAS existence.,https://sites.cs.st-andrews.ac.uk/scm2024/abstracts.html
14,Property testing and distribution learning,1,bounded-degree-isomorphism-testing,Sublinear testing of bounded-degree graph isomorphism,"Given adjacency-list oracle access to two bounded-degree n-vertex graphs, can one distinguish isomorphism from requiring at least εdn edge changes to become isomorphic using o(n) queries, for every fixed degree bound d and fixed ε>0? Allow two-sided error with success probability at least 2/3.","Ptá se, zda lze přibližnou shodu dvou řídkých sítí rozhodnout bez přečtení celého vstupu; jde o základní hranici síly property testingu.",TCS-5459 concerns communication complexity of tolerant graph isomorphism testing. This is the ordinary adjacency-list QUERY model for bounded-degree graphs.,The source asks for the full query complexity and gives an n^(2/3) lower bound up to logarithmic factors for two unknown graphs. The first decisive target here is any truly sublinear tester.,https://eccc.weizmann.ac.il/report/2021/088/
15,Differential privacy,1,pure-dp-continual-counting,Optimal error for pure-DP continual counting,"For causal release of all prefix sums of a binary stream of length T, determine the asymptotic minimum of sup_x E[max_t |M_t(x)−sum_{i≤t}x_i|] over (1/2,0)-differentially private mechanisms, with neighbouring streams differing in one bit.",Průběžné počítání je základní stavební úloha privátní analýzy dat. Hledáme optimální cenu soukromí v celém časovém průběhu.,"TCS-5198 selects a different online-learning model modification, verified in full p. 6. The first-pass DP question concerns offline arbitrary query release with normalized Euclidean error.","Pure privacy (δ=0), expected maximum error. The July 2026 paper resolves the approximate-DP dependence and leaves pure DP between log^(3/2)T and log²T for constant ε.",https://arxiv.org/abs/2607.00876
16,"Algorithmic game theory, mechanism design and fair division",1,randomized-truthful-scheduling,The power of randomization in truthful unrelated-machine scheduling,"What is the asymptotically optimal approximation ratio, as a function of the number m of machines, achievable by truthful-in-expectation randomized mechanisms with payments for makespan minimization on unrelated machines? In particular, can the ratio be bounded by a universal constant?","Základní otázka mechanism designu: dokáže náhoda odstranit ztrátu, kterou způsobuje požadavek, aby účastníci pravdivě hlásili své náklady?","TCS-4944 selects the original deterministic Nisan–Ronen conjecture, now resolved. The randomized optimum remains a separate central question.","Fix truthfulness in expectation, indivisible jobs and expected makespan. The deterministic m lower bound does not extend automatically to randomized mechanisms. No computational restriction is needed for the core incentive-theoretic question.",https://ora.ox.ac.uk/objects/uuid%3A814fc511-99e2-47cb-b06a-f472630996dc/files/r9593tw016
17,Constraint satisfaction,1,pcsp-search-decision,Search-to-decision equivalence for finite promise CSPs,"For every fixed finite template pair A→B, does a polynomial-time algorithm distinguishing X→A from X↛B imply a polynomial-time algorithm which, on inputs promised to satisfy X→A, outputs a homomorphism X→B?","Rozhodnout, že relaxované řešení existuje, nemusí znamenat umět je najít. Vyřešení by stanovilo vztah dvou základních podob celé teorie promise CSP.","TCS-1978 only asks about templates solvable by BLP. This is the full search/decision equivalence, across all finite templates and all polynomial-time decision algorithms. The prior PCSP dichotomy proposal classifies decision complexity rather than asking for constructive solutions.","The FOCS 2025 result establishes obstacles to rounding relaxation witnesses; it explicitly leaves the general equivalence open. Count one general problem, not separate BLP/AIP follow-ups.",https://albertolarrauri.github.io/publications/ | https://arxiv.org/abs/2208.13538
18,Scheduling and packing,1,precedence-makespan-below-two,Breaking factor two for precedence-constrained makespan,"For precedence-constrained jobs on an input number m of identical parallel machines, does there exist a universal ε>0 and a polynomial-time (2−ε)-approximation for makespan P|prec|Cmax?",Jedna z klasických hlavních otázek scheduling theory: zda lze zásadně překonat jednoduchý list scheduling pro obecné precedence.,"TCS-0924 concerns weighted completion time, while TCS-0935 fixes a small number of machines and unit jobs. Previous additions concern unrelated machines without precedences, Santa Claus and bin packing.",The number of machines belongs to the input. Known conditional hardness uses stronger assumptions; do not state a proven unconditional 2−ε impossibility.,https://theory.epfl.ch/osven/Ola%20Svensson_publications/SICOMP11b.pdf
19,Automated reasoning and unification,1,one-relator-isomorphism,The isomorphism problem for one-relator groups,"Is there an algorithm that, given two finite group presentations each with a single defining relator, decides whether the presented groups are isomorphic?",Jeden z klasických rozhodovacích problémů teorie grup pro zásadní a přirozenou třídu konečných prezentací; určujeme samotnou hranici algoritmické rozhodnutelnosti.,"The earlier pass added conjugacy INSIDE a one-relator group, not isomorphism BETWEEN two presented groups. No catalogue isomorphism question for this class was identified.","Retain arbitrary one-relator groups; decidability for torsion, hyperbolic or generic subclasses is insufficient. Do not substitute the false general Magnus isomorphism conjecture.",https://arxiv.org/abs/2501.18306
20,Database theory and finite model theory,1,monadic-nip-model-checking,FO model checking on hereditary monadically dependent graph classes,"Under the usual effectiveness assumptions on the graph class, for every hereditary monadically dependent class C of finite graphs, is first-order model checking fixed-parameter tractable with parameter the formula length? Monadic dependence means that unary colouring and a fixed FO transduction cannot generate all finite graphs from C.","Ústřední pokus o charakterizaci tříd grafů, na nichž lze efektivně vyhodnocovat logické dotazy; propojuje databázovou teorii, konečné modely a strukturu grafů.","TCS-6082 selects footnote 3 on whether structurally bounded local clique-width implies almost bounded flip-width. Full source read: the overarching model-checking Conjecture I.1 is a different question. TCS-2401 asks for an indiscernible/flatness characterization, not an FO evaluation algorithm.",Use the standard class-wise/effective formulation of the FPT conjecture. Results for monadically STABLE classes do not establish it for all monadically DEPENDENT classes.,https://mccarty.math.gatech.edu/McCarty-2025-Oberwolfach.pdf | https://ieee-focs.org/FOCS-2023-Papers/pdfs/FOCS2023-35YPEGokY3iqqos5xlCDsn/189400a663/189400a663.pdf
21,Computability and algorithmic information,1,turing-equivalence-universal,Universality of Turing equivalence,"Is Turing equivalence on 2^N universal among countable Borel equivalence relations: for every countable Borel E on a standard Borel space X, is there a Borel f:X→2^N with xEy iff f(x)≡T f(y)?","Ptá se, zda struktura stejné výpočetní síly dokáže reprezentovat všechny spočetné borelovské klasifikační problémy; jde o klasickou otázku na rozhraní vyčíslitelnosti a deskriptivní teorie množin.","No universality question for Turing equivalence identified. Prior Martin's conjecture concerns degree-invariant functions and would imply a negative answer, but is not equivalent to this named classification problem.","Distinguish Turing equivalence from arithmetic equivalence, whose universality is known, and from uniform universality, which is a different restriction.",https://preprint.math.uni-hamburg.de/public/papers/hbm/hbm770.pdf | https://www.pma.caltech.edu/documents/5921/CBER.pdf
22,Knowledge representation and reasoning,1,sroiq-cq-decidability,Decidability of conjunctive-query entailment in SROIQ,"Is Boolean conjunctive-query entailment decidable for arbitrary finite SROIQ knowledge bases, under the standard semantics over all models?",Základní neuzavřená hranice dotazování nad expresivními ontologiemi: ani rozhodnutelnost satisfiability sama o sobě neposkytuje rozhodnutelnost odpovědí na dotazy.,No SROIQ conjunctive-query entailment question identified. Existing database containment and finite-controllability questions use different formalisms and decision problems.,"All-model semantics, not finite-model-only reasoning. Known Horn/sublogic algorithms or practical procedures with restricted queries do not settle full SROIQ.",https://ceur-ws.org/Vol-2373/paper-25.pdf
22,Knowledge representation and reasoning,2,dnf-ddnnf-succinctness,DNF versus d-DNNF succinctness,Is there a family of polynomial-size DNF formulas for which every equivalent deterministic decomposable negation-normal-form circuit has superpolynomial size?,"Určuje základní cenu determinismu při kompilaci znalostí do reprezentace, která umožňuje přesné počítání modelů.","Prior addition asks about deterministic equivalence testing of d-DNNF. TCS-0306 concerns complementation, and TCS-0496 concerns database lineages. None is the DNF versus d-DNNF size separation. TCS-0308 is the general Boolean formula-versus-circuit size gap (full linked section read); it does not require either DNF inputs or d-DNNF outputs.","This is a SIZE lower bound, not a polynomial-time conversion question; #P-hardness already rules out a generic efficient conversion under standard assumptions. DNNF versus d-DNNF separation alone does not settle it.",https://capelli.me/publi/hdr.pdf
23,Structural graph theory,1,reed-colouring,Reed's χ–ω–Δ conjecture,"Does every finite graph satisfy χ(G)≤ceil((Δ(G)+1+ω(G))/2), where χ is chromatic number, Δ maximum degree and ω maximum clique size?","Jedna z hlavních strukturálních hypotéz o barvení; hledá univerzální vztah mezi lokální hustotou, klikami a počtem potřebných barev.","No selected Reed colouring conjecture identified. Prior Hadwiger, Erdős–Hajnal and Gyárfás–Sumner questions impose different structural relationships.",Fits the approved structural-colouring scope. General graphs are required; results for special classes or asymptotic relaxations do not prove this exact inequality.,https://www.sciencedirect.com/science/article/abs/pii/S009589562200065X
23,Structural graph theory,2,optimal-excluded-grid,The optimal quantitative Excluded Grid Theorem,"Let f(r) be the least treewidth threshold forcing an r×r grid minor in every graph. Is f(r)=O(r² polylog r), and what is its tight asymptotic order?","Základní kvantitativní otázka graph minor theory, která určuje sílu grid minorů jako překážek malé stromové šířky a nástroje algoritmických metateorémů.",TCS-4404 concerns a cylindrical/directed grid question. TCS-5475 concerns parameters in the graph-minor STRUCTURE theorem; it is not the treewidth threshold for an undirected grid minor.,"The target is the optimal order, not a modest exponent improvement. Do not claim O(r²): the known lower bound includes log r. The cited literature records competing near-quadratic and cubic conjectures; the universally agreed open target is the tight threshold, not a consensus on the answer.",https://arxiv.org/abs/1901.07944 | https://link.springer.com/article/10.1007/s00493-025-00168-w
24,Beyond worst-case and average-case analysis,1,sbm-ks-threshold,The computational Kesten–Stigum threshold for sparse community recovery,"In the balanced symmetric sparse stochastic block model with a fixed q≥5 groups and edge probabilities a/n within groups and b/n between groups (a>b>0), can any polynomial-time algorithm achieve nonvanishing correlation with the planted labels below (a−b)²=q(a+(q−1)b), in the regime where recovery is information-theoretically possible?",Kanonický problém rozdílu mezi statistickou možností a efektivním výpočtem: zda skutečná výpočetní bariéra nastává na Kestenově–Stigumově prahu.,"TCS-5248 addresses bipartite SBM spectral algorithms; TCS-5744 addresses SDP/Bayes-error behavior. Prior planted clique and tensor PCA concern other planted models. TCS-1187 is the distinct growing-number-of-communities regime q>sqrt(n), whereas this target fixes q.",The 2025 result is conditional on the extended low-degree conjecture. The proposed unrestricted polynomial-time barrier is not a proved theorem.,https://arxiv.org/abs/2502.15024
