# Initial scope-review worksheet, 10 September 2026. Production assessments are in importance_category_review.json; canonical detailed cards and subsequent routing may supersede this snapshot.
# Category	IDs	Score	Editorial reason
2	0344	73	Understanding how extension complexity composes would connect geometric descriptions with optimization formulations.
2	0414	73	Provable surface reconstruction concerns the recovery of geometric structure from sampled data.
2	0381 0382 0385	71	The question tests global connectivity or representability of geometric decompositions, beyond one particular algorithm.
2	0328 0330 0340	70	The problem concerns sparse or low-distortion representations of geometric distances, a reusable algorithmic resource.
2	0387	70	Dynamic planar nearest-neighbor searching is a basic geometric data-structure problem.
2	0413	69	A simple linear-time triangulation algorithm would improve the accessibility and structure of a fundamental primitive; the existence of linear-time triangulation itself is not the issue.
2	0339 0363 0401	68	The question exposes a structural boundary in geometric distance computation or geometric representations.
2	0312 0315 0317 0324 0331 0342 0346 0354 0376 0398	65	A substantial structural or complexity question in a specific geometric setting, with less general scope than the leading geometric primitives.
2	0313 0319 0320 0323 0325 0327 0329 0332 0333 0334 0335 0336 0337 0338 0341 0343 0345 0347 0349 0350 0351 0352 0355 0356 0357 0358 0359 0360 0361 0362 0364 0365 0366 0367 0368 0369 0370 0371 0372 0374 0375 0379 0380 0383 0384 0386 0389 0390 0392 0393 0394 0395 0396 0397 0400 0404 0407 0409	58	A focused question about a specified geometric class, representation, or variant; this category review assigns it a shared specialist priority.
2	1064 1065 1066 1067 1068 1069 1070 1071 1072 1073 1074 1075 1076 1077 1078 1079 1080 1081 1082 1083 1084 1085 1086 1087 1088	62	Pinning down the complexity of this concrete realizability problem would extend the map of real-algebraic computation; the individual variant is narrower than a general model separation.
3	1056	91	Separating majority from constant-depth modular circuits would cross a major explicit Boolean circuit lower-bound barrier.
3	1054	90	Unrestricted threshold-of-threshold lower bounds test the power of a basic shallow circuit model.
3	1058	87	Explicit matrix rigidity is a central construction problem connected to strong linear-circuit lower bounds.
3	0305 1052 1053	83	Improving explicit formula or depth-three circuit lower bounds would go beyond established lower-bound techniques.
3	1039 1057	82	An explicit superlinear or polynomial-gap lower bound would expose a concrete barrier in restricted computational models.
3	0293 0301 0302 0303 0304	80	Stronger time-space or uniform circuit lower bounds would constrain natural satisfiability and graph problems in standard resource regimes.
3	1021 1022	80	Turning derandomization into stronger circuit hardness would strengthen a basic bridge between algorithms and lower bounds.
3	0308 1047	77	Comparing representation sizes for circuits, formulas, or partitions probes a general source of succinctness.
3	1059	76	Efficient linearization would relate unrestricted computation to the more tractable model of linear circuits.
3	1035 1037 1040	74	The question tests structural limits of linear computation, including depth, inversion, and the possible usefulness of nonlinear operations.
3	1034 1036 1051	72	A separation between closely related circuit models would clarify which operations account for their computational power.
3	0306 0307	69	Efficient closure transformations for structured circuits would improve a reusable representation tool in knowledge compilation.
3	1023	68	Natural complete problems would clarify the structure and interpretation of randomized complexity classes.
3	0068 0069 0070 0292 0294 0295 0296 0297 0298 0299 0300 0309 0310 1038 1041 1042 1050 1060 1061	60	A concrete question about a restricted function family, representation, or resource bound; useful for techniques but narrower than the category's central separations.
4	0590	88	The complete-graph crossing-number formula is a central extremal graph-drawing conjecture.
4	0588	84	Albertson's conjecture would connect chromatic number to a fundamental topological measure of graph complexity.
4	0595	81	Disjoint paths is a core graph-algorithm problem whose structural tools support routing and graph-minor algorithms.
4	0589	79	The complexity of finding induced minors would sharpen a broad structural classification of graph containment problems.
4	0593 0594	75	Coloring under a natural structural restriction tests where efficient algorithms stop being possible.
4	0585 0587 0592	72	A structural tractability threshold for Hamiltonicity or treewidth would support algorithms for entire graph families.
4	0603 0604	69	Cops-and-robbers complexity connects pursuit games with global graph structure and graph-search parameters.
4	0612 0614	68	Compact representations of reachability or partial orders concern a reusable interface to graph structure.
4	0581 0586 0596 0598 0606 0608 0609	65	A parameter-sensitive graph algorithm or structural width question with relevance across related restricted graph problems.
4	0208 0210 0212 0213 0214 0576 0577 0578 0579 0580 0582 0583 0584 0591 0597 0599 0600 0601 0602 0605 0607 0610 0613 1000 1001 1002 1003	58	A focused graph-theoretic or graph-algorithm question; its specified class or variant gives it a narrower scope than the leading general graph problems.
5	0677	86	Proper polynomial-time learning of decision trees is a central benchmark for the interaction between efficient prediction and interpretable representation.
5	0679	82	The information complexity of VC learning tests how much information learning must reveal beyond its sample count.
5	0691	80	Relating recursive teaching dimension to VC dimension connects two basic measures of concept-class complexity.
5	0694	79	Sparse-halfspace statistical-query complexity locates an important computational learning barrier.
5	0683	78	Efficient improper learning of Gaussian mixtures tests a general route around representation restrictions in distribution learning.
5	0670 0671	76	A general characterization of multiclass learning or direct-sum behavior would organize a broad family of learning problems.
5	0664 0682	73	The question tests a broad structural property of learning algorithms rather than the performance of one implementation.
5	0674 0676 0686 0687	70	A central task within a specific learning model, connecting computational efficiency with structural or statistical assumptions.
5	0663 0668 0669 0672 0673 0675 0680 0681 0684 0685 0689 0695 0696	65	A quantitative or model-specific learning frontier; resolving it would sharpen a useful guarantee but has more limited scope than a general learnability characterization.
5	0665 0666 0667 0678 0688 0692 0693 0697 0698	58	A focused learning, inference, or algorithm-analysis question, assigned shared specialist priority in this category review.
6	0465	88	The share size needed for general secret sharing is a fundamental efficiency limit for realizing arbitrary access structures.
6	0461	83	Private information retrieval connects privacy with communication and storage efficiency; the saved record is a family of questions requiring individual formulation.
6	0463	78	Comparing algebraic models of secret sharing tests how representation choices affect the power of a basic cryptographic primitive.
6	1138	76	Computationally sound verification for counting would extend the scope of succinct cryptographic verification.
6	0458 0460	74	Improving oblivious memory access or delegated proof generation would strengthen a reusable cryptographic interface.
6	0453	72	Sparse LPN constructions connect the structure of noisy linear problems with cryptographic efficiency and assumptions.
6	0450	69	A concrete algebraic challenge may illuminate the security of obfuscation constructions, with a narrower target than general obfuscation feasibility.
6	0448 0449 0451 0454 0455 0456 0457 0459 0462 0464	61	A concrete algebraic or efficiency bottleneck for a cryptographic construction; important for that primitive but more specialized than foundational assumption questions.
6	0452	55	A protocol-efficiency question tied to a particular sharding setting, assigned a focused priority.
7	0998	86	Separating sketching from general streaming would identify the power and limitations of a widely used algorithmic abstraction.
7	0949	84	Stronger cell-probe lower bounds would advance a general technique for proving data-access limitations.
7	0986	83	Characterizing sketchable distances would unify many metric-sketching algorithms and impossibility results.
7	0940 0996	81	A general comparison between streaming models could transfer algorithms or lower bounds across a large set of problems.
7	0984	79	Deterministic sparse recovery is a basic explicit construction problem underlying robust compressed representations.
7	0533 0994	78	MIS and graph matching are fundamental graph primitives whose local or streaming complexity has broad algorithmic consequences.
7	0513 0514	77	Deciding the complexity of locally checkable tasks would provide a general classification tool for distributed algorithms.
7	0946 0950 0968 0983	76	The question concerns the general power of sparsification, linear sketches, or adversary-robust summaries, which are widely reused algorithmic tools.
7	0993 0977 0987	75	Distance and linear-algebra primitives have broad uses; improved resource bounds would propagate to many streaming or parallel tasks.
7	0938 0941 0942 0943 0944	74	Max-Cut is a canonical test case for streaming approximation; pass-space barriers illuminate limits beyond a single implementation.
7	0515 0518 0520 0521 0523	72	A separation or gap in local computation would sharpen the structural map of distributed models.
7	0936 0937 0939 0948 0951 0954 0965 0967 0969 0970	70	A basic optimization, estimation, or encoding task serves as a concrete benchmark for streaming resource tradeoffs.
7	0511 0512 0516 0519 0522 0526 0535 0729 0947 0955 0962 0976 0979 0980 0982 0985 0988 0997	65	A focused model comparison or resource frontier in distributed, parallel, or streaming computation.
7	0527 0528 0529 0530 0531 0532 0534 0945 0952 0953 0956 0957 0958 0959 0960 0961 0963 0964 0966 0971 0972 0974 0975 0978 0981 0989 0991 0992 0995 0999	57	A specialized problem or research direction in the saved collection; the category review places it behind broadly reusable primitives and general model separations.
8	0478	84	Dynamic all-pairs shortest paths is a central data-structure resource tradeoff with consequences across dynamic graph algorithms.
8	0470	77	Reducing auxiliary space for grammar-compressed random access addresses a basic interface for computation on repetitive data.
8	0474 0477	71	Tight heap-operation bounds would clarify the capabilities of adaptive priority queues beyond one particular operation sequence.
8	0476	68	Bit-complexity guarantees test how robust word-RAM algorithms are under more realistic accounting of representation costs.
8	0473	64	A structural analysis of path compression could simplify and extend the understanding of a fundamental amortization technique.
8	0469 0471 0472 0475 0479 0480	59	A concrete search, representation, or restricted optimization question with a narrower scope than adaptive-search optimality and general compressed computation.
9	0163	87	The exact complexity of word equations is a foundational boundary for string constraints, combinatorics on words, and automated reasoning.
9	0164	85	Equivalence of unambiguous grammars tests a core decidability boundary for context-free language descriptions.
9	0139	83	Equivalence of cost register automata would locate a basic decidability frontier for quantitative computation.
9	0121	81	Determinization of min-plus weighted automata concerns when quantitative nondeterminism can be eliminated.
9	0146	79	Universality for unambiguous context-free grammars is a canonical complexity question about a major language class.
9	0135 0156	77	Zero and universality questions are basic algorithmic tests for the power of automata representations.
9	0167	75	Whether primitive words form a context-free language is a classic structural boundary in formal-language theory.
9	0136 0138 0150	74	A general decidability boundary for data, timed, or hyperproperty formalisms would affect the corresponding verification model.
9	0128 0134 0137	72	The cost of unambiguous automata representations measures a basic tradeoff between ambiguity and succinctness.
9	0095 0107 0111 0114 0123 0133 0143 0147 0161 0165	69	A substantive complexity or decidability question for a standard quantitative, timed, string, or language model.
9	0090 0094 0096 0097 0100 0105 0109 0115 0116 0117 0125 0129 0130 0131 0140 0144 0145 0151 0152 0154 0160 0166	64	A structural characterization or resource bound for a restricted language or automaton class; useful within that model.
9	0089 0091 0092 0093 0098 0099 0101 0102 0103 0104 0106 0108 0110 0112 0113 0118 0119 0120 0122 0124 0126 0127 0132 0141 0142 0148 0149 0153 0155 0157 0158 0159 0162 0168	56	A focused formal-language, automaton, or word-combinatorics question, assigned a shared specialist priority.
10	5773	90	Decidability of the Skolem problem is a central boundary for reasoning about linear recurrences and linear dynamical systems.
10	0619	83	Low-dimensional VASS reachability is a central test of how dimension controls the complexity of infinite-state verification.
10	0632	81	The complexity of fixed VAS reachability isolates a basic source of difficulty in an important infinite-state model.
10	0575	79	The complexity of random-turn games connects probabilistic behavior with the algorithmic limits of game solving.
10	0637	78	A general positivity question for dynamical systems bears on foundational decidability barriers in verification.
10	0633 0634	76	Matrix positivity and Markov reachability link verification to difficult arithmetic questions about linear dynamics.
10	0617 0622 0628 0639 0640	73	Sharp bounds for reachability or coverability in restricted counter systems would refine core infinite-state verification complexity.
10	0913	72	The word problem for a basic combinator tests the decidability frontier of elementary computational formalisms.
10	0869	72	A complete characterization of polynomial derivational complexity would connect rewriting structure with feasible computation.
10	0572 0616 0620 0621 0623 0624 0626 0629 0630 0636 0638	68	A decidability or quantitative boundary for a specified infinite-state or quantitative verification model.
10	0565 0566 0568 0569 0570 0571 0574	67	Memory, equilibrium, or model-checking complexity for a natural game or logic variant informs the design of verification methods.
10	0873 0874 0875 0876 0877 0878 0885 0886 0890 0894 0895 0896 0900 0901 0902 0904 0905	65	A decidability, confluence, or termination boundary for a specified rewriting formalism; the importance lies in understanding that model's computational limits.
10	0564 0567 0573 0615 0618 0625 0627 0631 0635 0641 0868 0870 0871 0872 0879 0880 0881 0882 0883 0884 0887 0888 0889 0891 0892 0893 0897 0898 0899 0903 0906 0907 0908 0909 0910 0911 0912 1092	56	A focused semantics, verification, or rewriting question whose scope is narrower than general reachability and decidability frontiers.
11	0088	83	The optimal approximation ratio for Max Di-Cut is a canonical threshold question connecting algorithms, relaxations, and hardness.
12	5702	90	Deriving parameterized inapproximability from FPT versus W[1] would connect exact parameterized hardness to robust approximation hardness.
12	0766	82	Understanding polynomial Turing kernels concerns the general power of preprocessing with oracle access.
12	0769	80	Explaining the square-root phenomenon would organize subexponential algorithms across broad planar problem families.
12	0771 0787	79	Treewidth computation is a central structural primitive, so tight complexity bounds influence many parameterized algorithms.
12	0759	78	Disjoint paths and minor testing are foundational algorithmic tools in structural graph theory.
12	0819	78	The exponential complexity of Subset Sum variants calibrates a basic exact-algorithm barrier.
12	0815 0818	76	Relating exact counting to satisfiability hardness would clarify the exponential-time landscape of canonical counting problems.
12	0734	76	Weakening assumptions for FPT inapproximability would strengthen the foundations of parameterized lower bounds.
12	0796	75	A shared explanation for subexponential planar algorithms could transfer methods across several problems.
12	0763 0764 0784 0793	72	An FPT approximation or polynomial kernel for a standard structural problem would establish a substantive new tractability frontier.
12	0757 0760 0761 0762 0765 0767 0770 0772 0773 0775 0777 0785 0801 0805 0806 0813 0816 0817	69	A sharp parameterized or exponential-time bound for a reusable graph, string, or satisfiability problem.
12	0732 0737 0738 0750 0751 0753 0754 0756 0758 0768 0774 0776 0778 0779 0780 0782 0783 0786 0788 0789 0790 0791 0792 0800 0804 0807 0808 0809 0811 0812 0814 0820 0822 0827 0830 0831 0832 0833	62	A significant algorithmic question under particular parameters or graph restrictions, with more specialized consequences than a general parameterized-complexity principle.
12	0730 0731 0733 0735 0736 0739 0740 0741 0742 0743 0744 0745 0746 0747 0748 0749 0752 0755 0781 0794 0795 0797 0798 0799 0802 0803 0810 0821 0823 0824 0825 0826 0828 0829	55	A focused parameterized or exact-algorithm problem for a specified model, parameter, or restricted input family.
13	0557	93	Truly subquadratic 3SUM is a central fine-grained hypothesis with consequences for a large family of geometric and combinatorial problems.
13	0559	90	Reductions between OV, 3SUM, and APSP would connect major fine-grained hardness hypotheses and transfer many conditional bounds.
13	0561	84	Improving clause-width dependence in k-SAT concerns a core boundary underlying fine-grained hardness assumptions.
13	0562	82	Nondeterministic SETH governs barriers to certain reductions and lower-bound techniques, beyond the cost of one algorithm.
13	0560	77	A Hitting Set to 3SUM reduction would connect two important conditional-hardness frameworks.
13	0558	72	The dependence on the number of OV sets refines a canonical hard problem as its arity grows.
13	0563	68	Subexponential savings for a specified quantified-Boolean regime would sharpen a concrete exact-complexity frontier.
14	1005	90	Unconditional subexponential simulation of BPP would remove randomness in a broad regime without hardness assumptions.
14	1018	86	Optimal hardness-to-randomness generators would strengthen a central bridge between lower bounds and deterministic algorithms.
14	1015 1016	83	Optimal seeded extraction parameters concern one of the central universal tools for converting weak randomness into usable randomness.
14	1006	82	Explicit simultaneous isolation for matchings would remove a fundamental use of randomness in graph algorithms.
14	1125	80	Breaking the log-squared seed barrier even for narrow branching programs would advance space-bounded derandomization.
14	1133	79	Shorter seeds for general CNFs and DNFs would improve derandomization for a core Boolean model.
14	1014 1017 1024	77	Improved condensers and extractors would strengthen general-purpose randomness-processing constructions.
14	0854 1135 1137	76	The question compares broad derandomization principles or the assumptions that suffice for them.
14	1008 1009 1013	75	Near-optimal explicit expansion is a reusable resource for coding, pseudorandomness, and algorithms.
14	0852 1121 1124 1134	73	An explicit construction meeting a sharp randomness or extremal target would improve a widely used pseudorandom primitive.
14	1019 1122 1123 1126 1127 1128 1131 1132 1136	70	A generator or simulation improvement for a restricted computational model would sharpen a concrete derandomization frontier.
14	0851 0853 0855 0856 1007 1104 1105 1106 1129 1130	61	A focused structural or construction-efficiency question within pseudorandomness, with less general scope than eliminating randomness from an entire complexity class.
15	1099	82	Separating levels of bounded arithmetic would clarify the proof-theoretic strength of basic theories of feasible computation.
15	1096 1097 1098 1100	79	An unprovability result for circuit or proof bounds would expose the limits of formal theories used to reason about efficient computation.
15	1094 1095	73	Formalizing circuit lower bounds in weak arithmetic tests the proof strength required by established complexity arguments.
15	1062	69	Balancing cutting-planes proofs tests a structural transformation in a widely used propositional proof system.
15	0071	63	Restricting the computational cost of proof systems isolates a focused proof-encoding model question.
16	1043	86	Clique-versus-independent-set communication is a canonical barrier connecting graph structure with protocol lower bounds.
16	0220	82	Relating external information to amortized communication tests the extent to which information cost characterizes communication.
16	1046	80	Stronger three-party disjointness lower bounds would advance a notoriously difficult multiparty communication benchmark.
16	0217	75	Understanding simple three-party disjointness protocols could clarify the structure of a basic multiparty problem.
16	0216	74	The dependence on the number of parties in disjointness addresses a general multiparty communication tradeoff.
16	1044 1048	71	Explicit hard matrices or graphs would strengthen combinatorial tools for communication lower bounds.
16	1055 1063	68	A structural comparison of communication measures or low-rank geometry may support more general protocol bounds.
16	0218 0219 0222 0223 1045	62	A focused communication problem or restricted lower-bound target, with narrower scope than general information-versus-communication comparisons.
17	1010	96	The optimal binary rate-distance tradeoff is a foundational limit on how much information can be protected against errors.
17	1020	92	Polynomial-length constant-query locally decodable codes would transform a central locality-versus-redundancy tradeoff.
17	1012	90	Explicit efficiently decoded binary codes beyond Gilbert-Varshamov would break a fundamental constructive coding benchmark.
17	1011	87	List decoding full-length Reed-Solomon codes beyond Johnson concerns a basic algebraic code family; the exact parameters and current status require separate checking.
17	0196	79	The geometry of linear-rank inequality cones controls the possible linear information profiles.
17	0178 0189 0197	77	Understanding entropy regions and the strength of methods that prove information inequalities would clarify general limits on information-theoretic inference.
17	0181 0183 0184 0187 0199	74	Connecting entropy inequalities, rank, and matroid structure would transfer tools across coding, combinatorics, and information theory.
17	0179 0180 0185 0186 0188 0190 0191 0194 0195 0198 0200 0201 0203 0205	67	A structural question about attainable information profiles or entropy inequalities, with a more specific target than a general coding limit.
17	0177 0182 0192 0193 0202 0204 1107	60	A focused coding or information-theoretic construction, inequality, or reduction problem.
18	0055	86	The sum-of-square-roots problem is a basic exact-comparison barrier connecting algebraic number representations with geometric algorithm complexity.
18	1103	84	Relating border VP to VNP tests how approximation and limits change algebraic computational power.
18	1101 1102	77	Closure under factors in positive characteristic would clarify a basic structural property of arithmetic complexity classes.
18	0040 0042 0043 0045	68	Decidability for a natural group-theoretic operation identifies a substantive boundary in algorithmic algebra.
18	0039 0041 1093	58	A specialized structural or algorithmic algebra question whose consequences are more local than a general arithmetic-complexity separation.
19	0658	92	Standard-assumption hardness at cryptographic approximation factors would strengthen the foundations of lattice-based cryptography.
19	0659	90	Stronger worst-case reductions to SIS and LWE would connect cryptographic assumptions more tightly to general lattice hardness.
19	0656	87	A reduction from factoring or discrete logarithms to approximate SVP would connect major families of computational hardness assumptions.
19	0651	85	Deterministic NP-hardness of Euclidean SVP would remove an important qualification from a canonical lattice hardness result.
19	0655	84	Polynomial-factor SVP hardness would extend the known hardness frontier toward algorithmically and cryptographically significant regimes.
19	0652	80	Dimension-preserving search-to-decision reductions would sharpen a fundamental equivalence used throughout lattice algorithms.
19	0648 0661	77	Hardness for unique or structured lattices tests whether strong restrictions preserve the difficulty needed by algorithms and cryptography.
19	0662	76	Unconditional exponential hardness would be a major complexity result, though the saved cryptographic target needs a precise model and formulation.
19	0657 0660	74	Improved short certificates for approximate SVP would constrain both algorithms and possible hardness reductions.
19	0647 0653 0654	71	Sharper exponential-time bounds or reductions would refine the quantitative complexity and security landscape of lattice problems.
19	0646 0649 0650	63	A restricted approximation-hardness or explicit local-density question that supports specific lattice reduction techniques.
20	0054	83	Efficient tensor decomposition up to the uniqueness threshold would align statistical identifiability with computational feasibility.
20	0724	81	The effect of limited memory on convex-optimization oracle complexity concerns a basic computational resource tradeoff.
20	0728	79	Sharp oracle bounds in broader convex settings would extend a central framework for measuring optimization complexity.
20	0046	78	The complexity of tropical linear feasibility lies at an important boundary between algebra, optimization, and game solving.
20	0047	76	Kronecker-polytope membership connects representation-theoretic geometry with computational complexity.
20	0722	75	A polynomial linearly convergent method for geodesically convex optimization would generalize a powerful algorithmic guarantee.
20	0719 0720	73	General convergence or reduction principles could improve a broad class of first-order optimization methods.
20	0038 0727	70	Understanding overparameterization or loss geometry would explain when optimization of nonconvex representations is computationally feasible.
20	0725	69	Second-order-cone representability determines which convex sets admit a widely tractable optimization formulation.
20	0048 0049 0050 0051 0052 0053 0643 0645 0721 0726	63	A focused structural, numerical, or representation question that could improve algorithms in a specific setting.
20	0642 0644 0718 0723 0867	55	A specialized numerical or optimization task, assigned a shared focused priority.
21	0711	82	Model selection for contextual bandits concerns adaptation to unknown predictive structure while learning from partial feedback.
21	0715	80	Efficient online sparse regression tests whether strong regret guarantees can be achieved with computationally feasible sparse prediction.
21	0708	77	Order-optimal kernel reinforcement-learning regret would clarify the cost of learning in a broad nonlinear function class.
21	0709	76	Instance-dependent optimality with feedback graphs connects information availability to achievable learning rates.
21	0701	74	Adapting to unknown heavy-tail parameters tests the robustness of bandit learning under weak distributional knowledge.
21	0700 0702	73	Prophet inequalities under dependence or order choice test general limits of sequential selection.
21	0710 0713 0717	68	A sharper regret guarantee in a specific feedback or data regime would improve a reusable online-learning model.
21	0699 0703 0705 0706 0707 0712 0714 0716	62	A focused sequential-decision or stochastic-optimization problem whose assumptions define a narrower frontier.
21	0704	55	A particular stochastic sequencing objective, with more specialized consequences than general online-learning principles.
22	0542	85	Dynamic derandomization concerns the general possibility of maintaining algorithmic guarantees without random choices.
22	0543	82	Dynamic maximal matching is a fundamental update-time benchmark and a building block for other dynamic graph algorithms.
22	0541	78	Dynamically maintaining low-stretch spanning trees would provide a reusable primitive for graph optimization and numerical methods.
22	0536 0537	74	Dynamic edge or vertex coloring tests how efficiently structural graph guarantees can survive updates.
22	0545	72	A general weighted-to-unweighted matching reduction could transfer dynamic improvements across broad matching variants.
22	0544	69	Dynamic all-pairs queries in planar directed graphs expose the effect of planarity on a central dynamic task.
22	0538	66	Maintaining low-degree spanning trees is a focused dynamic optimization frontier.
22	0540	64	Communication lower bounds for flow could provide tools for proving dynamic resource limitations.
22	0539	59	Adaptive failure of a sketch inside a greedy algorithm is an instructive robustness question for a specific algorithmic interface.
23	0553	86	Polynomial-delay minimal-dominating-set enumeration connects to the central difficulty of hypergraph transversal generation.
23	1004	84	Deterministic relative counting for DNF would remove randomness from a canonical approximate-counting problem.
23	0555	82	General output-sensitive complexity classifications would organize what efficient enumeration is possible across problem families.
23	0556	80	Strong polynomial-delay principles concern a basic efficiency standard for enumeration algorithms.
23	0547	76	Understanding enumeration across primal and dual descriptions could expose a general representation barrier.
23	0549 0551	71	Enumeration of structured feasible subsets tests the reach of delay-efficient methods beyond local feasibility checks.
23	0546 0550 0552 0554	66	A concrete diversity, representation, or structural enumeration target that may support broader enumeration techniques.
23	0211 0215 0548	60	A specialized counting identity or restricted enumeration question.
24	1030	88	Characterizing polynomial-query testable graph properties would give a broad structural theory of efficient testing.
24	1029	85	Sharp removal bounds for fixed graph patterns govern the quantitative efficiency of many graph testers.
24	1026	80	A near-optimal characterization of monotonicity path testers would clarify a central property-testing method.
24	1033	79	Quantifying the cost of tolerance tests the relationship between recognizing a property and estimating distance to it.
24	0837 0838	77	Understanding the effect of input distributions and query tradeoffs would broaden the foundations of graph property testing.
24	0848	75	Testing submodularity concerns a fundamental structural property used throughout combinatorial optimization and learning.
24	0839 0841 0845	72	Comparing proof or conditional-sampling interfaces tests the computational power of alternative distribution-testing models.
24	0835 0842 0843 0847 1027 1028	68	A sharp testing or correction bound for a specific distance, property, or sampling regime.
24	0834 0836 0846 0849 1025 1031 1032	62	A focused estimation, group-testing, or reduction question whose main consequences are within its specified model.
24	0850	54	A particular routing-related question in the saved testing collection, with narrower scope than a general testing characterization.
25	0510	80	Whether privacy has an unavoidable cost in online learning probes a general compatibility question between two learning requirements.
25	0507	76	Optimal private stochastic online-learning rates would identify the statistical price of privacy in a broad decision model.
25	0508	72	Joint privacy for linear contextual bandits tests a basic tradeoff between learning efficiency and protecting other participants.
25	0509	69	Improved margin-dependent private learning would sharpen an important restricted learning guarantee.
26	1116	87	The best universal EFX approximation factor quantifies how close fair allocation can get to a central unresolved fairness guarantee.
26	0056	84	The best universally achievable maximin-share approximation is a central quantitative fairness threshold.
26	1115	82	Efficiently combining EF1 with Pareto optimality would reconcile fairness, efficiency, and computation for a basic goods model.
26	1109	78	EF1 and Pareto optimality for mixed goods and chores tests the compatibility of two fundamental allocation requirements.
26	1108 1119 1120	76	Existence or optimal approximation for broad fairness guarantees would organize a substantial family of allocation problems.
26	0076	75	An equilibrium algorithm for an entire monotone-utility class would give a broad tractability result in game theory.
26	1110 1111 1112 1117	71	A general existence, protocol, or efficiency question for a specified extension of fair division.
26	0072 0073 0074 1090 1091	68	A complexity classification for a natural equilibrium or consensus task clarifies a substantive computational frontier.
26	0067 1113 1114 1118	65	A compatibility or efficiency question for a restricted fairness model, with useful but more specialized consequences.
26	0057 0058 0059 0060 0061 0062 0063 0064 0065 0066 0075 0077 0078	56	A focused allocation, game, or social-choice problem for a specified setting.
27	1978	83	Equivalence of search and decision for LP-solvable promise CSPs concerns a basic algorithmic distinction in the promise framework.
27	5245	80	A uniform polynomial-time algorithm for coset CSPs would remove a key uniformity obstacle in an algebraically defined tractable family.
27	4287	78	A complete QCSP complexity classification over semigroups would organize an entire quantified constraint family.
27	0441	76	Characterizing linear non-redundancy would give a structural explanation for which constraint languages admit compact instances.
27	0444	72	Polynomial-kernel classification for Boolean MinCSP concerns the general preprocessing power of constraint languages.
27	0440 0445 0446 0447	68	A sharper exponential-time algorithm or lower bound for an algebraically specified CSP class refines the connection between structure and complexity.
27	0443	64	FPT approximation for negative-cycle deletion would improve a natural constraint-repair primitive.
27	0442	58	A deletion problem for one specified mixed-graph template is a focused point in the constraint-satisfaction complexity map.
28	0973	86	Sketching Earth Mover Distance is a central metric-compression problem linking transportation distance with communication and data representation.
28	0990	81	Estimating Earth Mover Distance concerns the efficient approximation of a widely used transportation metric.
28	0322	79	Plane near-isometric spanners test the compatibility of sparsity, planarity, and faithful geometric distances.
28	0321	77	Planar spanners ask for broadly useful sparse distance-preserving geometric representations.
28	2529	75	Efficient approximation of metric embedding into ultrametrics would improve a standard route from arbitrary distances to hierarchical algorithms.
28	5124	73	Optimal distortion for online monotone HST embeddings quantifies the cost of building hierarchical metric representations without future input.
28	0690	70	Valid objectives for nonlinear dimension reduction concern which geometric information a lower-dimensional representation can preserve.
