Communication complexity
TCS-0221 [index;problem_family;uncertain] Frontiers in Structural Communication Complexity
TCS-2334 [index;source_question_passage;uncertain] The Strength of Equality Oracles in Communication | Is there a reasonable closure of γ2,B that is equivalent to γ2 in terms of its ability to bound functions in communication complexity?
TCS-2343 [index;source_question_passage;uncertain] Separation of the Factorization Norm and Randomized Communication Complexity | Is there a Boolean matrix MN ×N with R(M ) = O(1) and ∥M ∥γ2 = N Ω(1) ?
TCS-2407 [index;source_question_passage;uncertain] Protecting Single-Hop Radio Networks from Message Drops | Whether or not longer protocols can be handled with constant rate, and whether computationally efficient schemes are possible, are two intriguing questions we leave open.
TCS-2490 [index;source_question_passage;uncertain] Communication Complexity of Inner Product in Symmetric Normed Spaces | If N is a symmetric norm such that (Rk , ℓ∞ ) ̸,→ε (Rn , N ), then N admits an (O(ε), 1/3, k O(1) […]
TCS-2658 [index;source_question_passage;uncertain] Lower Bound Methods for Sign-Rank and Their Limitations | Is there a function η such that for every sign matrix A, we have rank± (A) ≤ η(m(A)−1 )?
TCS-2782 [index;source_question_passage;uncertain] Byzantine Consensus Is Θ(n²): The Dolev-Reischuk Bound Is Tight Even in Partial Synchrony! | Interestingly, the Dolev-Reischuk lower bound [25] does not apply to Byzantine protocols satisfying weak validity; hence, we do not know whether Quad has optimal communication […]
TCS-3023 [index;source_question_passage;uncertain] An Improved Protocol for the Exactly-N Problem | The NOF communication complexity of exactly-N is o( log N ).
TCS-3058 [index;source_question_passage;uncertain] Haystack Hunting Hints and Locker Room Communication | Optimal strategies are exactly latin strategies.
TCS-3146 [index;source_question_passage;uncertain] Average-Case Communication Complexity of Statistical Problems | The linear sketching model is more powerful, in general, than the edge-probe model, and we leave open the question of e 2 /k 4 ) […]
TCS-3161 [index;source_question_passage;uncertain] Communication Memento: Memoryless Communication Complexity | It is not clear if the quadratic factor loss in the simulation above is necessary and we leave it as an open question.
TCS-3281 [index;source_question_passage;uncertain] In Search for an Optimal Authenticated Byzantine Agreement | The open question is therefore the following: is there a synchronous Byzantine agreement protocol that tolerates up to t < n/2 failures with an optimal […]
TCS-3316 [index;source_question_passage;uncertain] NP-Hardness of Circuit Minimization for Multi-Output Functions | We leave as an open problem whether Partial-MCCP can be reduced to minimizing communication complexity of total matrices.
TCS-3665 [index;source_question_passage;uncertain] On Communication Complexity of Classification Problems | We do not know whether Theorem 10 can be extended to non-closed classes.
TCS-3716 [index;source_question_passage;uncertain] Equality Alone Does not Simulate Randomness | Is it true that f must contain a monochromatic rectangle R of size |R| ≥ 2−O(c) 22n ?
TCS-3761 [index;source_question_passage;uncertain] Placing Conditional Disclosure of Secrets in the Communication Complexity Universe | In particular, can we prove non-trivial ppCDS lower-bounds for predicates that have low randomized bounded-error communication complexity like Greater-Than?
TCS-3810 [index;source_question_passage;uncertain] On the Communication Complexity of High-Dimensional Permutations | What is the relationship between αk (n, N ) and αk (n, N ) in the whole range n ≤ N ≤ (k − 1)(n […]
TCS-3811 [index;source_question_passage;uncertain] A New Approach to Multi-Party Peer-to-Peer Communication Complexity | First, how can one relax the restrictions that we impose on the general asynchronous model and still prove communication complexity lower bounds in a peer-to-peer […]
TCS-3821 [index;source_question_passage;uncertain] Adventures in Monotone Complexity and TFNP | For example, can our result PPADScc * PPAcc be strengthened to SoMLcc * PPAcc ?
TCS-3833 [index;source_question_passage;uncertain] Lower Bounds for Approximating Graph Parameters via Communication Complexity | We conjecture that the lower bound of Theorem 4.7 is tight over the entire range of the parameters.
TCS-4058 [index;source_question_passage;uncertain] Half-Duplex Communication Complexity | Is there any α < 1 such that for any f : {0, 1}n × {0, 1}n → {0, 1}, D0hd (f ) ≤ αn […]
TCS-4084 [index;source_question_passage;uncertain] Two-Party Direct-Sum Questions Through the Lens of Multiparty Communication Complexity | We conjecture that the INBA problem remains hard in M2 even in the unbounded-round setting.
TCS-4330 [index;source_question_passage;uncertain] Toward the KRW Composition Conjecture: Cubic Formula Lower Bounds via Communication Complexity | In fact, we do not know how to prove this conjecture even if the density of X in X0 is allowed to be as high […]
TCS-4438 [index;source_question_passage;uncertain] The Landscape of Communication Complexity Classes | We strengthen the latter result to show that PP 6⊆ UPostBPP . (Showing PP 6⊆ UPostBPP remains open.) In our proof, we make use of […]
TCS-4522 [index;source_question_passage;uncertain] Correlation in Hard Distributions in Communication Complexity | What is the largest gap between QI=0 (f ) and RI=0 (f )?
TCS-4918 [source;;source_open] The Strength of Equality Oracles in Communication | Is there a function whose communication matrix would be lower bounded by log γ2 but not log γ2α ?
TCS-4996 [source;;source_open] An Improved Protocol for ExactlyN with More Than 3 Players | Give a corner-free set construction whose advantage over Rankin’s construction improves as k grows.
TCS-5226 [source;;uncertain] Lifting Dichotomies | We do not know whether the lower bound is tight, even for h = x ∨ (y ∧ z).
TCS-5283 [source;;uncertain] Communication Complexity of Collision | We conjecture that the O(N 1/4 log N )-bit protocol for BiColN is essentially optimal (up to logarithmic factors) for randomised protocols.
TCS-5284 [source;;uncertain] Sample-Based Proofs of Proximity | Note, however, that we do not know how to obtain communication complexity √ o( n) (unlike the case of IPPs).
TCS-5318 [source;;source_open] New Algebrization Barriers to Circuit Lower Bounds via Communication Complexity of Missing-String | Can we strengthen Theorem 7 to hold for all of MAE instead of just “robust” MAE algorithms?
TCS-5319 [source;;source_open] Haystack Hunting Hints and Locker Room Communication | For every natural number n, there is an optimal strategy for Sn whose parts all contain exactly (n − 1)! permutations.
TCS-5369 [source;;uncertain] On Communication Complexity of Classification Problems | We do not know whether the dependence on is tight, even for the basic class of half-planes.
TCS-5424 [source;;uncertain] Trading Information Complexity for Error | Finally let us remark that we do not know whether the bound in Theorem 7 is tight.
TCS-5458 [source;;source_open] Communication Memento: Memoryless Communication Complexity | Also, what is the complexity of the k-clique problem?
TCS-5459 [source;;source_open] Interplay Between Graph Isomorphism and Earth Mover’s Distance in the Query and Communication Worlds | What is the randomized communication complexity of testing tolerant graph isomorphism problem?
TCS-5524 [source;;uncertain] Communication Complexity with Small Advantage | We conjecture that this communication upper bound is tight, i.e., R1/2+ (Tribes2,m ) ≥ √ Ω( m).
TCS-5525 [source;;source_open] Placing Conditional Disclosure of Secrets in the Communication Complexity Universe | Can any of the existing lower-bound techniques from communication complexity be used to obtain such bounds?
TCS-5562 [source;;source_open] Separation of the Factorization Norm and Randomized Communication Complexity | What is the largest c such that there exist Boolean matrices MN ×N with e2 (M ) ≤ polylog(N ) and ∥M ∥γ2 ≥ Ω(N […]
TCS-5563 [source;;source_open] Lower Bounds for Approximating Graph Parameters via Communication Complexity | Can Theorem 3.3 be applied to obtain any nontrivial (i.e., ω(1/ε)) lower bound for any “natural” graph problem in the dense graph property testing model?
TCS-5621 [source;;uncertain] A Quadratic Lower Bound for Stable Roommates Solvability | We leave it as an open question whether the lower bound can be improved to Ω(n2 log n) Boolean queries (i.e., a lower bound that […]
TCS-5664 [source;;uncertain] Overlay Network Construction: Improved Overall and Node-Wise Message Complexity | The optimality of the hashing technique from King, Kutten, and Thorup [31] is much less well-known, and it remains open whether their communication complexity bound […]
TCS-5665 [source;;source_open] Communication with Partial Noiseless Feedback | Is the bound Γdet (δ) ≥ f (δ) provided by Theorem 6 is tight?
TCS-5754 [source;;uncertain] Byzantine Consensus Is Θ(n2): The Dolev-Reischuk Bound Is Tight Even in Partial Synchrony! | While it has been shown that the bound is tight in synchronous environments, it is still unknown whether a consensus protocol with quadratic communication complexity […]
TCS-5847 [source;;uncertain] Open Problem: Information Complexity of VC Learning | We conjecture that it is possible to attain CMI O(d) instead, that is, to prove that for any class with VC dimension d there exists […]
TCS-5892 [source;;uncertain] Lifting Theorems for Equality | A classic example is the case of direct sum in communication complexity: a near-perfect direct sum result holds in the non-deterministic case [49, 38], but […]
TCS-5970 [source;;uncertain] On Query-To-Communication Lifting for Adversary Bounds | For relations, we do not know how to compare CAdv(f )1/3 to deg(f g ), and therefore our lifting theorem gives something new, even in […]
TCS-6009 [source;;uncertain] Randomized Query Complexity of Sabotaged and Composed Functions | A direct sum theorem is known to hold for deterministic and randomized query complexity [9], and two-player refereed games [17], is known to fail for […]
TCS-6037 [source;;uncertain] Correlation in Hard Distributions in Communication Complexity | We mention here that the tight protocol for DISJ due to Aaronson and Ambainis [1] does not seem to work well for the small set […]
TCS-6074 [source;;uncertain] Communication Complexity of Set-Disjointness for All Probabilities | In the converse direction, we do not know whether USBP is significantly more powerful than SBP (though a small separation is witnessed by the greater-than […]
TCS-6093 [source;;source_open] Distributed Query Monitoring through Convex Analysis: Towards Composable Safe Zones | Important problems remain open for future research, mainly relating the quality of safe zones to actual guarantees on the communication cost of monitoring, and extending […]
TCS-6118 [source;;uncertain] Tight Bounds for Communication-Assisted Agreement Distillation | Our methods imply a communication lower bound of (1 − s∗ (Y ; X))k − o(k) for an arbitrary channel, though we do not know […]
TCS-6198 [source;;uncertain] The Information Complexity of Hamming Distance | In fact, we do not know of any distribution μ and any function f that is balanced on μ which is not majority-hard for μ. […]
