candidate_id	title	area
7316ef916e0153e6	Explicit matrices with large robust rectangle covers	Communication complexity
d2d860188223ee35	Rectangle-cover lower bounds for square-free matrices	Communication complexity
99964729c4f03ef3	Super-log-cubed three-party disjointness lower bounds	Communication complexity
7a1bdcaeceef2bfe	Formula size versus partition complexity	Computational and circuit complexity
b2c206aa8d29ba42	Explicit bipartite graphs with large partition complexity	Communication complexity
8b9d1550257cf992	Cube colorings separating every triple	Combinatorics and graph polynomials
e2232227bcec704c	Explicit pairs with strong monotone approximation hardness	Computational and circuit complexity
77566651ad803607	Logarithmic negation-depth lower bounds for monotone functions	Computational and circuit complexity
a617938654185aba	Depth-three lower bounds beyond the switching-lemma barrier	Computational and circuit complexity
efe98eb9e527c951	Depth-three size bounds beyond exponential square root	Computational and circuit complexity
9adaecf377b75949	Exponential lower bounds for unrestricted threshold-of-threshold circuits	Computational and circuit complexity
5f7cf12810e839ef	Complementation asymmetry in second-level communication complexity	Communication complexity
08a1162f2d7cec4a	Majority outside constant-depth modular circuits	Computational and circuit complexity
1610a6525838bfd7	Explicit polynomial-separation lower bounds	Computational and circuit complexity
863716800781c85d	Explicit rigidity at rank n over log log n	Computational and circuit complexity
3cac7c9fa6aaf51d	Linearizing arbitrary depth-two circuits efficiently	Computational and circuit complexity
69c6aad309e4b72e	Bounding solution counts using partial-matrix minimum rank	Computational and circuit complexity
a51fc93cd74e5f70	Quadratic decision-tree bounds from block sensitivity	Computational and circuit complexity
756575a73f723734	Balancing tree-like cutting-planes proofs	Proof complexity and logic
e17272735d8d167f	Direct geometric proofs of low-rank rectangle bounds	Communication complexity
aca1244d5d99eac1	Universality of collinearity logic	Existential theory of the reals
4acdde0f211b7a45	Connected convex RCC8 inference in exists-R	Existential theory of the reals
be877676c76e6350	Exists-R hardness of affine polynomial projection	Existential theory of the reals
2297427ec507549f	Exists-R hardness of affine matrix-rank minimization	Existential theory of the reals
0fbb271c89ae74e3	Exists-R hardness of symmetric tensor eigenvalues	Existential theory of the reals
ab15e9de8ccb42cd	Complexity of testing Zariski-closure membership	Existential theory of the reals
daa507ee89cc3463	Crossing-free directional-walk realizability hardness	Computational geometry
d91a81fc20cdf913	Crossing thresholds for hard pseudosegment stretchability	Computational geometry
a5cb52e4ed7c77ca	Semialgebraic art galleries in exists-R	Computational geometry
cce07d694fdfcc25	Exists-R hardness of boundary-only guarding	Computational geometry
6e4b9200cd999eed	Bounded-degree unit-disk recognition hardness	Computational geometry
7c6283e374f7f890	High-girth segment-intersection recognition hardness	Computational geometry
8d21df33c5707d4a	Recognizing hyperbolic convex-set intersection graphs	Computational geometry
5e0280e99ad8ee1d	Rank-three linear-hypergraph realizability hardness	Computational geometry
4eb81bcef338574a	Complexity of unrestricted graph slope number	Computational geometry
bbfcedbcc1a1b398	Fixed-slope upward-planar recognition in NP	Computational geometry
3a6bd4d2454731fb	Exists-R hardness of three-dimensional plane covers	Computational geometry
2a2818c2b981ad5e	Exists-R hardness of partial drawing extension	Computational geometry
9e113a262937e795	Bounded-degree rectilinear crossing-number hardness	Computational geometry
91752eee047655ff	Realizability of cubic graphs with prescribed rotations	Computational geometry
6c05778fafecb473	Exists-R hardness of one-bend RAC drawings	Computational geometry
782e89295178bc37	Exists-R hardness at angular resolution pi/3	Computational geometry
3706ffb1177477a8	Unit-linkage hardness in arbitrary fixed dimension	Computational geometry
63ff0ada44cf6fa8	Hardness of four-dimensional simplicial-polytope realizability	Computational geometry
80be52b5a13effd2	Complexity of three-dimensional Delaunay realizability	Computational geometry
2b78fa605e62684e	Exists-R hardness of 2-complex embeddings in 4D	Computational topology
1c0a21079ec8575f	Pareto-optimal equilibrium hardness in win-lose games	Algorithmic game theory and fair division
78154960ef599735	Consensus-halving hardness for polynomial valuations	Algorithmic game theory and fair division
d23d1f0ae3c33143	MDP total-variation distance exactly one	Games, synthesis and verification
246cd4702127e267	Rational roots in specified polynomial intervals	Algebraic and numerical computation
d8df9ad48794fc7b	PV₁ proofs of parity circuit lower bounds	Proof complexity and logic
ca44599bf254fcd1	PV₁ proofs of monotone clique lower bounds	Proof complexity and logic
f0a6d35014e65c3a	Unprovability of polynomial circuit upper bounds in S₂¹	Proof complexity and logic
0558671a6689817a	Unprovability of NP circuit upper bounds in T₂¹	Proof complexity and logic
9150b7d3bdba981c	PV₁ cannot verify any polynomial-time SAT solver	Proof complexity and logic
d14f6ebafe7dce84	Separate two levels of Buss's arithmetic hierarchy	Proof complexity and logic
266ec3be9225efd2	PV₁ cannot prove fixed-polynomial extended-Frege lower bounds	Proof complexity and logic
ba3bcbcce0b22718	VP factor closure in positive characteristic	Algebraic and numerical computation
8f65f1a1af9fbbdc	VBP factor closure in positive characteristic	Algebraic and numerical computation
2e710f3ff2c64376	Containment of border VP in VNP over arbitrary fields	Algebraic and numerical computation
b9da181596cd2df5	Composition-space lower bounds from familiar complexity assumptions	Pseudorandomness and derandomization
470969e34f6ff1d8	Distinguishing-to-predicting transformations for list predictors	Pseudorandomness and derandomization
9ea65aecabd2208c	Deterministic PRG reconstruction without distinguishing-to-predicting transformations	Pseudorandomness and derandomization
d45c0649fb684fd4	Reduce linear code equivalence to LIP over nonprime fields	Coding and information theory
a8eb1eb9819b5072	EF1 existence for arbitrary mixed-item utilities	Algorithmic game theory and fair division
68db21b9e7902448	EF1 and Pareto optimality for additive mixed items	Algorithmic game theory and fair division
b165a71fff814b14	Finite Robertson–Webb protocols for EFM allocations	Algorithmic game theory and fair division
0b4954d01af6f330	Compatibility of EFM with Pareto optimality	Algorithmic game theory and fair division
20f8d586a2cb76a8	EFM existence for indivisible chores plus cake	Algorithmic game theory and fair division
273435191a374929	Truthful EFM for three or more binary-additive agents	Algorithmic game theory and fair division
1c0286f2f764e895	Subquadratic envy-eliminating subsidies for monotone utilities	Algorithmic game theory and fair division
6c443cdc95572b10	Polynomial-time EF1 and Pareto-optimal goods allocation	Algorithmic game theory and fair division
e896344c54391ee0	Optimal universal approximation factor for EFX	Algorithmic game theory and fair division
7a34b601258b90c8	Exact EFX after donating sublinearly many goods	Algorithmic game theory and fair division
e6409f11fe94c72e	Existence of envy-freeness up to a random good	Algorithmic game theory and fair division
79d982aae270399a	Existence of pairwise maximin-share allocations	Algorithmic game theory and fair division
af6f2fddcc833356	Optimal approximation factor for groupwise maximin shares	Algorithmic game theory and fair division
323f6c52df4f4269	Explicit small-bias generators with additively optimal seeds	Pseudorandomness and derandomization
bd4508dfc1664ee9	Nontrivial PRGs for logarithmic-degree binary polynomials	Pseudorandomness and derandomization
435a95e829abe5c1	Exploit read-twice structure to improve AC0 PRGs	Pseudorandomness and derandomization
49ef0a9d42052760	Optimal PRGs for high-dimensional combinatorial rectangles	Pseudorandomness and derandomization
2237afce777b46f9	Sub-log-squared seeds for width-four ordered branching programs	Pseudorandomness and derandomization
5c1ceb00521192aa	Fool constant-width branching programs by summing small-bias distributions	Pseudorandomness and derandomization
d5a6bcaf4f54aa27	Low-error short-seed generators for width-three permutation programs	Pseudorandomness and derandomization
684283400852440a	Linear-space Nisan–Zuckerman generators with polynomially small error	Pseudorandomness and derandomization
7cdf05a915dfeb77	Maximum size of nearly disjoint set families	Combinatorics and graph polynomials
c5317fc62a205a38	Polynomial-time construction of near-optimal nearly disjoint sets	Pseudorandomness and derandomization
c2a65cefe6f653ff	Sublinear-seed generators for AC0 with parity gates	Pseudorandomness and derandomization
be4ed1246eef345f	Shorter seeds for arbitrary-order regular branching programs	Pseudorandomness and derandomization
ecbf33cc59fb8451	Sub-log-squared seeds for polynomial-size CNFs and DNFs	Pseudorandomness and derandomization
95b1f2ff43b5b052	Optimal seed length for read-once CNF generators	Pseudorandomness and derandomization
da54eb7ea6e959cd	Characterize promise-AM derandomization by targeted hitting sets	Pseudorandomness and derandomization
d2ebd06c98112535	Near-linear PRGs without cryptographic hardness assumptions	Pseudorandomness and derandomization
88a3e19838fa763e	Derandomization from almost-everywhere uniform hardness	Pseudorandomness and derandomization
1b186ca976165d6c	Polynomial-time computationally sound NP verification of #SAT	Cryptography
