id,title,authors,year,publication_year,edition_note,kind,area,category_ids,entries,pages,source_url,pdf_url,pdf,note,sha256,inventory_target
understanding_ml,Understanding Machine Learning: From Theory to Algorithms,Shai Shalev-Shwartz; Shai Ben-David,2014,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",book,Learning theory,L05,4,449,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/understanding-machine-learning-theory-algorithms.pdf,pdf/understanding_ml.pdf,notes/understanding_ml.md,5ad0c69c922e47e423f6b469e8cfbaf07beae6933185af746b670911a8d163f2,all_explicit_unresolved_statements_in_downloaded_work
bandit_algorithms,Bandit Algorithms,Tor Lattimore; Csaba Szepesvári,2020,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",book,Bandits and online learning,,6,597,https://banditalgs.com/,https://tor-lattimore.com/downloads/book/book.pdf,pdf/bandit_algorithms.pdf,notes/bandit_algorithms.md,b71acb03034d73ca0ea148c9c6a91c34a88dd8c7ab8471af38035b34399bad9f,selected_explicit_unresolved_statements
markov_mixing,"Markov Chains and Mixing Times, Second Edition",David A. Levin; Yuval Peres; contributions by Elizabeth L. Wilmer,2017,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",book,Randomized algorithms and mixing,S10,19,461,https://pages.uoregon.edu/dlevin/MARKOV/,https://pages.uoregon.edu/dlevin/MARKOV/mcmt2e.pdf,pdf/markov_mixing.pdf,notes/markov_mixing.md,9ef39f9467d9647ff3f5e8747b9ce24b7a90d13be2f8156fbd827b95b661a772,all_explicit_unresolved_statements_in_downloaded_work
coding_theory,Essential Coding Theory,Venkatesan Guruswami; Atri Rudra; Madhu Sudan,2026,,"Accessible author draft, 19 April 2026. Only the currently released stable chapters; not a complete published book.",partial_book_draft,Coding theory,S07,3,226,https://cse.buffalo.edu/faculty/atri/courses/coding-theory/book/,https://cse.buffalo.edu/faculty/atri/courses/coding-theory/book/ada-coding-book.pdf,pdf/coding_theory.pdf,notes/coding_theory.md,7251cb8e4bc5048cfd6ad113f14bc6d6d3c5a079e5dc33430b1cf36df5c21005,all_explicit_unresolved_statements_in_downloaded_work
peikert,A Decade of Lattice Cryptography,Chris Peikert,2016,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",monograph,Lattices and cryptography,S09,12,90,https://eprint.iacr.org/2015/939,https://eprint.iacr.org/2015/939.pdf,pdf/peikert.pdf,notes/peikert.md,1a9802b66031a2b863fd498a5de4a71cdb1bd46ac1d47dc1f4a67ae341357488,all_explicit_unresolved_statements_in_downloaded_work
bubeck_convex,Convex Optimization: Algorithms and Complexity,Sébastien Bubeck,2015,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",monograph,Optimization,,0,130,https://arxiv.org/abs/1405.4980,https://arxiv.org/pdf/1405.4980,pdf/bubeck_convex.pdf,notes/bubeck_convex.md,4d5cd5428a8e627fa2b7ee80791259c2f17e6ae5bf68cf7c78aee1fcefdc05f2,selected_explicit_unresolved_statements
expanders,Expander Graphs and Their Applications,Shlomo Hoory; Nathan Linial; Avi Wigderson,2006,,"Author draft dated 3 May 2006, not the final journal typesetting.",survey,Expanders and pseudorandomness,,8,124,https://www.math.ias.edu/avi/node/974,https://www.math.ias.edu/~avi/BOOKS/expanderbookr1.pdf,pdf/expanders.pdf,notes/expanders.md,77e6bfec9438162512891df56af534f4c3e5df4a0fe27090ec6b690224e70b13,selected_explicit_unresolved_statements
arithmetic_circuits,Arithmetic Circuits: A Survey of Recent Results and Open Questions,Amir Shpilka; Amir Yehudayoff,2010,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",monograph,Algebraic computation,S08,35,123,https://www.cs.tau.ac.il/~shpilka/publications/SY10.pdf,https://www.cs.tau.ac.il/~shpilka/publications/SY10.pdf,pdf/arithmetic_circuits.pdf,notes/arithmetic_circuits.md,68e88d3878c19d38d26f1f1e91e632d0cb4f4bbc758da5265cded23c6880e4b2,all_explicit_unresolved_statements_in_downloaded_work
local_algorithms,Survey of Local Algorithms,Jukka Suomela,2013,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",survey,Distributed algorithms,L07,4,46,https://www.cs.helsinki.fi/local-survey/,https://jukkasuomela.fi/doc/local-survey.pdf,pdf/local_algorithms.pdf,notes/local_algorithms.md,5dc3b688f6c66944530b149b2acfe7ca63e23ea00f4626ebf92ce3a633bbe4be,all_explicit_unresolved_statements_in_downloaded_work
repetitive_strings,Indexing Highly Repetitive String Collections,Gonzalo Navarro,2021,,"arXiv v10, 23 November 2022; survey associated with the 2021 publication.",survey,String algorithms and data structures,S11,11,76,https://arxiv.org/abs/2004.02781,https://arxiv.org/pdf/2004.02781,pdf/repetitive_strings.pdf,notes/repetitive_strings.md,7b50e0287518458ab0cd51e10dce37633e9011d40e756f252e4b433347d57bf1,all_explicit_unresolved_statements_in_downloaded_work
quantum_algorithms,Quantum Algorithms: An Overview,Ashley Montanaro,2016,,December 2015 author version (arXiv v2); journal publication 2016.,survey,Quantum algorithms,L01,3,17,https://arxiv.org/abs/1511.04206,https://arxiv.org/pdf/1511.04206,pdf/quantum_algorithms.pdf,notes/quantum_algorithms.md,056dc8461e2a93cb1a54ba44c8450177e7a7ed5acc26248319610e7d38614e0c,all_explicit_unresolved_statements_in_downloaded_work
fine_grained,On Some Fine-Grained Questions in Algorithms and Complexity,Virginia Vassilevska Williams,2018,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",survey,Fine-grained complexity,S03,21,32,https://people.csail.mit.edu/virgi/,https://people.csail.mit.edu/virgi/eccentri.pdf,pdf/fine_grained.pdf,notes/fine_grained.md,2f9dcf780203d467d6e108872aefbbcb188e2b31d95387927d48b4e45f69c06c,all_explicit_unresolved_statements_in_downloaded_work
wigderson,Mathematics and Computation,Avi Wigderson,2019,,Final author draft dated 6 August 2019.,book_draft,Complexity and mathematical foundations,,11,340,https://www.math.ias.edu/avi/book,https://www.math.ias.edu/files/Book-online-Aug0619.pdf,pdf/wigderson.pdf,notes/wigderson.md,c6b72d0487d31b7d7173266c8d6706649607c6615defb7e2b6c2395782ab1829,selected_explicit_unresolved_statements
online_convex,"Introduction to Online Convex Optimization, Second Edition",Elad Hazan,2023,,"Second edition; arXiv v3, 6 August 2023. First edition 2016.",monograph,Online optimization,,0,260,https://arxiv.org/abs/1909.05207,https://arxiv.org/pdf/1909.05207,pdf/online_convex.pdf,notes/online_convex.md,0c0678244a56006734f9114dc57b0fa9d5ff06ad62cbe4ca3222b6c61acd4e9e,selected_explicit_unresolved_statements
algorithmic_game_theory,Algorithmic Game Theory,Noam Nisan; Tim Roughgarden; Éva Tardos; Vijay V. Vazirani (editors),2007,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",edited_book,Algorithmic game theory,,9,775,https://www.cs.cmu.edu/~sandholm/cs15-892F13/algorithmic-game-theory.pdf,https://www.cs.cmu.edu/~sandholm/cs15-892F13/algorithmic-game-theory.pdf,pdf/algorithmic_game_theory.pdf,notes/algorithmic_game_theory.md,83084d9996024ca92f313c5ae55fec7b3b379f06172a4c24b62229da9c558543,selected_explicit_unresolved_statements
geometry_cabello,Some Open Problems in Computational Geometry,Sergio Cabello,2020,,"Invited survey, MFCS 2020.",survey,Computational geometry,L02,7,6,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.MFCS.2020.2,https://drops.dagstuhl.de/storage/00lipics/lipics-vol170-mfcs2020/LIPIcs.MFCS.2020.2/LIPIcs.MFCS.2020.2.pdf,pdf/geometry_cabello.pdf,notes/geometry_cabello.md,c47bb7be3975a2ccbcb1057423e88cc640e46abcfc7ff5fadb01dcbf231fc2cc,all_explicit_unresolved_statements_in_downloaded_work
compact_databases,Compact Data Structures Meet Databases,Gonzalo Navarro,2023,,"Invited survey, ICDT 2023.",survey,Data structures,L04,4,16,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICDT.2023.2,https://drops.dagstuhl.de/storage/00lipics/lipics-vol255-icdt2023/LIPIcs.ICDT.2023.2/LIPIcs.ICDT.2023.2.pdf,pdf/compact_databases.pdf,notes/compact_databases.md,e5e895d91cd43d39189a7b1df7020cb90dd0cc91eebe8f1ff234ab7567a2dc27,all_explicit_unresolved_statements_in_downloaded_work
pnp_fortnow,The Status of the P versus NP Problem,Lance Fortnow,2009,,"Author-hosted survey, CACM 2009.",survey,Computational complexity,L03,14,8,https://lance.fortnow.com/papers/files/pnp-cacm.pdf,https://lance.fortnow.com/papers/files/pnp-cacm.pdf,pdf/pnp_fortnow.pdf,notes/pnp_fortnow.md,7268ee2dbd9e90fc1088ca142c7f1dc5693b4702ea6b5809ca517f19e8efb992,all_explicit_unresolved_statements_in_downloaded_work
nonabelian_crypto,Aspects of Nonabelian Group Based Cryptography: A Survey and Open Problems,Benjamin Fine; Maggie Habeeb; Delaram Kahrobaei; Gerhard Rosenberger,2011,,"ArXiv v2, 22 March 2011.",survey,Cryptography,L06,13,31,https://arxiv.org/abs/1103.4093,https://arxiv.org/pdf/1103.4093,pdf/nonabelian_crypto.pdf,notes/nonabelian_crypto.md,b5c6aa8478fa5dff75a24ddac8cad77fa79499e004f7fc97fedc628a93ee4b5c,all_explicit_unresolved_statements_in_downloaded_work
sync_automata,Synchronizing Automata: Open Problems,Marek Szykuła,2026,,"ArXiv v1, 25 August 2026; EPTCS 451.",survey,Automata and formal languages,L08,14,15,https://arxiv.org/abs/2608.24245,https://arxiv.org/pdf/2608.24245,pdf/sync_automata.pdf,notes/sync_automata.md,62fcce9693c7e44f209f65c95939c48a08d5cf035627ffe67f56b7da59889208,all_explicit_unresolved_statements_in_downloaded_work
regular_model_checking,A Survey of Regular Model Checking,Parosh Aziz Abdulla; Bengt Jonsson; Marcus Nilsson; Mayank Saksena,2004,,"University-hosted survey chapter, CONCUR 2004.",survey,Logic and verification,L09,0,14,https://homes.cs.aau.dk/~srba/courses/FS-07/rmc_survey.pdf,https://homes.cs.aau.dk/~srba/courses/FS-07/rmc_survey.pdf,pdf/regular_model_checking.pdf,notes/regular_model_checking.md,07e985aa5b0fb96cfbe704dfe149df3ca298b4bfa4da2b35f362d0ad05a78692,all_explicit_unresolved_statements_in_downloaded_work
numerical_sketching,Sketching as a Tool for Numerical Linear Algebra,David P. Woodruff,2015,2014,"ArXiv v2, 11 February 2015; Foundations and Trends publication 2014.",survey,Optimization and numerics,L10,5,139,https://arxiv.org/abs/1411.4357,https://arxiv.org/pdf/1411.4357,pdf/numerical_sketching.pdf,notes/numerical_sketching.md,eeedd3668a59ef6eee51967184bca22a3c8cbb86d5b6367d68b910aae1138071,all_explicit_unresolved_statements_in_downloaded_work
edge_modification,A Survey of Parameterized Algorithms and the Complexity of Edge Modification,Christophe Crespelle; Pål Grønås Drange; Fedor V. Fomin; Petr A. Golovach,2020,,"ArXiv v2, 18 February 2020; PDF dated 19 February 2020.",survey,Parameterized algorithms,S02,67,49,https://arxiv.org/abs/2001.06867,https://arxiv.org/pdf/2001.06867,pdf/edge_modification.pdf,notes/edge_modification.md,2c0786cb72bb28b2d9210885994111696f43253b7a46066842fd30d22efce3e5,all_explicit_unresolved_statements_in_downloaded_work
dynamic_graphs,Recent Advances in Fully Dynamic Graph Algorithms,Kathrin Hanauer; Monika Henzinger; Christian Schulz,2022,,"Invited survey, SAND 2022.",survey,Dynamic graph algorithms,S12,4,47,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.SAND.2022.1,https://eprints.cs.univie.ac.at/7316/1/Recent_Advances.pdf,pdf/dynamic_graphs.pdf,notes/dynamic_graphs.md,c3f543e6bcbe64eac731ffdb64c37b8fda021149644652f549afb5a7fa4e92dc,all_explicit_unresolved_statements_in_downloaded_work
enumeration_strozecki,"Enumeration Complexity: Incremental Time, Delay and Space",Yann Strozecki,2021,,Habilitation defended 23 November 2021; arXiv v1 deposited 29 September 2023.,monograph,Counting and enumeration,S13,32,96,https://arxiv.org/abs/2309.17042,https://arxiv.org/pdf/2309.17042,pdf/enumeration_strozecki.pdf,notes/enumeration_strozecki.md,9a902df6ff9c024cc38492b886d5a4cc8e390394778435452e8ac4b9be6642ca,all_explicit_unresolved_statements_in_downloaded_work
infinite_csp,Constraint Satisfaction Problems with Infinite Templates,Manuel Bodirsky,2008,,Author-hosted survey chapter.,survey,Constraint satisfaction,S17,11,29,https://www.lix.polytechnique.fr/~bodirsky/publications/csp-survey.pdf,https://www.lix.polytechnique.fr/~bodirsky/publications/csp-survey.pdf,pdf/infinite_csp.pdf,notes/infinite_csp.md,c29f7f5d4f025f4bdd15095e87243ab13b81cb9e52c434a37040537bad3f0464,all_explicit_unresolved_statements_in_downloaded_work
unification,Unification Theory,Franz Baader; Wayne Snyder,2001,,Author-hosted Handbook of Automated Reasoning chapter; draft pagination.,survey,Automated reasoning and unification,S19,3,88,https://www.cs.bu.edu/fac/snyder/pubs.html,https://www.cs.bu.edu/fac/snyder/publications/UnifChapter.pdf,pdf/unification.pdf,notes/unification.md,8faac8ec12a5841ccb08c125773e38c0a1b2eb9ced305d35a8a0fecb42bf219e,all_explicit_unresolved_statements_in_downloaded_work
query_enumeration,Constant Delay Enumeration for Conjunctive Queries,Luc Segoufin,2015,,"SIGMOD Record 44(1), survey.",survey,Database theory,S20,2,8,https://databasetheory.org/sites/default/files/2016-06/segoufin.pdf,https://databasetheory.org/sites/default/files/2016-06/segoufin.pdf,pdf/query_enumeration.pdf,notes/query_enumeration.md,a6eb1be9a0fa831c0a226e289d85deb889f0ef8d28c75533a4994ddde6c3a935,all_explicit_unresolved_statements_in_downloaded_work
algorithmic_randomness,Key Developments in Algorithmic Randomness,Johanna N. Y. Franklin; Christopher P. Porter,2020,,Introductory historical survey; arXiv version.,survey,Computability and algorithmic information,S21,1,43,https://arxiv.org/abs/2004.02851,https://arxiv.org/pdf/2004.02851,pdf/algorithmic_randomness.pdf,notes/algorithmic_randomness.md,bd0c347145df826217c987442e9964197fb88ff53b89e1dfc3ba3850269d6a51,all_explicit_unresolved_statements_in_downloaded_work
knowledge_compilation,A Knowledge Compilation Map,Adnan Darwiche; Pierre Marquis,2002,,JAIR 17 (2002); deposited on arXiv in 2011. Comparative map and foundational survey with original results.,survey,Knowledge representation and reasoning,S22,7,36,https://arxiv.org/abs/1106.1819,https://arxiv.org/pdf/1106.1819,pdf/knowledge_compilation.pdf,notes/knowledge_compilation.md,e521e1d0bd3e670b5b31cac5caa8111d9b154c88809f57c5af2a9a5c8b095a12,all_explicit_unresolved_statements_in_downloaded_work
rank_width,Rank-width: Algorithmic and Structural Results,Sang-il Oum,2016,,"ArXiv v2, 27 July 2016.",survey,Structural graph theory,S23,11,14,https://arxiv.org/abs/1601.03800,https://arxiv.org/pdf/1601.03800,pdf/rank_width.pdf,notes/rank_width.md,c08d60a472e92f133f247342cc93dff29615689099056613f009771b2afb8a72,all_explicit_unresolved_statements_in_downloaded_work
beyond_worst_case,Beyond Worst-Case Analysis,Tim Roughgarden,2018,,Author arXiv survey; CACM publication 2019.,survey,Beyond worst-case and average-case analysis,S24,6,14,https://arxiv.org/abs/1806.09817,https://arxiv.org/pdf/1806.09817,pdf/beyond_worst_case.pdf,notes/beyond_worst_case.md,a812c8e8af38b47ecca95428c46d3d5735598268b2eb8c8a838b07b2ca019592,all_explicit_unresolved_statements_in_downloaded_work
loop_termination,On Linear Recurrence Sequences and Loop Termination,Joël Ouaknine; James Worrell,2015,,"Author-hosted survey, 2015.",survey,Logic and verification,L09,7,9,https://people.mpi-sws.org/~joel/publications/lrs-survey15abs.html,https://people.mpi-sws.org/~joel/publications/lrs-survey15.pdf,pdf/loop_termination.pdf,notes/loop_termination.md,3bcab0cdf58db4aba7a5a7bfe56594edff2996d03ded4e03914656dd7bb635d9,all_explicit_unresolved_statements_in_downloaded_work
