id,source_id,source_title,source_locator,source_pages,title,question,kind,current_status,selection,catalogue_ids,verification_note,selection_note,verification_urls
personal-234:Survey Question 30,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 30,1494,Five-cycle double cover conjecture,"Can every bridgeless graph be covered exactly twice by at most five cycles, with cycle interpreted as in the source rather than necessarily a connected circuit?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 31,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 31,1494,Duality of algebraic matroids,Is the dual of every algebraic matroid also algebraic?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 32,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 32,1494; 1495,Independent spanning trees,"If a root has k internally vertex-disjoint paths to every other vertex, do k spanning trees simultaneously realize those internally disjoint root-to-vertex paths?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 33,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 33,1495,Computing maximum disjoint dijoins,Can a maximum-cardinality family of pairwise arc-disjoint directed-cut covers be computed in polynomial time?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 34,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 34,1495,Woodall dijoin-packing conjecture,Does the minimum cardinality of a directed cut equal the maximum number of pairwise arc-disjoint dijoins?,question,open_checked,added_reviewed_card,TCS-7226,The unweighted general conjecture remains open in the primary sources checked through 11 September 2026. The false weighted Edmonds–Giles conjecture is a different statement. The checked 2025 constant-factor packing theorem does not imply equality.,"A longstanding min–max conjecture in combinatorial optimization, singled out in Schrijver’s survey and the focus of recent approximation and integrality research. The direct packing/covering and algorithmic connections justify inclusion within optimization.",https://homepages.cwi.nl/~lex/co/; https://doi.org/10.1007/s00493-025-00159-x
personal-234:Survey Question 35,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 35,1495,Four-thirds subtour integrality gap,Is a minimum Hamiltonian tour at most four-thirds of the subtour-elimination linear-programming optimum under the nonnegative edge costs in the source?,question,source_formulation_corrected,existing_record,TCS-6589,Schrijver’s official errata explicitly adds the triangle inequality. The uncorrected source passage must not become a new nonmetric conjecture. The corrected metric target already has TCS-6589.,,https://homepages.cwi.nl/~lex/co/
personal-234:Survey Question 36,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 36,1495,Diameter of the TSP polytope,Is the edge diameter of the symmetric travelling-salesman polytope of every complete graph at most two?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 37,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 37,1495,Augmenting acyclic digraph connectivity,"For simple acyclic digraphs, is the minimum number of arcs needed for k-vertex-connectivity the larger of the total indegree and outdegree deficits specified by Frank?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 38,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 38,1495,Hadwiger conjecture,Must every graph of chromatic number at least k contain a complete graph on k vertices as a minor?,question,source_open_unchecked,existing_record,TCS-6651,,Same target is already represented; retain its existing identifier.,
personal-234:Survey Question 39,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 39,1495; 1496,Stable sets at bounded cutting-plane rank,"For each fixed t, is maximum stable set polynomial-time solvable when its polytope arises from the clique relaxation in at most t cutting-plane rounds?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 40,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 40,1496,Cutting-plane proof length for stable sets,Is there no polynomial bound on the number of cutting-plane additions needed to derive the maximum-stable-set inequality from the edge relaxation?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 41,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 41,1496,Chi-boundedness without odd holes,Is the chromatic number of every odd-hole-free graph bounded by a function of its clique number?,question,resolved_positive,not_imported_resolved,,Scott–Seymour prove chi-boundedness of graphs with no odd hole.,,https://arxiv.org/abs/1410.4118
personal-234:Survey Question 42,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 42,1496,Recognizing perfect graphs,Can perfect graphs be recognized in polynomial time?,question,resolved_positive,not_imported_resolved,,Polynomial recognition was obtained by Chudnovsky and coauthors. Schrijver’s errata explicitly marks Question 42 answered.,,https://homepages.cwi.nl/~lex/co/; https://algorithms.leeds.ac.uk/wp-content/uploads/sites/117/2017/09/FOCS03final.pdf
personal-234:Survey Question 43,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 43,1496,Berge alpha-diperfect digraph characterization,Are alpha-diperfect digraphs exactly those avoiding the explicitly oriented induced odd circuits specified in source conjecture (20)?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 44,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 44,1496,Shannon capacity of odd cycles,Does the Shannon capacity of every odd cycle equal its Lovász theta number?,question,source_open_unchecked,existing_record,TCS-6610,,The existing C7 question is a prominent unsolved member of the source family. No additional generalization is imported without a separate significance review.,
personal-234:Survey Question 45,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 45,1496,Computing Haemers bound,Can Haemers bound on the Shannon capacity of a graph be computed in polynomial time? The underlying field convention must be taken from the source.,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 46,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 46,1496,Strong t-perfection,"Is the stable-set description by nonnegativity, edges and odd-circuit inequalities totally dual integral whenever it is integral?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 47,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 47,1496,Minimal obstructions to t-perfection,Which graphs are minimally non-t-perfect under induced-subgraph deletion and the allowed neighbourhood contractions?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 48,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 48,1496,Connectivity forcing k-linkedness,Is 2k+2 the minimum vertex-connectivity that guarantees k-linkedness for every k at least two?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 49,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 49,1496,Edge-connectivity forcing paired paths,Is the edge-connectivity threshold guaranteeing k specified pairwise edge-disjoint paths k for odd k and k+1 for even k?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 50,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 50,1497,Directed planar arc-disjoint paths,"For every fixed k at least two, what is the complexity of k specified arc-disjoint paths in a planar digraph?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 51,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 51,1497,Half-integral multiflows for two triangles,"For two disjoint demand triangles with integral data and the Euler condition, does fractional multiflow feasibility imply half-integral feasibility?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 52,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 52,1497,Bounded fractionality with no three disjoint demands,Does every demand graph with no three disjoint edges admit a fixed denominator bounding feasible multiflow fractionality for every supply graph and integral capacities and demands?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 53,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 53,1497,Okamura half-integral routing conjecture,"If the supply graph is l-edge-connected and every cut of the demand graph has at most l edges, is there a half-integral routing of the demands?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 54,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 54,1497,Mader matroids as gammoids,Is every Mader matroid a gammoid?,question,resolved_reported,not_imported_resolved,,The author’s errata records a positive resolution by G. Pap in February 2006; no independent proof check was performed.,,https://homepages.cwi.nl/~lex/co/
personal-234:Survey Question 55,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 55,1497,Representability of Mader matroids,Is every Mader matroid linearly representable?,question,resolved_reported,not_imported_resolved,,The author’s errata records a positive resolution by G. Pap in February 2006; no independent proof check was performed.,,https://homepages.cwi.nl/~lex/co/
personal-234:Survey Question 56,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 56,1497,Planar outer-face edge-disjoint paths,Is the undirected edge-disjoint paths problem polynomial-time solvable when all terminals lie on the outer face of a planar graph?,question,resolved_complexity,not_imported_resolved,,"Schrijver records NP-completeness proved by W. Schwaerzler, published in Combinatorica 29 (2009), 121–126. This settles the classification; it does not unconditionally prove absence of a polynomial algorithm.",,https://homepages.cwi.nl/~lex/co/
personal-234:Survey Question 57,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 57,1497,Planar multiflows on finitely many faces,Is integer multiflow polynomial-time solvable when supply and demand graphs are jointly planar and demands span a fixed number of supply faces?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 58,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 58,1497,Quarter-to-half-integral toroidal routing,"When the union of supply and demand graphs embeds in the torus, does quarter-integral edge-disjoint routing imply half-integral routing?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 59,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 59,1497,Packing cuts in planar bipartite graphs,Can disjoint cuts realize all required distances among outer-face vertices and a fixed boundary root in the manner stated in source Question 59?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 60,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 60,1497,Cut Hilbert bases under minors,Is the class of graphs whose cut incidence vectors form a Hilbert base closed under taking minors?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 61,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 61,1497; 1498,Weighted fractional hypergraph matching bound,Does every nonnegative edge-weighted hypergraph have a matching whose sum of (edge size minus one plus reciprocal edge size) times edge weight is at least the fractional matching optimum?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 62,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 62,1498,Ideal binary hypergraph characterization,"Is a binary hypergraph ideal exactly when it excludes the three minors O(K5), its blocker, and F7 specified by Seymour?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 63,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 63,1498,Minor witnesses for weighted blocking inequalities,Can every violation of the weighted blocking inequality for a hypergraph without a Jn minor be witnessed by zero-one weights on a minor with the source covering-number bounds?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 64,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 64,1498,Minor attainment of a nonideal covering minimum,"For a nonideal hypergraph, is the minimum covering number among nonideal parallelizations and minors already attained by a minor?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 65,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 65,1498,Finitely many large minimally nonideal hypergraphs,Are there only finitely many minimally nonideal hypergraphs having both minimum edge size and covering number greater than two?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 66,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 66,1498,Uniform bound for minimally nonideal hypergraphs,Is one of minimum edge size and covering number bounded by an absolute constant in every minimally nonideal hypergraph?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 67,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 67,1498,Lehman structure for minimal k-packing obstructions,Must every minor-minimal hypergraph with the source strict k-fold covering inequality contain a Jn minor or satisfy the specified Lehman regularity conditions?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 68,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 68,1498,Conforti–Cornuéjols packing conjecture,"Does every clutter with the packing property have the max-flow min-cut property; equivalently, is every packing hypergraph Mengerian?",question,open_checked,added_reviewed_card,TCS-7227,No general resolution was found through 11 September 2026. The checked July 2026 manuscript explicitly retains the conjecture. Its reported finite computations and subclass results are recorded as progress; their proof artifacts were not independently rechecked in this editorial review.,"A central conjecture connecting minor obstructions, integral linear programming and packing–covering duality. Schrijver treats it as a major survey question, and a July 2026 primary paper develops both theoretical and computational methods around it.",https://homepages.cwi.nl/~lex/co/; https://arxiv.org/abs/2606.16543v2
personal-234:Survey Question 69,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 69,1498,Minimally nonideal implies minimally nonpacking,"If a minimally nonideal hypergraph has minimum edge size times covering number equal to ground-set size plus one, must it be minimally nonpacking?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 70,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 70,1499,Covering number of ideal minimal nonpackers,Does every ideal minimally nonpacking hypergraph have covering number two?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 71,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 71,1499,The binary ideal T30 obstruction,Is T30 the unique minor-minimal binary ideal hypergraph whose two-fold packing number is less than twice its covering number?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 72,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 72,1499,Dyadic packing of ideal hypergraphs,Does every ideal hypergraph attain its covering number by fractional packing with denominator a power of two; does denominator four always suffice?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 73,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 73,1499,GCD of exact fractional-packing denominators,"For every ideal hypergraph, is the greatest common divisor of exact packing denominators either one or two?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 74,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 74,1499,Binary hypergraph half-integral min-max characterization,"Are the three weighted packing, half-integral packing, and excluded-minor conditions in source Question 74 equivalent?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 75,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 75,1499,One-cycling and one-flowing binary matroids,"Are the one-cycling and one-flowing properties equivalent for binary matroids, with exactly the three excluded minors specified in source Question 75?",question,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.1,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.1,147,Distributed derandomization,Develop a general derandomization method for distributed message-passing algorithms.,research_direction,partially_resolved_direction,not_imported_direction,,"Rozhon–Ghaffari give polylogarithmic derandomization for locally checkable problems. This resolves the central polylogarithmic case, but the source’s unrestricted request for a general method is broader than a single theorem.",,https://arxiv.org/abs/1907.10937
personal-283:Open Problem 11.2,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.2,148,Polylogarithmic deterministic MIS,Can maximal independent set be computed deterministically in polylogarithmic LOCAL rounds?,question,resolved_positive,not_imported_resolved,,Rozhon–Ghaffari’s deterministic polylogarithmic LOCAL network decomposition resolves this polylogarithmic target. General MIS covers the neighbourhood-independence restriction; proper vertex colouring also applies to the line graph for the stated edge palette.,,https://arxiv.org/abs/1907.10937
personal-283:Open Problem 11.3,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.3,148,Polylogarithmic near-linear-palette colouring,Can a proper vertex colouring with Delta times polylog(Delta) colours be computed deterministically in polylogarithmic rounds?,question,resolved_positive,not_imported_resolved,,Rozhon–Ghaffari’s deterministic polylogarithmic LOCAL network decomposition resolves this polylogarithmic target. General MIS covers the neighbourhood-independence restriction; proper vertex colouring also applies to the line graph for the stated edge palette.,,https://arxiv.org/abs/1907.10937
personal-283:Open Problem 11.4,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.4,148,Polylogarithmic deterministic edge colouring,Can a proper (2Delta-1)-edge-colouring be computed deterministically in polylogarithmic rounds?,question,resolved_positive,not_imported_resolved,,Rozhon–Ghaffari’s deterministic polylogarithmic LOCAL network decomposition resolves this polylogarithmic target. General MIS covers the neighbourhood-independence restriction; proper vertex colouring also applies to the line graph for the stated edge palette.,,https://arxiv.org/abs/1907.10937
personal-283:Open Problem 11.5,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.5,149,MIS with bounded neighbourhood independence,Is deterministic polylogarithmic-round MIS possible when neighbourhood independence is at most two?,question,resolved_positive,not_imported_resolved,,Rozhon–Ghaffari’s deterministic polylogarithmic LOCAL network decomposition resolves this polylogarithmic target. General MIS covers the neighbourhood-independence restriction; proper vertex colouring also applies to the line graph for the stated edge palette.,,https://arxiv.org/abs/1907.10937
personal-283:Open Problem 11.6,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.6,149,Sublinear dependence on maximum degree,Can the listed symmetry-breaking problems be solved in o(Delta)+log-star(n) deterministic rounds?,question,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.7,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.7,149,Efficient defective colouring,Can a (Delta/p)-defective colouring using O(p) colours be computed efficiently in the distributed model?,research_direction,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.8,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.8,150,Large-arboricity deterministic symmetry breaking,Are deterministic polylogarithmic-round symmetry-breaking algorithms possible beyond polylogarithmic arboricity?,question,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.9,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.9,150,Sublogarithmic sparse-graph symmetry breaking,"Can deterministic sublogarithmic rounds handle MIS and colouring at arboricity Omega(sqrt(log n)), and matching and edge colouring at arboricity Omega(log n)?",question,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.10,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.10,150,Distributed decomposition below twice the arboricity,Can a graph of arboricity a be efficiently decomposed into fewer than 2a forests in the distributed model?,research_direction,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.11,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.11,150,Improving arboricity-dependent palettes,Can deterministic O(log n)-round colouring use substantially fewer than a squared colours for arboricity a?,research_direction,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.12,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.12,151,Randomized MIS in square-root-logarithmic time,"Is randomized O(sqrt(log n))-round MIS possible in all graphs, and what is its optimal randomized complexity?",question,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.13,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.13,151,Randomized MIS on low-arboricity graphs,Improve the source randomized MIS bounds for graphs of bounded arboricity.,research_direction,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.14,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.14,151,Randomized maximal matching in square-root-logarithmic time,Is randomized O(sqrt(log n))-round maximal matching possible in all graphs?,question,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.15,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.15,151,Randomized MIS complexity on unoriented trees,Is the randomized LOCAL complexity of MIS on unoriented trees Theta(sqrt(log n))?,question,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.16,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.16,152,Randomized Delta-plus-one colouring complexity,Determine the optimal randomized LOCAL round complexity of proper (Delta+1)-vertex-colouring.,question,source_open_unchecked,not_imported,,,,
personal-283:Open Problem 11.17,personal-283,Distributed Graph Coloring: Fundamentals and Recent Developments,Open Problem 11.17,152,Log-star randomized colouring at small degree,Can randomized O(log-star n)-round colouring with O(Delta) colours extend to sublogarithmic maximum degree?,question,source_open_unchecked,not_imported,,,,
