review_order	id	title	area	confidence	type	action	retain_id	scope_alignment_required	reason	sha256
11	TCS-1444	Improving the MRRW bound	Coding and information theory	high	method_specific	propose_removal		False	The saved target specifically asks for choices in a higher-order Delsarte framework that improve MRRW. Retain the general rate-distance bound questions; this proposal makes no new claim about their current best bounds.	eee2416bd8e998baf4fd7c9b561a1213dcfbae1ec648eb731a82799db269c354
12	TCS-1670	Strictness of the plane-walking alternation hierarchy	Automata and formal languages	high	model_variant	propose_removal		False	Strictness at every alternation level concerns plane-walking automata on two-dimensional subshifts, a specialized computation model. The saved motivation establishes an internal hierarchy rather than wider computational consequences.	54ffc4d6b0199201794c77c07260e24a5d8261dd01848fa4421fc1ea9c3b6713
13	TCS-1784	Deterministic local broadcast beyond the Δ log n lower bound	Distributed, parallel and sublinear algorithms	high	model_variant	propose_removal		False	Improving the Delta log n lower bound for deterministic beeping local broadcast is a model-specific collision-resolution gap. Broader broadcast and distributed communication barriers take priority.	c0939d21c5fa19cb819f1313020d86c93a73bc21f5a7ac3452df43246b5142a1
14	TCS-1823	Shallow decision trees for finding influential coordinates	Communication complexity and Boolean function analysis	high	method_specific	propose_removal		False	A shallow tree that locates influential coordinates under restrictions is a particular proposed route to the Aaronson–Ambainis conjecture. Retain that conjecture before a separate card for this search subproblem.	4179df214adef7e115ba966cf1697b8ea5ff8a99dd65fe0759981515cd5f1996
15	TCS-2010	Exponential permanent lower bounds from the τ-conjecture	Algebraic computation	high	method_specific	propose_removal		False	An exponential permanent lower bound conditional on a particular tau conjecture is a quantitative consequence of one conjectural route; retain the tau conjecture and the permanent lower-bound targets themselves.	e7bfe9f5972286f67681b2c2b5e8fc635bbd4c52fa4c4e53b6e398586eb01b7b
16	TCS-2356	Complexity of three-manifold treewidth	Computational geometry and metric spaces	high	consolidation	consolidate_then_remove	TCS-0331	False	The invariant minimizes dual-graph treewidth over all triangulations, the same general complexity target already covered by TCS-0331. Preserve the JSJ-decomposition reference there.	81ee1c58748c8445df4eebddf80e1c0af60131534187767d90190f80cb3139a1
17	TCS-2371	Growing Ramanujan graphs with bounded edge updates	Structural graph theory	high	construction_variant	propose_removal		False	Growing exact Ramanujan graphs with only constantly many edge changes adds bounded rewiring to an already demanding spectral target. The source achieves every positive slack; general explicit Ramanujan construction takes priority.	d8c377898383b064a7e656e293a7f0f40b6b38fbe9082d0f262f88b49b81c69f
18	TCS-2644	Deterministic NP-oracle range avoidance at near-linear stretch	Pseudorandomness and derandomization	high	model_variant	propose_removal		False	Deterministic NP-oracle avoidance at locality three and near-linear stretch adds several resource restrictions to the range-avoidance cluster. Prefer its general computational and explicit-construction barriers.	946819edb9d9eb90bc923e20d4f14881e57403640f0a4e30bb26e8e9d462a9e9
19	TCS-2824	Truth-table reconstruction of intuitionistic connectives	Semantics, logic and verification	high	method_specific	propose_removal		False	The syntactic sufficient condition for reconstructing intuitionistic connectives concerns one truth-table-to-proof-rule procedure. More general constructive semantics and proof-system barriers take priority.	f0981b2124ebc7c2175129d48ab9e63f8a53b9a9298c2507e8262ac35eeefb25
20	TCS-3007	Maximal rational rigidity despite a quadratic-field diagonal correction	Algebraic computation	high	construction_variant	propose_removal		False	The quadratic rational rigidity target is restricted to matrices admitting a particular quadratic-field diagonal correction. Its extreme field separation is interesting, but the construction-specific target is lower priority than general explicit rigidity.	ba0dc598670dc13940ae80fcdf935c20f4b12b377b70b5a46cedbc147f9fb827
21	TCS-3095	Complexity of unordered width-three CNF games	Computational complexity	high	model_variant	propose_removal		False	The exact width-three threshold for unordered CNF games is a clause-width classification inside a specialized strategic assignment model. Its saved reach is narrower than the general game-solving barriers.	0d5bb72b7b6a5f07d611841cd62661b3a1c41a923c8ec20086b988c27a7d2358
22	TCS-3317	Logspace-completeness of the Grigorchuk word problem	Algebraic computation	high	specialized_target	propose_removal		False	Locating the word problem of the single Grigorchuk group exactly at LOGSPACE is a fine classification within algorithmic group theory rather than a broad solvability barrier.	34d8b8121dc0741f467006ae09e745d88c2168e25d47e8999543fe45917afab0
23	TCS-3324	Tarski’s exponential function problem	Semantics, logic and verification	high	consolidation	consolidate_then_remove	TCS-7230	False	Decidability of the real exponential field is stated explicitly in TCS-7230. Preserve the weighted-automaton application reference there and remove the redundant occurrence.	c798f61d53ae7b372c5ef9ecf81c3c24a7ec26a49ca0f17f31c22068d1739f46
24	TCS-3332	Finite approximations for accessible completely iterative algebras	Semantics, logic and verification	high	model_variant	propose_removal		False	Extending a finite-approximation theorem from finitary to accessible set functors concerns a specialized categorical semantics framework. Its saved rationale gives limited independent computational consequences.	f1a06d62fe17b12dd35d140ba267c3dcc88df6683aaed48590ed478ff2ce588e
25	TCS-3484	Word-equation satisfiability in NP	Automated reasoning and unification	high	consolidation	consolidate_then_remove	TCS-0163	False	This repeats the NP-membership frontier of ordinary word-equation satisfiability represented by TCS-0163. Consolidation must retain the plain-equation convention and must not add regular constraints or inversion.	c04fdbc68f9d02e0d2f64e903771ce08edbd6096cc5ad871ef55e7c5aa405b8f
26	TCS-3617	Small deterministic parsimonious universal families	Pseudorandomness and derandomization	high	construction_variant	propose_removal		False	Reducing the leading size base of parsimonious universal families focuses on balanced set pairs and controlled multiplicities for one approximate-counting construction. Broader explicit randomness tools take priority.	11874f919039035921822b6ebe1356b17c7bac324fc0a9f9c9d9191d21b5f0de
27	TCS-3731	Inseparable degree in algebraic-independence testing	Algebraic computation	high	method_specific	propose_removal		False	The question asks how essential inseparable degree is to an algebraic-independence testing method. Its saved significance remains a dependency of that algorithmic framework rather than an independent major target.	1fc0edf3591fa76d0510933d00e46f3ddc41ba814bd295db2b17065ba1fcaffe
28	TCS-3745	Approximation of parameterized Set Cover in n^(k−ε) time	Parameterized and exact algorithms	high	quantitative_refinement	propose_removal		False	Approximation at an n^(k−epsilon) Set Cover budget focuses on an almost-exhaustive parameterized running-time slice. Retain the main Set Cover approximability and parameterized-hardness questions.	7a66df3d554c14d0b9af0c5b55b55d7fab6108d7406ad8fd7b1feefa3143ef97
29	TCS-3788	Randomized partitioning data structures	Data structures	high	method_specific	propose_removal		False	Randomized acceleration of partitioning is an internal route to faster approximate ordered-set operations. Retain the principal data-structure performance targets rather than this specific implementation primitive.	3792e885a3f1e7bbe9b19749f7cbc411ada5b11ab5c1f54b9fdc27e68da0d5d3
30	TCS-3866	Polynomial slide distances between graphs of groups	Algebraic computation	high	method_specific	propose_removal		False	Polynomial slide distance concerns certificates obtained through one transformation system for graphs of groups. Prefer the underlying isomorphism problems over a separate bound for this particular witness mechanism.	f4572993f44d95fcbcde32406c369ceb7958934881dd45e6659526c8041ab55e
31	TCS-3867	Polynomial-time black-box cost-sharing reductions	Algorithmic game theory, mechanism design and fair division	high	method_specific	propose_removal		False	Polynomial running time for the source's separable cost-sharing black-box reduction evaluates one transformation procedure rather than the intrinsic possibility of efficient truthful mechanisms.	695aeadafc856429577183382edddedcd1133b3596ce8cda701362157635eef4
32	TCS-3878	Logarithmic randomized competitiveness of convex matching with delays	Online algorithms	high	model_variant	propose_removal		False	Logarithmic randomized competitiveness for matching with convex delays on a uniform metric combines a specific impatience model with a restricted geometry. Broader matching-with-delay and online metric barriers take priority.	0bd64187f81f283c17018b19ef0fecec3ab5bf2728e708fa4d77e25977be291c
33	TCS-3904	Propositional resizing in cubical assemblies	Semantics, logic and verification	high	model_variant	propose_removal		False	Propositional resizing specifically in predicative universes of cubical assemblies is a consistency property of one semantic construction. General computational univalence and type-theory foundations remain represented.	ad995504ba591dabae14dd579a5a5570a74ff845361cf446fba6fd4c5614ebf9
34	TCS-3928	Greedy versus bit-optimal LZ77 over arbitrary alphabets	String algorithms and bioinformatics	high	quantitative_refinement	propose_removal		False	The joint n,z,alphabet-size gap between greedy and bit-optimal LZ77 refines a particular encoding comparison. General compression approximation and information limits have broader coverage.	add9cf4da28a6f4ab236014292a0bd4104805f10f39d10ba0cf2c9bc1b574296
35	TCS-3961	Hardness of orthogonal-matrix permanents modulo primes	Counting and enumeration	high	model_variant	propose_removal		False	Permanent hardness simultaneously restricted to orthogonal matrices and prime modular arithmetic adds a specialized algebraic input regime. General counting and permanent barriers are stronger representatives.	d19dfde710859e0f970557617772af44afc400932c17c3c75085b5a21539e815
36	TCS-4003	Prover complexity of public-coin pseudodeterministic proofs	Pseudorandomness and derandomization	high	model_variant	propose_removal		False	Prover complexity for the public-coin version of pseudodeterministic proofs adds a protocol-convention question to a particular canonical-output framework.	e2dbee021470d302a22f72d1fb45e8e231d982247c97fb657d6a10ab0dcba881
37	TCS-4009	Decidability of balance in integer circuits	Computability and algorithmic information	high	model_variant	propose_removal		False	Undecidability of balance for selected integer-circuit operation sets classifies a specialized set-arithmetic model. Broader arithmetic and recurrence decision problems are stronger representatives.	9bc74d238821baa653971b210c85f4dff29fcffaf918e64801a1acd0427bd304
38	TCS-4031	Quasipolynomial AC⁰ self-learning	Learning theory	high	model_variant	propose_removal		False	Quasipolynomial self-learning by AC0 circuits constrains both targets and learners to the same shallow model. General efficient learnability of circuit classes has broader marginal coverage.	83aec30c0e7d209df3cde6ddad26155ca8a2d0ed7ab8e1254599fd749d23934d
39	TCS-4076	Simulating monotone real circuits with MLP gates	Computational complexity	high	model_variant	propose_removal		False	Polynomial simulation of monotone real circuits by MLP gates compares two specialized gate semantics. The saved motivation gives less independent reach than the principal monotone and unrestricted circuit targets.	22a7c7ad97023d81812ce0c5bc17f2e128abb4bfa0d6af804c6012153b85fbfe
40	TCS-4078	Finite memory for infinite-horizon optimal paths	Semantics, logic and verification	high	model_variant	propose_removal		False	Finite memory for a robot collecting expiring stochastic rewards concerns a particular reward-generation and routing model. General policy-memory and stochastic-control barriers have broader coverage.	86bfbf9655b6f564a126d7ba710e6d4b64d38d26434756380d1f2fcca5db4c0a
41	TCS-4084	Unbounded-round hardness of INBA in M2	Communication complexity and Boolean function analysis	high	method_specific	propose_removal		False	Unbounded-round hardness of the source-defined INBA problem in M2 is an intermediate lower-bound target for a direct-sum programme. Prefer the general direct-sum questions over another framework-specific witness problem.	94b817b64199ca56e7962980e559a90335de9461bb767f39a41da63a59f8142f
42	TCS-4138	Properness of coalgebraic functors on convex sets	Semantics, logic and verification	high	model_variant	propose_removal		False	Properness of specific coalgebraic functors on convex sets tests a technical condition for one rational-fixed-point framework. General behavioral equivalence and probabilistic verification barriers take priority.	e7f4e4e4365e8afdecf8acbc30e94808464b70e134ef1bdec29e4946e3e398ec
43	TCS-4151	Rational versus real strategies in flow games	Algorithmic game theory, mechanism design and fair division	high	model_variant	propose_removal		False	Rational sufficiency for strategies in the source's flow game adds a numerical-representation distinction inside one specialized game model, without a demonstrated wider computational consequence.	ea6789c5b361c89fa94157af3ec3e4091d69d2f967949178056fa4f9af8d4c25
44	TCS-4187	Polynomial-calculus lower bounds for roots-of-unity 3-coloring	Proof complexity	high	construction_variant	propose_removal		False	Polynomial-calculus lower bounds for graph coloring specifically in the roots-of-unity encoding are an encoding-sensitive version of algebraic proof hardness. Prefer broader proof-system lower bounds.	c90f7e96357ee08db5373fac2db0601925ce8631b195c33c91a48fca9d43d1a6
45	TCS-4205	Invariant versus unrestricted bounded-depth formulas	Computational complexity	high	model_variant	propose_removal		False	Imposing syntactic subspace invariance at fixed formula depth creates an additional symmetry restriction. Its maximal overhead is lower priority than the underlying unrestricted formula lower-bound questions.	4f2e174a9d4d3ece2b856a612f00c32b7ad81293383cf06cb5ac747f559b5da4
46	TCS-4208	Truly subquadratic LCWIS over fixed alphabets	String algorithms and bioinformatics	high	model_variant	propose_removal		False	Truly subquadratic longest common weakly increasing subsequence for each fixed alphabet adds both monotonicity and alphabet restrictions to sequence comparison. Core edit and subsequence barriers take priority.	d33bb68b529a2609a97270411cba068377e00acf8e09f1c5c2e0f20723766844
47	TCS-4210	Packet traversal time in compact routing	Distributed, parallel and sublinear algorithms	high	method_specific	propose_removal		False	The selected question adds packet-processing time to the source's compact geometric routing framework. It concerns making one representation operationally efficient rather than a separately selected general routing barrier.	7c6f077bfae4de255ed900a2eb0a11bd72c0651225fa6243a78989f07b8453c2
48	TCS-4251	Decidability for nilpotent group pseudovarieties	Automata and formal languages	high	model_variant	propose_removal		False	Deciding transducer continuity specifically for nilpotent-group language varieties isolates one algebraic subclass of a specialized continuity framework. The general language-definability barriers are stronger representatives.	24bbaa9d2a804d95cb688d866bd5547b9dd71a2eac1e83c172798ae028a85c81
49	TCS-4288	F₁ versus FO² succinctness over words	Automata and formal languages	high	model_variant	propose_removal		False	The succinctness comparison between F1 and FO2 over words is a restricted syntactic representation question after their expressive powers coincide. Its saved motivation does not show broader consequences beyond that comparison.	b2e792273d0479a0b980f55324ee6498302670b9ebb338685a88fc6af48a6381
50	TCS-4318	Explicit quadratic dispersers at near-full entropy	Pseudorandomness and derandomization	high	construction_variant	propose_removal		False	The requested quadratic F2 disperser at r=n−o(n) is a particular construction ingredient for a circuit/#SAT framework. General extraction and circuit lower-bound targets are stronger representatives.	20abc18c41a4e8d30fac339c47aa050c10ce70fb608ec948694411f122c5e7eb
51	TCS-4330	Density bounds in Karchmer–Raz–Wigderson communication arguments	Communication complexity and Boolean function analysis	high	method_specific	propose_removal		False	The density conjecture for X inside X0 concerns a technical step in a particular approach to KRW composition. The main composition conjecture is the stronger representative for the reduced catalogue.	168edf19bf12920591c4a5d926e4cc8bd183cc35943e309221e2fedb50413473
52	TCS-4412	Gate-elimination lower bounds for linear maps	Computational complexity	high	method_specific	propose_removal		False	The target asks what gate elimination can prove for linear maps. Retain explicit linear-map circuit lower bounds themselves before this separate limitation-or-success question for one proof method.	f841ce6f3b4a8d0d8af344e502763574fe5daa172516aa35a5824b98ee3c825e
53	TCS-4503	Decidability of Wadge comparisons for tree automata	Automata and formal languages	high	construction_variant	propose_removal		False	Effective Wadge comparisons against the source's ordinal-indexed family of unambiguous tree automata concern one constructed hierarchy. Prefer the broader decidability and definability questions for tree languages.	8fc19aaa143b1b1fdf3ce0c68e2f62f713a8d421949bc33f7c769c91e19525e7
54	TCS-4519	Axiom strength of inductive inference	Computability and algorithmic information	high	method_specific	propose_removal		False	Removing an extra axiom requirement from the source's inductive-inference arguments concerns the strength of a particular proof. General learning and computability principles take priority over this follow-up.	231189241c57906766d2c318074a318af2ba1d93fe348774514125e0e9c008ec
55	TCS-4564	Univalent presheaf models of cubical type theory	Semantics, logic and verification	high	construction_variant	propose_removal		False	A univalent presheaf model for the proposed interval-free cubical type theory is a foundation for one alternative formalism. General computational type-theory and univalence questions take priority.	81392718d6ac3af08c2765f2abd37ac58d9ca67484b2d4ba00a780ee3b8379a4
56	TCS-4577	Skolem problem	Semantics, logic and verification	high	consolidation	consolidate_then_remove	TCS-5773	False	This is another occurrence of the unrestricted Skolem decision problem already specified in TCS-5773. Preserve the nonterminating-process information-leakage reference there.	84d7f1c0fe2cb2d0f338c41f79937678ef19094701f13f02b6289a192a6b85ea
57	TCS-4582	Complexity of robust appointment scheduling	Online algorithms	high	specialized_target	propose_removal		False	Joint robust appointment timing and ordering is a specialized scheduling model whose saved motivation has limited wider theoretical consequences compared with the principal scheduling objectives.	2637835be058620cb171b3efb6574670d7cb9b26815b224af433e0e92dd441eb
58	TCS-4599	Blanket time of local-search load balancing	Randomized algorithms and sampling	high	model_variant	propose_removal		False	Blanket time for local-search balls-into-bins on vertex-transitive graphs combines one allocation dynamics, one graph symmetry and one load-uniformity criterion. Broader random-walk and load-balancing barriers take priority.	cd6e88fbf7961788d8fd83c35e36a880ce36674a395bd82bd5f62a16ddb16dee
59	TCS-4666	Smoothed Pareto lower bounds for arbitrary feasible sets	Beyond worst-case and average-case analysis	high	method_specific	propose_removal		False	Extending the paper's Pareto lower bounds to every sufficiently large feasible set generalizes one construction-based result. Its saved significance remains a follow-up to that bound rather than a broad computational barrier.	a9ebb821c114cca54e304891d079b7da8f6c97b9120235dfb229990c937c94fa
60	TCS-4696	Succinct quantum arguments from Quantum Merkle trees	Quantum computation	high	method_specific	propose_removal		False	Succinct noninteractive local-Hamiltonian arguments specifically through Quantum Merkle trees ask for one construction route. Retain the broader succinct quantum-verification targets.	baf0b699ea6248bc2580fd435172e490d77e0891fc815354efe83fafbfeb7d90
61	TCS-4972	Learning decision trees from uniform examples	Learning theory	high	consolidation	consolidate_then_remove	TCS-7294	False	Learning polynomial-size decision trees from uniform random labeled examples is already stated explicitly in TCS-7294. Preserve the backdoor-defense reference and the distinction from membership-query learning there.	612b7e3196cc84904afb8dbfd171353f3aa1e9ac84d6eb6c45159271ce186220
62	TCS-5034	Computability of graph Shannon capacity	Coding and information theory	high	consolidation	consolidate_then_remove	TCS-7215	False	This is the same computability question for graph Shannon capacity stated precisely in TCS-7215. Transfer the additional reference to that card and remove the redundant occurrence.	fd6138e42ef0c12337cdd446248887afa762e20514d522b26d5b6022034c3049
63	TCS-5118	Optimality of Majority-of-Three learning	Learning theory	high	method_specific	propose_removal		False	Optimality of Majority-of-Three for every confidence level is about one simple ERM-combination procedure after optimal general learning rates are available. Its simplicity is appealing, but the algorithm-analysis follow-up has lower priority.	433183f5d8dbd895e137c20ff40db72338ce15c576199f8a0d4db11889c340d6
64	TCS-5170	Using output labels in dihedral hidden subgroup algorithms	Quantum computation	high	method_specific	propose_removal		False	Using otherwise unstructured output labels in dihedral hidden-subgroup algorithms tests whether a particular discarded data source helps. Retain the hidden-subgroup algorithmic target itself.	64eaca72c08123b1af9fffa86362de1470eb44e8f2cf42ba648875cb831e3e75
65	TCS-5182	Square-root competitive ratio for online metric tours	Online algorithms	high	model_variant	propose_removal		False	Online metric tours defined by irreversible placement into a fixed-size array impose a particular packing-and-ordering convention. The general online routing and matching barriers provide broader coverage.	34e8697dbe3884d04d1969140cdf39d74334c4291afc99a2c9b0e44e2562fb7a
66	TCS-5236	Noninteractive private parity learning in the multiserver model	Differential privacy	high	model_variant	propose_removal		False	Parity learning simultaneously constrained to noninteraction, multiple servers and computational differential privacy is a narrow escape case for one protocol framework. General private-learning and privacy-model separations provide broader coverage.	f3d6cc3935cb6521a2e8ea393e7691a38982b045194b133e349b32a13d1c0f77
67	TCS-5246	Graph isomorphism in polynomial time	Computational complexity	high	consolidation	consolidate_then_remove	TCS-7222	False	The selected passage asks ordinary graph isomorphism in polynomial time, already represented by TCS-7222. Preserve its refinement-hierarchy reference in that card.	bf6ece29e5e1b8d1cb4b5987a4f55bb04250b4cd8d943f3cef3a153c0e7e3802
68	TCS-5312	NP-hardness of Minimum Circuit Size	Computational complexity	high	consolidation	consolidate_then_remove	TCS-4786	False	The NP-hardness question for ordinary truth-table MCSP is already part of TCS-4786. Preserve this paper's total-versus-partial circuit-extension context in the retained card.	175d5241a5f67df75aa2b7ad55681cd6ff0275a96d6e3066ca0973eae15f5589
69	TCS-5314	Word-equation satisfiability in NP	Automated reasoning and unification	high	consolidation	consolidate_then_remove	TCS-0163	False	This is another statement of ordinary word-equation satisfiability in NP. Preserve the explicit NP frontier and this source under the general complexity card TCS-0163.	60225b15a70951de50f1843097306c9a6bed7aa980ac7b528d72810a253cf5fd
70	TCS-5329	Superlinear bivariate noncommutative circuit lower bounds	Algebraic computation	high	model_variant	propose_removal		False	The target simultaneously fixes two noncommuting variables and homogeneous circuits, seeking a superlinear degree bound. Retain unrestricted noncommutative lower bounds before this narrower model threshold.	c3cfd50cd95589d8e65b41409492473d9f82d25975282d61c900bc1e503a89b1
71	TCS-5453	Subexponential UP from average-case NP tractability	Beyond worst-case and average-case analysis	high	consolidation	consolidate_then_remove	TCS-2680	False	This source pointer and TCS-2680 refer to the same paper and page containing the heuristic-average-case implication for UP. Retain the explicit conjecture in TCS-2680 and combine the references.	ebfaa64ee12bc99d264ae41c38e0124f6bc62c4973b1c1fec41682385cd37c22
72	TCS-5501	NP-hardness of Minimum Circuit Size	Computational complexity	high	consolidation	consolidate_then_remove	TCS-4786	False	This repeats the NP-hardness frontier for ordinary MCSP represented by TCS-4786. Transfer the sums-of-squares reference without confusing restricted-method lower bounds with NP-hardness.	b4a17d88c946e010132c41adc1297b71fb090f24d696fa251082738ad014f7ef
73	TCS-5617	Complete problems for modular total-search classes	Computational complexity	high	bundled_direction	propose_removal		False	The selected passage proposes PPAq-completeness for several unspecified additional natural problems. It is a programme of classifications rather than one chosen major total-search target.	677c9fc28e92276d2f9fe04a294f9b00480d8cc710a2f7678465a1f7d2556c5c
74	TCS-5711	Sparse polynomial approximation of OR-of-SUM functions	Communication complexity and Boolean function analysis	high	construction_variant	propose_removal		False	Sparse polynomial representations of the source's OR-of-SUM family are a particular algebraic simulation challenge. Retain broader circuit representation and lower-bound targets before this family-specific construction.	d0cd1291e5135559ed51e88ddbd633516eb0f84d796e665518e033ed524c7b6f
75	TCS-5737	Word problem for the S-combinator	Semantics, logic and verification	high	consolidation	consolidate_then_remove	TCS-0913	False	Weak convertibility for closed S-only combinator terms is the word problem already covered by TCS-0913. Preserve the normalization and infinite-tree-semantics context from this source.	46b7a843e70bd8966120862a499c8157ad3d41f7bfe799724d4f278b05af1508
76	TCS-5770	Erdős girth conjecture	Structural graph theory	high	consolidation	consolidate_then_remove	TCS-2783	False	This is the introductory girth-conjecture occurrence from the same routing paper used by the precise TCS-2783. Consolidate there; do not collapse TCS-2783 with TCS-6500 without checking their different girth and graph-size quantifiers.	48e03d3a3c7ea9a81a33b7c3ce8075f9356a1f96a10ff0edfbe3fd2e8ad9dcbe
77	TCS-5845	Complexity of planar treewidth	Algorithms & data structures	high	consolidation	consolidate_then_remove	TCS-0771	False	The saved target is exact treewidth on planar graphs, also represented by TCS-0771. Consolidate this occurrence and preserve its potential-maximal-clique reference there.	f7c01dd2dcdef00602478a431951831955ba2dc17cffef0ad191dd9c0b95a3c5
78	TCS-5926	Complexity of planar treewidth	Algorithms & data structures	high	consolidation	consolidate_then_remove	TCS-0771	False	The saved target is exact treewidth on planar graphs, also represented by TCS-0771. Preserve this paper's cubic-graph hardness context in the retained card rather than keeping another occurrence of the planar question.	626ad57bfed57aad8d2ac005b8d1ebe1a8a28787267559e25a8e118a31aae067
79	TCS-6324	Time complexity of leaderless population protocols	Distributed, parallel and sublinear algorithms	high	model_variant	propose_removal		False	Optimal leaderless-protocol time for eventually natural-linear functions and eventually constant predicates classifies exceptional cases outside the source's main theorem. Its scope is narrower than the general stable-computation barriers.	8ec9ffd4c272749eea2a6f40d8f7a1c481de5690e921a9bf6064720b7ec91237
80	TCS-6497	Fast single-exponential constant-factor treewidth approximation	Parameterized and exact algorithms	high	quantitative_refinement	propose_removal		False	The source already achieves a single-exponential constant-factor treewidth approximation; its remaining question is a smaller exponential base. Do not retain a second card whose title can suggest the broader existence question is still open.	7456b47bc64fb43c51aa19a31da986b06e9fb4d6ad5ef2fc1ea8cb5a81d90aef
81	TCS-6755	Optimal leading constant for Boolean k-CSP approximation	Approximation algorithms and hardness of approximation	high	quantitative_refinement	propose_removal		False	The leading coefficient in the optimal Boolean k-CSP approximation scale refines an already established quantitative regime. Prefer qualitative approximability classifications and larger unresolved approximation gaps.	810f60e6e6031224b02736466054fb23fb7db29d957d5679c00bcf0a45f1d1a9
82	TCS-6961	Equilibrium efficiency in connection and cost-sharing games	Algorithmic game theory, mechanism design and fair division	high	bundled_direction	propose_removal		False	The saved target combines undirected connection and generalized cost-sharing games without choosing an equilibrium-efficiency measure. More importantly for selection, it is a cluster of model-specific bound questions rather than one major shared proposition.	a503ccf477ce4bfc5dadf51d535989b6fbe18bc5977d1f270a76f0a8e9356dd9
83	TCS-7132	Prime implicates versus explicit model enumeration	Computational complexity	high	model_variant	propose_removal		False	Prime-implicate size relative to explicit model enumeration compares two exhaustive descriptions. Its saved significance is narrower than the principal succinct-circuit representation barriers.	7af49bd23d350ad1ce94d63b5b1d9f35f48f9605a2034da7cb826f8b404af07d
84	TCS-7135	Polynomial-time negation of deterministic DNNF	Automated reasoning and unification	high	consolidation	consolidate_then_remove	TCS-0306	False	Polynomial-time negation of deterministic DNNF is already represented by TCS-0306. Transfer the survey reference and its smooth-variant note; retain the separate nonconstructive polynomial-size question TCS-7260.	04fa84f4276b46091c1cb898c77fa673f531406701ce5317b3ca2410bb1c63fe
85	TCS-0028	Injective quantum oracles: standard versus erasing access	Quantum computation	medium	model_variant	propose_removal		False	Standard versus erasing access for injective quantum oracles isolates an interface convention. Its saved consequences are narrower than the principal quantum-query and computational-power separations.	3b63758b154a3b1f26ef76885b943ff399fe6366a55e14be1f6f6fc1927c8a30
