id	confidence	type	reason
TCS-0064	medium	model_variant	The saved problem isolates Condorcet outcomes for independent binary issues. Its source-specific preference structure has less demonstrated reach than the retained general distortion and implementability questions.
TCS-2744	medium	model_variant	Value existence for all-pay graph bidding concerns a specialized payment-and-control convention. General stochastic-game and equilibrium barriers are stronger representatives for this smaller pool.
TCS-3867	high	method_specific	Polynomial running time for the source's separable cost-sharing black-box reduction evaluates one transformation procedure rather than the intrinsic possibility of efficient truthful mechanisms.
TCS-4151	high	model_variant	Rational sufficiency for strategies in the source's flow game adds a numerical-representation distinction inside one specialized game model, without a demonstrated wider computational consequence.
TCS-4249	medium	model_variant	Existence for the paper's particular justified-representation variant adds another fairness axiom to the allocation and voting cluster; the saved motivation does not show why this variant deserves a separate benchmark place.
TCS-4515	medium	model_variant	The selected target weakens permitted deviations for a particular infinite-game class. Prefer broad equilibrium-existence and computation barriers over this additional stability convention.
TCS-5941	medium	specialized_target	The saved target bundles complexity classifications for forward-looking agents across dynamic persuasion and mechanism design. It supplies a specialist programme rather than one independently selected major barrier.
TCS-6961	high	bundled_direction	The saved target combines undirected connection and generalized cost-sharing games without choosing an equilibrium-efficiency measure. More importantly for selection, it is a cluster of model-specific bound questions rather than one major shared proposition.
TCS-7201	medium	quantitative_refinement	The exact ordinal MMS denominator adds a second quantitative relaxation of the same goods-allocation fairness programme. Prefer the principal MMS guarantee and EFX barriers in the reduced pool.
TCS-7202	medium	model_variant	Sharp query complexity after allowing disposal is an additional cake-cutting convention beside the retained complete exactly envy-free allocation target; its distinct resource-relaxation question is lower priority for this batch.
TCS-1292	medium	model_variant	Deterministic distance-query reconstruction for bounded-degree graphs is an extra algorithm-and-oracle restriction beside the broader reconstruction targets. Its saved motivation gives limited reason to allocate a separate place to removing randomness in this setting.
TCS-1934	medium	construction_variant	Polynomial aspect ratio under constant-stretch shortest-path preservation asks for a particular numerical normalization of graph representations. Prefer the principal shortest-path and metric-preservation barriers.
TCS-2247	medium	method_specific	Linear-size DAG compression is one proposed representation for exploiting bounded flip-width. The target is narrower than the underlying graph-class algorithmic questions, even though successful compression could support several algorithms.
TCS-4261	medium	quantitative_refinement	The requested super-n^(3/2) bound fixes additive error two and one failure. It is another precise point in the fault-tolerant spanner tradeoff, with less marginal coverage than the principal spanner questions.
TCS-5845	high	consolidation	The saved target is exact treewidth on planar graphs, also represented by TCS-0771. Consolidate this occurrence and preserve its potential-maximal-clique reference there.
TCS-5926	high	consolidation	The saved target is exact treewidth on planar graphs, also represented by TCS-0771. Preserve this paper's cubic-graph hardness context in the retained card rather than keeping another occurrence of the planar question.
TCS-6782	medium	quantitative_refinement	Maximum supported pair count for linear-size constant-additive spanners is a further parameter slice of the size-versus-distance tradeoff. The main all-pairs and spanner-versus-emulator barriers give broader coverage.
TCS-6755	high	quantitative_refinement	The leading coefficient in the optimal Boolean k-CSP approximation scale refines an already established quantitative regime. Prefer qualitative approximability classifications and larger unresolved approximation gaps.
TCS-0094	medium	model_variant	Uniform versus tuned probabilities for memoryless stochastic automaton resolvers isolates a probability-choice convention within one resolver model. The general existence and decidability of stochastic resolution are broader representatives.
TCS-0111	medium	quantitative_refinement	Hardness after decidability of rational weighted-automaton determinization is a finer classification of this representation conversion, with an additional ambiguity subclass. Prioritize the broader quantitative-language decision barriers.
TCS-0168	medium	model_variant	Recognizing serialized tree properties by a word automaton under a well-formedness promise is a specialized constant-memory definability question. Its saved reach is narrower than the main automata equivalence and decidability barriers.
TCS-1670	high	model_variant	Strictness at every alternation level concerns plane-walking automata on two-dimensional subshifts, a specialized computation model. The saved motivation establishes an internal hierarchy rather than wider computational consequences.
TCS-3594	medium	quantitative_refinement	Doubly exponential succinctness for stronger acceptance conditions adds another conversion gap inside alternating good-for-games automata. General recognition and resolution questions have broader marginal value.
TCS-3801	medium	quantitative_refinement	Improving the state lower bound for translating alternating parity automata to weaker acceptance conditions is an additional representation-cost target within the automata translation cluster.
TCS-4251	high	model_variant	Deciding transducer continuity specifically for nilpotent-group language varieties isolates one algebraic subclass of a specialized continuity framework. The general language-definability barriers are stronger representatives.
TCS-4288	high	model_variant	The succinctness comparison between F1 and FO2 over words is a restricted syntactic representation question after their expressive powers coincide. Its saved motivation does not show broader consequences beyond that comparison.
TCS-4491	medium	model_variant	Concatenation closure under the exact real-time budget of one-dimensional cellular automata adds a timing-and-dimension-specific closure question to broader automata and parallel-computation targets.
TCS-4503	high	construction_variant	Effective Wadge comparisons against the source's ordinal-indexed family of unambiguous tree automata concern one constructed hierarchy. Prefer the broader decidability and definability questions for tree languages.
TCS-5314	high	consolidation	This is another statement of ordinary word-equation satisfiability in NP. Preserve the explicit NP frontier and this source under the general complexity card TCS-0163.
TCS-3484	high	consolidation	This repeats the NP-membership frontier of ordinary word-equation satisfiability represented by TCS-0163. Consolidation must retain the plain-equation convention and must not add regular constraints or inversion.
TCS-7126	medium	quantitative_refinement	Tight complexity for two-sided distributive unification with constants adds a signature-specific refinement beside the more basic decidability questions for distributive unification.
TCS-7135	high	consolidation	Polynomial-time negation of deterministic DNNF is already represented by TCS-0306. Transfer the survey reference and its smooth-variant note; retain the separate nonconstructive polynomial-size question TCS-7260.
TCS-2126	medium	method_specific	Polynomial smoothed complexity evaluates value iteration under the source's perturbation model. Prefer the intrinsic game-solving barriers over an additional analysis target for this particular algorithm.
TCS-5453	high	consolidation	This source pointer and TCS-2680 refer to the same paper and page containing the heuristic-average-case implication for UP. Retain the explicit conjecture in TCS-2680 and combine the references.
TCS-3363	medium	model_variant	Testing whether a represented function admits an instance-optimal decision tree is a recognition problem internal to a particular optimality benchmark. It adds less coverage than the principal decision-tree and instance-optimal algorithm targets.
TCS-4666	high	method_specific	Extending the paper's Pareto lower bounds to every sufficiently large feasible set generalizes one construction-based result. Its saved significance remains a follow-up to that bound rather than a broad computational barrier.
TCS-5420	medium	method_specific	The selected task is a planted-clique reduction to one community-testing model. Prefer the principal average-case detection-versus-recovery barriers before adding this particular hardness-transfer route.
TCS-6287	medium	model_variant	Optimal local recovery for two communities with a positive revealed-label fraction adds a supervised-model restriction to the broader community-detection and local-versus-global inference questions.
TCS-0194	high	method_specific	Comparing the maximum-entropy method with the Copy lemma concerns the relative power of two proof frameworks. The entropy-cone and information-inequality validity targets themselves provide broader coverage.
TCS-1444	high	method_specific	The saved target specifically asks for choices in a higher-order Delsarte framework that improve MRRW. Retain the general rate-distance bound questions; this proposal makes no new claim about their current best bounds.
TCS-4572	medium	construction_variant	List decoding unrestricted Gabidulin codes, conditional on manageable list size, is a code-family-specific algorithmic target. General list-decoding and coding-rate barriers take priority in the smaller pool.
TCS-4823	medium	method_specific	A general query-reduction transformation for good LTCs is one route to better local testers. The principal existence and parameter limits for locally testable codes are stronger representatives.
TCS-5034	high	consolidation	This is the same computability question for graph Shannon capacity stated precisely in TCS-7215. Transfer the additional reference to that card and remove the redundant occurrence.
TCS-0309	medium	specialized_target	Recognizing evasiveness of a represented Boolean function is an extra meta-complexity task for one decision-tree property. Prefer the main evasiveness conjectures and general circuit-minimization barriers.
TCS-1050	medium	method_specific	The requested input families must resist partial monotone separation in both directions at a specified thinning scale. This is a strong technical ingredient for limited-negation lower bounds; the underlying circuit separations are broader targets.
TCS-1823	high	method_specific	A shallow tree that locates influential coordinates under restrictions is a particular proposed route to the Aaronson–Ambainis conjecture. Retain that conjecture before a separate card for this search subproblem.
TCS-3146	medium	model_variant	Exact bounded-coefficient linear queries to planted-clique instances impose a specialist access model with unrestricted computation. Prefer the primary planted-clique computational and statistical barriers over this additional query tradeoff.
TCS-3799	medium	quantitative_refinement	The large-error approximate-degree target fixes a linked depth, advantage and exponent regime for AC0. It contributes another quantitative slice beside the broader polynomial-approximation and circuit lower-bound questions.
TCS-3821	medium	quantitative_refinement	Replacing the PPADS communication separation by a SoML separation strengthens one relation inside the total-search class landscape. It is lower priority than the principal class-separation questions.
TCS-3871	medium	model_variant	Replacing shared randomness by private randomness in the source's algorithmic mutual-information protocol adds a resource-convention variant of one operational characterization.
TCS-4084	high	method_specific	Unbounded-round hardness of the source-defined INBA problem in M2 is an intermediate lower-bound target for a direct-sum programme. Prefer the general direct-sum questions over another framework-specific witness problem.
TCS-4330	high	method_specific	The density conjecture for X inside X0 concerns a technical step in a particular approach to KRW composition. The main composition conjecture is the stronger representative for the reduced catalogue.
TCS-4522	medium	model_variant	The maximum quantum–classical gap under the source's zero-information distribution restriction adds a specialized distributional convention to the general communication-separation targets.
TCS-4647	medium	model_variant	Approximate-degree lower bounds specifically for depth-two AC0 with parity add both depth and gate restrictions to the polynomial-method cluster. Broader circuit and approximation barriers take priority.
TCS-4710	medium	bundled_direction	The card asks for any separation among a chain of several certificate-game measures. This is a collection of possible model comparisons; the saved rationale does not select one major separation to represent independently.
TCS-4769	medium	model_variant	Linear versus polynomial query separations for uncertainty-extended functions are tied to an additional input-semantics model. Prefer the principal deterministic, randomized and quantum comparisons for ordinary total functions.
TCS-5108	medium	method_specific	Separating amplification costs for gap-majority and gap-OR composition probes two specific gadgets. The general randomized-composition barriers give broader coverage.
TCS-5711	high	construction_variant	Sparse polynomial representations of the source's OR-of-SUM family are a particular algebraic simulation challenge. Retain broader circuit representation and lower-bound targets before this family-specific construction.
TCS-6074	medium	quantitative_refinement	A larger USBP-versus-SBP communication separation sharpens a distinction between two very weak acceptance-probability conventions after a small separation is already supplied by the source.
TCS-4009	high	model_variant	Undecidability of balance for selected integer-circuit operation sets classifies a specialized set-arithmetic model. Broader arithmetic and recurrence decision problems are stronger representatives.
TCS-4320	medium	model_variant	Weak versus Lutz polynomial-space randomness compares two resource-bounded randomness definitions. The saved motivation is primarily internal to the analysis-inspired weak definition.
TCS-4519	high	method_specific	Removing an extra axiom requirement from the source's inductive-inference arguments concerns the strength of a particular proof. General learning and computability principles take priority over this follow-up.
TCS-0068	medium	model_variant	The proposed AC0 characterization uses circuits indexed by individual unlabeled tree shapes. This adds a specialized nonuniform indexing convention beyond the principal circuit-versus-logic classifications.
TCS-0126	high	method_specific	The parity-subset compatibility property under thinning is a technical combinatorial ingredient for shallow-circuit arguments. Keep the underlying circuit and regular-language lower-bound questions.
TCS-0302	medium	model_variant	Excluding quasilinear-time logarithmic-space Max Clique under random access adds a problem-specific time-space target alongside the central SAT time-space barriers.
TCS-0304	medium	quantitative_refinement	Crossing the n^(5/2) wire exponent for LOGTIME-uniform depth-three majority circuits on SAT fixes several resource restrictions at once. Prefer the broader threshold-circuit and formula lower-bound barriers.
TCS-1039	high	model_variant	Superlinear lower bounds for in-place XOR updates add a fixed-register restriction to explicit linear-circuit complexity. The unrestricted explicit linear-map lower bounds are broader representatives.
TCS-1144	high	method_specific	Superlinear spiky rank for Inner Product or Disjointness tests one newly introduced lower-bound measure. Prefer the main rigidity, circuit and communication barriers to an additional measure-specific witness target.
TCS-2244	medium	model_variant	The Constant Degree Hypothesis fixes a particular AND/MOD/MOD architecture motivated by nilpotent-algebra algorithms. Broader modular-circuit lower bounds cover the central computational obstacle.
TCS-2319	medium	method_specific	Reducing explicit constructions to range avoidance at locality three is a particular reduction route within the avoidance programme. General avoidance and explicit-construction targets have broader marginal coverage.
TCS-2331	medium	quantitative_refinement	Improving NP-oracle certification from a polynomial overhead in Cert(f) to constant-factor length is an additional quantitative optimization of an existing certification guarantee.
TCS-2434	medium	model_variant	A randomness-versus-pseudodeterminism separation specifically for parity decision trees adds a query-model restriction to the broader reproducible-computation question.
TCS-2537	medium	specialized_target	Placing the total version of UniqueTarski in UEOPL is one further membership relation within fixed-point search classes. Prefer the main fixed-point and total-search structural barriers.
TCS-3095	high	model_variant	The exact width-three threshold for unordered CNF games is a clause-width classification inside a specialized strategic assignment model. Its saved reach is narrower than the general game-solving barriers.
TCS-3181	medium	construction_variant	Transferring bounded-repetition branching-program lower bounds from a modified formula to random CNFs improves the hard-instance family for one restricted proof model.
TCS-3743	medium	method_specific	The NQP-or-MCSP disjunction is a particular route to stronger circuit lower bounds. The independent circuit-separation and MCSP-hardness targets already represent its main intended outcomes.
TCS-3873	medium	model_variant	SDD versus deterministic structured-DNNF succinctness compares two closely related compiled representations. More general knowledge-compilation closure and representation barriers take priority.
TCS-3962	medium	method_specific	The implication from small SAT circuits to NP algorithms with an MCSP oracle is a conditional algorithmic route. Prefer the primary circuit-minimization and nonuniform-complexity barriers.
TCS-4076	high	model_variant	Polynomial simulation of monotone real circuits by MLP gates compares two specialized gate semantics. The saved motivation gives less independent reach than the principal monotone and unrestricted circuit targets.
TCS-4205	high	model_variant	Imposing syntactic subspace invariance at fixed formula depth creates an additional symmetry restriction. Its maximal overhead is lower priority than the underlying unrestricted formula lower-bound questions.
TCS-4268	medium	quantitative_refinement	Extending intermediate-complexity evidence to a fixed epsilon in the source's Gap MCSP parameterization refines a particular approximation regime. Retain the main MCSP classification and hardness questions.
TCS-4412	high	method_specific	The target asks what gate elimination can prove for linear maps. Retain explicit linear-map circuit lower bounds themselves before this separate limitation-or-success question for one proof method.
TCS-4466	medium	method_specific	An efficient negation-reduction transformation for formulas is a constructive follow-up to the source's existence arguments. Broader formula power and limited-negation lower bounds take priority.
TCS-4961	medium	quantitative_refinement	The requested faster range-avoidance algorithm fixes bounded locality and polynomial output stretch. It is an additional running-time regime within a programme already represented by more general avoidance targets.
TCS-5149	medium	model_variant	Threshold-circuit size specifically for string matching adds a function-specific restricted-circuit target. General threshold-circuit lower bounds and the main string-algorithm barriers have broader coverage.
TCS-5246	high	consolidation	The selected passage asks ordinary graph isomorphism in polynomial time, already represented by TCS-7222. Preserve its refinement-hierarchy reference in that card.
TCS-5312	high	consolidation	The NP-hardness question for ordinary truth-table MCSP is already part of TCS-4786. Preserve this paper's total-versus-partial circuit-extension context in the retained card.
TCS-5501	high	consolidation	This repeats the NP-hardness frontier for ordinary MCSP represented by TCS-4786. Transfer the sums-of-squares reference without confusing restricted-method lower bounds with NP-hardness.
TCS-5315	medium	construction_variant	The target restricts extremal Forrelation to low-degree F2-polynomial inputs and seeks a degree-dependent randomized bound. Prefer the more general quantum–classical query barriers over this additional hard-family refinement.
TCS-5617	high	bundled_direction	The selected passage proposes PPAq-completeness for several unspecified additional natural problems. It is a programme of classifications rather than one chosen major total-search target.
TCS-6168	medium	method_specific	Strengthening the circuit consequences of MCSP NP-hardness, together with excluding one restricted reduction type, adds another conditional route around the same main meta-complexity barrier.
TCS-6718	medium	model_variant	Exponential lower bounds for weakly read-once nondeterministic branching programs focus on the distinction between consistent and inconsistent paths. Broader branching-program and circuit separations take priority.
TCS-7129	medium	model_variant	Prime-implicate descriptions versus polynomial-size DNNF form one particular entry of the compilation succinctness map. The main decomposition and closure barriers provide broader coverage than this extra representation pair.
TCS-7130	medium	model_variant	Prime-implicate descriptions versus deterministic DNNF add a second closely related comparison from the same compilation map. This is a distinct stronger question, but has lower marginal priority in the smaller pool.
TCS-7131	medium	model_variant	Compiling complete prime-implicant lists into deterministic DNNF is another specific representation comparison. It should not displace broader questions about determinism, decomposability and complement closure.
TCS-7132	high	model_variant	Prime-implicate size relative to explicit model enumeration compares two exhaustive descriptions. Its saved significance is narrower than the principal succinct-circuit representation barriers.
TCS-0423	high	method_specific	The concrete target is preventing sparse-matrix fill-in during a particular persistence basis-change procedure. The broad title overstates its scope; general multiparameter-persistence complexity is a stronger representative.
TCS-2356	high	consolidation	The invariant minimizes dual-graph treewidth over all triangulations, the same general complexity target already covered by TCS-0331. Preserve the JSJ-decomposition reference there.
TCS-4194	medium	construction_variant	An O(n^(k+1))-size approximate Voronoi diagram for affine flats asks for one global representation at a precise size scale. Broader nearest-neighbor and geometric-search barriers take priority.
TCS-4236	medium	specialized_target	Recognizing curve immersions realizable as geodesics for some hyperbolic metric is a specialized geometric realization problem. The saved motivation has less computational reach than the main geometric primitives.
TCS-4269	medium	model_variant	Shortest flip sequences that transport edge labels add an identity-preservation constraint to triangulation reconfiguration. Prefer the more general geometric and topological transformation barriers.
TCS-4427	medium	model_variant	Efficient recognition of k-isohedral polyomino tilings fixes a particular symmetry-orbit convention. General tiling decidability and geometric recognition questions have broader coverage.
TCS-4505	medium	quantitative_refinement	Polynomial geometric size throughout a planar morph adds numerical control to an existing transformation programme. It is lower priority than the main feasibility and complexity barriers for geometric transformations.
TCS-4679	medium	quantitative_refinement	The cost of recognizing strong balance sharpens the meta-complexity of an existing counting-CSP classification. Prefer the unresolved classification principles themselves before this additional GI-equivalence frontier.
TCS-1610	medium	construction_variant	The proposed quadratic hardness assumption singles out one four-edge hypergraph to support a sparse-pattern counting classification. Its broader consequences are narrower than those of the established central counting and fine-grained hypotheses.
TCS-3609	medium	cluster_overlap	A #Wfunc[2]-complete query class is one proposed witness for the broader intermediate query-counting question in TCS-6083. Keep the broader target and record this candidate route there; these formulations are not asserted equivalent.
TCS-3961	high	model_variant	Permanent hardness simultaneously restricted to orthogonal matrices and prime modular arithmetic adds a specialized algebraic input regime. General counting and permanent barriers are stronger representatives.
TCS-4369	medium	model_variant	The conjecture fills one remaining tractability case for well-designed pattern-tree enumeration. Its saved motivation is a specialist query-model classification rather than a wider enumeration principle.
TCS-7087	medium	method_specific	Smoothing an unknown incremental-delay bound in polynomial space is a particular simulation task with an extra lack-of-advice condition. Retain the principal enumeration time-space and delay-class comparisons.
TCS-7088	medium	specialized_target	A strong-delay lower bound specifically for DNF-model enumeration is one proposed witness for refined delay limitations. The broader strong-versus-ordinary delay question remains available.
TCS-1929	medium	model_variant	Statistical or perfect zero knowledge specifically for streaming interactive proofs adds a verifier-memory restriction to the general zero-knowledge existence questions.
TCS-4703	medium	quantitative_refinement	Reducing setup-inclusive communication below linear for streaming zero knowledge is an additional resource optimization within the same restricted-verifier programme.
TCS-1798	medium	model_variant	Fault-tolerant distance oracles for arbitrary requested pairs combine failure handling with another query-set restriction. The saved exact-or-approximate direction has less marginal coverage than the main distance-oracle barriers.
TCS-2730	medium	quantitative_refinement	Worst-case updates for indexed lists ask to remove amortization in one order-maintenance structure. Broader dynamic-data-structure limits take priority.
TCS-3788	high	method_specific	Randomized acceleration of partitioning is an internal route to faster approximate ordered-set operations. Retain the principal data-structure performance targets rather than this specific implementation primitive.
TCS-5706	medium	cluster_overlap	The unified locality bound is a distinct BST guarantee, but adds another specialist access-sequence criterion to an already well-represented adaptive-search cluster. Prioritize dynamic optimality and the canonical independent conjectures.
TCS-5768	medium	quantitative_refinement	Sublogarithmic competitiveness of splay trees is an intermediate quantitative milestone within the dynamic-optimality programme. Preserve it as context for TCS-6498 instead of a separate benchmark card.
TCS-6514	medium	model_variant	The decrease-key target concerns the specifically defined pure pairing-heap discipline. Its minimal-bookkeeping appeal is real, but this additional heap variant has lower priority than general priority-queue and dynamic-data-structure barriers.
TCS-1201	medium	model_variant	The classification fixes quantifier-free dependence logic and its team semantics. It adds a specialist logical-fragment boundary beside broader query-evaluation and definability classifications.
TCS-6089	medium	model_variant	First-order rewritability for the two named consistent-answer frameworks adds another mapping-and-repair-specific recognition question. Broader query rewritability and CSP classification barriers take priority.
TCS-7127	medium	bundled_direction	Bag multiplicities and aggregate-query enumeration combine several output semantics and query extensions. The saved direction has no independently selected central barrier beyond this specialist enumeration programme.
TCS-5236	high	model_variant	Parity learning simultaneously constrained to noninteraction, multiple servers and computational differential privacy is a narrow escape case for one protocol framework. General private-learning and privacy-model separations provide broader coverage.
TCS-0517	medium	quantitative_refinement	The fixed Delta^1.001 palette at O(log-star n) rounds is an additional precise point in the distributed coloring tradeoff. Retain the main coloring and symmetry-breaking barriers before this palette refinement.
TCS-0535	medium	method_specific	The selected task matches actual local-separator running time to an existing O(nu k) query guarantee. It removes computational overhead in one search framework rather than addressing general vertex-connectivity complexity.
TCS-0959	high	model_variant	Approximating simplified RNA folding with polylogarithmic streaming memory combines one application model with a severe access restriction. Core sequence-comparison and general streaming barriers take priority.
TCS-0967	medium	model_variant	A factor below two for one-pass planar Euclidean TSP estimation fixes geometry, memory and accuracy simultaneously. It adds less coverage than the principal TSP and streaming optimization targets.
TCS-1234	high	quantitative_refinement	The remaining exact-histogram pass-space tradeoff distinguishes closely spaced iterated-logarithm bounds. Prefer larger qualitative streaming memory and pass barriers.
TCS-1784	high	model_variant	Improving the Delta log n lower bound for deterministic beeping local broadcast is a model-specific collision-resolution gap. Broader broadcast and distributed communication barriers take priority.
TCS-2097	medium	quantitative_refinement	The unrestricted 3/2 leading bandwidth coefficient is practically meaningful, but remains a sharp-constant target for one Byzantine broadcast model after protocols reach the proposed scale. Marked borderline rather than trivial.
TCS-2540	medium	model_variant	Polynomial certificate lower bounds specifically for MSO2 on bounded-clique-width graphs combine a logical-fragment restriction with a structural promise. General local-certification barriers give broader coverage.
TCS-2688	medium	specialized_target	Optimal rendezvous time on arbitrary possibly infinite graphs is a specialized mobile-agent coordination problem with asynchronous starts and labels. The saved reach is narrower than the main distributed symmetry-breaking targets.
TCS-2896	medium	model_variant	Sublinear-space Euclidean Steiner forest with exactly paired terminals isolates a promise that escapes an existing lower bound. It is lower priority than the broader connectivity and streaming approximation frontiers.
TCS-3436	medium	model_variant	The time lower bound fixes constant visible-message alphabets while allowing larger private population-protocol state. It adds another communication convention to the leader-election resource cluster.
TCS-3726	medium	method_specific	A deterministic message-reduction scheme with no time loss is a derandomization target for one generic simulation method. Prioritize the main time-and-message limits of distributed computation.
TCS-3762	medium	model_variant	Perfect rather than approximate graph-streaming random-walk simulation adds an exact-sampling requirement to a restricted-access model. More general sampling and streaming barriers take priority.
TCS-3806	medium	model_variant	Polynomially many passes for Vertex Cover at O(k log n) bits fixes both parameterized storage and a streaming access convention. This additional three-resource tradeoff has lower marginal coverage.
TCS-3892	medium	model_variant	CONGEST construction lower bounds for all-pairs additive spanners add another bandwidth-restricted realization of the spanner programme. Prefer its main sparsity limits and broader distributed graph barriers.
TCS-3894	medium	model_variant	Polynomial-state leaderless population protocols for systems of inequalities ask for succinct implementation in a particular initialization model. General population-protocol and arithmetic-computation limits take priority.
TCS-4006	medium	quantitative_refinement	The target fills the interval between squared-logarithmic and linear sliding-window space for deterministic context-free languages. This is a finer landscape question inside a specialized access model.
TCS-4121	medium	model_variant	Beating factor two for distributed Tree Augmentation adds a communication-model restriction to a particular approximation objective. Broader approximation and resilient-network barriers are stronger representatives.
TCS-4210	high	method_specific	The selected question adds packet-processing time to the source's compact geometric routing framework. It concerns making one representation operationally efficient rather than a separately selected general routing barrier.
TCS-5425	medium	specialized_target	Parallel construction of a housing allocation or core is a problem-specific NC frontier beyond already parallel verification. The main allocation and parallel-computation barriers have broader coverage.
TCS-5677	medium	quantitative_refinement	A gap between log-log n and log n certificate size on paths refines one interval of the local-certification landscape. General certificate-size and locality tradeoffs take priority.
TCS-6022	medium	specialized_target	Uniform directed Euler-tour sampling in RNC is a parallelization frontier for one combinatorial distribution. General parallel sampling and graph-algorithm barriers take priority.
TCS-6324	high	model_variant	Optimal leaderless-protocol time for eventually natural-linear functions and eventually constant predicates classifies exceptional cases outside the source's main theorem. Its scope is narrower than the general stable-computation barriers.
TCS-0096	medium	quantitative_refinement	The subcubic-versus-superquadratic gap for deterministic PDA emptiness with fixed alphabets refines an efficiently decidable language task. Broader pushdown and reachability barriers take priority.
TCS-1161	medium	method_specific	A conondeterministic sub-2^n MAX-3-SAT algorithm is a particular certificate-based route to conditional circuit, rigidity and tensor consequences. Retain the main exact-SAT and lower-bound targets.
TCS-4317	medium	method_specific	A subexponential reduction family from Feedback Vertex Set to 3-SAT is a particular transfer within ETH-based graph algorithms. The principal graph-cycle and hypothesis-relationship questions have broader coverage.
TCS-6952	medium	model_variant	Strong lower bounds for suitably space-restricted 3SUM add a restricted-resource direction beyond the main unrestricted hypothesis. Its saved motivation does not pick an independently consequential tradeoff.
TCS-0646	medium	model_variant	All-constant-factor parameterized hardness specifically for l1-SVP adds a norm-and-parameter restriction to the lattice-hardness programme. General SVP approximation and cryptographic-factor barriers take priority.
TCS-0668	medium	model_variant	Instance-dependent sample-optimal equilibrium identification in a noisy zero-sum matrix fixes a particular exploration model. General equilibrium computation and sequential-learning barriers have broader coverage.
TCS-0681	medium	quantitative_refinement	The speed of overfitting a reused multiclass test set refines the dependence on label count and adaptive accuracy queries. Prefer the broader adaptive-data-analysis and learning-characterization barriers.
TCS-1157	high	method_specific	Whether ERM achieves the source's relative-smartness benchmark is a follow-up about a preferred learner after another learner establishes feasibility. The general learnability and instance-optimality targets take priority.
TCS-2336	medium	quantitative_refinement	Removing the remaining square-root logarithmic factor from multiclass Littlestone regret sharpens an established learnability characterization. The infinite-label uniformity matters, so this is a borderline quantitative cut.
TCS-2422	medium	model_variant	Hardness of learning sparse parities using small-program outputs adds a representation restriction motivated by a particular PCP-to-learning route. General noisy-parity and computational-learning barriers take priority.
