TCS-0001	Does P equal NP?	The P versus NP Problem
TCS-1953	Is QCSP(B) in NP whenever B is a temporal structure contained in the ππ fragment?	Identifying Tractable Quantified Temporal Constraints Within Ord-Horn
TCS-1998	Whereas the sum of superstars has been shown to be NP-hard to solve, its precise complexity remains open.	A Tractability Gap Beyond Nim-Sums: It’s Hard to Tell Whether a Bunch of Superstars Are Losers
TCS-2123	The situation is already much more complicated with two winning sets of size 1 – we leave this as an open problem.	Poset Positional Games
TCS-2124	This does not rule out all other possible reductions, but at the moment we do not know how they would look.	Arimaa Is PSPACE-Hard
TCS-2145	It has been proven that many of these models are NP-hard, although the difficulty of the gene network problem itself is an open question.	An Efficient Algorithm for the Reconciliation of a Gene Network and Species Tree
TCS-2156	Over C, does there exist a t-parity representation of dimension 2(0.5+o(1))t ?	A Subquadratic Upper Bound on Sum-Of-Squares Composition Formulas
TCS-2176	Can we prove Theorem 1.14 without relying on Conjecture 3.3?	PosSLP and Sum of Squares
TCS-2178	Can we show that every sparse S2 P language is also in O2 P?	Oblivious Complexity Classes Revisited: Lower Bounds and Hierarchies
TCS-2184	For example, can we establish results for 2-piece subsets, similar to those in Section 4, for Tetris survival?	Tetris with Few Piece Types
TCS-2213	How tight is transversal hardness linked to the NP-hardness of a related extension problem?	Roman Hitting Functions
TCS-2234	Is the Hom(H) problem NP-hard?	C_{2k+1}-Coloring of Bounded-Diameter Graphs
TCS-2243	Is there is a TC0 /NC1 complexity dichotomy?	The AC⁰-Complexity of Visibly Pushdown Languages
TCS-2244	Does Constant Degree Hypothesis hold?	Circuit Equivalence in 2-Nilpotent Algebras
TCS-2291	Regarding Pudlák’s research program, all implications that are not presented in Figure 1 fail relative to some oracle, except for one single implication, which we […]	An Oracle with no UP-Complete Sets, but NP = PSPACE
TCS-2292	Also, we may ask the following: are there properties Π such that Π-NWS is NP-hard but can be solved in 2O(n) · poly(n + c) […]	On the Complexity of Community-Aware Network Sparsification
TCS-2319	Can we reduce explicit construction problems to solving NC03 -Avoid?	Range Avoidance for Constant Depth Circuits: Hardness and Algorithms
TCS-2329	Is it NP-hard to test whether a given graph has a 1-planar drawing without ×-crossing?	On Computing the Vertex Connectivity of 1-Plane Graphs
TCS-2331	Is there a BPPNP certification algorithm that returns certificates of length O(Cert(f ))?	Certification with an NP Oracle
TCS-2333	Is every PLS-complete problem downward self-reducible?	Downward Self-Reducibility in TFNP
TCS-2373	First, we leave several open problems; e.g., for MVPP k-grabbing pawn games, we only show NP-hardness and membership in PSPACE.	A Game of Pawns
TCS-2399	Is it because such parametrization does not exist or because we could not find it ?	Revisiting Mulmuley: Simple Proof That Maxflow Is Not in the Algebraic Version of NC
TCS-2418	An easier open problem might be the complexity of Branchwidth for graphs of bounded degree, and we conjecture that Branchwidth is NP-complete on cubic graphs.	Treewidth Is NP-Complete on Cubic Graphs
TCS-2434	Establishing a super-polynomial separation between randomness and pseudo-determinism remains open for Parity decision trees.	Query Complexity of Search Problems
TCS-2464	For every d ∈ N, ε ∈ (0, 1) for all large enough n, if X is samplable by a d-local function and is ε-close […]	Sampling and Certifying Symmetric Functions
TCS-2517	It remains open if we can compute the convex rank exactly in polynomial time or if this problem is NP-hard.	Fast Convolutions for Near-Convex Sequences
TCS-2533	But it is unknown whether, even with the stronger class of alternating algorithms, if	Efficient Interactive Proofs for Non-Deterministic Bounded Space
TCS-2538	For example, are there natural sampling tasks or similar tasks such that efficient solutions imply NP ̸⊆ BPP?	An Algorithmic Approach to Uniform Lower Bounds
TCS-2539	For example, can we show that EXPH-relativizing techniques cannot prove MA ̸⊆ SIZE[nk ]?	Bounded Relativization
TCS-2550	Can the termination of earlier encodings of the battle be established with manysorted semantic labeling followed by some standard simplification order?	Hydra Battles and AC Termination
TCS-2584	Could we possibly use the P/poly log space analogue L/poly?	Covert Computation in the Abstract Tile-Assembly Model
TCS-2598	While our argument only requires that there exists a constant c′ such that AMTIME[nc ] ⊆ NTIME[nc ], we use the assumption prAM ⊆ NP […]	Instance-Wise Hardness Versus Randomness Tradeoffs for Arthur-Merlin Protocols
TCS-2613	Although our results establish that computing mh(G) is NP-hard, the computational complexity of computing/deciding h(G) remains open, even if G is restricted to be a […]	Recontamination Helps a Lot to Hunt a Rabbit
TCS-2625	For all ε, η > 0, given an undirected graph G = (V, E), it is NP-hard to distinguish between: Yes case: iCol3 (G) ⩾ […]	NP-Hardness of Almost Coloring Almost 3-Colorable Graphs
TCS-2645	Is it NP-complete to decide whether a given unlabeled sparse configuration can be pushed into a given compact configuration?	Pushing Blocks by Sweeping Lines
TCS-2652	Is there a relativized world where GapMINKT ̸∈ coNP/poly , and GapMINKT is not NP-complete under robust coNP/poly -Turing reductions?	A Relativization Perspective on Meta-Complexity
TCS-2657	– any proof that depth-3 circuits for Majn require size 2 must prove Theorem 2 as well.	The Composition Complexity of Majority
TCS-2668	Can the construction from the first speed-up theorem (Theorem 12) be carried out for a non-constant number k of iterations?	Superlinear Lower Bounds Based on ETH
TCS-2681	As mentioned in the introduction, it remains open whether UEOPL = EOPL.	Further Collapses in TFNP
TCS-2695	What about a star with two subdivided edges?	Hardness of Token Swapping on Trees
TCS-2702	Can we prove a complexity lower bound on the problem for large E?	Complexity of Fault Tolerant Query Complexity
TCS-2712	Already for k = 1, we do not know, whether the problem is in P or is NP-hard.	(Re)packing Equal Disks into Rectangle
TCS-2762	It remains open whether DS or IS can be solved in polynomial time when restricted to RCGs, RNGs, or GGs with maximum degree 3.	Most Classic Problems Remain NP-Hard on Relative Neighborhood Graphs and Their Relatives
TCS-2797	We leave as an open question whether the ETH lower bound of computing twin-width can be brought from 2Ω(n/ log n) to 2Ω(n) , or […]	Deciding Twin-Width at Most 4 Is NP-Complete
TCS-2804	No XNLP-hard problem has an algorithm that runs in nf (k) time and f (k)nc space, with f a computable function, k the parameter, n […]	On the Complexity of Problems on Tree-Structured Graphs
TCS-2818	It also shows that synthetic instances slightly tend to have more white cells, fewer black cells, and smaller solutions than handcrafted instances; however, it is […]	Solving and Generating Nagareru Puzzles
TCS-2822	Even the complexity (P versus NP) of deciding whether a directed graph contains an (s, t)-path longer than distG (s, t) (the case of k […]	Detours in Directed Graphs
TCS-2835	We leave an open problem of improving our lower bound to i.o.pr-BPTIME(2ϵn ).	Symmetry of Information from Meta-Complexity
TCS-2880	It poses a question: does lifting any restriction permit an efficient algorithm?	Complexity of Spatial Games
TCS-2906	In particular, does there exist a constant r such that Perfect Matching Cut is NP-complete for Pr -free graphs?	Finding Matching Cuts in H-Free Graphs
TCS-2908	Are there interesting upper and lower bounds for generalized Karchmer–Wigderson outside of the scope of KRW conjecture?	Super-Cubic Lower Bound for Generalized Karchmer-Wigderson Games
TCS-2914	Namely, can one find a distribution that cannot be sampled in AC0 but can be sampled by ROBPs?	The Space Complexity of Sampling
TCS-2927	There is one obvious open question: can the complexity actually be reduced to ΣP2 or even to some smaller class?	The Isomorphism Problem for Plain Groups Is in Σ₃^{𝖯}
TCS-2959	Our NP-hardness proof can be adapted to show APX-hardness in the 3D sliding cube model and we conjecture that the problem is also APX-hard for […]	Compacting Squares: Input-Sensitive In-Place Reconfiguration of Sliding Squares
TCS-3007	Is it true that for infinitely many r there exists a matrix A ∈ Cr (Q, 2) with RQ (A, r) = r2 ?	Matrix Rigidity Depends on the Target Field
TCS-3026	We conjecture that the bound for both FIND1 and SC can be improved to Ω(n) for pseudodetermnistic query complexity.	On the Pseudo-Deterministic Query Complexity of NP Search Problems
TCS-3073	Finally, we leave as an open problem deriving such a natural statement regarding gap amplification for the ACAC problem.	Two Combinatorial MA-Complete Problems
TCS-3095	We conjecture that even G3 might be tractable, but again the only known general upper bound is PSPACE.	6-Uniform Maker-Breaker Game Is PSPACE-Complete
TCS-3105	However, the question of whether Max Cut is polynomial-time solvable or NP-hard on unit interval graphs still remains open.	Complexity of Maximum Cut on Interval Graphs
TCS-3107	We leave open the complexity of the FDSC problem (e.g. bring it in P, or classify it as NP-complete).	Flow Decomposition with Subpath Constraints
TCS-3125	The agent can traverse door 1 and leave via port O, but they can also open and then traverse door 3 and then do the […]	Walking Through Doors Is Hard, Even Without Staircases: Proving PSPACE-Hardness via Planar Assemblies of Door Gadgets
TCS-3129	The problems studied are efficiently solvable in the classes shown in white, while they are NP-hard and/or APX-hard in the classes shown in gray (∗ […]	On the Kernel and Related Problems in Interval Digraphs
TCS-3165	We conjecture that one can adapt the proof of Theorem 21 (ii) to show the NP-hardness of this problem.	Binary Matrix Completion Under Diameter Constraints
TCS-3166	It is easy to see that this problem is NP-hard (reduction from subset sum) and we conjecture that there exists an NP algorithm.	Subgroup Membership in GL(2,Z)
TCS-3181	More difficult question: can we prove a lower bound on random ∆-CNF formulas?	Branching Programs with Bounded Repetitions and Flow Formulas
TCS-3186	Is there a generic ways to convert lower bounds for classical communication into half-duplex and partially half-duplex?	Toward Better Depth Lower Bounds: The XOR-KRW Conjecture
TCS-3204	Finally, can one provide more evidence supporting the Weak Exponential Time Hypothesis for AC0d -MCSP?	Lifting for Constant-Depth Circuits and Applications to MCSP
TCS-3228	Does SAPEPP have natural complete problems?	Total Functions in the Polynomial Hierarchy
TCS-3235	What Other Lower Bounds Are Implied by Black-Box Hypotheses?	Black-Box Hypotheses and Lower Bounds
TCS-3288	Do there exist graphs H1 and H2 , both without semi-edges, such that H1 covers H2 , and such that the H1 -Cover is polynomial-time […]	Computational Complexity of Covering Multigraphs with Semi-Edges: Small Cases
TCS-3301	That is, what isomorphism problems stand as crucial bottlenecks to further improvements on GI, and what isomorphism problems should naturally draw our attention for further […]	On the Complexity of Isomorphism Problems for Tensors, Groups, and Polynomials I: Tensor Isomorphism-Completeness
TCS-3308	For example, here is an open question that we have not addressed: for (say) the game Hex, does there necessarily exist a polynomial-size circuit that […]	Strategy-Stealing Is Non-Constructive
TCS-3379	The complexity of k-LH on a 1D line remains open for local dimension 2 ≤ d ≤ 7.	Oracle Complexity Classes and Local Measurements on Physical Hamiltonians
TCS-3394	In the MCSP problem, the instance is a string x together with a parameter s, and the question is whether x is the truth table […]	Circuit Lower Bounds from NP-Hardness of MCSP Under Turing Reductions
TCS-3458	Can Qk -communication game for THRkn+1 n+1 be solved in O(log n) bits of communication for k ≥ 3?	Multiparty Karchmer - Wigderson Games and Threshold Circuits
TCS-3525	Can one decide in polynomial time whether S ⇒∗ T ?	The Tandem Duplication Distance Is NP-Hard
TCS-3568	Is there a total function g : {0, 1}m → {0, 1} such that BPP(Xor ◦ g n ) ≥ Ω(n log n · BPP(g)) […]	When Is Amplification Necessary for Composition in Randomized Query Complexity?
TCS-3581	Can one extend any of our results to these more general classes?	Lower Bounds for (Non-Monotone) Comparator Circuits
TCS-3644	The question of how (if at all) the orientation width of DeMorgan circuits is related to their negation width remains open.	Lower Bounds for DeMorgan Circuits of Bounded Negation Width
TCS-3681	Nevertheless, it remains open to show more efficient protocols for other functions, such as matrix exponentiation, and to allow sequences of operations to be easily […]	Efficient Interactive Proofs for Linear Algebra
TCS-3718	Formally, is NP 6⊂ SIZE[nk ] for all k equivalent to (NP ⊂ P/poly =⇒ PH ⊂ i.o.-NP/n )?	Relations and Equivalences Between Circuit Lower Bounds and Karp-Lipton Theorems
TCS-3732	Is Theorem 8 true with a better bound on ?	On the AC^0[oplus] Complexity of Andreev’s Problem
TCS-3743	Can we show that either NQP 6⊆ P/poly or MCSP 6∈ ACC0 ?	AC^0[p] Lower Bounds Against MCSP via the Coin Problem
TCS-3765	Does there exist an integer d such that Colouring is NP-complete for K1,3 -free graphs of diameter d?	Colouring H-Free Graphs of Bounded Diameter
TCS-3809	Does either Alice or Bob ever have a low-space winning strategy for any (a, b) game when a and b are both larger than 1 […]	The Space Complexity of Mirror Games
TCS-3837	Can one show that all such circuits are difficult to simulate classically (say exactly)?	Complexity Classification of Conjugated Clifford Circuits
TCS-3859	3 spinners are the only size of spinner for which motion planning remains open.	Computational Complexity of Motion Planning of a Robot through Simple Gadgets
TCS-3861	We leave open the problem of setting the computational complexity of the game when the instance has both a constant number of colors and columns.	On the Complexity of Two Dots for Narrow Boards and Few Colors
TCS-3889	Currently, we do not know whether such an expander can be built from known constructions of expanders in the usual sense.	Depth Two Majority Circuits for Majority and List Expanders
TCS-3890	We conjecture that computing backup path schemes with maximal resiliency is NP-hard on general graphs.	Local Fast Segment Rerouting on Hypercubes
TCS-3945	Does this exist a property Π that has an MAP with complexity O( n) but every AMP for Π must have complexity Ω(n)?	An Exponential Separation Between MA and AM Proofs of Proximity
TCS-3967	Can such restricted symmetries give rise to interesting logics in between FPR and P?	Symmetric Circuits for Rank Logic
TCS-3984	Can we show that coloring a 2-colorable 3-uniform hypergraph with ω(log log n) colors is NP-hard, or even quasi-NP-hard?	NP-Hardness of Coloring 2-Colorable Hypergraph with Poly-Logarithmically Many Colors
TCS-3985	For graph metrics, given two graphs G and H, is it NP-hard to decide if G has an H-obstacle representation?	Geodesic Obstacle Representation of Graphs
TCS-4013	Is it NP-hard to compute the maximum area anchored rectangle packing of a given set S ⊂ [0, 1]2 ?	Maximum Area Axis-Aligned Square Packings
TCS-4037	In fact, while we have made progress on many natural questions in this paper, a few remain open: As for caps, the gaps for the […]	SUPERSET: A (Super)Natural Variant of the Card Game SET
TCS-4075	Is it possible to prove (Ω( ), 0) close for Test 1 with t = 12 ?	Exponentially Small Soundness for the Direct Product Z-Test
TCS-4077	Can we prove P 6⊂ PNP -uniform SIZE(O(n))?	Easiness Amplification and Uniform Circuit Lower Bounds
TCS-4113	Note that we do not know whether there is an analog of the second type of output for binary inputs.	TC^0 Circuits for Algorithmic Problems in Nilpotent Groups
TCS-4123	In particular, we conjecture that the Token Swapping problem remains NP-complete even if the input graph is a tree.	Complexity of Token Swapping and its Variants
TCS-4160	Currently, we do not know how to construct MAJk ◦ MAJk circuits computing MAJn on all inputs even for k = n − 2 (though […]	Computing Majority by Constant Depth Majority Circuits with Low Fan-in Gates
TCS-4175	Our result can extend to other constant size characteristics but we do not know how to extend it to arbitrary fields.	A Hierarchy Theorem for Interactive Proofs of Proximity
TCS-4184	For example, does PM ⊆ PSPACEcc hold?	Query-to-Communication Lifting for P^NP
TCS-4185	Are there strings that do not possess simple optimal hypotheses?	Stochasticity in Algorithmic Statistics for Polynomial Time
TCS-4205	What is the maximum gap, if any, between U -invariant [depth d] formula size and non-invariant [depth d] formula size?	Subspace-Invariant AC^0 Formulas
TCS-4226	Is Stable(D∆−2 ) NP-complete for graphs of maximum degree ∆ + 1?	Recognizing Graphs Close to Bipartite Graphs
TCS-4258	If yes, then can we take α ≈ 2, or more precisely, is it true that ICν (IPn , ν, ) = (1 − 2 […]	Trading Information Complexity for Error
TCS-4260	Less ambitiously, if we believe but cannot prove that a doubly exponential number of copies is necessary, can we show that a construction with fewer […]	A Note on Amortized Branching Program Complexity
TCS-4268	Is there evidence that Gap MCSP has intermediate complexity when is a fixed constant, similar to the evidence that we present for the case when […]	New Insights on the (Non-)Hardness of Circuit Minimization and Related Problems
TCS-4273	Unfortunately, we do not know how to carry out step (c), because we currently lack a simulation lemma for BPP. (We believe that such a […]	Randomized Communication vs. Partition Number
TCS-4286	While we expect that the first problem can be solved efficiently, we conjecture that the second one is NP-Complete.	Factorizing a String into Squares in Linear Time
TCS-4331	One interesting consequence is that if MCSP itself is reducible to Gapk MCSP for all k ≥ 1 via a polynomial-time Turing reduction, then PMCSP […]	Limits of Minimum Circuit Size Problem as Oracle
TCS-4356	Improving the dependence on these parameters is an open problem which might require new ideas.	Lower Bounds for Constant Query Affine-Invariant LCCs and LTCs
TCS-4357	We do not know whether this √ dependence is necessary for p = 1/2.	Harmonicity and Invariance on Slices of the Boolean Cube
TCS-4361	Does this circuit hierarchy lead to a logical hierarchy within #Πsk 1 ?	Descriptive Complexity of #AC^0 Functions
TCS-4381	Can we improve the lower bound of Theorem 1.1 for small ε?	On the Sum-of-Squares Degree of Symmetric Quadratic Functions
TCS-4384	Is there an efficient separation oracle for (Dual)?	A Composition Theorem for Conical Juntas
TCS-4385	What can be done if Alice and Bob switch roles, and the shared randomness should be a function of Y ?	Tight Bounds for Communication-Assisted Agreement Distillation
TCS-4398	Is Super Mario Bros. PSPACE-complete also for levels of constant height that do not contain pipes?	Super Mario Bros. is Harder/Easier Than We Thought
TCS-4399	For example, is the game still NP-complete if we bound the number of colors instead of the hand-size?	Hanabi is NP-complete, Even for Cheaters who Look at Their Cards
TCS-4412	Can gate elimination prove non-linear bounds here?	On the Limits of Gate Elimination
TCS-4418	Are the 2-tt-complete sets for NP 2-tt-autoreducible?	Autoreducibility of NP-Complete Sets
TCS-4466	We leave open the question whether one can come up with an explicit and efficient transformation from any formula to a formula with few negations.	Negation-Limited Formulas
TCS-4468	The best separation between subcube partition complexity and query complexity remains open, even in the deterministic case.	Separating Decision Tree Complexity from Subcube Partition Complexity
TCS-4526	What about a property of removing advice of polynomial length?	Identifying an Honest EXP^NP Oracle Among Many
TCS-4527	Can the bound be improved to exp(n1−Ω(1/d) ) ?	Subexponential Size Hitting Sets for Bounded Depth Multilinear Formulas
TCS-4529	For instance, do the formulas become easier if we have n2 pigeons and n holes?	A Generalized Method for Proving Polynomial Calculus Degree Lower Bounds
TCS-4543	Does there exist an XP algorithm for b-Chromatic Number?	B-Chromatic Number: Beyond NP-Hardness
TCS-4551	Can we prove super-polynomial lower bounds for multi-k-ic formulas?	Multi-k-ic Depth Three Circuit Lower Bound
TCS-4576	It is an open question whether O(|S|2−ε 2o(d) ) time is possible for some fixed ε > 0.	The Polynomial Method in Circuit Complexity Applied to Algorithm Design (Invited Talk)
TCS-4608	Can we achieve the separation under the assumption that there n exists a language in NE that can not be solved in deterministic/probabilistic time O(2δ2 […]	Separating Cook Completeness from Karp-Levin Completeness Under a Worst-Case Hardness Hypothesis
TCS-4641	Can it be that k-LS-FI is solvable in time O(2o(k) nc ) for some small constant c?	Searching for better fill-in
TCS-4960	Theoretical Limitations of Multi-Layer Transformer — Open Question 2	Theoretical Limitations of Multi-Layer Transformer
TCS-4961	Range Avoidance and Remote Point: New Algorithms and Hardness — Open Problem 1	Range Avoidance and Remote Point: New Algorithms and Hardness
TCS-4987	On Pigeonhole Principles and Ramsey in TFNP — Explicit open question on PDF page 4	On Pigeonhole Principles and Ramsey in TFNP
TCS-5023	Range Avoidance for Constant Depth Circuits: Hardness and Algorithms — Open Problem 4	Range Avoidance for Constant Depth Circuits: Hardness and Algorithms
TCS-5050	Pushing Blocks by Sweeping Lines — Open Problem 2	Pushing Blocks by Sweeping Lines
TCS-5165	Covering a Polyomino-Shaped Stain with Non-Overlapping Identical Stickers — Question 3	Covering a Polyomino-Shaped Stain with Non-Overlapping Identical Stickers
TCS-5174	Matching Cuts in Graphs of High Girth and H-Free Graphs — Open Problem 1	Matching Cuts in Graphs of High Girth and H-Free Graphs
TCS-5175	Tournaments, Johnson Graphs and NC-Teaching — Open Problem 1	Tournaments, Johnson Graphs and NC-Teaching
TCS-5194	Random Permutations in Computational Complexity — Question 8.2	Random Permutations in Computational Complexity
TCS-5225	Identifying Tractable Quantified Temporal Constraints Within Ord-Horn — Question 1	Identifying Tractable Quantified Temporal Constraints Within Ord-Horn
TCS-5312	Simple Circuit Extensions for XOR in PTIME — Explicit open question on PDF page 2	Simple Circuit Extensions for XOR in PTIME
TCS-5313	Space Complexity of Reachability in Simple Path Graphs — Explicit open question on PDF page 2	Space Complexity of Reachability in Simple Path Graphs
TCS-5314	An Improved Version of Hmelevskii’s Theorem on Three-Variable Word Equations — Explicit open question on PDF page 1	An Improved Version of Hmelevskii’s Theorem on Three-Variable Word Equations
TCS-5315	Forrelation Is Extremally Hard — Conjecture 8	Forrelation Is Extremally Hard
TCS-5316	A Bounded Parallel Intersection Type System — Explicit open question on PDF page 2	A Bounded Parallel Intersection Type System
TCS-5317	Hardness of the Binary Covering Radius Problem in Large l_p Norms — Explicit open question on PDF page 7	Hardness of the Binary Covering Radius Problem in Large l_p Norms
TCS-5329	New Lower Bounds Against Homogeneous Non-Commutative Circuits — Open Problem 1	New Lower Bounds Against Homogeneous Non-Commutative Circuits
TCS-5342	Direct Sums for Parity Decision Trees — Explicit open question on PDF page 4	Direct Sums for Parity Decision Trees
TCS-5343	Planar Network Diversion — Explicit open question on PDF page 4	Planar Network Diversion
TCS-5344	Containment for Guarded Monotone Strict NP — Explicit open question on PDF page 7	Containment for Guarded Monotone Strict NP
TCS-5365	Computing Inductive Invariants of Regular Abstraction Frameworks — Explicit open question on PDF page 2	Computing Inductive Invariants of Regular Abstraction Frameworks
TCS-5366	Quantifiying the Robustness of Dynamical Systems. Relating Time and Space to Length and Precision — Explicit open question on PDF page 4	Quantifiying the Robustness of Dynamical Systems. Relating Time and Space to Length and Precision
