TCS-6504	Is perfect matching in general graphs in deterministic NC?	The Matching Problem in General Graphs Is in Quasi-NC
TCS-0978	Maximal Complex Equiangular Tight Frames	Sublinear.info
TCS-0981	Randomness of Partially Random Streams	Sublinear.info
TCS-0989	Effects of Subsampling	Sublinear.info
TCS-0991	Filtering Irrelevant Data	Sublinear.info
TCS-0992	Finite Cursor Machines	Sublinear.info
TCS-0995	Mixed Norms	Sublinear.info
TCS-0999	The Massive, Unordered, Distributed-Data Model	Sublinear.info
TCS-1169	What is the smallest number of passes required for computing O(∆)-colorings deterministically in the semi-streaming setting?	Faster Deterministic Streaming Vertex Coloring
TCS-1171	Is dependence sublinear in τ possible?	Robust Streaming Against Low-Memory Adversaries
TCS-1234	We also leave as an open problem characterizing the exact trade-off between the number of passes and memory required for exactly computing a stream’s histogram.	Tight Bounds for Low-Error Frequency Moment Estimation and the Power of Multiple Passes
TCS-1244	The space complexity of π-PPMn is Θ( e √n) for π ∈ {312, 132, 213, 231}.	Permutation Patterns in Streams
TCS-1275	In particular we conjecture that analogous to asymptotic consensus in rooted adversaries, the dependency on the dimension d can be removed.	Asymptotic Subspace Consensus in Dynamic Networks
TCS-1276	We conjecture that randomized algorithms can come closer to the currently best known lower bound of Ω(log n) [17].	Broadcasts in Anonymous, Dynamic Networks: A New Algorithm and Impossibility Results
TCS-1321	Combining this strong tool with other useful sketching and sampling techniques known in the streaming literature, can we resolve the streaming complexities of important tournament […]	The Power of the Score Sequence of a Tournament
TCS-1330	For instance, we leave open whether Gps can be adopted to Gillespie simulations [10] of chemical reaction networks in the same spirit as [15] did […]	No Time to Interact: Simulating Population Protocols at Scale
TCS-1417	Can heavy hitters be computed exactly using a constant number of passes in the catalytic model?	Streaming with Catalytic Memory
TCS-1504	Proving matching regret lower bounds to establish the tightness of our results also remains an open problem. • We plan to extend out framework to […]	Statistical Learning from Attribution Sets
TCS-1531	What about monadic second-order (MSO) properties?	Complexity Landscape for Local Certification
TCS-1532	Is it possible to obtain an r-round protocol for e.g., outerplanarity, with a proof size of o(log n) for some 1 < r < 5?	New Distributed Interactive Proofs for Planarity: A Matter of Left and Right
TCS-1553	Construct an explicit family of boolean functions fn : {0, 1}n → {0, 1} such that there exist constants δ1 , δ2 > 0 such […]	Distributed Complexity of P_k-Freeness: Decision and Certification
TCS-1587	Could there be a 4-agent algorithm for graphs of maximum degree 3?	Perpetual Exploration in Anonymous Synchronous Networks with a Byzantine Black Hole
TCS-1588	We conjecture the positive results are tight, i.e., exactly the multithreshold predicates and robustly piecewise floor-affine functions are robustly computable.	Robust Predicate and Function Computation in Continuous Chemical Reaction Networks
TCS-1589	Whether protocols that rely on P or ♢P can be systematically translated to use ∼ P – preserving their guarantees w.h.p.– remains an open question.	Byzantine Consensus in the Random Asynchronous Model
TCS-1590	It is an open question if there exists an algorithm that solves RB[2].	Brief Announcement: Weaker Assumptions for Asymmetric Trust
TCS-1591	First, extending auditability to a broader range of shared objects beyond registers and LL/SC remains an open challenge.	Auditable Shared Objects: From Registers to Synchronization Primitives
TCS-1647	Does the Fourier-Hahn-Lévy method capture all tractable f -moments?	Sketching, Moment Estimation, and the Lévy-Khintchine Representation Theorem
TCS-1660	Those questions remain open, but the paper and related work provide some initial clues.	Solving Tasks with Fewer Registers Than Processes
TCS-1661	The existence of an algorithm to solve RB[2] remains an open question.	Weaker Assumptions for Asymmetric Trust
TCS-1674	We leave the computation of the approximation factor of Algorithm 4 as a challenging open problem.	Improved Approximation Algorithms for (1,2)-TSP and Max-TSP Using Path Covers in the Semi-Streaming Model
TCS-1745	While our work provides a complete answer for solvability, we leave a number of exciting problems open.	Validity in Network-Agnostic Byzantine Agreement
TCS-1759	Despite these results, the solvability of the SS-PGAT without global knowledge remains an open problem.	Self-Stabilizing Weakly Byzantine Perpetual Gathering of Mobile Agents
TCS-1772	Are there definition principles that relate the length |f (α)| to the number of steps it takes to compute f (α)?	A Coinductive Representation of Computable Functions
TCS-1779	Can we improve the round complexity in the CD model while getting the optimal O(log n) energy bound?	Energy-Efficient Maximal Independent Sets in Radio Networks
TCS-1780	If so, how can we leverage the structural properties of the hard instances to establish such a lower bound?	Content-Oblivious Leader Election in 2-Edge-Connected Networks
TCS-1781	Can stronger lower bounds be established for networks with higher degrees?	The Complexity Landscape of Dynamic Distributed Subgraph Finding
TCS-1782	What is the solution of it for agents with restricted tanks and how large tanks are needed?	Approach of Agents with Restricted Fuel Tanks
TCS-1784	Second, could a lower bound on any deterministic local broadcast algorithm, better than Ω(∆ log n), be proved?	Beeping Deterministic CONGEST Algorithms in Graphs
TCS-1785	Second, for undirected graphs, are there multi-pass semi-streaming algorithms that compute paths longer than Θ(d), where d is the average degree of the input graph?	Constructing Long Paths in Graph Streams
TCS-1820	What is the complete tradeoff?	Deterministic Local Problems in Radio Networks: On the Impact of Local Domination and a Bit of Advice
TCS-1834	What is the time of the fastest gossiping algorithm using a labeling scheme of optimal length O(log ∆)?	Optimal-Length Labeling Schemes for Fast Deterministic Communication in Radio Networks
TCS-1835	It is intriguing to explore the issue of “optimality” further, e.g., can one argue that no algorithm can use less strong synchronization?	Resolving Conflicts with Grace: Dynamically Concurrent Universality
TCS-1856	More specifically, we are curious if SubseqSketch is an LSH, and if so, does it offer better hash collision probabilities?	Sequence Similarity Estimation by Random Subsequence Sketching
TCS-1865	Since the number of ties among the maxima increases when hp1 gets smaller, we conjecture that, for hp1 ≪ 1, Pr(W1,strict ) = o(p1 ), […]	On the h-Majority Dynamics with Many Opinions
TCS-1879	In future work, it would be interesting to establish a lower bound revealing whether this locking time bound is tight; if so, it remains an […]	On the Runtime of Local Mutual Exclusion for Anonymous Dynamic Networks
TCS-1937	Is Θ(log k) optimal for k-colorability certification?	Local Certification of Local Properties: Tight Bounds, Trade-Offs and New Parameters
TCS-1965	A question that we leave open is whether any problem that admits a O(t)-round algorithm in the LOCAL model, for any t ≤ D, can […]	The Singular Optimality of Distributed Computation in LOCAL
TCS-1968	And if so, is the separation exponential?	Refining the Adaptivity Notion in the Huge Object Model
TCS-1979	We leave open the question of whether the O(cd) dependency can be improved to O(c + d) (see Problem 3 in Section 5 for more).	Decentralized Distributed Graph Coloring II: Degree+1-Coloring Virtual Graphs
TCS-1981	However, the feasibility of an O(k)-time algorithm in the general setting remains open.	Near-Linear Time Dispersion of Mobile Agents
TCS-2049	While for curves streaming algorithms for simplification are known, it remains open is to find such an algorithm that works in O(ℓ) space.	Dynamic L-Budget Clustering of Curves
TCS-2059	Generally, it is not known whether Marçais’ lower bound is close to the true optimal density, although we conjecture it is not.	The mod-minimizer: A Simple and Efficient Sampling Algorithm for Long k-mers
TCS-2097	We conjecture that the lower bound of 3/2, which has been shown for a specific class of algorithms, holds more generally, i.e., with one or […]	Byzantine Reliable Broadcast with Low Communication and Time Complexity
TCS-2117	Our content-oblivious leader election for non-oriented rings does not terminate, and we conjecture that this is inherent to the model.	Content-Oblivious Leader Election on Rings
TCS-2161	Can HashExt be optimized to achieve O(nL) bit complexity for a wider range of proposal sizes L?	Efficient Signature-Free Validated Agreement
TCS-2162	In particular, what could (t) be said for sets of failure patterns Φ other than Φall ?	Brief Announcement: Agreement Tasks in Fault-Prone Synchronous Networks of Arbitrary Structures
TCS-2163	Is there a (2∆ + 1)-coloring algorithm for graphs with maximum degree ∆ in the ASYNC LOCAL model, for every ∆ ≥ 2?	Asynchronous Fault-Tolerant Distributed Proper Coloring of Graphs
TCS-2164	Does a linear time PTAS exists?	Freeze-Tag in L₁ Has Wake-Up Time Five with Linear Complexity
TCS-2222	In particular, can we improve the round complexity to O(log2 n) rounds while keeping Õ(n) communication?	Time- and Communication-Efficient Overlay Network Construction via Gossip
TCS-2235	What is the minimum number of colors to achieve perpetual exploration with optimal number of robots?	Crash-Tolerant Perpetual Exploration with Myopic Luminous Robots on Rings
TCS-2236	Are constant-size lights sufficient to always avoid the phenomenon of false elections?	Computational Power of Opaque Robots
TCS-2280	A natural next step would be to investigate the removal of agents: can a protocol provide guarantees in the case that a small number of […]	Breaking Through the Ω(n)-Space Barrier: Population Protocols Decide Double-Exponential Thresholds
TCS-2283	For example, which graph problems can be solved equally well in the sliding window model as in the one-pass streaming setting, and which problems are […]	Interval Selection in Sliding Windows
TCS-2325	Is there a lower bound of Ω(n log3 n) memory for solving graph connectivity in the turnstile model?	Distributed Sketching Lower Bounds for k-Edge Connected Spanning Subgraphs, BFS Trees, and LCL Problems
TCS-2360	Does there exists a view synchronisation protocol for the partial synchrony model that achieves the same efficiency bounds as Fever, but which can accommodate unbounded […]	Fever: Optimal Responsive View Synchronisation
TCS-2381	The same has not yet been achieved for message-passing systems: is there a consensus hierarchy based on specific broadcast abstractions?	Send/Receive Patterns Versus Read/Write Patterns in Crash-Prone Asynchronous Distributed Systems
TCS-2382	Whether there is an algorithm that tolerates a growing adversary remains open.	Brief Announcement: Byzantine Consensus Under Dynamic Participation with a Well-Behaved Majority
TCS-2383	Actually, it remains open whether by assuming just one common direction is enough for solving the problem.	Brief Announcement: Line Formation in Silent Programmable Matter
TCS-2384	Determining the exact space complexity of solving obstruction-free k-set agreement using swap objects when k > 1 remains an open problem.	Brief Announcement: The Space Complexity of Set Agreement Using Swap
TCS-2432	It is still an open question whether, in analogy to Hanf’s theorem, Gaifman normal forms exist over all fully idempotent semirings.	Locality Theorems in Semiring Semantics
TCS-2433	Since COND-EVAL subsumes COND-PR, we have the upper bound of O(log log n + ϵ12 ), and the ensuing gap leaves open an interesting question.	Support Size Estimation: The Power of Conditioning
TCS-2441	Second, we do not know if it is possible to decide the online round complexity in polynomial time given the description of the LCL.	Local Recurrent Problems in the SUPPORTED Model
TCS-2442	We conjecture that there are reductions between DenyList and and registers with atomic audit.	The Synchronization Power of Auditable Registers
TCS-2469	It is an open problem whether a stabilizing algorithm for FGC or FR can use a finite amount of memory with no knowledge of T […]	Optimal Computation in Leaderless and Multi-Leader Disconnected Anonymous Dynamic Networks
TCS-2470	While there has been progress on solving the natural list and defective coloring variants of O(β 2 ) coloring, it is still unknown if a […]	List Defective Colorings: Distributed Algorithms and Applications
TCS-2496	Furthermore, it may be interesting to relax the assumptions of instantaneous fault detection and recovery (of the protocol), to investigate whether the assumption of digitally […]	Reliable Broadcast Despite Mobile Byzantine Faults
TCS-2522	We conjecture that, in any of the above cases, agents cannot solve the problem or require more total number of moves than the proposed algorithms.	Partial Gathering of Mobile Agents in Dynamic Tori
TCS-2540	Is there an MSO2 property requiring certificates of Ω(nϵ ) bits, for some ϵ > 0, on graphs of bounded clique-width?	Distributed Certification for Classes of Dense Graphs
TCS-2541	Is there a practical permissionless protocol that can achieve deterministic safety and tolerate fewer than a half Byzantine nodes?	Gorilla: Safe Permissionless Byzantine Consensus
TCS-2583	Is there a way to render the system back to a consistent state?	A Tight Bound on Multiple Spending in Decentralized Cryptocurrencies
TCS-2591	Is there a 2.99-approximation semi-streaming space sliding window algorithm for MM?	Improved Weighted Matching in the Sliding Window Model
TCS-2601	It would be interesting to know whether the equivalence between the two techniques holds for arbitrary colorless tasks, and not only for the 1-dimensional ones, […]	One Step Forward, One Step Back: FLP-Style Proofs and the Round-Reduction Technique for Colorless Tasks
TCS-2614	We do not know whether this can be generalized to k-partial k-coloring every graph for which there exist a k-partial coloring using a palette with […]	Distributed Partial Coloring via Gradual Rounding
TCS-2632	An intriguing open question is whether there is an inherent cost for satisfying the binding property: is there some measure, perhaps time, in which solving […]	Multi-Valued Connected Consensus: A New Perspective on Crusader Agreement and Adopt-Commit
TCS-2689	Regardless, whether there exists a protocol that achieves deterministic safety and termination in a hybrid synchronous model remains an open question.	Safe Permissionless Consensus
TCS-2690	We do not know whether the gathering problem in the adversarial (4,2)-defected model is solvable or not yet.	Brief Announcement: Gathering Despite Defected View
TCS-2732	Is there a perfectly secure 3-server DPF with key size N o(1) ?	Information-Theoretic Distributed Point Functions
TCS-2735	We leave the understanding of the uniform complexity landscape in the regime Ω(log 1/ε) as an exciting open problem.	Local Problems on Trees from the Perspectives of Distributed Algorithms, Finitary Factors, and Descriptive Combinatorics
TCS-2736	Without it, we do not know how many sketches to initialize at the start of the stream.	Adversarially Robust Coloring for Graph Streams
TCS-2753	The question of whether a fully adaptive strong BA with optimal resilience exists or not remains open.	Make Every Word Count: Adaptive Byzantine Agreement with Fewer Words
TCS-2761	We leave as an open question whether for matroids more general than considered in the paper, a larger τ can always yield the kernel.	Matroid-Constrained Maximum Vertex Cover: Approximate Kernels and Streaming Algorithms
TCS-2780	We do not know if there is an alternative encoding for order-preserving matching that fulfills the condition and is computationally as cheap as the nearest […]	Parallel Algorithm for Pattern Matching Problems Under Substring Consistent Equivalence Relations
TCS-2783	However, M2k+2 (n) ∈ Ω n1+ k has only been proven for k = 1, 2, 3, 5; for other k it remains an open […]	Space-Stretch Tradeoff in Routing Revisited
TCS-2798	We leave open the question of closing the gap between upper and lower bounds for the worker-task assignment problem: the upper bound is polylog(wt) and […]	Memoryless Worker-Task Assignment with Polylogarithmic Switching Cost
TCS-2816	It remains an open question whether it is possible to implement an exact wait-free linearizable FIFO queue with worst-case logarithmic step complexity without restriction on […]	Efficient Wait-Free Queue Algorithms with Multiple Enqueuers and Multiple Dequeuers
TCS-2841	We do not know whether the mi in the above corollary can be different from 1.	Semilinear Representations for Series-Parallel Atomic Congestion Games
TCS-2846	This is an open problem in the area (see [14] for some recent results), so we leave this for future work.	Streaming Enumeration on Nested Documents
TCS-2850	It is an open question if these, too can be solved in O(1/ϵ2 ) rounds.	Adaptive Massively Parallel Constant-Round Tree Contraction
TCS-2852	Understanding this variant of Avalanche remains open and is subject of future work.	When Is Spring Coming? A Security Analysis of Avalanche Consensus
TCS-2869	If so, could we lower the energy requirement by allowing slightly smaller throughput, and if so, how much smaller?	Contention Resolution Without Collision Detection: Constant Throughput And Logarithmic Energy
TCS-2870	That is, can we achieve optimality within a polylog(n) factor in both time and messages?	An Almost Singularly Optimal Asynchronous Distributed MST Algorithm
TCS-2896	We leave it as an open problem whether a constant-factor approximation in sublinear (in n = 2k) space is possible	Streaming Algorithms for Geometric Steiner Forest
TCS-2902	What is the streaming complexity of computing Distance to ℓ Cliques?	Parameterized Complexity of Streaming Diameter and Connectivity Problems
TCS-2921	What is the space complexity of randomized streaming algorithms for hyperbolic groups?	Streaming Word Problems
TCS-2923	For example, how fast can we gather when the number of good agents is asymptotically smaller than the number of Byzantine agents?	Randomized Byzantine Gathering in Rings
TCS-2924	Does a similar tradeoff hold for the dynamic size counting problem?	Dynamic Size Counting in Population Protocols
TCS-2941	Such a model seems to be quite relevant to our work since one of the main challenges in our approximation algorithms is to find the […]	Massively Parallel Algorithms for Small Subgraph Counting
TCS-2945	We conjecture that our line formation protocol is optimal, i.e., no population protocol can construct a line containing all agents in parallel time o(n log […]	Brief Announcement: New Clocks, Fast Line Formation and Self-Replication Population Protocols
TCS-2973	So if one is to believe that α-fractionally log-concave distributions behave like distributions over (1/α)-sized sets, does that mean order-(1/α) marginals are sufficient to get […]	Domain Sparsification of Discrete Distributions Using Entropic Independence
TCS-2974	However, we do not know whether the classes i=1 Bβi Cγi and Qk βi′ γi′ i=1 B C are systematically incomparable for all distinct sequences […]	Computing Power of Hybrid Models in Synchronous Networks
TCS-2998	Are there any non-symmetric rules that do not ultimately converge up to a shift and are poly(1/ϵ)-testable?	Testing Dynamic Environments: Back to Basics
TCS-3003	Is it the case that for every GSF-local property P = ∪n∈N Pn , there is a sequence F = (Fn )n∈N that is non-propagating […]	GSF-Locality Is Not Sufficient For Proximity-Oblivious Testing
TCS-3008	Is there an efficient distributed algorithm to minimize disagreements with an approximation guarantee strictly better than 3 (in expectation), or worst-case guarantees for general graphs?	Massively Parallel Correlation Clustering in Bounded Arboricity Graphs
TCS-3020	In other words, does there exist a stencil 𝐻 such that rkF (𝐻) > Υ(𝐻) for every field F?	Visible Rank and Codes with Locality
TCS-3075	In particular, for the list of problems with determinant-based counting in Section 1, designing RNC sampling algorithms remains open.	Sampling Arborescences in Parallel
TCS-3087	Similarly, we conjecture that Twins can cover timing violations in a class of “lock-step” synchronous protocols.	Twins: BFT Systems Made Robust
TCS-3093	We remark that it uses instances with optk = 1, and we do not know how to scale it to larger values of optk .	Round-Competitive Algorithms for Uncertainty Problems with Parallel Queries
TCS-3134	For example, the complexity of k-independent set detection in CONGEST remains open, whereas in the centralized setting, it is equivalent to k-clique – a correspondence […]	Beyond Distributed Subgraph Detection: Induced Subgraphs, Multicolored Problems and Graph Parameters
TCS-3150	However, many interesting collective behaviors for programmable matter require movement, and it remains an open problem to identify if any of these algorithms satisfy monotonicity.	The Canonical Amoebot Model: Algorithms and Concurrency Control
TCS-3192	First, is it possible to obtain near singularly optimal bounds using a deterministic algorithm?	Singularly Near Optimal Leader Election in Asynchronous Networks
TCS-3240	Is the word problem of the Baumslag group with power circuit representations as input P-complete?	Parallel Algorithms for Power Circuits and the Word Problem of the Baumslag Group
TCS-3243	What is the time complexity of graph class identification problems?	Population Protocols for Graph Class Identification Problems
TCS-3244	For future works, an interesting question would be: how fast can it converge to zero?	Arbitrarily Accurate Aggregation Scheme for Byzantine SGD
TCS-3245	What is the exact set of initial configurations that are gatherable?	Asynchronous Gathering in a Torus
TCS-3269	While, as discussed below, also for maximum weighted matching, it is in principle possible to find augmenting paths and cycles, in the weighted case, we […]	Distributed CONGEST Approximation of Weighted Vertex Covers and Matchings
TCS-3297	Second, is there a two-pass √ semistreaming algorithm for MBM that improves on the approximation factor of 2 − 2 and operates differently in the […]	On Two-Pass Streaming Algorithms for Maximum Bipartite Matching
TCS-3305	Are Dasf or DAsf included in dAsF?	A Classification of Weak Asynchronous Models of Distributed Computing
TCS-3320	It is unknown whether the logic LocTL[Si ] is as expressive as LocTL[Yi , Si ].	Wreath/Cascade Products and Related Decomposition Results for the Concurrent Setting of Mazurkiewicz Traces
TCS-3326	We conjecture that a characterization is possible for an extension with randomness covering at least the Ben-Or algorithm.	Characterizing Consensus in the Heard-Of Model
TCS-3351	We conjecture that there exists a majorization argument which is based on how often the process performs the averaging step.	Dynamic Averaging Load Balancing on Cycles
TCS-3353	For unary filters, we conjecture that SO-CEL+ has the same expressive power as MSO over unary filters.	On the Expressiveness of Languages for Complex Event Recognition
TCS-3375	In other words, is the (s)-DEDP problem FPT for fixed d?	A Relaxation of the Directed Disjoint Paths Problem: A Global Congestion Metric Helps
TCS-3377	What, if any, is the connection between RME and abortable mutual exclusion?	Recoverable, Abortable, and Adaptive Mutual Exclusion with Sublogarithmic RMR Complexity
TCS-3384	We do not know whether it is possible to compute approximate matchings, let alone set packings, using AC0 -circuits.	Kernelizing the Hitting Set Problem in Linear Sequential and Constant Parallel Time
TCS-3416	As there are only non-blocking linearizable (not relaxed) queue implementations using objects with consensus number two, it is an open question if there is such […]	Relaxed Queues and Stacks from Read/Write Operations
TCS-3434	While we derive similar bounds for Byzantine failures, it remains open if these are optimal or can be further improved.	Making Byzantine Consensus Live
TCS-3435	The question whether it is possible to relax this bound to allow better resilience remains open.	Not a COINcidence: Sub-Quadratic Asynchronous Byzantine Agreement WHP
TCS-3436	Based on this, we conjecture that probability-1 leader election using O(1) messages requires Ω(n) time to stabilize.	Message Complexity of Population Protocols
TCS-3439	We leave open the question of whether this gap can be tightened.	Graph Coloring via Degeneracy in Streaming and Other Space-Conscious Models
TCS-3468	Is there a protocol that achieves both an optimal number of agents and polynomial time exploration?	Tight Bounds for Deterministic High-Dimensional Grid Exploration
TCS-3469	Can they provide good estimates for the TWF policies, and if so, how much benefit can they bring?	Distributed Dispatching in the Parallel Server Model
TCS-3490	Can one design an algorithm that stores only poly(k) elements and beats 1/2 by a significant constant or, even better, gets 1 − 1/e?	Robust Algorithms Under Adversarial Injections
TCS-3521	What is the time complexity of the uniform bipartition problem?	Uniform Bipartition in the Population Protocol Model with Arbitrary Communication Graphs
TCS-3544	Moreover, replacing the σk+1 with εα, it almost answers the kernel PCA nnz(X) question of Musco and Woodruff [34] – however our algorithm does not […]	The GaussianSketch for Almost Relative Error Kernel Distance
TCS-3559	While the construction techniques presented in this paper can be easily extended to upper bound the access cost of some parameter values outside the merge […]	Convertible Codes: New Class of Codes for Efficient Conversion of Coded Data in Distributed Storage
TCS-3599	A few cases remain open questions; we conjecture that they should be unsolvable.	Wait-Free Solvability of Equality Negation Tasks
TCS-3612	What is the 1-round bandwidth complexity of MemDetect(K3 ) under edge insertions?	Distributed Detection of Cliques in Dynamic Networks
TCS-3614	Second, can one reduce the running time or provide a matching lower bound?	Deterministic Leader Election in Programmable Matter
TCS-3615	However, we conjecture, for sub-Gaussian noise that P |Xi − ∅(t) | ≥ x = O(exp−x ) (cf.	Noidy Conmunixatipn: On the Convergence of the Averaging Population Protocol
TCS-3620	Can Chaink be used to form novel lower bounds for other kinds of problems?	Independent Sets in Vertex-Arrival Streams
TCS-3624	Unfortunately, we do not know if the exponential size of ϕ′ is unavoidable.	A Formal Framework for Complex Event Processing
