TCS-1457	Could we take a similar approach using lattice duality?	Could we take a similar approach using lattice duality?
TCS-3935	We leave it as an open problem to understand the convergence of the iterate-averaged, constant step-size algorithm in the case of Gaussian noise (Bougerol and […]	We leave it as an open problem to understand the convergence of the iterate-averaged, constant step-size algorithm in the case of Gaussian noise (Bougerol and […]
TCS-5003	Provable Accelerated Convergence of Nesterov’s Momentum for Deep ReLU Neural Networks — Explicit open question on PDF page 1	While gradient descent converges linearly under such conditions, it remains an open question whether Nesterov’s momentum enjoys accelerated convergence under similar settings and assumptions.
TCS-0008	Linear Programming: Strongly Polynomial?	Linear Programming: Strongly Polynomial?
TCS-1241	Indeed, improving on the competitive ratio of O(log n) [24, 14], even with unlimited space usage, remains open.	Indeed, improving on the competitive ratio of O(log n) [24, 14], even with unlimited space usage, remains open.
TCS-1267	5 Open Problem We conjecture that Greedy has a constant competitive ratio, possibly 2, for online packet routing even when packet lengths are unbounded.	5 Open Problem We conjecture that Greedy has a constant competitive ratio, possibly 2, for online packet routing even when packet lengths are unbounded.
TCS-1394	Whether this rate is tight for F TPL introduced by any perturbation scheme remains an open question.	Whether this rate is tight for F TPL introduced by any perturbation scheme remains an open question.
TCS-1416	Does there exist an algorithm for adversarial order that achieves a constant competitive ratio with O(min{ln ln M, lnnn }) choices in expectation?	Does there exist an algorithm for adversarial order that achieves a constant competitive ratio with O(min{ln ln M, lnnn }) choices in expectation?
TCS-1634	There is a deterministic algorithm for the time-optimal k-server problem with a competitive ratio of 2k − 1 on general metric spaces.	There is a deterministic algorithm for the time-optimal k-server problem with a competitive ratio of 2k − 1 on general metric spaces.
TCS-1810	Is it possible to achieve polylogarithmic competitive ratio without knowledge of f (N )?	Is it possible to achieve polylogarithmic competitive ratio without knowledge of f (N )?
TCS-2032	We conjecture that there exists a polynomial-time deterministic strategy achieving constant competitive ratio on graphs with edge (s, t)-cuts of bounded size.	We conjecture that there exists a polynomial-time deterministic strategy achieving constant competitive ratio on graphs with edge (s, t)-cuts of bounded size.
TCS-2086	We do not know any non-trivial bounds on the competitive ratio of WkS-SPC and it is not even clear whether it is easier or harder […]	We do not know any non-trivial bounds on the competitive ratio of WkS-SPC and it is not even clear whether it is easier or harder […]
TCS-2267	We note that our algorithm Icb has non-polynomial running time; we conjecture that without resource augmentation, achieving a subquadratic competitive ratio in polynomial time is […]	We note that our algorithm Icb has non-polynomial running time; we conjecture that without resource augmentation, achieving a subquadratic competitive ratio in polynomial time is […]
TCS-2362	For deterministic All-or-One Paging, we conjecture that the optimal ratio is 2k − 1. (For k = 2 we can show an upper bound of […]	For deterministic All-or-One Paging, we conjecture that the optimal ratio is 2k − 1. (For k = 2 we can show an upper bound of […]
TCS-2473	First, while we have some indication that it is hard to obtain algorithms with a competitive ratio better than Θ( n1 ), we leave open […]	First, while we have some indication that it is hard to obtain algorithms with a competitive ratio better than Θ( n1 ), we leave open […]
TCS-3122	It remains open to determine the competitive ratio of BestVC for the general (hyper)graph orientation problem, and to investigate how the algorithm behaves if it […]	It remains open to determine the competitive ratio of BestVC for the general (hyper)graph orientation problem, and to investigate how the algorithm behaves if it […]
TCS-3174	That is, what competitive ratio can be achieved without the rankable assumption?	That is, what competitive ratio can be achieved without the rankable assumption?
TCS-3202	What is the best achievable competitive ratio?	What is the best achievable competitive ratio?
TCS-3230	For example, can we recover acceleration in settings such as finite-sum convex optimization (i.e. for stochastic gradient methods) [3] or composite optimization [7]?	For example, can we recover acceleration in settings such as finite-sum convex optimization (i.e. for stochastic gradient methods) [3] or composite optimization [7]?
TCS-3239	What are the main structural obstacles in graphs that prohibit online algorithms with small competitive ratios?	What are the main structural obstacles in graphs that prohibit online algorithms with small competitive ratios?
TCS-3314	For example, is it possible to obtain a finite competitive ratio for chasing 3 arbitrary sets on the real line?	For example, is it possible to obtain a finite competitive ratio for chasing 3 arbitrary sets on the real line?
TCS-3360	We conjecture that the actual competitive ratio of nn is actually much closer to the lower bound we proved, which is 7.61.	We conjecture that the actual competitive ratio of nn is actually much closer to the lower bound we proved, which is 7.61.
TCS-3398	It remains open whether the problem, where m is not part of the input, admits an online algorithm with a better competitive ratio P as […]	It remains open whether the problem, where m is not part of the input, admits an online algorithm with a better competitive ratio P as […]
TCS-3491	A natural question arises: can we obtain constant competitive algorithms for weighted paging with fewer predictions?	A natural question arises: can we obtain constant competitive algorithms for weighted paging with fewer predictions?
TCS-3505	Is there a 2k + 1-competitive deterministic algorithm for the k-server problem with delays on any finite metric space?	Is there a 2k + 1-competitive deterministic algorithm for the k-server problem with delays on any finite metric space?
TCS-3638	6 Final Comments Establishing the optimal competitive ratio for line chasing with memory remains an open problem.	6 Final Comments Establishing the optimal competitive ratio for line chasing with memory remains an open problem.
TCS-3815	For example, which problems can be solved optimally or almost optimally without knowledge of the amount of resources available in the future (as in the […]	For example, which problems can be solved optimally or almost optimally without knowledge of the amount of resources available in the future (as in the […]
TCS-3878	We conjecture that there is a randomized algorithm for convex-MPMD with competitive ratio O(log k) but no such algorithm with competitive ratio O(1).	We conjecture that there is a randomized algorithm for convex-MPMD with competitive ratio O(log k) but no such algorithm with competitive ratio O(1).
TCS-4487	Thus, it remains an open problem if O(n/c) bits of advice suffice to achieve a competitive ratio of c for the weighted version of minASG.	Thus, it remains an open problem if O(n/c) bits of advice suffice to achieve a competitive ratio of c for the weighted version of minASG.
TCS-4983	Randomized k-Server in Polynomial Time — Explicit open question on PDF page 4	The question whether an o(k)-competitive randomized algorithm exists for the k-server problem on arbitrary metrics remains open.
TCS-4984	Fairness in the k-Server Problem — Explicit open question on PDF page 6	However, it remains open if fairness can be achieved against stronger online adversaries or, potentially, deterministically.
TCS-5030	A Decomposition Approach to the Weighted k-Server Problem — Explicit open question on PDF page 3	Closing the exponential gap between the 1.62 upper bound and the Ω(2k ) lower bound on the randomized competitive ratio is still an open problem.
TCS-5052	Tight analyses for non-smooth stochastic gradient descent — Explicit open question on PDF page 2	In fact, even for the simpler case of (non-stochastic) gradient descent, we do not know whether the behavior of the last iterate... is tight.
TCS-5182	Online Sorting and Online TSP: Randomized, Stochastic, and High-Dimensional — Unresolved-question passage on page 14	More broadly, is the optimal competitive ratio O( n) for arbitrary metrics?
TCS-5220	Online Paging with Heterogeneous Cache Slots — Unresolved-question passage on page 16	For Weighted All-Or-One Paging, is the optimal randomized ratio O(polylog(k))?
TCS-5251	Orienting (Hyper)graphs Under Explorable Stochastic Uncertainty — Unresolved-question passage on page 15	Our analysis suggests that, to achieve a competitive ratio better than 1.5, algorithms have to employ more adaptivity; exploiting this possibility remains an open problem.
TCS-5377	A Unified Worst Case for Classical Simplex and Policy Iteration Pivot Rules — Explicit open question on PDF page 3	While it remains open whether LPs can be solved in strongly polynomial time, there are several, both deterministic [32, 34] and randomized [7, 17, 33], […]
TCS-5514	Efficient Algorithms and Hardness Results for the Weighted k-Server Problem — Explicit open question on PDF page 2	Unlike the k-Server and Paging problems, it is unknown if randomization qualitatively improves the competitive ratio for Weighted k-Server, although the best known lower bound […]
TCS-5587	Online Disjoint Set Covers: Randomization Is Not Necessary — Explicit open question on PDF page 5	It is an open question whether our estimate of the competitive ratio is tight: it could possibly be improved by relating the gain of an […]
TCS-2366	Can we get a constant approximation algorithm (or even an optimal algorithm) with exactly ℓ-resource augmentation?	Can we get a constant approximation algorithm (or even an optimal algorithm) with exactly ℓ-resource augmentation?
TCS-2925	Furthermore, if yes, can the approximation guarantees be improved?	Furthermore, if yes, can the approximation guarantees be improved?
TCS-0699	Applications of Correlated Sampling from the Hypersimplex	Applications of Correlated Sampling from the Hypersimplex
TCS-1381	Is this inherent, and is Θ(log k) the optimal stretch given Properties P1 and P2?	Is this inherent, and is Θ(log k) the optimal stretch given Properties P1 and P2?
TCS-2315	Regarding the case when one of the functions fi has only polynomially bounded minimizers, there are a few questions left open: First, what is the […]	Regarding the case when one of the functions fi has only polynomially bounded minimizers, there are a few questions left open: First, what is the […]
TCS-1554	What are the optimal competitive ratios for eventually/never-committing schedulers?	What are the optimal competitive ratios for eventually/never-committing schedulers?
TCS-6044	Online Packing of Orthogonal Polygons — Explicit open question on PDF page 15	This includes the problem of determining the best competitive ratio for online bin packing of L-shapes, as it remains open whether it it possible to […]
TCS-2696	However, it remains open whether an improved consistency or an error-dependent competitive ratio are possible.	However, it remains open whether an improved consistency or an error-dependent competitive ratio are possible.
