category_number,category,key,title,question_cs,importance_cs,sources,near_existing,novelty_note_cs
2,Computational geometry and metric spaces,lang-plaut,Lang–Plaut problem,"Vkládá se každá doubling podmnožina Hilbertova prostoru bi-Lipschitzovsky do konečněrozměrného eukleidovského prostoru, s parametry závislými jen na doubling konstantě?",Základní otázka redukce dimenze podle vnitřní geometrie dat.,https://web.math.princeton.edu/~naor/homepage%20files/assouad-N%28K%29.pdf | https://www.its.caltech.edu/~sryoo/teaching/Syllabus_Ma191a_2024F.pdf,,V prohledaných formulacích katalogu nebyla nalezena stejná otázka.
2,Computational geometry and metric spaces,gnrs,Gupta–Newman–Rabinovich–Sinclair conjecture,Pro každou vyloučenou minorovou strukturu H: vkládají se všechny metriky H-minor-free grafů do ℓ₁ s konstantním zkreslením závislým jen na H?,Spojuje strukturu metrik se základní mezerou mezi multicommodity flow a sparsest cut.,https://www.wisdom.weizmann.ac.il/~robi/papers/CKR-TreewidthSparsestCut-APPROX10.pdf | https://courses.grainger.illinois.edu/CS583/sp2026/approx-algorithms-lecture-notes.pdf,,V prohledaných formulacích katalogu nebyla nalezena stejná otázka.
2,Computational geometry and metric spaces,weak-nets,Optimal size of weak ε-nets for convex ranges,"Jaká je asymptoticky nejmenší velikost slabé ε-sítě pro libovolnou konečnou množinu bodů v pevné dimenzi, vzhledem ke všem konvexním rozsahům?",Klasický základ geometrického samplingu; velká mezera mezi známými mezemi přetrvává už v rovině.,https://arxiv.org/abs/1808.02686,"TCS-4428, TCS-6419",Katalog má otázku pro pohybující se body. Obecnou statickou extremální otázku je třeba odlišit od tohoto kinetického modelu.
2,Computational geometry and metric spaces,steiner-removal,Constant-distortion Steiner point removal,"Lze z každého váženého grafu s terminály vytvořit minor jen na těchto terminálech a vhodně jej převážit tak, aby D(u,v) ≤ D_minor(u,v) ≤ C·D(u,v) pro všechny terminály a univerzální C?",Základní problém komprese metrik a síťových struktur při zachování vzdáleností.,https://epubs.siam.org/doi/10.1137/1.9781611977912.191,,Planární a obecně minor-free případ byl vyřešen; kandidátem je obecný graf.
2,Computational geometry and metric spaces,unknot,Unknot recognition in polynomial time,"Lze v čase polynomiálním v délce diagramu rozhodnout, zda zadaný uzel je triviální?",Jeden ze základních výpočetních problémů topologie; známé certifikáty ani praktické algoritmy zatím nedávají polynomiální algoritmus.,https://drops.dagstuhl.de/storage/00lipics/lipics-vol332-socg2025/html/LIPIcs.SoCG.2025.55/LIPIcs.SoCG.2025.55.html,,V prohledaných formulacích katalogu nebyla nalezena stejná otázka.
2,Computational geometry and metric spaces,earthmover-l1,Optimal ℓ₁ distortion of planar Earth Mover Distance,Určit optimální zkreslení při bi-Lipschitzově vnoření transportní metriky na n×n mřížce do ℓ₁.,"Základní otázka, jak účinně lze reprezentovat podobnost obrazů a transportní vzdálenosti.",https://www.weizmann.ac.il/math/gideon/sites/math.gideon/files/uploads/planar-earthmover.pdf,"TCS-0973, TCS-0990",Existující otázky řeší velikost sketchů a paměť streamingu; zde jde o optimální geometrické zkreslení samotného embeddingu.
3,Computational complexity,p-pspace,P versus PSPACE,Platí P = PSPACE?,Základní rozdíl mezi efektivním výpočtem a možností efektivně ukládat stav výpočtu.,https://www.math.ias.edu/files/Book-online-Aug0619.pdf,,P vs NP už je zahrnuto; rovnost P a PSPACE není ekvivalentní otázka. Další sousední separace z téže hierarchie nepřidáváme jen pro navýšení počtu.
3,Computational complexity,l-p,L versus P,Lze každý polynomiálně časový výpočet provést s logaritmickou pracovní pamětí?,Kanonická hranice síly paměti v efektivním výpočtu.,https://www.math.ias.edu/files/Book-online-Aug0619.pdf,TCS-5150,TCS-5150 se zabývá neuniformní formulací přes branching programs a proof systems; zde jde o uniformní třídy.
3,Computational complexity,ph,Infinitude of the polynomial hierarchy,Je polynomiální hierarchie striktní na všech konečných úrovních?,"Ptá se, zda každá další alternace existenčních a univerzálních důkazů přidává výpočetní sílu.",https://www.math.ias.edu/files/Book-online-Aug0619.pdf,,"Jedna společná otázka pro celou hierarchii, nikoli série uměle oddělených sousedních separací."
3,Computational complexity,nl-ul,NL versus UL,Lze každý nondeterministický logspace výpočet nahradit výpočtem s nejvýše jednou přijímající větví?,Základní otázka jednoznačnosti svědků a izolace cest v malém prostoru.,https://eccc.weizmann.ac.il/report/2025/077/download,TCS-0004,L vs NL je silnější derandomizační/cestová hranice; NL vs UL má odlišný cíl: jediného přijímajícího svědka.
3,Computational complexity,berman-hartmanis,Berman–Hartmanis isomorphism conjecture,"Jsou všechny NP-úplné jazyky navzájem izomorfní bijekcí, kterou i její inverzi lze počítat v polynomiálním čase?",Klasická otázka jednotné struktury NP-úplnosti.,https://eccc.weizmann.ac.il/report/2025/157/download/,,V prohledaných formulacích katalogu nebyla nalezena stejná otázka.
3,Computational complexity,tc0-nc1,TC⁰ versus NC¹,"Je NC¹ obsaženo v neuniformní TC⁰, nebo existuje funkce počitatelná logaritmicky hlubokými obvody vyžadující superpolynomiální konstantně hluboké threshold obvody?",Jedna z hlavních bariér explicitních dolních mezí pro obvody s majority/threshold branami.,https://web.vu.lt/mif/s.jukna/boolean/index.html | https://drops.dagstuhl.de/storage/00lipics/lipics-vol360-fsttcs2025/LIPIcs.FSTTCS.2025.26/LIPIcs.FSTTCS.2025.26.pdf,"TCS-2243, TCS-1054",TCS-2243 řeší dichotomii jazykové podtřídy; TCS-1054 exponenciální dolní meze pro hloubku dvě. Zde jde o všechny konstantní hloubky a superpolynomiální separaci.
4,Algorithms & data structures,mst-linear,Deterministic linear-time minimum spanning tree,Existuje deterministický O(m+n) algoritmus pro MST s porovnáváním libovolných reálných vah?,Zbývající základní mezera mezi deterministickým a randomizovaným řešením jedné z ústředních grafových úloh.,https://people.csail.mit.edu/karger/Papers/mst.pdf,TCS-0403,Euclidean MST a distributed MST jsou jiné vstupní/výpočetní modely.
4,Algorithms & data structures,integer-sort,Linear-time integer sorting,Lze n celých čísel po jednom wbitovém slově seřadit na word RAM v očekávaném O(n) čase pro obecné w ≥ log n?,Základní otázka využitelnosti bitových operací v jednom z nejdůležitějších algoritmických primitiv.,https://www.cs.cmu.edu/~15451-s25/slides/lecture03.pdf | https://cs.au.dk/~gerth/papers/swat14sort.pdf,,Polynomiálně omezený číselný univerzum se dá lineárně řadit radix sortem; kandidát musí výslovně připouštět obecnou délku slova.
4,Algorithms & data structures,general-matching,Almost-linear-time maximum matching in general graphs,Lze v obecném neorientovaném grafu nalézt přesný maximum-cardinality matching v čase m^(1+o(1))?,Významná zbývající hranice rychlých algoritmů pro základní kombinatorickou optimalizaci.,https://arxiv.org/abs/2409.14849,TCS-4499,TCS-4499 se ptá na kvantovou query complexity. Téměř lineární bipartitní případ neřeší obecné grafy.
4,Algorithms & data structures,triangle-linear,Linear-time triangle detection,"Lze v libovolném neorientovaném grafu rozhodnout existenci trojúhelníku v O(m+n), případně m^(1+o(1)), čase?",Základní hranice rychlosti lokálních grafových výpočtů a důležitý opěrný bod jemné složitosti.,https://arxiv.org/abs/1402.0054,"TCS-2997, TCS-1160",CONGEST a zakázané podgrafy mají užší model; jde o běžný sekvenční algoritmus pro obecný graf. Neověřené preprinty tvrdící linearitu nelze vydávat za přijaté řešení.
4,Algorithms & data structures,static-cellprobe,Superlogarithmic static cell-probe lower bounds,"Prokázat superlogaritmický počet paměťových přístupů pro explicitní statickou úlohu s O(log n)bitovým dotazem, O(log n)bitovými slovy a téměř lineární pamětí.",Jedna z hlavních dosud nepřekonaných bariér nepodmíněných dolních mezí pro datové struktury.,https://eccc.weizmann.ac.il/report/2025/155/download/,"TCS-0949, TCS-5850",TCS-0949 se ptá na vektorový dotaz délky n a dolní mez ω(n); nejde o obecnou logaritmickou bariéru u krátkých dotazů. Výsledek 2025 pro náhodný operátor a velmi mnoho dotazů tento explicitní cíl neřeší.
4,Algorithms & data structures,deterministic-static-dictionary,Deterministic linear-time construction of static dictionaries,"Lze ze seznamu n různých celočíselných klíčů deterministicky v O(n) čase zkonstruovat statický slovník s O(n) slovy paměti a O(1) nejhorším časem dotazu na členství a přidružená data? Uvažujme standardní word-RAM s w = Θ(log n), aritmetikou včetně násobení a bitovými operacemi; příprava datové struktury se započítává do času.","Klasická otázka, zda náhodnost přináší nezbytnou výhodu už při konstrukci jedné z nejzákladnějších datových struktur. Náhodné konstrukce optimálního očekávaného lineárního času známe; obecné deterministické konstrukce mají stále režii.",https://www.brics.dk/RS/99/48/BRICS-RS-99-48.pdf | https://doi.org/10.1007/978-3-540-70575-8_8 | https://epubs.siam.org/doi/10.1137/23M1567618 | https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.CPM.2026.25,"TCS-1730, TCS-2389, TCS-4997, TCS-4910","TCS-1730 řeší praktickou rychlost MPHF blízko informační mezi; TCS-2389 learned monotone hashing v praxi; TCS-4997 explicitní konstrukce speciálních disperserů pro neadaptivní cell-probe model; TCS-4910 selhání rodin hashovacích funkcí s omezeným náhodným popisem. Žádná není obecná deterministická konstrukce statického slovníku. Předchozí návrh integer-sort požaduje třídění, nikoli O(1) dotazy slovníku. Není ani v návrhu pro malé kategorie."
5,Learning theory,sample-compression,Linear-size sample compression conjecture,"Má každá binární konceptová třída s VC dimenzí d vzorkové kompresní schéma velikosti O(d), nezávisle na počtu příkladů?","Základní otázka, zda se statistická složitost učení přesně odráží v možnosti komprimovat naučenou informaci.",https://proceedings.mlr.press/v272/attias25a.html | https://arxiv.org/abs/2604.02949 | https://arxiv.org/abs/2603.23561,"TCS-1539, TCS-4792, TCS-1942, TCS-4999, TCS-3787, TCS-5148","Existující otázky řeší robustní, multiclass, ample či reálné varianty. Obecná binární VC otázka není tatáž. Údajný důkaz arXiv:2603.23561 byl stažen; poslední verze uvádí chybu v Lemma 2."
5,Learning theory,lpn,Efficient learning parity with noise,"Lze neznámou paritu n bitů naučit z uniformních příkladů s nezávislým konstantním šumem η∈(0,1/2) v polynomiálním čase?",Kanonický test hranice výpočetní naučitelnosti a základ široké rodiny kryptografických předpokladů.,https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2021.60,"TCS-3117, TCS-6454, TCS-0453",Paměťové dolní meze a redukce k variantám LPN nejsou obecná otázka polynomiální naučitelnosti.
5,Learning theory,juntas,Breaking the computational barrier for learning juntas,"Lze libovolnou k-juntu na n proměnných naučit z uniformních náhodných příkladů v čase poly(n,2^k,1/ε), místo prohledávání n^{Ω(k)} možností?",Základní úloha identifikace malého počtu relevantních proměnných bez předpokladů o tvaru cílové funkce.,https://openreview.net/pdf?id=wszZlP1K14,"TCS-1823, TCS-1400, TCS-3717, TCS-6043, TCS-3304","Testing junt, učení junta-distribucí a učení při dalších předpokladech jsou odlišné otázky. Uvedený čas je hlavní ambiciózní cíl; už n^{o(k)} by překonal klasickou bariéru."
5,Learning theory,two-halfspaces,Distribution-free learning of intersections of two halfspaces,"Existuje improper PAC algoritmus pro průnik dvou γ-margin halfspaces nad jednotkovou koulí, s časem poly(d,1/γ,1/ε), pro libovolné rozdělení příkladů?","Jedna z nejjednodušších nelineárních tříd, u nichž stále není pochopena efektivní distribučně nezávislá naučitelnost.",https://proceedings.mlr.press/v291/diakonikolas25a.html,TCS-5088,TCS-5088 se výslovně ptá na plnou polynomialitu při silných distribučních předpokladech. Zde nejsou takové předpoklady a postačují dvě halfspaces; proper hardness sama tuto otázku neřeší.
5,Learning theory,mansour,Mansour’s conjecture,"Je pro každé ε∈(0,1/2] Fourierovo spektrum každé s-termové DNF ε-koncentrované na nejvýše s^{O(log(1/ε))} koeficientech?",Zásadní hypotéza spektrální struktury naučitelných funkcí s přímým důsledkem pro efektivní agnostické učení DNF s dotazy.,https://www.ias.edu/sites/default/files/math/ODonnell_Fourier.pdf | https://eccc.weizmann.ac.il/report/2010/023/revision/3/download/,"TCS-0023, TCS-5358",Existující PAC-learning DNF otázky nejsou ekvivalentní analytické hypotéze. Patří na rozhraní learning a Boolean function analysis; zde zařazena podle důsledků pro učení.
6,Cryptography,owf-pke,Public-key encryption from one-way functions,"Implikuje existence jednosměrných funkcí existenci bezpečného šifrování s veřejným klíčem, pokud připustíme i non-black-box konstrukce?",Základní hranice mezi soukromým a veřejným klíčem.,https://mit6875.github.io/FA23SLIDES/lec10.pdf | https://eprint.iacr.org/2017/365.pdf,"TCS-0022, TCS-6453",Existence OWF z NP-hardness je jiná otázka. Známé black-box separace neřeší obecnou implikaci.
6,Cryptography,owf-owp,One-way permutations from one-way functions,Stačí existence kryptografických jednosměrných funkcí k existenci kryptografických jednosměrných permutací?,"Ptá se, zda požadavek bijektivity přidává zásadní kryptografickou sílu.",https://eprint.iacr.org/2015/752.pdf,,Jde o average-case kryptografickou bezpečnost a obecné konstrukce; nejde o pouze worst-case jednosměrnost ekvivalentní separacím tříd.
6,Cryptography,owf-crh,Collision-resistant hashing from one-way functions,"Implikují jednosměrné funkce existenci rodiny kolizně odolných hashovacích funkcí, bez omezení na black-box konstrukce?",Vyjasňuje minimální předpoklady pro základní nástroj autentizace a kryptografických závazků.,https://ieee-focs.org/FOCS-2018-Papers/pdfs/59f850.pdf,,Otázka je obecná implikace mezi primitivy; konkrétní hashovací konstrukce ani black-box nemožnost ji neřeší.
6,Cryptography,cpa-cca,Chosen-ciphertext security from ordinary public-key encryption,Lze z libovolné existence IND-CPA bezpečného PKE odvodit existenci IND-CCA2 bezpečného PKE bez dalších předpokladů?,"Základní otázka, zda obrana proti aktivním útokům vyžaduje silnější předpoklady než pasivní utajení.",https://theory.stanford.edu/~trevisan/cs276/projects.html,,Nejde o zesílení konkrétního schématu při dodatečných předpokladech ani pouze o black-box transformaci.
6,Cryptography,pke-ot,Oblivious transfer from public-key encryption,"Implikuje samotná existence PKE existenci oblivious transfer, při povolení obecných non-black-box konstrukcí?","Ptá se, zda základní veřejné šifrování postačuje k obecné bezpečné dvoustranné komputaci.",https://theory.stanford.edu/~trevisan/cs276/projects.html | https://eprint.iacr.org/2021/882.pdf,,Známá black-box separace ponechává obecnou implikaci otevřenou.
6,Cryptography,io-lwe,Indistinguishability obfuscation from LWE alone,Lze z běžného LWE předpokladu samotného sestrojit indistinguishability obfuscation pro všechny polynomiálně velké obvody?,Obfuskace je univerzální kryptografický nástroj; hlavní otázkou zůstává její založení na jednom široce studovaném předpokladu.,https://eprint.iacr.org/2021/1334.pdf | https://doi.org/10.1145/3785007,"TCS-0450, TCS-4097",Existence iO z kombinací předpokladů je známá. Konkrétní útoky na staré obfuskátory nejsou obecná konstrukce z LWE.
6,Cryptography,fhe-no-circular,Unleveled FHE without circular-security assumptions,"Lze z běžného LWE samotného sestrojit kompaktní fully homomorphic encryption pro neomezenou předem neurčenou polynomiální hloubku, bez dodatečného circular/KDM security předpokladu?",Řeší základní mezeru mezi teoretickým předpokladem bezpečnosti a univerzální homomorfní komputací.,https://eprint.iacr.org/2023/1376.pdf | https://cseweb.ucsd.edu/classes/wi23/cse208-a/FHEorg.pdf,,Leveled FHE s hloubkou určenou při generování klíče není řešením této otázky.
6,Cryptography,nizk-owf,Non-interactive zero knowledge from one-way functions,Stačí jednosměrné funkce pro NIZK argumenty pro všechny NP jazyky ve standardním common-reference-string modelu?,Vymezuje minimální předpoklady pro odstranění interakce ze zero-knowledge důkazů.,https://homepages.cwi.nl/~schaffne/courses/crypto/2014/papers/ComZK08.pdf,,"NIZK z LWE existuje. Kandidátem je slabší předpoklad OWF a standardní CRS model, nikoli random oracle."
7,"Distributed, parallel and sublinear algorithms",p-nc,P versus NC,Lze každý polynomiálně časový problém řešit uniformními polynomiálně velkými obvody polylogaritmické hloubky?,"Ústřední otázka, zda existují efektivní výpočty, které jsou nevyhnutelně sekvenční.",https://www.math.ias.edu/files/Book-online-Aug0619.pdf,,Jedna otázka pro obecnou parallelizovatelnost; nepočítáme zvlášť každou dvojici sousedních paralelních tříd.
7,"Distributed, parallel and sublinear algorithms",distributed-lll,Distributed Lovász Local Lemma in O(log log n) rounds,Lze distribuovaný LLL při konstantním závislostním stupni a dostatečném konstantním polynomiálním slacku řešit v LOCAL modelu s vysokou pravděpodobností za O(log log n) kol?,"Kanonická bariéra distribuovaného překonávání lokálních konfliktů, s důsledky pro širokou rodinu grafových algoritmů.",https://arxiv.org/abs/1705.04840 | https://arxiv.org/abs/2502.11690,TCS-0851,Node-averaged O(log log n) z roku 2025 není požadovaná worst-case složitost všech uzlů.
7,"Distributed, parallel and sublinear algorithms",congest-sssp,Optimal exact single-source shortest paths in CONGEST,"Lze přesné vzdálenosti od zdroje ve spojeném neorientovaném grafu s n vrcholy, nezápornými polynomiálně omezenými celočíselnými vahami a hop-diameter D spočítat randomizovaně v CONGEST za Õ(√n+D) kol s vysokou pravděpodobností?",Základní distribuované grafové primitivum s neuzavřenou mezerou mezi algoritmy a komunikačními dolními mezemi.,https://link.springer.com/article/10.1007/s00446-026-00505-2,,"Je nutné zachovat přesnost, omezení zpráv a závislost na průměru; aproximace ani LOCAL algoritmus nestačí."
7,"Distributed, parallel and sublinear algorithms",stream-reachability,Pass complexity of directed reachability in semi-streaming,"Lze orientovanou s–t dosažitelnost v libovolném pořadí hran rozhodnout s O(n polylog n) bity paměti za polylogaritmický počet průchodů, nebo jsou nutné polynomiálně mnohé?",Základní hranice možností zpracování velkých orientovaných grafů v malé paměti.,https://par.nsf.gov/servlets/purl/10488812,"TCS-6507, TCS-0993",TCS-6507 je paralelní work/depth otázka; TCS-0993 se ptá na aproximaci vzdáleností. Zde jde o přesnou rozhodovací dosažitelnost a počet streamingových průchodů.
7,"Distributed, parallel and sublinear algorithms",clique-lower,Explicit superconstant lower bounds in the congested clique,"Najít explicitní, centralizovaně polynomiálně řešitelnou rozhodovací grafovou úlohu s jedním výstupním bitem, která v deterministickém unicast congested clique vyžaduje ω(1) komunikačních kol.",Základní nepřekonaná bariéra nepodmíněných komunikačních dolních mezí ve velmi silném distribuovaném modelu.,https://people.csail.mit.edu/andyd/cong_clique_podc14.pdf | https://jukkasuomela.fi/doc/clique-complexity.pdf,"TCS-6501, TCS-0469","MIS algoritmus je konkrétní horní mez. Nejde o úlohy s velkým výstupem, kde omezení množství přenesených bitů dává přímou dolní mez."
7,"Distributed, parallel and sublinear algorithms",li-li-network-coding,The Li–Li undirected network coding conjecture,"Zvyšuje síťové kódování dosažitelnou propustnost neorientované kapacitní sítě s několika nezávislými unicast přenosy? Li–Li conjecture tvrdí, že každou asymptoticky dosažitelnou kombinaci rychlostí lze dosáhnout také frakčním multikomoditním směrováním. Kapacita hrany je společná oběma směrům; uzly smějí při kódování zprávy obecně kombinovat.","Základní otázka, zda výpočty uvnitř komunikační sítě poskytují výhodu oproti přeposílání informace. Hypotéza pochází z roku 2004 a má také aplikace v dolních mezích pro výpočet.",https://ics.uci.edu/~vazirani/isit.pdf | https://ieeexplore.ieee.org/document/11195643/ | https://chekuri.cs.illinois.edu/talks/DIMACS-netcoding.pdf | https://ntt-research.com/cis-elaine-shi-2020summit-transcript/,"TCS-0247, TCS-4610","TCS-0247 je Q13 v SIGACT sloupku o Kolmogorovově složitosti: vztah Shannonova a algoritmického informačního toku, nikoli kódování versus routing. Původní Q13 byl přečten. TCS-4610 se týká kvantových výpočtů pomocí měření. V předchozích 69 velkých ani 72 malých návrzích není Li–Li. Multicast a orientované sítě nejsou touto hypotézou pokryty. Zařazení do velké 7 je redakční volba; přirozený přesah je Coding and information theory."
8,Automata and formal languages,cerny,Černý conjecture,Má každý synchronizující deterministický automat s n stavy resetovací slovo délky nejvýše (n−1)²?,Jedna z nejznámějších dlouhodobých hypotéz teorie konečných automatů.,https://arxiv.org/abs/2608.24245,"TCS-0119, TCS-5818, TCS-6437","Dokončování částečných automatů, avoiding words a synchronizační hry nejsou obecná Černého hypotéza."
8,Automata and formal languages,star-height,Generalized star-height problem,"Existuje regulární jazyk, který nelze popsat regulárním výrazem s doplňkem a s nejvýše jednou úrovní vnoření Kleeneho hvězdy?",Základní otázka vyjadřovací síly regulárních výrazů s booleovskými operacemi.,https://hal.science/hal-00019978 | https://www.irif.fr/~jep/Problemes/starheight.html,,"Obyčejná star-height hierarchy bez doplňku je jiný, vyřešený problém."
8,Automata and formal languages,sakoda-sipser,Sakoda–Sipser problem,Lze každý obousměrný nedeterministický konečný automat simulovat obousměrným deterministickým automatem s polynomiálním počtem stavů?,Hlavní stavově-složitostní otázka síly nedeterminismu při obousměrném čtení vstupu.,https://journals.sagepub.com/doi/10.3233/FI-2013-879,,"Počítáme jednu obecnou otázku, nikoli samostatné omezené varianty simulace."
8,Automata and formal languages,concat-hierarchy,Decidability of the full concatenation hierarchy,"Existuje algoritmus pro membership ve všech úrovních dot-depth/first-order alternation hierarchy regulárních jazyků, pro libovolně zadanou pevnou úroveň?","Určuje, zda lze efektivně měřit logickou a algebraickou složitost regulárních jazyků v celé přirozené hierarchii.",https://arxiv.org/abs/2401.16195,,"Výsledky pro jednotlivé nízké úrovně, včetně dot-depth 3, neřeší všechny úrovně."
8,Automata and formal languages,word-length,Word equations with linear length constraints,Je rozhodnutelná splnitelnost soustav slovních rovnic doplněných lineárními aritmetickými podmínkami na délky proměnných?,"Základní mezera v teorii řetězců, přímo ovlivňující SMT a verifikaci programů pracujících s textem.",https://arxiv.org/abs/2406.02160 | https://www.lboro.ac.uk/departments/compsci/events/seminars/tcs/2025/word-equations/,TCS-0163,NP horní mez pro samotné slovní rovnice je jiná otázka; zde není známa ani rozhodnutelnost rozšířené teorie.
8,Automata and formal languages,macro-transducer,Equivalence of deterministic macro tree transducers,Je rozhodnutelná ekvivalence obecných deterministických macro tree transducerů?,"Ústřední otevřená otázka ekvivalence programů v expresivním, ale stále strukturovaném modelu stromových transformací.",https://doi.org/10.1016/j.ipl.2022.106332,,Ekvivalence s origin informací či omezenými parametry neřeší obecný model.
8,Automata and formal languages,fo-trees,First-order definability of regular tree languages,"Lze z automatu pro konečné uspořádané označené stromy rozhodnout, zda jeho jazyk definujeme first-order logikou se stromovými vztahy, včetně potomka/descendant?",Stromová obdoba základní efektivní charakterizace first-order definovatelných slovních jazyků.,https://lmcs.episciences.org/699 | https://www.mimuw.edu.pl/~bojan/paper,,Signaturu je třeba fixovat: zde standardní ordered-tree/forest setting s descendant a pořadím sourozenců. Výsledek pro omezenou alternaci není plná FO charakterizace.
8,Automata and formal languages,hors-equivalence,Equivalence of higher-order recursion schemes,"Je rozhodnutelné, zda dvě deterministická higher-order recursion schemes generují stejný potenciálně nekonečný označený strom?","Hlavní otevřená hranice ekvivalence vyšších rekurzivních programů, propojená s jazykovou ekvivalencí deterministických collapsible pushdown automatů.",https://www.cs.rhul.ac.uk/home/uxac009/files/papers/tocl17.pdf,"TCS-2107, TCS-5858, TCS-4644","Existující karty řeší real-time rozšíření, model checking kvantitativních vlastností nebo omezenou dosažitelnost. Obecná ekvivalence generovaných stromů je jiná otázka."
