TCS-1642	Quantum computation	Can the qubit count be improved beyond I + O(F ) without exceeding gate complexity O(I)?	Can the qubit count be improved beyond I + O(F ) without exceeding gate complexity O(I)?
TCS-2064	Learning theory	We do not know whether a dimension free bound can be achieved in CAT(κ) spaces for κ > 0.	We do not know whether a dimension free bound can be achieved in CAT(κ) spaces for κ > 0.
TCS-2255	Learning theory	Determining the optimal rate of estimating β-Hölder scores with β > 1 remains an open question. 2	Determining the optimal rate of estimating β-Hölder scores with β > 1 remains an open question. 2
TCS-3388	Learning theory	Finding the strongest notion of optimality attainable in general environments is an open problem (Hutter, 2009a).	Finding the strongest notion of optimality attainable in general environments is an open problem (Hutter, 2009a).
TCS-4921	Learning theory	Collision Resistance of Single-Layer Neural Nets — Unresolved-question passage on page 7	We leave confirming this conjecture, or finding algorithmic counterexamples, as an open direction for future work.
TCS-5383	Learning theory	Competing with the Empirical Risk Minimizer in a Single Pass — Explicit open question on PDF page 5	We conjecture that these tight generalization arguments described are attainable, although with a somewhat involved analysis.
TCS-5479	Learning theory	Robust Empirical Risk Minimization with Tolerance — Explicit open question on PDF page 1	Developing robust algorithms with provable guarantees has been an important research direction in recent years, both for parametric Khim and Loh (2018); Attias et al. […]
TCS-5607	Learning theory	Computational Limitations in Robust Classification and Win-Win Results — Explicit open question on PDF page 7	Indeed, for the Blum-Blum-Shub trapdoor PRG (and related constructions such as the one of Micali and Schnorr (Micali and Schnorr, 1991)) considered in BLPR, the […]
TCS-0450	Cryptography	Matrix challenge (for breaking obfuscation)	Matrix challenge (for breaking obfuscation)
TCS-1258	Cryptography	We also leave further cryptanalysis on its computational version, Problem 3, as an intriguing open problem.	We also leave further cryptanalysis on its computational version, Problem 3, as an intriguing open problem.
TCS-1573	Cryptography	Lastly, of course, the NP-hardness of improper learning for P/poly remains open.	Lastly, of course, the NP-hardness of improper learning for P/poly remains open.
TCS-1643	Cryptography	Assuming OWF, there is a polynomially evaluatable representation class n over {0, 1} that is efficiently defendable but not efficiently PAC learnable.	Assuming OWF, there is a polynomially evaluatable representation class n over {0, 1} that is efficiently defendable but not efficiently PAC learnable.
TCS-1877	Cryptography	We leave as an intriguing open problem the question of whether white-box learning of polynomial, or even logarithmic-degree polynomials, also can be collapsed down to […]	We leave as an intriguing open problem the question of whether white-box learning of polynomial, or even logarithmic-degree polynomials, also can be collapsed down to […]
TCS-2425	Cryptography	Notably, it is still an open question if SZK is closed under ≤Ptt reducibility.	Notably, it is still an open question if SZK is closed under ≤Ptt reducibility.
TCS-2532	Cryptography	Can one prove circuit lower bounds from the assumption that a (uniform) computationally-secure IO exists?	Can one prove circuit lower bounds from the assumption that a (uniform) computationally-secure IO exists?
TCS-2808	Cryptography	Although we do not know how to get a counterexample for the GL predicate applied to the pre-image of a one-way function, we can get […]	Although we do not know how to get a counterexample for the GL predicate applied to the pre-image of a one-way function, we can get […]
TCS-3365	Cryptography	Can we get similar group-based constructions in the plain model?	Can we get similar group-based constructions in the plain model?
TCS-3556	Cryptography	We note, however, that since (even publicly-verifiable) PoSW satisfying weaker notions of sequentiality (e.g., σ = T /2) are known to exist in the ROM […]	We note, however, that since (even publicly-verifiable) PoSW satisfying weaker notions of sequentiality (e.g., σ = T /2) are known to exist in the ROM […]
TCS-4097	Cryptography	For multi-input programs we do not know how to make α b independent of x.	For multi-input programs we do not know how to make α b independent of x.
TCS-4111	Cryptography	Is it possible to use indistinguishability obfuscators for proving or disproving BBH?	Is it possible to use indistinguishability obfuscators for proving or disproving BBH?
TCS-4578	Cryptography	Whether such a scheme is vulnerable to other attacks remains an open question for future research.	Whether such a scheme is vulnerable to other attacks remains an open question for future research.
TCS-4721	Cryptography	Hierarchical Structure in Attribute-Based Inner-Product Functional Encryption — Explicit open question on PDF page 13	Constructing an LWE-based AB-IPFE scheme with the vector-on-top hierarchy remains an open problem.
TCS-4722	Cryptography	Public Key Encryption Secure Against Quantum Leakage — Unresolved-question passage on page 4	Thus, we leave open the problem of separating classical and quantum leakage resilience in the adaptive leakage model.
TCS-4786	Cryptography	Synergy Between Circuit Obfuscation and Circuit Minimization — Explicit open question on PDF page 3	Yet, it is unknown if MCSP is NP-hard, or if MCSP is easy, say in BPP.
TCS-4805	Cryptography	Proofs of Useful Work from Arbitrary Matrix Multiplication (Invited Talk) — Unresolved-question passage on page 13	Is there a PoUW scheme for useful operations from more standard or well-studied assumptions (e.g., program obfuscation)?
TCS-4830	Cryptography	Kolmogorov Complexity Characterizes Statistical Zero Knowledge — Unresolved-question passage on page 16	Is it the case that ≤BPP bf and BPP ≤circ reducibilities differ for RK ?
TCS-4839	Cryptography	Lower Bounds for PIR with Preprocessing from Blackbox Cryptography — Unresolved-question passage on page 41	However, it remains open whether one could improve communication using Ω(n) server-side evaluations of a weaker oracle like a random oracle, which may be more […]
TCS-4972	Cryptography	Backdoor Defense, Learnability and Obfuscation — Unresolved-question passage on page 13	As far as we are aware, it is unknown whether the representation class of polynomial size n decision trees over {0, 1} is efficiently uniform-PAC […]
TCS-4974	Cryptography	Detecting and Correcting Computationally Bounded Errors: A Simple Construction Under Minimal Assumptions — Explicit open question on PDF page 6	It remains an open problem to achieve such results for randomized or self-seeded codes under any assumptions, and/or to to get provably secure seeded codes […]
TCS-4975	Cryptography	Witness Encryption and NP-Hardness of Learning — Explicit open question on PDF page 7	However, unfortunately, we do not know how to extend the results of the previous section to obtain non-trivial witness encryption from a randomized half-Levin reduction, […]
TCS-5073	Cryptography	On White-Box Learning and Public-Key Encryption — Explicit open question on PDF page 10	11 In the protocol of [16], Alice would instead choose random programs for Alice and Bob to run; we do not know how to prove […]
TCS-5136	Cryptography	Quantum Distinguishing Complexity, Zero-Error Algorithms, and Statistical Zero Knowledge — Explicit open question on PDF page 4	We do not know an exponential separation between quantum distinguishing complexity and approximate degree (for a partial function), since it is not even known if […]
TCS-5196	Cryptography	Indistinguishability Obfuscation of Null Quantum Circuits and Applications — Unresolved-question passage on page 6	While we do not know of a scheme secure in the standard model (in fact, we do not yet know how to construct any two-message […]
TCS-5622	Cryptography	Refuting the Dream XOR Lemma via Ideal Obfuscation and Resettable MPC — Unresolved-question passage on page 7	While we do not know how to use indistinguishability obfuscation to achieve our result, this recent progress suggests that perhaps achieving VBB obfuscation for circuit […]
TCS-5793	Cryptography	Conspiracies Between Learning Algorithms, Circuit Lower Bounds, and Pseudorandomness — Explicit open question on PDF page 7	However, these results and subsequent work leave open the question of whether hardness of learning in the usual case, i.e., the mere assumption that any […]
TCS-0956	Distributed, parallel and sublinear algorithms	Succinct Representation for Functions on Graphs	Succinct Representation for Functions on Graphs
TCS-1330	Distributed, parallel and sublinear algorithms	For instance, we leave open whether Gps can be adopted to Gillespie simulations [10] of chemical reaction networks in the same spirit as [15] did […]	For instance, we leave open whether Gps can be adopted to Gillespie simulations [10] of chemical reaction networks in the same spirit as [15] did […]
TCS-2541	Distributed, parallel and sublinear algorithms	Is there a practical permissionless protocol that can achieve deterministic safety and tolerate fewer than a half Byzantine nodes?	Is there a practical permissionless protocol that can achieve deterministic safety and tolerate fewer than a half Byzantine nodes?
TCS-2689	Distributed, parallel and sublinear algorithms	Regardless, whether there exists a protocol that achieves deterministic safety and termination in a hybrid synchronous model remains an open question.	Regardless, whether there exists a protocol that achieves deterministic safety and termination in a hybrid synchronous model remains an open question.
TCS-4102	Distributed, parallel and sublinear algorithms	1 The problem of communication lower bounds for general functions under the cash-register model remains open.	1 The problem of communication lower bounds for general functions under the cash-register model remains open.
TCS-4437	Distributed, parallel and sublinear algorithms	Therefore, if a party has input 0, the differentially-private output would be completely useless for this party, while there could be additional leakage from the […]	Therefore, if a party has input 0, the differentially-private output would be completely useless for this party, while there could be additional leakage from the […]
TCS-0143	Automata and formal languages	Succinctness of GFG pushdown automata	Succinctness of GFG pushdown automata
TCS-0152	Automata and formal languages	Membership in logical classes for (succinct) finite automata	Membership in logical classes for (succinct) finite automata
TCS-0160	Automata and formal languages	Some open problems inspired by Dejean’s conjecture	Some open problems inspired by Dejean’s conjecture
TCS-3438	Automata and formal languages	We also leave open whether downward closures are computable for this more expressive class.	We also leave open whether downward closures are computable for this more expressive class.
TCS-3594	Automata and formal languages	We leave open the question of whether alternating GFG automata of stronger acceptance conditions allow for doubly-exponential succinctness compared to deterministic automata.	We leave open the question of whether alternating GFG automata of stronger acceptance conditions allow for doubly-exponential succinctness compared to deterministic automata.
TCS-3606	Automata and formal languages	We conjecture that 2DPA are exponentially more succinct than PA, witnessed by the language Ln of Section 2.	We conjecture that 2DPA are exponentially more succinct than PA, witnessed by the language Ln of Section 2.
TCS-5954	Automata and formal languages	Parikh One-Counter Automata — Unresolved-question passage on page 14	Can a POCA for an OCA language be more succinct than the equivalent OCA (and similarly for a POCA for a PA language)?
TCS-5959	Automata and formal languages	What Can Oracles Teach Us About the Ultimate Fate of Life? — Explicit open question on PDF page 5	Even for one-dimensional cellular automata it can be Π01 -complete [6, 18]; we do not know if Game of Life reaches this upper bound.
TCS-1922	Semantics, logic and verification	An important question for future research is to explore empirical evidence for the usefulness of our new fault domains: how often are faulty implementations of […]	An important question for future research is to explore empirical evidence for the usefulness of our new fault domains: how often are faulty implementations of […]
TCS-3546	Semantics, logic and verification	We conjecture that this question can be answered positively, by leveraging our succinct flattenability result for 2-TVASS and by extending [7] with zero-tests on the […]	We conjecture that this question can be answered positively, by leveraging our succinct flattenability result for 2-TVASS and by extending [7] with zero-tests on the […]
TCS-5146	Semantics, logic and verification	LTL over Finite Words Can Be Exponentially More Succinct Than Pure-Past LTL, and vice versa — Unresolved-question passage on page 11	To the best of our knowledge, it is still an open question whether coSafety-LTL (resp., Safety-LTL) can be exponentially more succinct than F(pLTL) (resp., G(pLTL)).
TCS-5858	Semantics, logic and verification	Cost Automata, Safe Schemes, and Downward Closures — Explicit open question on PDF page 7	Whether model checking of possibly unsafe recursion schemes against properties described by B-automata is decidable remains an open problem.
TCS-6250	Semantics, logic and verification	On the Encodability of Reversible Process Calculi — Unresolved-question passage on page 17	Concerning behavioural equivalence, we conjecture that our last result can be made stronger by using instead of weak mutual simulation a relation inspired by correspondence […]
TCS-6314	Semantics, logic and verification	Good for Games Automata: From Nondeterminism to Alternation — Unresolved-question passage on page 1	We leave open the question of whether alternating GFG automata of stronger acceptance conditions allow for doubly-exponential succinctness compared to deterministic automata. 2012 ACM Subject […]
TCS-3893	Optimization and numerics	Are we able to (efficiently) recognize that a DW reformulation is minimal once we have optimally solved it?	Are we able to (efficiently) recognize that a DW reformulation is minimal once we have optimally solved it?
TCS-5694	Optimization and numerics	Inductive Bias of Multi-Channel Linear Convolutional Networks with Bounded Weight Norm — Explicit open question on PDF page 12	Based on our insights from the proof of single-channel SDP tightness in Theorem 6 and additional empirical evidence in Appendix E, we conjecture that SDP […]
TCS-2270	Approximation algorithms and hardness of approximation	Although we empirically observe that dWL ̸= dOTC in general, due to the approximation nature of the algorithms implemented, we do not know for sure […]	Although we empirically observe that dWL ̸= dOTC in general, due to the approximation nature of the algorithms implemented, we do not know for sure […]
TCS-2966	Approximation algorithms and hardness of approximation	It remains an open question to prove general results for TAP in the spirit of what has been done for the mean-field approximation by Jain […]	It remains an open question to prove general results for TAP in the spirit of what has been done for the mean-field approximation by Jain […]
TCS-3099	Approximation algorithms and hardness of approximation	Note that we do not know S1 , ..., Sk and hence we cannot determine whether a given long chord is consistent or not.	Note that we do not know S1 , ..., Sk and hence we cannot determine whether a given long chord is consistent or not.
TCS-3832	Approximation algorithms and hardness of approximation	Is SZK ⊆ ZPPMKTP , or equivalently, is Entropy Approximation in ZPPMKTP ?	Is SZK ⊆ ZPPMKTP , or equivalently, is Entropy Approximation in ZPPMKTP ?
TCS-5648	Parameterized and exact algorithms	On the Approximability of Parameterized Minimum Monotone Satisfying Assignment — Explicit open question on PDF page 2	Can the total-FPT-inapproximability4 be based on the minimal assumption W[2] ̸= FPT?
TCS-1751	Pseudorandomness and derandomization	Despite these attacks, we conjecture that parallel decomposition is possible under appropriate restrictions.	Despite these attacks, we conjecture that parallel decomposition is possible under appropriate restrictions.
TCS-4186	Pseudorandomness and derandomization	In particular, is there an analogous result for learning under the uniform distribution using random examples?	In particular, is there an analogous result for learning under the uniform distribution using random examples?
TCS-2092	Communication complexity and Boolean function analysis	We conjecture that polylogarithmic communication per client with negligible security can be achieved by instantiating both OPIR and IPIR with the Reed-Muller PIR construction with […]	We conjecture that polylogarithmic communication per client with negligible security can be achieved by instantiating both OPIR and IPIR with the Reed-Muller PIR construction with […]
TCS-6093	Communication complexity and Boolean function analysis	Distributed Query Monitoring through Convex Analysis: Towards Composable Safe Zones — Unresolved-question passage on page 16	Important problems remain open for future research, mainly relating the quality of safe zones to actual guarantees on the communication cost of monitoring, and extending […]
TCS-4817	Coding and information theory	Exponentially Fewer-Server PIR from Sparser $S$-Decoding Polynomials — Unresolved-question passage on page 48	Within the same framework and matching vector construction, what is the best communication-server tradeoff achievable in regimes where s is superconstant in n?
TCS-6095	Lattices and computational number theory	Strongly Unambiguous Büchi Automata Are Polynomially Predictable With Membership Queries — Unresolved-question passage on page 16	On a minor point, is there a proof that mod-2-MAs may be exponentially more succinct than NFAs without the assumption that there are infinitely many […]
TCS-3818	String algorithms and bioinformatics	Another important open question whose answer would have practical implications on searching the network space: is an optimal phylogenetic network with k + 1 reticulations […]	Another important open question whose answer would have practical implications on searching the network space: is an optimal phylogenetic network with k + 1 reticulations […]
TCS-4098	Automated reasoning and unification	Is there an IOP for succinct circuit satisfiability with linear proof length and query complexity?	Is there an IOP for succinct circuit satisfiability with linear proof length and query complexity?
TCS-6224	Automated reasoning and unification	Quadratic Time-Space Lower Bounds for Computing Natural Functions with a Random Oracle — Explicit open question on PDF page 2	In fact it remains open whether Circuit Sat has a generic algorithm in a random-access machine model running in O(n1.9999 ) time and O(log n) […]
TCS-0500	Database theory and finite model theory	Recognizing safe probabilistic queries	Recognizing safe probabilistic queries
TCS-1435	Database theory and finite model theory	Is the characterisation based on one-boundedness still sound and complete?	Is the characterisation based on one-boundedness still sound and complete?
TCS-5819	Database theory and finite model theory	Conjunctive Query Containment with Safe Negation and TGD One-Boundedness — Unresolved-question passage on page 16	Regarding complexity, what is the upper bound of identifying CQ¬ HT membership?
TCS-0240	Computability and algorithmic information	Communication for algorithmic secret-key agreement	Communication for algorithmic secret-key agreement
TCS-0253	Computability and algorithmic information	Multiparty communication for algorithmic key agreement	Multiparty communication for algorithmic key agreement
TCS-0258	Computability and algorithmic information	Random-oracle invariance of Gray–Wyner profiles	Random-oracle invariance of Gray–Wyner profiles
TCS-0262	Computability and algorithmic information	Secret-key agreement with adversarial side information	Secret-key agreement with adversarial side information
TCS-4229	Miscellaneous	Is a faster algorithm for r = 1 possible?	Is a faster algorithm for r = 1 possible?
