key	score	criterion	question	importance
fo-trees	94	decision	Given a finite tree automaton, can one decide whether its language of finite ordered labeled trees is first-order definable using the standard tree and sibling-order relations, including the descendant relation?	The tree analogue of effective first-order definability for regular word languages.
positivity	97	decision	Given an integer linear recurrence sequence of arbitrary order, can one decide whether all of its terms are nonnegative?	A foundational decision problem for linear dynamics and safety verification of numerical programs.
continuous-skolem	96	decision	Given rational matrices and vectors A, b, and c, can one decide whether c-transpose exp(At)b equals zero for some real t at least zero?	A central reachability question for continuous linear systems and their verification.
ssg	97	resources	Can one decide in polynomial time whether the optimal target-reachability probability in a simple stochastic game exceeds a given rational threshold?	A canonical boundary in efficient synthesis when adversarial choices and randomness interact.
mean-payoff	97	resources	Can the winner of a two-player integer-weighted mean-payoff game be determined in time polynomial in the bit length of the input?	A central question in quantitative verification and long-run control; pseudopolynomial time does not meet this target.
semisimplicial	95	construction	Can the type of semisimplicial types in all dimensions, with the required infinite coherence, be defined internally in ordinary homotopy type theory without adding a second layer of strict equality?	A basic obstacle to internal higher-category constructions and formalization of homotopical mathematics.
scott-lambda	94	construction	Is there a model of the untyped lambda calculus in Scott's continuous semantics whose equality of terms is exactly beta-convertibility?	The classical completeness question of whether denotational semantics can capture exactly the syntactic equality of a basic programming model.
h10q	99	decision	Is there an algorithm deciding whether an integer-coefficient polynomial in an arbitrary finite number of variables has a rational zero?	One of the central open boundaries of decidability in arithmetic.
poly-simplex	97	resources	Is there a simplex pivot rule that solves every rational linear program with a number of bit operations polynomial in the input length?	Would explain whether the simplex method's practical success admits a general polynomial-time guarantee.
poly-hirsch	95	tightness	Is the diameter of the vertex-edge graph of every d-dimensional polyhedron with n facets bounded by a polynomial in n and d?	A fundamental structural question about short paths between feasible bases in linear programming.
exact-sdp	97	decision	In the Turing model, can one decide in polynomial time whether a rationally specified affine subspace of symmetric matrices contains a positive semidefinite matrix?	A basic unresolved computational boundary of semidefinite optimization, including degenerate and weakly infeasible instances.
det-k-server	97	tightness	For every metric space, is there a deterministic k-competitive algorithm for the k-server problem?	One of the central longstanding conjectures in online optimization.
body-chasing	94	tightness	What is the optimal deterministic competitive ratio for convex body chasing in d-dimensional Euclidean space, closing the gap between the order-sqrt(d) lower bound and the order-d upper bound?	A canonical geometric model of online optimization with movement costs.
bco	94	tightness	What is the optimal minimax regret, as a function of dimension d and horizon T, for adversarial bandit convex optimization with one function-value observation per round under the standard bounded-domain and bounded-loss normalization?	Determines the price of limited feedback in a basic model of online convex optimization.
smale7	94	construction	Can one construct N points on the unit sphere in time polynomial in N whose logarithmic energy exceeds the global minimum by at most C log N for a universal constant C?	Smale's seventh problem asks for efficient construction of globally near-optimal configurations.
crouzeix	95	tightness	For every complex square matrix A and polynomial p, is the spectral norm of p(A) at most twice the maximum of |p(z)| over the numerical range W(A)?	A foundational question in matrix functional calculus with consequences for numerical matrix algorithms.
classical-quantum-verification	97	models	Does every BQP computation admit an interactive proof with a classical polynomial-time verifier, one efficient quantum honest prover, and soundness against an unbounded cheating prover, without cryptographic assumptions?	Asks whether quantum computation can be trusted solely through classically checked communication.
mansour	95	characterization	For every epsilon in (0,1/2], is the Fourier spectrum of every s-term DNF epsilon-concentrated on at most s raised to O(log(1/epsilon)) coefficients?	A central conjecture on the spectral structure of learnable functions, with consequences for agnostic DNF learning with queries.
hors-equivalence	95	decision	Is it decidable whether two deterministic higher-order recursion schemes generate the same potentially infinite labeled tree?	A major boundary in equivalence of higher-order recursive programs, connected to deterministic collapsible pushdown automata.
bgk	94	characterization	Is every weakly normalizing pure type system also strongly normalizing?	Asks whether the existence of a terminating reduction for every typable term forces every reduction of every such term to terminate.
li-li-network-coding	96	models	In every undirected capacitated network with independent multiple-unicast demands, is every asymptotically achievable network-coding rate vector also achievable by fractional multicommodity routing? Each edge's capacity is shared between both directions; coding may combine messages at intermediate nodes.	A basic question about whether computation inside a communication network increases its capacity, also connected with computational lower bounds.
general-sparse-linear-systems	97	resources	Can an arbitrary nonsingular sparse system Ax=b with n variables and m nonzero coefficients be solved to relative residual at most epsilon in m polylog(n kappa/epsilon) time, where kappa is its condition number? The target includes O(log n)-bit rational inputs, polynomial kappa, inverse-polynomial epsilon, finite-precision costs, and an explicit output vector.	A central complexity boundary in numerical linear algebra, with broad consequences for optimization and scientific computation.
deterministic-static-dictionary	94	construction	Can a static dictionary on n distinct integer keys be constructed deterministically in O(n) time, using O(n) words and supporting membership and associated-data queries in O(1) worst-case time? Use the standard word RAM with w=Theta(log n), arithmetic including multiplication, and bit operations; all preprocessing is charged.	The classical question of whether randomness is necessary for optimal construction of a basic data structure.
