id,venue,year,title,authors,area,url,doi,source_url,metadata_url,classification_method,classification_note,initial_area,rule_area
FOCS-2021-011,FOCS,2021,Unambiguous DNFs and Alon–Saks–Seymour,"Kaspars Balodis (University of Latvia, Latvia), Shalev Ben-David (University of Waterloo, Canada), Mika Göös (EPFL, Switzerland), Siddhartha Jain (EPFL, Switzerland), Robin Kothari (Microsoft Quantum, USA)",Computational and circuit complexity,https://doi.org/10.1109/FOCS52979.2021.00020,10.1109/FOCS52979.2021.00020,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Computational and circuit complexity
FOCS-2021-012,FOCS,2021,"Hardness vs Randomness, Revised: Uniform, Non-Black-Box, and Instance-Wise","Lijie Chen (Massachusetts Institute of Technology), Roei Tell (Massachusetts Institute of Technology)",Pseudorandomness and derandomization,https://doi.org/10.1109/FOCS52979.2021.00021,10.1109/FOCS52979.2021.00021,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Pseudorandomness and derandomization
FOCS-2021-013,FOCS,2021,Rapid Mixing of Glauber Dynamics via Spectral Independence for all Degrees,"Xiaoyu Chen (Nanjing University, China), Weiming Feng (University of Edinburgh, China; University of Edinburgh, United Kingdom), Yitong Yin (Nanjing University, China), Xinyuan Zhang (Nanjing University, China)",Enumeration and counting,https://doi.org/10.1109/FOCS52979.2021.00022,10.1109/FOCS52979.2021.00022,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Enumeration and counting
FOCS-2021-014,FOCS,2021,Spectral Independence via Stability and Applications to Holant-Type Problems,"Zongchen Chen (MIT, USA), Kuikui Liu (University of Washington, USA), Eric Vigoda (UC Santa Barbara, USA)",Enumeration and counting,https://doi.org/10.1109/FOCS52979.2021.00023,10.1109/FOCS52979.2021.00023,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Enumeration and counting
FOCS-2021-015,FOCS,2021,A Matrix Trickle-Down Theorem on Simplicial Complexes and Applications to Sampling Colorings,"Dorna Abdolazimi (University of Washington, USA), Kuikui Liu (University of Washington, USA), Shayan Oveis Gharan (University of Washington, USA)",Enumeration and counting,https://doi.org/10.1109/FOCS52979.2021.00024,10.1109/FOCS52979.2021.00024,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Computational topology,Enumeration and counting
FOCS-2021-016,FOCS,2021,Towards the Sampling Lovász Local Lemma,"Vishesh Jain (Stanford University, USA), Huy Pham (Stanford University, USA), Thuy-Duong Vuong (Stanford University, USA)",Enumeration and counting,https://doi.org/10.1109/FOCS52979.2021.00025,10.1109/FOCS52979.2021.00025,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Enumeration and counting
FOCS-2021-017,FOCS,2021,A Single-Exponential Time 2-Approximation Algorithm for Treewidth,"Tuukka Korhonen (University of Helsinki, Finland; University of Bergen, Norway)",Parameterized and exact algorithms,https://doi.org/10.1109/FOCS52979.2021.00026,10.1109/FOCS52979.2021.00026,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Approximation algorithms,Parameterized and exact algorithms
FOCS-2021-018,FOCS,2021,Parameterized Problems Complete for Nondeterministic FPT Time and Logarithmic Space,"Hans L. Bodlaender (Utrecht University, The Netherlands), Carla Groenland (Utrecht University, The Netherlands), Jesper Nederlof (Utrecht University, The Netherlands), Céline M. F. Swennenhuis (Eindhoven University of Technology, The Netherlands)",Parameterized and exact algorithms,https://doi.org/10.1109/FOCS52979.2021.00027,10.1109/FOCS52979.2021.00027,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Parameterized and exact algorithms,Parameterized and exact algorithms
FOCS-2021-019,FOCS,2021,PPSZ is Better than you Think,"Dominik Scheder (Shanghai Jiao Tong University, China)",Parameterized and exact algorithms,https://doi.org/10.1109/FOCS52979.2021.00028,10.1109/FOCS52979.2021.00028,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Parameterized and exact algorithms
FOCS-2021-020,FOCS,2021,At Most 3.55^n Stable Matchings,"Cory Palmer (University of Montana, USA), Dömötör Pálvölgyi (Eötvös Loránd University, Hungary)",Algorithmic game theory and fair division,https://doi.org/10.1109/FOCS52979.2021.00029,10.1109/FOCS52979.2021.00029,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Graph theory and graph algorithms,Algorithmic game theory and fair division
FOCS-2021-021,FOCS,2021,"An Invariance Principle for the Multi-slice, with Applications","Mark Braverman (Princeton University, USA), Subhash Khot (New York University, USA), Noam Lifshitz (The Hebrew University of Jerusalem, Israel), Dor Minzer (MIT, USA)",Combinatorics and graph polynomials,https://doi.org/10.1109/FOCS52979.2021.00030,10.1109/FOCS52979.2021.00030,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Combinatorics and graph polynomials
FOCS-2021-022,FOCS,2021,Applications of Random Algebraic Constructions to Hardness of Approximation,"Boris Bukh (Carnegie Mellon University, USA), Karthik C. S. (Rutgers University, USA), Bhargav Narayanan (Rutgers University, USA)",Approximation algorithms,https://doi.org/10.1109/FOCS52979.2021.00032,10.1109/FOCS52979.2021.00032,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Approximation algorithms,Approximation algorithms
FOCS-2021-023,FOCS,2021,Almost Optimal Inapproximability of Multidimensional Packing Problems,Sai Sandeep (Carnegie Mellon University),Approximation algorithms,https://doi.org/10.1109/FOCS52979.2021.00033,10.1109/FOCS52979.2021.00033,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Approximation algorithms,Approximation algorithms
FOCS-2021-024,FOCS,2021,Random Walks and Forbidden Minors III: poly(dε^-1)-time Partition Oracles for Minor-free Graph Classes,"Akash Kumar (EPFL), C. Seshadhri (University of California Santa Cruz, USA), Andrew Stolman (University of California Santa Cruz, USA)",Graph theory and graph algorithms,https://doi.org/10.1109/FOCS52979.2021.00034,10.1109/FOCS52979.2021.00034,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Graph theory and graph algorithms,Graph theory and graph algorithms
FOCS-2021-025,FOCS,2021,Non-adaptive vs Adaptive Queries in the Dense Graph Testing Model,"Oded Goldreich (Weizmann Institute of Science, Israel), Avi Wigderson (Institute for Advanced Study, USA)",Property testing and distribution learning,https://doi.org/10.1109/FOCS52979.2021.00035,10.1109/FOCS52979.2021.00035,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Graph theory and graph algorithms,Property testing and distribution learning
FOCS-2021-026,FOCS,2021,"Exact and Approximate Pattern Counting in Degenerate Graphs: New Algorithms, Hardness Results, and Complexity Dichotomies","Marco Bressan (University of Milan, Italy), Marc Roth (University of Oxford, United Kingdom)",Enumeration and counting,https://doi.org/10.1109/FOCS52979.2021.00036,10.1109/FOCS52979.2021.00036,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Approximation algorithms,Enumeration and counting
FOCS-2021-027,FOCS,2021,Testability of Relations Between Permutations,"Oren Becker (University of Cambridge, United Kingdom), Alexander Lubotzky (The Hebrew University, Israel), Jonathan Mosheiff (Carnegie Mellon University, USA)",Property testing and distribution learning,https://doi.org/10.1109/FOCS52979.2021.00037,10.1109/FOCS52979.2021.00037,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Property testing and distribution learning
FOCS-2021-028,FOCS,2021,The Algorithmic Phase Transition of Random k-SAT for Low Degree Polynomials,"Guy Bresler (Massachusetts Institute of Technology, USA), Brice Huang (Massachusetts Institute of Technology, USA)",Average-case complexity,https://doi.org/10.1109/FOCS52979.2021.00038,10.1109/FOCS52979.2021.00038,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Primary subject selected in title review; overlapping techniques do not receive additional counts.,Automated reasoning and unification,Parameterized and exact algorithms
FOCS-2021-029,FOCS,2021,One-step Replica Symmetry Breaking of Random Regular NAE-SAT,"Danny Nam (Princeton University), Allan Sly (Princeton University), Youngtak Sohn (Stanford University)",Average-case complexity,https://doi.org/10.1109/FOCS52979.2021.00039,10.1109/FOCS52979.2021.00039,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Primary subject selected in title review; overlapping techniques do not receive additional counts.,Automated reasoning and unification,Automated reasoning and unification
FOCS-2021-030,FOCS,2021,Sharp Thresholds in Random Simple Temporal Graphs,"Arnaud Casteigts (University of Bordeaux, France), Michael Raskin (Technical University of Munich, Germany), Malte Renken (Technical University of Berlin, Germany), Viktor Zamaraev (University of Liverpool, United Kingdom)",Temporal graph algorithms,https://doi.org/10.1109/FOCS52979.2021.00040,10.1109/FOCS52979.2021.00040,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Temporal graph algorithms,Temporal graph algorithms
FOCS-2021-031,FOCS,2021,Proof of the Contiguity Conjecture and Lognormal Limit for the Symmetric Perceptron,"Emmanuel Abbe (EPFL, Switzerland), Shuangping Li (Princeton University, USA), Allan Sly (Princeton University, USA)",Average-case complexity,https://doi.org/10.1109/FOCS52979.2021.00041,10.1109/FOCS52979.2021.00041,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Average-case complexity
FOCS-2021-032,FOCS,2021,Approximating Maximum Independent Set for Rectangles in the Plane,"Joseph S. B. Mitchell (Stony Brook University, USA)",Approximation algorithms,https://doi.org/10.1109/FOCS52979.2021.00042,10.1109/FOCS52979.2021.00042,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Approximation algorithms,Approximation algorithms
FOCS-2021-033,FOCS,2021,A Gap-ETH-Tight Approximation Scheme for Euclidean TSP,"Sándor Kisfaludi-Bak (Institute for Theoretical Studies, ETH Zürich, Switzerland), Jesper Nederlof (Utrecht Univeristy, Utrecht, The Netherlands), Karol Wegrzycki (Saarland University and Max Planck Institute for Informatics, Germany)",Approximation algorithms,https://doi.org/10.1109/FOCS52979.2021.00043,10.1109/FOCS52979.2021.00043,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Approximation algorithms,Approximation algorithms
FOCS-2021-034,FOCS,2021,Optimal Approximate Distance Oracle for Planar Graphs,"Hung Le (University in Amherst Massachusetts, USA), Christian Wulff-Nilsen (University of Copenhagen, Denmark)",Data structures and compressed data,https://doi.org/10.1109/FOCS52979.2021.00044,10.1109/FOCS52979.2021.00044,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Primary subject selected in title review; overlapping techniques do not receive additional counts.,Approximation algorithms,Approximation algorithms
FOCS-2021-035,FOCS,2021,Covering Polygons is Even Harder,Mikkel Abrahamsen (University of Copenhagen),Computational geometry,https://doi.org/10.1109/FOCS52979.2021.00045,10.1109/FOCS52979.2021.00045,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Computational geometry,Computational geometry
FOCS-2021-036,FOCS,2021,Robust Recovery for Stochastic Block Models,"Jingqiu Ding (ETH Zurich, Switzerland), Tommaso D'Orsi (ETH Zurich, Switzerland), Rajai Nasser (ETH Zurich, Switzerland), David Steurer (ETH Zurich, Switzerland)",Learning theory,https://doi.org/10.1109/FOCS52979.2021.00046,10.1109/FOCS52979.2021.00046,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Learning theory
FOCS-2021-037,FOCS,2021,On Statistical Inference when Fixed Points of Belief Propagation are Unstable,"Siqi Liu (UC Berkeley, USA), Sidhanth Mohanty (UC Berkeley, USA), Prasad Raghavendra (UC Berkeley, USA)",Learning theory,https://doi.org/10.1109/FOCS52979.2021.00047,10.1109/FOCS52979.2021.00047,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Learning theory
FOCS-2021-038,FOCS,2021,Sum-of-Squares Lower Bounds for Sparse Independent Set,"Chris Jones (University of Chicago, USA), Aaron Potechin (University of Chicago, USA), Goutham Rajendran (University of Chicago, USA), Madhur Tulsiani (Toyota Technological Institute, USA), Jeff Xu (Carnegie Mellon University, USA)",Proof complexity and logic,https://doi.org/10.1109/FOCS52979.2021.00048,10.1109/FOCS52979.2021.00048,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Proof complexity and logic
FOCS-2021-039,FOCS,2021,Chow-Liu++: Optimal Prediction-Centric Learning of Tree Ising Models,"Enric Boix-Adserà (MIT, USA), Guy Bresler (MIT, USA), Frederic Koehler (MIT, USA)",Learning theory,https://doi.org/10.1109/FOCS52979.2021.00049,10.1109/FOCS52979.2021.00049,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Learning theory,Learning theory
FOCS-2021-040,FOCS,2021,The Minimum Formula Size Problem is (ETH) Hard,"Rahul Ilango (MIT, USA)",Computational and circuit complexity,https://doi.org/10.1109/FOCS52979.2021.00050,10.1109/FOCS52979.2021.00050,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Computational and circuit complexity
FOCS-2021-041,FOCS,2021,The Hardest Explicit Construction,"Oliver Korten (Columbia University, NY)",Computational and circuit complexity,https://doi.org/10.1109/FOCS52979.2021.00051,10.1109/FOCS52979.2021.00051,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Computational and circuit complexity
FOCS-2021-042,FOCS,2021,Tradeoffs for Small-Depth Frege Proofs,"Toniann Pitassi (Columbia University, USA; University of Toronto, Canada), Prasanna Ramakrishnan (Stanford University, USA), Li-Yang Tan (Stanford University, USA)",Proof complexity and logic,https://doi.org/10.1109/FOCS52979.2021.00052,10.1109/FOCS52979.2021.00052,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Proof complexity and logic,Proof complexity and logic
FOCS-2021-043,FOCS,2021,Group Isomorphism is Nearly-Linear Time for Most Orders,"Heiko Dietrich (Monash University, Australia), James B. Wilson (Colorado State University, USA)",Algebraic and numerical computation,https://doi.org/10.1109/FOCS52979.2021.00053,10.1109/FOCS52979.2021.00053,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Algebraic and numerical computation
FOCS-2021-044,FOCS,2021,Fitting Distances by Tree Metrics Minimizing the Total Error Within a Constant Factor,"Vincent Cohen-Addad (Google Research, Switzerland), Debarati Das (BARC, University of Copenhagen, Denmark), Evangelos Kipouridis (BARC, University of Copenhagen, Denmark), Nikos Parotsidis (Google Research, Switzerland), Mikkel Thorup (BARC, University of Copenhagen, Denmark)",Approximation algorithms,https://doi.org/10.1109/FOCS52979.2021.00054,10.1109/FOCS52979.2021.00054,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Approximation algorithms
FOCS-2021-045,FOCS,2021,Embeddings of Planar Quasimetrics into Directed ℓ_1 and Polylogarithmic Approximation for Directed Sparsest-Cut,"Ken-Ichi Kawarabayashi (National Institute of Informatics, Japan), Anastasios Sidiropoulos (University of Illinois at Chicago, USA)",Approximation algorithms,https://doi.org/10.1109/FOCS52979.2021.00055,10.1109/FOCS52979.2021.00055,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Approximation algorithms,Approximation algorithms
FOCS-2021-046,FOCS,2021,Hop-Constrained Metric Embeddings and Their Applications,"Arnold Filtser (Bar-Ilan University, Israel)",Approximation algorithms,https://doi.org/10.1109/FOCS52979.2021.00056,10.1109/FOCS52979.2021.00056,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Approximation algorithms
FOCS-2021-047,FOCS,2021,A Hitting Set Relaxation for k-Server and an Extension to Time-Windows,"Anupam Gupta (Carnegie Mellon University), Amit Kumar (IIT Delhi, India), Debmalya Panigrahi (Duke University)","Online algorithms, bandits and stochastic optimization",https://doi.org/10.1109/FOCS52979.2021.00057,10.1109/FOCS52979.2021.00057,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Primary subject selected in title review; overlapping techniques do not receive additional counts.,General algorithm design,General algorithm design
FOCS-2021-048,FOCS,2021,Fully Dynamic Electrical Flows: Sparse Maxflow Faster Than Goldberg-Rao,"Yu Gao (Georgia Institute of Technology, USA), Yang P. Liu (Stanford University, USA), Richard Peng (Georgia Tech / University of Waterloo, USA)",Dynamic graph algorithms,https://doi.org/10.1109/FOCS52979.2021.00058,10.1109/FOCS52979.2021.00058,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Dynamic graph algorithms
FOCS-2021-049,FOCS,2021,Faster Sparse Minimum Cost Flow by Electrical Flow Localization,"Kyriakos Axiotis (MIT, USA), Aleksander Mądry (MIT, USA), Adrian Vladu (CNRS & IRIF, Université de Paris, France)",Graph theory and graph algorithms,https://doi.org/10.1109/FOCS52979.2021.00059,10.1109/FOCS52979.2021.00059,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Graph theory and graph algorithms
FOCS-2021-050,FOCS,2021,2-Norm Flow Diffusion in Near-Linear Time,"Li Chen (Georgia Tech, USA), Richard Peng (Georgia Tech, USA), Di Wang (Google Research, USA)",Graph theory and graph algorithms,https://doi.org/10.1109/FOCS52979.2021.00060,10.1109/FOCS52979.2021.00060,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Graph theory and graph algorithms
FOCS-2021-051,FOCS,2021,On the Power of Preconditioning in Sparse Linear Regression,"Jonathan Adam Kelner (MIT, USA), Frederic Koehler (Stanford University, USA), Raghu Meka (UCLA, USA), Dhruv Rohatgi (MIT, USA)",Learning theory,https://doi.org/10.1109/FOCS52979.2021.00061,10.1109/FOCS52979.2021.00061,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Learning theory
FOCS-2021-052,FOCS,2021,Quantum Learning Algorithms Imply Circuit Lower Bounds,"Srinivasan Arunachalam (IBM T. J. Watson Research Center, USA), Alex B. Grilo (Sorbonne Université and CNRS, France), Tom Gur (University of Warwick, UK), Igor C. Oliveira (University of Warwick, UK), Aarthi Sundaram (Microsoft Quantum, USA)",Quantum computation,https://doi.org/10.1109/FOCS52979.2021.00062,10.1109/FOCS52979.2021.00062,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Quantum computation,Quantum computation
