category,category_name,rank_in_category,title,question,importance,sources,novelty_note
3,Fine-grained complexity,3,The algebraic k-Clique Hypothesis,Is the exponent omega*k/3 asymptotically optimal up to o(k) for deciding k-Clique on n-vertex graphs with unrestricted randomized algorithms?,The principal algebraic fine-grained barrier for clique and many pattern problems.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ISAAC.2021.61,TCS-5458 asks about k-Clique in memoryless communication. This proposal is about standard sequential computation; no informal 'combinatorial algorithm' restriction is used.
3,Fine-grained complexity,4,The Min-Plus Convolution Hypothesis,Is there an epsilon>0 and a randomized bounded-error algorithm computing the min-plus convolution of two length-n arrays of polynomially bounded integers in O(n^{2-epsilon}) time on a word RAM?,A central fine-grained hypothesis supporting quadratic barriers in knapsack and dynamic programming.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2026.119,"TCS-1522 concerns a particular knapsack application, not the general convolution barrier."
3,Fine-grained complexity,5,The Hitting Set Conjecture,"Is it true that for every epsilon>0 there is c such that no randomized bounded-error word-RAM algorithm decides in O(n^{2-epsilon}) time whether some a in A intersects every b in B, given two n-element families A,B of subsets of [ceil(c log n)]?",A standard hardness hypothesis behind fine-grained diameter and graph-distance barriers.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.IPEC.2021.3,"The existential-universal family problem, not the ordinary minimum hitting-set optimization problem."
4,Pseudorandomness and derandomization,1,Optimal explicit pseudorandom generators for read-once branching programs,"Can one construct, in space O(log(nw/epsilon)), an epsilon-fooling pseudorandom generator for all length-n, width-w ordered read-once branching programs with seed length O(log(nw/epsilon))?","The principal explicit pseudorandom-generator problem for space-bounded computation, going beyond merely deciding the same languages deterministically.",https://eccc.weizmann.ac.il/report/2026/064/,"TCS-0026 is L versus BPL; TCS-1125 restricts to width four and only asks to beat log-squared seed length, while TCS-1132 restricts to regular programs. This is the full generator construction target."
5,Proof complexity,1,Superpolynomial Extended Frege lower bounds,Does there exist a family of propositional tautologies whose shortest Extended Frege proofs are not bounded by any polynomial in their formula length?,A defining barrier for lower bounds against strong propositional reasoning.,https://eccc.weizmann.ac.il/report/2026/098/,"TCS-1100 is about what PV1 can prove concerning lower bounds; TCS-0025 asks about Frege, not Extended Frege."
5,Proof complexity,2,Superpolynomial AC0[p]-Frege lower bounds,"For a fixed prime p, exhibit polynomial-length tautologies requiring superpolynomial proofs even when proof lines are bounded-depth Boolean formulas with MOD_p gates.",The longstanding missing proof-complexity counterpart of the Razborov-Smolensky circuit lower bounds.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.CCC.2025.8,"The general Frege lower-bound question TCS-0025 does not establish this distinct, classical bounded-depth frontier. Do not split different primes into additional entries. TCS-5933 was checked in full: its selected question concerns constant-depth Ideal Proof System, rather than AC0[p]-Frege."
6,Communication complexity and Boolean function analysis,1,The Log-Rank Conjecture,Is deterministic two-party communication complexity bounded by a fixed polynomial in the logarithm of the real rank of the Boolean communication matrix?,"One of the organizing conjectures of communication complexity, connecting protocols to linear algebra.",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.CCC.2026.7,No question-level log-rank entry found in the catalogue.
6,Communication complexity and Boolean function analysis,2,The Fourier Entropy-Influence Conjecture,"Is the Shannon entropy of the squared Fourier coefficients of every Boolean function at most a universal constant times its total influence, under the uniform measure?","A central proposed link between spectral complexity and sensitivity, with consequences for learning and Boolean function structure.",https://arxiv.org/abs/2502.13231,"TCS-6138 concerns Fourier granularity, not the entropy-influence inequality."
6,Communication complexity and Boolean function analysis,3,The Aaronson-Ambainis Conjecture,"Does every degree-d multilinear polynomial f on the Boolean cube with values in [0,1] have a coordinate of influence at least (Var(f)/d)^C for a universal C?",A foundational question connecting bounded polynomials to the possible advantage of quantum queries.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2025.17,"No matching question found. The specific source is Bhattacharya, ITCS 2025, article 17."
7,Coding and information theory,1,The exact capacity region of the two-user Gaussian interference channel,"For arbitrary fixed channel gains and transmitter power constraints, determine all simultaneously achievable rate pairs in the memoryless two-user Gaussian interference channel.",A defining unresolved multi-user information-theory problem; constant-gap approximations do not give its exact capacity region.,https://arxiv.org/abs/1508.05726,"No interference-channel question was found. The broad target includes the unresolved mixed/weak-interference regimes, not the solved strong-interference case alone."
7,Coding and information theory,2,The capacity of the binary deletion channel,"Determine the exact optimal asymptotic transmission rate C(delta), for each fixed independent deletion probability delta, by matching achievable-rate and converse bounds.",The canonical unresolved channel-capacity problem caused by synchronization errors.,https://arxiv.org/abs/1910.07199,Adversarial deletion thresholds and trace reconstruction are different questions. Do not present the formal regularized definition of C as a solution.
7,Coding and information theory,3,Decidability of unconditional information inequalities,Is there an algorithm that decides whether an input rational linear inequality in the joint Shannon entropies of finitely many discrete random variables holds for every joint distribution?,"A fundamental decision problem governing entropy bounds, network information theory and database optimization.",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICDT.2024.19,Do not conflate unconditional inequality validity with known undecidability results for conditional independence implications.
7,Coding and information theory,4,Constant-rate binary locally decodable codes with logarithmic query complexity,Do binary codes of constant rate and constant error tolerance exist whose randomized local decoder recovers any requested message bit with O(log n) queries and success probability at least 2/3?,A central locality-versus-redundancy barrier with consequences for private information retrieval and matrix rigidity.,https://eccc.weizmann.ac.il/report/2025/168/revision/1/download/,The April 2026 revision explicitly identifies the binary problem as a major open question; its construction uses large alphabets.
7,Coding and information theory,5,The Shannon capacity of C7,Determine Theta(C7)=sup_t alpha(C7 strong-product ... strong-product C7)^{1/t}.,The smallest odd-cycle zero-error capacity left unresolved after Lovasz's pentagon theorem.,https://arxiv.org/abs/2608.30273,TCS-5034 asks whether Shannon capacity is computable in general. The August 2026 source explicitly says exact odd-cycle capacities beyond C5 remain unknown.
8,Algebraic computation,1,Superpolynomial determinantal complexity of the permanent,"Over characteristic zero, does representing the n by n permanent as the determinant of a matrix of affine-linear forms require superpolynomial matrix dimension?",The classical determinant-versus-permanent barrier and a central target of geometric complexity theory.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.CCC.2021.4,TCS-5432 instead asks whether equivariant determinantal complexity is polynomially related to ordinary determinantal complexity; its full source was read.
8,Algebraic computation,2,VP versus VBP,Can every polynomial-degree polynomial family with polynomial-size arithmetic circuits also be computed by polynomial-size algebraic branching programs?,The central unresolved cost of restricting general algebraic computation to branching programs.,https://eccc.weizmann.ac.il/report/2025/083/,Search matches on arbitrary branching programs or special circuit families do not pose the general class equality.
8,Algebraic computation,3,Polynomial-size arithmetic formulas for determinant,Does the n by n symbolic determinant have arithmetic formulas of size n^{O(1)} over a fixed characteristic-zero field?,The canonical explicit candidate separating arithmetic formulas from algebraic branching programs.,https://eccc.weizmann.ac.il/report/2003/067/,Multilinear-formula lower bounds are known; arbitrary arithmetic formulas remain the target. Do not separately count the equivalent VF-versus-VBP formulation.
8,Algebraic computation,4,Deterministic polynomial-time polynomial factorization over finite fields,Can every univariate polynomial of degree n over F_q be factored deterministically in time polynomial in n and log q?,A basic unresolved derandomization problem in computational algebra.,https://arxiv.org/abs/2509.12705,"No matching question found. The September 2025 result is amortized over many primes, not a solution for an arbitrary input field."
8,Algebraic computation,5,Polynomial-time finite-group isomorphism in the Cayley-table model,Can one decide in deterministic polynomial time whether two finite groups supplied by their full multiplication tables are isomorphic?,The fundamental outstanding algorithmic isomorphism problem for finite algebraic structures in explicit representation.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.FSTTCS.2024.4,"TCS-4202 asks for a reduction to asymmetric groups, and TCS-5393 asks about a different complexity comparison."
8,Algebraic computation,6,Breaking the 2^n barrier for exact permanent computation,Is there epsilon>0 and an exact algorithm using O((2-epsilon)^n) arithmetic operations to compute the permanent of every n by n matrix over characteristic zero?,A canonical exponential-time algebraic computation barrier dating to Ryser's formula.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2026.36,TCS-0815 asks about the relation to SETH; TCS-4858 concerns adapting a particular technique. These must not be silently relabelled as the unrestricted arithmetic-operation question.
9,Lattices and computational number theory,1,Classical polynomial-time integer factorization,Can a randomized classical algorithm output the prime factorization of every positive binary integer N in poly(log N) time with success probability at least 2/3?,A defining computational-number-theory problem with major consequences for cryptographic assumptions.,https://www.csa.iisc.ac.in/~chandan/research/survey_CNT.pdf,TCS-5395 concerns recursion to smaller inputs and TCS-0656 reductions to lattices. They are not the main algorithm-existence problem.
9,Lattices and computational number theory,2,Classical polynomial-time discrete logarithms in prime fields,"Is there a randomized classical algorithm, polynomial in log p, that given a prime p, a generator g of F_p^*, and h in F_p^*, returns x with g^x=h?",A central computational number-theory problem and a foundation of public-key cryptography.,https://www.csa.iisc.ac.in/~chandan/research/survey_CNT.pdf,The general prime-field algorithmic problem; not a specialized cryptanalytic attack.
9,Lattices and computational number theory,3,"Single-exponential-time, polynomial-space exact Euclidean SVP","Does a randomized classical algorithm solve exact SVP in dimension n in 2^{O(n)} times a polynomial in the input bit length, using only polynomial space?",A central time-space barrier separating enumeration from sieve and Voronoi methods in lattice algorithms.,https://eccc.weizmann.ac.il/report/2010/014/,Do not count heuristic sieving guarantees or quantum algorithms as a solution. This is distinct from a smaller exponential-time base with exponential memory.
9,Lattices and computational number theory,4,Vinogradov's least quadratic nonresidue conjecture,"For every epsilon>0, is the least positive quadratic nonresidue modulo an odd prime p bounded by p^epsilon for all sufficiently large p?",A classical barrier in effective number theory governing the deterministic search for basic finite-field witnesses.,https://arxiv.org/abs/1410.7073,No matching question about least quadratic nonresidues was found; placement uses the computational number-theory scope.
10,Randomized algorithms and sampling,1,Rapid mixing of Glauber dynamics with Delta+2 colours,Does single-vertex Glauber dynamics on proper q-colourings mix in polynomial time for every n-vertex graph of maximum degree Delta whenever q>=Delta+2?,A canonical test of whether local random updates sample throughout the full ergodic regime.,https://arxiv.org/abs/2010.16158 | https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2026.134,Keep separate from a merely polynomial recolouring diameter. The 2026 colouring-sampling paper still cites algorithms requiring substantially more colours.
10,Randomized algorithms and sampling,2,The Kannan-Tetali-Vempala switch-chain conjecture,Does the lazy switch chain mix in polynomial time on every nonempty set of zero-one matrices with prescribed row and column sums?,A central obstruction to a general theory of uniform sampling with fixed combinatorial marginals.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.APPROX-RANDOM.2018.36,"TCS-6254 and TCS-6412 concern degree-sequence realizability or modification, not mixing of the switch chain."
11,String algorithms and bioinformatics,1,Polynomial-sample worst-case trace reconstruction,"For each fixed deletion probability delta in (0,1), can every unknown n-bit string be reconstructed with probability at least 2/3 using n^{O(1)} independent deletion traces?",A defining information-recovery question underlying reconstruction through synchronization errors.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2025.3,"TCS-4942 asks about improving an estimator from a few traces, not exact worst-case reconstruction."
11,String algorithms and bioinformatics,2,Constant-factor edit-distance approximation in O(n polylog n) time,Does some universal constant C admit a randomized bounded-error algorithm that C-approximates edit distance of two length-n strings in O(n polylog n) time?,Would settle a main algorithmic frontier for the basic metric on strings.,https://epubs.siam.org/doi/10.1137/21M1392322,"TCS-4932's full source asks about a quantum advantage, not this classical target; near-linear-distance promises and n^{1+epsilon} algorithms do not settle the stated bound. Andoni-Nosatzki obtain n^{1+epsilon} time with epsilon-dependent constants; the target here fixes a polylogarithmic overhead."
12,Dynamic graph algorithms,1,Deterministic fully dynamic connectivity with polylogarithmic worst-case updates,Can an undirected graph under edge insertions and deletions support connectivity queries and every individual update in polylog(n) deterministic time using polynomial space?,A foundational unresolved worst-case guarantee for dynamic graph data structures.,https://arxiv.org/abs/2510.08297,"The October 2025 breakthrough is randomized with expected worst-case update time. It gives a route to derandomization, not the required deterministic algorithm."
12,Dynamic graph algorithms,2,Fully dynamic minimum spanning forest with polylogarithmic worst-case updates,Can an exact minimum spanning forest of an undirected graph with polynomially bounded integer weights be maintained with polylogarithmic worst-case time per edge insertion or deletion and polynomial preprocessing and space?,A longstanding worst-case barrier for one of the defining dynamic graph optimization problems.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2021.27,"TCS-0541 concerns low-stretch spanning trees, not minimum-weight spanning forests."
12,Dynamic graph algorithms,3,Fully dynamic near-optimal matching with polylogarithmic updates,"For every fixed epsilon>0, can a (1+epsilon)-approximate maximum-cardinality matching be maintained in an arbitrary graph with polylogarithmic amortized update time, allowing randomization against an oblivious update sequence?",The main approximation-versus-update-time barrier in dynamic matching.,https://pure.mpg.de/pubman/item/item_3527212_4/component/file_3527885/biennial-report-2023.pdf,TCS-0543 is about maximal matching; that is weaker than arbitrarily accurate maximum matching.
13,Counting and enumeration,1,An FPRAS for perfect matchings in general graphs,Can the number of perfect matchings of every graph be approximated within relative error epsilon with success probability at least 3/4 in time polynomial in graph size and 1/epsilon?,A central remaining frontier for approximate counting beyond the bipartite permanent.,https://arxiv.org/abs/1712.07504,"Counting all matchings, exact planar perfect matching counting, and the bipartite FPRAS do not resolve the general perfect-matching problem."
13,Counting and enumeration,2,A deterministic FPTAS for the nonnegative permanent,Does a deterministic algorithm approximate the permanent of any nonnegative rational matrix within relative error epsilon in time polynomial in the input bit length and 1/epsilon?,A landmark derandomization challenge for approximate counting.,https://arxiv.org/abs/2608.28031,Distinguish exact 2^n-time permanent computation from deterministic multiplicative approximation.
14,Property testing and distribution learning,1,Characterizing polynomially testable hereditary graph properties,Give a necessary-and-sufficient structural criterion on a finite forbidden-induced-subgraph family F for F-freeness to have a one-sided dense-model tester using poly(1/epsilon) sampled vertices.,An organizing classification problem for the efficient end of graph property testing.,https://arxiv.org/html/2508.16878v1,Source Problem 3.14. Single forbidden graphs and a few restricted families have been classified; this is the full finite-family problem.
15,Differential privacy,1,Optimal Euclidean error for pure-DP statistical-query release,"For every n,T,k and 0<epsilon<=1, does there exist an epsilon-differentially private mechanism answering any k queries f_j:[T]->[-1,1] on a database x in [T]^n with expected normalized Euclidean error E||M(x)-f(x)||_2/sqrt(k) at most C min{1,sqrt(log(2T)/(epsilon n))}, for a universal C?","Would determine the fundamental worst-case accuracy of pure-private statistical-query release, independently of the number of queries.",https://differentialprivacy.org/open-problem-optimal-query-release/ | https://arxiv.org/abs/2607.20418,"No corresponding query-release question found. This is Nikolov-Ullman Open Problem 2 (Euclidean error), not Open Problem 1 (maximum-coordinate error), for which July 2026 brought a claimed solution."
16,"Algorithmic game theory, mechanism design and fair division",1,Constant-factor truthful combinatorial auctions for submodular bidders,Does a universally truthful randomized mechanism using polynomial communication achieve a universal constant expected approximation to optimal welfare for arbitrary normalized monotone submodular valuations?,The central question of whether incentive constraints destroy constant-factor welfare approximation in a standard multi-parameter auction model.,https://epubs.siam.org/doi/10.1137/20M1316068 | https://theory.stanford.edu/~shaddin/papers/randompower-focs09.pdf,TCS-5229's selected source passage asks about a particular lower-bound construction; budget-feasible procurement is a different problem. Do not silently restrict to value queries.
16,"Algorithmic game theory, mechanism design and fair division",2,Polynomial query complexity of exact envy-free cake cutting,"Is there a deterministic Robertson-Webb protocol using polynomially many queries in n that completely allocates a cake envy-freely among n agents with arbitrary nonatomic additive valuations, allowing disconnected pieces?",The principal complexity question behind exact envy-free division of a divisible resource.,https://link.springer.com/article/10.1007/s00355-025-01633-7,"TCS-1110 asks about mixed divisible/indivisible EFM; the 2025 paper gives an average-case bound under random valuations, not a worst-case polynomial protocol."
16,"Algorithmic game theory, mechanism design and fair division",3,The optimal randomized metric distortion in social choice,"Determine the infimum universal constant D for which an ordinal voting rule always selects a lottery whose expected total metric cost is at most D times the optimal candidate cost, over all numbers of voters and candidates and all consistent metrics.",A defining limit on how much welfare can be recovered from ordinal preferences.,https://arxiv.org/abs/2505.13630,"Use unrestricted randomized ordinal rules; the old conjecture D=2 is false, and tournament-only rules are a different restricted model."
17,Constraint satisfaction,1,A complexity dichotomy for finite promise CSPs,"For every fixed pair of finite relational templates A,B of the same signature with A mapping homomorphically to B, is the decision promise CSP distinguishing X->A from X not->B either in P or NP-hard?",The main extension of the finite CSP classification theorem to promise problems.,https://arxiv.org/abs/2208.13538,TCS-1978 and TCS-1907 concern particular algorithmic subclasses; this is the full finite-template decision dichotomy.
17,Constraint satisfaction,2,The Bodirsky-Pinsker infinite-domain CSP dichotomy,Is CSP(B) always either in P or NP-complete when B is a finite-signature first-order reduct of a countable finitely bounded homogeneous relational structure?,The principal tractability classification conjecture for well-behaved infinite-domain CSPs.,https://arxiv.org/abs/2601.22691,"TCS-3203 asks about GSO definability and TCS-5924 a particular meta-question, rather than the full P/NP-complete dichotomy."
17,Constraint satisfaction,3,Constant-colour polynomial-time colouring of 3-colourable graphs,Is there a fixed integer C and a polynomial-time algorithm that outputs a proper C-colouring of every input graph promised to be 3-colourable?,The paradigmatic unresolved approximate graph-colouring problem within promise CSP.,https://arxiv.org/abs/2406.00357,The constant C is existential and unrestricted; this is not the already-hard 3-to-4 or 3-to-5 problem.
18,Scheduling and packing,1,Breaking factor 2 for unrelated-machine makespan,Is there a polynomial-time (2-epsilon)-approximation for R||Cmax for some fixed epsilon>0?,One of the defining approximation barriers in machine scheduling.,https://arxiv.org/abs/2307.08453,"The existing unrelated-machine entries concern interval restrictions, job types or parameterized complexity."
18,Scheduling and packing,2,Constant-factor approximation for general Santa Claus allocation,"Can indivisible items with arbitrary nonnegative additive agent-specific values be allocated in polynomial time so that the least satisfied agent receives at least OPT/C, for a universal C?",The central max-min allocation problem and a major boundary of scheduling approximation.,https://arxiv.org/abs/2307.08453,TCS-0738 concerns parameterized approximation. Restricted valuations already admit constants and must not replace the general target.
18,Scheduling and packing,3,Constant additive error for one-dimensional bin packing,"Can a polynomial-time algorithm pack every instance into at most OPT+C unit bins, where C is a universal constant?",The longstanding gap between asymptotic approximation schemes and almost exact packing.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.FSTTCS.2014.1,"TCS-0931 concerns implementation of a particular Sum-of-Squares algorithm, not this universal additive guarantee."
19,Automated reasoning and unification,1,The word problem for one-relation monoids,"Is there an algorithm which, given a finite monoid presentation with one defining relation and two words, decides whether the words represent the same element?",A century-old algorithmic decidability problem at the smallest nontrivial presentation size.,https://link.springer.com/article/10.1007/s00233-021-10216-8,One-relator groups have a decidable word problem; the unresolved monoid problem is different. This belongs naturally with equational reasoning.
19,Automated reasoning and unification,2,The conjugacy problem for one-relator groups,"Is there an algorithm that, given a finite one-relator group presentation and two words, decides whether those words represent conjugate group elements?",One of the classical Dehn decision problems in an exceptionally basic class of finitely presented groups.,https://arxiv.org/abs/2501.18306,"TCS-0041 concerns embeddings of Baumslag-Solitar groups, and TCS-5506 inverse semigroups; neither is this conjugacy decision problem."
19,Automated reasoning and unification,3,Decidability of unification in the basic modal logic K,Is there an algorithm deciding whether a given K-formula has a substitution instance that is valid in all Kripke frames?,"The basic unresolved decidability boundary in modal unification, already in the minimal normal modal logic.",https://www.mathnet.ru/php/archive.phtml?jrnid=im&option_lang=eng&paperid=9592&wshow=paper,Beklemishev's 2025 paper explicitly distinguishes the open K case from solved transitive modal logics.
19,Automated reasoning and unification,4,Decidability of termination for one-rule string rewriting,"Given two words l,r, is it decidable whether the rewrite rule l->r admits no infinite rewriting sequence starting from any finite word?",A minimal and longstanding unresolved termination problem in rewriting theory.,https://epubs.siam.org/doi/10.1137/S009753979833297X,TCS-0874 asks about nontermination without loops; this target is decidability of uniform termination itself.
20,Database theory and finite model theory,1,The full constant-delay conjunctive-query classification,"Classify fixed conjunctive queries, allowing self-joins, whose distinct answers can be enumerated with constant delay after preprocessing linear in database size.",The missing general tractability classification for a fundamental database evaluation task.,https://arxiv.org/abs/2206.04988,TCS-1434 concerns a join-tree enumeration implementation; the source here concerns arbitrary conjunctive queries and the essential effect of self-joins.
21,Computability and algorithmic information,1,Martin's conjecture on degree-invariant functions,"In ZF+DC+AD, does Martin's full conjecture hold for all Turing-invariant functions from 2^omega to 2^omega: below the identity they are constant or equal to the identity on a cone; the functions at least the identity on a cone are prewellordered by cone-wise Turing reducibility; and pointwise Turing jump increases their rank by one?",A proposed structural account of why the Turing jump governs natural computability-theoretic constructions.,https://www.cambridge.org/core/journals/bulletin-of-symbolic-logic/article/on-the-hierarchy-of-natural-theories/FEF058E948E6E8B8A4F5F174E02AFCC9,No matching Martin-conjecture question was found. Results for order-preserving or uniformly invariant functions do not settle the general conjecture.
21,Computability and algorithmic information,2,Rigidity of the Turing degrees,Is every automorphism of the partial order of Turing degrees the identity?,A defining question about how much computational structure is determined by reducibility alone.,https://www.cambridge.org/core/journals/bulletin-of-symbolic-logic/article/abs/permutations-of-the-integers-induce-only-the-trivial-automorphism-of-the-turing-degrees/5BB556CF78395462F77181EA0C197797,"The existing rigidity keyword matches concern matrices or other structures, not the Turing degrees."
21,Computability and algorithmic information,3,Kolmogorov-Loveland randomness versus Martin-Lof randomness,Is every infinite binary sequence on which no computable nonmonotonic Kolmogorov-Loveland betting strategy succeeds Martin-Lof random?,A central unresolved equivalence between effective statistical tests and adaptive betting definitions of randomness.,https://arxiv.org/abs/2403.19817,The 2024 result rules out one approach to an equivalence proof; it does not separate the two randomness notions.
21,Computability and algorithmic information,4,The reverse-mathematical strength of Hindman's theorem,Does Hindman's finite-sums theorem imply ACA_0^+ over RCA_0?,"The classical gap in the axiomatic strength of a central infinite combinatorial principle; this is a computability/logic question, not a new general-combinatorics category.",https://iris.uniroma1.it/bitstream/11573/1393123/3/Carlucci_postprint_New-bounds_2020.pdf,The theorem itself is known; the proposed target is equivalence with the established upper-bound system ACA_0^+.
22,Knowledge representation and reasoning,1,Deterministic polynomial-time equivalence testing for d-DNNFs,Can one deterministically decide in polynomial time whether two given deterministic decomposable negation-normal-form Boolean circuits represent the same function?,"A basic unresolved operation in knowledge compilation, with consequences for checking and comparing compiled knowledge.",https://arxiv.org/html/2605.12378v1 | https://www.auai.org/uai2013/prints/papers/165.pdf,TCS-0306 is efficient complementation; equivalence testing is a separate fundamental operation.
23,Structural graph theory,1,Hadwiger's conjecture,Does every finite graph with chromatic number at least t contain K_t as a minor?,"A central link between graph colouring and minor structure, directly governing structural algorithmic methods.",https://arxiv.org/abs/2609.06867,The 6 September 2026 preprint improves the general upper bound; it does not prove Hadwiger. The odd Hadwiger variant has a recent counterexample and is excluded.
23,Structural graph theory,2,The Erdos-Hajnal conjecture for hereditary graph classes,"For each finite graph H, is there c(H)>0 such that every n-vertex graph with no induced H contains a clique or independent set of size at least n^{c(H)}?",A foundational structural explanation for large homogeneous sets in hereditary classes.,https://arxiv.org/abs/2606.06258,The five-vertex cases were settled recently; the question here quantifies over all H.
23,Structural graph theory,3,The Gyarfas-Sumner conjecture,"For every fixed tree T, is the class of graphs with no induced T chi-bounded: chi(G)<=f_T(omega(G)) for some function f_T?",A central organizing conjecture for hereditary graph colouring.,https://arxiv.org/abs/2302.08922,"TCS-6251 concerns independent-set algorithms for graphs without long claws, rather than this chi-boundedness conjecture. Nguyen-Scott-Seymour explicitly formulate the general conjecture in their 2024 paper."
23,Structural graph theory,4,Seese's conjecture for MSO1 and clique-width,Must every class of finite graphs with decidable monadic second-order theory using vertex-set quantification have bounded clique-width?,A major proposed characterization connecting algorithmic logic with graph decomposition.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2025.167,"Do not confuse MSO1 with the edge-set version, or MSO with the stronger counting-MSO results already known."
23,Structural graph theory,5,Cereceda's quadratic recolouring conjecture,"For every fixed d, does the reconfiguration graph of proper (d+2)-colourings of every n-vertex d-degenerate graph have diameter O_d(n^2), where one step recolours one vertex?",The principal structural diameter conjecture in graph-colouring reconfiguration.,https://www.sciencedirect.com/science/article/abs/pii/S0012365X26000798,No matching Cereceda or general quadratic degenerate-recolouring question was found.
