id,title,area,scope,source_year,year_basis,source_age_years,status,status_note,source_collection,source_locator,authors,source_url,pdf_url,additional_source_urls,source_title,accessed,reading_note
TCS-0011,Does EFX always exist?,Algorithmic game theory and fair division,landmark,2026,source publication or workshop year,0,source_open_unverified,Explicitly posed as open in this source; later literature has not been exhaustively checked.,TCS Open Problems,Problem 3,,https://tcsopenproblems.com/problem/3,,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0012,Worst-case versus average-case NP hardness,Average-case complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 4.5,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=57,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0013,Efficient explicit constant-rate tree codes,Coding and information theory,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 15.34,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=206,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0014,Cubic monotone formulas for majority,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 5.19,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=70,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0015,Explicit superlinear Boolean circuit lower bounds,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 5.8,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=66,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0016,Exponential circuit lower bounds for SAT,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 5.7,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=65,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0017,Karchmer–Raz–Wigderson formula composition conjecture,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 5.13,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=68,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0018,P versus NP intersect coNP,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 3.9,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=41,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0019,Polynomial formulas versus linear circuits,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 5.11,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=68,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0020,Polynomial-size circuits for EXP,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 8.6,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=106,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0021,Polynomial-size circuits for NP,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 5.4,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=64,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0022,One-way functions from NP hardness,Cryptography,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 4.9,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=61,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0023,Learning growing-size DNFs under uniform inputs,Learning theory,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 17.9,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=233,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0024,Frege lower bounds from circuit hardness,Proof complexity and logic,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 6.12,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=85,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0025,Superpolynomial Frege proof lower bounds,Proof complexity and logic,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 6.10,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=83,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0026,L versus BPL,Pseudorandomness and derandomization,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 14.7,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=180,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0027,Black-box unitary synthesis,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 6,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=4,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0028,Injective quantum oracles: standard versus erasing access,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 11,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=7,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0029,Maximum randomized-versus-quantum gap for total functions,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 4,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=4,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0030,Oracle separation of BQP from efficient-prover interactive proofs,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 8,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=5,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0031,Oracle separation of BQP from IP,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 7,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=5,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0032,Quantum hardness of finding an entire glued-tree path,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 10,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=6,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0033,Quantum query complexity versus bounded approximate degree,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 5,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=4,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0034,Quantum query–space tradeoffs for collisions and distinctness,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 3,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=3,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0035,Query complexity of high-score cross-entropy sampling,Quantum computation,landmark,2021,source publication or workshop year,5,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Open Problems Related to Quantum Query Complexity,Problem 12,Scott Aaronson,https://www.scottaaronson.com/papers/open.pdf,https://www.scottaaronson.com/papers/open.pdf#page=8,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0036,BPP versus BQP,Quantum computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 11.4,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=136,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0037,NP outside BQP,Quantum computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 11.5,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=136,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0038,How much overparametrization is needed for ALS in tensor decomposition?,Algebraic and numerical computation,focused,2026,source publication or workshop year,0,source_open_unverified,Published as an open-problem contribution; later resolution has not been exhaustively checked.,COLT / PMLR,Open-problem paper,Dionysis Arvanitakis; Vaidehi Srinivas; Aravindan Vijayaraghavan,https://proceedings.mlr.press/v336/arvanitakis26a.html,https://raw.githubusercontent.com/mlresearch/v336/main/assets/arvanitakis26a/arvanitakis26a.pdf,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0039,Asymptotics of words in partially commutative groups,Algebraic and numerical computation,focused,2019,seminar year; report may be published later,7,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 19131, section 4.1",Andrew Duncan,https://doi.org/10.4230/DagRep.9.3.83,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume09/issue03/DagRep.9.3/DagRep.9.3.pdf#page=106,,Algorithmic Problems in Group Theory,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0040,Deciding whether a finitely generated subgroup has finite index,Algebraic and numerical computation,focused,2019,seminar year; report may be published later,7,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 19131, section 4.3",Ilya Kapovich,https://doi.org/10.4230/DagRep.9.3.83,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume09/issue03/DagRep.9.3/DagRep.9.3.pdf#page=107,,Algorithmic Problems in Group Theory,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0041,Distinct Baumslag-Solitar groups in the same one-relator group,Algebraic and numerical computation,focused,2019,seminar year; report may be published later,7,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 19131, section 4.4",Olga Kharlampovich,https://doi.org/10.4230/DagRep.9.3.83,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume09/issue03/DagRep.9.3/DagRep.9.3.pdf#page=108,,Algorithmic Problems in Group Theory,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0042,Is there an algorithm to compute the stable image of an endomorphism of a free group?,Algebraic and numerical computation,focused,2019,seminar year; report may be published later,7,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 19131, section 4.6",Enric Ventura Capell,https://doi.org/10.4230/DagRep.9.3.83,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume09/issue03/DagRep.9.3/DagRep.9.3.pdf#page=108,,Algorithmic Problems in Group Theory,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0043,Membership problems for groups of unitriangular matrices,Algebraic and numerical computation,focused,2019,seminar year; report may be published later,7,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 19131, section 4.5",Markus Lohrey,https://doi.org/10.4230/DagRep.9.3.83,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume09/issue03/DagRep.9.3/DagRep.9.3.pdf#page=108,,Algorithmic Problems in Group Theory,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0044,Open problems for integral matrix groups,Algebraic and numerical computation,problem_family,2019,seminar year; report may be published later,7,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 19131, section 4.2",Bettina Eick,https://doi.org/10.4230/DagRep.9.3.83,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume09/issue03/DagRep.9.3/DagRep.9.3.pdf#page=107,,Algorithmic Problems in Group Theory,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0045,"Rational subsets of Baumslag-Solitar groups BS(1, q)",Algebraic and numerical computation,focused,2019,seminar year; report may be published later,7,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 19131, section 4.7",Georg Zetzsche,https://doi.org/10.4230/DagRep.9.3.83,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume09/issue03/DagRep.9.3/DagRep.9.3.pdf#page=109,,Algorithmic Problems in Group Theory,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0046,Complexity of solving tropical or min-plus linear systems,Algebraic and numerical computation,focused,2015,seminar year; report may be published later,11,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 15242, section 5.2",Diam Grigoriev,https://doi.org/10.4230/DagRep.5.6.28,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume05/issue06/DagRep.5.6/DagRep.5.6.pdf#page=45,,Complexity of Symbolic and Numerical Problems,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0047,Complexity of testing membership to Kronecker polytopes,Algebraic and numerical computation,focused,2015,seminar year; report may be published later,11,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 15242, section 5.7",Peter Bürgisser,https://doi.org/10.4230/DagRep.5.6.28,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume05/issue06/DagRep.5.6/DagRep.5.6.pdf#page=47,,Complexity of Symbolic and Numerical Problems,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0048,Conjecture: Log-concavity of conic intrinsic volumes,Algebraic and numerical computation,focused,2015,seminar year; report may be published later,11,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 15242, section 5.4",Dennis Amelunxen,https://doi.org/10.4230/DagRep.5.6.28,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume05/issue06/DagRep.5.6/DagRep.5.6.pdf#page=46,,Complexity of Symbolic and Numerical Problems,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0049,Cylindrical decomposition with topologically regular cells,Algebraic and numerical computation,focused,2015,seminar year; report may be published later,11,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 15242, section 5.8",Nicolai Vorobjov,https://doi.org/10.4230/DagRep.5.6.28,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume05/issue06/DagRep.5.6/DagRep.5.6.pdf#page=48,,Complexity of Symbolic and Numerical Problems,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0050,Determinantal Witnesses and Matchings,Algebraic and numerical computation,focused,2015,seminar year; report may be published later,11,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 15242, section 5.1",Marek Karpinski,https://doi.org/10.4230/DagRep.5.6.28,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume05/issue06/DagRep.5.6/DagRep.5.6.pdf#page=45,,Complexity of Symbolic and Numerical Problems,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0051,Explicit dispersers for large quadratic-system solution sets,Algebraic and numerical computation,focused,2015,seminar year; report may be published later,11,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 15242, section 5.3",E. A. Hirsch,https://doi.org/10.4230/DagRep.5.6.28,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume05/issue06/DagRep.5.6/DagRep.5.6.pdf#page=46,,Complexity of Symbolic and Numerical Problems,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0052,Lower bounds for sums of powers of degree 1 univariate polynomials,Algebraic and numerical computation,focused,2015,seminar year; report may be published later,11,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 15242, section 5.5",Pascal Koiran,https://doi.org/10.4230/DagRep.5.6.28,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume05/issue06/DagRep.5.6/DagRep.5.6.pdf#page=47,,Complexity of Symbolic and Numerical Problems,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0053,Sign-representation,Algebraic and numerical computation,focused,2015,seminar year; report may be published later,11,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 15242, section 5.6",Vladimir Podolskii,https://doi.org/10.4230/DagRep.5.6.28,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume05/issue06/DagRep.5.6/DagRep.5.6.pdf#page=47,,Complexity of Symbolic and Numerical Problems,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0054,Tensor Decompositions: Algorithms up to the Uniqueness Threshold?,Algebraic and numerical computation,focused,2014,source publication or workshop year,12,source_open_unverified,Published as an open-problem contribution; later resolution has not been exhaustively checked.,COLT / PMLR,Open-problem paper,Aditya Bhaskara; Moses Charikar; Ankur Moitra; Aravindan Vijayaraghavan,https://proceedings.mlr.press/v35/bhaskara14b.html,http://proceedings.mlr.press/v35/bhaskara14b.pdf,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0055,Sum of Square Roots,Algebraic and numerical computation,focused,2009,latest listed revision year,17,source_open_unverified,The source presents this as open; no exhaustive search for later resolutions was performed.,The Open Problems Project,Problem 33,Erik D. Demaine; Joseph S. B. Mitchell; Joseph O’Rourke (editors),https://topp.openproblem.net/p33,,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0056,Best α for α-MMS existence,Algorithmic game theory and fair division,focused,2026,source publication or workshop year,0,source_open_unverified,Explicitly posed as open in this source; later literature has not been exhaustively checked.,TCS Open Problems,Problem 4,,https://tcsopenproblems.com/problem/4,,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0057,Course Allocation Among Faculty Members,Algorithmic game theory and fair division,focused,2024,seminar year; report may be published later,2,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 24401, section 4.2",Ayumi Igarashi,https://doi.org/10.4230/DagRep.14.9.145,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume14/issue09/DagRep.14.9/DagRep.14.9.pdf#page=164,,"Fair Division: Algorithms, Solution Concepts, and Applications",2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0058,Delegated Fair Division,Algorithmic game theory and fair division,focused,2024,seminar year; report may be published later,2,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 24401, section 4.6",Alexandros Psomas,https://doi.org/10.4230/DagRep.14.9.145,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume14/issue09/DagRep.14.9/DagRep.14.9.pdf#page=166,,"Fair Division: Algorithms, Solution Concepts, and Applications",2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0059,Fair Division in Metric Spaces,Algorithmic game theory and fair division,focused,2024,seminar year; report may be published later,2,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 24401, section 4.7",Nidhi Rathi,https://doi.org/10.4230/DagRep.14.9.145,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume14/issue09/DagRep.14.9/DagRep.14.9.pdf#page=166,,"Fair Division: Algorithms, Solution Concepts, and Applications",2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0060,Fair Division of Chores with Budget Constraints,Algorithmic game theory and fair division,focused,2024,seminar year; report may be published later,2,source_open_unverified,Posed in the seminar report; later resolution has not been exhaustively checked.,Dagstuhl Reports,"Seminar 24401, section 4.1",Edith Elkind,https://doi.org/10.4230/DagRep.14.9.145,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume14/issue09/DagRep.14.9/DagRep.14.9.pdf#page=164,,"Fair Division: Algorithms, Solution Concepts, and Applications",2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
