title,source_url,reason,solution_url
[Solved] What is the complexity of the first-order theory of trees?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/41.html,Marked solved in the RTA source.,
"[Solved] Can negations be effectivly eliminated from first-order formulas over trees, where equality is the only predicate?",https://www.cs.tau.ac.il/~nachum/rtaloop/problems/42.html,Marked solved in the RTA source.,
Design a framework for combining constraint solving algorithms.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/43.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
[Solved] Prove a Parallel Moves Lemma for reductions of infinite length.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/47.html,Marked solved in the RTA source.,
[Solved] Is embedding a well-quasi-ordering on strings?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/48.html,Marked solved in the RTA source.,
Investigate confluence and termination of combinations of typed lambda-calculi with term rewriting systems.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/50.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
[Solved] Is the first order theory of one-step rewriting decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/51.html,Marked solved in the RTA source.,
[Solved] Is there a fixed point combinator Y for which Y ↔ * Y ( SI ) ?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/52.html,Marked solved in the RTA source.,
Does the Church-Rosser property of abstract reduction systems imply decreasing Church-Rosser?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/56.html,"The countable case is solved in the source. The unrestricted uncountable formulation was omitted, not declared solved.",
[Solved] Does termination of a many-sorted rewrite system reduce to the one-sorted case in case all variables are of the same sort?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/60.html,Marked solved in the RTA source.,
[Solved] Are weakly orthogonal higher-order rewrite systems confluent?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/61.html,Marked solved in the RTA source.,
"[Solved] Is the union of two left-linear, confluent combinatory reduction systems over the same alphabet, where the rules of the first system do not overlap the rules of the second, confluent?",https://www.cs.tau.ac.il/~nachum/rtaloop/problems/62.html,Marked solved in the RTA source.,
[Solved] Is confluence of right-ground term-rewriting systems decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/63.html,Marked solved in the RTA source.,
"[Solved] Is there an equational theory for which unification with constants is decidable, but general unification is undecidable?",https://www.cs.tau.ac.il/~nachum/rtaloop/problems/66.html,Marked solved in the RTA source.,
Investigate the exact difference between linear constant restrictions and arbitrary constant restrictions in unification problems.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/67.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
[Solved] Is satisfiability of set constraints with projection and boolean operators decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/68.html,Marked solved in the RTA source.,
Design a notion of automata for graphs.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/70.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
Design pattern-matching algorithms for graphs.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/71.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
Give a definition of graph transduction that extends rational word transductions.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/72.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
[Solved] Is cycle unification decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/76.html,Marked solved in the RTA source.,
"[Solved] Is there a finite, normal form, associative-commutative term-rewriting system for lattices?",https://www.cs.tau.ac.il/~nachum/rtaloop/problems/77.html,Marked solved in the RTA source.,
[Solved] Is there a calculus of explicit substitution that is both confluent and preserves termination?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/78.html,Marked solved in the RTA source.,
[Solved] Is it possible to bound the derivation lengths of simply terminating rewrite systems by a multiply recursive function?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/81.html,Marked solved in the RTA source.,
Extend combination results on rewrite orderings to systems involving βη reductions.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/83.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
[Solved] Can the restrictions on orderings for the use in ordered theorem proving strategies be relaxed?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/85.html,Marked solved in the RTA source.,
[Solved] Is it decidable whether a single term rewrite rule can be proved terminating by a monotonic ordering that is total on ground terms?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/87.html,Marked solved in the RTA source.,
Are context unification and linear second order unification decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/90.html,Context unification was proved decidable/in PSPACE; mixed original record excluded.,
Is higher-order matching decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/94.html,Higher-order matching was proved decidable by Stirling; stale record excluded.,
[Solved] Is the first-order theory of any Knuth-Bendix ordering decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/99.html,Marked solved in the RTA source.,
Investigate normalization by a canonical term rewrite system in the setting of second-order monadic logic,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/102.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
[Solved] Termination of replacing two successive occurrences of the same symbol in a string,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/104.html,Marked solved in the RTA source.,
[Solved] Derivational complexity of replacing two successive occurrences of the same symbol in a string,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/105.html,Marked solved in the RTA source.,
Open Problem: The Sample Complexity of Multi-Distribution Learning for VC Classes,https://proceedings.mlr.press/v195/awasthi23a.html,The COLT 2023 multidistribution sample-complexity question was resolved by later work (COLT 2024).,
Open Problem: Optimal Best Arm Identification with Fixed-Budget,https://proceedings.mlr.press/v178/open-problem-qin22a.html,Individual primary publication page could not be retrieved.,
Open Problem: Are all VC-classes CPAC learnable?,https://proceedings.mlr.press/v134/open-problem-agarwal21b.html,Individual primary publication page could not be retrieved.,
Open Problem: Is There an Online Learning Algorithm That Learns Whenever Online Learning Is Possible?,https://proceedings.mlr.press/v134/open-problem-hanneke21b.html,Individual primary publication page could not be retrieved.,
Open Problem: Tight Online Confidence Intervals for RKHS Elements,https://proceedings.mlr.press/v134/open-problem-vakili21a.html,Individual primary publication page could not be retrieved.,
Open Problem: Can Single-Shuffle SGD be Better than Reshuffling SGD and GD?,https://proceedings.mlr.press/v134/open-problem-yun21a.html,Individual primary publication page could not be retrieved.,
Open Problem: Tight Convergence of SGD in Constant Dimension,https://proceedings.mlr.press/v125/koren20a.html,Individual primary publication page could not be retrieved.,
Open Problem: Average-Case Hardness of Hypergraphic Planted Clique Detection,https://proceedings.mlr.press/v125/luo20a.html,Individual primary publication page could not be retrieved.,
Open Problem: Fast and Optimal Online Portfolio Selection,https://proceedings.mlr.press/v125/van-erven20a.html,Individual primary publication page could not be retrieved.,
Open Problem: Is Margin Sufficient for Non-Interactive Private Distributed Learning?,https://proceedings.mlr.press/v99/daniely19a.html,Individual primary publication page could not be retrieved.,
Open Problem: First-Order Regret Bounds for Contextual Bandits,https://proceedings.mlr.press/v65/agarwal17a.html,First-order contextual-bandit regret bounds were subsequently obtained.,
Open Problem: Parameter-Free and Scale-Free Online Algorithms,https://proceedings.mlr.press/v49/orabona16.html,Subsequent parameter-free / scale-free online-learning results supersede the old formulation.,
Open Problem: Adversarial Multiarmed Bandits with Limited Advice,https://proceedings.mlr.press/v30/Seldin13.html,Limited-advice adversarial-bandit question has subsequent resolutions; excluded pending exact comparison.,
Open Problem: Fast Stochastic Exp-Concave Optimization,https://proceedings.mlr.press/v30/Koren13.html,Fast stochastic exp-concave rates have subsequent resolutions; excluded pending exact comparison.,
Open Problem: Regret Bounds for Thompson Sampling,https://proceedings.mlr.press/v23/li12.html,Thompson-sampling regret bounds were subsequently proved.,
Open Problem: Better Bounds for Online Logistic Regression,https://proceedings.mlr.press/v23/mcmahan12.html,Improper online logistic regression subsequently achieved improved logarithmic regret.,
Open Problem: Is Averaging Needed for Strongly Convex Stochastic Gradient Descent?,https://proceedings.mlr.press/v23/shamir12.html,Optimal last-iterate SGD results address the old averaging question.,
Maximum-Area Triangle in a Convex Polygon,https://doi.org/10.4230/DagRep.7.4.107,Linear-time maximum triangle algorithms appeared in 2017.,https://arxiv.org/abs/1706.03049
Even Set,https://doi.org/10.4230/DagRep.7.1.103,Parameterized Even Set hardness was subsequently established.,https://arxiv.org/abs/1803.09717
FPT-approximation of Maximum Clique and Minimum Dominating Set,https://doi.org/10.4230/DagRep.7.1.103,FPT inapproximability of Clique and Dominating Set has since been established; old mixed formulation omitted.,
Directed Odd Cycle Traversal,https://doi.org/10.4230/DagRep.7.1.103,Directed odd-cycle transversal has subsequent parameterized hardness results; old formulation omitted pending exact comparison.,
The Recognition Problem of B1 -EPG and B1 -VPG Graphs,https://doi.org/10.4230/DagRep.1.5.29,The combined B1-EPG/B1-VPG recognition record has later hardness resolutions.,
Linear Time Recognition of Circle Graphs,https://doi.org/10.4230/DagRep.1.5.29,Subsequent circle-graph recognition algorithms address the old target.,
"Independence polynomial of G (Alan Sokal, 2001)",https://doi.org/10.4230/DagRep.6.6.26,Sokal’s zero-free neighborhood conjecture was resolved by Peters and Regts.,https://arxiv.org/abs/1701.08049
Solving ILPF in Single Exponential Time in the Number of Variables,https://doi.org/10.4230/DagRep.4.11.1,The older integer-programming running-time target is superseded by later algorithms.,
Parameterized approximation scheme for Steiner tree,https://doi.org/10.4230/DagRep.7.3.45,Parameterized approximation for Steiner Tree has substantial subsequent results; old target omitted pending comparison.,
Stochastic bounding box,https://doi.org/10.4230/DagRep.9.1.67,Duplicate stochastic bounding-box question; retain seminar 21181.,
Three disjoint paths that are each shortest paths,https://doi.org/10.4230/DagRep.9.1.67,Duplicate of the three shortest disjoint paths question in the same report.,
Shortest Vector Problem (SVP) in `1 Norm,https://doi.org/10.4230/DagRep.9.1.67,Parameterized SVP hardness in l1 was subsequently established.,https://arxiv.org/abs/2211.07900
Treewidth of Planar Graphs Hans Bodlaender,https://doi.org/10.4230/DagRep.3.8.40,Duplicate planar-treewidth question; retain seminar 16221.,
Improving pseudo polynomial time algorithms for Subset Sum Jesper Nederlof,https://doi.org/10.4230/DagRep.3.8.40,Near-linear pseudopolynomial Subset Sum algorithms supersede this old target.,
An open problem on gaps for vertex cover,https://doi.org/10.4230/DagRep.7.9.1,"Use the more recent, precise C3-equivalent vertex-cover gap question in seminar 22051.",
Recognizing map graphs,https://doi.org/10.4230/DagRep.3.10.36,Duplicate map-graph recognition question; retain seminar 11182.,
Min-2-Lin over Z4 parameterized by deletions,https://pacs2024.github.io/pacs2024-open-problems.pdf,The prime-power-modulus case was proved FPT in April 2026.,https://arxiv.org/abs/2604.10369
Classical oracle separation of QMA and QCMA,https://www.scottaaronson.com/papers/open.pdf,A classical oracle separation was announced in November 2025.,https://arxiv.org/abs/2511.09551
Good games for good-for-games automata,https://automata.exchange/20.08-good-games/,The parity two-token conjecture was proved in 2025; broader extensions require their own formulations.,https://arxiv.org/abs/2503.24244
Fast $L_1$ Difference,https://sublinear.info/index.php?title=Open_Problems:1,Old update-time target has extensive subsequent work; omitted pending a precise current formulation.,
Quantiles,https://sublinear.info/index.php?title=Open_Problems:2,Old mixed quantile-space and analysis questions have substantial later resolutions; omitted pending model-specific reformulation.,
Counting Triangles,https://sublinear.info/index.php?title=Open_Problems:11,The page’s update supplies the requested turnstile triangle-counting algorithm.,
Deterministic $CUR$-Type Decompositions,https://sublinear.info/index.php?title=Open_Problems:12,Deterministic near-optimal CUR decompositions were subsequently constructed.,https://arxiv.org/abs/1405.7910
Streaming Max-Cut/Max-CSP,https://sublinear.info/index.php?title=Open_Problems:45,The page reports the linear-space Max-Cut lower bound; use the newer individually stated CSP conjectures.,https://www.cs.umd.edu/~gasarch/open/streamapprox.pdf
Efficient Profile Maximum Likelihood Computation,https://sublinear.info/index.php?title=Open_Problems:84,Polynomial-time approximate PML was subsequently obtained; the old mixed formulation is omitted.,https://arxiv.org/abs/1905.08448
Fair Partitioning of Convex Polygons,https://topp.openproblem.net/p67,Equal-area equal-perimeter convex partitions for arbitrary part counts were proved; the main conjecture is solved.,https://arxiv.org/abs/1804.03057
How to compute finite and complete sets of unifiers for any finitary unification problem of a syntactic equational theory.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/44.html,The source itself says that the core problem was solved (Boudet–Contejean).,
How can termination orderings for term rewriting be adapted to cover those cases in which graph rewriting is terminating although term rewriting is not?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/74.html,A source comment claims a resolution; omitted because the exact remaining target is unclear.,
"Is there a calculus of explicit substitution that is confluent on open terms, simulates one-step beta-reduction and preserves beta-strong normalization?",https://www.cs.tau.ac.il/~nachum/rtaloop/problems/88.html,"The source comment explicitly reports a positive solution (Goubault-Larrecq, 1999).",
Oracle separation between QMA and QMA(2),https://www.scottaaronson.com/papers/open.pdf,A quantum oracle separation was announced on 2026-09-02.,https://arxiv.org/abs/2609.02865
Deciding efficiently history-determinism for ω-automata,https://doi.org/10.4230/DagRep.11.10.57,The two-token conjecture was proved in 2025.,https://arxiv.org/abs/2503.24244
Upward Planarity Testing Parameterized by Treewidth,https://doi.org/10.4230/DagRep.13.4.58,Upward Planarity is W[1]-hard parameterized by treewidth.,https://repositum.tuwien.at/handle/20.500.12708/230293
The Separating Words Problem,https://doi.org/10.4230/DagRep.1.2.47,Duplicate of the more recent Automata Exchange separating-words entry.,
Covering by Rectangles: Is Slicing Essential?,https://doi.org/10.4230/DagRep.1.2.67,The report says this was settled during the seminar.,
Complexity of Public Goods Games on Graph – Nash equilibrium,https://doi.org/10.4230/DagRep.12.11.28,The source labels this problem solved.,
Are linear algorithms non-adaptive?,https://doi.org/10.4230/DagRep.13.8.106,The report says the question was solved completely during the seminar.,
Fast algorithm for DRPP w.r.t. the number of weakly connected components,https://doi.org/10.4230/DagRep.3.8.40,The report’s update answers both questions affirmatively.,
Exact Algorithm For Subgraph Isomorphism,https://doi.org/10.4230/DagRep.3.8.40,Subsequent tight ETH lower bounds address this running-time question.,
Distances in temporal graphs,https://doi.org/10.4230/DagRep.11.3.16,The report explicitly says these questions were later solved.,
Subgraph isomorphism in planar graphs with a twist,https://doi.org/10.4230/DagRep.3.10.36,Duplicate of the later planar subgraph-isomorphism difference-parameter question.,
