FOCS-2021-001 | approx | A Better-than-2 Approximation for Weighted Tree Augmentation
FOCS-2021-062 | online | Online and Distribution-Free Robustness: Regression and Contextual Bandits with Huber Contamination
FOCS-2021-063 | learn | Learning Deep ReLU Networks Is Fixed-Parameter Tractable
FOCS-2021-064 | code | Improved List-Decodability and List-Recoverability of Reed—Solomon Codes via Tree Packings
FOCS-2021-065 | code | List-Decodability with Large Radius for Reed-Solomon Codes
FOCS-2021-066 | code | The Zero-Rate Threshold for Adversarial bit-Deletions is Less than 1/2
FOCS-2021-067 | code | Exponential Lower Bounds for Locally Decodable and Correctable Codes for Insertions and Deletions
FOCS-2021-068 | learn | On Worst-Case Learning in Relativized Heuristica
FOCS-2021-069 | cx | Amortized Circuit Complexity, Formal Complexity Measures, and Catalytic Algorithms
FOCS-2021-070 | proof | LEARN-Uniform Circuit Lower Bounds and Provability in Bounded Arithmetic
FOCS-2021-071 | csp | On Classifying Continuous Constraint Satisfaction Problems
FOCS-2021-072 | ds | Breaking the Cubic Barrier for (Unweighted) Tree Edit Distance
FOCS-2021-073 | alg | Superpolynomial Lower Bounds Against Low-Depth Algebraic Circuits
FOCS-2021-074 | game | Combinatorial Contracts
FOCS-2021-075 | game | FIXP-Membership via Convex Optimization: Games, Cakes, and Markets
FOCS-2021-076 | game | On the Nisan-Ronen Conjecture
FOCS-2021-077 | game | Continuity, Uniqueness and Long-Term Behavior of Nash Flows Over Time
FOCS-2021-078 | dyn | Fully Dynamic s-t Edge Connectivity in Subpolynomial Time
FOCS-2021-079 | graph | Time-Optimal Sublinear Algorithms for Matching and Vertex Cover
FOCS-2021-080 | stream | Small-Space and Streaming Pattern Matching with k Edits
FOCS-2021-081 | q | A Quantum Advantage for a Natural Streaming Problem
FOCS-2021-082 | test | Statistically Near-Optimal Hypothesis Selection
FOCS-2021-083 | learn | Properly Learning Decision Trees in Almost Polynomial Time
FOCS-2021-084 | cx | Sharper Bounds on the Fourier Concentration of DNFs
FOCS-2021-085 | online | Smoothed Analysis with Adaptive Adversaries
FOCS-2021-086 | dp | Hiding Among the Clones: A Simple and Nearly Optimal Analysis of Privacy Amplification by Shuffling
FOCS-2021-087 | online | Settling the Horizon-Dependence of Sample Complexity in Reinforcement Learning
FOCS-2021-088 | learn | Feature Purification: How Adversarial Training Performs Robust Deep Learning
FOCS-2021-089 | dist | Minor Sparsifiers and the Distributed Laplacian Paradigm
FOCS-2021-090 | dyn | Deterministic Decremental SSSP and Approximate Min-Cost Flow in Almost-Linear Time
FOCS-2021-091 | dist | Deterministic Distributed Vertex Coloring:Simpler, Faster, and Without Network Decomposition
FOCS-2021-092 | fg | Hardness of Approximate Diameter: Now for Undirected Graphs
FOCS-2021-093 | sat | MAJORITY-3SAT (and Related Problems) in Polynomial Time
FOCS-2021-094 | dist | A Time and Space Optimal Stable Population Protocol Solving Exact Majority
FOCS-2021-095 | general | Stochastic and Worst-Case Generalized Sorting Revisited
FOCS-2021-096 | cx | Tight Space Complexity of the Coin Problem
FOCS-2021-097 | comb | A Proof of the Erdős–Faber–Lovász Conjecture: Algorithmic Aspects
FOCS-2021-098 | alg | New Data Structure for Univariate Polynomial Approximation and Applications to Root Isolation, Numerical Multipoint Evaluation, and Other Problems
FOCS-2021-099 | lattice | The Supersingular Isogeny Path and Endomorphism Ring Problems are Equivalent
FOCS-2021-100 | top | Harmonic Persistent Homology
FOCS-2021-101 | graph | A Nearly Optimal All-Pairs Min-Cuts Algorithm in Simple Graphs
FOCS-2021-102 | graph | APMF < APSP? Gomory-Hu Tree for Unweighted Graphs in Almost-Quadratic Time
FOCS-2021-103 | graph | Minimum Cuts in Directed Graphs via Partial Sparsification
FOCS-2021-104 | graph | Spectral Hypergraph Sparsifiers of Nearly Linear Size
FOCS-2021-105 | ds | Linear Probing Revisited: Tombstones Mark the Demise of Primary Clustering
FOCS-2021-106 | stream | Tight Bounds for Adversarially Robust Streams and Sliding Windows via Difference Estimators
FOCS-2021-107 | csp | Approximability of all Finite CSPs with Linear Sketches
FOCS-2021-108 | geom | Terminal Embeddings in Sublinear Time
FOCS-2021-109 | cx | Winning the War by (Strategically) Losing Battles: Settling the Complexity of Grundy-Values in Undirected Geography
FOCS-2021-110 | inf | Reachability in Vector Addition Systems is Ackermann-Complete
FOCS-2021-111 | inf | The Reachability Problem for Petri Nets is Not Primitive Recursive
FOCS-2021-112 | online | Random Order Online Set Cover is as Easy as Offline
FOCS-2021-113 | online | Improved Online Correlated Selection
FOCS-2021-114 | online | Multiway Online Correlated Selection
FOCS-2021-115 | q | A Direct Product Theorem for Quantum Communication Complexity with Applications to Device-Independent QKD
FOCS-2021-116 | q | Quantum Supremacy and Hardness of Estimating Output Probabilities of Quantum Circuits
FOCS-2021-117 | q | Noise and the Frontier of Quantum Supremacy
FOCS-2022-001 | code | Binary Codes with Resilience Beyond 1/4 via Interaction
FOCS-2022-002 | code | Error Correcting Codes that Achieve BSC Capacity Against Channels that are Poly-Size Circuits
FOCS-2022-003 | code | Relaxed Locally Decodable and Correctable Codes: Beyond Tensoring
FOCS-2022-004 | code | Punctured Low-Bias Codes Behave Like Random Linear Codes
FOCS-2022-005 | q | Classical Verification of Quantum Computations in Linear Time
FOCS-2022-006 | q | Inapproximability of Positive Semidefinite Permanents and Quantum State Tomography
FOCS-2022-007 | q | Verifiable Quantum Advantage Without Structure
FOCS-2022-008 | learn | Properly Learning Monotone Functions via Local Correction
FOCS-2022-009 | test | Testing Positive Semidefiniteness using Linear Measurements
FOCS-2022-010 | test | Improved Optimal Testing Results from Global Hypercontractivity
FOCS-2022-011 | count | Localization Schemes: A Framework for Proving Mixing Bounds for Markov Chains
FOCS-2022-012 | count | Optimal Sublinear Sampling of Spanning Trees and Determinantal Point Processes via Average-Case Entropic Independence
FOCS-2022-013 | q | Optimal Learning of Quantum Hamiltonians from high-Temperature Gibbs States
FOCS-2022-014 | count | Sampling Lovász Local Lemma for General Constraint Satisfaction Solutions in Near-Linear Time
FOCS-2022-015 | cx | Pure-Circuit: Strong Inapproximability for PPAD
FOCS-2022-016 | online | Order Selection Prophet Inequality: From Threshold Optimization to Arrival Time Design
FOCS-2022-017 | game | First Price Auction is 1-1/e^2 Efficient
FOCS-2022-018 | proof | Simple Hard Instances for Low-Depth Algebraic Proofs
FOCS-2022-019 | alg | Separated Borders: Exponential-gap Fanin-Hierarchy Theorem for Approximative Depth-3 Circuits
FOCS-2022-020 | alg | Radical Sylvester-Gallai Theorem for Cubics
FOCS-2022-021 | alg | Fast Multivariate Multipoint Evaluation Over All Finite Fields
FOCS-2022-022 | opt | Solving SDP Faster: A Robust IPM Framework and Efficient Implementation
FOCS-2022-023 | opt | Improved Lower Bounds for Submodular Function Minimization
FOCS-2022-024 | opt | Determinant Maximization via Matroid Intersection Algorithms
FOCS-2022-025 | opt | Interior Point Methods are not Worse than Simplex
FOCS-2022-026 | approx | Survivable Network Design Revisited: Group-Connectivity
FOCS-2022-027 | approx | Approximation Algorithms and Hardness for n-Pairs Shortest Paths and All-Nodes Shortest Cycles
FOCS-2022-028 | approx | Fitting Metrics and Ultrametrics with Minimum Disagreements
FOCS-2022-029 | avg | Tight Lipschitz Hardness for Optimizing Mean Field Spin Glasses
FOCS-2022-030 | avg | Sampling from the Sherrington-Kirkpatrick Gibbs Measure via Algorithmic Stochastic Localization
FOCS-2022-031 | q | Performance and Limitations of the QAOA at Constant Levels on Large Sparse Hypergraphs and Spin Glass Models
FOCS-2022-032 | count | Algorithms for the Ferromagnetic Potts Model on Expanders
FOCS-2022-033 | alg | On Matrix Multiplication and Polynomial Identity Testing
FOCS-2022-034 | graph | Cheeger Inequalities for Vertex Expansion and Reweighted Eigenvalues
FOCS-2022-035 | comb | Almost Ramanujan Expanders from Arbitrary Expanders via Operator Amplification
FOCS-2022-036 | graph | Motif Cut Sparsifiers
FOCS-2022-037 | prg | Fooling Polynomials using Invariant Theory
FOCS-2022-038 | prg | Derandomizing Directed Random Walks in Almost-Linear Time
FOCS-2022-039 | ds | Linear Hashing with ℓ∞ Guarantees and two-Sided Kakeya Bounds
FOCS-2022-040 | avg | Unstructured Hardness to Average-Case Randomness
FOCS-2022-041 | dist | Local Computation of Maximal Independent Set
FOCS-2022-042 | stream | Streaming Facility Location in High Dimension via Geometric Hashing
FOCS-2022-043 | geom | The Power of Uniform Sampling for Coresets
FOCS-2022-044 | stream | On Weighted Graph Sparsi?cation by Linear Sketching
FOCS-2022-045 | stream | Factorial Lower Bounds for (Almost) Random Order Streams
FOCS-2022-046 | q | The Quantum and Classical Streaming Complexity of Quantum and Classical Max-Cut
FOCS-2022-047 | graph | Cut Query Algorithms with Star Contraction
FOCS-2022-048 | learn | Memory Bounds for Continual Learning
FOCS-2022-049 | graph | Induced Cycles and Paths Are Harder Than You Think
FOCS-2022-050 | avg | Hardness Self-Amplification from Feasible Hard-Core Sets
FOCS-2022-051 | fg | A Tight (non-Combinatorial) Conditional Lower Bound for Klee’s Measure Problem in 3D
FOCS-2022-052 | learn | Sparse Random Hypergraphs: Non-Backtracking Spectra and Community Detection
FOCS-2022-053 | avg | Algorithms and Barriers in the Symmetric Binary Perceptron Model
FOCS-2022-054 | count | Optimal Mixing for two-State Anti-Ferromagnetic Spin Systems
FOCS-2022-055 | graph | Negative-Weight Single-Source Shortest Paths in Near-Linear Time
FOCS-2022-056 | graph | Maximum Flow and Minimum-Cost Flow in Almost-Linear Time
FOCS-2022-057 | prg | Randomised Composition and Small-Bias Minimax
FOCS-2022-058 | comb | A Proof of the Kahn-Kalai Conjecture
FOCS-2022-059 | cx | On the Range Avoidance Problem for Circuits
FOCS-2022-060 | approx | Correlation Clustering with Sherali-Adams
FOCS-2022-061 | proof | Explicit Lower Bounds Against Ω(n)-Rounds of Sum-of-Squares
FOCS-2022-062 | ds | Gap Edit Distance via Non-Adaptive Queries: Simple and Optimal
FOCS-2022-063 | ds | Õ(n + Poly(k))-Time Algorithm for Distance k Tree Edit Distance
FOCS-2022-064 | ds | Faster Pattern Matching Under Edit Distance
FOCS-2022-065 | ds | Estimating the Longest Increasing Subsequence in Nearly Optimal Time
FOCS-2022-066 | dist | Almost 3-Approximate Correlation Clustering in Constant Rounds
FOCS-2022-067 | stream | High-Dimensional Geometric Streaming in Polynomial Space
FOCS-2022-068 | learn | Active Linear Regression for ℓp Norms and Beyond
FOCS-2022-069 | dp | Differential Privacy from Locally Adjustable Graph Algorithms: k-Core Decomposition, Low Out-Degree Ordering, and Densest Subgraphs
FOCS-2022-070 | graph | Having Hope in Hops: New Spanners, Preservers and Lower Bounds for Hopsets
FOCS-2022-071 | graph | New Additive Spanner Lower Bounds by an Unlayered Obstacle Product
FOCS-2022-072 | graph | Deterministic Small Vertex Connectivity in Almost Linear Time
FOCS-2022-073 | general | Balanced Allocations: The Heavily Loaded Case with Deletions
FOCS-2022-074 | learn | Binary Iterative Hard Thresholding Converges with Optimal Number of Measurements for 1-Bit Compressed Sensing
FOCS-2022-075 | learn | Minimax Rates for Robust Community Detection
FOCS-2022-076 | approx | A (Slightly) Improved Bound on the Integrality Gap of the Subtour LP for TSP
FOCS-2022-077 | q | Generalised Entropy Accumulation
FOCS-2022-078 | crypto | Post-Quantum Zero Knowledge, Revisited or: How to Do Quantum Rewinding Undetectably
FOCS-2022-079 | count | What is in #P and what is not?
FOCS-2022-080 | q | Quantum Tanner codes
FOCS-2022-081 | graph | Breaking the Cubic Barrier for All-Pairs Max-Flow: Gomory-Hu Tree in Nearly Quadratic Time
FOCS-2022-082 | approx | Constant Approximation of Min-Distances in Near-Linear Time
FOCS-2022-083 | graph | Algorithms and Lower Bounds for Replacement Paths Under Multiple Edge Failures
FOCS-2022-084 | graph | Solving the Hamilton Cycle Problem fast on Average
FOCS-2022-085 | learn | Planting Undetectable Backdoors in Machine Learning Models
FOCS-2022-086 | learn | A Characterization of Multiclass Learnability
FOCS-2022-087 | alg | Polynomial-Time Power-Sum Decomposition of Polynomials
FOCS-2022-088 | learn | NP-Hardness of Learning Programs and Partial MCSP
FOCS-2022-089 | ds | Online List Labeling: Breaking the log^2 n Barrier
FOCS-2022-090 | ds | A Hash Table Without Hash Functions, and How to Get the Most Out of Your Random Bits
FOCS-2022-091 | graph | Near-Optimal Deterministic Vertex-Failure Connectivity Oracles
FOCS-2022-092 | dyn | Fast Deterministic Fully Dynamic Distance Approximation
FOCS-2022-093 | crypto | Indistinguishability Obfuscation via Mathematical Proofs of Equivalence
FOCS-2022-094 | crypto | Geometry of Secure Two-Party Computation
FOCS-2022-095 | crypto | Incrementally Verifiable Computation via Rate-1 Batch Arguments
FOCS-2022-096 | crypto | Rate-1 Non-Interactive Arguments for Batch-NP and Applications
FOCS-2022-097 | graph | Killing a Vortex
FOCS-2022-098 | approx | Low Treewidth Embeddings of Planar and Minor-Free Metrics
FOCS-2022-099 | graph | An Approximate Generalization of the Okamura-Seymour Theorem
FOCS-2022-100 | graph | Shortest Paths Without a Map, but with an Entropic Regularizer
FOCS-2022-101 | dist | Deterministic Low-Diameter Decompositions for Weighted Graphs and Distributed and Parallel Applications
FOCS-2022-102 | dist | Computing in Anonymous Dynamic Networks Is Linear
FOCS-2022-103 | graph | The Implicit Graph Conjecture is False
FOCS-2022-104 | proof | On Bounded Depth Proofs for Tseitin Formulas on the Grid; Revisited
FOCS-2022-105 | proof | Separations in Proof Complexity and TFNP
FOCS-2022-106 | crypto | Continuous LWE is as Hard as LWE & Applications to Learning Gaussian Mixtures
FOCS-2022-107 | comm | Nearly Optimal Communication and Query Complexity of Bipartite Matching
FOCS-2022-108 | comm | Strong XOR Lemma for Communication with Bounded Rounds
FOCS-2022-109 | comm | Rounds vs Communication Tradeoffs for Maximal Independent Sets
FOCS-2022-110 | q | Tight Bounds for Quantum State Certification with Incoherent Measurements
FOCS-2023-001 | proof | Graph Colouring Is Hard on Average for Polynomial Calculus and Nullstellensatz
FOCS-2023-002 | proof | Clique Is Hard on Average for Unary Sherali-Adams
FOCS-2023-003 | csp | On Lifting Integrality Gaps to SSEH Hardness for Globally Constrained CSPs
FOCS-2023-004 | proof | On Small-Depth Frege Proofs for PHP
FOCS-2023-005 | graph | Thin Trees for Laminar Families
FOCS-2023-006 | approx | One Tree to Rule Them All: Poly-Logarithmic Universal Steiner Tree
FOCS-2023-007 | geom | Optimal Fault-Tolerant Spanners in Euclidean and Doubling Metrics: Breaking the Ω (log n) Lightness Barrier
FOCS-2023-008 | geom | Sub-quadratic $(1+\eps)$-approximate Euclidean Spanners, with Applications
FOCS-2023-009 | game | Envy-Free Cake-Cutting for Four Agents
FOCS-2023-010 | game | Convergence of Approximate and Packet Routing Equilibria to Nash Flows Over Time
FOCS-2023-011 | game | Simultaneous Auctions are Approximately Revenue-Optimal for Subadditive Bidders
FOCS-2023-012 | game | Constant Approximation for Private Interdependent Valuations
FOCS-2023-013 | code | Randomly Punctured Reed–Solomon Codes Achieve the List Decoding Capacity over Polynomial-Size Alphabets
FOCS-2023-014 | code | A Proof that Reed-Muller Codes Achieve Shannon Capacity on Symmetric Channels
FOCS-2023-015 | code | Gilbert and Varshamov Meet Johnson: List-Decoding Explicit Nearly-Optimal Binary Codes
FOCS-2023-016 | code | Optimal Testing of Generalized Reed-Muller Codes in Fewer Queries
FOCS-2023-017 | approx | Separating MAX 2-AND, MAX DI-CUT and MAX CUT
FOCS-2023-018 | csp | Triplet Reconstruction and all Other Phylogenetic CSPs are Approximation Resistant
FOCS-2023-019 | approx | Improved Hardness of Approximating k-Clique Under ETH
FOCS-2023-020 | csp | Efficient Algorithms for Semirandom Planted CSPs at the Refutation Threshold
FOCS-2023-021 | alg | The Minimal Canonical form of a Tensor Network
FOCS-2023-022 | q | Query-Optimal Estimation of Unitary Channels in Diamond Distance
FOCS-2023-023 | q | When Does Adaptivity Help for Quantum State Learning?
FOCS-2023-024 | q | Exponential Quantum Speedup in Simulating Coupled Classical Oscillators
FOCS-2023-025 | crypto | Attribute-Based Encryption for Circuits of Unbounded Depth from Lattices
FOCS-2023-026 | crypto | ABE for Circuits with Poly(\lambda)-Sized Keys from LWE
FOCS-2023-027 | learn | Learning in Pessiland via Inductive Inference
FOCS-2023-028 | crypto | Kolmogorov Comes to Cryptomania: On Interactive Kolmogorov Complexity and Key-Agreement
FOCS-2023-029 | graph | A Randomized Algorithm for Single-Source Shortest Path on Undirected Real-Weighted Graphs
FOCS-2023-030 | graph | Faster High Accuracy Multi-Commodity Flow from Single-Commodity Techniques
FOCS-2023-031 | graph | A Deterministic Almost-Linear Time Algorithm for Minimum-Cost Flow
FOCS-2023-032 | graph | Negative-Weight Single-Source Shortest Paths in Near-Linear Time: Now Faster!
FOCS-2023-033 | crypto | Advisor-Verifier-Prover Games and the Hardness of Information Theoretic Cryptography
FOCS-2023-034 | code | On Pseudolinear Codes for Correcting Adversarial Errors
FOCS-2023-035 | crypto | A New Approach to Post-Quantum Non-Malleability
FOCS-2023-036 | dp | Towards Separating Computational and Statistical Differential Privacy
FOCS-2023-037 | approx | Bridge Girth: A Unifying Notion in Network Design
FOCS-2023-038 | param | Planar Disjoint Paths, Treewidth, and Kernels
FOCS-2023-039 | graph | Flip-Width: Cops and Robber on Dense Graphs
FOCS-2023-040 | graph | Folklore Sampling is Optimal for Exact Hopsets: Confirming the $\sqrt{n}$ Barrier
FOCS-2023-041 | comm | Fourier Growth of Communication Protocols for XOR Functions
FOCS-2023-042 | cx | SAT Reduces to the Minimum Circuit Size Problem with a Random Oracle
FOCS-2023-043 | proof | Doubley-Efficient Interactive Proofs for Distribution Properties
FOCS-2023-044 | proof | IOPs with Inverse Polynomial Soundness Error
FOCS-2023-045 | graph | Lipschitz Continuous Algorithms for Graph Problems
FOCS-2023-046 | graph | Compressing CFI Graphs and Lower Bounds for the Weisfeiler-Leman Refinements
FOCS-2023-047 | count | Strong Spatial Mixing for Colorings on Trees and its Algorithmic Applications
FOCS-2023-048 | graph | Singular Value Approximation and Sparsifying Random Walks on Directed Graphs
FOCS-2023-049 | stream | Improved Streaming Algorithms for Maximum Directed Cut via Smoothed Snapshots
FOCS-2023-050 | stream | Streaming Lower Bounds and Asymmetric Set-Disjointness
FOCS-2023-051 | stream | Streaming Euclidean k-Median and k-Means with o(log n) Space
FOCS-2023-052 | stream | Hidden Permutations to the Rescue: Multi-Pass Streaming Lower Bounds for Approximate Matchings
FOCS-2023-053 | comb | Strong Bounds for 3-Progressions
FOCS-2023-054 | opt | The Subspace Flatness Conjecture and Faster Integer Programming
FOCS-2023-055 | prg | Certified Hardness vs. Randomness for Log-Space
FOCS-2023-056 | prg | Derandomization vs Refutation: A Unified Framework for Characterizing Derandomization
FOCS-2023-057 | cx | Top-Down Lower Bounds for Depth-Four Circuits
FOCS-2023-058 | cx | Toward Better Depth Lower Bounds: A KRW-Like Theorem for Strong Composition
FOCS-2023-059 | approx | Handling Correlated Rounding Error via Preclustering: A 1.73-Approximation for Correlation Clustering
FOCS-2023-060 | stream | Deterministic Clustering in High Dimensional Spaces: Sketches and Approximation
FOCS-2023-061 | learn | The Price of Explainability for Clustering
FOCS-2023-062 | learn | Agnostic proper learning of monotone functions: beyond the black-box correction barrier
FOCS-2023-063 | online | Near Optimal Memory-Regret Tradeoff for Online Learning
FOCS-2023-064 | learn | Tight Time-Space Lower Bounds for Constant-Pass Learning
FOCS-2023-065 | learn | Optimal PAC Bounds Without Uniform Convergence
FOCS-2023-066 | prg | Weighted Pseudorandom Generators via Inverse Analysis of Random Walks and Shortcutting
FOCS-2023-067 | q | Explicit Orthogonal and Unitary Designs
FOCS-2023-068 | prg | Polynomial-Time Pseudodeterministic Construction of Primes
FOCS-2023-069 | prg | Two Source Extractors for Asymptotically Optimal Entropy, and (Many) More
FOCS-2023-070 | opt | Traversing Combinatorial 0/1-Polytopes via Optimization
FOCS-2023-071 | comb | The Vector Balancing Constant for Zonotopes
FOCS-2023-072 | approx | A Deterministic Near-Linear Time Approximation Scheme for Geometric Transportation
FOCS-2023-073 | alg | Computing Linear Sections of Varieties: Quantum Entanglement, Tensor Decompositions and Beyond
FOCS-2023-074 | proof | Parallel Repetition for the GHZ Game: Exponential Decay
FOCS-2023-075 | q | Bounding the Quantum Value of Compiled Nonlocal Games: From CHSH to BQP Verification
FOCS-2023-076 | q | stateQIP = Statepspace
FOCS-2023-077 | geom | Constant-Factor Approximation Algorithms for Convex Cover and Hidden Set in a Simple Polygon
FOCS-2023-078 | sched | Improved Approximations for Vector Bin Packing via Iterative Randomized Rounding
FOCS-2023-079 | param | Parameterized Approximation Schemes for Clustering with General Norm Objectives
FOCS-2023-080 | opt | Memory-Query Tradeoffs for Randomized Convex Optimization
FOCS-2023-081 | alg | Quartic Samples Suffice for Fourier Interpolation
FOCS-2023-082 | alg | Fast Numerical Multivariate Multipoint Evaluation
FOCS-2023-083 | ds | Locally Uniform Hashing
FOCS-2023-084 | alg | Generalizations of Matrix Multiplication can Solve the Light Bulb Problem
FOCS-2023-085 | stream | Tight Space Lower Bound for Pseudo-Deterministic Approximate Counting
FOCS-2023-086 | prg | Extracting Randomness from Samplable Distributions, Revisited
FOCS-2023-087 | prg | Pseudorandom Hashing for Space-Bounded Computation with Applications in Streaming
FOCS-2023-088 | prg | Work-Efficient Parallel Derandomization I: Chernoff-Like Concentrations via Pairwise Independence
FOCS-2023-089 | dyn | Dynamic (1+epsilon)-Approximate Matching Size in Truly Sublinear Update Time
FOCS-2023-090 | dyn | Super-Logarithmic Lower Bounds for Dynamic Graph Problems
FOCS-2023-091 | ds | The Complexity of Dynamic Least-Squares Regression
FOCS-2023-092 | ds | Approximating Edit Distance in the Fully Dynamic Model
FOCS-2023-093 | comb | From Grassmannian to Simplicial High-Dimensional Expanders
FOCS-2023-094 | prg | HDX Condensers
FOCS-2023-095 | count | Optimal Mixing of the Down-up Walk on Independent Sets of a Given Size
FOCS-2023-096 | code | List Decoding of Tanner and Expander Amplified Codes from Distance Certificates
FOCS-2023-097 | online | Chasing Positive Bodies
FOCS-2023-098 | ds | Dynamic "Succincter"
FOCS-2023-099 | dyn | Dynamic Treewidth
FOCS-2023-100 | dyn | Sensitivity and Dynamic Distance Oracles via Generic Matrices and Frobenius Form
FOCS-2023-101 | test | A Strong Composition Theorem for Junta Complexity and the Boosting of Property Testers
FOCS-2023-102 | test | New Lower Bounds for Adaptive Tolerant Junta Testing
FOCS-2023-103 | test | Testing Graph Properties with the Container Method
FOCS-2023-104 | test | A d^{1/2+o(1)} Monotonicity Tester for Boolean Functions on $d$-Dimensional Hypergrids*
FOCS-2023-105 | ds | Strongly History-Independent Storage Allocation: New Upper and Lower Bounds
FOCS-2023-106 | ds | Tight Cell-Probe Lower Bounds for Dynamic Succinct Dictionaries
