# mode | editorial family | IDs (star: first is the center; clique: every pair)
S | P versus NP and direct neighboring separations | 0001 0002 0016 0018 0021 6530 6532 6534 6832 6686 6979 7167 7321 6595
C | SVP polynomial-factor hardness | 0655 0658 0662 6667
C | SVP certificates | 0657 0660 0648
C | SVP fine-grained hardness | 0647 1170 0653
C | Deterministic SVP reductions | 0651 5242
C | Parameterized shortest-vector hardness | 0646 5242
C | Worst-case LWE reductions | 0659 6861 6864
C | Structured lattice hardness | 0661 6863 6864 6868
C | Factoring discrete logs and lattices | 0656 6617 6618
C | Arithmetic search and self-reductions | 6617 5395
C | Explicit primes | 7265 5930
C | One-wayness and worst-case hardness | 0001 0022 6953 7167
C | Classical public-key foundations | 7167 7168 6545 7229
C | Primitives from one-wayness | 6545 6546 6547 6552
C | One-way permutations from LWE | 6546 7280
C | One-wayness and local PRGs | 7274 6692 0855 0856
C | Public-key completeness and strengthening | 6548 6549 7278 7277
C | Key agreement and oblivious transfer | 7229 6549 6545
C | Fully homomorphic encryption assumptions | 6551 6871 7277
C | LWE-based advanced primitives | 6550 6551 7279
C | Public-key from weak private primitives | 4803 6545
C | Public-key and private retrieval | 7323 6545 7229
C | Secret-sharing bounds | 0465 2813 7275
C | Statistical and perfect zero knowledge | 7225 7272 4754
C | Streaming zero knowledge | 1929 4703
C | Weak and strong exponentially hard one-wayness | 3025 7167
C | RSA versus factoring | 7276 6617
C | Quantum cryptographic foundations | 5015 7167
C | LOCAL coloring | 0517 0524 2470 2163
C | LOCAL maximal independent set | 6499 6506 4193
C | Local matching | 0519 0526
C | Quantum and non-signaling locality | 0512 0522
C | Congested clique independent set | 0469 6501 6557
C | Distributed small subgraph detection | 2997 1813 4231 3910
C | CONGEST clique detection | 3910 6206 3134
C | Cycle detection in distributed models | 1813 5234 2997
C | Distributed exact shortest paths | 6555 6080
C | Distributed time-message tradeoffs | 2870 3192 3726 5670 6227
C | Distributed MST complexity | 6418 3192
C | Radio broadcast and collision detection | 1784 4299
C | Local graph certification | 2540 4143 5591 5797
C | LCL certification gaps | 5296 5677 6125
C | LOCAL complexity landscapes | 0515 5473 6125 4271
C | Distributed graph exploration and rendezvous | 1982 2688
C | Population protocol state complexity | 3381 3894 5939
C | Population protocol complexity | 1588 6324 3436
C | Broadcast consensus abstractions | 2381 3891 7304
C | Set agreement | 2384 3792 5127
C | Wait-free queue implementations | 2816 3416 5410
C | Byzantine agreement adaptive communication | 2753 5578 4824
C | Asynchronous agreement complexity | 7302 7303 2689
C | Parallel matching | 6504 6714 4099 5798
C | Parallel graph reachability and DFS | 6507 7172 6553
C | General circuit parallelization | 6553 6712 7259
C | Low-memory graph connectivity | 6505 6556 5795
C | Logspace versus parallel reachability | 6817 6507 6556
C | Parallel and distributed flows | 4763 3845 7228
C | Streaming versus sketches | 0940 0998 0950 5427
C | Streaming adversarial robustness | 0940 0968
C | Streaming Max-Cut space and passes | 0943 0944
C | Streaming matching | 0994 3297 0960
C | Streaming travelling salesman | 0954 0967
C | Sparse recovery and summaries | 0984 0988 0987
C | Sketchable distances and matrix norms | 0986 0995 7010
C | Streaming frequency statistics | 0985 1234 1647
C | Group testing | 0836 0849
C | Streaming LIS and permutation patterns | 0969 5402
C | Parallel random sampling | 3075 6022
C | Dynamic graph connectivity and spanning forests | 6625 6626 6670
C | Dynamic matching | 0543 0545 6627
C | Dynamic graph coloring | 0536 0537
C | Dynamic shortest paths | 0478 5209 6477
C | Dynamic reachability | 0544 6477 6503
C | Dynamic versus online matrix-vector multiplication | 0478 6503 1001
C | Dynamic low-degree and low-stretch spanning trees | 0538 0541
C | Dynamic geometric proximity | 0387 3902 3647
C | Dynamic formal queries | 2324 3331 4307
C | Dynamic optimality of search trees | 6498 5768 6508 5706
C | Binary search tree rebalancing | 6498 6290
C | Cell-probe lower bounds | 0949 6540
C | Deterministic dictionary construction | 6586 4997
C | History-independent data structures | 4799 6480
C | Pair sums sorting | 0388 0557 6537
C | Hypergraph sparsification | 0946 2018 4998 1338
C | Graph and hypergraph sparsification | 3291 0946
C | Graph reconstruction from queries | 1292 6150 6270
C | Exact matching and colored parity | 0351 0611 6511 6310
C | Matching derandomization and isolation | 1006 6511 6504
C | Fast maximum matching | 6538 6627
C | Fast static and dynamic spanning trees | 6536 6626
C | Directed exact flow | 0809 7228 5637
C | Connectivity augmentation | 7075 5037 4121
C | Shortest disjoint paths | 0756 3263 5918 6173
C | Vertex-disjoint paths | 0773 1825 0595
C | Additive graph spanners | 4261 6783 6785
C | Pairwise and fault-tolerant preservers | 1798 6787 6782
C | Multiplicative spanners and girth | 6500 6784 5770 2783
C | Compact routing tradeoffs | 7305 4210 6500
C | Distributed spanners and routing | 3892 7305 6186
C | Directed shortcuts and reachability diameter | 6492 1141 6507
C | Graph labels and implicit representations | 0612 0775 5705
C | Graph isomorphism variants | 7222 7180 6615 3346
C | Graph isomorphism algorithmic refinements | 7222 5246 5750 5821
C | Isomorphism on restricted graphs | 6421 3196 7312
C | Graph reconstruction conjectures | 7216 7217
C | Planar treewidth exact complexity | 0771 5845 5926
C | Treewidth algorithms and approximations | 0787 6497 6683
C | Grid minors and treewidth preservation | 6683 4404 7245 5475
C | Induced obstructions to treewidth | 0587 0592
C | Mim-width algorithms | 1250 2316 2085
C | Width recognition | 7181 7241 6237
C | Dense graph width and logical classes | 1206 2401 6082 6435
C | MSO width characterization | 6654 6409 3915
C | Rank-width and pivot or vertex minors | 7143 7144 7145 7146
C | Graph coloring structural conjectures | 6651 6682 0588
C | Forbidden induced graphs and coloring | 6652 6653 0597
C | Independent set without long claws | 2103 6251 3917
C | Planar edge coloring and cubic matchings | 5969 7218 7249
C | Regular Ramanujan graphs | 6874 6875 7285 2371
C | Ramanujan versus vertex expansion | 1009 6874
C | Recoloring and graph reconfiguration | 6655 4336 5965
C | FPT and the W hierarchy | 6592 6731 2565
C | ETH and SETH | 6593 6595 6935 7313
C | Parameterized hardness and exponential hypotheses | 6592 6593 0734
C | Gap ETH and parameterized approximation | 0734 1945 2662 7313
C | Set cover conjectures and approximability | 6594 3745 4289
C | General satisfiability exact algorithms | 6974 7270 6595
C | Kernelization and compression | 6734 3207 2219
C | Directed feedback kernels and algorithms | 6379 7033 7035 4317
C | Graph deletion kernelization | 7022 7023 4695
C | Edge cuts and disjoint paths kernels | 6660 0784 7036
C | Parameterized integer programming | 4054 4195
C | Graph counting parameterized dichotomies | 2489 5374 3049
C | Subset sum exact running time | 1792 4790
C | Metric sparsifiers and zero extension | 3480 3992
C | Compressed random access | 0467 0470 6920 3038
C | Compressed indexes | 0468 3010 6929
C | Repetitiveness measures | 3598 6928 6929
C | Grammar approximation and compression | 6513 5288 6928
C | BWT to LZ conversion | 3722 3010 0468
C | Runs and unbordered factors | 5270 3879 3669
C | Edit-distance exact and approximate algorithms | 7179 7220 7235 6624
C | Edit-distance embeddings | 7297 5208 6624
C | Tree edit distance | 6940 5851
C | RNA folding | 0959 5936
C | Longest common subsequences | 0761 4208 5025
C | Shortest common superstring | 0816 7322
C | Deterministic and randomized k-server | 6575 7317 4983
C | Weighted k-server | 5030 5514 6575
C | Online metric embeddings | 5124 5747 7317
C | Convex chasing | 6576 3486 3314
C | Online matching on a line and recourse | 3392 5158 3455
C | Matching with delays | 0914 3878 6319
C | Online travelling salesman | 4985 5182 0967
C | Matroid secretary and contention resolution | 7316 5779 5221
C | Prophet inequalities | 0700 5221
C | Bandit unknown-parameter adaptation | 0701 3690 4449 6833
C | Bandit model selection and misspecification | 0711 6836 6834
C | Instance-optimal stochastic bandits | 0709 6833 6834
C | Best-arm identification | 0687 6838 2675
C | Convex bandit geometry | 6577 5252 1891
C | Kernelized sequential learning | 0708 0710
C | Adversarial reinforcement learning | 5004 5186
C | Sequential calibration | 1529 7319
C | Online structured learning | 0715 0716 5349
C | Makespan approximation | 6638 6676 6724
C | Precedence constrained scheduling | 0924 0935 6676
C | Related and unrelated machine scheduling | 0922 6638 6724
C | Additive bin packing | 6640 6721
C | Unit and equal job scheduling | 0934 0935
C | UGC and small-set expansion | 0006 7160 5544
C | UGC-related approximation thresholds | 0006 7281 7282
C | Directed cut optimal approximation | 0088 6208 7281
C | CSP approximation | 6755 6756 6757
C | Parameterized approximation hardness | 1930 0734 6592
C | Directed Steiner approximation | 6588 5442 5961
C | Undirected Steiner relaxations | 6723 5442 5961
C | Directed feedback approximation and kernels | 6591 7033 7035
C | Metric and asymmetric TSP relaxation | 6589 6590 7233
C | k-median approximation | 6659 6309
C | Matroid constrained approximation schemes | 2013 4633
C | Sparsest cut and metric labeling | 7266 7287 3992
C | Hierarchical clustering and graph density | 7318 6587
C | Fast edit-distance approximation | 5554 6624 7235
C | Reachability diameter approximation | 5265 1141
C | Covering radius approximation | 3399 5317
C | Strongly polynomial LP and simplex | 0008 6572 6024
C | Complementarity and unique sink orientations | 7231 6024 2537
C | Convex algebraic representation | 0725 6574
C | Optimization extension complexity | 0344 7283 6574
C | First-order adaptive convergence | 0720 5005 0728
C | Stationarity oracle complexity | 3142 5494 0673
C | Convex optimization oracle restrictions | 0724 0728 3429
C | Best-arm identification and bandits | 0687 6838
C | Robust Markov decision processes | 3676 5635 5004
C | Matroid oracle algorithms | 2729 5330 5537
C | Low rank numerical approximation | 7007 7008 7298
C | Sparse linear algebra and regression | 6585 4916
C | Integer programming parameter dependence | 7264 4054 4195
C | Discrepancy conjectures | 7314 7315 0643
C | Directed cut packing | 7226 7227
C | Fair division EFX existence and computation | 0011 7196 7197 7198
C | Approximate EFX | 1116 7197 7198
C | EF1 and Pareto efficiency | 1108 1109 1115
C | Maximin share guarantees | 0056 7200 7201 1119
C | Exact maximin-share allocation | 7199 0056 6639
C | Envy-free cake cutting | 6633 7202 7203 7204
C | Equilibrium computation in polymatrix games | 0073 5399
C | Equilibria for reachability and infinite games | 0566 0568 0571 4515
C | Infinite-horizon stochastic game equilibria | 2815 4584 2744
C | Truthful approximation mechanisms | 6632 6958 6957
C | Truthful unrelated scheduling | 6674 6638 6958
C | Social-choice metric distortion | 6634 3857
C | Network game price of anarchy | 6959 6961
C | Allocation equilibrium complexity | 7207 7284 0076
C | Discounted stochastic games | 2427 5635
C | Linear recurrence zeros | 5773 4577 6259 0095
C | Positivity and ultimate positivity | 6565 7153 7154 5773
C | Continuous exponential dynamics | 6566 6036 1151 7230
C | Real exponential field | 3324 7230
C | Termination of linear loops | 7156 7157 6565
C | Rounded and piecewise-affine orbits | 3344 5876 5682 4640
C | Low-dimensional VASS reachability | 0619 0632 0640 6245
C | Branching VASS | 1649 4093 7192
C | VASS and valence reachability | 0623 5823 2033
C | VASS coverability and dimension | 5642 3839 0619
C | VASS separability | 4124 2498 5732
C | Unambiguous VASS and language power | 2375 5861 0109
C | Efficient infinite-duration games | 4245 6567 6568 0575
C | Stochastic game complexity | 6567 2427 7231
C | Game strategy memory | 0574 1550 6343 2294
C | Infinite-game equilibria and memory | 0566 0574 4078
C | Quantitative probabilistic verification | 1092 3479 7310
C | Probabilistic termination and decisiveness | 0092 5975
C | Temporal strategy synthesis | 4302 5231 3530
C | Kleene algebra axiomatization | 1585 1613 6279 6359
C | Temporal logical completeness and decision | 4081 6107 4478
C | Regular expression relational axioms | 4017 6279
C | Liveness on finite words | 1880 6284
C | Rewriting termination | 0901 6644 0878
C | Rewrite normalization and sequentiality | 0877 0896 6583
C | Lambda-model equational theories | 6570 7306 5737 0913
C | Computational type theory and impredicativity | 3904 6112 5817
C | Constructive univalent models | 6569 5915 3547 4564
C | Inductive constructions without UIP | 3655 6569
C | Constructive axioms and extensionality | 1331 3031 4461
C | Coalgebraic existence and structure | 2321 3332 4072 4138
C | String rewriting and automatic groups | 0875 6644 6026
C | Unambiguous grammar equivalence and universality | 0146 0164
C | Unambiguous finite automata transformations | 0128 0137 0156
C | Unambiguous infinite-word automata | 0156 3030
C | Determinization and state complexity | 6560 0128 3801
C | Synchronizing automata | 6558 6995 7001
C | Resolving automaton nondeterminism | 0094 2158 5651 5863
C | Alternating good-for-games succinctness | 3594 5651
C | Discounted automata equivalence and universality | 4575 5904 3401
C | Probabilistic automata containment | 0133 3863
C | Higher-order equivalence | 6582 6563 4673
C | Higher-order model checking | 5858 6582 3438
C | One-counter equivalence | 0624 2335
C | Logic and regular language hierarchies | 6561 6559 1670
C | Definability of regular tree languages | 6564 3553
C | Regular language first-order definability | 6561 4677 4636
C | Continuous and computable regular functions | 2851 3325 5231
C | Automaton minimization | 7261 5776
C | VASS downward closures | 2512 3438
C | Aperiodic symbolic dynamics | 3378 2821 6064
C | Cellular automata asymptotic behavior | 5959 6064 6158
C | Information extraction and secret key | 0238 0240 0279
C | Shannon and algorithmic information networks | 0247 0254 0250
C | Time-bounded information symmetry | 0290 1192 2776
C | Resource-bounded Kolmogorov hardness | 2202 3619 5010 3832
C | Effective randomness notions | 6648 5194 4320
C | Infinite-sequence extraction | 0287 1399 1024
C | Weihrauch choice and recursion | 0275 0277
C | Degree structure and invariant maps | 6646 6647 6679
C | Computable metric representations | 0263 4463 6105
C | Matrix semigroup decision problems | 7193 5921
C | Classical versus quantum computation | 0036 0037 0003
C | Quantum hidden subgroup algorithms | 7166 6521 6522
C | Dihedral hidden subgroup algorithms | 6521 4811 5170
C | Classical and quantum graph isomorphism | 7222 6522 6747
C | Quantum lattice algorithms and hidden subgroups | 7169 7234 6521
C | Quantum oracle synthesis | 0027 4793 1341
C | Oracle quantum verification | 0030 0031 6580
C | Total-function quantum speedups | 0029 0033 6605
C | Polynomial method versus queries | 0033 5136 5970
C | Quantum query-space tradeoffs | 0034 5047 4914
C | Quantum and classical communication gaps | 6450 4952 4522
C | Quantum communication resource restrictions | 4954 4991 4800
C | Quantum communication lifting | 3709 5970 6450
C | Quantum witnesses and unentanglement | 0861 2229 4753 6448
C | Quantum witness error conventions | 4737 4882 3275
C | Quantum approximate counting and unique witnesses | 0860 4860
C | Quantum polynomial hierarchies | 4789 4977 4469
C | Quantum advice | 6449 4778
C | Quantum PCP formulations | 6446 1324 4734 5079
C | Quantum low-energy states and codes | 6446 6515 7165
C | Quantum Hamiltonian dimensions | 0858 3379 4882
C | Classical simulation of quantum Hamiltonians | 4457 7300 3275
C | Quantum local structure and area laws | 6516 6517 7165
C | Succinct quantum verification | 6447 4696 4715 7279
C | Classical verification of quantum computation | 6580 5106 1490 2408
C | Quantum money and verification | 7301 4509
C | Quantum pseudorandom primitives | 1961 5015 4718
C | Stabilizer complexity and pseudorandomness | 2349 4718 4842
C | Low-depth quantum advantage | 4712 4832 4894 1259
C | Clifford circuit complexity | 1298 4927 5718
C | Boson sampling and Gaussian permanent | 6933 7299 4878
C | Quantum games and entanglement | 5077 4992 7308
C | Bound entanglement and secret key | 6518 6459 7308
C | Quantum channel capacity | 6519 6520 4707
C | Additivity and quantum information | 6828 6519 4615
C | Distribution access models in quantum testing | 1882 3573
C | Quantum best-arm identification | 4862 6838
C | Streaming classical and quantum Max-Cut | 4720 0943 0944
C | Quantum-proof extractors | 5202 7271 1566
C | Quantum and classical circuit minimization | 2650 4786
C | Binary rate-distance optimum | 1010 1012 7267 1444
C | Linear versus general codes | 4968 1010 3457
C | Explicit Gilbert-Varshamov codes | 6859 1012 7267
C | Reed-Solomon list decoding | 1011 1337 1771
C | Rank metric versus Reed-Solomon decoding | 4572 1011
C | Locally decodable code rates | 1020 6609 6739
C | Locally testable codes | 6738 4776 4823 6456
C | Classical and quantum local testability | 6738 6515 4823
C | Binary deletion channels | 6607 4524 6623
C | Interactive coding | 0013 4802
C | Classical channel capacity regions | 7210 6606 6665 7211
C | Distributed source and network information | 7214 6584 0247
C | Graph Shannon capacity | 6610 7215 5034
C | Decidable entropy inequalities | 6608 0198 0194
C | Entropy cone structure | 0178 0189 0195 0205
C | Entropic matroids and linear rank cones | 0184 0187 0196
C | Conditional independence inference | 0188 3347 6608
C | Boolean evasiveness | 0309 7219 6743 4419
C | Query complexity and sensitivity | 1061 4710 4769
C | Decision-tree complexity algorithms | 1845 5189 4895
C | Randomized query composition | 5108 5253 3568
C | Influence and noisy queries | 1540 5253 6707
C | Communication partition and rank | 6603 0811 6711 1047
C | Clique independent-set communication | 1043 0811
C | Sign representation and communication | 0053 2658 2343
C | Approximate rank and randomized communication | 5304 2343 6450
C | Karchmer-Wigderson communication | 2571 5594 0017
C | Multiparty disjointness | 1046 6710 3458
C | Information compression and direct sum | 0220 5326 5892
C | Private randomness communication | 3871 4800 0464
C | Communication hierarchy | 1055 4771 4184
C | Fourier entropy and influence | 6604 6708 6581
C | Polynomial influences and query algorithms | 6605 1823 2664
C | Threshold Fourier bounds | 6664 6705 1955
C | Approximate polynomials and shallow circuits | 3799 4647 5711
C | Communication of graph matching and flows | 4664 0540 0222
C | Monotone approximation hardness | 1050 6715
C | VC sample compression and teaching | 6541 0691 2339 3787
C | Teaching and compression dimensions | 3689 5147 6541
C | Multiclass compression and regularization | 4792 0670 6541
C | Robust learnability and compression | 1539 5153 5017
C | Proper PAC sample optimality | 4074 5118 1157
C | VC information complexity | 5847 6541 0671
C | Computable PAC learners | 3113 5061
C | Universal online learnability | 2654 2827 3114
C | Online dimension and regret | 2336 5031 4621 4134
C | Decision-tree learning models | 0677 7294 4972
C | Learning DNF and juntas | 5358 6543 6581
C | Membership versus example access in learning | 3450 4186 7294
C | Learning halfspaces | 6544 7293 5088
C | Sparse and agnostic halfspaces | 0694 4592 5215
C | Parity learning hardness and memory | 6542 2422 3117
C | LPN and nearest-codeword hardness | 6542 6454 0453
C | Gaussian mixture learning | 7295 0683 3391 5179
C | Private Gaussian mixture learning | 5443 2063 7295
C | Sparse robust estimation | 7296 1361 0726
C | Learning hardness and one-way functions | 5090 5793 3514 6953
C | Learning large circuit classes | 1573 3177 4031 5434
C | Learning and private marginal release | 6040 7236
C | Reinforcement learning sample complexity | 0684 5478 7325
C | Reinforcement learning misspecification | 6135 7325 6836
C | Equilibrium estimation sample complexity | 0668 6838
C | Conditional distribution testing | 0841 6393 5632
C | Instance-optimal identity testing | 0672 3906 3017
C | Huge-object distribution testing | 2665 5426
C | Testing proof systems | 0839 3945
C | Graph testing classification | 1030 6630 6744
C | Graph removal and distance estimation | 1029 1033 6630
C | Bipartiteness sampling | 1027 1028 1029
C | Bounded-degree graph testing | 4376 6737 6744
C | Testing directed cycles | 0847 5210
C | Testing adaptivity | 6736 4259 3717
C | Earthmover tolerant testing | 3175 3960
C | Compressed sample estimation and interaction | 3110 0663 3361
C | Latent graphical model learning | 5334 5119
C | Private learning dimensions | 0506 1962 2069
C | Private online learning | 0507 0510 0506
C | Private optimization and optimal rates | 5384 0507
C | Local privacy and interaction | 5152 3361 0663
C | Computational privacy | 6825 5236 4950
C | Private release and reconstruction | 7236 5197 6040
C | Worst-case average-case hardness | 0012 6702 6453 0022
C | Average-case hardness and one-wayness | 6453 6953 7167 0012
C | NP hardness amplification | 6703 1149 3025
C | Errorless and heuristic average-case classes | 2680 5453 5341
C | Planted dense subgraphs | 6656 4495 5420 6587
C | Sparse community recovery | 6684 6287 5420
C | Tensor statistical-computational thresholds | 6657 2621 0054
C | Random constraint algorithmic thresholds | 7238 4876 5730 1699
C | Overlap gap and random CSPs | 4908 5045 5406 5011
C | Random Max-Cut and quantum optimization | 2799 5021 6658
C | Smoothed optimization | 6658 2126 7148
C | Simplex worst-case and smoothed bounds | 7148 6572 0008
C | Instance-optimal search trees | 6246 5734 6498
C | Instance-optimality recognition | 3363 5831
C | Random automaton synchronization | 7002 6558 6995
C | Geometric curve matching | 0326 0412 2491
C | Euclidean embeddings and sparse emulators | 0328 3091 1762
C | Geometric graph spanners | 2932 5731 0328
C | Metric embedding distortion | 0340 6524 6525
C | Steiner point removal and metric sparsification | 6527 6525 3992
C | Earthmover embeddings and sketches | 6529 0973 0990 4454
C | Edit-distance low-distortion encoding | 0965 7297 5208
C | Sparse dimension reduction | 0970 7006 6662
C | Polyhedral unfolding | 0382 0406 7183
C | Triangulation reconfiguration | 0381 4269 0432
C | Three-manifold recognition and certificates | 0419 0427 0428 0430
C | Sphere and unknot recognition | 6528 7292 0427
C | Manifold triangulation complexity | 0331 2356 0432
C | Four-dimensional topological recognition | 7242 6199
C | Geometric realizability and existential reals | 1064 1086 1087 1088
C | Complex embeddings and graph realizability | 1089 1088 0416
C | Visibility and gallery problems | 0416 3097 1072
C | Geometric graph drawing | 0377 4505 7182 5133
C | Geometric shortest paths | 0346 0363 2105
C | Negative surface cycles | 0346 0363
C | Geometric network optimization | 0403 0408 6965
C | Sum of square roots and Euclidean exact optimization | 0055 0408 7189 0398
C | Range queries and point location | 0411 6427 1468
C | Higher-dimensional unions | 0399 3201 7184
C | Geometric Voronoi algorithms | 0417 4194 5913 3902
C | Geometric diameter | 1356 1932 5952
C | Geometric graph distance algorithms | 5264 7263 1356
C | Epsilon nets and geometric hitting sets | 6526 1242 6404
C | Convex polytopes and output-sensitive algorithms | 0410 7240 6573
C | Graph distance embeddings into trees | 2529 3848
C | Dynamic and static Hausdorff distance | 3647 5875
C | Rewriting path queries | 0497 6157 4563
C | Datalog and description logic rewriting | 4206 6089 6680
C | Entropic query bounds | 0487 0488 6608
C | Query width and join algorithms | 0499 4995 6380
C | Query lineage and counting | 0496 0502 6681
C | Probabilistic query classification | 0500 0502 0505 3406
C | Conjunctive query enumeration | 6645 7128 1251 2129
C | Bag semantics | 0492 7127
