review_order	id	title	category	type_label	confidence	reason	condition	retain_ids	reader_url
16	TCS-3314	Competitive chasing of three sets on the line	Online algorithms, scheduling and packing	Specialized model or subcase	high	Chasing exactly three arbitrary sets on the real line is a sharply restricted request-family question. It is an attractive small puzzle, but its saved motivation gives it less independent reach than the general k-server and convex-chasing frontiers.	The sets are not necessarily intervals or convex; one-dimensional convex chasing is not a resolution.		https://vaclavrozhon.github.io/atlas/#TCS-3314
17	TCS-0073	Complexity of mixed equilibria in identical-payoff polymatrix games	Game theory, social choice and fair division	Specialized model or subcase	medium	Mixed-equilibrium complexity in identical-payoff polymatrix games isolates a specific network-coordination restriction. I would prioritize the broader equilibrium and incentive barriers over an additional card for this payoff-structure variant.	Shared payoff is not itself an efficient algorithm; the removal argument is editorial, not a resolution claim.		https://vaclavrozhon.github.io/atlas/#TCS-0073
18	TCS-0173	Pattern unification modulo variable-preserving equations	Automated reasoning, rewriting and unification	Specialized model or subcase	medium	The target combines higher-order patterns with variable-preserving equational theories. It adds a specific closure question for symbolic unification beside the more central word, modal and rewriting decision barriers.	The presentation of the equation set must still be fixed; incompleteness of that detail is not the reason for the proposed cut.		https://vaclavrozhon.github.io/atlas/#TCS-0173
19	TCS-0328	Sparse \((1 + \epsilon )\)-emulator for Euclidean Point Sets	Geometry, topology and metric spaces	Specialized model or subcase	medium	The target optimizes sparse near-isometric emulators for Euclidean points using abstract auxiliary vertices. It is a specific geometric representation variant beside broader metric-distortion and graph-spanner tradeoffs.	Abstract emulators and geometric Steiner spanners are not equivalent; the distinction is precisely the extra model choice being evaluated.		https://vaclavrozhon.github.io/atlas/#TCS-0328
20	TCS-0363	Negative cycles on surface embedded graphs	Geometry, topology and metric spaces	Specialized model or subcase	medium	Negative-weight closed walks subject to contractibility combine path optimization with one topological constraint. I would place this particular surface-embedded task below the general shortest-path and topological-decision barriers.	Closed walks may repeat edges; neither ordinary negative-cycle detection nor simple-cycle algorithms settle the target.		https://vaclavrozhon.github.io/atlas/#TCS-0363
21	TCS-0414	Surface Reconstruction	Geometry, topology and metric spaces	Specialized model or subcase	medium	This asks for topology recovery from samples of surfaces with singular features, extending a particular geometric reconstruction setting. Its benchmark contribution is focused on sampling guarantees for sharp edges and corners rather than a general topology or metric barrier.	A meaningful singular-surface theorem could be substantial. The missing density convention alone is not grounds for deletion.		https://vaclavrozhon.github.io/atlas/#TCS-0414
22	TCS-0871	Universality and inclusion of AC-recognizable languages	Automata and formal languages	Specialized model or subcase	medium	Universality and inclusion are asked for the particular AC-recognizable tree-language model. I would favor the central unresolved language-equivalence and automaton-state-complexity questions over another equational recognition variant.	This is a scope judgment; decidability of restricted transition forms is not a solution of the full model.		https://vaclavrozhon.github.io/atlas/#TCS-0871
23	TCS-0914	Deterministic min-cost matching with delays	Optimization and numerical computation	Specialized model or subcase	medium	Deterministic matching with waiting costs is a specific online objective combining metric movement and delay. I would prioritize the general matching and online metric-allocation questions over this additional cost-model variant.	This is not offline matching, and the missing competitive-ratio specification alone is not the basis for the proposal.		https://vaclavrozhon.github.io/atlas/#TCS-0914
24	TCS-0957	Approximating Rank in the Bounded-Degree Model	Distributed, parallel and sublinear algorithms	Specialized model or subcase	medium	This isolates additive rank estimation for finite-field matrices with bounded row and column degree. The specific access model and matrix promise give it lower priority than general algebraic computation and sublinear-model characterizations.	Rank estimation on incidence matrices is only a special case and does not settle general sparse matrices.		https://vaclavrozhon.github.io/atlas/#TCS-0957
25	TCS-0968	“For All” Guarantee for Computationally Bounded Adversaries	Distributed, parallel and sublinear algorithms	Specialized model or subcase	medium	This combines public compressed sensing, adaptive signal choice and computationally bounded adversaries. The benchmark would gain one cryptographic relaxation of a recovery guarantee, rather than a general sparse-recovery or cryptographic-foundations result.	The unrestricted-adversary impossibility does not settle the computationally bounded model.		https://vaclavrozhon.github.io/atlas/#TCS-0968
26	TCS-1035	Cost of restricting linear circuits to depth two	Computational complexity	Specialized model or subcase	medium	The question measures the cost of forcing linear OR, SUM or XOR computations into exactly two layers. This adds a restricted depth comparison to a catalogue already rich in broader linear-circuit and circuit-versus-formula barriers.	The three operation systems must stay distinct; the rationale is marginal benchmark coverage rather than an alleged common answer.		https://vaclavrozhon.github.io/atlas/#TCS-1035
27	TCS-1478	Adversarial sequential prediction with abstentions for VC classes	Learning theory	Specialized model or subcase	medium	This combines adaptive corruptions, abstention and unknown clean distributions for VC classes. The requested extension removes a reduction-dimension condition from that particular sequential prediction model, rather than changing the general PAC or online learnability boundary.	Finite VC dimension alone is not asserted to suffice; the model-specific extension is the target being deprioritized.		https://vaclavrozhon.github.io/atlas/#TCS-1478
28	TCS-1539	VC-dimension bounds for adversarially robust compression	Learning theory	Specialized model or subcase	medium	Adversarially robust sample compression adds perturbation-set preservation and a stability-related premise to the central compression question. I would prioritize ordinary sample compression and broad robust learnability over this additional compression-model refinement.	The known negative statement for robust learnability alone does not settle the stronger premise here.		https://vaclavrozhon.github.io/atlas/#TCS-1539
29	TCS-2111	Fully polynomial learning of positive ReLU networks under Gaussian inputs	Learning theory	Specialized model or subcase	medium	The chosen target is noiseless Gaussian learning of positive combinations of ReLUs with normalized weights. This restricted network/distribution/sign regime contributes less broad coverage than the general learning barriers, even though polynomial dependence on width remains meaningful.	Improper prediction, not parameter recovery, is required; the existing quasipolynomial width dependence is not a solution.		https://vaclavrozhon.github.io/atlas/#TCS-2111
30	TCS-2243	\(\mathrm{TC}^{0}/\mathrm{NC}^{1}\) complexity dichotomy	Automata and formal languages	Specialized model or subcase	medium	The proposed TC0/NC1 dichotomy concerns visibly pushdown languages, adding a low-depth classification inside a structured language family. Its independent contribution is narrower than the general circuit-class and language-decidability barriers.	Do not confuse the classification target with separating TC0 from NC1 in general.		https://vaclavrozhon.github.io/atlas/#TCS-2243
31	TCS-2680	Relativizing subexponential UP from heuristic average-case NP	Beyond worst-case and average-case analysis	Specialized model or subcase	medium	The exact conjecture requires a heuristic-average-case-to-UP implication relative to every oracle and at a specified subexponential scale. That relativizing, quantitative strengthening has less independent reach than the main worst-case versus average-case hardness questions.	The universal oracle quantifier is part of the target, not an optional proof technique.		https://vaclavrozhon.github.io/atlas/#TCS-2680
32	TCS-2689	Deterministic safety and termination in hybrid synchrony	Distributed, parallel and sublinear algorithms	Specialized model or subcase	medium	The question removes randomized progress from one hybrid-synchrony permissionless-consensus model. Its safety/termination distinction is useful, but the specific participation model makes it a more specialized target than general agreement boundaries.	Do not apply an asynchronous impossibility theorem without matching the source's synchrony and participation assumptions.		https://vaclavrozhon.github.io/atlas/#TCS-2689
33	TCS-3344	Decidability of rounded planar-rotation reachability	Semantics, logic and verification	Specialized model or subcase	medium	Reachability for rounded planar rotations isolates one numerical-dynamics model at two dimensions. It is a useful verification example, but more specialized than the general recurrence, linear-loop and reachability barriers.	Rounding can fundamentally change an orbit; ordinary rotation analysis does not decide this problem.		https://vaclavrozhon.github.io/atlas/#TCS-3344
34	TCS-3414	Explicit permutation groups requiring superpolynomial graph embeddings	Algebraic computation	Specialized model or subcase	medium	This asks for large graph representations of explicit permutation actions with a distinguished invariant subset. It is an interesting representation lower bound, but the extra action-realization requirement makes its benchmark contribution more specialized than the main group-isomorphism and algebraic lower-bound questions.	The target is not ordinary realization of abstract groups as automorphism groups.		https://vaclavrozhon.github.io/atlas/#TCS-3414
35	TCS-3557	Does extension preservation eliminate stratified intensional negation?	Database theory and finite model theory	Specialized model or subcase	medium	This is an exact preservation/expressiveness equivalence between stratified and semi-positive Datalog under induced database extensions. I would give that language-specific negation-elimination boundary lower priority than the broader logic-capturing and query-containment questions.	Induced-extension preservation differs from ordinary monotonicity; no general preservation theorem is being treated as a solution.		https://vaclavrozhon.github.io/atlas/#TCS-3557
36	TCS-3655	Inductive-inductive types from inductive types without UIP	Semantics, logic and verification	Specialized model or subcase	medium	Eliminating finitary induction–induction without uniqueness of identity proofs concerns one primitive-reduction question in dependent type theory. I would prioritize the broader univalence, resizing and internal higher-structure foundations over this additional compilation boundary.	The equality restriction is substantive; an existing UIP-based reduction cannot simply be reused.		https://vaclavrozhon.github.io/atlas/#TCS-3655
37	TCS-3676	Binary-horizon MDP reward-threshold complexity	Optimization and numerical computation	Specialized model or subcase	medium	The target classifies exact reward-threshold decisions for explicitly described MDPs with binary-encoded long horizons. It is a particular encoding-sensitive variant beside the broader stochastic-game and optimization-complexity questions.	The source's hardness of choosing a specified first action is not a theorem about this threshold problem.		https://vaclavrozhon.github.io/atlas/#TCS-3676
38	TCS-3906	Sample complexity of symmetric Markov-chain identity testing	Property testing and distribution learning	Specialized model or subcase	medium	The target optimizes identity-testing samples for symmetric Markov chains observed along one trajectory. It adds a specific dependence and access model rather than a general distribution-testing or mixing barrier.	Starting distribution, chain distance and mixing promises are essential; independent sampling bounds are not a resolution.		https://vaclavrozhon.github.io/atlas/#TCS-3906
39	TCS-4299	Collision detection in deterministic broadcast	Distributed, parallel and sublinear algorithms	Specialized model or subcase	medium	This asks whether collision feedback accelerates deterministic broadcast in the specified radio-network model. It compares one physical-layer capability for one communication task, with less independent coverage than broader distributed-computation questions.	Randomized benefits of collision detection do not establish a deterministic separation.		https://vaclavrozhon.github.io/atlas/#TCS-4299
40	TCS-4463	Markov computability versus K-computability	Computability and algorithmic information theory	Specialized model or subcase	medium	This isolates a Markov-versus-K-computability separation for a particular represented codomain O(B). The representation-specific witness is less broad than the main randomness, degree-structure and computability barriers already represented.	The codomain representation is mathematically essential; the proposed cut does not generalize to all comparisons of represented-space computation.		https://vaclavrozhon.github.io/atlas/#TCS-4463
41	TCS-4490	Complexity of positive matrix powers	Algebraic computation	Specialized model or subcase	medium	Higher-dimensional PosMatPow is a particular matrix-dynamics predicate within a catalogue already containing Skolem, Positivity and continuous-Skolem problems. Its present scientific motivation is chiefly the extension of one low-dimensional analysis.	Do not claim equivalence with recurrence positivity without recovering the PosMatPow predicate and power quantifier.		https://vaclavrozhon.github.io/atlas/#TCS-4490
42	TCS-4495	Recovery hardness for sparse planted dense subgraphs	Beyond worst-case and average-case analysis	Specialized model or subcase	medium	This selects exact recovery in a particular sparse planted-subgraph exponent region under the planted-clique hypothesis. The detection/recovery distinction matters, but the restricted phase region makes it a more specialized benchmark than the central planted-model thresholds.	Dense, leakage-assisted and restricted-algorithm hardness results do not resolve the saved interior region.		https://vaclavrozhon.github.io/atlas/#TCS-4495
43	TCS-4549	Polynomial-time colorful choice with polynomially many colors	Geometry, topology and metric spaces	Specialized model or subcase	medium	Allowing polynomially many colors is a particular redundancy tradeoff in colorful Carathéodory computation. I would prioritize general fixed-point and convex-optimization complexity over this relaxation of one geometric existence theorem.	The required output still uses at most one point from each color; extra colors do not make the task trivially solvable.		https://vaclavrozhon.github.io/atlas/#TCS-4549
44	TCS-4677	Deciding first-order definability of orbit-finite automata	Automata and formal languages	Specialized model or subcase	medium	First-order definability for orbit-finite data automata extends a classical finite-alphabet correspondence into one infinite-data model. I would assign it lower priority than the broad regular-tree definability and equivalence barriers.	Aperiodicity alone is not a complete criterion in this setting.		https://vaclavrozhon.github.io/atlas/#TCS-4677
45	TCS-4716	\(\mathrm{AC}^{0}\)-distinguishable locally indistinguishable \(\mathrm{NC}^{0}\) sources	Pseudorandomness and derandomization	Specialized model or subcase	medium	The construction simultaneously demands NC0 generation, large-coordinate indistinguishability and AC0 distinguishability. These combined circuit restrictions support a particular simple secret-sharing architecture rather than a general cryptographic existence barrier.	Local indistinguishability and global circuit indistinguishability are different requirements, both essential to the target.		https://vaclavrozhon.github.io/atlas/#TCS-4716
46	TCS-4778	Derandomizing amplified relational computation	Pseudorandomness and derandomization	Specialized model or subcase	medium	This compares amplification and derandomization conventions for a particular relational-computation class. I would give these quantitative reliability variants lower priority than the primary search-versus-decision and P/BPP frontiers.	Multiple valid outputs do change amplification behavior; decision-problem error reduction is not an answer.		https://vaclavrozhon.github.io/atlas/#TCS-4778
47	TCS-4869	Fine-grained reductions from 4-cycles to triangles	Fine-grained complexity	Specialized model or subcase	medium	The question seeks a particular fine-grained reduction from four-cycles to triangles in a source centered on listing. I would prioritize the main APSP, 3SUM and clique relationships over another task-specific reduction edge.	Decision and enumeration, including output size and instance blowup, must be aligned; no equivalence is assumed.		https://vaclavrozhon.github.io/atlas/#TCS-4869
48	TCS-4894	Parity versus \(\mathrm{AC}^{0}\) with shallow quantum preprocessing	Quantum computation and information	Specialized model or subcase	medium	The target tests parity against a specific shallow-quantum-preprocessing/classical-AC0 pipeline. It is a restricted hybrid architecture comparison beside the broader quantum-classical computational and query separations.	Quantum gate fan-in, classical postprocessing and approximation probability all matter; classical parity lower bounds do not suffice.		https://vaclavrozhon.github.io/atlas/#TCS-4894
49	TCS-4960	Polynomial depth lower bounds for Transformers	Computational complexity	Specialized model or subcase	medium	Polynomial depth lower bounds for a specified decoder-only Transformer model target one architecture and its resource conventions. I would prefer more broadly transferable circuit, formula and communication barriers in the main benchmark.	This is not a dismissal of learning theory or attention models; stronger evidence of consequences outside the chosen architecture would improve its case.		https://vaclavrozhon.github.io/atlas/#TCS-4960
50	TCS-4977	Classical-witness versus quantum-witness hierarchies	Quantum computation and information	Specialized model or subcase	medium	Containment between particular classical-witness and quantum-witness polynomial hierarchies adds another alternation convention beyond the central QMA/QCMA and QMA(2) questions. I would give this hierarchy-level variant lower independent priority.	Measuring a quantum witness does not automatically preserve alternating quantifiers, so the containment is not claimed trivial.		https://vaclavrozhon.github.io/atlas/#TCS-4977
51	TCS-5004	Polynomial-time robust online decision making	Online algorithms, scheduling and packing	Specialized model or subcase	medium	The question makes one robust-MDP regret guarantee computationally efficient with polynomial horizon, state and action dependence. It sits inside a specified uncertainty model, so I would prioritize more general online decision and bandit complexity barriers.	Information-theoretic regret guarantees do not imply a polynomial-time implementation.		https://vaclavrozhon.github.io/atlas/#TCS-5004
52	TCS-5087	Polynomial-time robust spectral estimation	Learning theory	Specialized model or subcase	medium	The target combines adversarial poisoning, low-rank representation and spectral-norm recovery of an unobserved clean matrix. It is a particular robust estimation model beside the broader learning, low-rank approximation and computational-statistical questions.	Frobenius guarantees and detecting poisoning do not supply the requested spectral estimator.		https://vaclavrozhon.github.io/atlas/#TCS-5087
53	TCS-5210	Polylogarithmic-query pattern-freeness testing	Property testing and distribution learning	Specialized model or subcase	medium	Polylogarithmic testing of constant-size forbidden sequence patterns is a focused ordered-pattern family. I would prioritize the broader structural classifications of testable properties over another pattern-specific query frontier.	The fixed-pattern, proximity and domain conventions remain necessary; constant pattern size does not automatically give constant queries.		https://vaclavrozhon.github.io/atlas/#TCS-5210
54	TCS-5334	Sample-efficient latent-tree Ising learning	Property testing and distribution learning	Specialized model or subcase	medium	The intended target is sample-optimal proper learning in the latent-tree Ising family. It is a specific hidden-variable statistical-computational gap; the broader learning questions have greater independent coverage in the benchmark.	The current card additionally records a missing-logarithm conflict in the source. That defect needs correction, but is not by itself the reason to discard the genuine learning question.		https://vaclavrozhon.github.io/atlas/#TCS-5334
55	TCS-5349	Dimension-free regret for bounded-max-norm experts	Online algorithms, scheduling and packing	Specialized model or subcase	medium	Dimension-free regret is sought under the particular bounded factorization-max-norm promise with the factorization hidden. This special structural promise adds less general coverage than unrestricted expert, bandit and convex-optimization regret questions.	Low rank, bounded max norm and a known factorization are different assumptions.		https://vaclavrozhon.github.io/atlas/#TCS-5349
56	TCS-5434	Nontrivial agnostic membership-query learning of \(\mathrm{ACC}^{0}\)	Learning theory	Specialized model or subcase	medium	Agnostic membership-query learning of ACC0 with a nontrivial time saving combines a specific circuit class, query access and noise guarantee. I would prioritize the general circuit-learning/hardness connections over this additional restricted learning target.	Realizable learning and circuit satisfiability algorithms do not automatically yield the required agnostic guarantee.		https://vaclavrozhon.github.io/atlas/#TCS-5434
57	TCS-5863	Decidability of stochastic resolvability for \(\omega\)-automata	Automata and formal languages	Specialized model or subcase	medium	Stochastic resolvability concerns one way to execute Büchi and coBüchi nondeterminism online with almost-sure success. This is a specialized resolver-existence boundary rather than a general automata equivalence or universality problem.	Checking a supplied resolver and deciding whether some resolver exists are different problems.		https://vaclavrozhon.github.io/atlas/#TCS-5863
58	TCS-6814	Efficient PTAS for fixed-machine job-shop makespan	Parameterized complexity and algorithms	Specialized model or subcase	medium	An efficient approximation scheme with fixed-machine dependence is a specialized parameter regime of job-shop makespan. I would prioritize the broader scheduling approximation barriers and general parameterized complexity questions.	An ordinary PTAS with parameter-dependent polynomial exponent does not satisfy the EPTAS target.		https://vaclavrozhon.github.io/atlas/#TCS-6814
59	TCS-7086	Incremental polynomial-time binary-matroid circuit enumeration	Counting and enumeration	Specialized model or subcase	medium	The target imposes incremental polynomial time and polynomial space specifically on binary-matroid circuit enumeration. It is a focused combination of object family and output-resource guarantees beside the general enumeration-class barriers.	Minimality, duplicate avoidance and the binary-matroid input representation matter; arbitrary dependent-set listing does not suffice.		https://vaclavrozhon.github.io/atlas/#TCS-7086
60	TCS-7288	Adaptivity gap of influence maximization with full feedback	Beyond worst-case and average-case analysis	Specialized model or subcase	medium	The full adaptivity-gap function measures the value of observations for independent-cascade influence maximization with full-adoption feedback. Its dependence on a particular diffusion and feedback model gives it lower priority than more general online-selection and inference barriers.	Keep the whole n,k function in view; this proposal is not based on disallowing quantitative or functional answers.		https://vaclavrozhon.github.io/atlas/#TCS-7288
61	TCS-0310	Polynomial-time weighted falsifiability of unambiguous DNFs	Computational complexity	Specialized model or subcase	borderline	Weighted falsifiability of an unambiguous DNF combines a narrow representation promise with optimization over its complement. I would prioritize general d-DNNF negation and equivalence, while acknowledging this is a concrete test of their underlying obstruction.	Easy unweighted counting does not solve binary-weight optimization, and no equivalence to the general representation problems is claimed.		https://vaclavrozhon.github.io/atlas/#TCS-0310
62	TCS-1125	Sub-log-squared seeds for width-four ordered branching programs	Pseudorandomness and derandomization	Specialized model or subcase	borderline	This selects the first particularly small-width seed-length frontier for ordered branching programs, while TCS-6600 retains the general optimal-generator target. I would consider keeping the width-four challenge as context rather than an additional slot.	A constant-width case can expose a genuine general barrier. Error dependence must match the source, and the general and width-four targets are not equivalent.		https://vaclavrozhon.github.io/atlas/#TCS-1125
63	TCS-1595	Decidability of fifth-order \(\beta\)-matching	Automated reasoning, rewriting and unification	Specialized model or subcase	borderline	Fifth-order beta-matching fills one remaining order threshold in a restricted matching hierarchy. I would treat that narrow boundary as secondary in a 500-problem benchmark, while recognizing its clear computability content.	Beta-only matching must not be replaced by beta-eta matching; known general matching results may use different equality rules.		https://vaclavrozhon.github.io/atlas/#TCS-1595
64	TCS-1978	Search tractability of BLP-solvable promise CSPs	Constraint satisfaction	Specialized model or subcase	borderline	This restricts promise-CSP search-versus-decision to the BLP-solvable class, while TCS-6675 preserves the general construction barrier. Its role is an important tractable-decision subcase rather than an independently broad target.	A solution of this BLP case would not resolve the general promise-CSP search question; this is an editorial comparison, not a duplicate claim.		https://vaclavrozhon.github.io/atlas/#TCS-1978
65	TCS-3331	DynFO maintenance of red-predecessor parity	Dynamic algorithms	Specialized model or subcase	borderline	The target is one parity-of-existential-coverage query in order-free, initially empty DynFO. It is a useful diagnostic example, but the specific logical maintenance convention gives it lower benchmark priority than general dynamic graph and logical expressiveness barriers.	This is not direct-set parity, and quantifier-free lower bounds do not resolve DynFO.		https://vaclavrozhon.github.io/atlas/#TCS-3331
66	TCS-3391	Efficient learning of well-separated Gaussian mixtures	Learning theory	Specialized model or subcase	borderline	The remaining question is efficient global recovery of well-separated Gaussian mixtures after local EM convergence and sample guarantees are understood. I would put this favorable-distribution recovery regime below the main general learning and statistical-computational thresholds.	A good local initialization is not automatically available; this is a substantive rather than cosmetic algorithmic gap.		https://vaclavrozhon.github.io/atlas/#TCS-3391
67	TCS-3792	Deterministic linearizable objects for set agreement	Distributed, parallel and sublinear algorithms	Specialized model or subcase	borderline	The target extends a task/object separation to higher set-agreement parameters while simultaneously requiring determinism, linearizability and reusable ports. That exact combination is less broadly representative than the main coordination and distributed-complexity barriers.	The source's k=2 separation does not prove the universal higher-k statement; the model distinction remains substantive.		https://vaclavrozhon.github.io/atlas/#TCS-3792
68	TCS-4350	Uniform compressed word problem for graph groups	Algebraic computation	Specialized model or subcase	borderline	The remaining obstacle combines arbitrary straight-line-program compression with an input-specified graph group. I would give this particular uniform compressed-word model lower priority than the broader word, conjugacy and group-isomorphism decision barriers.	The uniformity obstacle is real; fixed-group algorithms and power-word algorithms do not solve it.		https://vaclavrozhon.github.io/atlas/#TCS-4350
69	TCS-4454	Half-snowflake embeddings into Wasserstein p-space	Geometry, topology and metric spaces	Specialized model or subcase	borderline	The half-snowflake target improves universality inside the specific three-dimensional Wasserstein-p host for p greater than two. It has genuine metric content, but this host/exponent combination adds less broad coverage than the central embedding conjectures.	This is not the stronger near-isometry question, and planar transport results do not solve it.		https://vaclavrozhon.github.io/atlas/#TCS-4454
70	TCS-4659	Determinacy of Wadge games for Muller tree languages	Automata and formal languages	Specialized model or subcase	borderline	This asks for ZFC provability of Wadge-game determinacy for Muller tree languages. It is substantial descriptive set theory, but its specific axiomatic-strength comparison has less direct computational payoff for this benchmark than the main automata decision problems.	Borel determinacy does not settle non-Borel regular tree languages; this is not a claim that the theorem is routine.		https://vaclavrozhon.github.io/atlas/#TCS-4659
71	TCS-5779	Constant-factor online contention resolution for matroids	Online algorithms, scheduling and packing	Specialized model or subcase	borderline	This studies online contention resolution for correlated matroid activations relative to offline balance. Its close connection to the secretary programme is valuable, but I would prioritize that central programme over a separate correlated-activation comparison.	Do not assume independent activations or treat a conditional secretary-based result as an unconditional answer.		https://vaclavrozhon.github.io/atlas/#TCS-5779
