id	title	category	disposition	sha256
TCS-0025	Superpolynomial lower bounds for unrestricted Frege proofs	Proof complexity	not_shortlisted	8e5c1d1b947b97c4170005c10c035eb50f9099ba003a0bade474df79d9fae189
TCS-0026	L versus BPL	Pseudorandomness and derandomization	not_shortlisted	b0c86ac8257948dc2489975f9e5216779df9c8d57f5ee1685a686bdc0c974f8b
TCS-0027	Black-box unitary synthesis	Quantum computation and information	not_shortlisted	a7fdafb85883dfe5eef26f0be7e226abcf92e12e201695fcff644534172d79be
TCS-0029	Maximum randomized-versus-quantum gap for total functions	Quantum computation and information	not_shortlisted	bd6ee14a8d16f95b00bc8fb56b6b981f51d0b1f7a72eb1d724a73a803ad0be07
TCS-0030	Oracle separation of BQP from efficient-prover interactive proofs	Quantum computation and information	not_shortlisted	ddb18e880ca17fe92b2dc0d4809aa4174bde930ae9f68e1cd4d08814369f2931
TCS-0031	Oracle separation of BQP from IP	Quantum computation and information	not_shortlisted	1f19b8bfb5d41cbf69fe368a8ce28408a97f00ae8d92b09a48d1bba5b548983f
TCS-0033	Quantum query complexity versus bounded approximate degree	Quantum computation and information	not_shortlisted	0fc4e990bce259dd5edc083d0ddb3443a4c726023bbbc16b336f7d0ccaab5a7f
TCS-0034	Quantum query–space tradeoffs for collisions and distinctness	Quantum computation and information	not_shortlisted	3689aefb7d4fe2404782891efc110f818b28485659e771c18e2dd1ad43ed36eb
TCS-0036	BPP versus BQP	Quantum computation and information	not_shortlisted	da648b5ac012959003c864e0c68f0edad7784cfefe0ae62d27b9a30edc0e30b9
TCS-0037	NP outside BQP	Quantum computation and information	not_shortlisted	130affd2f4995e23abc2f77e0872b0666c4e980bfdc4c44a10f7aec65fa93640
TCS-0046	Complexity of solving tropical or min-plus linear systems	Algebraic computation	not_shortlisted	b51f3ad07db58bf66a3c5f668e95b298a6b2492b82ffabca1e12273516bc16a8
TCS-0047	Complexity of testing membership to Kronecker polytopes	Algebraic computation	not_shortlisted	7b0698a03ffb3097959e2097760061a2be1bcf51f3b46790e4e22149a174f9c1
TCS-0053	Sign-representation	Communication complexity and Boolean function analysis	not_shortlisted	06f1d1cfa8afa237ebe03ad36e74dd92f55a054a012d9565c3df9fd9813427f2
TCS-0054	Tensor decomposition at the uniqueness threshold	Algebraic computation	proposed_candidate	3c0463eb445112303e135d015790560119cf4bf71000163acc251ee5882117bd
TCS-0055	Sum-of-square-roots problem	Algebraic computation	not_shortlisted	47c6728b221f973c97f6fce146e719c9a3ad196f844fc131f1f652dea91b9fd8
TCS-0056	Best \(\alpha\) for \(\alpha\)-MMS existence	Game theory, social choice and fair division	not_shortlisted	8cd97c33c831d80f281252a3101cc9ac26e2fdcae7ae9bf7c91e58b72470f7ab
TCS-0071	\(\mathrm{NC}^{0}\) proof systems	Proof complexity	not_shortlisted	71488e629d16a41f97d1adf86052d1127f5a7a3cf3c58b592868787d8aa1cc08
TCS-0073	Complexity of mixed equilibria in identical-payoff polymatrix games	Game theory, social choice and fair division	proposed_candidate	af1bc3eee32002fc15251b708be0543abdfdf5e6fec8bb04f0cbb13d689a80dc
TCS-0088	Optimal approximation of Max Di-Cut	Approximation algorithms and inapproximability	not_shortlisted	20beed3075211f76afb531420c78c68975d571679ad6f3b35801041db4f44722
TCS-0092	Complete methods for fair almost-sure termination	Semantics, logic and verification	not_shortlisted	a25cbf7696e6010221ae60b0e2d89b9f6fcf008ceee5f58d699a581f28662d5e
TCS-0095	Efficient LRS evaluation	Algebraic computation	not_shortlisted	3630cb43b8b153d62fbbe0542081a054227daeb7f82f9e1c56b4e331c51d0565
TCS-0114	Satisfiability of String Constraints with Subsequence relation	Automated reasoning, rewriting and unification	not_shortlisted	6a25a3a8e28e6997323a8613e7b0d192fa7cff88834ebeb2ccd0992e735ed767
TCS-0128	Better bounds on complementing unambiguous automata	Automata and formal languages	not_shortlisted	d105e233fdd7723c125d8bac18b531e04f68354d4ca3f63e33b7d64bfb827c86
TCS-0133	Stronger versions of inclusion of probabilistic automata	Automata and formal languages	proposed_candidate	dde79507820f7eec3f569ee974d2bf332880e29134a596e4fda3c3e7c7ab7488
TCS-0135	Zeroness problem	Automata and formal languages	not_shortlisted	d67171a7dccc32e40afd06798f969524b1292265828552c6da00d040772a6ee1
TCS-0136	Universality of register automata over ordered domains	Automata and formal languages	not_shortlisted	abedcad8b28338d9fe7aa4f58a07425c29116695266e758ab3b818df823b5575
TCS-0138	Deterministic separability of nondeterministic timed languages	Automata and formal languages	not_shortlisted	e31c6be7d32d3b5977fff68c78e4826bba921cf75d637b7371453995e6ed09bf
TCS-0146	Complexity of universality for unambiguous context-free grammars	Automata and formal languages	not_shortlisted	2fee66d7e3c78f98aa14aa5d84ef539592048553d2e92709d99f2c25c8bd5c9d
TCS-0154	Separating words problem	Automata and formal languages	not_shortlisted	ea35d314f6d4e573f2386f224f881e87c4dad2a544e923b95e74d1903d2e6483
TCS-0163	Complexity of satisfiable word equations	Automated reasoning, rewriting and unification	not_shortlisted	27e1274e29082fc603360617d123b9eaf263def424cbc917d50d2fde669d141e
TCS-0164	Equivalence for unambiguous grammars	Automata and formal languages	not_shortlisted	b16cfb8e75fc0b280d605b8be05535ebcf110d19d3a2d4943333a80440c4cfb9
TCS-0167	Primitive words and context-freeness	Automata and formal languages	not_shortlisted	d847c0cc2632a9aef6af3ccb88e1a384198221f295318102aa775cb94c87f62c
TCS-0171	Complexity of word unification	Automated reasoning, rewriting and unification	proposed_candidate	e3682cc5f577983d3c5e221c19c5c1712d548269fd924c3140024fb06a379d53
TCS-0173	Pattern unification modulo variable-preserving equations	Automated reasoning, rewriting and unification	proposed_candidate	67414348db4abea8e969ed85f01dbc4bb7ffc24a58e9bc59aa225ac2da2c9fbb
TCS-0178	Bounded-alphabet approximation of entropy-region faces	Coding and information theory	not_shortlisted	1ed8323166776dc031224c1571788904a059531eb96629a2fde35359e4332d72
TCS-0184	Entropic matroid approximations approaching unit ratio	Coding and information theory	not_shortlisted	2bf67e0f4a451cc322b1ff8c3c12c426f97c5344e02fc34a55745df23828ac78
TCS-0187	Field dependence of linear-rank inequalities	Coding and information theory	not_shortlisted	280a8f6aac97f4bb51e4362b468e851606989853b7eaf722ecf76f101857f1ed
TCS-0196	Polyhedrality of linear-rank inequality cones	Coding and information theory	not_shortlisted	0e2df866e64607411466b19e50ab0c788098782ac5b0abcd1ff696ed1d4bc660
TCS-0205	Infimum of the Ingleton score	Coding and information theory	not_shortlisted	0175a397297e0c105eafdfccba1ceb5ea082510bb23b6534424febe046b95b72
TCS-0218	Cryptogenography	Communication complexity and Boolean function analysis	not_shortlisted	8d9b54349867453b869da6f6c246c31895f35fa5f42ffe81620d00309e4e94a0
TCS-0220	External Information and Amortized Expected Communication	Communication complexity and Boolean function analysis	not_shortlisted	05abc1fbe5322abdff05120ad63a37ab6788f3df75621d370f9caaa38cfa0d31
TCS-0238	An algorithmic Ahlswede–Körner lemma	Computability and algorithmic information theory	not_shortlisted	13c73fcc381b17cf72823153eececbebf52e9a116bbf1aa258363f3a93d47c25
TCS-0240	Communication for algorithmic secret-key agreement	Computability and algorithmic information theory	not_shortlisted	1e2b2c6c5c20edaf758ba45432d70bc0852d4aadca2ac68f0727f3dc5e84906f
TCS-0247	Equivalence of Shannon and algorithmic network coding	Computability and algorithmic information theory	not_shortlisted	1a4d180a8b613b11cf50a897206b191904b71f16df3a0c44237e1ac080dff305
TCS-0250	Scaling joint Kolmogorov-complexity profiles	Computability and algorithmic information theory	not_shortlisted	9eaedd91c7f2bc16b297b16d4351bb0a2ed10a6ea20426197ec6c32a2141872c
TCS-0254	Networks characterized by information-flow inequalities	Computability and algorithmic information theory	not_shortlisted	fd3446055e89734e5c1f37c9fab627517ad2f9efd5e697d7e49709e7f4e4fb42
TCS-0279	Extraction of mutual information about two strings	Computability and algorithmic information theory	not_shortlisted	ef07391953b11c0695c37bf044f596c2541a681ccca339b32e0054db3675d403
TCS-0287	Strong extractors for infinite sequences	Computability and algorithmic information theory	not_shortlisted	cb29e83f24db4d4cdc4e1b680986a11475d4b9f24666278cd5a4e3099ab9ebfd
TCS-0293	Subquadratic deterministic simulation of nondeterministic space	Computational complexity	not_shortlisted	5694fe183cc70d950b67bd4dec3df00c9cd7efc7ca1cec859e29d99b189d3620
TCS-0297	A counting characterization of P with NP access	Computational complexity	not_shortlisted	6e4689b734180ff6ff97807ccfdc014a15f2e69e87c0fe7de4a90f847374c05f
TCS-0298	SAT multi-prover proofs using efficient SAT-oracle provers	Computational complexity	not_shortlisted	3d177513a723e484bfe7afa78929ed00b60ac62959f48fdbb0f8b974c76849b8
TCS-0300	Randomized complexity of online labeling	Data structures	not_shortlisted	96533ec7b7f3048f9f3ec447235d94a0b652961ec36745a6d8e4b0048c8bf587
TCS-0301	Excluding one-sided randomized quasilinear-time log-space SAT	Computational complexity	not_shortlisted	f75fc47a27b461805661102e8363d12b25cfd62490bf0eeffa6cd6ec664ce4fa
TCS-0303	Stronger log-space time lower bounds for SAT	Computational complexity	not_shortlisted	f00f42156ceb7499e5582a13da0ccc8fad81f0fe63e5f7cfa4b37b3962b39506
TCS-0305	Supercubic uniform formula lower bounds for SAT	Computational complexity	not_shortlisted	37a6865497fc5b60977fbc98a63e947ccefe1b6f14e0e4c28d8e1fb6363d947c
TCS-0306	Efficient negation of d-DNNFs	Automated reasoning, rewriting and unification	not_shortlisted	6d37844a3b6e9c92071251ff86fedb95e262b6c29647b161e35e8f419adfd0d5
TCS-0310	Polynomial-time weighted falsifiability of unambiguous DNFs	Computational complexity	proposed_candidate	7bbcf7ead60929fba4e83e2f52af7cf3f159f076f76995f651793cb581262c1e
TCS-0315	Fat Minors	Structural graph theory and graph algorithms	not_shortlisted	ffe3692a10577f57dab2e35598a9d514e15ce351030b5b6991b355044601aea0
TCS-0318	Planar k-set extremal function	Geometry, topology and metric spaces	not_shortlisted	7cb7ab7202fdfd08cd18ad534824d10a73864b703f8eb192fba4da92c891b03c
TCS-0327	Simple Polygonalizations	Geometry, topology and metric spaces	not_shortlisted	0357a814ee9bfdfc8d1f2f3762813e9146a2d22198c18ff6ad607683997c0dc6
TCS-0328	Sparse \((1 + \epsilon )\)-emulator for Euclidean Point Sets	Geometry, topology and metric spaces	proposed_candidate	1a922b08e3f43c00d363a5a8cc165bec2e7c560bbbeda4043d93910afc832ac7
TCS-0340	Average Distortion Embeddings	Geometry, topology and metric spaces	not_shortlisted	39502da76fa777fe99e04ff92a36a55c68b3bb52793e189ee0a35a0ee6f997e8
TCS-0344	Additivity of extension complexity under Cartesian products	Optimization and numerical computation	proposed_candidate	eaf125e58105d099666a70bb83e5e5ea4de2dc6d8bf8e0ff70b4c0b74566f848
TCS-0363	Negative cycles on surface embedded graphs	Geometry, topology and metric spaces	proposed_candidate	f47927f55a7f03f971e799761ecccaafe7a2da013680bccbe5dbf4f7d0e17870
TCS-0377	Smallest Universal Set of Points for Planar Graphs	Geometry, topology and metric spaces	not_shortlisted	7d0ea7de6c68b279edaf119ee82b76940961b79c8f6f982433475104ba888907
TCS-0381	Flip Graph Connectivity in 3D	Geometry, topology and metric spaces	not_shortlisted	a097bfcc7ea14a5d4ad5021ebd231d0ec21955f6a6b3b013bbbee454663706cd
TCS-0382	General Unfoldings of Nonconvex Polyhedra	Geometry, topology and metric spaces	not_shortlisted	6155968845528693a6636e4d1a1e8e8e29c68220944c7e67d8340ee184474223
TCS-0387	Dynamic Planar Nearest Neighbors	Dynamic algorithms	not_shortlisted	40e9fd4022e008d46591811590bca5e75704b9737eea5cfdf66fd77be5593902
TCS-0388	Sorting \(X + Y\)	Algorithms	not_shortlisted	c4d49f23f77c7ae5f1633d7fe078e5075e0c36cc71e7b92823b14f90b9e07ca7
TCS-0398	Planar Euclidean Maximum TSP	Geometry, topology and metric spaces	not_shortlisted	16fa62270d03785d46252abe21c5b1c074c751f548b2997525e4554170c9a092
TCS-0403	Euclidean Minimum Spanning Tree	Geometry, topology and metric spaces	not_shortlisted	b1a54dfcb9b60cf1447fb3762f777896c1388a370fef06036b3d260602478368
TCS-0406	Dürer’s conjecture	Geometry, topology and metric spaces	not_shortlisted	24d3a25912f6f86e34cd081d76e29119192555e3e32247d2e00f7b5ee76a84e2
TCS-0408	Minimum Euclidean Matching in 2D	Geometry, topology and metric spaces	not_shortlisted	185f112c87d354b9c186044d51dd8050b355e192d35b8873ca9a2d9c90741cd0
TCS-0409	Minimum-Link Path in 2D	Geometry, topology and metric spaces	not_shortlisted	c412804444de126c958e469f9b65d21e3455d29a664532ec9f994a14c057d636
TCS-0410	Output-sensitive Convex Hull in \(\mathbb{R}^{d}\)	Geometry, topology and metric spaces	not_shortlisted	2e1c892199decdf77d0611184e5e01b5eb9a8b5690a2d82eb33e72edbbf15c2e
TCS-0411	Point Location in 3D Subdivision	Geometry, topology and metric spaces	not_shortlisted	bd354512ac1ca8f0f3f7221e300b155ef396a53831824437d5b25203c2b7dfc3
TCS-0414	Surface Reconstruction	Geometry, topology and metric spaces	proposed_candidate	4a6b8bd4edebb3cf62c116dbf4ebcf6f424d57d9e79256392421b7d24c50ca0c
TCS-0416	Visibility Graph Recognition	Geometry, topology and metric spaces	not_shortlisted	18f238f4124038975e6d5b68fcba1d6870067944d9d6853d962a83b9ff5b5b4f
TCS-0417	Voronoi Diagram of Lines in 3D	Geometry, topology and metric spaces	not_shortlisted	15bfb3501d16e15cc48df0bb20ab1a9a6de08df6bd3788032cc0fb207045c06c
TCS-0419	coNP certificates for three-manifold homeomorphism	Geometry, topology and metric spaces	not_shortlisted	4338f5355abaee7a84991553ce626529e7d0d97c0ce395cc59af0ac26bb0eaad
TCS-0427	NP certificates for homeomorphism of three-manifolds	Geometry, topology and metric spaces	not_shortlisted	c1d98c0e0956eb2707c8675b79574f2d070c2acab0ef98e4e55b62906fe6df5e
TCS-0428	NP recognition of closed hyperbolic three-manifolds	Geometry, topology and metric spaces	not_shortlisted	5a1dd57389ba86ae9a36edbf6dfaacd2fabad9537472e9002d63bd76079f76d0
TCS-0430	NP-hardness of three-manifold homeomorphism	Geometry, topology and metric spaces	not_shortlisted	19459852d1b192178ca79bf61bec90f25349748f7a8b2123fd6eefec4ff83e57
TCS-0432	Polynomial flip-distance bounds for three-manifold triangulations	Geometry, topology and metric spaces	not_shortlisted	04679225cf288378e40a8a84894801df14ca8c2fe4e90bd09f1011d99563b9fc
TCS-0441	Characterizing CSP languages with linear non-redundancy	Constraint satisfaction	not_shortlisted	3171556921c2425d0ecbf06314d36467e5145e8c9b0c4e80b8dc9d009ec7e679
TCS-0444	Polynomial kernels for Boolean MinCSP	Constraint satisfaction	not_shortlisted	bd635cc4de73cb440a76b608ab5f3682b159cd6425ff3f7d48a46dbcb281d005
TCS-0464	Information leakage in distributed OR	Communication complexity and Boolean function analysis	not_shortlisted	9b99eb0d723d8822046b9238e2460182a73602019bfc55136890ce245ffbd891
TCS-0465	Sub-square-root share-size exponents in perfect secret sharing	Cryptography	not_shortlisted	6ff79876b1c121ecba3e5adf360a1d3e997ac61cd12609c3065147ede075e2d7
TCS-0467	Linear-space LZ77 random access	String algorithms and computational biology	not_shortlisted	5aa0f887626eb97ee89f3b40baf0adbf026bd205dceb2f62d048b35a6b2a4765
TCS-0468	Linear-time LZ77 pattern matching	String algorithms and computational biology	not_shortlisted	bf85245c48d03c960d40d046fd12dfbb0d155939d293d0274317b113c8aefd9a
TCS-0469	Maximum independent set in the congested clique	Distributed, parallel and sublinear algorithms	not_shortlisted	a3af24083e6eb7577ae3922b4a73cc6852a6ab956e8c8c1c67ad378c1f7f2d69
TCS-0470	Grammar random access in \(O(g \log  g)\) bits	String algorithms and computational biology	not_shortlisted	29ddd5c3cede66d808e82f09c3e764145aab8cc344cd64b710e209339ebbb2a5
TCS-0478	Dynamic APSP with edge-linear updates	Dynamic algorithms	not_shortlisted	3f18b1e9b33c862c7d5471a8b2fd9222de58270b97896c245cf79308e54de81b
TCS-0481	Cubic min-plus circuit lower bounds for shortest paths	Algebraic computation	not_shortlisted	7748bee8888ebf1578f301bf85f6f9a6c538f0a2a722f339b82cb7774f9e5431
TCS-0482	Linear-round convergence over stable semirings	Database theory and finite model theory	not_shortlisted	ae704fe2f42d455e87cd9953bb31ef72dca0238a8d09fcf70e05c11f0b2574bd
TCS-0487	Complexity of polymatroid query-size bounds	Database theory and finite model theory	not_shortlisted	3779fa8095d20a33d8827ee9b6e58ce7b791cbef72f54ec269ddbe060d4e8161
TCS-0488	Computability of entropic query-size bounds	Database theory and finite model theory	not_shortlisted	aedc31c3323560487e8e971f46660b31334dc0cfe08da50f288031f8534453ff
TCS-0491	Log-squared query complexity for fixed-dimensional Tarski	Optimization and numerical computation	not_shortlisted	f0adf163ce776879f1df30cc9f1beb4611bca1bd13fe1421e472e92386c9eb18
TCS-0492	Conjunctive-query containment under bag semantics	Database theory and finite model theory	not_shortlisted	58543ae0797bc2d240fa931be37fe84485c8af8294b3f372735c152f2bc3ee92
TCS-0494	Finite controllability from bounded derivation	Database theory and finite model theory	not_shortlisted	2f5873a9acebaa7bda8fc9d76b23047773fe72c6f104605c35c57f4b45f22a47
TCS-0499	Query evaluation with treewidth parameter	Database theory and finite model theory	not_shortlisted	2ee12107f35bb559392b467622fe34ca52c931ba02fb92d2229ec395c0634ff3
TCS-0502	Tractable probability versus tractable lineage	Database theory and finite model theory	not_shortlisted	fce982e09c8432c28b375f3b0e23d9b55a7b9ace26a5e7777c2135be5707be81
TCS-0504	Uniform algorithms across tractable CSPs	Constraint satisfaction	not_shortlisted	4196c9d83e7fe0a71a1be5931ebe98f7f32392c9ba19e5870c0f766ede2f3889
TCS-0505	Uniform reliability of homomorphism-closed queries	Database theory and finite model theory	not_shortlisted	34afd6f1e8ffa47ce69877c47219c4229d73172b16979fe8ad255fb1cbc770ed
TCS-0506	Private PAC sample complexity from VC and Littlestone dimensions	Differential privacy	not_shortlisted	2d7f326609c0cc80d786291a64806c627d69c82fda3b916439766121077e7804
TCS-0507	Optimal regret for private stochastic online learning	Differential privacy	not_shortlisted	001c587319c2f2213a77249504ac54f39fbe17ea9eb4aafc75b2444a0eeec978
TCS-0510	Cost of privacy in online learning	Differential privacy	not_shortlisted	68dfe50a420b051f568d53c26eac6b3d20d242c01a672916166a7686028f2b60
TCS-0515	Deterministic volume gap	Distributed, parallel and sublinear algorithms	not_shortlisted	5415e6501764473393f11ad423b2bb9404859fe4067b0d93a9cab03d6aced865
TCS-0519	Bipartite maximal matching with polynomial-in-degree volume	Distributed, parallel and sublinear algorithms	not_shortlisted	6244b99a4e14ba6cd6bf38e8c4156f1a0d71c29534dcae3604a5d79b8857a88b
TCS-0522	Quantum 3-coloring of cycles in \(o(\log * n)\) rounds	Distributed, parallel and sublinear algorithms	not_shortlisted	1b239514411cd36a10e7f503eb1b8b70cc66eb1b77d621fc519b4834ae10faf2
TCS-0524	LOCAL coloring below square-root degree dependence	Distributed, parallel and sublinear algorithms	not_shortlisted	f21d0ba152ffa235e4dbd10585a1011ac5f133a2adebc0387b245335d1cdeddc
TCS-0536	Dynamic edge coloring	Dynamic algorithms	not_shortlisted	82fe9ef25b398a2d0a7986911b3e8a32286c4ebbe26eec77837e53a057df218a
TCS-0538	Low-degree spanning trees	Dynamic algorithms	not_shortlisted	28a7351333507d72d045c702cc4b1bf268e0ccb9518c6e9781f1df2ead9b6929
TCS-0540	Communication Complexity of Max-Flow	Communication complexity and Boolean function analysis	not_shortlisted	0a5e995a4f47e8b44722f478dadce95bb992292d47f3f24964ec2ce9848943de
TCS-0541	Dynamic Complexity of Low-Stretch Spanning Trees	Dynamic algorithms	not_shortlisted	1bf6bb85b43d12c47a26dd00f62029c15d6335de145639c0b1dce6ca6ae40fa7
TCS-0543	Dynamic Maximal Matching	Dynamic algorithms	not_shortlisted	db8f38636625442130921cad0ad4cd4d610e9c2734c3b31c3e65c3704f87497a
TCS-0545	Reducing weighted matching to unweighted matching	Dynamic algorithms	not_shortlisted	3d4342f05670bd89f0ef1e13344650392db2c89e8342a3284ec67d3700f97199
TCS-0557	Truly subquadratic algorithms for 3SUM	Fine-grained complexity	not_shortlisted	f7dce647b66222789fc62e21bb3abfd86485ef44ea971d0fca72da38aefaac03
TCS-0560	Fine-grained reductions from Hitting Set to 3SUM	Fine-grained complexity	not_shortlisted	1210672006dcc87c596e91ec3ab74bb223a52f80cfef3b93395471f66c70102c
TCS-0562	Refuting nondeterministic SETH	Fine-grained complexity	not_shortlisted	fecb87ad5d077ef6fe7278728119cca7d1e70f71826122f4045b3db3d8be23b4
TCS-0571	Positional Nash Equilibria	Game theory, social choice and fair division	not_shortlisted	03bb1c5e9db665d799155d863b7968f492cb49dd0deb9d1e221f39566a984614
TCS-0587	Polylogarithmic treewidth with forbidden induced minors	Structural graph theory and graph algorithms	not_shortlisted	ae2a5c4866dfa038e4badfdf29f333b97418f73e809200de766a9fee40ad4aad
TCS-0594	3-colorability of diameter-two graphs	Structural graph theory and graph algorithms	not_shortlisted	9bc505b510681d5080c36cbd15f963797536da380e44a3aa5b7e0ca11a16daf3
TCS-0597	Parameterized coloring of H-free graphs	Parameterized complexity and algorithms	not_shortlisted	f969396db52e0d65c4601c1eb35444ab0fb84326f4f2a491ab697c74d7332e8f
TCS-0611	Bipartite Exact Matching: deterministic polynomial time	Structural graph theory and graph algorithms	not_shortlisted	d1ce1b383135f5c3ed83889bbef347aa9c15059569a5d879a73dc86295ac9fd6
TCS-0619	Reachability in Low-Dimensional VASS	Semantics, logic and verification	not_shortlisted	d7c63b4eda384d9fcaebedcb18acea5f582c36b0130848114260927dc3f5026a
TCS-0632	Complexity of fixed VAS reachability	Semantics, logic and verification	not_shortlisted	09f37ae7395c762f3414921296d22ffb35e8f338a0e4cf5ec69d3aabfe114c41
TCS-0640	Shortest runs in 3-D VASS	Semantics, logic and verification	not_shortlisted	34f0f7e9df76b5a15519c50907f4c7b21a50adcd877f3d01ead1f799b449b954
TCS-0648	Constant-gap hardness of unique SVP	Lattices and computational number theory	not_shortlisted	d38b6639f55585b7ea8e9dade51c0c9740fffcaac69fa824f60c2af00d9121d2
TCS-0651	Deterministic NP-hardness reductions for Euclidean SVP	Lattices and computational number theory	not_shortlisted	16603f047f05d24d3188df127e81b19998112806799d6a203acbf65a3f218f84
TCS-0652	Dimension-preserving search-to-decision reductions for SVP	Lattices and computational number theory	not_shortlisted	5c446d2dd176bda0b549f185fc91ad9e937aa9bd60cd2312975f94dbbc16695f
TCS-0653	Explicit quantum exponential-time lower bounds for Euclidean SVP	Lattices and computational number theory	not_shortlisted	0fee38c054d01f0648b65f514db67a2ea43cd44be60051a6d9ab414593b91091
TCS-0655	Polynomial-factor SVP hardness from standard assumptions	Lattices and computational number theory	not_shortlisted	0362199269716b9c1f0f94de5c21ba1d1874a442e3245e79aafc6b305f07ccc4
TCS-0656	Reducing factoring or discrete logarithms to approximate SVP	Lattices and computational number theory	not_shortlisted	cb9a114cb5cafe61e8727529084aed6f2e41a492e55b052857ebc68f5f69b6f8
TCS-0657	Smaller-factor coNP or coAM certificates for SVP	Lattices and computational number theory	not_shortlisted	25ca6cde95095569cdb747d7140aa3861c3086e8f2c19e73f45e3a2ac508b22c
TCS-0658	Standard-assumption hardness for cryptographic-factor SVP	Lattices and computational number theory	not_shortlisted	7a0f1f09e649645793607cf85305112b61a6e5192757750b91a9b0d4ae6c04f0
TCS-0659	Stronger worst-case reductions to SIS and LWE	Lattices and computational number theory	not_shortlisted	b617562071c93eef08f00dd47ab90dcb0b82fbf3bf7ccbf4665df43cad6c8436
TCS-0661	SVP hardness for fixed-rank module lattices	Lattices and computational number theory	not_shortlisted	d023feb2ac0ef69cff17b99100a534997e0b431be97054a46c51ecb8f5d55767
TCS-0662	Unconditional exponential hardness of \(n^{1+\varepsilon}\)-GapSVP	Lattices and computational number theory	not_shortlisted	5ecca068bc66398f745353e82d5ff763f47aa65bc5b0e29cac663f25e0760222
TCS-0664	Distribution dependence of deep-learning advantages	Learning theory	not_shortlisted	a9ff6926802b6a303e1595f6b14ac04cf4b5ec20ef7aa84e53ba59b08d772cdf
