id	type	confidence	reason	retain_ids	condition
TCS-7033	consolidation	medium	The survey bundles directed feedback vertex and arc kernelization, while TCS-6379 already carries the central solution-size kernel question. A consolidated entry can avoid spending a separate slot on the survey occurrence.	TCS-6379	Preserve the arc branch and explicitly verify the parameter-preserving reductions and deterministic kernel convention before removing the bundled entry.
TCS-2783	consolidation	medium	This repeats the Erdős girth-conjecture theme in TCS-6500, with valuable routing provenance. One carefully reconciled girth entry would preserve the scientific challenge and avoid two slots for its near-identical extremal formulation.	TCS-6500	The current cards differ: all sufficiently large n versus arbitrarily large n, and girth at least 2k+2 versus greater than 2k. Preserve or explicitly decide these quantifiers; no equivalence is asserted here.
TCS-6937	consolidation	medium	The integer-weight randomized APSP hypothesis and the real-weight APSP card organize the same main exponent barrier. I would consider presenting their model variants together instead of keeping a separate textbook occurrence.	TCS-6510	The integer word model and comparison-addition real RAM are different. Preserve both model-specific claims; a generic statement that these cards are duplicates would be incorrect.
TCS-3056	specific_method	high	The target extends one fast n-fold Boolean-convolution result to signed entries. Its main contribution would be removing the no-cancellation restriction of that algorithmic setting, with less independent reach than the general convolution and algebraic-computation barriers.		Do not infer that all signed convolution questions are minor; this judgment concerns the selected extension and its saved efficiency target.
TCS-3414	narrow_model	medium	This asks for large graph representations of explicit permutation actions with a distinguished invariant subset. It is an interesting representation lower bound, but the extra action-realization requirement makes its benchmark contribution more specialized than the main group-isomorphism and algebraic lower-bound questions.		The target is not ordinary realization of abstract groups as automorphism groups.
TCS-4350	narrow_model	borderline	The remaining obstacle combines arbitrary straight-line-program compression with an input-specified graph group. I would give this particular uniform compressed-word model lower priority than the broader word, conjugacy and group-isomorphism decision barriers.		The uniformity obstacle is real; fixed-group algorithms and power-word algorithms do not solve it.
TCS-4490	narrow_model	medium	Higher-dimensional PosMatPow is a particular matrix-dynamics predicate within a catalogue already containing Skolem, Positivity and continuous-Skolem problems. Its present scientific motivation is chiefly the extension of one low-dimensional analysis.		Do not claim equivalence with recurrence positivity without recovering the PosMatPow predicate and power quantifier.
TCS-5777	invalid_extraction	high	The extracted sentence is the broad introductory question about monotone versus unrestricted computation. The same paper then proves concrete strong monotone separations for spanning-tree polynomials; the card identifies no additional independent residual conjecture.		Retire this extraction, not the general study of cancellation or every question in the paper. Its solved theorems can remain context elsewhere.
TCS-0073	narrow_model	medium	Mixed-equilibrium complexity in identical-payoff polymatrix games isolates a specific network-coordination restriction. I would prioritize the broader equilibrium and incentive barriers over an additional card for this payoff-structure variant.		Shared payoff is not itself an efficient algorithm; the removal argument is editorial, not a resolution claim.
TCS-7196	narrow_model	borderline	The three-agent case asks for computational efficiency after EFX existence is known. It is a meaningful next threshold, but adds a more restricted target beside general EFX existence and efficient EFX approximation.		This is a computational question and is not equivalent to TCS-0011. Its importance as the smallest unresolved algorithmic case makes this a borderline cut.
TCS-6433	specific_method	medium	The target algorithmizes the exact rooted, prescribed-size Győri–Lovász partition guarantee, already at five parts. I would give this construction problem lower independent priority than general connectivity, flow and disjoint-path barriers.		Stronger-connectivity constructions do not resolve the original theorem's algorithmic case.
TCS-6784	quantitative_refinement	borderline	The surviving gap is attaining the exact Thorup–Zwick emulator edge exponent with an actual spanner, rather than arbitrarily close exponents with slack-dependent constants. This is a sharper refinement than the larger additive-spanner frontiers retained elsewhere.		The full hierarchy and fixed constants matter; do not call the almost-matching result a resolution or conflate this with the retained four-additive problem TCS-6783.
TCS-5442	quantitative_refinement	medium	The goal improves the integrality gap of one specific bidirected Steiner Tree relaxation below two. It evaluates the strength of that formulation more directly than the best attainable approximation for the optimization problem itself.		The bidirected, undirected-cut and hypergraphic relaxations are distinct; stronger-relaxation results do not settle this gap.
TCS-0871	narrow_model	medium	Universality and inclusion are asked for the particular AC-recognizable tree-language model. I would favor the central unresolved language-equivalence and automaton-state-complexity questions over another equational recognition variant.		This is a scope judgment; decidability of restricted transition forms is not a solution of the full model.
TCS-2243	narrow_model	medium	The proposed TC0/NC1 dichotomy concerns visibly pushdown languages, adding a low-depth classification inside a structured language family. Its independent contribution is narrower than the general circuit-class and language-decidability barriers.		Do not confuse the classification target with separating TC0 from NC1 in general.
TCS-4659	narrow_model	borderline	This asks for ZFC provability of Wadge-game determinacy for Muller tree languages. It is substantial descriptive set theory, but its specific axiomatic-strength comparison has less direct computational payoff for this benchmark than the main automata decision problems.		Borel determinacy does not settle non-Borel regular tree languages; this is not a claim that the theorem is routine.
TCS-4677	narrow_model	medium	First-order definability for orbit-finite data automata extends a classical finite-alphabet correspondence into one infinite-data model. I would assign it lower priority than the broad regular-tree definability and equivalence barriers.		Aperiodicity alone is not a complete criterion in this setting.
TCS-5863	narrow_model	medium	Stochastic resolvability concerns one way to execute Büchi and coBüchi nondeterminism online with almost-sure success. This is a specialized resolver-existence boundary rather than a general automata equivalence or universality problem.		Checking a supplied resolver and deciding whether some resolver exists are different problems.
TCS-0173	narrow_model	medium	The target combines higher-order patterns with variable-preserving equational theories. It adds a specific closure question for symbolic unification beside the more central word, modal and rewriting decision barriers.		The presentation of the equation set must still be fixed; incompleteness of that detail is not the reason for the proposed cut.
TCS-1595	narrow_model	borderline	Fifth-order beta-matching fills one remaining order threshold in a restricted matching hierarchy. I would treat that narrow boundary as secondary in a 500-problem benchmark, while recognizing its clear computability content.		Beta-only matching must not be replaced by beta-eta matching; known general matching results may use different equality rules.
TCS-2680	narrow_model	medium	The exact conjecture requires a heuristic-average-case-to-UP implication relative to every oracle and at a specified subexponential scale. That relativizing, quantitative strengthening has less independent reach than the main worst-case versus average-case hardness questions.		The universal oracle quantifier is part of the target, not an optional proof technique.
TCS-4495	narrow_model	medium	This selects exact recovery in a particular sparse planted-subgraph exponent region under the planted-clique hypothesis. The detection/recovery distinction matters, but the restricted phase region makes it a more specialized benchmark than the central planted-model thresholds.		Dense, leakage-assisted and restricted-algorithm hardness results do not resolve the saved interior region.
TCS-7288	narrow_model	medium	The full adaptivity-gap function measures the value of observations for independent-cascade influence maximization with full-adoption feedback. Its dependence on a particular diffusion and feedback model gives it lower priority than more general online-selection and inference barriers.		Keep the whole n,k function in view; this proposal is not based on disallowing quantitative or functional answers.
TCS-3513	specific_method	borderline	The target turns the generalized-channel CP-distribution feasibility criterion into explicit positive-rate codes. I would prioritize the central rate–distance and decoding frontiers over this construction within a more specialized channel framework.		This covers more than an ordinary binary Hamming channel, so the judgment is borderline and not based on the word Plotkin alone.
TCS-6859	specific_method	medium	This removes exhaustive search from the inner-code step of a Gilbert–Varshamov construction on the component's own dimension scale. Its natural role is a focused explicit-construction challenge rather than a separate general code-rate frontier.		It does not ask merely for a faster implementation, and should not be misrepresented as the general question of beating Gilbert–Varshamov.
TCS-4301	specific_method	medium	The target upgrades a specific ODD-MAX-BIT amplification mechanism from one-sided hardness to ordinary two-sided approximate degree. Its wider uses are real, but the proposed theorem remains tied to this composition rather than the full hardness-amplification frontier.		The universal inner function and pointwise approximation convention must be preserved; known one-sided amplification does not settle it.
TCS-4419	quantitative_refinement	medium	This refines randomized subgraph-query lower bounds through parameters of the fixed pattern, including independence number. I would prioritize the general evasiveness and query-complexity barriers over additional pattern-sensitive inequalities.		The rationale is the extra granularity of the proposed structural bounds, not a claim that all subgraph queries behave alike.
TCS-6198	specific_method	medium	The question tests the source's majority-hardness notion by seeking a balanced counterexample. Its immediate payoff is a limit on that specific amplification principle, making it a lower-priority standalone target than general information compression and direct sums.		Majority-hardness is a source-defined predicate, not ordinary difficulty of evaluating majority.
TCS-4463	narrow_model	medium	This isolates a Markov-versus-K-computability separation for a particular represented codomain O(B). The representation-specific witness is less broad than the main randomness, degree-structure and computability barriers already represented.		The codomain representation is mathematically essential; the proposed cut does not generalize to all comparisons of represented-space computation.
TCS-0310	narrow_model	borderline	Weighted falsifiability of an unambiguous DNF combines a narrow representation promise with optimization over its complement. I would prioritize general d-DNNF negation and equivalence, while acknowledging this is a concrete test of their underlying obstruction.		Easy unweighted counting does not solve binary-weight optimization, and no equivalence to the general representation problems is claimed.
TCS-1035	narrow_model	medium	The question measures the cost of forcing linear OR, SUM or XOR computations into exactly two layers. This adds a restricted depth comparison to a catalogue already rich in broader linear-circuit and circuit-versus-formula barriers.		The three operation systems must stay distinct; the rationale is marginal benchmark coverage rather than an alleged common answer.
TCS-3685	invalid_extraction	high	The current reviewed card records a direct contradiction of its literal average-case target: a single input-table bit already gives inverse-polynomial advantage. This is stronger evidence for retirement than an ordinary unfinished statement.		A corrected distribution, encoding or advantage target would be a new source-supported formulation to assess; the paper's worst-case theorem is not being refuted.
TCS-4960	narrow_model	medium	Polynomial depth lower bounds for a specified decoder-only Transformer model target one architecture and its resource conventions. I would prefer more broadly transferable circuit, formula and communication barriers in the main benchmark.		This is not a dismissal of learning theory or attention models; stronger evidence of consequences outside the chosen architecture would improve its case.
TCS-0328	narrow_model	medium	The target optimizes sparse near-isometric emulators for Euclidean points using abstract auxiliary vertices. It is a specific geometric representation variant beside broader metric-distortion and graph-spanner tradeoffs.		Abstract emulators and geometric Steiner spanners are not equivalent; the distinction is precisely the extra model choice being evaluated.
TCS-0363	narrow_model	medium	Negative-weight closed walks subject to contractibility combine path optimization with one topological constraint. I would place this particular surface-embedded task below the general shortest-path and topological-decision barriers.		Closed walks may repeat edges; neither ordinary negative-cycle detection nor simple-cycle algorithms settle the target.
TCS-0414	narrow_model	medium	This asks for topology recovery from samples of surfaces with singular features, extending a particular geometric reconstruction setting. Its benchmark contribution is focused on sampling guarantees for sharp edges and corners rather than a general topology or metric barrier.		A meaningful singular-surface theorem could be substantial. The missing density convention alone is not grounds for deletion.
TCS-2529	quantitative_refinement	medium	Exact optimization or a PTAS for the instance-optimal ultrametric embedding improves the quality of one hierarchical representation. I would give it lower priority than the main universal metric embedding and distortion questions.		Computing a distribution over embeddings and evaluating worst-pair expected distortion must remain separate from deterministic embeddings.
TCS-4454	narrow_model	borderline	The half-snowflake target improves universality inside the specific three-dimensional Wasserstein-p host for p greater than two. It has genuine metric content, but this host/exponent combination adds less broad coverage than the central embedding conjectures.		This is not the stronger near-isometry question, and planar transport results do not solve it.
TCS-4549	narrow_model	medium	Allowing polynomially many colors is a particular redundancy tradeoff in colorful Carathéodory computation. I would prioritize general fixed-point and convex-optimization complexity over this relaxation of one geometric existence theorem.		The required output still uses at most one point from each color; extra colors do not make the task trivially solvable.
TCS-1978	narrow_model	borderline	This restricts promise-CSP search-versus-decision to the BLP-solvable class, while TCS-6675 preserves the general construction barrier. Its role is an important tractable-decision subcase rather than an independently broad target.		A solution of this BLP case would not resolve the general promise-CSP search question; this is an editorial comparison, not a duplicate claim.
TCS-7086	narrow_model	medium	The target imposes incremental polynomial time and polynomial space specifically on binary-matroid circuit enumeration. It is a focused combination of object family and output-resource guarantees beside the general enumeration-class barriers.		Minimality, duplicate avoidance and the binary-matroid input representation matter; arbitrary dependent-set listing does not suffice.
TCS-3557	narrow_model	medium	This is an exact preservation/expressiveness equivalence between stratified and semi-positive Datalog under induced database extensions. I would give that language-specific negation-elimination boundary lower priority than the broader logic-capturing and query-containment questions.		Induced-extension preservation differs from ordinary monotonicity; no general preservation theorem is being treated as a solution.
TCS-0943	quantitative_refinement	medium	The target couples a near-exact Max-Cut accuracy depending on C with a polynomial-pass exponent barrier. It refines one problem's memory–accuracy–pass landscape beyond the broader streaming and sketching model questions.		The accuracy may depend on the desired pass exponent; do not strengthen this to one fixed accuracy for every exponent.
TCS-0957	narrow_model	medium	This isolates additive rank estimation for finite-field matrices with bounded row and column degree. The specific access model and matrix promise give it lower priority than general algebraic computation and sublinear-model characterizations.		Rank estimation on incidence matrices is only a special case and does not settle general sparse matrices.
TCS-0968	narrow_model	medium	This combines public compressed sensing, adaptive signal choice and computationally bounded adversaries. The benchmark would gain one cryptographic relaxation of a recovery guarantee, rather than a general sparse-recovery or cryptographic-foundations result.		The unrestricted-adversary impossibility does not settle the computationally bounded model.
TCS-2689	narrow_model	medium	The question removes randomized progress from one hybrid-synchrony permissionless-consensus model. Its safety/termination distinction is useful, but the specific participation model makes it a more specialized target than general agreement boundaries.		Do not apply an asynchronous impossibility theorem without matching the source's synchrony and participation assumptions.
TCS-3792	narrow_model	borderline	The target extends a task/object separation to higher set-agreement parameters while simultaneously requiring determinism, linearizability and reusable ports. That exact combination is less broadly representative than the main coordination and distributed-complexity barriers.		The source's k=2 separation does not prove the universal higher-k statement; the model distinction remains substantive.
TCS-3845	specific_method	medium	The selected task finds multicommodity routes inside the low-width random-network setting used to simulate parallel algorithms. I would treat this as a focused supporting construction rather than another general routing or parallel-computation benchmark.		Its potential improvement to parallel-to-distributed simulation is real; this is a comparative priority judgment, not merely a criticism of missing bounds.
TCS-4299	narrow_model	medium	This asks whether collision feedback accelerates deterministic broadcast in the specified radio-network model. It compares one physical-layer capability for one communication task, with less independent coverage than broader distributed-computation questions.		Randomized benefits of collision detection do not establish a deterministic separation.
TCS-3331	narrow_model	borderline	The target is one parity-of-existential-coverage query in order-free, initially empty DynFO. It is a useful diagnostic example, but the specific logical maintenance convention gives it lower benchmark priority than general dynamic graph and logical expressiveness barriers.		This is not direct-set parity, and quantifier-free lower bounds do not resolve DynFO.
TCS-3940	specific_method	medium	The saved direction asks to convert graph-pattern polynomial lower bounds into general algorithmic hardness. Its selected contribution remains tied to the interpretation of one algebraic lower-bound framework; broader subgraph complexity questions already express the scientific objective more directly.		The awkward extracted title is not the reason for removal, and method-specific hardness is not itself a general algorithmic lower bound.
TCS-4869	narrow_model	medium	The question seeks a particular fine-grained reduction from four-cycles to triangles in a source centered on listing. I would prioritize the main APSP, 3SUM and clique relationships over another task-specific reduction edge.		Decision and enumeration, including output size and instance blowup, must be aligned; no equivalence is assumed.
TCS-6466	specific_method	high	The open target bounds the number of tours of the particular BKZ basis-reduction algorithm. It would strengthen analysis of an important practical method, but has less independent foundational scope than the best possible lattice-algorithm and hardness questions.		The count of tours is not the total cost of exact block solving; practical early stopping is not a worst-case proof.
TCS-1478	narrow_model	medium	This combines adaptive corruptions, abstention and unknown clean distributions for VC classes. The requested extension removes a reduction-dimension condition from that particular sequential prediction model, rather than changing the general PAC or online learnability boundary.		Finite VC dimension alone is not asserted to suffice; the model-specific extension is the target being deprioritized.
TCS-1539	narrow_model	medium	Adversarially robust sample compression adds perturbation-set preservation and a stability-related premise to the central compression question. I would prioritize ordinary sample compression and broad robust learnability over this additional compression-model refinement.		The known negative statement for robust learnability alone does not settle the stronger premise here.
TCS-2111	narrow_model	medium	The chosen target is noiseless Gaussian learning of positive combinations of ReLUs with normalized weights. This restricted network/distribution/sign regime contributes less broad coverage than the general learning barriers, even though polynomial dependence on width remains meaningful.		Improper prediction, not parameter recovery, is required; the existing quasipolynomial width dependence is not a solution.
TCS-3391	narrow_model	borderline	The remaining question is efficient global recovery of well-separated Gaussian mixtures after local EM convergence and sample guarantees are understood. I would put this favorable-distribution recovery regime below the main general learning and statistical-computational thresholds.		A good local initialization is not automatically available; this is a substantive rather than cosmetic algorithmic gap.
TCS-5031	quantitative_refinement	borderline	This removes a regularity restriction from the Littlestone-dimension regret characterization. With TCS-2336 already preserving the general multiclass minimax frontier, I would give a separate entry for the minimax-regularity exception lower priority.		Measurability and minimax conventions may distinguish the statements. Do not mark it as an exact duplicate or silently discard the unrestricted-class issue.
TCS-5087	narrow_model	medium	The target combines adversarial poisoning, low-rank representation and spectral-norm recovery of an unobserved clean matrix. It is a particular robust estimation model beside the broader learning, low-rank approximation and computational-statistical questions.		Frobenius guarantees and detecting poisoning do not supply the requested spectral estimator.
TCS-5215	quantitative_refinement	medium	This locates the accuracy threshold between known efficient and conditionally hard regimes for agnostic learning of one ReLU. It is a detailed error-versus-time frontier within a restricted predictor class rather than a general learnability classification.		The distribution-free and sphere-normalization conventions matter; no threshold value is asserted here.
TCS-5434	narrow_model	medium	Agnostic membership-query learning of ACC0 with a nontrivial time saving combines a specific circuit class, query access and noise guarantee. I would prioritize the general circuit-learning/hardness connections over this additional restricted learning target.		Realizable learning and circuit satisfiability algorithms do not automatically yield the required agnostic guarantee.
TCS-3314	narrow_model	high	Chasing exactly three arbitrary sets on the real line is a sharply restricted request-family question. It is an attractive small puzzle, but its saved motivation gives it less independent reach than the general k-server and convex-chasing frontiers.		The sets are not necessarily intervals or convex; one-dimensional convex chasing is not a resolution.
TCS-3690	quantitative_refinement	medium	The target removes prior tuning of the switch budget while matching known regret rates for every comparator against an oblivious adversary. That adaptive-parameter guarantee is a narrower increment than establishing a new broad online-learning rate or learnability boundary.		Adaptive-adversary impossibility and algorithms told the switch budget do not resolve this untuned target.
TCS-5004	narrow_model	medium	The question makes one robust-MDP regret guarantee computationally efficient with polynomial horizon, state and action dependence. It sits inside a specified uncertainty model, so I would prioritize more general online decision and bandit complexity barriers.		Information-theoretic regret guarantees do not imply a polynomial-time implementation.
TCS-5221	quantitative_refinement	medium	The selected goal improves linear dependence on the number of matroids in a prophet inequality. This is a quantitative intersection-parameter frontier, secondary to the broader secretary and online selection principles in the pool.		The proposal concerns the full q dependence, not merely a constant adjustment, and restricted partition-matroid examples do not settle every case.
TCS-5349	narrow_model	medium	Dimension-free regret is sought under the particular bounded factorization-max-norm promise with the factorization hidden. This special structural promise adds less general coverage than unrestricted expert, bandit and convex-optimization regret questions.		Low rank, bounded max norm and a known factorization are different assumptions.
TCS-5779	narrow_model	borderline	This studies online contention resolution for correlated matroid activations relative to offline balance. Its close connection to the secretary programme is valuable, but I would prioritize that central programme over a separate correlated-activation comparison.		Do not assume independent activations or treat a conditional secretary-based result as an unconditional answer.
TCS-6721	quantitative_refinement	borderline	The additive-one target sharpens the already retained constant-additive bin-packing challenge TCS-6640. I would consider giving this stronger endpoint context within the same topic rather than a second independent benchmark slot.		One extra bin is a longstanding meaningful optimum, not a routine constant improvement. Removing this card would drop a strictly sharper target unless it is explicitly preserved.
TCS-0344	quantitative_refinement	medium	The conjecture asks whether extension complexity is exactly additive under Cartesian product. It refines how two existing descriptions combine, with less direct algorithmic scope than general LP, SDP and extension-complexity barriers.		The possibility of sharing inequalities is a real structural question; additivity for pyramids is only a special case.
TCS-0914	narrow_model	medium	Deterministic matching with waiting costs is a specific online objective combining metric movement and delay. I would prioritize the general matching and online metric-allocation questions over this additional cost-model variant.		This is not offline matching, and the missing competitive-ratio specification alone is not the basis for the proposal.
TCS-3676	narrow_model	medium	The target classifies exact reward-threshold decisions for explicitly described MDPs with binary-encoded long horizons. It is a particular encoding-sensitive variant beside the broader stochastic-game and optimization-complexity questions.		The source's hardness of choosing a specified first action is not a theorem about this threshold problem.
TCS-4293	specific_method	high	PLS-completeness of finding a local optimum for the k-means method studies the inherent limitations of a particular heuristic's neighborhood. I would give the unrestricted clustering approximation and general total-search barriers higher priority.		A long convergence example does not by itself prove PLS-completeness.
TCS-5330	quantitative_refinement	medium	The remaining goal matches a randomized near-linear-query matroid-intersection approximation scheme deterministically. It sharpens the query cost and randomness of this oracle primitive rather than changing its basic solvability.		The target is still substantial derandomization; the existing deterministic two-thirds approximation does not settle it.
TCS-3580	quantitative_refinement	medium	This asks whether the polynomial degree in an FPT exponent must depend on the excluded-minor class. It refines dependence inside an existing tractability theorem, with less independent impact than the general kernelization and tractability barriers.		A limitation of irrelevant-vertex techniques is not a lower bound against every algorithm; the hypothesized complexity assumption remains to be fixed.
TCS-6814	narrow_model	medium	An efficient approximation scheme with fixed-machine dependence is a specialized parameter regime of job-shop makespan. I would prioritize the broader scheduling approximation barriers and general parameterized complexity questions.		An ordinary PTAS with parameter-dependent polynomial exponent does not satisfy the EPTAS target.
TCS-5275	quantitative_refinement	medium	The target constructs a supercritical size–depth tradeoff within particular proof systems. I would rank this refined two-resource separation below the central proof-system simulations and unrestricted lower bounds.		The exact meaning of supercritical must come from the source; an ordinary tradeoff is not the requested result.
TCS-6768	quantitative_refinement	medium	This asks whether constant-space proofs can simultaneously have polynomial length. It is the extreme low-memory regime of a broader size–space programme already represented by more general proof-space comparisons.		The applicable proof system and space measure must be retained; no configuration-counting shortcut is asserted to solve it.
TCS-3906	narrow_model	medium	The target optimizes identity-testing samples for symmetric Markov chains observed along one trajectory. It adds a specific dependence and access model rather than a general distribution-testing or mixing barrier.		Starting distribution, chain distance and mixing promises are essential; independent sampling bounds are not a resolution.
TCS-4259	quantitative_refinement	borderline	The question improves universal simulation costs when reducing the number of testing batches. I would prioritize the main adaptive-query separations over a further quantitative sharpening of this simulation bound.		Its universal scope makes this borderline. The unspecified amount of improvement is a formulation issue, not the primary removal reason.
TCS-5210	narrow_model	medium	Polylogarithmic testing of constant-size forbidden sequence patterns is a focused ordered-pattern family. I would prioritize the broader structural classifications of testable properties over another pattern-specific query frontier.		The fixed-pattern, proximity and domain conventions remain necessary; constant pattern size does not automatically give constant queries.
TCS-5334	narrow_model	medium	The intended target is sample-optimal proper learning in the latent-tree Ising family. It is a specific hidden-variable statistical-computational gap; the broader learning questions have greater independent coverage in the benchmark.		The current card additionally records a missing-logarithm conflict in the source. That defect needs correction, but is not by itself the reason to discard the genuine learning question.
TCS-1125	narrow_model	borderline	This selects the first particularly small-width seed-length frontier for ordered branching programs, while TCS-6600 retains the general optimal-generator target. I would consider keeping the width-four challenge as context rather than an additional slot.		A constant-width case can expose a genuine general barrier. Error dependence must match the source, and the general and width-four targets are not equivalent.
TCS-1133	quantitative_refinement	borderline	The selected endpoint is a sub-log-squared seed for polynomial-size CNFs and DNFs. It adds a quantitative frontier for a specific circuit family to an already substantial derandomization collection.		Constant-error and inverse-polynomial-error results must not be conflated; this report does not claim that a later PRG solves the saved target.
TCS-4716	narrow_model	medium	The construction simultaneously demands NC0 generation, large-coordinate indistinguishability and AC0 distinguishability. These combined circuit restrictions support a particular simple secret-sharing architecture rather than a general cryptographic existence barrier.		Local indistinguishability and global circuit indistinguishability are different requirements, both essential to the target.
TCS-4778	narrow_model	medium	This compares amplification and derandomization conventions for a particular relational-computation class. I would give these quantitative reliability variants lower priority than the primary search-versus-decision and P/BPP frontiers.		Multiple valid outputs do change amplification behavior; decision-problem error reduction is not an answer.
TCS-4894	narrow_model	medium	The target tests parity against a specific shallow-quantum-preprocessing/classical-AC0 pipeline. It is a restricted hybrid architecture comparison beside the broader quantum-classical computational and query separations.		Quantum gate fan-in, classical postprocessing and approximation probability all matter; classical parity lower bounds do not suffice.
TCS-4977	narrow_model	medium	Containment between particular classical-witness and quantum-witness polynomial hierarchies adds another alternation convention beyond the central QMA/QCMA and QMA(2) questions. I would give this hierarchy-level variant lower independent priority.		Measuring a quantum witness does not automatically preserve alternating quantifiers, so the containment is not claimed trivial.
TCS-3344	narrow_model	medium	Reachability for rounded planar rotations isolates one numerical-dynamics model at two dimensions. It is a useful verification example, but more specialized than the general recurrence, linear-loop and reachability barriers.		Rounding can fundamentally change an orbit; ordinary rotation analysis does not decide this problem.
TCS-3655	narrow_model	medium	Eliminating finitary induction–induction without uniqueness of identity proofs concerns one primitive-reduction question in dependent type theory. I would prioritize the broader univalence, resizing and internal higher-structure foundations over this additional compilation boundary.		The equality restriction is substantive; an existing UIP-based reduction cannot simply be reused.
TCS-5288	specific_method	medium	The target asks whether grammar-based compression can achieve a specific entropy-optimality benchmark, already at zero order. It compares one representation family with statistical coding rather than the broad optimal grammar-size and string-algorithm frontiers.		Counterexamples to named compressors do not rule out all grammars, and entropy optimality is not the same as constant-factor smallest-grammar approximation.
