inventory_index	category_ids	title	authors	kind	note
16	L04,S12	Krajinou grafových algoritmů	Martin Mareš	lecture_notes	Česká skripta ke grafovým algoritmům, pracovní verze 2015.
41	L04	The Art of Computer Programming, Volume 1: Fundamental Algorithms	Donald E. Knuth	book	Třetí vydání; jednotlivé svazky TAOCP evidujeme samostatně.
37	L04,S08	The Art of Computer Programming, Volume 2: Seminumerical Algorithms	Donald E. Knuth	book	Třetí vydání; aritmetika a generování náhodných čísel.
46	L04	The Art of Computer Programming, Volume 3: Sorting and Searching	Donald E. Knuth	book	Druhé vydání; řazení a vyhledávání.
38	S13,L04	The Art of Computer Programming, Volume 4A: Combinatorial Algorithms, Part 1	Donald E. Knuth	book	Kombinatorické generování a algoritmy; svazek 4A.
42	L04,S13	Mathematics for the Analysis of Algorithms	Daniel H. Greene; Donald E. Knuth	book	Třetí vydání 1990; matematické metody analýzy algoritmů.
45	S13,L04	Concrete Mathematics	Ronald L. Graham; Donald E. Knuth; Oren Patashnik	book	Diskrétní matematické nástroje pro analýzu algoritmů a počítání.
0	L05	The Nature of Statistical Learning Theory	Vladimir N. Vapnik	book	Druhé vydání; základ statistické teorie učení.
239	L05	Pattern Recognition and Machine Learning	Christopher M. Bishop	book	Pravděpodobnostní modely a učení.
241	L05	Machine Learning: A Probabilistic Perspective	Kevin P. Murphy	book	Rozsáhlá pravděpodobnostní učebnice strojového učení.
243	L05	Learning with Kernels	Bernhard Schölkopf; Alexander J. Smola	book	Kernelové metody, regularizace a optimalizace.
244	L05	The Elements of Statistical Learning	Trevor Hastie; Robert Tibshirani; Jerome Friedman	book	Lokální verze druhého vydání.
208	L05	Deep Learning	Ian Goodfellow; Yoshua Bengio; Aaron Courville	book	Učebnice 2016; širší podklad pro teorii hlubokého učení.
122	L05,S14	High-Dimensional Statistics: A Non-Asymptotic Viewpoint	Martin J. Wainwright	book	Neasymptotické meze odhadu a učení.
84	L05,S10	High-Dimensional Probability	Roman Vershynin	book	Koncentrace a náhodné matice jako nástroje teorie učení a randomizovaných algoritmů.
276	L05,L07	Foundations of Data Science	John Hopcroft; Ravindran Kannan	book_draft	Raný draft z 21. 8. 2014; nepovažovat za finální knižní vydání.
114	L05	Statistical Learning Theory	Percy Liang	lecture_notes	Kurz CS229T/STAT231 z roku 2016.
141	L06	Foundations of Cryptography, Volume 1: Basic Tools	Oded Goldreich	book	Základní kryptografické definice a konstrukce.
146	L06	Introduction to Modern Cryptography	Jonathan Katz; Yehuda Lindell	book	Druhé vydání; mnohem širší pokrytí než náš survey o neabelovských grupách.
142	L06	Cryptography: Theory and Practice	Douglas R. Stinson	book	Lokální DjVu obsahuje třetí vydání.
282	L07	Distributed Algorithms	Nancy A. Lynch	book	Široký základ distribuovaných modelů, algoritmů a nemožností.
280	L07	Distributed Computing: A Locality-Sensitive Approach	David Peleg	book	Lokálnost a složitost distribuovaného výpočtu.
281	L07	Distributed Computing Pearls	Gadi Taubenfeld	monograph	Samostatná monografie z roku 2018.
283	L07,S23	Distributed Graph Coloring: Fundamentals and Recent Developments	Leonid Barenboim; Michael Elkin	monograph	Symmetry breaking a barvení v message-passing modelu.
284	L07	Introduction to Parallel Algorithms and Architectures: Arrays, Trees, Hypercubes	F. Thomson Leighton	book	Paralelní algoritmy a síťové architektury.
277	L07	Notes on Theory of Distributed Systems	James Aspnes	lecture_notes	Lokálně verze 2021; na Yale je ověřena i aktualizace 2026.
279	L07,S23	Sampling and Local Algorithms in Large Graphs	Endre Csóka	thesis	Disertace; doplněk pro lokální algoritmy a vzorkování grafů.
19	L08	Introduction to Automata Theory, Languages, and Computation	John E. Hopcroft; Rajeev Motwani; Jeffrey D. Ullman	book	Třetí vydání; automaty, jazyky a vyčíslitelnost.
94	S05,L09,L03	Logical Foundations of Mathematics and Computational Complexity: A Gentle Introduction	Pavel Pudlák	book	Silný nový zdroj k důkazové složitosti a základům matematiky.
90	S21,L09	Diagonalization and Self-Reference	Raymond M. Smullyan	book	Vyčíslitelnost, diagonalizace a sebereference.
92	L09,S21	A Concise Introduction to Mathematical Logic	Wolfgang Rautenberg	book	Základy matematické logiky jako doplněk specializovaných zdrojů.
101	L09	Category Theory	Steve Awodey	book	Matematický podklad pro sémantiku; není úzce zaměřenou knihou o verifikaci.
29	S22,S19	Artificial Intelligence: A Modern Approach	Stuart Russell; Peter Norvig	book	Třetí vydání; pro atlas především kapitoly o logice, znalostech, usuzování a CSP.
74	L10	Convex Optimization	Stephen Boyd; Lieven Vandenberghe	book	Odlišná kniha od dosavadní Bubeckovy monografie.
234	L10,L04	Combinatorial Optimization: Polyhedra and Efficiency	Alexander Schrijver	book	Jeden PDF obsahuje svazky A–C; v počtu titulů započteno jednou.
233	L10,L04	Combinatorial Optimization: Theory and Algorithms	Bernhard Korte; Jens Vygen	book	Šesté vydání 2018.
235	L10,L04	Combinatorial Optimization	William J. Cook; William H. Cunningham; William R. Pulleyblank; Alexander Schrijver	book	Další samostatná učebnice kombinatorické optimalizace.
159	L10	Understanding and Using Linear Programming	Jiří Matoušek; Bernd Gärtner	book	Lineární programování pro informatiky.
160	L10	Linear Programming	Vašek Chvátal	book	Klasická učebnice lineárního programování.
138	L10,S01	The Traveling Salesman Problem: A Computational Study	David L. Applegate; Robert E. Bixby; Vašek Chvátal; William J. Cook	book	Knižní zpracování TSP; uložená autorská verze datovaná 2006.
127	L10,S18	Online Computation and Competitive Analysis	Allan Borodin; Ran El-Yaniv	book	Sken po dvojstranách; počet PDF stran není počet tištěných stran.
116	L10,L05	Online Learning and Online Convex Optimization	Shai Shalev-Shwartz	monograph	Samostatný text, odlišný od Hazanovy knihy.
119	L10,L05	Introduction to Multi-Armed Bandits	Aleksandrs Slivkins	monograph	Verze ze září 2019; odlišná od Bandit Algorithms.
121	L10,L05	Regret Analysis of Stochastic and Nonstochastic Multi-armed Bandit Problems	Sébastien Bubeck; Nicolò Cesa-Bianchi	monograph	Samostatný survey z roku 2012.
112	L10,L05	The Multiplicative Weights Update Method: A Meta-Algorithm and Applications	Sanjeev Arora; Elad Hazan; Satyen Kale	survey	Jednotící technika napříč optimalizací, učením a teorií her.
130	S01	Approximation Algorithms	Vijay V. Vazirani	book	Samostatná kniha vedle Williamson–Shmoys.
12	S01,L04	The Steiner Tree Problem: A Tour through Graphs, Algorithms, and Complexity	Hans Jürgen Prömel; Angelika Steger	book	Specializovaná monografie k jednomu zásadnímu optimalizačnímu problému.
34	S07	Elements of Information Theory	Thomas M. Cover; Joy A. Thomas	book	Druhé vydání; plný základ Shannonovy teorie informace.
35	S07,L05	Information Theory, Inference, and Learning Algorithms	David J. C. MacKay	book	Teorie informace, kódy a statistické učení.
33	S07,S24	Information, Physics, and Computation	Marc Mézard; Andrea Montanari	book	Statistická fyzika, náhodné instance a výpočty; obálka skenu ověřena.
157	S07	Entropy and Information Theory	Robert M. Gray	book	Další samostatná kniha k teorii informace.
152	S09,S08	Algorithmic Number Theory, Volume 1: Efficient Algorithms	Eric Bach; Jeffrey Shallit	book	Algoritmická teorie čísel; jeden svazek.
55	S10	Randomized Algorithms	Rajeev Motwani; Prabhakar Raghavan	book	Klasický základ randomizovaných algoritmů.
59	S10,S04	Probability and Computing	Michael Mitzenmacher; Eli Upfal	book	Randomizované algoritmy a pravděpodobnostní analýza.
58	S10	Notes on Randomized Algorithms	James Aspnes	lecture_notes	Soubor s neurčitým názvem je 453stránkový text z března 2020.
61	S10	Design and Analysis of Randomized Algorithms	Juraj Hromkovič	book	Návrhová paradigmata randomizovaných algoritmů.
68	S11	Algorithms on Strings, Trees, and Sequences	Dan Gusfield	book	Klasická učebnice řetězcových algoritmů a výpočetní biologie.
69	S11	Computing Patterns in Strings	Bill Smyth	book	Další specializovaná učebnice řetězcových algoritmů.
51	S11,S07	Handbook of Data Compression	David Salomon; Giovanni Motta	book	Páté vydání; komprese jako sousední a podpůrná oblast.
109	S11	Understanding Bioinformatics	Marketa Zvelebil; Jeremy O. Baum	book	Širší biologický a algoritmický kontext řetězcových problémů.
15	S12	Dynamic Graph Algorithms	David Eppstein; Zvi Galil; Giuseppe F. Italiano	survey	40stránková přehledová kapitola; není to celá kniha.
185	S13	Analytic Combinatorics	Philippe Flajolet; Robert Sedgewick	book	Generující funkce a asymptotické počítání.
207	S13	generatingfunctionology	Herbert S. Wilf	book	Internetová verze druhého vydání 1994.
2	S16	Networks, Crowds, and Markets: Reasoning About a Highly Connected World	David Easley; Jon Kleinberg	book	Sítě, trhy, hry a sociální volba.
134	S17	Constraint Satisfaction Problem – Lecture Notes	Alexandr Kazda; Miklós Maróti	lecture_notes	Algebraická teorie CSP; odlišné od již evidovaného sborníku CSP.
285	S17,S23	Graphs and Homomorphisms	Pavol Hell; Jaroslav Nešetřil	book	Grafové homomorfismy a CSP; dvě místní kopie počítány jednou.
288	S23	Graph Theory	Reinhard Diestel	book	Lokálně elektronická verze druhého vydání 2000.
286	S23	Modern Graph Theory	Béla Bollobás	book	Široký grafově teoretický základ.
292	S23,L07	Sparsity: Graphs, Structures, and Algorithms	Jaroslav Nešetřil; Patrice Ossona de Mendez	book	Řídké grafy, struktura a algoritmy.
290	S23,L07	Large Networks and Graph Limits	László Lovász	book_draft	Lokální text je datovaný 2010; nepředpokládat shodu s finálním vydáním.
13	S23,S02	Graph Minors, Decompositions and Algorithms	Jiří Fiala	lecture_notes	Kurz z roku 2014 k dekompozicím a algoritmům.
218	S23,L10	Matroid Theory	James G. Oxley	book	Matroidové základy grafové struktury a kombinatorické optimalizace.
9	S24	Beyond the Worst-Case Analysis of Algorithms	Tim Roughgarden (editor)	book	Rozsáhlá kniha 2021; nový titul vedle již evidovaného survey Beyond Worst-Case Analysis (2018).
