id,origin,title,authors,kind,category_ids,availability,local_path,source_url,pages,sha256,note,review_status
personal-23,personal_library,Gems of Theoretical Computer Science,Uwe Schöning; Randall Pruim,book,"L03,S25",local_file,"/home/vasek/zalohovano/knizky/informatika/complexity/Uwe Schoning, Randall J. Pruim - Gems of Theoretical Computer Science-Springer (1998).pdf",,327,a4166d8948dd8f85863d45c70d92e7b26f8adf44f9730a7fab8be73a739f8247,Přehled základních výsledků; uložená autorská verze z roku 1998.,bibliographic_discovery_only
personal-17,personal_library,"Games, Puzzles, and Computation",Robert A. Hearn; Erik D. Demaine,book,"S25,L03",local_file,"/home/vasek/zalohovano/knizky/informatika/complexity/Robert A. Hearn, Erik D. Demaine - Games, Puzzles, and Computation-A K Peters (2009).pdf",,226,a78cdca2563220df540c9ee87fa047fc8dd429a30fd859ff226df832bbf380c7,"Výpočetní složitost her, hlavolamů a rekonfigurace.",bibliographic_discovery_only
personal-7,personal_library,Introduction to Algorithms,Thomas H. Cormen; Charles E. Leiserson; Ronald L. Rivest; Clifford Stein,book,L04,local_file,/home/vasek/zalohovano/knizky/informatika/algorithms/Introduction.to.Algorithms.pdf,,1203,68fb80419da589c52f32fb5e75e88baaa89383452d5767542f149085c96c0033,Lokální soubor obsahuje druhé vydání.,bibliographic_discovery_only
personal-11,personal_library,Algorithm Design,Jon Kleinberg; Éva Tardos,book,L04,local_file,"/home/vasek/zalohovano/knizky/informatika/algorithms/Jon Kleinberg, Éva Tardos-Algorithm Design-Addison Wesley (2005).pdf",,863,b9d6f1fd08560f06ec8653375a5866dbe1ba971d780dfecd1a0211fb2f66deab,Široká učebnice návrhu algoritmů; sken bez textové vrstvy.,bibliographic_discovery_only
personal-8,personal_library,Algorithms,Sanjoy Dasgupta; Christos H. Papadimitriou; Umesh V. Vazirani,book,L04,local_file,"/home/vasek/zalohovano/knizky/informatika/algorithms/dasgupta, papadimitriou, vazirani - algorithms.pdf",,318,70694244ef7ace531e8e5d31ba83c7aa57e5c298eb9f14de5ba5fcafc4cc060c,Autorská verze z července 2006.,bibliographic_discovery_only
personal-5,personal_library,Algorithms,Jeff Erickson,lecture_notes,L04,local_file,/home/vasek/zalohovano/knizky/informatika/algorithms/2cultures.pdf,,514,c300f151dae5d923acf2b4d5556b9b6ef425f85d3c529cc905d4513a1c3b233f,Pod názvem 2cultures.pdf jsou rozsáhlá skripta z ledna 2015.,bibliographic_discovery_only
personal-6,personal_library,The Design and Analysis of Algorithms,Dexter C. Kozen,book,L04,local_file,"/home/vasek/zalohovano/knizky/informatika/algorithms/[Texts and Monographs in Computer Science] Dexter C. Kozen - The Design and Analysis of Algorithms (1992, Springer).djvu",,332,4cda2bf82815dec5e9662445511a96536538711db48f1fb3f0ee9b1f907879c7,Další systematická učebnice algoritmů.,bibliographic_discovery_only
personal-3,personal_library,Průvodce labyrintem algoritmů,Martin Mareš; Tomáš Valla,book,L04,local_file,/home/vasek/zalohovano/knizky/informatika/algorithms/průvodce labyrintem algoritmů.pdf,,490,22020f22aff78b247d0d46753735c9c6c13c4f0c24b9162195b8513cf6deb2b8,"Česká učebnice, první vydání 2017.",bibliographic_discovery_only
personal-16,personal_library,Krajinou grafových algoritmů,Martin Mareš,lecture_notes,"L04,S12",local_file,/home/vasek/zalohovano/knizky/informatika/graphs/krajinou grafových algoritmů.pdf,,107,a9f28ee9984688ea7476442dafb09c8689d50a339acb24b1ce8ba3071730e794,"Česká skripta ke grafovým algoritmům, pracovní verze 2015.",bibliographic_discovery_only
personal-41,personal_library,"The Art of Computer Programming, Volume 1: Fundamental Algorithms",Donald E. Knuth,book,L04,local_file,/home/vasek/zalohovano/knizky/informatika/Donald.E.Knuth/Donald E. Knuth - The art of computer programming I-Addison-Wesley Professional (1997).djvu,,665,e2c5ee120bad91e33f617614b846849c4801115b2e7aa820f56fc5ffb9bbebb9,Třetí vydání; jednotlivé svazky TAOCP evidujeme samostatně.,bibliographic_discovery_only
personal-37,personal_library,"The Art of Computer Programming, Volume 2: Seminumerical Algorithms",Donald E. Knuth,book,"L04,S08",local_file,/home/vasek/zalohovano/knizky/informatika/Donald.E.Knuth/Donald E. Knuth - The art of computer programming II-Addison-Wesley Professional (1997).djvu,,774,97f20229e4e06ef20e67ad30c7564dde1943611259a7fe72f2551c900b910cd1,Třetí vydání; aritmetika a generování náhodných čísel.,bibliographic_discovery_only
personal-46,personal_library,"The Art of Computer Programming, Volume 3: Sorting and Searching",Donald E. Knuth,book,L04,local_file,/home/vasek/zalohovano/knizky/informatika/Donald.E.Knuth/Donald E. Knuth - The art of computer programming III-Addison-Wesley Professional (1998).djvu,,791,8884b2d37faae253a03a2412d4e7bc71a1f557ba4439fe15b8a2c3d27a8e0ee2,Druhé vydání; řazení a vyhledávání.,bibliographic_discovery_only
personal-38,personal_library,"The Art of Computer Programming, Volume 4A: Combinatorial Algorithms, Part 1",Donald E. Knuth,book,"S13,L04",local_file,"/home/vasek/zalohovano/knizky/informatika/Donald.E.Knuth/Donald Ervin Knuth  - The art of computer programming. Volume 4A, Combinatorial algorithms, Part 1-Addison-Wesley (2011).djvu",,901,a523f1063cc6b7fa06af8ad398088066bd786458871910b2484661daa557a183,Kombinatorické generování a algoritmy; svazek 4A.,bibliographic_discovery_only
personal-42,personal_library,Mathematics for the Analysis of Algorithms,Daniel H. Greene; Donald E. Knuth,book,"L04,S13",local_file,"/home/vasek/zalohovano/knizky/informatika/Donald.E.Knuth/(Progress in computer science and applied logic 1) Daniel H. Greene, Donald E. Knuth - Mathematics for the analysis of algorithms-Birkhäuser (1990).djvu",,139,f94d0a56126e9bb34ffb1f2812d0699e70da840c24d70b86b1b017bbcb4f4bbd,Třetí vydání 1990; matematické metody analýzy algoritmů.,bibliographic_discovery_only
personal-45,personal_library,Concrete Mathematics,Ronald L. Graham; Donald E. Knuth; Oren Patashnik,book,"S13,L04",local_file,/home/vasek/zalohovano/knizky/informatika/Donald.E.Knuth/Addison Wesley - Knuth - Concrete Mathematics.pdf,,640,a215de46a33bbdcd699c7ef9100f476624ab2c5b85028c68daf98ccfe6a25acd,Diskrétní matematické nástroje pro analýzu algoritmů a počítání.,bibliographic_discovery_only
personal-0,personal_library,The Nature of Statistical Learning Theory,Vladimir N. Vapnik,book,L05,local_file,/home/vasek/zalohovano/knizky/podivat_se/(Statistics for Engineering and Information Science) Vladimir N. Vapnik - The Nature of Statistical Learning Theory-Springer (2000).djvu,,332,b9f1f122e3a147e5d0f269e860a0a750c10bcbf644bcdd9faa79891e6712c234,Druhé vydání; základ statistické teorie učení.,bibliographic_discovery_only
personal-239,personal_library,Pattern Recognition and Machine Learning,Christopher M. Bishop,book,L05,local_file,/home/vasek/zalohovano/knizky/informatika/machine learning/machine learning/Bishop - Pattern Recognition and Machine Learning-Springer (2006).pdf,,749,7fcec232b8c9a37786c009eb1ab58f7d787e204a5371c6fd65764b18d8904e84,Pravděpodobnostní modely a učení.,bibliographic_discovery_only
personal-241,personal_library,Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,book,L05,local_file,/home/vasek/zalohovano/knizky/informatika/machine learning/machine learning/Machine learning_ a probabilistic perspective.pdf,,1098,2e0677f3c64b577de8e3bd8b1a2dba7b3502f7670bce6b08b7a42f68a8eb7530,Rozsáhlá pravděpodobnostní učebnice strojového učení.,bibliographic_discovery_only
personal-243,personal_library,Learning with Kernels,Bernhard Schölkopf; Alexander J. Smola,book,L05,local_file,"/home/vasek/zalohovano/knizky/informatika/machine learning/machine learning/Learning with Kernels_ Support Vector Machines, Regularization, Optimization, and Beyond.pdf",,638,591f8eb77b674503a62ae702421fad378f27ed6b4d464f33b54634994f6ec732,"Kernelové metody, regularizace a optimalizace.",bibliographic_discovery_only
personal-244,personal_library,The Elements of Statistical Learning,Trevor Hastie; Robert Tibshirani; Jerome Friedman,book,L05,local_file,"/home/vasek/zalohovano/knizky/informatika/machine learning/machine learning/(Springer Series in Statistics) Trevor Hastie, Robert Tibshirani, Jerome Friedman - The elements of statistical learning_ Data mining, inference, and prediction-Springer (2009).pdf",,809,98e669968eafdc31436a42c48aa85ab7831240db241693a9aa21b62e4ff97924,Lokální verze druhého vydání.,bibliographic_discovery_only
personal-208,personal_library,Deep Learning,Ian Goodfellow; Yoshua Bengio; Aaron Courville,book,L05,local_file,/home/vasek/zalohovano/knizky/informatika/machine learning/deep learning/Deep Learning.pdf,,777,74b2754275a87c4ab3c84ea9e369dd91a2e564e3ff6c29031d851d57178946b4,Učebnice 2016; širší podklad pro teorii hlubokého učení.,bibliographic_discovery_only
personal-122,personal_library,High-Dimensional Statistics: A Non-Asymptotic Viewpoint,Martin J. Wainwright,book,"L05,S14",local_file,/home/vasek/zalohovano/knizky/math/probability/statistics/Martin J. Wainwright - High-Dimensional Statistics A Non-Asymptotic Viewpoint-Cambridge University Press ( 2019).pdf,,571,09f9b7984363cdc5f3b66c6a58f83246dde637d90e10289b24767ee1e93ded7b,Neasymptotické meze odhadu a učení.,bibliographic_discovery_only
personal-84,personal_library,High-Dimensional Probability,Roman Vershynin,book,"L05,S10",local_file,/home/vasek/zalohovano/knizky/math/probability/textbooks/Roman Vershynin - High-Dimensional Probability-Cambridge University Press (2018).pdf,,299,76cd30d85f11abae269ec4865ea1802f68366085763f1bc37786f11f4efc6ae1,Koncentrace a náhodné matice jako nástroje teorie učení a randomizovaných algoritmů.,bibliographic_discovery_only
personal-276,personal_library,Foundations of Data Science,John Hopcroft; Ravindran Kannan,book_draft,"L05,L07",local_file,"/home/vasek/zalohovano/knizky/informatika/machine learning/data science/John Hopcroft, Ravindran Kannan - Foundations of Data Science (2014).pdf",,419,a0f4b811f8135175bcc9c1dae16649c5b9b3f10dec5e184725b0d4b0aa176efb,Raný draft z 21. 8. 2014; nepovažovat za finální knižní vydání.,bibliographic_discovery_only
personal-114,personal_library,Statistical Learning Theory,Percy Liang,lecture_notes,L05,local_file,/home/vasek/zalohovano/knizky/informatika/optimisation/online optimalizace/statistical learning theory.pdf,,217,0daf740ec7122bb29ff5741c05b12963c9f718dfc807f80775fd8816312d3553,Kurz CS229T/STAT231 z roku 2016.,bibliographic_discovery_only
personal-141,personal_library,"Foundations of Cryptography, Volume 1: Basic Tools",Oded Goldreich,book,L06,local_file,/home/vasek/zalohovano/knizky/informatika/cryptography/Oded Goldreich-Foundations of cryptography. Basic tools. Volume 1-Cambridge University Press (2001).pdf,,393,46dd3d728418240e01bc29557f9ce73d7d16293daaff1c1217392621df72b1f6,Základní kryptografické definice a konstrukce.,bibliographic_discovery_only
personal-146,personal_library,Introduction to Modern Cryptography,Jonathan Katz; Yehuda Lindell,book,L06,local_file,"/home/vasek/zalohovano/knizky/informatika/cryptography/(Chapman & Hall_CRC Cryptography and Network Security Series) Jonathan Katz, Yehuda Lindell-Introduction to Modern Cryptography, Second Edition-Chapman and Hall_CRC (2014).pdf",,598,d5775281c3f324fc72efce6a53b4b149f9cb346e420187c3c099febb9a00ca1d,Druhé vydání; mnohem širší pokrytí než náš survey o neabelovských grupách.,bibliographic_discovery_only
personal-142,personal_library,Cryptography: Theory and Practice,Douglas R. Stinson,book,L06,local_file,/home/vasek/zalohovano/knizky/informatika/cryptography/cryptography - theory and practice.djvu,,611,a6dab0c9d9968f7cd7554edc3148c8fd57b76f4b7b0d4954bc491e2ba4536aeb,Lokální DjVu obsahuje třetí vydání.,bibliographic_discovery_only
personal-282,personal_library,Distributed Algorithms,Nancy A. Lynch,book,L07,local_file,/home/vasek/zalohovano/knizky/informatika/distributed algorithms/Nancy A. Lynch - Distributed Algorithms.pdf,,899,60bf9512ca15b4cc6360afafb4d6fa3f9d73009cdd3ec886980eb7fb6ccfe3d0,"Široký základ distribuovaných modelů, algoritmů a nemožností.",bibliographic_discovery_only
personal-280,personal_library,Distributed Computing: A Locality-Sensitive Approach,David Peleg,book,L07,local_file,/home/vasek/zalohovano/knizky/informatika/distributed algorithms/David Peleg - Distributed computing a locality-sensitive approach.djvu,,360,fc86ce02e58c1f25cac133513863d1194eea97abcc735607abc7fadc29934c61,Lokálnost a složitost distribuovaného výpočtu.,bibliographic_discovery_only
personal-281,personal_library,Distributed Computing Pearls,Gadi Taubenfeld,monograph,L07,local_file,/home/vasek/zalohovano/knizky/informatika/distributed algorithms/(Synthesis Lectures on Distributed Computing Theory 14) Gadi Taubenfeld - Distributed Computing Pearls-Morgan & Claypool Publishers (2018).pdf,,108,21d368f7d0750cb8c7f0d8807f2e6893bfa1bcbaeb0690c8f262cb14bce37bba,Samostatná monografie z roku 2018.,bibliographic_discovery_only
personal-283,personal_library,Distributed Graph Coloring: Fundamentals and Recent Developments,Leonid Barenboim; Michael Elkin,monograph,"L07,S23",local_file,/home/vasek/zalohovano/knizky/informatika/distributed algorithms/distributed graph coloring.pdf,,160,4ed3497fec99d89fa16f3f5019b03a08a0dd1814b505c111a2bd0959dc1cc3a5,Symmetry breaking a barvení v message-passing modelu.,bibliographic_discovery_only
personal-284,personal_library,"Introduction to Parallel Algorithms and Architectures: Arrays, Trees, Hypercubes",F. Thomson Leighton,book,L07,local_file,/home/vasek/zalohovano/knizky/informatika/distributed algorithms/Introduction-to-Parallel-Algorithms-and-Architectures-Arrays-Trees-Hypercubes.pdf,,839,a8c2a59788abca19da0c9b57d052b014f08c6d6db579002bfac0af0f0017f912,Paralelní algoritmy a síťové architektury.,bibliographic_discovery_only
personal-277,personal_library,Notes on Theory of Distributed Systems,James Aspnes,lecture_notes,L07,local_file,/home/vasek/zalohovano/knizky/informatika/distributed algorithms/aspnes_distributed_computing.pdf,,516,9f2227d9947aac1be5f9f97fce43f72dab29157a79397a82ab3634656dd145b0,Lokálně verze 2021; na Yale je ověřena i aktualizace 2026.,bibliographic_discovery_only
personal-279,personal_library,Sampling and Local Algorithms in Large Graphs,Endre Csóka,thesis,"L07,S23",local_file,/home/vasek/zalohovano/knizky/informatika/distributed algorithms/Csoka_Endre - thesis.pdf,,113,42a3a8deecb938da3ce494da9c321c3b34e8372f3495717602f4a7412ecdee21,Disertace; doplněk pro lokální algoritmy a vzorkování grafů.,bibliographic_discovery_only
personal-19,personal_library,"Introduction to Automata Theory, Languages, and Computation",John E. Hopcroft; Rajeev Motwani; Jeffrey D. Ullman,book,L08,local_file,"/home/vasek/zalohovano/knizky/informatika/complexity/automata/John E. Hopcroft, Rajeev Motwani, Jeffrey D. Ullman-Introduction to Automata Theory, Languages, and Computations-Prentice Hall (2006).pdf",,550,1c2106dc6d41c3901d8acef34bdda9db922e03bcd74f76167caec8aa0f1ba33c,"Třetí vydání; automaty, jazyky a vyčíslitelnost.",bibliographic_discovery_only
personal-94,personal_library,Logical Foundations of Mathematics and Computational Complexity: A Gentle Introduction,Pavel Pudlák,book,"S05,L09,L03",local_file,/home/vasek/zalohovano/knizky/math/set theory and logic/logika/Pavel Pudlák -Logical Foundations of Mathematics and Computational Complexity_ A Gentle Introduction.pdf,,699,e12450dd4dfbf52cc53df24983a5772a42a153ac803332df81438c57c8b2af43,Silný nový zdroj k důkazové složitosti a základům matematiky.,bibliographic_discovery_only
personal-90,personal_library,Diagonalization and Self-Reference,Raymond M. Smullyan,book,"S21,L09",local_file,/home/vasek/zalohovano/knizky/math/set theory and logic/logika/Smullyan_Diagonalization_and_Self-Reference_1994.pdf,,415,07b75f2cb4ce59e5d1b7f279c7bcadb61c98324cc2d5d529748894f05982f07a,"Vyčíslitelnost, diagonalizace a sebereference.",bibliographic_discovery_only
personal-92,personal_library,A Concise Introduction to Mathematical Logic,Wolfgang Rautenberg,book,"L09,S21",local_file,/home/vasek/zalohovano/knizky/math/set theory and logic/logika/(Universitext) Wolfgang Rautenberg-A Concise Introduction To Mathematical Logic-Springer (2006).pdf,,273,61fb24ecafd421b1eba6f7b02b467ee9289c64c269e3bb68536ce5be07fee1d7,Základy matematické logiky jako doplněk specializovaných zdrojů.,bibliographic_discovery_only
personal-101,personal_library,Category Theory,Steve Awodey,book,L09,local_file,"/home/vasek/zalohovano/knizky/math/algebra/categories, abstract algebra/(Oxford Logic Guides 52) Steve Awodey-Category Theory-Oxford University Press (2010).pdf",,328,28faf05edf3f9ab949334fa8484c89482d39c3821f0ff79decec3f14dfba43c6,Matematický podklad pro sémantiku; není úzce zaměřenou knihou o verifikaci.,bibliographic_discovery_only
personal-29,personal_library,Artificial Intelligence: A Modern Approach,Stuart Russell; Peter Norvig,book,"S22,S19",local_file,/home/vasek/zalohovano/knizky/informatika/ai/Artificial Intelligence_ A Modern Approach.pdf,,1152,1b1ce8b5bb403729658d387691055cb413e42598a4bd1d49e2193e35d8689742,"Třetí vydání; pro atlas především kapitoly o logice, znalostech, usuzování a CSP.",bibliographic_discovery_only
personal-74,personal_library,Convex Optimization,Stephen Boyd; Lieven Vandenberghe,book,L10,local_file,/home/vasek/zalohovano/knizky/informatika/optimisation/convex optimization.pdf,,730,25cb39d9b190746d8653391b63f89cc6c38596ab47cb096df88728be59ea6520,Odlišná kniha od dosavadní Bubeckovy monografie.,bibliographic_discovery_only
personal-234,personal_library,Combinatorial Optimization: Polyhedra and Efficiency,Alexander Schrijver,book,"L10,L04",local_file,"/home/vasek/zalohovano/knizky/math/discrete mathematics/combinatorial optimization/Schrijver A.-Combinatorial optimization, polyhedra and efficiency. Vol.A,B,C-Springer (2003).pdf",,1920,b918b6ce3889956304d4549331d76ac030d6bedd651a96e54c5bee8e9e4c3757,Jeden PDF obsahuje svazky A–C; v počtu titulů započteno jednou.,bibliographic_discovery_only
personal-233,personal_library,Combinatorial Optimization: Theory and Algorithms,Bernhard Korte; Jens Vygen,book,"L10,L04",local_file,"/home/vasek/zalohovano/knizky/math/discrete mathematics/combinatorial optimization/Bernhard Korte, Jens Vygen - Combinatorial Optimization. Theory and Algorithms [6th ed.] (2018, Springer).pdf",,686,11b814c51d950838ba0e5ebe3f7088fe659092e545ffaa914708c05bb91129d2,Šesté vydání 2018.,bibliographic_discovery_only
personal-235,personal_library,Combinatorial Optimization,William J. Cook; William H. Cunningham; William R. Pulleyblank; Alexander Schrijver,book,"L10,L04",local_file,"/home/vasek/zalohovano/knizky/math/discrete mathematics/combinatorial optimization/William J. Cook, William H. Cunningham, William R. Pulleyblank, Alexander Schrijver(auth.)-Combinatorial Optimization, First Edition (1997).pdf",,360,23a85c2aeb9a809dd9ba20eda6f7f163347da647120e2e0608759194828b84e3,Další samostatná učebnice kombinatorické optimalizace.,bibliographic_discovery_only
personal-159,personal_library,Understanding and Using Linear Programming,Jiří Matoušek; Bernd Gärtner,book,L10,local_file,"/home/vasek/zalohovano/knizky/informatika/optimisation/linear programming/(Universitext) Jiri Matousek, Bernd Gärtner-Understanding and Using Linear Programming-Springer (2006).pdf",,229,76dcb7672d8e8f12ee8adee1ad1df76c23774ec014b08c23a2c05d51fa7c21c4,Lineární programování pro informatiky.,bibliographic_discovery_only
personal-160,personal_library,Linear Programming,Vašek Chvátal,book,L10,local_file,/home/vasek/zalohovano/knizky/informatika/optimisation/linear programming/Vašek Chvátal-Linear Programming (Series of Books in the Mathematical Sciences)-W. H. Freeman (1983).djvu,,485,2ded126483e91e2e085753f997e1819c414a47c494099dcc17cef6c280a3d97a,Klasická učebnice lineárního programování.,bibliographic_discovery_only
personal-138,personal_library,The Traveling Salesman Problem: A Computational Study,David L. Applegate; Robert E. Bixby; Vašek Chvátal; William J. Cook,book,"L10,S01",local_file,/home/vasek/zalohovano/knizky/informatika/optimisation/The traveling salesman problem a computational study.pdf,,606,88bd45a2526007ab136d5c72df4f04e54e5b06ec218067328dbabf6e8b47d781,Knižní zpracování TSP; uložená autorská verze datovaná 2006.,bibliographic_discovery_only
personal-127,personal_library,Online Computation and Competitive Analysis,Allan Borodin; Ran El-Yaniv,book,"L10,S18",local_file,"/home/vasek/zalohovano/knizky/informatika/approximation and online algorithms/Allan Borodin, Ran El-Yaniv - Online Computation and Competitive Analysis.pdf",,217,3ae43f340c3cc296140dd8c274175859b8cb7ccb1ce0909d3a9743cb9fe92adf,Sken po dvojstranách; počet PDF stran není počet tištěných stran.,bibliographic_discovery_only
personal-116,personal_library,Online Learning and Online Convex Optimization,Shai Shalev-Shwartz,monograph,"L10,L05",local_file,/home/vasek/zalohovano/knizky/informatika/optimisation/online optimalizace/shwartz-online_convex_optimization.pdf,,90,140827dee461b0fa2ad6a28b0bc260d7c7439eab70e5b4aaee1c7530f4a0a3d7,"Samostatný text, odlišný od Hazanovy knihy.",bibliographic_discovery_only
personal-119,personal_library,Introduction to Multi-Armed Bandits,Aleksandrs Slivkins,monograph,"L10,L05",local_file,/home/vasek/zalohovano/knizky/informatika/optimisation/online optimalizace/kratke_survey.pdf,,174,7a38ec32c9aaf071c70cd2e1cd0dd0594916e8beca1f13cfb76a0111fd23dcbd,Verze ze září 2019; odlišná od Bandit Algorithms.,bibliographic_discovery_only
personal-121,personal_library,Regret Analysis of Stochastic and Nonstochastic Multi-armed Bandit Problems,Sébastien Bubeck; Nicolò Cesa-Bianchi,monograph,"L10,L05",local_file,/home/vasek/zalohovano/knizky/informatika/optimisation/online optimalizace/bubeck_banditi.pdf,,130,747c82e7ff2fbcd001d7380158052ab484e40375a18ec1919841f874d3d55ba3,Samostatný survey z roku 2012.,bibliographic_discovery_only
personal-112,personal_library,The Multiplicative Weights Update Method: A Meta-Algorithm and Applications,Sanjeev Arora; Elad Hazan; Satyen Kale,survey,"L10,L05",local_file,/home/vasek/zalohovano/knizky/informatika/optimisation/online optimalizace/arora.pdf,,44,40170aa3d61116559bb758956b42a9b991b51cf51aa19f1a526a53fd004378c2,"Jednotící technika napříč optimalizací, učením a teorií her.",bibliographic_discovery_only
personal-130,personal_library,Approximation Algorithms,Vijay V. Vazirani,book,S01,local_file,/home/vasek/zalohovano/knizky/informatika/approximation and online algorithms/vazirani-aproximation_algorithms.pdf,,396,54cbc5c40e61eadbc93a560bdb1c1e9e5e8fc1a2fb3aa23af705fff16dad9121,Samostatná kniha vedle Williamson–Shmoys.,bibliographic_discovery_only
personal-12,personal_library,"The Steiner Tree Problem: A Tour through Graphs, Algorithms, and Complexity",Hans Jürgen Prömel; Angelika Steger,book,"S01,L04",local_file,"/home/vasek/zalohovano/knizky/informatika/algorithms/(Advanced Lectures in Mathematics) Prof. Dr. Hans Jürgen Prömel, Prof. Dr. Angelika Steger (auth.)-The Steiner Tree Problem_ A Tour through Graphs, Algorithms, and Complexity-Vieweg+Teubner Verlag (20.pdf",,250,58f0eb0c3465a12e4a94707b3d0f266e460d21f263571bd3e3119e3bab0a2cd3,Specializovaná monografie k jednomu zásadnímu optimalizačnímu problému.,bibliographic_discovery_only
personal-34,personal_library,Elements of Information Theory,Thomas M. Cover; Joy A. Thomas,book,S07,local_file,/home/vasek/zalohovano/knizky/informatika/information theory/Elements Of Information Theory.pdf,,774,937aaa8ea9f96d1a5c2fe0887513a2692a50b0f11ecfe2dbf9cb49b7c79dd4f0,Druhé vydání; plný základ Shannonovy teorie informace.,bibliographic_discovery_only
personal-35,personal_library,"Information Theory, Inference, and Learning Algorithms",David J. C. MacKay,book,"S07,L05",local_file,/home/vasek/zalohovano/knizky/informatika/information theory/information theory and inference.pdf,,640,868adc5f0ef6630366b122d88d691acfbe8339978b4ec3f38fca5e231f135791,"Teorie informace, kódy a statistické učení.",bibliographic_discovery_only
personal-33,personal_library,"Information, Physics, and Computation",Marc Mézard; Andrea Montanari,book,"S07,S24",local_file,"/home/vasek/zalohovano/knizky/informatika/information theory/Marc Mézard, Andrea Montanari - Information, Physics, and Computation.pdf",,580,d3e093c0226e4cc5280371ba5bf163c978816656d97b349c9de58825fcf9b833,"Statistická fyzika, náhodné instance a výpočty; obálka skenu ověřena.",bibliographic_discovery_only
