0003R Can randomness always be removed from polynomial-time decision algorithms? | Mathematics and Computation
1125 Sub-log-squared seeds for width-four ordered branching programs | Theory of Unconditional Pseudorandom Generators
1126 Fool constant-width branching programs by summing small-bias distributions | Theory of Unconditional Pseudorandom Generators
1127 Low-error short-seed generators for width-three permutation programs | Theory of Unconditional Pseudorandom Generators
1128 Linear-space Nisan–Zuckerman generators with polynomially small error | Theory of Unconditional Pseudorandom Generators
1129 Maximum size of nearly disjoint set families | Theory of Unconditional Pseudorandom Generators
1130 Polynomial-time construction of near-optimal nearly disjoint sets | Theory of Unconditional Pseudorandom Generators
1131 Sublinear-seed generators for AC0 with parity gates | Theory of Unconditional Pseudorandom Generators
1132 Shorter seeds for arbitrary-order regular branching programs | Theory of Unconditional Pseudorandom Generators
1133 Sub-log-squared seeds for polynomial-size CNFs and DNFs | Theory of Unconditional Pseudorandom Generators
1134 Optimal seed length for read-once CNF generators | Theory of Unconditional Pseudorandom Generators
1135 Characterize promise-AM derandomization by targeted hitting sets | New ways of studying the BPP = P conjecture
1136 Near-linear PRGs without cryptographic hardness assumptions | New ways of studying the BPP = P conjecture
1137 Derandomization from almost-everywhere uniform hardness | New ways of studying the BPP = P conjecture
1264 Specifically, can the construction of stitching set be efficiently derandomized? | Range Longest Increasing Subsequence and Its Relatives
1325 While we do not know whether the hardness assumption in Theorem 12 is necessary, the hardness assumption used is the same hardness assumption that is […] | Multiplicative Pseudorandom Generators for Nondeterministic Circuits
1480 We are not aware of any existing applications of two-sided lossless expanders with a polynomial imbalance between the left and right – we leave this […] | Two-Sided Lossless Expanders in the Unbalanced Setting
1566 Can we show the existence of √ low-degree low-error two-source extractors for min-entropy below n? | Low-Degree Polynomials Are Good Extractors
1751 Despite these attacks, we conjecture that parallel decomposition is possible under appropriate restrictions. | Multi-Source Randomness Extraction and Generation in the Random-Oracle Model
1956 Does the existence of a demi-bit imply the existence of a super-bit? | Stretching Demi-Bits and Nondeterministic-Secure Pseudorandomness
1969 We also re-emphasize that the problem of explicitly constructing a t-independent permutation family Π over [n] with |Π| ≤ nO(t) remains open. | Explicit and Near-Optimal Construction of t-Rankwise Independent Permutations
1970 For extractors in AC0 , can we further improve the circuit depth? | Randomness Extractors in AC⁰ and NC¹: Optimal up to Constant Factors
2077 It is still an open question to test in deterministic polynomial time if a quadratic polynomial (or any non-linear polynomial whose total degree is upper […] | Derandomizing Multivariate Polynomial Factoring for Low Degree Factors
2201 That is, can one also use standard extractors to construct non-malleable extractors? | Two-Source and Affine Non-Malleable Extractors for Small Entropy
2534 In addition, are there any barriers to such constructions, as in, would such constructions imply progress on some other explicit construction challenge? | A Deterministic Construction of a Large Distance Code from the Wozencraft Ensemble
2644 Is there a deterministic polynomial time algorithm for NC03 -Avoid with stretch n1+o(1) , even when an NP oracle is available? | Range Avoidance for Low-Depth Circuits and Connections to Pseudorandomness
2663 Does there exist a black-box hard-function ⇒ PRG proof with: Seed length: r = (1 + o(1)) · ℓ. (Any black-box proof must have r […] | On Hardness Assumptions Needed for "Extreme High-End" PRGs and Fast Derandomization
2706 For example, can one show an (snd)poly(d) factor-sparsity bound for s-sparse, (log n)-min-entropy polynomial of individual degree d? | Derandomization via Symmetric Polytopes: Poly-Time Factorization of Certain Sparse Polynomials
2774 It is possible to recover the upper bound in Theorem 29 for general eposets via arguments used in [6], but the lower bound remains open […] | Eigenstripping, Spectral Decay, and Edge-Expansion on Posets
2863 Are there more “combinatorial” families of groups – perhaps the symmetric group or the generalized symmetric groups – which admit transitive actions on HDXs? | High-Dimensional Expanders from Chevalley Groups
2942 We suspect that this (d/ min(p))O(d) dependence for d > 2 is not tight, and we leave the determination of the optimal dependence on d […] | Pseudorandomness of Expander Random Walks for Symmetric Functions and Permutation Branching Programs
3012 Can the construction of Theorem 2 be derandomized in the same asymptotic running time? | Space-Efficient Fault-Tolerant Diameter Oracles
3081 The matching kernel upper bounds are randomized and we leave it as an open question to derandomize them. | On the Hardness of Compressing Weights
3182 Can explicit variety evasive subspace families be used to derandomize other non-explicit results in algebraic geometry? | Variety Evasive Subspace Families
3222 Does existence of a SOS-hard family solve PIT completely? | A Largish Sum-Of-Squares Implies Circuit Hardness and Derandomization
3268 We conjecture that our seed length lower bound is tight, i.e., there is a PRG construction that eliminates the log log n factor from our […] | Pseudorandom Generators for Unbounded-Width Permutation Branching Programs
3284 Is there some natural natural class of non-abelian, non-simple groups for which algorithms can efficiently find expanding generating sets near (or even below) the Alon-Roichman […] | Near-Optimal Cayley Expanders for Abelian Groups
3313 We leave it as an interesting open question, which could have an application to fixed-polynomial circuit lower bounds (e.g., [34]). | On Nonadaptive Security Reductions of Hitting Set Generators
3393 In light of Proposition 8, we leave as an interesting open question whether there is any barrier explaining the difficulty of proving NP-hardness of the […] | Non-Disjoint Promise Problems from Meta-Computational View of Pseudorandom Generator Constructions
3514 For example, is the Learning is Hard assumption of [10] equivalent to the non-existence of natural proofs under the Conjecture? | Pseudorandomness and the Minimum Circuit Size Problem
3739 What are other restricted models of computation against which we can show MCSP lower bounds using local PRGs? | Circuit Lower Bounds for MCSP from Local Pseudorandom Generators
3781 We were not able to prove that Ext(X2 , Cond(X1 , X2 )) gives a low-error two-source extractor and we leave this as an intriguing […] | Two-Source Condensers with Low Error and Small Entropy Gap via Entropy-Resilient Functions
3956 What is the value of c? | Optimal Deterministic Extractors for Generalized Santha-Vazirani Sources
3957 Can we reduce the seed length further? | Randomness Extraction in AC0 and with Small Locality
3958 For PRGs, can we get a nontrivial PRG for depth-2 LTF circuits with a super-linear number of gates? | Satisfiability and Derandomization for Small Polynomial Threshold Circuits
3986 Do the efficient inverse-polynomial error heuristics we obtain imply any circuit lower bounds? | Fine-Grained Derandomization: From Problem-Centric to Resource-Centric Complexity
4003 If using public coins, what power would the prover need? | Pseudo-Deterministic Proofs
4031 On the other hand, we do not know if AC 0 is self-learnable by quasi-polynomial size AC 0 circuits.10 A natural approach here is to […] | Pseudo-Derandomizing Learning and Approximation
4063 To this end, can we exploit any of the avenues presented in this work? | On Nondeterministic Derandomization of Freivalds' Algorithm: Consequences, Avenues and Algorithmic Progress
4146 The clustering step is the only step of the algorithm of [18] that we do not know how to derandomize, despite its resemblance to the […] | Subexponential Parameterized Algorithms for Graphs of Polynomial Growth
4186 In particular, is there an analogous result for learning under the uniform distribution using random examples? | Conspiracies Between Learning Algorithms, Circuit Lower Bounds, and Pseudorandomness
4189 Some open questions: can one obtain a polynomial-time black-box PIT algorithm for multilinear read-k formula with a constant k? | Complete Derandomization of Identity Testing and Reconstruction of Read-Once Formulas
4280 Is there a technique for parallel repetition that explicitly makes use of lack of fortification in the input? | A No-Go Theorem for Derandomized Parallel Repetition: Beyond Feige-Kilian
4386 Can we find more applications of re-PRGS and re-nb-PRGs? | Pseudorandomness When the Odds are Against You
4504 For any s ∈ (0, 1], can one construct a seeded pseudorandom extractor E : Σn × Σd → Σm in polynomial time, for the […] | Dimension, Pseudorandomness and Extraction of Pseudorandomness
4523 What is the complexity of computing dimension expansion? | Dimension Expanders via Rank Condensers
4531 For starters, one may consider the case of constant min-entropy rate; that is, is any (Ω(n), Ω(n), Ω(1))-extractor computable in AC 0 ? | On Randomness Extraction in AC0
4686 It remains an open problem whether we can bring down the number of random bits to O(log m), which would match the lower bound of […] | Randomness Efficient Testing of Sparse Black Box Identities of Unbounded Degree over the Reals
4872 Range Avoidance for Low-Depth Circuits and Connections to Pseudorandomness — Open Question 2 / Do techniques in those works help in proving a sampling lower bound under arbitrary distributions? | Range Avoidance for Low-Depth Circuits and Connections to Pseudorandomness
4934 Extractors for Samplable Distributions with Polynomially Small Min-Entropy — Explicit open question on PDF page 6 / We do not know how to find i∗ , and cannot get an extractor for samplable distributions. | Extractors for Samplable Distributions with Polynomially Small Min-Entropy
5048 2D Minimal Graph Rigidity is in NC for One-Crossing-Minor-Free Graphs — Explicit open question on PDF page 19 / A derandomization in polynomial time of the PIT for R3 is an open problem for decades. | 2D Minimal Graph Rigidity is in NC for One-Crossing-Minor-Free Graphs
5064 Randomised Composition and Small-Bias Minimax — Open Problem 3 / Are there multiplicative composition theorems, stating that R(f ◦ g) ≥ Ω(M1 (f )M2 (g)) for all partial f, g, that can sometimes prove better […] | Randomised Composition and Small-Bias Minimax
5111 Derandomizing Multivariate Polynomial Factoring for Low Degree Factors — Explicit open question on PDF page 3 / We do not know a deterministic polynomial time algorithm, even for testing if a quadratic polynomial g divides a sparse polynomial. | Derandomizing Multivariate Polynomial Factoring for Low Degree Factors
5134 Sparser Abelian High Dimensional Expanders — Explicit open question on PDF page 10 / These are strong properties, and we do not know how produce them in elementary constructions. | Sparser Abelian High Dimensional Expanders
5144 Leakage Resilience, Targeted Pseudorandom Generators, and Mild Derandomization of Arthur-Merlin Protocols — Explicit open question on PDF page 4 / The equivalence does not scale well, and it is unknown whether it holds for other parameter settings such as the high end. | Leakage Resilience, Targeted Pseudorandom Generators, and Mild Derandomization of Arthur-Merlin Protocols
5171 On Hardness Assumptions Needed for "Extreme High-End" PRGs and Fast Derandomization — Unresolved-question passage on page 15 / Is it true that in any black-box hard-function ⇒ PRG proof, the number of queries q ≥ m or even q ≥ m2 ? | On Hardness Assumptions Needed for "Extreme High-End" PRGs and Fast Derandomization
5172 Equivalent Dichotomies for Triangle Detection in Subgraph, Induced, and Colored H-Free Graphs — Unresolved-question passage on page 14 / Our current reduction is based on the random sieve approach, and derandomizing this technique remains an open problem. | Equivalent Dichotomies for Triangle Detection in Subgraph, Induced, and Colored H-Free Graphs
5205 A Largish Sum-Of-Squares Implies Circuit Hardness and Derandomization — Explicit open question on PDF page 2 / It is still an open question to design an efficient deterministic PIT algorithm. | A Largish Sum-Of-Squares Implies Circuit Hardness and Derandomization
5240 Algebraic Hardness Versus Randomness in Low Characteristic — Explicit open question on PDF page 8 / Whether lower bounds in the multivariate regime imply lower bounds in the constantvariate regime is an open question. | Algebraic Hardness Versus Randomness in Low Characteristic
5267 Instance-Wise Hardness Versus Randomness Tradeoffs for Arthur-Merlin Protocols — Explicit open question on PDF page 11 / Due to the lack of an almost-everywhere hierarchy result for NTIME, we do not know how to do this efficiently for generic nondeterministic machines. | Instance-Wise Hardness Versus Randomness Tradeoffs for Arthur-Merlin Protocols
5287 Hardness vs Randomness for Bounded Depth Arithmetic Circuits — Explicit open question on PDF page 3 / For example, does super-polynomial lower bounds for arithmetic formulas imply non-trivial deterministic algorithms for PIT for arithmetic formulas, and vice-versa? | Hardness vs Randomness for Bounded Depth Arithmetic Circuits
5328 Complete Problems for Multi-Pseudodeterministic Computations — Explicit open question on PDF page 2 / So far, we do not know how to make this algorithm pseudodeterministic. | Complete Problems for Multi-Pseudodeterministic Computations
5404 Sunflowers and Quasi-Sunflowers from Randomness Extractors — Explicit open question on PDF page 2 / This conjecture is one of the most well known open problems in combinatorics, which remains open today despite a lot of research. | Sunflowers and Quasi-Sunflowers from Randomness Extractors
5405 Circuit Lower Bounds for MCSP from Local Pseudorandom Generators — Unresolved-question passage on page 13 / Can the MCSP lower bound be improved? | Circuit Lower Bounds for MCSP from Local Pseudorandom Generators
5430 Derandomizing Isolation in Space-Bounded Settings — Explicit open question on PDF page 8 / It is an open question whether our approach can be used to reduce the number of random bits in those settings. | Derandomizing Isolation in Space-Bounded Settings
5492 Distinguishing, Predicting, and Certifying: On the Long Reach of Partial Notions of Pseudorandomness — Explicit open question on PDF page 10 / A straightforward search-to-decision reduction in [Gol11a] establishes this for P, but it is highly space-inefficient, and thus unsuitable for CL and for L, where its […] | Distinguishing, Predicting, and Certifying: On the Long Reach of Partial Notions of Pseudorandomness
5534 Fooling Near-Maximal Decision Trees — Explicit open question on PDF page 6 / For example, Cheng and Hoza showed that optimal explicit hitting sets for space-bounded computation would imply L = BPL, whereas it remains an open problem […] | Fooling Near-Maximal Decision Trees
5627 Affine Extractors and AC0-Parity — Explicit open question on PDF page 2 / We do not know if they can be generalized to affine extractors with constant error, but jumping ahead we give a simple proof of an […] | Affine Extractors and AC0-Parity
5667 Fractional Pseudorandom Generators from Any Fourier Level — Explicit open question on PDF page 8 / A related work by Girish, Raz, and Zhan [9] establishes a similar result with a different generalization of the Forrelation distribution, but we do not […] | Fractional Pseudorandom Generators from Any Fourier Level
5692 Time-Space Tradeoffs for Distinguishing Distributions and Applications to Security of Goldreich’s PRG — Explicit open question on PDF page 3 / The question of whether there exists a better algorithm that runs in O(n(1− )t ) samples and O(n ) memory, and distinguishes between uniform and […] | Time-Space Tradeoffs for Distinguishing Distributions and Applications to Security of Goldreich’s PRG
5693 Non-Disjoint Promise Problems from Meta-Computational View of Pseudorandom Generator Constructions — Explicit open question on PDF page 7 / It is an open question whether there exists an exponentialtime-computable function f ∈ E that cannot be computed by any circuit of size 4n (cf. […] | Non-Disjoint Promise Problems from Meta-Computational View of Pseudorandom Generator Constructions
5723 Explicit and Near-Optimal Construction of t-Rankwise Independent Permutations — Unresolved-question passage on page 11 / That is, can a t-rankwise independent family Π of permutations of [n] be constructed such that |Π| ≤ nO(t) , and sampling a single permutation […] | Explicit and Near-Optimal Construction of t-Rankwise Independent Permutations
5724 Samplers and Extractors for Unbounded Functions — Explicit open question on PDF page 3 / We remark briefly that the median-of-averages sampler of Bellare, Goldreich, and Goldwasser [5] still works and is optimal up to constant factors in the subgaussian […] | Samplers and Extractors for Unbounded Functions
5798 Bipartite Perfect Matching in Pseudo-Deterministic NC — Unresolved-question passage on page 12 / In the context of polynomial time pseudo-determinism, there are many fundamental problems with polynomial time randomized algorithms where the existence of pseudodeterministic polynomial time algorithms […] | Bipartite Perfect Matching in Pseudo-Deterministic NC
5929 Small Bias Requires Large Formulas — Explicit open question on PDF page 3 / It remains open whether our bounds can be matched (or even improved in the case of De Morgan formulas) by a different construction that is […] | Small Bias Requires Large Formulas
5930 On Pseudodeterministic Approximation Algorithms — Explicit open question on PDF page 1 / Even though primality testing can be done in deterministic polynomial time, we do not know whether a deterministic polynomial-time algorithm exists for this problem. | On Pseudodeterministic Approximation Algorithms
5973 Techniques for Generalized Colorful k-Center Problems — Explicit open question on PDF page 4 / However, it is unknown whether XWB can be solved efficiently on general matroids, and the only technique known for XWB on linear matroids is inherently […] | Techniques for Generalized Colorful k-Center Problems
6170 On Finding l-Th Smallest Perfect Matchings — Explicit open question on PDF page 4 / While in the general case, derandomization of unary SOC and BCPM remains open, combining our algorithm for EWPM with our reductions also implies that BCPM, […] | On Finding l-Th Smallest Perfect Matchings
6197 High-Dimensional Expanders from Chevalley Groups — Unresolved-question passage on page 23 / 4.1 Further questions As mentioned in Remark 60, we do not know if the 2-dimensional complexes obtained from our construction for G(G2 , F) yield […] | High-Dimensional Expanders from Chevalley Groups
6495 Fooling Constant-Depth Threshold Circuits — Explicit open question on PDF page 7 / The analysis of [3] for a truly random restriction handled this subgraph with an exponentially small failure probability; but this analysis relied on a read-k […] | Fooling Constant-Depth Threshold Circuits
6600P Optimal explicit pseudorandom generators for read-once branching programs | Research reference · eccc.weizmann.ac.il
6662P Optimal deterministic restricted-isometry matrices | Doubly transitive equiangular tight frames that contain regular simplices
