0079 Nonbinary phylogenetic reconstruction parameterized by reticulation count | Algorithms and Complexity in Phylogenetics
1726 However, we do not know whether there exist infinitely many n, different from a power of p, for which every aperiodic necklace of length n […] | Generalized De Bruijn Words, Invertible Necklaces, and the Burrows-Wheeler Transform
1764 We conjecture that, in contrast to NetworkPD (which is NP-hard for level-1 networks [27]), this is possible for APD. | Average-Tree Phylogenetic Diversity of Networks
1775 A question we leave for further research is: asymptotically, how many palindromic periodicities of length n are there for binary words? | On Palindromic Periodicities
1790 What about if the given permutations form an Abelian group? | PLS-Completeness of String Permutations
1818 If not, can we perhaps do so for c-colored sets of strings, or for arbitrary sets of line segments? | Star-Based Separators for Intersection Graphs of c-Colored Pseudo-Segments
1975 In a), the indices of the end-markers in column F cannot be assigned, if we do not know the string permutation performed during the encoding. | A Class of Heuristics for Reducing the Number of BWT-Runs in the String Ordering Problem
2060 The complexity remains open for binary networks (i.e. with in+out degree=3 for every node). | Finding Maximum Common Contractions Between Phylogenetic Networks
2061 An important theoretical problem that remains open is determining whether binary gene trees satisfy the triangle inequality. | The Path-Label Reconciliation (PLR) Dissimilarity Measure for Gene Trees
2062 It remains an open question how other data characteristics (for example the species when not considering human populations) influence the number of unique subtrees. | Memoization on Shared Subtrees Accelerates Computations on Genealogical Forests
2080 It is an open question whether the query time of LBAE and SCAE queries can be improved to O(ℓ + log log n) for an […] | Shortest Cover After Edit
2179 Do the resulting problems become much harder than PDD? | Maximizing Phylogenetic Diversity Under Ecological Constraints: A Parameterized Complexity Study
2186 Can it be tested efficientlywhether an ordered graph admits a constrained U-shaped outer-1-string representation? | Constrained Outer-String Representations
2254 More importantly, does the space of (modulo)- separated colorings always/often contain a design with respect to the nearest-neighborhood Turner energy model? | RNA Inverse Folding Can Be Solved in Linear Time for Structures Without Isolated Stacks or Base Pairs
2278 Finally, an interesting question is whether there exists a string where the size of the LZ77 parsing of the concatenated samples improves by more than […] | Tight Bounds for Compressing Substring Samples
2282 Can we balance the height (achieve O(polylog(n)) height) of an LZ-like encoding or a modified LZ-like encoding, by only increasing the size by a constant […] | Height-Bounded Lempel-Ziv Encodings
2315 Regarding the case when one of the functions fi has only polynomially bounded minimizers, there are a few questions left open: First, what is the […] | Parameterized Complexity of Submodular Minimization Under Uncertainty
2326 For |Σ| > 2, can the continuous Closest String problem be solved in time O(|Σ|(1−ϵ)d poly(n)), for some ϵ > 0? | Can You Solve Closest String Faster Than Exhaustive Search?
2358 Does it hold that rbwt (w) = O(i) when w ∈ {λ ◦ µi (a) | i ≥ 0}, for every pair of morphisms µ […] | On the Impact of Morphisms on BWT-Runs
2378 We conjecture that such a family exists and the coding is necessary. | L-Systems for Measuring Repetitiveness
2415 While we were able to show that MapPD is W[2]-hard parameterized by k, it is unknown whether it is W[2]-complete. | How Can We Maximize Phylogenetic Diversity? Parameterized Approaches for Networks
2602 It remains an open problem if our approach can help to improve upon the O(n log n)-time algorithm of Brodal et al. [11] for constructing […] | Linear Time Construction of Cover Suffix Tree and Applications
2687 We leave open whether the complexity can be improved, e. g. using only parameter δ, i. e., the smallest number of deletions per input strings. | An FPT-Algorithm for Longest Common Subsequence Parameterized by the Maximum Number of Deletions
2807 Although we conjecture that the solution for the Shortest Congruent Subsequence problem may be used in solving SubseqSetInclusion along with clever classification of w1 and […] | Simon’s Congruence Pattern Matching
2826 For simple rearrangements, Yin et al. [38] briefly mention the problem of prioritizing intra-chromosomal rearrangements (inversions) over inter-chromosomal rearrangements (translocations); however, as far as we […] | A Maximum Parsimony Principle for Multichromosomal Complex Genome Rearrangements
2836 In particular, for these cases, we conjecture that the problem becomes polynomial when height(P ) is constant. | Permutation Pattern Matching for Doubly Partially Ordered Patterns
2837 The only problem with this idea is that we do not know before the induction how many equal-symbols runs P i will have. | Efficient Construction of the BWT for Repetitive Text Using String Compression
3010 Does there exist a string index of O(r) words supporting locate queries in optimal time for any alphabet size? | Optimal-Time Queries on BWT-Runs Compressed Indexes
3082 Nevertheless, for several symmetry types of σ, the complexity of Av(σ)-PPM remains open. | Griddings of Permutations and Hardness of Pattern Matching
3094 We leave open the problem of establishing similar ETH hardness results for the maximization problem. | Finding an Optimal Alphabet Ordering for Lyndon Factorization Is Hard
3108 It remains open whether it can be done in polynomial time without checking all variants of displayed trees. | Conflict Resolution Algorithms for Deep Coalescence Phylogenetic Networks
3189 For example, can we maintain the weighted ancestor data structure during an online construction of the suffix tree? | Weighted Ancestors in Suffix Trees Revisited
3190 Can we solve q such instances faster than applying Theorem 3 q times? | Constructing Strings Avoiding Forbidden Substrings
3197 Is checking Ab-square-freeness 3SUM-hard? | Hardness of Detecting Abelian and Additive Square Factors in Strings
3234 What is the complexity of Strings and coins on other restricted graph classes, for instance outerplanar graphs (which generalize 1 × n grids)? | Dots & Boxes Is PSPACE-Complete
3266 It is an open question whether our techniques could be used for the computation of runs on tries, where the best known algorithms require super-linear […] | Linear Time Runs Over General Ordered Alphabets
3270 For example, is it possible that we only run τ = O(1) rounds of CGK random walks and there will be an optimal matching going […] | An Improved Sketching Algorithm for Edit Distance
3327 A question that remains open is whether the proposed algorithms match the inherent computational complexity of the problem or whether faster solutions exist. | Finding the Anticover of a String
3328 The breakpoint distance is static, and we leave open the question for solving or approximating CNPC with dynamic rearrangement distance such as reversal, duplication+deletion, etc. | Genomic Problems Involving Copy Number Profiles: Complexity and Algorithms
3418 When u is an inner node, in general, we do not know if L(u)rev is (y, d)-unique for d = h(u, `), unless for all […] | Pattern Discovery in Colored Strings
3425 We conjecture that the long runs are mostly composed of genes that are part of a contiguous segment from the beginning, and are not really […] | Natural Family-Free Genomic Distance
3463 Is there a more efficient algorithm for small m? | Summarizing Diverging String Sequences, with Applications to Chain-Letter Petitions
3520 Does every class C with unbounded grid-width contain arbitrarily large connected monotone grid subclasses? | A Complexity Dichotomy for Permutation Pattern Matching on Grid Classes
3543 For example, is the distribution Poisson for the Bourque metrics? | The Bourque Distances for Mutation Trees of Cancers
3584 We conclude by asking: is an O(nk ) algorithm waiting to be found for these problems, or does there exist a more efficient reduction which […] | The Fine-Grained Complexity of Median and Center String Problems Under Edit Distance
3598 Finally, we conjecture that the inequality m < 2z holds for any string. | On the Size of Overlapping Lempel-Ziv and Lyndon Factorizations
3654 The quest of a general notion of model for pattern calculi also remains open, particularly for dynamic pattern calculi [32, 6]. | A Quantitative Understanding of Pattern Matching
3656 The optimal polynomial-time approximation ratio for any fixed q ≥ 3 is an open problem, as well as the existence of algorithms achieving that ratio. | Building a Small and Informative Phylogenetic Supertree
3669 We leave open the questions of whether the runs of a string (or other information sufficient for answering 2-Period Queries in Õ(1) time) can be […] | Repetition Detection in a Dynamic String
3722 We have the following open problem: can we achieve the conversion from RLBWT into LZ77 in O(n) time and O(r) space? | Conversion from RLBWT to LZ77
3797 We conjecture that this generally good performance is the result of its non-parametric criterion which can help it to be robust to model mis-specification (of […] | TRACTION: Fast Non-Parametric Improvement of Estimated Gene Trees
3818 Another important open question whose answer would have practical implications on searching the network space: is an optimal phylogenetic network with k + 1 reticulations […] | Empirical Performance of Tree-Based Inference of Phylogenetic Networks
3898 It remains open how to find such a representation R0 , given just the graph. | On the Size of Outer-String Representations
3928 But the general case of arbitrary alphabets with bounds expressed in terms of the parameters n, z, σ remains open (see Table 1 in the […] | Relations Between Greedy and Bit-Optimal LZ77 Encodings
3942 If it has also the empty solution, then we are done, but we do not know yet whether this is the case. | An Optimal Bound on the Solution Sets of One-Variable Word Equations and its Consequences
4049 Gagie, Navarro and Prezza [9] have now shown we need only store suffix array values at the ends of runs in the BWT, however, and […] | Prefix-Free Parsing for Building Big BWTs
4080 For Min-Bkpt-SF it remains open whether the problem is FPT for other parameters than |T |, for example m, b or d. | Beyond Adjacency Maximization: Scaffold Filling for New String Distances
4087 Which is the fastest MAAF algorithm? | Computing Maximum Agreement Forests without Cluster Partitioning is Folly
4218 Finally, what happens if environment changes are not completely independent but are instead affected by population size? | Mutation, Sexual Reproduction and Survival in Dynamic Environments
4359 This could result in better cache miss rates and speed, but this remains an open problem for the moment. | Linear-time Suffix Sorting - A New Approach for Suffix Array Construction
4387 Is it possible to de-amortize it, e.g. by using techniques in [5, 9, 10]? | Fully-online Construction of Suffix Trees for Multiple Texts
4397 Can a similar construction be carried out also for the tree variant of LZ77? | LZ77 Factorisation of Trees
4413 In particular, can MinRS be solved in O∗ (2n ) time? | Minimal Phylogenetic Supertrees and Local Consensus Trees
4453 That is, can an instance of boxed permutation pattern matching with occ occurrences of the pattern be solved in O(n2− + occ) time, for some […] | Boxed Permutation Pattern Matching
4548 Somewhat inbetween: is every planar graph the intersection graph of xy-monotone orthogonal curves, preferably in the 1-string model and with few bends? | 1-String B_2-VPG Representation of Planar Graphs
5054 Indexing Integer Strings Using Local Difference Bounds — Explicit open question on PDF page 2 / While standard techniques support constant-time random access within this space, building an index that enables efficient pattern matching remains open. | Indexing Integer Strings Using Local Difference Bounds
5071 L-Systems for Measuring Repetitiveness — Explicit open question on PDF page 6 / On the other hand, it is unknown if γ space or even o(γ log(n/γ)) space is reachable. | L-Systems for Measuring Repetitiveness
5112 Geometric Pattern Matching Reduces to k-SUM — Explicit open question on PDF page 1 / The existence of an O(n2−δ ) algorithm for some δ > 0 remains an open problem. | Geometric Pattern Matching Reduces to k-SUM
5149 String Matching: Communication, Circuits, and Learning — Explicit open question on PDF page 4 / Proving such lower bounds (or constructing a threshold circuit of size o(n)) remains open. | String Matching: Communication, Circuits, and Learning
5163 Hardness Results for Constant-Free Pattern Languages and Word Equations — Explicit open question on PDF page 1 / In the erasing case, however, the decidability of the equivalence problem is an open question. | Hardness Results for Constant-Free Pattern Languages and Word Equations
5206 Compact Representation of Maximal Palindromes — Unresolved-question passage on page 8 / Can we construct our data structures in O(n/ logσ n) time when the alphabet size σ is small? | Compact Representation of Maximal Palindromes
5243 Constructing Strings Avoiding Forbidden Substrings — Unresolved-question passage on page 15 / Can the SEFS problem be solved deterministically in O(|u| + |v| + k|Sk |) time? | Constructing Strings Avoiding Forbidden Substrings
5244 Griddings of Permutations and Hardness of Pattern Matching — Unresolved-question passage on page 16 / Which cases of C-PPM can be solved in time 2O(n ) ? | Griddings of Permutations and Hardness of Pattern Matching
5270 Lempel-Ziv Factorization May Be Harder Than Computing All Runs — Explicit open question on PDF page 11 / So, it remains an open problem whether there exists a linear RAM algorithm finding all runs in a string over a general ordered alphabet. | Lempel-Ziv Factorization May Be Harder Than Computing All Runs
5412 How to Construct Random Strings — Explicit open question on PDF page 3 / However, as we do not know polynomial-time algorithms for verifying the Ramsey or Rigidity properties, it is unclear how to pick out a single object […] | How to Construct Random Strings
5437 A Unifying Taxonomy of Pattern Matching in Degenerate Strings and Founder Graphs — Explicit open question on PDF page 5 / We remark that the bounds of Theorem 3 and 4 are only subquadratic when N/n = ω(1); whether there exist subquadratic algorithms for the case […] | A Unifying Taxonomy of Pattern Matching in Degenerate Strings and Founder Graphs
5466 Parameterized Algorithms for String Matching to DAGs: Funnels and Beyond — Unresolved-question passage on page 14 / We also showed how to find the minimum k for which a DAG is a k-funnel or ∈ ST k (assuming constant time arithmetic operations […] | Parameterized Algorithms for String Matching to DAGs: Funnels and Beyond
5467 On Complexity of 1-Center in Various Metrics — Explicit open question on PDF page 3 / It remains an open problem to show a conditional lower bound of n3−o(1) for computing the 1-center in the Ulam metric for n strings each […] | On Complexity of 1-Center in Various Metrics
5496 Permutation Pattern Matching for Doubly Partially Ordered Patterns — Explicit open question on PDF page 8 / Note that the existence of an XP algorithm for the width parameter remains open, and we conjecture that the problem is NP-hard even for constant […] | Permutation Pattern Matching for Doubly Partially Ordered Patterns
5519 On the Impact of Morphisms on BWT-Runs — Unresolved-question passage on page 15 / While the result on Sturmian morphisms is a complete characterization, it is unknown if the compositions of Thue–Morse-like and Sturmian morphisms are the only binary […] | On the Impact of Morphisms on BWT-Runs
5633 Orientability of Undirected Phylogenetic Networks to a Desired Class: Practical Algorithms and Application to Tree-Child Orientation — Explicit open question on PDF page 1 / The complexity of C-Orientation remains open for many classes C, including binary tree-child networks, and practical methods are still lacking. | Orientability of Undirected Phylogenetic Networks to a Desired Class: Practical Algorithms and Application to Tree-Child Orientation
5634 Maximizing Phylogenetic Diversity Under Ecological Constraints: A Parameterized Complexity Study — Explicit open question on PDF page 16 / Also, it remains open whether PDD can be solved in polynomial time if each connected component in the food-web contains at most two vertices. | Maximizing Phylogenetic Diversity Under Ecological Constraints: A Parameterized Complexity Study
5697 Solving Word Equations (And Other Unification Problems) by Recompression (Invited Talk) — Explicit open question on PDF page 4 / It is easy to show that solving equations in free groups reduces to the above-mentioned problem of word equations with regular constraints and inversion [8] […] | Solving Word Equations (And Other Unification Problems) by Recompression (Invited Talk)
5703 Memoization on Shared Subtrees Accelerates Computations on Genealogical Forests — Explicit open question on PDF page 6 / It remains an open question if top-trees6 can be used to encode the set of related genealogical trees while supporting the required queries efficiently. | Memoization on Shared Subtrees Accelerates Computations on Genealogical Forests
5772 Eulertigs: Minimum Plain Text Representation of k-mer Sets Without Repetitions in Linear Time — Explicit open question on PDF page 10 / We leave as an open problem the construction of the compacted arc-centric bidirected de Bruijn graph in deterministic linear time independent of the alphabet size. | Eulertigs: Minimum Plain Text Representation of k-mer Sets Without Repetitions in Linear Time
5801 Inferring Diploid 3D Chromatin Structures from Hi-C Data — Explicit open question on PDF page 1 / Although many methods exist to infer the 3D structure of haploid genomes, inferring a diploid structure from Hi-C data is still an open problem. | Inferring Diploid 3D Chromatin Structures from Hi-C Data
5802 Co-Linear Chaining on Pangenome Graphs — Explicit open question on PDF page 1 / However, it remains open on how to effectively generalize these techniques for general pangenome graphs which contain cycles. | Co-Linear Chaining on Pangenome Graphs
5931 First-order Definable String Transformations — Explicit open question on PDF page 3 / Although we make an important and necessary step in answering this question in the context of regular string transformation, the decidability remains an open problem. | First-order Definable String Transformations
5936 Hardness of RNA Folding Problem With Four Symbols — Explicit open question on PDF page 2 / It is unknown whether the generalized RNA folding for alphabet size 4 admits a faster algorithm than the case for alphabet size > 4. | Hardness of RNA Folding Problem With Four Symbols
5991 Detecting Locus Acquisition Events in Gene Trees — Explicit open question on PDF page 5 / In general we do not know if there is a polynomial time algorithm for CLTI. | Detecting Locus Acquisition Events in Gene Trees
6096 Construction of Sparse Suffix Trees and LCE Indexes in Optimal Time and Space — Explicit open question on PDF page 3 / It remains open whether one can improve our results for the O(b)-space construction in this setting; note that the lower bound of [26] does not […] | Construction of Sparse Suffix Trees and LCE Indexes in Optimal Time and Space
6154 LZ77 Factorisation of Trees — Unresolved-question passage on page 13 / Can a similar construction be performed also for the LZ77 for trees? | LZ77 Factorisation of Trees
6171 Improved Approximation for Longest Common Subsequence over Small Alphabets — Explicit open question on PDF page 17 / It remains an open problem to get such approximations in the setting where the input strings have different length (and by Corollary 5, to solve […] | Improved Approximation for Longest Common Subsequence over Small Alphabets
6226 Which Phylogenetic Networks Are Level-k Networks with Additional Arcs? Structure and Algorithms — Explicit open question on PDF page 2 / We conjecture that this problem is NP-hard and present exact and heuristic algorithms for solving Problem 2 (Algorithms 1 and 2). | Which Phylogenetic Networks Are Level-k Networks with Additional Arcs? Structure and Algorithms
6304 The Path-Label Reconciliation (PLR) Dissimilarity Measure for Gene Trees — Explicit open question on PDF page 2 / It is unknown whether this distance can be computed in polynomial time, the main difficulty being that edge operations must have the same label on […] | The Path-Label Reconciliation (PLR) Dissimilarity Measure for Gene Trees
6513R Does the smallest grammar problem admit a constant-factor approximation? | The Smallest Grammar Problem
6623P Polynomial-sample worst-case trace reconstruction | Research reference · drops.dagstuhl.de
6624P Constant-factor edit-distance approximation in O(n polylog n) time | Research reference · epubs.siam.org
6669P Breaking factor two for sum-of-pairs multiple sequence alignment | Multiple Sequence Alignment — encyclopedia article
