0012R Does P≠NP imply a samplable NP problem outside AvgP? | Mathematics and Computation
5258 Detecting Arbitrary Planted Subgraphs in Random Graphs — Unresolved-question passage on page 13 / Providing additional evidence for the statistical-computational gaps we conjecture using the LDP framework is quite interesting—for example, through average-case reductions (see, for example, Brennan et […] | Detecting Arbitrary Planted Subgraphs in Random Graphs
5263 Maximum Weight b-Matchings in Random-Order Streams — Explicit open question on PDF page 3 / However it is still unknown if their construction can actually lead to an algorithm in the random-order one-pass semi-streaming model [4], or applied to b-matchings. | Maximum Weight b-Matchings in Random-Order Streams
5310 Perceptronic Complexity and Online Matrix Completion — Explicit open question on PDF page 6 / We do not know if one can improve on Theorem 5. i.e. it may be the case in which families of matrices U exist such […] | Perceptronic Complexity and Online Matrix Completion
5311 Is Planted Coloring Easier than Planted Clique? — Unresolved-question passage on page 14 / Adapted to the context of q-coloring, while formally we do not know whether there exists a low- √ degree polynomial to refute q-coloring when q […] | Is Planted Coloring Easier than Planted Clique?
5341 Errorless Versus Error-Prone Average-Case Complexity — Explicit open question on PDF page 2 / There are proof techniques that enable derandomizing two-sided-error randomized algorithms using a hitting set generator [12]; however, it is unknown if a hitting set generator […] | Errorless Versus Error-Prone Average-Case Complexity
5394 Low-degree phase transitions for detecting a planted clique in sublinear time — Explicit open question on PDF page 6 / √ degree counting no longer works, but is still above the computational threshold k = Ω( n), it is unknown whether detection is possible in […] | Low-degree phase transitions for detecting a planted clique in sublinear time
5420 Is It Easier to Count Communities Than Find Them? — Explicit open question on PDF page 4 / In particular, if the problem of testing community structure can be reduced from planted clique, this would yield a reduction from planted clique to planted […] | Is It Easier to Count Communities Than Find Them?
5421 Average-Case Completeness in Tag Systems — Explicit open question on PDF page 2 / It is an open problem as to whether or not generalized 1D Collatz functions can simulate Turing machines in polynomial time [10] and so proving […] | Average-Case Completeness in Tag Systems
5453 Finding Errorless Pessiland in Error-Prone Heuristica — Explicit open question on PDF page 11 / In this light, we conjecture that the worst-case-to-average-case connection of Hirahara [19], which shows that DistNP ⊆ AvgP =⇒ UP ⊆ DTIME(2O(n/ log n) ), […] | Finding Errorless Pessiland in Error-Prone Heuristica
5462 Improved Bounds for Matching in Random-Order Streams — Unresolved-question passage on page 10 / Is there an algorithm with approximation ratio 2/3 + Ω(1)? | Improved Bounds for Matching in Random-Order Streams
5583 Learning Arithmetic Formulas in the Presence of Noise: A General Framework and Applications to Unsupervised Learning — Unresolved-question passage on page 18 / Our work as well as that of [3] leave open the problem of doing a smoothed analysis of the corresponding algorithm for mixtures of zero-mean […] | Learning Arithmetic Formulas in the Presence of Noise: A General Framework and Applications to Unsupervised Learning
5657 Non-Convex Matrix Completion Against a Semi-Random Adversary — Explicit open question on PDF page 11 / Unfortunately, we do not know whether Assumption A2 in (Bhojanapalli and Jain, 2014) is true even for random matrices, and we cannot guarantee Assumption A3 […] | Non-Convex Matrix Completion Against a Semi-Random Adversary
5831 On the Instance Optimality of Detecting Collisions and Subgraphs — Explicit open question on PDF page 5 / We conjecture that both of these problems are close to being instance optimal. | On the Instance Optimality of Detecting Collisions and Subgraphs
5842 Lower Bounds and Hardness Amplification for Learning Shallow Monotone Formulas — Explicit open question on PDF page 1 / An intriguing question, which has driven much of this research and remains open, is whether there is an efficient algorithm to learn monotone DNF formulas […] | Lower Bounds and Hardness Amplification for Learning Shallow Monotone Formulas
6222 Unit Interval Selection in Random Order Streams — Unresolved-question passage on page 3 / Our algorithmic result combined with our lower bound result show that the optimal achievable approximation ratio lies in the interval [0.7401, 0.8], and we leave […] | Unit Interval Selection in Random Order Streams
6453R Does average-case NP hardness imply infinitely-often one-way functions? | A Sharp Characterization of Pessiland
6656P The planted-clique computational threshold | Research reference · arXiv 2506.13647
6657P The computational threshold for dense tensor PCA | Research reference · arXiv 2605.30113
6658P Polynomial smoothed complexity of FLIP for Max-Cut | Research reference · drops.dagstuhl.de
6684P The computational Kesten–Stigum threshold for sparse community recovery | Low degree conjecture implies sharp computational thresholds in stochastic block model
