0440 Beating meet-in-the-middle for partial-Maltsev SAT | PACS 2024 workshop
2555 Can one prove similar results for the class XSLP and parameterization by logarithmic treedepth? | Parameterized Complexity of Binary CSP: Vertex Cover, Treedepth, and Related Parameters
2580 More concretely, can bounded treewidth or closure under topological minors be characterised in terms of some polymorphism? | Logical Equivalences, Homomorphism Indistinguishability, and Forbidden Minors
2666 Is there a logic FPC+rk+Z incorporating solvability of Z-linear equations into rank logic which captures PTIME? | Cohomology in Constraint Satisfaction and Structure Isomorphism
2788 Thus, it remains open and would likely require new n algorithmic tools to show that (5, 2)-CSP can be solved in O ((2 − ε) […] | Faster Algorithm for Unique (k,2)-CSP
2962 We conjecture that these proofs can be modified to yield proofs of analogous properties (and their corollaries) for our type theories in Section 4 and […] | Type Theory with Explicit Universe Polymorphism
3053 In particular the algebraic structure of the Promise CSP and CSPs over infinite domains have received much attention recently, although major questions remain open. | Symmetries and Complexity (Invited Talk)
3089 For every 2 ≤ k < l, PCSP(LOk , LOl ) is NP-hard. | Symmetric Promise Constraint Satisfaction Problems: Beyond the Boolean Case
3152 The characterization of the class of types satisfying this property is an open problem (a partial characterization is described in [46]). | What’s Decidable About (Atomic) Polymorphism?
3203 Is every CSP of a reduct of a finitely bounded homogeneous structure in GSO? | Datalog-Expressibility for Monadic and Guarded Second-Order Logic
3211 For large d, what would the optimal cut-off value be? | Impatient PPSZ - A Faster Algorithm for CSP
3259 Instead, we do not know if the ε-theory and contextual equivalence coincide in this case, as it is not clear whether the embedding t ÞÑ […] | The Yoneda Reduction of Polymorphic Types
3287 For example, which (P, Q), (̸=, ̸=), with P a subset of ≤ r-in-s and Q a superset of ≤ (2r − 1)-in-s, give rise […] | Finitely Tractable Promise Constraint Satisfaction Problems
3413 We believe that generalizing the dichotomy results of solvability of the IMPd for a finite domain is an interesting and challenging goal that we leave […] | Ideal Membership Problem and a Majority Polymorphism over the Ternary Domain
3456 Can we show that for almost all presidential type predicates, there is no rounding scheme which only uses the biases {bi : i ∈ [k]}? | On the Approximability of Presidential Type Predicates
3481 Are there natural conditions that can be placed there? | Sensitive Instances of the Constraint Satisfaction Problem
3585 Although we were able to get rid of the latter assumption in several cases, there is still a gap in this classification: does improving the […] | Optimal Polynomial-Time Compression for Boolean Max CSP
3635 We do not know whether Theorem 3 holds for all classes of (bounded-arity) relational structures. | Approximate Counting CSP Seen from the Other Side
3646 What other non-Boolean languages are s-tractable and `-tractable? | Beyond Boolean Surjective VCSPs
3678 It is still an open question whether an analogue of Theorem 16 holds for crisp languages, i.e. whether solvability of a given core crisp language […] | Testing the Complexity of a Valued CSP Language
3713 More concretely, given a k-rainbow colorable k-uniform hypergraph, can we efficiently rainbow color it with 3 colors? | Rainbow Coloring Hardness via Low Sensitivity Polymorphisms
3752 Can a more creative and cleverly designed measure bring the complexity of the algorithm down further? | Measure and Conquer for Max Hamming Distance XSAT
3770 Thus, given a set of relations Γ, what is the correct notion of a “polymorphism” of a upp-definable relation over Γ? | On the Strength of Uniqueness Quantification in Primitive Positive Formulas
4108 Upper bounds on the domain size of Γ0 s core is an open problem. | Hybrid VCSPs with Crisp and Valued Conservative Templates
4267 For example, is it the case that CSP(Γ) is not solvable in subexponential time whenever CSP(Γ) is NP-complete and the primal treewidth of an instance […] | Time Complexity of Constraint Satisfaction via Universal Algebra
4287 A complete characterization of the complexity of QCSP for all semigroups remains open. | Quantified Constraint Satisfaction on Monoids
4349 Indeed, we do not know whether there is an ω-categorical structure whose polymorphism clone homomorphically maps to 1, but not via a continuous clone homomorphism […] | The Complexity of Phylogeny Constraint Satisfaction
4415 Is sparsification possible when a constraint requires the number of satisfied literals to be a square, for example? | Optimal Sparsification for Some Binary CSPs Using Low-Degree Polynomials
4432 The definability result for PCF2d implies that a fully abstract model can be obtained by an intrinsic preorder collapse construction (as in the original semantics […] | Polymorphic Game Semantics for Dynamic Binding
4464 We do not know if the same holds for Max-3SAT and we leave that as an open question. | Beating the Random Assignment on Constraint Satisfaction Problems of Bounded Degree
4506 We do not know whether Theorem 3 remains valid for ω-categorical structures Γ, that is, whether the isomorphism type of the polymorphism clone of Γ […] | The Complexity of Constraint Satisfaction Problems (Invited Talk)
4679 However, we leave open the question of whether strong balance is equivalent to graph isomorphism or whether more efficient algorithms exist. | The #CSP Dichotomy is Decidable
4965 The Polynomial Hierarchy and ω-Categorical CSPs — Question 2 / Is it true that for every finite structure B there is an ω-categorical structure D such that QCSP(B) and CSP(D) are polynomial-time equivalent? | The Polynomial Hierarchy and ω-Categorical CSPs
5085 Unbounded-Width CSPs Are Untestable in a Sublinear Number of Queries — Question 13 / Determine the query complexity of MaxCSP(Γ)[c, s] in the bounded-degree model, for all predicate families Γ and parameters c and s. | Unbounded-Width CSPs Are Untestable in a Sublinear Number of Queries
5117 Approximation Algorithms for Noncommutative CSPs — Unresolved-question passage on page 9 / Could it be that even for k = 3, Algorithm 2 achieves the approximation ratio 0.864? | Approximation Algorithms for Noncommutative CSPs
5177 The Expressive Power of CSP-Quantifiers — Explicit open question on PDF page 3 / We do not know if the size hierarchy result holds for CSP-quantifiers of arity r for some fixed r. | The Expressive Power of CSP-Quantifiers
5245 The Complexity of Finding Coset-Generating Polymorphisms and the Promise Metaproblem — Unresolved-question passage on page 15 / Is there a uniform polynomial-time algorithm for coset CSPs? | The Complexity of Finding Coset-Generating Polymorphisms and the Promise Metaproblem
5246 Fractional Homomorphism, Weisfeiler-Leman Invariance, and the Sherali-Adams Hierarchy for the Constraint Satisfaction Problem — Explicit open question on PDF page 1 / Despite an important research effort, it is still an open problem to determine whether the isomorphism problem for graphs can be solved in polynomial time. | Fractional Homomorphism, Weisfeiler-Leman Invariance, and the Sherali-Adams Hierarchy for the Constraint Satisfaction Problem
5279 Homogeneity and Homogenizability: Hard Problems for the Logic SNP — Explicit open question on PDF page 8 / This was demonstrated in the recent work [45] on the complexity of CSPs of homogeneous uniform hypergraphs, whose classification remains an open problem [3]. | Homogeneity and Homogenizability: Hard Problems for the Logic SNP
5280 Approximating Cumulative Pebbling Cost Is Unique Games Hard — Explicit open question on PDF page 7 / The question of a more efficient c-approximation algorithm for c = o(cb /cr ) remains open. | Approximating Cumulative Pebbling Cost Is Unique Games Hard
5335 Certifying Solution Geometry in Random CSPs: Counts, Clusters and Balance — Unresolved-question passage on page 14 / We conjecture that the algorithms presented in this paper are indeed optimal. | Certifying Solution Geometry in Random CSPs: Counts, Clusters and Balance
5441 Universal Factor Graphs for Every NP-Hard Boolean CSP — Explicit open question on PDF page 4 / Classifying non-Boolean CSPs is still an open question and an area of active research, see [3] for a survey on the subject. | Universal Factor Graphs for Every NP-Hard Boolean CSP
5507 A Birthday Repetition Theorem and Complexity of Approximating Dense CSPs — Unresolved-question passage on page 12 / Can Lemma 27 be used to prove new approximation guarantees for other problems? | A Birthday Repetition Theorem and Complexity of Approximating Dense CSPs
5544 Near-Optimal UGC-hardness of Approximating Max k-CSP_R — Explicit open question on PDF page 3 / Currently, it is unknown whether the d-to-1 Conjecture implies the Unique Games | Near-Optimal UGC-hardness of Approximating Max k-CSP_R
5687 On Sketching Approximations for Symmetric Boolean CSPs — Explicit open question on PDF page 8 / However, while for general symmetric functions fS,k we can describe γS,k (μ) as an explicit piecewise linear function of μ (see Lemma 16 below), we […] | On Sketching Approximations for Symmetric Boolean CSPs
5709 Going Beyond Twin-Width? CSPs with Unbounded Domain and Few Variables — Unresolved-question passage on page 16 / For example, is there a direct algebraic proof that if Γ belongs to one of the FPT classes for Boolean MinCSP(Γ), then Γ cannot express […] | Going Beyond Twin-Width? CSPs with Unbounded Domain and Few Variables
5713 Linearly Ordered Colourings of Hypergraphs — Unresolved-question passage on page 16 / Going beyond the realm of fixed-template PCSPs [5] (which limits the number of colours by a constant), what is the smallest function k(n) for which […] | Linearly Ordered Colourings of Hypergraphs
5742 Easier Ways to Prove Counting Hard: A Dichotomy for Generalized #SAT, Applied to Constraint Graphs — Unresolved-question passage on page 13 / Based on our dichotomy result for 2-variable clauses, we conjecture that Generalized #SAT is in FP if f factors into a product of single-variable and […] | Easier Ways to Prove Counting Hard: A Dichotomy for Generalized #SAT, Applied to Constraint Graphs
5778 Solving Unique Games over Globally Hypercontractive Graphs — Unresolved-question passage on page 7 / Can one use the low-entropy rounding framework to get improved run-time for other combinatorial optimization problems, such as coloring 3-colorable graphs using as few colors […] | Solving Unique Games over Globally Hypercontractive Graphs
5885 Datalog-Expressibility for Monadic and Guarded Second-Order Logic — Unresolved-question passage on page 15 / We do not know how to show this statement without complexity-theoretic assumptions, even if we just want to rule out that CSP(H) can be expressed […] | Datalog-Expressibility for Monadic and Guarded Second-Order Logic
5924 Three Fundamental Questions in Modern Infinite-Domain Constraint Satisfaction — Unresolved-question passage on page 15 / It is natural to ask how strong Proposition 17 is on its own: can a result similar to Theorem 10 be proved directly using this […] | Three Fundamental Questions in Modern Infinite-Domain Constraint Satisfaction
6002 Robust Approximation of Temporal CSP — Explicit open question on PDF page 3 / In their seminal paper [12], Feder and Vardi posed a famous dichotomy conjecture; “for any constraint language Γ over a finite domain, CSP(Γ) is either […] | Robust Approximation of Temporal CSP
6089 On the Relationship between Consistent Query Answering and Constraint Satisfaction Problems — Explicit open question on PDF page 10 / They also yield some insight into the problem of deciding FO-rewritability in (MDiC, UCQ) and (MGAV, UCQ): these problems are decidable if and only if […] | On the Relationship between Consistent Query Answering and Constraint Satisfaction Problems
6109 Short Definitions in Constraint Languages — Question 26 / Is there a polynomialtime algorithm that computes a (short) pp-definition of a relation R ≤ ⟨Γ⟩n , given by a set of generators ā1 , […] | Short Definitions in Constraint Languages
6635P A complexity dichotomy for finite promise CSPs | Research reference · arXiv 2208.13538
6636P The Bodirsky-Pinsker infinite-domain CSP dichotomy | Research reference · arXiv 2601.22691
6637P Constant-colour polynomial-time colouring of 3-colourable graphs | Research reference · arXiv 2406.00357
6675P Search-to-decision equivalence for finite promise CSPs | Ineffectiveness for Search and Undecidability of PCSP Meta-Problems (FOCS 2025) — author's summary
