0482R Does naive evaluation over p-stable semirings converge in O((p+1)n) rounds? | Semirings in Databases, Automata, and Logic (Dagstuhl Seminar 25081)
2020 We leave it as an open question whether the statements of Theorem 20 and Proposition 21 hold also in the converse directions. | Conditional Independence on Semiring Relations
2081 We conjecture that by lifting the well-known CFI-construction to semirings one can show that there is no semiring where first-order logic, and even fixed point […] | Ehrenfeucht-Fraïssé Games in Semiring Semantics
2159 Are there substructure closed classes C of τ -structures such that SpC (n) is not MC-finite? | Extensions and Limits of the Specker-Blatter Theorem
2289 How does the complexity of vertex deletion problems change, if we have to delete exactly k elements – or, for that matter, at least k […] | On the Descriptive Complexity of Vertex Deletion Problems
2400 We conjecture that dropping the first part of the condition leads to a necessary and sufficient condition for solvability by the k-consistency procedure. | Network Satisfaction Problems Solved by k-Consistency
2411 A more detailed analysis of the complexity of PQER (Q, k) in terms of k remains open as well. | Probabilistic Query Evaluation with Bag Semantics
2412 Within the model, we have not yet completed the classification for the whole class of FD sets, where the problem remains open. | The Consistency of Probabilistic Databases with Independent Cells
2413 It is an open question to syntactically characterize the self-join-free conjunctive queries that admit parsimonious counting under such a relaxed definition. | Consistent Query Answering for Primary Keys and Conjunctive Queries with Counting
2520 We leave it as an open problem to close this gap and obtain a standard maximum error bound. | Algorithms with More Granular Differential Privacy Guarantees
2714 The hardness of deciding semantic acyclicity (whether a given SERCQ can be realized by an acyclic FC[REG]-CQ) remains open. | Splitting Spanner Atoms: A Tool for Acyclic Core Spanners
2715 According to Lemma 23, p-OMQ(Qk ) is fpt, but we do not know how to compute Qk . | Characterising Fixed Parameter Tractability for Query Evaluation over Guarded TGDs
2801 Moreover, while it was recently shown that chaseterminating tuple-generating dependencies capture all decidable monotonic queries [8], the expressive power of DatalogCV and its tractable fragments […] | Tuple-Generating Dependencies Capture Complex Values
2802 In Section 6.2 we take advantage of Φ to show completeness for a larger class but it remains an open question if the full class […] | Inference of Shape Graphs for Graph Databases
2900 How do the expression complexities [21] compare? | Expressiveness of SHACL Features
2999 Does Theorem 6.13 holds true for arbitrary TBoxes? | Conjunctive Queries: Unique Characterizations and Exact Learnability
3032 A question that remains open is what exactly is the threshold of “fineness” of a preorder where the orbit size changes from super-polynomial to polynomial. | Choiceless Computation and Symmetry: Limitations of Definability
3064 It remains an open question to further decrease the delay if we allow more preprocessing time. | Enumeration Algorithms for Conjunctive Queries with Projection
3065 PQEr,s,t (Q1 ) is #P-hard for all 0 < r, s, t ≤ 1 with r < 1 and t < 1. | Uniform Reliability of Self-Join-Free Conjunctive Queries
3066 However, it remains an open problem whether the pairs can be enumerated faster in the RAM model. | Ranked Enumeration of Conjunctive Query Results
3067 Can the complexity of the adjustment be improved? | Grammars for Document Spanners
3120 We do not know, however, whether for even n > 2, the extension closed properties in Σn can all be expressed in Πn or even […] | Extension Preservation in the Finite and Prefix Classes of First Order Logic
3256 That is, can the query optimizer take advantage of indexes for the log segments in the translated queries? | Achieving a Sequenced, Relational Query Language with Log-Segmented Timestamps
3295 For example, can we bridge the gap between our upper- and lower-bounds for a broader range of parameters? | Differentially Oblivious Database Joins: Overcoming the Worst-Case Curse of Fully Oblivious Algorithms
3331 Can ParityExists be maintained with first-order updates rules? | Dynamic Complexity of Parity Exists Queries
3405 The complexity of computing Shapley(D, α, f ) for other aggregate-relational queries remains an open problem for the general case where q is a hierarchical […] | The Shapley Value of Tuples in Query Answering
3494 For instance, what if we extend Lara(Ω(=,All) ) directly with an operator that computes Convolution? | On the Expressiveness of LARA: A Unified Language for Linear and Relational Algebra
3557 While it is known that Sp-Datalog(6=) ⊆ E [3], to the best of our knowledge, it is still an open question ? whether Str-Datalog(6=) ∩ […] | Datalog with Negation and Monotonicity
3622 We do not know how to compute the optimizer p∗ in closed form. | Boolean Tensor Decomposition for Conjunctive Queries with Negation
3623 Do we even have JCTsk std ∀ K 6= JCT∀∀ (poly)K? | The Power of the Terminating Chase (Invited Talk)
3631 It remains open whether the concepts used in CLogspace can be used to obtain a stronger logic that could capture all queries in Logspace. | Choiceless Logarithmic Space
3700 We conjecture that additivity for GF formulas of bounded arity is actually in ExpTime, and plan to investigate this in the near future. | Additive First-Order Queries
3748 For instance, is there a natural program for computing the complement of the transitive closure of a binary relation encoded by the input? | Recursive Programs for Document Spanners
3829 It is an open question whether our results can be extended to more complex classes of existential rules, i.e., linear rules with a complex head, […] | A Single Approach to Decide Chase Termination on Linear Existential Rules
3831 6 Final Remarks Several problems remain open: is the existence of GHW(k)-overapproximations decidable for k > 1? | A More General Theory of Static Approximations for Conjunctive Queries
3897 The question of [5] (explicitly stated in [20]) whether regular tree languages with Hamming distance are testable, remains open. | Property Testing for Bounded Degree Databases
3946 The question of whether this result holds for general FDs, along with the classification of Example 22, remains open. | Enumeration Complexity of Conjunctive Queries with Functional Dependencies
3968 What about ordered structures in general? | Expressivity Within Second-Order Transitive-Closure Logic
4101 Another question that we leave open is whether JSpLogK = JECreg K (see Section 4.4). | A Logic for Document Spanners
4104 Are binary auxiliary relations sufficient in Theorem 3? | Dynamic Complexity under Definable Changes
4262 In such a setting, how should we choose which values to retrieve, and could we update incrementally the results of interpolation when we receive new […] | Top-k Querying of Unknown Values under Order Constraints
4263 Are there efficient dynamic algorithms for evaluating (i.e., answering, testing, counting, or enumerating) results of first-order queries on other sparse classes of databases (e.g. planar, […] | Answering FO+MOD Queries Under Updates on Bounded Degree Databases
4305 If such a simulation is not possible, can we find a “maximum simulation”? | A Formal Study of Collaborative Access Control in Distributed Datalog
4306 Thus the problem of precisely characterizing which joins can be performed in subquadratic time remains open. | It's All a Matter of Degree: Using Degree Information to Optimize Multiway Joins
4308 Also, we do not know yet how to reason about expressive queries, such as conjunctive queries with negated atoms, and first-order queries. | Query Stability in Monotonic Data-Aware Business Processes
4365 Our proofs there work for the case of injective homomorphisms, but not for strong homomorphisms or embeddings, and the decidability of these cases remain open. | Homomorphism Problems for First-Order Definable Structures
4370 It is still unknown, however, whether this holds for arbitrary functional dependencies as well. | The Parameterized Complexity of Dependency Detection in Relational Databases
4407 Are there structural properties that characterize when a sequence of GLAV mappings has an SO tgd as a pointwise limit? | Limits of Schema Mappings
4480 It remains open though whether deciding local optimality is conp-complete or in ptime (even for harmonious BDS). | Optimal Broadcasting Strategies for Conjunctive Queries over Distributed Data
4481 Several questions regarding CQA under the semantics of ⊇- and ⊕-repairs remain open. | On the Data Complexity of Consistent Query Answering over Graph Databases
4482 What can be said about unions of conjunctive queries (UCQ) and recursive datalog programs? | Answering Conjunctive Queries with Inequalities
4563 Although it is not clear how to extend the techniques presented in this paper to containment of Datalog in regular queries, we conjecture that this […] | Regular Queries on Graph Databases
4567 Can we get a better understanding of counting complexity in this setting and how it differs from decision? | A Trichotomy in the Complexity of Counting Answers to Conjunctive Queries
4593 For instance, what is the complexity of the consistency problem for descendant-only DAG patterns? | Consistency of Injective Tree Patterns
4676 We conjecture that the open formulas of D(M) correspond in an analogous manner to the downwards monotone properties of CH. | Dependence logic with a majority quantifier
5808 Ranked Enumeration of Conjunctive Query Results — Conjecture 27 / X + Y sorting does not admit an O(n2 ) time algorithm. | Ranked Enumeration of Conjunctive Query Results
5819 Conjunctive Query Containment with Safe Negation and TGD One-Boundedness — Unresolved-question passage on page 16 / Regarding complexity, what is the upper bound of identifying CQ¬ HT membership? | Conjunctive Query Containment with Safe Negation and TGD One-Boundedness
5824 Uniform Reliability of Self-Join-Free Conjunctive Queries — Explicit open question on PDF page 1 / However, it is an open question whether being hierarchical is necessary for the uniform reliability problem to be in polynomial time. | Uniform Reliability of Self-Join-Free Conjunctive Queries
5829 The Theory of Concatenation over Finite Models — Unresolved-question passage on page 14 / Finally, it remains open whether satisfiability is decidable for FC1 or FC2 . | The Theory of Concatenation over Finite Models
5955 A More General Theory of Static Approximations for Conjunctive Queries — Unresolved-question passage on page 14 / As in the case of GHW(k)-overapproximations, we do not know how to check existence of incomparable GHW(k)-∆-approximations, for k > 1. | A More General Theory of Static Approximations for Conjunctive Queries
6063 The Power of the Terminating Chase (Invited Talk) — Unresolved-question passage on page 12 / It remains open whether this can be strengthened to obtain a polynomial runtime guarantee – we conjecture that the exponential increase in effort is unavoidable. | The Power of the Terminating Chase (Invited Talk)
6216 Right-Adjoints for Datalog Programs — Explicit open question on PDF page 17 / We leave it as an open problem to define a large syntactic class of (sets of) TGDs that have a generalized right-adjoint, which includes Σ1 […] | Right-Adjoints for Datalog Programs
6228 The Consistency of Probabilistic Databases with Independent Cells — Unresolved-question passage on page 9 / We note that we leave open the classification of the entire class of FD sets, but we provide it for the general case of unary […] | The Consistency of Probabilistic Databases with Independent Cells
6291 What Makes a Variant of Query Determinacy (Un)Decidable? (Invited Talk) — Explicit open question on PDF page 5 / We also remark that the Cold/Hot Trick can be useful for the variants of QDPs∞ (_, _) where disjunction is available, and that the Curse […] | What Makes a Variant of Query Determinacy (Un)Decidable? (Invited Talk)
6293 On Equivalence and Cores for Incomplete Databases in Open and Closed Worlds — Explicit open question on PDF page 2 / For PCWA, semantic implication corresponds to the existence of a homomorphic cover from one instance to another [12], while the question of smallest equivalent instance […] | On Equivalence and Cores for Incomplete Databases in Open and Closed Worlds
6301 A Dichotomy for Homomorphism-Closed Queries on Probabilistic Graphs — Explicit open question on PDF page 2 / In particular, only few results are known for languages featuring recursion, which is an essential ingredient in many applications: it is unknown if PQE admits […] | A Dichotomy for Homomorphism-Closed Queries on Probabilistic Graphs
6315 Relating Description Complexity to Entropy — Explicit open question on PDF page 2 / However, we conjecture that even for FO, a monotone Galois connection can be demonstrated between description complexities of a relevant collection of classes and related […] | Relating Description Complexity to Entropy
6321 Extensions and Limits of the Specker-Blatter Theorem — Unresolved-question passage on page 19 / Does there exist an elementary function f (k), so that for any sentence φ in CMSOL(τ ) where τ consists only of constants, unary and […] | Extensions and Limits of the Specker-Blatter Theorem
6346 Database Repairing with Soft Functional Dependencies — Explicit open question on PDF page 3 / Whether our algorithms cover all of tractable cases remains an open problem for future investigation. (In the Conclusions we discuss the simplest FD sets where […] | Database Repairing with Soft Functional Dependencies
6372 Definability of Cai-Fürer-Immerman Problems in Choiceless Polynomial Time — Explicit open question on PDF page 3 / However, there are some properties for which we do not know whether they can be expressed in CPT, and which might witness a separation from […] | Definability of Cai-Fürer-Immerman Problems in Choiceless Polynomial Time
6373 Enumeration Algorithms for Conjunctive Queries with Projection — Unresolved-question passage on page 15 / The second major open question is to show whether Theorem 7 can benefit from more preprocessing time to achieve lower delay guarantees. ε For instance, […] | Enumeration Algorithms for Conjunctive Queries with Projection
6413 Decidable classes of documents for XPath — Unresolved-question passage on page 11 / However, we do not know if the undecidability result for XPath (or even regular-XPath) of Theorem 10 holds for classes of data words of unbounded […] | Decidable classes of documents for XPath
6430 Fault-Tolerant Approximate Distance Oracles with a Source Set — Explicit open question on PDF page 4 / It is an open problem if our construction can be generalized to work for all integers k, in other words, to show a sourcewise approximate […] | Fault-Tolerant Approximate Distance Oracles with a Source Set
6432 Bag Containment of Join-On-Free Queries — Explicit open question on PDF page 1 / Despite numerous attempts in the last thirty years, this problem of determining decidability and complexity of this task remains open as one of the prominent […] | Bag Containment of Join-On-Free Queries
6434 Direct Access for Conjunctive Queries with Negations — Explicit open question on PDF page 16 / We therefore leave this question open for future research but observe that it would give a complexity of at most O(2m |D|k+1 polylog|D|) which is […] | Direct Access for Conjunctive Queries with Negations
6645P The full constant-delay conjunctive-query classification | Research reference · arXiv 2206.04988
6678P FO model checking on hereditary monadically dependent graph classes | Rose McCarty — Oberwolfach 2025
