0557 Truly subquadratic algorithms for 3SUM | The Open Problems Project
3096 We leave it as an open problem whether for L2 the balanced case n = m requires time n3−o(1) . | Translating Hausdorff Is Hard: Fine-Grained Lower Bounds for Hausdorff Distance Under Translation
3209 Can we classify which problems admit such improved algorithms for small dimensions? | The Fine-Grained Complexity of Multi-Dimensional Ordering Properties
3213 Is there a real fine-grained complexity difference between the ϕ variants in the problems? | Approximate Maximum Halfspace Discrepancy
3252 To be even more specific, what is the complexity of LHom(C6 )? | Fine-Grained Complexity of the List Homomorphism Problem: Feedback Vertex Set and Cutwidth
3719 Can we 0 then solve all hardness-h ∃k ∀ graph properties in time O(mk−ε )? | A Fine-Grained Analogue of Schaefer’s Theorem in P: Dichotomy of Exists^k-Forall-Quantified First-Order Graph Properties
3763 Are there i, j, k such that `=1 vi [`] · vj [`] · vk [`] = 0? | The Orthogonal Vectors Conjecture for Branching Programs and Formulas
3807 Can we show that assuming SETH, for some constant ε > 0, no algorithm running in time n1+ε can solve 2-CP in any metric when […] | On Closest Pair in Euclidean Metric: Monochromatic is as Hard as Bichromatic
4011 Is there another, “trivial-looking” trick for 3XOR, that establishes a basic approach to solve 3XOR in deterministic subquadratic time? | A Subquadratic Algorithm for 3XOR
4275 Can β(w) and kb[n] k2 be bounded by 2o (1)n and 2(0.5+o (1))n , respectively? | Dense Subset Sum May Be the Hardest
4291 We conjecture that there exists an algorithm running in time 2O(|S|) nO(1) for every fixed k. | On the Fine-Grained Complexity of Rainbow Coloring
4293 We conjecture that the following problem is P LS-complete: given an instance of k-means, compute an arbitrary local minimum of the k-means method. | The Complexity of the k-means Method
4402 Can similar speedups be obtained for k-opt for larger k? | Fine-Grained Complexity Analysis of Two Classic TSP Variants
4403 Can the last property also be simulated deterministically? | Deterministic Time-Space Trade-Offs for k-SUM
4644 Although, in the case of phase-bounded systems, our upper-bound matches that of Seth for CPDSs without collapse [29], we do not know if it is […] | Saturation of Concurrent Collapsible Pushdown Systems
4827 Efficient Algorithms for the Disjoint Shortest Paths Problem and Its Extensions — Open Problem 1 / If not, can one prove fine-grained lower bounds ruling out such an improvement? | Efficient Algorithms for the Disjoint Shortest Paths Problem and Its Extensions
4869 Listing 4-Cycles — Open Question 18 / Is there a (fine-grained) reduction from 4-cycle to triangle? | Listing 4-Cycles
5324 The b-Matching Problem in Distance-Hereditary Graphs and Beyond — Explicit open question on PDF page 3 / The fine-grained complexity of Maximum-Cardinality Matching parameterized by clique-width, however, remains open. | The b-Matching Problem in Distance-Hereditary Graphs and Beyond
5347 Fine-Grained Complexity of Regular Path Queries — Unresolved-question passage on page 13 / While all these lower bounds suggest that improving on the linear delay may be rather difficult, they leave the following case open. | Fine-Grained Complexity of Regular Path Queries
5429 On the Fine-Grained Complexity of Small-Size Geometric Set Cover and Discrete k-Center for Small k — Unresolved-question passage on page 16 / Is it possible to make our subquadratic algorithm for rectilinear discrete 3-center in R2 work in dimension 3 or higher? | On the Fine-Grained Complexity of Small-Size Geometric Set Cover and Discrete k-Center for Small k
5567 A Fine-Grained Analogue of Schaefer’s Theorem in P: Dichotomy of Exists^k-Forall-Quantified First-Order Graph Properties — Unresolved-question passage on page 23 / Can we generalize or strengthen our dichotomy to larger fragments of first-order properties? | A Fine-Grained Analogue of Schaefer’s Theorem in P: Dichotomy of Exists^k-Forall-Quantified First-Order Graph Properties
5666 Efficient Classification of Locally Checkable Problems in Regular Trees — Explicit open question on PDF page 1 / In rooted trees in the O(log n) case we can then further determine the exact complexity class by using algorithms from prior work; for unrooted […] | Efficient Classification of Locally Checkable Problems in Regular Trees
5690 New Sublinear Algorithms and Lower Bounds for LIS Estimation — Explicit open question on PDF page 2 / In other words, it is unknown whether there are other input parameters that capture the fine-grained complexity of LIS estimation by making use of the […] | New Sublinear Algorithms and Lower Bounds for LIS Estimation
5691 Non-Boolean OMv: One More Reason to Believe Lower Bounds for Dynamic Problems — Explicit open question on PDF page 2 / Although it is still an open problem whether this is necessarily the right complexity for all these problems, there are some partial results in the […] | Non-Boolean OMv: One More Reason to Believe Lower Bounds for Dynamic Problems
5755 Parameterized Lower Bounds for Problems in P via Fine-Grained Cross-Compositions — Unresolved-question passage on page 15 / In contrast to the other problems studied in this paper, we do not know whether the running time lower bounds for 2nd Shortest Path are […] | Parameterized Lower Bounds for Problems in P via Fine-Grained Cross-Compositions
5928 Dense Subset Sum May Be the Hardest — Open Question 2 / Can Subset Sum be solved in polynomial space and O∗ 2(1−δ)n | Dense Subset Sum May Be the Hardest
6094 The Orthogonal Vectors Conjecture for Branching Programs and Formulas — Unresolved-question passage on page 12 / While we give fairly strong lower bounds for Boolean formulas, our results seem to leave open the following compelling conjecture about the difficulty of OV […] | The Orthogonal Vectors Conjecture for Branching Programs and Formulas
6179 New Algorithms for Pigeonhole Equal Subset Sum — Explicit open question on PDF page 1 / There has been a long line of research attempting to improve that meet-in-the-middle running time for Subset Sum [4, 5, 22, 3, 14, 8, 9, […] | New Algorithms for Pigeonhole Equal Subset Sum
6246 Tight Better-Than-Worst-Case Bounds for Element Distinctness and Set Intersection — Explicit open question on PDF page 3 / This conjecture remains open, but Demaine et al. [7, FOCS’04] showed a BST algorithm A that is O(log log n)-instance-competitive: Formally, they showed that, for […] | Tight Better-Than-Worst-Case Bounds for Element Distinctness and Set Intersection
6306 Fine-Grained Dichotomies for the Tutte Plane and Boolean #CSP — Explicit open question on PDF page 2 / It has been hypothesized that no O 1.99n/2 -time algorithm for the problem exists, but we do not know whether such an algorithm has implications […] | Fine-Grained Dichotomies for the Tutte Plane and Boolean #CSP
6595R Does the Strong Exponential Time Hypothesis hold? | On the Complexity of k-SAT
6596P The Orthogonal Vectors Hypothesis | Research reference · arXiv 1909.11068
6597P The algebraic k-Clique Hypothesis | Research reference · drops.dagstuhl.de
6598P The Min-Plus Convolution Hypothesis | Research reference · drops.dagstuhl.de
6599P The Hitting Set Conjecture | Research reference · drops.dagstuhl.de
6661P The Hyperclique Hypothesis | The Role of Regularity in (Hyper-)Clique Detection and Implications for Optimizing Boolean CSPs
