0224 Busy Beaver thresholds at epsilon ordinals | SIGACT Open Problems Column
0275 Some questions around Weihrauch counterparts of ATR | Measuring the Complexity of Computational Content: From Combinatorial Problems to Analysis
0276 The reverse-mathematical strength of compact Hausdorff regularity | Measuring the Complexity of Computational Content: From Combinatorial Problems to Analysis
0277 Weihrauch strength of countable well-orderings | Measuring the Complexity of Computational Content: From Combinatorial Problems to Analysis
0278 When can one step function Weihrauch compute another? | Measuring the Complexity of Computational Content: From Combinatorial Problems to Analysis
0279 Extraction of mutual information about two strings | Computability, Complexity and Randomness
0280 Kolmogorov complexity and computably enumerable sets | Computability, Complexity and Randomness
0281 Normal numbers computable in simple exponential time | Computability, Complexity and Randomness
0282 On gales combined with computable exponential order functions | Computability, Complexity and Randomness
0283 Order functions and K-triviality | Computability, Complexity and Randomness
0284 Questions on the link between Kolmogorov complexity and computational complexity classes | Computability, Complexity and Randomness
0285 Randomness with respect to a semimeasure | Computability, Complexity and Randomness
0286 Relating computability and logical theories | Computability, Complexity and Randomness
0287 Strong extractors for infinite sequences | Computability, Complexity and Randomness
0288 Structural questions on higher algorithmic randomness | Computability, Complexity and Randomness
0289 Structural questions on K-trivial degrees | Computability, Complexity and Randomness
0290 van Lambalgen-type theorem for time-bounded Kolmogorov complexity | Computability, Complexity and Randomness
0291 What do probabilistic methods tell us about the finite sets? | Computability, Complexity and Randomness
1192 The only missing property is worst-case symmetry of information, which we leave as an interesting open problem. | Hardness of Computing Nondeterministic Kolmogorov Complexity
1429 In other words, does the dimension spectrum of every high dimension polynomial also contain an interval of length 1? | On the Constructive Dimension Spectrum of Polynomials
1448 Does the same kind of transformation also preserve continued fraction finite-state dimension? | Finite-State Dimension for Continued Fractions: Betting, Entropy and Normality
1549 Can we obtain analogous results for shifts, and vice versa? | Minimality and Computability of Languages of G-Shifts
1870 Nevertheless, the polynomial-time computability of #EO(f56 ) remains an open question, and the most general known polynomial-time algorithm for #EO is still our rebalancing signature […] | P-Time Algorithms for Typical #EO Problems
1893 Is it possible to balance the random number generations over the nodes of a given algorithm Alg in an anonymous network without knowing the average […] | What Is the Minimum Number of Random Bits Required for Computability and Efficiency in Anonymous Networks?
1908 A second complexity question arises: looking at the existence of a simplicial map from U(H) to O for k-set Agreement, can we find a class […] | A General Input-Dependent Colorless Computability Theorem and Applications to Core-Dependent Adversaries
2043 Is there any relationship between faithfulness of constructive dimension and constructive strong dimension ? | Point-To-Set Principle and Constructive Dimension Faithfulness
2153 Can we extend Theorems 1, 2, or 4 to adaptive randomized Turing reductions? | Consequences of Randomized Reductions from SAT to Time-Bounded Kolmogorov Complexity
2183 Can we use any of the mechanics in those games to build counters? | You Can't Solve These Super Mario Bros. Levels: Undecidable Mario Games
2202 Can we show NP-hardness of computing conditional pKt in the polynomial-time regime? | Impagliazzo’s Worlds Through the Lens of Conditional Kolmogorov Complexity
2232 Now one can ask, for which automatic functions µ, ν : A → Σ, is there a quasi-isometric reduction from µ to ν? | Quasi-Isometric Reductions Between Infinite Strings
2298 Could our characterisation be put at this simpler class of ODEs, but working with precision? | The Complexity of Computing in Continuous Time: Space Complexity Is Precision
2626 More precisely, is it possible to get an agnostic PAC learning algorithm over any not necessarily explicitly given polysize samplable distribution ensemble D from a […] | Improved Learning from Kolmogorov Complexity
2673 Is there a canonical notion of boundary ∂X for a simplicial complex X, such that (X, ∂X) always has computable type, and ∂X is minimal […] | Computability of Finite Simplicial Complexes
2674 Given a partial computably random sequence X which is not a.e. computably random, can there be a Martin-Löf random sequence Z such that X is […] | Probabilistic vs Deterministic Gamblers
2697 Therefore, certification of the polynomial time complexity (Remarks 22, 41, and 50) of the decision procedures given in the present work remains open. | Certified Decision Procedures for Two-Counter Machines
2821 We conjecture that aperiodic configurations in Z3 SFTs behave similarly as in Z2 subshifts: each Z3 SFT containing aperiodic configurations seems to have “centers” of […] | The Aperiodic Domino Problem in Higher Dimension
2853 First, at the time of this writing, a hyperspace Hausdorff dimension theorem remains an open problem. | Extending the Reach of the Point-To-Set Principle
2890 For example, are there lines in the plane such that sp(L) contains an interval of length strictly greater than 1? | The Dimension Spectrum Conjecture for Planar Lines
2929 We finish the paper with the general open question: what are the possible kinds of nonstandard spectra of computable block functions on (ω, <)? | Intrinsic Complexity of Recursive Functions on Natural Numbers with Standard Order
3046 The full complexity of optimal strategic play remains an open question, as do many other computational aspects of Magic. | Magic: The Gathering Is Turing Complete
3084 But, we do not know if any inclusion holds between SUBEXP-space randoms and EXP-randoms. | Ergodic Theorems and Converses for PSPACE Functions
3090 However, we leave open whether there is a group H where KP+ (H) is decidable, but KP± (H) is undecidable. | A Characterization of Wreath Products Where Knapsack Is Decidable
3378 We conjecture that Corollaries 5 and 6 hold for arbitrary shapes, that is, that there does not exist a two-dimensional low complexity aperiodic SFT. | Decidability and Periodicity of Low Complexity Tilings
3619 We leave open the problem of showing an exponential lower bound on the complexity of deciding rKt complexity. | Randomness and Intractability in Kolmogorov Complexity
3791 We do not know if it is possible to better understand Problem 3, i.e. whether it is possible to reduce this property to more fundamental […] | Semicomputable Points in Euclidean Spaces
3864 We do not know whether such a counterexample with infinitely many directions of periodicity exist. | Aperiodic Points in Z²-subshifts
3980 First, can TGG be adapted to use only a constant number of players on each team? | Cooperating in Video Games? Impossible! Undecidability of Team Multiplayer Games
4009 Is there a set O ⊆ {−, ∪, ∩} such that BC(O∪{+}) is undecidable? | Balance Problems for Integer Circuits
4069 An interesting open question is whether this intuition is justified: can we come up with a composable relaxation of linearizability that applies to the anonymous […] | Task Computability in Unreliable Anonymous Networks
4320 We conjecture that weakly pspace randomness is strictly weaker than Lutz’s notion of pspace-randomness. | Polynomial Space Randomness in Analysis
4366 Can we obtain a characterization of these properties as in the case of subrecursive classes? | The Decidable Properties of Subrecursive Functions
4463 We leave the following question open: is there a Markov-computable function from the Cantor space to O(B) that is not K-computable? | On the Information Carried by Programs about the Objects They Compute
4486 However, we do not know how to avoid it in the case when kg − f k = r. | On Computability and Triviality of Well Groups
4519 It is unknown whether this is an inherent requirement for obtaining the statements, or one more involved arguments could dispense with. | Inductive Inference and Reverse Mathematics
4620 We conjecture that the result RT22 (Σ00 ) may be generalized from 2 colors to any finite number of colors, that is, to the theorem […] | Ramsey Theorem for Pairs As a Classical Principle in Intuitionistic Arithmetic
4660 3.1.2 Upper semi-computable functions In Theorem 5 we do not know whether the assumption that the upper semi-computable function f is dominated by a test […] | The dimension of ergodic random sequences
5423 Minimality and Computability of Languages of G-Shifts — Question 2 / Can we characterize Σ02 and Π01 properties of shifts? | Minimality and Computability of Languages of G-Shifts
5484 Realizability Models for Large Cardinals — Unresolved-question passage on page 17 / Clearly, assuming larger cardinals we can get realizability models for those large cardinals notions: for instance if we assume the consistency of ZFC with a […] | Realizability Models for Large Cardinals
5728 Realizing Finitely Presented Groups as Projective Fundamental Groups of SFTs — Explicit open question on PDF page 2 / Projective connectedness is undecidable but we do not know how hard: it is open whether it belongs to the arithmetical hierarchy. | Realizing Finitely Presented Groups as Projective Fundamental Groups of SFTs
5791 Random Noise Increases Kolmogorov Complexity and Hausdorff Dimension — Explicit open question on PDF page 2 / However, the natural question: which functions may appear as d 7→ (the maximal complexity of strings in the d-ball centered at x), remains open. | Random Noise Increases Kolmogorov Complexity and Hausdorff Dimension
5846 Extending the Reach of the Point-To-Set Principle — Explicit open question on PDF page 4 / At the time of this writing it is an open question whether there is an analogous hyperspace dimension theorem for Hausdorff dimension. | Extending the Reach of the Point-To-Set Principle
5868 Recursed Is Not Recursive: A Jarring Result — Unresolved-question passage on page 13 / We conjecture that Recursed with Cauldrons, but no Jars, is still undecidable. | Recursed Is Not Recursive: A Jarring Result
5989 The Dimension Spectrum Conjecture for Planar Lines — Unresolved-question passage on page 20 / For example, can anything be said about the dimension spectrum of a polynomial? | The Dimension Spectrum Conjecture for Planar Lines
6072 Probabilistic vs Deterministic Gamblers — Question 2 / Are there other randomness notions for which an analogue of Theorem 8 holds (namely, for which there is a random sequence which is not a.e. […] | Probabilistic vs Deterministic Gamblers
6073 Computability of Finite Simplicial Complexes — Question 2 / For simplicial pairs (L, N ), is it possible to characterize the surjection property for Cone(L, N ) in terms of the homology of (L, […] | Computability of Finite Simplicial Complexes
6142 Randomness Versus Superspeedability — Explicit open question on PDF page 13 / The first two open questions concern the positions marked 1 and 2 in Figure 1; in both cases it is unknown whether any such numbers […] | Randomness Versus Superspeedability
6156 Polynomial Space Randomness in Analysis — Unresolved-question passage on page 12 / For example, what notion of polynomial time randomness is characterized by the Lebesgue differentiation theorem? | Polynomial Space Randomness in Analysis
6220 Finite-State Dimension for Continued Fractions: Betting, Entropy and Normality — Unresolved-question passage on page 15 / Does there exist a continued fraction non-normal real number x such that, under the full-past payoff rule, no finite-state gambler wins on x at a […] | Finite-State Dimension for Continued Fractions: Betting, Entropy and Normality
6255 The Aperiodic Domino Problem in Higher Dimension — Explicit open question on PDF page 2 / For SFTs on Z3 , we conjecture that AD is in the arithmetical hierarchy for reasons that are specific to SFTs, and provide a few […] | The Aperiodic Domino Problem in Higher Dimension
6386 Decidability in the Logic of Subsequences and Supersequences — Explicit open question on PDF page 2 / He then shows that already the Σ3 theory is undecidable even when A contains only two elements, and also shows that the Σ1 theory is […] | Decidability in the Logic of Subsequences and Supersequences
6388 De Jongh’s Theorem for Intuitionistic Zermelo-Fraenkel Set Theory — Unresolved-question passage on page 15 / Is it possible to vary the construction of blended models to provide proper models of CZF (i.e., models of CZF that are not also models […] | De Jongh’s Theorem for Intuitionistic Zermelo-Fraenkel Set Theory
6396 Higher randomness and forcing with closed sets — Explicit open question on PDF page 5 / We now give a lower bound on the Borel complexity of the computably dominated sequences, however we do not know if it can be Σ03 […] | Higher randomness and forcing with closed sets
6438 Magic: The Gathering Is Turing Complete — Unresolved-question passage on page 12 / We conjecture that optimal play in Magic is far harder than this result alone implies, and leave the true complexity of Magic and the reconciliation […] | Magic: The Gathering Is Turing Complete
6646P Martin's conjecture on degree-invariant functions | Research reference · www.cambridge.org
6647P Rigidity of the Turing degrees | Research reference · www.cambridge.org
6648P Kolmogorov-Loveland randomness versus Martin-Lof randomness | Research reference · arXiv 2403.19817
6649P The reverse-mathematical strength of Hindman's theorem | Research reference · iris.uniroma1.it
6679P Universality of Turing equivalence | The Fourteen Victoria Delfino Problems and Their Status in the Year 2019
6685R Determining the sixth Busy Beaver value BB(6) | BB(6)
