0581 Four-coloring parameterized by crossing number or genus | SIGACT Open Problems Column
0777 Planar Independent Set above the n/4 guarantee | Algorithms for Optimization Problems in Planar Graphs
0778 Planar subgraph isomorphism parameterized by vertex or edge deficit | Algorithms for Optimization Problems in Planar Graphs
0779 Planar two-edge-connectivity approximation schemes | Algorithms for Optimization Problems in Planar Graphs
0780 Weighted Max Cut parameterized by surface genus | Algorithms for Optimization Problems in Planar Graphs
0781 Batched k-CNF | Optimality and Tight Results in Parameterized Complexity
0782 Complexity of editing a graph into one biclique and isolates | Graph Modification Problems
0784 Existence of Polynomial Kernel for Edge-Disjoint Paths | Graph Modification Problems
0785 From Parity Set Cover to Parity SAT | Optimality and Tight Results in Parameterized Complexity
0786 H-minor sequences | Graph Modification Problems
0787 Lower Bounds for Computing Treewidth | Optimality and Tight Results in Parameterized Complexity
0788 Modification into graph classes | Graph Modification Problems
0789 More graph editing problems | Graph Modification Problems
0790 Open problem: Eulerian SCC Deletion | Graph Modification Problems
0791 Open problems from the tutorial on subexponential parameterized complexity of completion problems | Graph Modification Problems
0792 Parameterized Cutwidth | Optimality and Tight Results in Parameterized Complexity
0793 Quadratic Kernel for Planar Steiner Tree | Optimality and Tight Results in Parameterized Complexity
0794 Treecost as a parameterized problem | Graph Modification Problems
0795 TSP Below Average on Digraphs | Optimality and Tight Results in Parameterized Complexity
0796 Achieving subexponential time for several parameterized problems in planar graphs | Algorithms for Optimization Problems in Planar Graphs
0797 All-pair distances on the infinite face | Algorithms for Optimization Problems in Planar Graphs
0798 Channel assignment | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0799 Converting CNF to DNF | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0800 Cutwidth | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0801 Directed Hamiltonicity | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0802 Enumerating all story arcsets (SAS) of a digraph with polynomial delay | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0803 Euclidean multiway cut with unit disks | Algorithms for Optimization Problems in Planar Graphs
0804 Exact algorithms for Special Treewidth and Spaghetti Treewidth | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0805 Exact Counting of Linear Extensions | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0806 Improve exponential time algorithm for Bandwidth | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0807 k-minimum spanning tree problem | Algorithms for Optimization Problems in Planar Graphs
0808 Maximum Acyclic Subgraph | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0809 Mincost flow in planar graphs | Algorithms for Optimization Problems in Planar Graphs
0810 Minimum stretch shape shifting | Algorithms for Optimization Problems in Planar Graphs
0811 Monochromatic Rectangles in Low-Rank Matrices | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0812 Planar local TSP | Algorithms for Optimization Problems in Planar Graphs
0813 Planarization by vertex deletion | Algorithms for Optimization Problems in Planar Graphs
0814 Prize-collecting Steiner forest | Algorithms for Optimization Problems in Planar Graphs
0815 Relation between permanent computation and SETH | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0816 Shortest common superstring problem | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0817 Strong Backdoor detection | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0818 The Complexity of #k-SAT | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0819 The exponential complexity of some SUBSET SUM variants | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0820 Two-edge-connected planar subgraph | Algorithms for Optimization Problems in Planar Graphs
0821 Vector Positive Explanation | Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time
0822 Vertex-capacitated max flow in directed planar graphs | Algorithms for Optimization Problems in Planar Graphs
0823 Bott-Equivalent and Diffeomorphilic Directed Acyclic Graphs | Exploiting graph structure to cope with hard problems
0824 Characterization and Recognition of a Circle Graph Generalization | Exploiting graph structure to cope with hard problems
0825 Dense Subgraphs in a Proper Interval Graph | Exploiting graph structure to cope with hard problems
0826 Fast and Simple Recognition of Map Graphs | Exploiting graph structure to cope with hard problems
0828 Forbidden Subgraph Characterization of Circular-Arc Bipartite Graphs | Exploiting graph structure to cope with hard problems
0829 Problems Becoming Feasible on Classes of Interval Digraphs | Exploiting graph structure to cope with hard problems
0830 Structure and Complexity of Short Fill-in for Strongly Chordal Graphs and Tree Powers | Exploiting graph structure to cope with hard problems
0831 Structure and Recognition of k-Leaf Powers | Exploiting graph structure to cope with hard problems
0832 The Complexity of 2-Domination on Strongly Chordal Graphs | Exploiting graph structure to cope with hard problems
0833 The Leaf Rank of Proper Interval Graphs | Exploiting graph structure to cope with hard problems
1140 Is MAS/MaxST(Q≥1 ) W[1]-hard or fixed-parameter tractable? | Exploiting Spanning Trees for Directed Acyclicity
1211 Undirected Edge Geography is XALP-hard parameterized by tree-partition width. | Edge Geography is XNLP-hard for Pathwidth and in XP for Tree-Partition Width
1277 Namely, is the complexity of solving ∀∃∀∃-QBF already double-exponential in k? | D-QBF with Few Existential Variables Revisited
1296 Whether the 2O(k log k) dependence can also be achieved for general graphs remains open. | ETH-Tight Complexity of Optimal Morse Matching on Bounded-Treewidth Complexes
1352 We do not know whether the problem is in XP when parameterized by k, that is, whether it admits a polynomial-time algorithm for every constant […] | Line Cover and Related Problems
1353 Note that we leave it open whether Allowed- Centers-MSR is NP-hard on undirected (unweighted) graph metrics, but are able to show that the problem is […] | On the Parameterized Complexity of Min-Sum-Radii
1375 Hence, our FPT algorithm cannot provide us a polynomial kernel, and the question of its existence remains open. | On the Complexity of the Maker-Breaker Happy Vertex Game
1380 Hence we leave this family of parameterised #CSPs open for investigation in future work. | Symmetric Parameterised Holants on Hypergraphs: Towards a Classification for Parameterised VCSPs
1406 Are there other natural problems with optimal XP-algorithms with similar running times relative to clique-width? | Tight Bounds for Clique-Packing Parameterized by Clique-Width
1410 Finally, what can be said for the dual parameterization, that is, when the diversity measure is the maximum size of the intersection of two cuts? | An FPT Algorithm for Diverse Minimum s-t Cuts
1450 Does RTC admit an FPT algorithm in parameter a + k? | Robust Temporal Cut
1454 Can local techniques be used to improve the runtime of the exact algorithms or the heuristic? | Global Polyline Simplification Under the Fréchet Distance: Theory and Practice
1462 Is local search fixed-parameter tractable when parameterized by the size of the VCSP’s largest strongly connected component? | When Is Local Search Both Effective and Efficient?
1499 Some of our results seem to be easily adaptable to such a more general setting (e.g., for general separately convex functions), however we do not […] | Parameterized Critical Node Cut Revisited
1528 Is there a deeper connection between the two problems and could this be exploited to obtain unified algorithms for both problems which avoid, e.g., the […] | Parameterized Complexity of Efficient Sortation
1537 Are there any √ poly(ℓ)-size lossy kernels for Maximum Vertex-Disjoint Shortest Paths with α ∈ o( ℓ) (or even constant α)? | Tight Approximation and Kernelization Bounds for Vertex-Disjoint Shortest Paths
1552 Is there an exact algorithm for Maximum 2-club running in time O∗ (cn ) for some constant c ≤ 1.61? | On Maximum 2-Clubs
1608 However, the general question whether removing popular faces is FPT in the number of non-switchable crossings remains open. | Reconfiguration in Curve Arrangements to Reduce Self-Intersections and Popular Faces
1609 Is WCMin in FPT with respect to the number of time steps? | Optimizing Wiggle in Storylines
1616 Can we improve the time complexity further to 2O(k) poly(n, d)? | Faster & Deterministic FPT Algorithm for Worst-Case Tensor Decomposition
1630 We do not know whether the logtime-D-uniform (parameterized) circuit families are closed under substitution, for reasonable assumptions on M and In. | Uniformity Within Parameterized Circuit Classes
1635 However, could we say something when the input instances are restricted to some structured graph classes? | Parameterized Reunion with Achromatic Number
1645 Can the unconditional lower bounds for LFMIS on factored graphs be used to prove similar unconditional lower bounds for other parameterized problems? | The Computational Complexity of Factored Graphs
1669 Hence, it remains open whether the problem is in FPT or W[1]-hard with respect to those parameters. | Minimizing the Number of Tardy Jobs with Uniform Processing Times on Parallel Machines
1717 Although they leave open whether k-DDP is FPT on semicomplete digraphs, they mention that an FPT dynamic programming algorithm, parameterized by the number of paths, […] | Revisiting Directed Disjoint Paths on Tournaments (And Relatives)
1723 We do not know whether an analogous hardness result holds for the original EWM problem (without edge lengths) in the setting where q and r […] | Edge-Minimum Walk of Modular Length in Polynomial Time
1733 Finally, the parameterized complexity of the weighted version of Maximum Minimal st-Separator and Maximum Minimal Weight OCT remain open as very large weights cause problems […] | MaxMin Separation Problems: FPT Algorithms for st-Separator and Odd Cycle Transversal
1747 First, we do not know whether our FPT result from Theorem 1 could be extended for Weighted Fault-Tolerant Basis. | Fault-Tolerant Matroid Bases
1758 However this is just an initial dive into parameterized complexity of gadgets and we leave some open problems. | Hardness of Traversing Gadget Systems with Small Bandwidth
1859 Or better, could there be subexponential algorithms parameterized by δk or ∆k? | The Parameterized Landscape of Labeled Graph Contractions
1873 This question even remains open if the food web is restricted to an out-tree – or if any vertex in F has a degree of […] | Parameterized Algorithms for Diversity of Networks with Ecological Dependencies
1874 The key reduction rule of Thomassé [39], which yields the required linear degree bound, makes heavy usage of virtual edges; unfortunately, we do not know […] | Enumeration Kernels for Vertex Cover and Feedback Vertex Set
1875 We have shown that DWRP is FPT w.r.t. vertex integrity as well as w.r.t. feedback edge set number, while it is W[1]-hard w.r.t. distance to […] | Parameterized Complexity of Directed Traveling Salesman Problem
1876 This is sufficient for our purpose of classifying the complexity of this case as FPT, but we leave it as an interesting open problem to […] | Structural Parameters for Steiner Orientation
1917 Can this be improved to an FPT algorithm parameterized by treewidth, under this restriction on t? | Broadcasting Under Structural Restrictions
1931 Does Maximum Independent Set of Rectangles admit a parameterized approximation scheme in the weighted setting? | Parameterized Approximation for Maximum Weight Independent Set of Rectangles and Segments
1944 Prove or disprove: 2k-SUM ∈ AM k log2 n, no(k) . | Improved Space Bounds for Subset Sum
1945 Prove no(k) time lower bound of approximating k-NCPp or its related problems to any constant factor under assumptions weaker than Gap-ETH. | Improved Lower Bounds for Approximating Parameterized Nearest Codeword and Related Problems Under ETH
1946 Describe, for any fixed non-bipartite graph H, a constant cH such that: 1. | Towards Tight Bounds for the Graph Homomorphism Problem Parameterized by Cutwidth via Asymptotic Matrix Parameters
2012 What is the complexity of GCMP on trees? | Parameterized Algorithms for Coordinated Motion Planning: Minimizing Energy
2015 That is, we do not know whether one can compute the set of types that also satisfies the reverse direction of (R1). | A Tight Subexponential-Time Algorithm for Two-Page Book Embedding
2035 First, is Dominated Cluster Deletion fixed-parameter tractable or W[1]-hard when parameterized by k + d + c? | Breaking a Graph into Connected Components with Small Dominating Sets
2041 Do such algorithms exist or can they be ruled out under standard complexity assumptions? | Parameterized Vertex Integrity Revisited
2051 Furthermore, Pairwise Rearrangement has been resistant to efficient sampling; membership in FPRAS remains open. | Pairwise Rearrangement is Fixed-Parameter Tractable in the Single Cut-and-Join Model
2053 Is Bounded-Density Vertex Deletion fixed-parameter tractable with respect to the treewidth (plus the solution size)? | Destroying Densest Subgraphs Is Hard
2056 What is the parameterized complexity of the problem for environments with obstacles? | On the Parameterized Complexity of Motion Planning for Rectangular Robots
2095 It would be particularly interesting to study the CFMM transaction fee within the volume-parameterized market (VPM) framework of [3]; we conjecture that it fails to […] | An Axiomatic Characterization of CFMMs and Equivalence to Prediction Markets
2167 Can the global mincut of a graph that is embedded with small ribbon radius be computed as fast as for planar graphs? | A Parameterized Algorithm for Vertex and Edge Connectivity of Embedded Graphs
2168 Is the X -HitPack problem FPT in k and ℓ where X are the odd cycles in the graph? | Hitting Meets Packing: How Hard Can It Be?
2170 Is P 1 || wj Uj contained in W [t] for some t ≥ 1? | Minimizing the Weighted Number of Tardy Jobs Is W[1]-Hard
2171 Is it possible to design an algorithm for Steiner Tree parameterized by |S| that uses both polynomial space and single-exponential FPT time? | Steiner Tree Parameterized by Multiway Cut and Even Less
2189 Is the problem FPT with respect to the treewidth? | Weakly Leveled Planarity with Bounded Span
2190 Are there other interesting parameterizations for the problem? | Upward Pointset Embeddings of Planar st-Graphs
2193 Also, are there meaningful parameterizations that make the recognition problem tractable? | On the Complexity of Recognizing k^+-Real Face Graphs
2212 Is a polynomial kernel possible when the parameter is even larger or at least incomparable? | Component Order Connectivity Admits No Polynomial Kernel Parameterized by the Distance to Subdivided Comb Graphs
2214 Are there parameterizations upper bounding the solution size, for which ESCAD is FPT? | On the Parameterized Complexity of Eulerian Strong Component Arc Deletion
2219 What about a certificate of size (k + log n)O(1) ? | Does Subset Sum Admit Short Proofs?
2220 First, can we obtain a trade-off between query times and update times? | Dynamic Parameterized Problems on Unit Disk Graphs
2246 In particular, is it possible to give a fixed-parameter tractable algorithm for Shortest Two Disjoint Paths on undirected conservative graphs when parameterized by c? | Shortest Two Disjoint Paths in Conservative Graphs
2250 Is it possible to give FPT-time (1 + ε)-certified algorithms on inputs whose weights are encoded in nO(1) bits, but may have value 2Ω(n) ? | Fixed-Parameter Tractable Certified Algorithms for Covering and Dominating in Planar Graphs and Beyond
2252 What is the complexity of 5-level Connected CLP? | Constrained and Ordered Level Planarity Parameterized by the Number of Levels
2284 Finally, future work could also investigate the following generalized notion of extending linear layouts: Given a graph G, the spine order for some subset of […] | The Parameterized Complexity Of Extending Stack Layouts
2286 An interesting question is whether such structure can be leveraged for other variants of interest of average linkage HAC: for example, can we can obtain […] | It’s Hard to HAC Average Linkage!
2303 Can our tight double-exponential lower bound for Locating-Dominating Set parameterized by treewidth/treedepth be applied to the feedback vertex set number? | Tight (Double) Exponential Bounds for Identification Problems: Locating-Dominating Set and Test Cover
2304 Can this approach come in useful for proving that Parameterized Inapproximability Hypothesis (PIH) follows from FPT̸=W[1]? | Constant Approximating Disjoint Paths on Acyclic Digraphs Is W[1]-Hard
2314 The question that motivated our research is still open for graphs that have a large arboricity compared to their maximum degrees: is it possible to […] | Sparsity-Parameterised Dynamic Edge Colouring
2352 In particular, is CnR FPT parameterized by treewidth? | Parameterized Analysis of the Cops and Robber Game
2354 Does Capacitated Sum of Radii admit a polynomial time constantapproximation algorithm, even with uniform capacities? | FPT Constant-Approximations for Capacitated Clustering to Minimize the Sum of Cluster Radii
2416 Whether the parameter distance to co-graphs also allows for an FPT-time algorithm remains an open question. | On the Complexity of Finding a Sparse Connected Spanning Subgraph in a Non-Uniform Failure Model
2417 We conjecture that for several such cases, the complexity results will be analogue to the directed case. | The Parameterised Complexity Of Integer Multicommodity Flow
2423 Lastly, it remains open whether st-PEC admits a kernel of polynomial size. | The st-Planar Edge Completion Problem Is Fixed-Parameter Tractable
2431 What is the complexity of the problem for vertex degree at most three? | On the Parameterized Complexity of Computing st-Orientations with Few Transitive Edges
2440 It is unknown whether the previous result still holds when dim is fixed to a value greater than 1. | Checking Presence Reachability Properties on Parameterized Shared-Memory Systems
2446 One specific question that remains open is the exact complexity of Hamiltonian Cycle√ parameterized by cutwidth (also open for treewidth). | Tight Bounds for Connectivity Problems Parameterized by Cutwidth
2471 We leave as an open question the computation of a (d, k)-tree model, for a given graph G, running in time f (d, k) · […] | Space-Efficient Parameterized Algorithms on Graphs of Low Shrubdepth
2474 For example, for the case of d-Hitting Set, we do not know how to beat O(k d ) using a lossy kernel rather than a […] | Lossy Kernelization for (Implicit) Hitting Set Problems
2485 However, the question whether d-BM admits a (1 − ε)-approximation in time O f (k + ℓ) · ng(ε) , for some functions f and […] | Budgeted Matroid Maximization: a Parameterized Viewpoint
2487 The parameterized complexity of 2-EEE in the standard parameter is open, and the question of finding polynomial kernels for 2-EVD and 2-EED remains open as […] | On the Complexity of the Eigenvalue Deletion Problem
2489 While a sufficient and necessary criterion for the fixed-parameter tractability of, say #Sub(H → G), must depend on the set of forbidden subgraphs of G, […] | Counting Subgraphs in Somewhere Dense Graphs
2514 We conjecture a negative answer to this question for both Θ and ΘDP . | Compound Logics for Modification Problems
2542 Can we get a 2- approximation algorithm that runs in time 2(1/2−ϵ)tw nO(1) ? | Polynomial-Time Approximation of Independent Set Parameterized by Treewidth
2546 Can H-deletion for H the class of interval graphs be solved in time 2O(k log k) · nO(1) parameterized by twH ? | 5-Approximation for ℋ-Treewidth Essentially as Fast as ℋ-Deletion Parameterized by Solution Size
2553 Could ChVD also be amenable to one of those techniques? | Tight Bounds for Chordal/Interval Vertex Deletion Parameterized by Treewidth
2554 Can we get a better bound just by assuming that the variance of X is large? | The Wrong Direction of Jensen’s Inequality Is Algorithmically Right
2562 Second, can we show lower bounds for the permissive variant of LS-Cluster Editing? | Graph Clustering Problems Under the Lens of Parameterized Local Search
2563 Can a notion of meta-kernelization be developed for counting problems? | Kernelization for Counting Problems on Graphs: Preserving the Number of Minimum Solutions
2564 Is the resulting problem fixed-parameter tractable parameterized by k? | On the Parameterized Complexity of Multiway Near-Separator
2565 Can we find for every t a pattern for which we get classes that contain W[t]-hard problems and are contained in W[t]? | Existential Second-Order Logic over Graphs: Parameterized Complexity
2566 Does Connected Feedback Vertex Set parameterized by treewidth admit an approximate polynomial Turing kernelization? | Approximate Turing Kernelization and Lower Bounds for Domination Problems
2567 Secondly, instead of halving every color class, can we maybe find an algorithm to find any (α1 , . . . , αn )-cut? | An FPT Algorithm for Splitting a Necklace Among Two Thieves
2577 Can we characterize graph classes are easily mergeable? | Parameterized Complexity of Domination Problems Using Restricted Modular Partitions
2585 What about the 2 2O(q·rw ) nO(1) time algorithm in [6] for q-Coloring (even when q = 3)? | Tight Lower Bounds for Problems Parameterized by Rank-Width
2586 Also, can we design an FPT algorithm for EM parameterized by k and α? | Exact Matching: Algorithms and Related Problems
2588 First, is Induced Matching fixed-parameter tractable for an even smaller parameter? | Induced Matching Below Guarantees: Average Paves the Way for Fixed-Parameter Tractability
2610 It is worth mentioning that, as discussed in Section 4, we leave as an open problem the existence of FPT-algorithms for the above packing problems […] | Dynamic Programming on Bipartite Tree Decompositions
2611 4 Correct Parity Matching for General Graphs While solving BCPM for general graphs remains an open problem, in this section we present a solution to […] | Exact Matching: Correct Parity and FPT Parameterized by Independence Number
2634 What is the parameterized complexity of other variants of CMP, such as the ones where the objective is to minimize the maximum length traveled or […] | The Parameterized Complexity of Coordinated Motion Planning
2656 Are there some (finite or co-finite) σ, ρ ⊆ N with 0 ∈ ρ such that Exact (σ, ρ)-Dominating Set parameterized by the mim-width of […] | On the Hardness of Generalized Domination Problems Parameterized by Mim-Width
2662 Assuming ETH, does constant gap Max-Clique admit an algorithm in 2o(n) time? | On Lower Bounds of Approximating Parameterized k-Clique
2718 Can we hope for an O(|D| e · polylog(M )) time algorithm for f -Convolution for some ϵ > 0? | Computing Generalized Convolutions Faster Than Brute Force
2724 Is there a (1 − ε)-factor (rather than “additive”) FPT-approximation algorithm with respect to the matrix rank? | On the Parameterized Intractability of Determinant Maximization
2726 It remains open whether the factor 6k2 +9 can be improved to a constant. | Parameterized Approximation Algorithms for TSP
2743 Thus, we leave it open whether there exists a similar fixed-parameter tractability result for a weak master list (both in the roommates and marriage setting). | Deepening the (Parameterized) Complexity Analysis of Incremental Stable Matching Problems
2757 While we showed that PDS is W[1]-hard even on 2-closed graphs, the status of Partial Vertex Cover on c-closed graphs still remains open. | Further Exploiting c-Closure for FPT Algorithms and Kernels for Domination Problems
2805 We also leave open what the correct parameterized complexity class is for Feedback Vertex Set parameterized by logarithmic pathwidth or logaritmic linear cliquewidth – we […] | XNLP-Completeness for Parameterized Problems on Graphs with a Linear Structure
2847 We leave open whether Feedback Vertex Set above Minimum Degree admits a polynomial kernel. | Vertex Cover and Feedback Vertex Set Above and Below Structural Guarantees
2848 The most obvious question that remains open in this regard is whether Theorem 5.1 can be generalized to the parameterization by treewidth alone. | A Unifying Framework for Characterizing and Computing Width Measures
2877 Can an α-approximate algorithm running in time O∗ ((brute(α) − ε)n ) be derived from a parameterized extension β-approximation algorithm for any β > α? | Faster Exponential-Time Approximation Algorithms Using Approximate Monotone Local Search
2878 For example, what is the complexity of the independent set reconfiguration and the dominating set reconfiguration parameterized solely by treedepth? | Algorithmic Meta-Theorems for Combinatorial Reconfiguration Revisited
2883 Is Rendezvous W[1]-hard when parameterized by the vertex cover number (only)? | Romeo and Juliet Meeting in Forest like Regions
2901 Similarly, is there a meaningful restriction of (linear) clique-width, for which Lampis’ [42] lower bound for r-Coloring already holds? | Towards Exact Structural Thresholds for Parameterized Complexity
2903 Can we improve the approximation ratios with similar running times? | On the Parameterized Complexity of Computing Tree-Partitions
2918 Is it possible to get an FPT algorithm whose running time is a single or double exponent in the treedepth? | Metric Dimension Parameterized by Feedback Vertex Set and Other Structural Parameters
2946 The only two questions that remain open are whether the XP result for r + λ(M ) can be improved to an FPT-result (as this […] | Finding a Cluster in Incomplete Data
2983 Can our theoretical results lead to good implementations of parameterized local search for Weighted Vertex Cover? | Parameterized Local Search for Vertex Cover: When Only the Search Radius Is Crucial
3001 Is the class [#paraW[1] L]≤pars equivalent to some known class? | Parameterised Counting in Logspace
3013 What is the behaviour of the function p 7→ d(p) = min D(p)? | Parameterized (Modular) Counting and Cayley Graph Expanders
3044 It is an open problem whether Evil Hangman becomes FPT when parameterized by d, the number of failed guesses allowed. | The Computational Complexity of Evil Hangman
3049 We emphasize that a full classification for exact counting is established, while the complexity of approximation remains open outside of the coloured area. | Detecting and Counting Small Subgraphs, and Evaluating a Parameterized Tutte Polynomial: Lower Bounds via Toroidal Grids and Cayley Graph Expanders
3062 We leave open the question of a tight lower bound for the minimization version. | Degrees and Gaps: Tight Complexity Results of General Factor Problems Parameterized by Treewidth and Cutwidth
3154 Our work leaves the following natural open problem: does Dominating Set admit a kernel of size k f (γ) for some function f ? | Dominating Set in Weakly Closed Graphs is Fixed Parameter Tractable
3196 Is isomorphism testing fixed-parameter tractable on Gh parameterized by h? | Isomorphism Testing Parameterized by Genus and Beyond
3207 Can we prove the nonexistence of disjunctive kernels for any of the WK[1]-hard problems? | Lower Bounds for Conjunctive and Disjunctive Turing Kernels
3208 Is metric dimension FPT parameterized by the size of the resolving set on constant treewidth graph? | Hardness of Metric Dimension in Graphs of Constant Treewidth
3212 Can Theorem 12 be strengthened by starting from ETH instead of randomized ETH? | Filling Crosswords Is Very Hard
3232 Can the dependence of k be made polynomial (or even linear)? | Parameterized Complexity of Feature Selection for Categorical Data Clustering
3248 Is Weighted Diverse Bases FPT parameterized by k alone? | Diverse Collections in Matroids and Graphs
3249 What can be said about the maximum number of minimal and maximal matching cuts? | Refined Notions of Parameterized Enumeration Kernels with Applications to Matching Cut Enumeration
3250 Does Vertex-Disjoint Paths admit a linear vertex kernel on everywhere α-dense graphs? | Exploiting Dense Structures in Parameterized Complexity
3309 Does FTR(S, S) admit a subgraph of size independent of n on digraphs that are “almost acyclic” and have no induced Pα , for some […] | Fault Tolerant Subgraphs with Applications in Kernelization
3336 The kernelization of the edge deletion (as well as addition or editing) to a line graph of a multigraph remains open as well. | A Polynomial Kernel for Line Graph Deletion
3337 For example, what can be said about Unlabeled Whitney Switches on planar graphs? | Kernelization of Whitney Switches
3338 However, we do not know if it is FPT in k to decide, whether a graph admits a k-almost chordal tree decomposition. | Subexponential Parameterized Algorithms and Kernelization on Almost Chordal Graphs
3340 Finally, obtaining a constant approximation for the matroid version of the problem in polynomial time remains open. | Capacitated Sum-Of-Radii Clustering: An FPT Approximation
3346 Indeed, it is an open problem whether the running time for the hypergraph isomorphism problem can be improved to 2polylog ∣V ∣ ⋅ ∣H∣O(1) [2]. | Graph Isomorphism in Quasipolynomial Time Parameterized by Treewidth
3354 The only unresolved graph H on 4 vertices, for which the kernelization complexity of H-free Edge Editing problem remains open is the claw. | A Polynomial Kernel for Paw-Free Editing
3355 Is the analog of Directed Multiplicative Spanner for roundtrip spanners FPT? | Parameterized Complexity of Directed Spanner Problems
3356 While we have shown that proper T -graph recognition is FPT, it remains open whether non-proper T -graph recognition is FPT. | Recognizing Proper Tree-Graphs
