0478R Can exact fully dynamic APSP have edge-linear amortized updates and polylogarithmic queries? | Scalable Data Structures (Dagstuhl Seminar 21071)
4307 It remains open whether the answer relation of ECRPQs can be maintained on general graphs, even when only insertions are allowed. | Dynamic Graph Queries
4341 We leave as an open problem if it is possible to get constant time substring concatenation queries using O(r) space, which will also carry over […] | Dynamic Relative Compression, Dynamic Partial Sums, and Substring Concatenation
4362 In other words, our oracle is not inherently path-reporting, an we leave this point as a challenging open problem. | Compact and Fast Sensitivity Oracles for Single-Source Distances
4502 That is impossible for us here because by design we do not know a priori when we write ha in a dynamic sequence where (if […] | Leaving the Nest: Nominal Techniques for Variables with Interleaving Scopes
4885 Dynamic Deterministic Constant-Approximate Distance Oracles with n^{ε} Worst-Case Update Time — Explicit open question on PDF page 9 / Can one show a dynamic algorithm for maintaining strong lengthconstrained expander decomposition? | Dynamic Deterministic Constant-Approximate Distance Oracles with n^{ε} Worst-Case Update Time
5058 Deepening the (Parameterized) Complexity Analysis of Incremental Stable Matching Problems — Unresolved-question passage on page 13 / Moreover, it remains open whether ISR or ISM-T with complete preferences is polynomial-time solvable for a constant number of master lists. | Deepening the (Parameterized) Complexity Analysis of Incremental Stable Matching Problems
5084 Near-Optimal Deterministic Single-Source Distance Sensitivity Oracles — Explicit open question on PDF page 6 / It remains an open question whether one can obtain efficient deterministic SSRP algorithms in the vertex-failure scenario. | Near-Optimal Deterministic Single-Source Distance Sensitivity Oracles
5176 Parameterized Sensitivity Oracles and Dynamic Algorithms Using Exterior Algebras — Unresolved-question passage on page 17 / It is an open problem whether, in light of this, multiplication in this algebra can be reduced to below O(2ωk ). | Parameterized Sensitivity Oracles and Dynamic Algorithms Using Exterior Algebras
5209 Deterministic Partially Dynamic Single Source Shortest Paths in Weighted Graphs — Explicit open question on PDF page 2 / That is, we do not know how to do better than reconstructing from scratch after every edge update. | Deterministic Partially Dynamic Single Source Shortest Paths in Weighted Graphs
5278 The late-stage training dynamics of (stochastic) subgradient descent on homogeneous neural networks — Explicit open question on PDF page 2 / While the works of Lyu and Li (2020); Ji and Telgarsky (2020) provide key insights into the training dynamics of homogeneous networks, they leave open […] | The late-stage training dynamics of (stochastic) subgradient descent on homogeneous neural networks
5540 Escaping the Curse of Spatial Partitioning: Matchings with Low Crossing Numbers and Their Applications — Explicit open question on PDF page 3 / Furthermore, the actual construction running time is at least 264 · d2 n log n, not counting the typically large constants in the several complex […] | Escaping the Curse of Spatial Partitioning: Matchings with Low Crossing Numbers and Their Applications
5575 Dynamic PageRank: Algorithms and Lower Bounds — Explicit open question on PDF page 4 / It is an open question whether it is possible to design dynamic PageRank algorithms that bypass our lower bounds, for example, by not maintaining PageRank […] | Dynamic PageRank: Algorithms and Lower Bounds
5631 Approximating Dynamic Time Warping Distance Between Run-Length Encoded Strings — Explicit open question on PDF page 2 / It is known that, if x and y each contain k runs, then DTW(x, y) can be computed in O(k 3 ) time [21].1 It […] | Approximating Dynamic Time Warping Distance Between Run-Length Encoded Strings
5852 Fully Dynamic Spanners with Worst-Case Update Time — Explicit open question on PDF page 4 / However, we do not know how to extend our approach to sparser spanners with larger stretches since corresponding constructions usually need clusters of larger diameter […] | Fully Dynamic Spanners with Worst-Case Update Time
6203 Implicit Bias of Gradient Descent for Wide Two-layer Neural Networks Trained with the Logistic Loss — Explicit open question on PDF page 7 / Its proof relies, among other things, on a compatibility between the optimality conditions and the gradient flow dynamics, which is specific to the 2-homogeneous case. […] | Implicit Bias of Gradient Descent for Wide Two-layer Neural Networks Trained with the Logistic Loss
6477 Deterministic Fully Dynamic SSSP and More — Open Problem 2 / Can fully dynamic st-reachability be solved deterministically in subquadratic time? | Deterministic Fully Dynamic SSSP and More
6625P Deterministic fully dynamic connectivity with polylogarithmic worst-case updates | Research reference · arXiv 2510.08297
6626P Fully dynamic minimum spanning forest with polylogarithmic worst-case updates | Research reference · drops.dagstuhl.de
6627P Fully dynamic near-optimal matching with polylogarithmic updates | Research reference · pure.mpg.de
6670P Polylogarithmic maintenance of the exact global minimum cut | Deterministic and Exact Fully-dynamic Minimum Cut of Superpolylogarithmic Size in Subpolynomial Time
