0216 Elementary k-party disjointness communication protocols | SIGACT Open Problems Column
2263 We leave it as an open question if such a result is possible without relying on complexity assumptions (or using weaker ones), and if quantitative […] | Communication Complexity vs Randomness Complexity in Interactive Proofs
2332 What is the smallest c such that, for any Boolean function f , CGpub (f ) = O(CGpub c [1] (f ) )? | Certificate Games
2334 Is there a reasonable closure of γ2,B that is equivalent to γ2 in terms of its ability to bound functions in communication complexity? | The Strength of Equality Oracles in Communication
2343 Is there a Boolean matrix MN ×N with R(M ) = O(1) and ∥M ∥γ2 = N Ω(1) ? | Separation of the Factorization Norm and Randomized Communication Complexity
2397 We do not know if there exists a zebra function f for which C(f ) is polynomially larger than deg(f ). | Decision Tree Complexity Versus Block Sensitivity and Degree
2407 Whether or not longer protocols can be handled with constant rate, and whether computationally efficient schemes are possible, are two intriguing questions we leave open. | Protecting Single-Hop Radio Networks from Message Drops
2490 If N is a symmetric norm such that (Rk , ℓ∞ ) ̸,→ε (Rn , N ), then N admits an (O(ε), 1/3, k O(1) […] | Communication Complexity of Inner Product in Symmetric Normed Spaces
2647 Can the HEX and EAH functions be modified to a transitive functions, while preserving its desired complexity measures upto poly-logarithmic factors? | Separations Between Combinatorial Measures for Transitive Functions
2658 Is there a function η such that for every sign matrix A, we have rank± (A) ≤ η(m(A)−1 )? | Lower Bound Methods for Sign-Rank and Their Limitations
2664 Are low-influence directions (almost) irrelevant? | Convex Influences
2782 Interestingly, the Dolev-Reischuk lower bound [25] does not apply to Byzantine protocols satisfying weak validity; hence, we do not know whether Quad has optimal communication […] | Byzantine Consensus Is Θ(n²): The Dolev-Reischuk Bound Is Tight Even in Partial Synchrony!
2984 Near-linear gadget: m = Θ(n log n) Building off the intuition from our warm-up, what happens if δ is chosen to be subconstant? | Lifting with Sunflowers
3016 If even Conjecture 22 is false, is there an alternate way to prove the communication lower bound, perhaps adapting the technique of [17] to the […] | Towards Stronger Counterexamples to the Log-Approximate-Rank Conjecture
3023 The NOF communication complexity of exactly-N is o( log N ). | An Improved Protocol for the Exactly-N Problem
3058 Optimal strategies are exactly latin strategies. | Haystack Hunting Hints and Locker Room Communication
3146 The linear sketching model is more powerful, in general, than the edge-probe model, and we leave open the question of e 2 /k 4 ) […] | Average-Case Communication Complexity of Statistical Problems
3153 This still p leaves the following question open: do there exist Boolean functions f for which r(f ) = ω( k(f ))? | Tight Chang’s-Lemma-Type Bounds for Boolean Functions
3161 It is not clear if the quadratic factor loss in the simulation above is necessary and we leave it as an open question. | Communication Memento: Memoryless Communication Complexity
3281 The open question is therefore the following: is there a synchronous Byzantine agreement protocol that tolerates up to t < n/2 failures with an optimal […] | In Search for an Optimal Authenticated Byzantine Agreement
3316 We leave as an open problem whether Partial-MCCP can be reduced to minimizing communication complexity of total matrices. | NP-Hardness of Circuit Minimization for Multi-Output Functions
3345 First and foremost, we conjecture that the constant factor in Theorem 1.5 can be improved to 1/2 in correspondence with Theorem 1.6. | On the Degree of Boolean Functions as Polynomials over ℤ_m
3665 We do not know whether Theorem 10 can be extended to non-closed classes. | On Communication Complexity of Classification Problems
3716 Is it true that f must contain a monochromatic rectangle R of size |R| ≥ 2−O(c) 22n ? | Equality Alone Does not Simulate Randomness
3761 In particular, can we prove non-trivial ppCDS lower-bounds for predicates that have low randomized bounded-error communication complexity like Greater-Than? | Placing Conditional Disclosure of Secrets in the Communication Complexity Universe
3810 What is the relationship between αk (n, N ) and αk (n, N ) in the whole range n ≤ N ≤ (k − 1)(n […] | On the Communication Complexity of High-Dimensional Permutations
3811 First, how can one relax the restrictions that we impose on the general asynchronous model and still prove communication complexity lower bounds in a peer-to-peer […] | A New Approach to Multi-Party Peer-to-Peer Communication Complexity
3821 For example, can our result PPADScc * PPAcc be strengthened to SoMLcc * PPAcc ? | Adventures in Monotone Complexity and TFNP
3833 We conjecture that the lower bound of Theorem 4.7 is tight over the entire range of the parameters. | Lower Bounds for Approximating Graph Parameters via Communication Complexity
4058 Is there any α < 1 such that for any f : {0, 1}n × {0, 1}n → {0, 1}, D0hd (f ) ≤ αn […] | Half-Duplex Communication Complexity
4084 We conjecture that the INBA problem remains hard in M2 even in the unbounded-round setting. | Two-Party Direct-Sum Questions Through the Lens of Multiparty Communication Complexity
4091 Is the lower bound of Theorem 19 tight for all XOR functions? | A Lifting Theorem with Applications to Symmetric Functions
4174 We leave proving a lower bound under this weight function as an open problem. | Low-Sensitivity Functions from Unambiguous Certificates
4200 Moreover, is there an analogue of the protocol in Theorem 4 for non-product distributions? | The Power of Shared Randomness in Uncertain Communication
4270 In other words, is it true that a positive Boolean function of n relevant variables has n + 1 extremal points if and only if […] | Specifying a positive threshold function via extremal points
4330 In fact, we do not know how to prove this conjecture even if the density of X in X0 is allowed to be as high […] | Toward the KRW Composition Conjecture: Cubic Formula Lower Bounds via Communication Complexity
4438 We strengthen the latter result to show that PP 6⊆ UPostBPP . (Showing PP 6⊆ UPostBPP remains open.) In our proof, we make use of […] | The Landscape of Communication Complexity Classes
4522 What is the largest gap between QI=0 (f ) and RI=0 (f )? | Correlation in Hard Distributions in Communication Complexity
4596 How many distinct rows does Gs have? | New Bounds for the Garden-Hose Model
4888 On Inverse Theorems and Combinatorial Lines — Explicit open question on PDF page 2 / Third, we do not know whether the exponential dependency in Theorem 2 or the double exponential dependency in Theorem 1 is necessary. | On Inverse Theorems and Combinatorial Lines
4918 The Strength of Equality Oracles in Communication — Open Question 3 / Is there a function whose communication matrix would be lower bounded by log γ2 but not log γ2α ? | The Strength of Equality Oracles in Communication
4996 An Improved Protocol for ExactlyN with More Than 3 Players — Open Problem 3 / Give a corner-free set construction whose advantage over Rankin’s construction improves as k grows. | An Improved Protocol for ExactlyN with More Than 3 Players
5114 Representations of Monotone Boolean Functions by Linear Programs — Explicit open question on PDF page 7 / The converse problem, of determining whether the LS proof system polynomially simulates the cutting-planes proof system, remains open. | Representations of Monotone Boolean Functions by Linear Programs
5226 Lifting Dichotomies — Explicit open question on PDF page 9 / We do not know whether the lower bound is tight, even for h = x ∨ (y ∧ z). | Lifting Dichotomies
5283 Communication Complexity of Collision — Explicit open question on PDF page 2 / We conjecture that the O(N 1/4 log N )-bit protocol for BiColN is essentially optimal (up to logarithmic factors) for randomised protocols. | Communication Complexity of Collision
5284 Sample-Based Proofs of Proximity — Explicit open question on PDF page 5 / Note, however, that we do not know how to obtain communication complexity √ o( n) (unlike the case of IPPs). | Sample-Based Proofs of Proximity
5318 New Algebrization Barriers to Circuit Lower Bounds via Communication Complexity of Missing-String — Unresolved-question passage on page 10 / Can we strengthen Theorem 7 to hold for all of MAE instead of just “robust” MAE algorithms? | New Algebrization Barriers to Circuit Lower Bounds via Communication Complexity of Missing-String
5319 Haystack Hunting Hints and Locker Room Communication — Conjecture 24 / For every natural number n, there is an optimal strategy for Sn whose parts all contain exactly (n − 1)! permutations. | Haystack Hunting Hints and Locker Room Communication
5369 On Communication Complexity of Classification Problems — Explicit open question on PDF page 7 / We do not know whether the dependence on is tight, even for the basic class of half-planes. | On Communication Complexity of Classification Problems
5424 Trading Information Complexity for Error — Explicit open question on PDF page 14 / Finally let us remark that we do not know whether the bound in Theorem 7 is tight. | Trading Information Complexity for Error
5458 Communication Memento: Memoryless Communication Complexity — Unresolved-question passage on page 9 / Also, what is the complexity of the k-clique problem? | Communication Memento: Memoryless Communication Complexity
5459 Interplay Between Graph Isomorphism and Earth Mover’s Distance in the Query and Communication Worlds — Unresolved-question passage on page 16 / What is the randomized communication complexity of testing tolerant graph isomorphism problem? | Interplay Between Graph Isomorphism and Earth Mover’s Distance in the Query and Communication Worlds
5524 Communication Complexity with Small Advantage — Explicit open question on PDF page 4 / We conjecture that this communication upper bound is tight, i.e., R1/2+ (Tribes2,m ) ≥ √ Ω( m). | Communication Complexity with Small Advantage
5525 Placing Conditional Disclosure of Secrets in the Communication Complexity Universe — Unresolved-question passage on page 10 / Can any of the existing lower-bound techniques from communication complexity be used to obtain such bounds? | Placing Conditional Disclosure of Secrets in the Communication Complexity Universe
5562 Separation of the Factorization Norm and Randomized Communication Complexity — Question 4 / What is the largest c such that there exist Boolean matrices MN ×N with e2 (M ) ≤ polylog(N ) and ∥M ∥γ2 ≥ Ω(N […] | Separation of the Factorization Norm and Randomized Communication Complexity
5563 Lower Bounds for Approximating Graph Parameters via Communication Complexity — Unresolved-question passage on page 13 / Can Theorem 3.3 be applied to obtain any nontrivial (i.e., ω(1/ε)) lower bound for any “natural” graph problem in the dense graph property testing model? | Lower Bounds for Approximating Graph Parameters via Communication Complexity
5621 A Quadratic Lower Bound for Stable Roommates Solvability — Explicit open question on PDF page 4 / We leave it as an open question whether the lower bound can be improved to Ω(n2 log n) Boolean queries (i.e., a lower bound that […] | A Quadratic Lower Bound for Stable Roommates Solvability
5664 Overlay Network Construction: Improved Overall and Node-Wise Message Complexity — Explicit open question on PDF page 8 / The optimality of the hashing technique from King, Kutten, and Thorup [31] is much less well-known, and it remains open whether their communication complexity bound […] | Overlay Network Construction: Improved Overall and Node-Wise Message Complexity
5665 Communication with Partial Noiseless Feedback — Unresolved-question passage on page 14 / Is the bound Γdet (δ) ≥ f (δ) provided by Theorem 6 is tight? | Communication with Partial Noiseless Feedback
5751 Tight Bounds on the Fourier Spectrum of AC0 — Explicit open question on PDF page 4 / While the dependence of k on m and d is close to optimal, we conjecture that the dependence on ε could be much better.3 | Tight Bounds on the Fourier Spectrum of AC0
5754 Byzantine Consensus Is Θ(n2): The Dolev-Reischuk Bound Is Tight Even in Partial Synchrony! — Explicit open question on PDF page 1 / While it has been shown that the bound is tight in synchronous environments, it is still unknown whether a consensus protocol with quadratic communication complexity […] | Byzantine Consensus Is Θ(n2): The Dolev-Reischuk Bound Is Tight Even in Partial Synchrony!
5847 Open Problem: Information Complexity of VC Learning — Explicit open question on PDF page 2 / We conjecture that it is possible to attain CMI O(d) instead, that is, to prove that for any class with VC dimension d there exists […] | Open Problem: Information Complexity of VC Learning
5892 Lifting Theorems for Equality — Explicit open question on PDF page 3 / A classic example is the case of direct sum in communication complexity: a near-perfect direct sum result holds in the non-deterministic case [49, 38], but […] | Lifting Theorems for Equality
5970 On Query-To-Communication Lifting for Adversary Bounds — Explicit open question on PDF page 6 / For relations, we do not know how to compare CAdv(f )1/3 to deg(f g ), and therefore our lifting theorem gives something new, even in […] | On Query-To-Communication Lifting for Adversary Bounds
6009 Randomized Query Complexity of Sabotaged and Composed Functions — Explicit open question on PDF page 1 / A direct sum theorem is known to hold for deterministic and randomized query complexity [9], and two-player refereed games [17], is known to fail for […] | Randomized Query Complexity of Sabotaged and Composed Functions
6037 Correlation in Hard Distributions in Communication Complexity — Explicit open question on PDF page 10 / We mention here that the tight protocol for DISJ due to Aaronson and Ambainis [1] does not seem to work well for the small set […] | Correlation in Hard Distributions in Communication Complexity
6074 Communication Complexity of Set-Disjointness for All Probabilities — Explicit open question on PDF page 3 / In the converse direction, we do not know whether USBP is significantly more powerful than SBP (though a small separation is witnessed by the greater-than […] | Communication Complexity of Set-Disjointness for All Probabilities
6093 Distributed Query Monitoring through Convex Analysis: Towards Composable Safe Zones — Unresolved-question passage on page 16 / Important problems remain open for future research, mainly relating the quality of safe zones to actual guarantees on the communication cost of monitoring, and extending […] | Distributed Query Monitoring through Convex Analysis: Towards Composable Safe Zones
6118 Tight Bounds for Communication-Assisted Agreement Distillation — Explicit open question on PDF page 6 / Our methods imply a communication lower bound of (1 − s∗ (Y ; X))k − o(k) for an arbitrary channel, though we do not know […] | Tight Bounds for Communication-Assisted Agreement Distillation
6132 The Power of Shared Randomness in Uncertain Communication — Unresolved-question passage on page 11 / Namely, if k is the r-round certain communication, can we upper bound the r-round uncertain communication by some function of k, I and possibly r? | The Power of Shared Randomness in Uncertain Communication
6138 Improved Bounds on Fourier Entropy and Min-Entropy — Explicit open question on PDF page 4 / By the granularity of Fourier coefficients it is well-known that every Fourier coefficient of a Boolean function f is an integral multiple of 2−deg(f ) […] | Improved Bounds on Fourier Entropy and Min-Entropy
6198 The Information Complexity of Hamming Distance — Explicit open question on PDF page 4 / In fact, we do not know of any distribution μ and any function f that is balanced on μ which is not majority-hard for μ. […] | The Information Complexity of Hamming Distance
6450R A polynomial relation between classical and quantum communication for total functions | Quantum–Classical Equivalence for AND-Functions
6603R Log-rank conjecture for deterministic two-party communication | The Log-Rank Conjecture: New Equivalent Formulations
6604P The Fourier Entropy-Influence Conjecture | Research reference · arXiv 2502.13231
6605P The Aaronson-Ambainis Conjecture | Research reference · drops.dagstuhl.de
6664P The asymptotic Gotsman–Linial conjecture | The Gotsman–Linial Conjecture is False
