0546 Enumerating mutually diverse feasible solutions | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
2129 This direction is still an open problem even for CQ with union [14]. | Enumeration and Updates for Conjunctive Linear Algebra Queries Through Expressibility
2223 Is there a natural extension of the uniqueness/non-uniqueness phase transition to the case where min{β, γ} < 0? | Two-State Spin Systems with Negative Interactions
2266 Finally, since we found out that, for all q ≥ 3, the size of the smallest unsatisfiable (3, 1, q)-formula coincide with that of the […] | Small Unsatisfiable k-CNFs with Bounded Literal Occurrence
2297 Can our approach produce significant improvements for k-CNFs with k > 3? | Local Enumeration and Majority Lower Bounds
2327 Is there an algorithm for 4-cycle counting in time O(m ω+1 )? | Listing 4-Cycles
2353 How hard is it, given a hypergraph H and a number k, to determine whether ehw(H) ⩽ k? | Counting Homomorphisms from Hypergraphs of Bounded Generalised Hypertree Width: A Logical Characterisation
2492 For example, can we get a bound of the form O(k +log1.5 W ) in the fixed-window event-level DP setting or a bound of the […] | Private Counting of Distinct and k-Occurring Items in Time Windows
2495 It remains open whether enumeration on chordal graphs can be improved further, so we hereby pose it as an open problem, or whether one can […] | Roman Census: Enumerating and Counting Roman Dominating Functions on Graph Classes
2511 Does iterating our construction further show an operator nesting hierarchy in IFPC+WSC+I? | Witnessed Symmetric Choice and Interpretations in Fixed-Point Logic with Counting
2513 We leave this as an open question and prove a weaker bound of O( cn) queries. | Lower Bounds for Pseudo-Deterministic Counting in a Stream
2568 Is there is an algorithm to compute those more general generating functions, and what are their properties? | Pattern-Avoiding Binary Trees - Generation, Counting, and Bijections
2593 Does a similar result hold for Q2MLO as well? | More Than 0s and 1s: Metric Quantifiers and Counting over Timed Words
2617 Even though we conjecture that there is an infinite family, we want to clarify that we found examples in rank 4 and 6 which do […] | An Extension Theorem for Signotopes
2754 The complexity of vertex queries for larger subgraphs remains an open question. | Fully Dynamic Four-Vertex Subgraph Counting
2872 Can we achieve polynomial delay for any enumeration algorithm for minimal CDS? | Enumerating Minimal Connected Dominating Sets
2907 Is there a 1-pull Gray code for ordered trees? | Pop & Push: Ordered Tree Iteration in 𝒪(1)-Time
2949 Since fixing the number of states of Despot or People leads to improved complexity bounds, one may ask whether entropy games with a fixed number […] | Universal Complexity Bounds Based on Value Iteration and Application to Entropy Games
3037 For any computable pattern class H: If H has unbounded matching-split number, then the problem ⊕Sub(H) is ⊕W[1]-complete. | Modular Counting of Subgraphs: Matchings, Matching-Splittable Graphs, and Paths
3063 What about OMQs and CQSs based on other decidable classes of TGDs? | Answer Counting Under Guarded TGDs
3076 The more general question of computing permanent over arbitrary commutative rings of characteristic 2k for k ≥ 2 still remains open. | Parallel Polynomial Permanent Mod Powers of 2 and Shortest Disjoint Cycles
3151 It remains open whether the problem of enumerating equivalence classes is hard without this restriction. | A General Framework for Enumerating Equivalence Classes of Solutions
3173 Are there natural extensions of the parametrization that allow for better results? | An Optimal Algorithm for Triangle Counting in the Stream
3339 That is, can it be solved in time f (r)(mn)O(1) for some computable function f ? | On the Complexity of Recovering Incidence Matrices
3406 Second, we could lift the arity restriction and work on signatures of arbitrary arity: we conjecture that PQE is still #P-hard for any unbounded UCQ∞ […] | A Dichotomy for Homomorphism-Closed Queries on Probabilistic Graphs
3411 We leave it as an open question to determine the complexity of verifying a correct application of the semantic weakening in case char(R) = 3 […] | Resolution with Counting: Dag-Like Lower Bounds and Different Moduli
3592 Analogously, the question of counting irreducible factors modulo a prime-power also remains open; no efficient method is known even in the randomized setting. | Counting Basic-Irreducible Factors Mod p^k in Deterministic Poly-Time and p-Adic Applications
3686 We conjecture that the answer to both questions is negative, since the defining logic has closure properties that make it unlikely to contain counting versions […] | Counting of Teams in First-Order Team Logics
3707 It remains open whether a polynomial delay algorithm exists for these classes. | Enumerating Minimal Dominating Sets in Triangle-Free Graphs
3756 If not, can one show a complexity theoretic hardness of evaluating the commutative determinant polynomial? | On Explicit Branching Programs for the Rectangular Determinant and Permanent Polynomials
3850 Closing the small gap between the upper and lower bounds for the query setting remains open. | Searching a Tree with Permanently Noisy Advice
3949 Note that this question remains open even if we choose the unary encoding for i. | Consistency for Counting Quantifiers
3961 For instance, is computing the permanent of an orthogonal matrix modulo a prime p hard for all p 6= 2, 3? | New Hardness Results for the Permanent Using Linear Optics
4038 What is the exact complexity of finding such a solution, however, is still an open question: we know from [2] that this problem is NP-hard […] | Tracks from hell - when finding a proof may be easier than checking it
4096 But in Holant problems, generally we do not know how to realize or simulate them. | The Complexity of Holant Problems over Boolean Domain with Non-Negative Weights
4122 Nevertheless, a number of key problems remain open and we end by highlighting some significant ones. | Towards Tighter Space Bounds for Counting Triangles and Other Substructures in Graph Streams
4161 Finally, it remains open how to apply the Frobenius normal form in the weighted directed graphs with small, integer weights {−M, . . . , […] | Improved Distance Queries and Cycle Counting by Frobenius Normal Form
4369 We conjecture tractability in this case – but this has to be proved yet. | On the Complexity of Enumerating the Answers to Well-designed Pattern Trees
4401 On another note, can we prove C= P-completeness for other “equality-testing” versions of counting problems? | Parity Separation: A Scientifically Proven Method for Permanent Weight Loss
4537 How far can the Euler tour result be extended? | Counting Euler Tours in Undirected Bounded Treewidth Graphs
4605 We must avoid counting “inconsistent” homomorphisms that, for example, map the first vertex to s and the second to π(t) because we do not know […] | Counting Homomorphisms to Cactus Graphs Modulo 2
4612 We do not know if it is possible to simulate Muchnik iteration directly using βδ-reduction. | Evaluation is MSOL-compatible
4903 Semialgebraic Range Stabbing, Ray Shooting, and Intersection Counting in the Plane — Explicit open question on PDF page 2 / However, somewhat mysteriously, even if the extreme cases are almost tight, it is unknown whether the trade-off is close to optimal. | Semialgebraic Range Stabbing, Ray Shooting, and Intersection Counting in the Plane
4904 Roman Hitting Functions — Explicit open question on PDF page 1 / For more than four decades, the question if all minimal hitting sets can be enumerated with polynomial delay is an open question. | Roman Hitting Functions
4922 An Extension Theorem for Signotopes — Explicit open question on PDF page 2 / The existence of an extension theorem or of counterexamples in higher dimensions/ranks remains open. | An Extension Theorem for Signotopes
5076 Two-State Spin Systems with Negative Interactions — Unresolved-question passage on page 11 / Does there exist some ε > 0 such that approximating ZG is tractable whenever min{β, γ} 2 − ε? | Two-State Spin Systems with Negative Interactions
5092 Approximation via Correlation Decay When Strong Spatial Mixing Fails — Explicit open question on PDF page 4 / It is still an open question to give a correlation decay based FPTAS for the ferromagnetic Ising model. | Approximation via Correlation Decay When Strong Spatial Mixing Fails
5122 On the Symmetries of and Equivalence Test for Design Polynomials — Explicit open question on PDF page 4 / We do not know if NW has a self-reducible property like the permanent, but its symmetries are powerful enough to imply the above result. | On the Symmetries of and Equivalence Test for Design Polynomials
5250 Testable Algorithms for Approximately Counting Edges and Triangles in Sublinear Time and Space — Explicit open question on PDF page 5 / We also note that lower bounds do not directly transfer between the two models, and so it remains open as to whether the space bounds […] | Testable Algorithms for Approximately Counting Edges and Triangles in Sublinear Time and Space
5299 Improved Space Bounds for Subset Sum — Unresolved-question passage on page 8 / It is unknown to us, but we may assume that we know its size: there are just n possibilities for |S|, so with a polynomial […] | Improved Space Bounds for Subset Sum
5359 Enumeration Classes Defined by Circuits — Unresolved-question passage on page 11 / 5.2 Conditional Separation for Classes with Precomputation If precomputation is allowed, the separation proofs of the previous subsection no longer work; in fact we do […] | Enumeration Classes Defined by Circuits
5387 Transience in Countable MDPs — Explicit open question on PDF page 1 / It is an open question whether it generalizes to countable stochastic 2-player games. (However, it is easy to see that the adversary needs infinite memory […] | Transience in Countable MDPs
5388 Answer Counting Under Guarded TGDs — Unresolved-question passage on page 20 / For treewidth, we leave open decidability of the meta problem and only observe that it behaves differently from contract treewidth and starsize in that obtaining […] | Answer Counting Under Guarded TGDs
5389 The Complexity of Aggregates over Extractions by Regular Expressions — Explicit open question on PDF page 7 / Second, if the spanner is not unambiguous then, due to #P-completeness of Count, we do not know an efficient algorithm for its exact computation (and […] | The Complexity of Aggregates over Extractions by Regular Expressions
5447 Lower Bounds for Pseudo-Deterministic Counting in a Stream — Explicit open question on PDF page 1 / It remains open whether poly(log n) queries suffice; if true, then our techniques immediately imply a nearly-tight Ω(log n/ log log n) space bound for […] | Lower Bounds for Pseudo-Deterministic Counting in a Stream
5448 Witnessed Symmetric Choice and Interpretations in Fixed-Point Logic with Counting — Explicit open question on PDF page 5 / Although it is unknown whether these two variants of witnessed symmetric choice have the same expressiveness, existing results [15, 9] transfer to the variant used […] | Witnessed Symmetric Choice and Interpretations in Fixed-Point Logic with Counting
5586 Thinking Algorithmically About Impossibility (Invited Talk) — Explicit open question on PDF page 1 / Yet for practically all of the prominent lower bound problems, we do not know how to begin proving them true – we do not even […] | Thinking Algorithmically About Impossibility (Invited Talk)
5745 Counting Polygon Triangulations is Hard — Unresolved-question passage on page 14 / Can this be done, either by strengthening the type of reduction used for the underlying graph problem that we reduce from (independent sets in regular […] | Counting Polygon Triangulations is Hard
5767 Universal Complexity Bounds Based on Value Iteration and Application to Entropy Games — Explicit open question on PDF page 2 / The complexity of entropy games without restrictions on the number of (significant) Despot positions is an open problem. | Universal Complexity Bounds Based on Value Iteration and Application to Entropy Games
5962 Improved Algorithms and Combinatorial Bounds for Independent Feedback Vertex Set — Unresolved-question passage on page 12 / Could we close the gap (or even bring closer) between the upper bound and the lower bounds on the number of minimal ifvses in any […] | Improved Algorithms and Combinatorial Bounds for Independent Feedback Vertex Set
5980 The Complexity of Holant Problems over Boolean Domain with Non-Negative Weights — Explicit open question on PDF page 2 / It still remains open whether a complete dichotomy exists, since the definition of Holant problems does not require that constraint functions be symmetric. | The Complexity of Holant Problems over Boolean Domain with Non-Negative Weights
6068 Approximately Counting Independent Sets of a Given Size in Bounded-Degree Graphs — Explicit open question on PDF page 5 / Our algorithm for approximating the number of independent sets of a given size uses randomness, but we conjecture that there is a deterministic algorithm that […] | Approximately Counting Independent Sets of a Given Size in Bounded-Degree Graphs
6628P An FPRAS for perfect matchings in general graphs | Research reference · arXiv 1712.07504
6629P A deterministic FPTAS for the nonnegative permanent | Research reference · arXiv 2608.28031
6671P An FPRAS for counting undirected Euler tours | Mary Cryan — Euler-tours of low-height toroidal grids (SCM 2024)
