0024 Frege lower bounds from circuit hardness | Mathematics and Computation (2018 draft)
2140 It is an open problem to match our lower bounds for a CNF tautology. | New Lower Bounds for Polynomial Calculus over Non-Boolean Bases
2203 Are there Sherali-Adams proofs for the ordering principle with polynomial total coefficient size? | Bounds on the Total Coefficient Size of Nullstellensatz Proofs of the Pigeonhole Principle
2238 How does MaxSAT-Resolution + iSR compare with MaxSAT-Resolution+cost-SR from [8]? | MaxSAT Resolution with Inclusion Redundancy
2323 What is the PC degree of testing isomorphism of tensors of bounded border-rank? | On the Algebraic Proof Complexity of Tensor Isomorphism
2380 Unfortunately, we do not know how strong the system EPC3 is, and in particular, if the degree-restriction is a true limitation. | Finite Model Theory and Proof Complexity Revisited: Distinguishing Graphs in Choiceless Polynomial Time and the Extended Polynomial Calculus
2445 Yet, we leave open whether mLD-Q-Res is strictly weaker than or equivalent to long-distance Q-resolution. | QCDCL vs QBF Resolution: Further Insights
2468 We conjecture that by using a multifocused version of the LJF proof system, we should be able to prove that maximal multifocused LJF proofs correspond […] | A Positive Perspective on Term Representation (Invited Talk)
2571 Can we similarly characterize the class of communication problems corresponding to non-monotone KW games? | TFNP Characterizations of Proof Systems and Monotone Circuits
2739 How can we choose a random permutation from it that maps the indices Q to the indices S? | Sample-Based Proofs of Proximity
2881 Can we get double efficiency with a similar verifier time? | More Verifier Efficient Interactive Protocols for Bounded Space
2889 Is it true that CSpace ≈ log ST or MSpace ≈ log ST ? | Space Characterizations of Complexity Measures and Size-Space Trade-Offs in Propositional Proof Systems
3121 First, is there an extension-based proof of the t round lower bound for solving k-set agreement among n > kt + 1 processes if at […] | Extension-Based Proofs for Synchronous Message Passing
3183 Do we necessarily need large coefficients in some Res-LinB refutations with a small number of lines? | A Lower Bound for Polynomial Calculus with Extension Rule
3219 Can we even find a separation between QCDCLARED NY-ORD and long-distance Q-resolution, or are the systems possibly even equivalent? | Understanding the Relative Strength of QBF CDCL Solvers and QBF Resolution
3329 The proofs of Lemma 27 seem to be inherently dag-like, and we do not know if there are polynomial-size Tree-eLDT proofs for those sequents. | Proof Complexity of Systems of (Non-Deterministic) Decision Trees and Branching Programs
3333 We leave open the precise complexity of the Skolem problem for PolyRat. | A Robust Class of Linear Recurrence Sequences
3397 We do not know whether there is an example of an infinite Kripke frame K and a model (K, ≤, D) based on K that […] | De Jongh’s Theorem for Intuitionistic Zermelo-Fraenkel Set Theory
3459 Can we prove SOS lower bounds for the graph ordering principle on expanders? | Sum of Squares Bounds for the Ordering Principle
3560 However, for these proof systems the question of whether the conversion from small size to small degree can be achieved without blowing up the size […] | Trade-Offs Between Size and Degree in Polynomial Calculus
3593 Most importantly, is the O( n log(s) + kw) upper bound in the degree-reduction lemma tight? | Size-Degree Trade-Offs for Sums-of-Squares and Positivstellensatz Proofs
3844 For MLL1 , we conjecture that “having the same expansion tree” (i.e., same events and term annotations) is actually a congruence, yielding a ∗-autonomous hyperdoctrine. | The True Concurrency of Herbrand's Theorem
3919 That is, is it possible to prove that any SP refutation of length l can be simulated by an SP planes refutation of size poly(l, […] | Stabbing Planes
3938 It is an open question how to incorporate such more general preorders into our theory. | Basic Operational Preorders for Algebraic Effects in General, and for Combined Probability and Nondeterminism in Particular
3951 The presented algorithms for computing dependency elimination orderings leave open the question of whether this problem admits a fixed-parameter algorithm (parameterized by dependency treewidth). | Small Resolution Proofs for QBF using Dependency Treewidth
4053 For example, a binary function on integers would have the type Int → Int → ↑ Int, which only computes when both arguments are given, […] | Beyond Polarity: Towards a Multi-Discipline Intermediate Language with Sharing
4082 But so far, we do not know how to prove such a result. | Slicewise Definability in First-Order Logic with Bounded Quantifier Rank
4090 We also leave open the question of finding formulas which have alternation hardness precisely Σbk for odd k > 3. | Reasons for Hardness in QBF Proof Systems
4157 Strictly speaking, the semantic versions are not even propositional proof system in the sense of Cook and Reckhow [19], since we do not know how […] | Cumulative Space in Black-White Pebbling and Resolution
4220 Can we formalize expanders in a weaker theory than VNC1 , e.g., the system of TC0 reasoning? | Expander Construction in VNC1
4244 We conjecture that the techniques and results introduced in this paper make it possible to develop congruence formats with lookahead for ready simulation and the […] | Precongruence Formats with Lookahead through Modal Decomposition
4245 Most importantly, we do not know whether winning regions in parity games can be computed in polynomial time, but we do not expect that this […] | The Model-Theoretic Expressiveness of Propositional Proof Systems
4332 Finding an exact solution for the general case remains an open problem, and as a next step, we would like to investigate whether it is […] | Hedging Bets in Markov Decision Processes
4371 However, we conjecture that the negative picture also prevails for these systems. | Are Short Proofs Narrow? QBF Resolution is not Simple
4389 What about developing the Wagner hierarchy (see [14, Chapter V.6])? | The Logical Strength of Büchi's Decidability Theorem
4431 It seems plausible that our Theorem 4.5 could be adapted to show that all templates of unbounded width give themselves a non-homogenizable class of locally-consistent […] | Non-Homogenizable Classes of Finite Structures
4433 For example, the experiments we conducted suggest that hpu vq can be bounded by hpuq ` hpvq when u, v are words, however we do […] | The Height of Piecewise-Testable Languages with Applications in Logical Complexity
4452 Can the lower bounds on roABP-IPSLIN and multilinear-formula- IPSLIN from Theorem 4.7 be extended to (tree-like or dag-like) PC over roABPs ([56]) and PC over […] | Proof Complexity Lower Bounds from Algebraic Circuit Complexity
4475 In the uniform case, we should of course obtain P, whereas we conjecture that the full parsimonious system F captures exactly primitive recursion. | Simple Parsimonious Types and Logarithmic Space
4476 For such programs the status of history independence and emptiness of consistent remains open. | Static Analysis for Logic-based Dynamic Programs
4492 Is it possible to use the technique for different types of QBFs even for unconditional lower bounds for stronger QBF proof systems? | Proof Complexity of Resolution-based QBF Calculi
4514 At this time, it is unknown whether this can be used to fill in the missing parts of Figure 2. | Functions out of Higher Truncations
4534 For example, what kind of properties does a variant of their partition games have for infinitary logics with solvability quantifiers? | Rank Logic is Dead, Long Live Rank Logic!
4539 Are those proof systems consistent with SETH? | Strong ETH and Resolution via Games and the Multiplicity of Strategies
4559 In this context, it might be worth to point out that the problem of establishing proof size lower bounds for k-clique formulas for constant k, […] | Tight Size-Degree Bounds for Sums-of-Squares Proofs
4561 By doing so, we can hope to sharpen our completeness result on EFD by extended it to regular designs for which we conjecture a similar […] | Least and Greatest Fixed Points in Ludics
4566 Another interesting question concerns the decision problems left open in Section 6: can one decide if Player I has an omnipotent o.t. (l.c., i.o.t.) strategy […] | What are Strategies in Delay Games? Borel Determinacy for Games with Lookahead
4585 As an example of a question about resolution space that still remains open, suppose we are given a k-CNF formula that is guaranteed to be […] | From Small Space to Small Width in Resolution
4611 Is there an m such that FO2 (+1l1 , . . . , +1lm ) is undecidable? | Two-Variable Logic on 2-Dimensional Structures
4616 5 Deciding special cases of cost function equivalence 5.1 Special cases of cost function equivalence over infinite trees Although we do not know how to […] | Deciding the weak definability of Büchi definable tree languages
4630 How can we force an axiom link to relate X with a ∼X (and not a Y , nay another X)? | Three lightings of logic (Invited Talk)
4631 For example, is there any natural union-closed dependency notion D such that FO(⊆, D) defines all Σ11 unionclosed properties of relations? | Inclusion Logic and Fixed Point Logic
4785 On the Algebraic Proof Complexity of Tensor Isomorphism — Open Question 7.3 / What is the PC complexity (size, degree, etc.) of matrix conjugacy? | On the Algebraic Proof Complexity of Tensor Isomorphism
4868 Separations in Proof Complexity and TFNP — Unresolved-question passage on page 9 / Unfortunately, we do not know how to design an ideal reduction for S O PL. | Separations in Proof Complexity and TFNP
4884 Hardness of Approximation for Stochastic Problems via Interactive Oracle Proofs — Explicit open question on PDF page 5 / Does every language in AM[k] have a k-round (public-coin) IOP with constant query complexity over the binary alphabet? | Hardness of Approximation for Stochastic Problems via Interactive Oracle Proofs
4919 Symmetric Proofs in the Ideal Proof System — Explicit open question on PDF page 5 / It properly extends the expressive power of FPC and it remains an open question whether it can express all polynomial-time decidable properties of finite structures. | Symmetric Proofs in the Ideal Proof System
4920 Better Extension Variables in DQBF via Independence — Explicit open question on PDF page 1 / We know that in propositional logic, extended resolution can p-simulate a multitude of disparate techniques, and lower bounds to extended resolution remain an open problem. | Better Extension Variables in DQBF via Independence
4938 Polynomial Calculus for Quantified Boolean Logic: Lower Bounds Through Circuits and Degree — Unresolved-question passage on page 13 / We leave open whether similar characterisations can be obtained for daglike systems Q-P on formulas with unbounded alternation depth. | Polynomial Calculus for Quantified Boolean Logic: Lower Bounds Through Circuits and Degree
4964 QCDCL vs QBF Resolution: Further Insights — Unresolved-question passage on page 12 / However, we leave open the question whether long-distance Q-resolution is stronger than or equivalent to mLD-Q-Res. | QCDCL vs QBF Resolution: Further Insights
4971 New Distributed Interactive Proofs for Planarity: A Matter of Left and Right — Open Question 1 / Is it possible to obtain a constant round protocol for planarity with a proof size of O(log log n) even on graphs with maximum degree […] | New Distributed Interactive Proofs for Planarity: A Matter of Left and Right
4982 Learning Algorithms Versus Automatability of Frege Systems — Explicit open question on PDF page 2 / However, while some progress on the opposite implications has been made, they remain open, cf. [2, 33]. | Learning Algorithms Versus Automatability of Frege Systems
5026 Tropical Proof Systems: Between R(CP) and Resolution — Unresolved-question passage on page 19 / Can we quasipolynomially simulate treelike Res(LP) in CP? | Tropical Proof Systems: Between R(CP) and Resolution
5056 Probabilistic Checking Against Non-Signaling Strategies from Linearity Testing — Explicit open question on PDF page 7 / The question of whether the exponential-length constant-query PCP of [1] is sound against O(1)-non-signaling functions remains open. | Probabilistic Checking Against Non-Signaling Strategies from Linearity Testing
5057 Bounds on the Total Coefficient Size of Nullstellensatz Proofs of the Pigeonhole Principle — Unresolved-question passage on page 13 / Can we prove a total coefficient size lower bound on Nullstellensatz when there are m pigeons where m ≥ n + 2? | Bounds on the Total Coefficient Size of Nullstellensatz Proofs of the Pigeonhole Principle
5083 Finite Model Theory and Proof Complexity Revisited: Distinguishing Graphs in Choiceless Polynomial Time and the Extended Polynomial Calculus — Unresolved-question passage on page 18 / Is there an algorithm that can find EPC3 -refutations (for graph isomorphism) and can be implemented in CPT? | Finite Model Theory and Proof Complexity Revisited: Distinguishing Graphs in Choiceless Polynomial Time and the Extended Polynomial Calculus
5115 Space Characterizations of Complexity Measures and Size-Space Trade-Offs in Propositional Proof Systems — Unresolved-question passage on page 17 / Is there a constant k > 0 such that log ST,Res(k) ≈ Res(k)Space or at least log ST,Res(k) ⪯ CSpace? | Space Characterizations of Complexity Measures and Size-Space Trade-Offs in Propositional Proof Systems
5150 Proof Complexity of Systems of (Non-Deterministic) Decision Trees and Branching Programs — Unresolved-question passage on page 12 / This is a non-uniform analogue of L “ P (i.e., log-space equals polynomial time) and, of course, is an open question. | Proof Complexity of Systems of (Non-Deterministic) Decision Trees and Branching Programs
5151 Understanding the Relative Strength of QBF CDCL Solvers and QBF Resolution — Unresolved-question passage on page 18 / Can we find a separation between QCDCLRAED SS-R-ORD and long-distance Q-resolution? | Understanding the Relative Strength of QBF CDCL Solvers and QBF Resolution
5259 Expander Construction in VNC1 — Explicit open question on PDF page 3 / It remains an open problem whether tree-like MLK can polynomially simulate MLK, equivalently whether tree-like MLK can polynomially simulate LK on monotone sequents. | Expander Construction in VNC1
5275 On the Power and Limitations of Branch and Cut — Unresolved-question passage on page 26 / As a first step towards both of these, can one prove a supercritical size-depth tradeoff for a weaker proof system such as resolution? | On the Power and Limitations of Branch and Cut
5276 Graph Colouring is Hard for Algorithms Based on Hilbert's Nullstellensatz and Gröbner Bases — Unresolved-question passage on page 17 / Does polynomial calculus require large degree to certify non-k-colourability of such graphs with high probability? | Graph Colouring is Hard for Algorithms Based on Hilbert's Nullstellensatz and Gröbner Bases
5277 The Quasi-Polynomial Low-Degree Conjecture is False — Explicit open question on PDF page 1 / It can also be interpreted as the degree-D truncation of the 1 To highlight this difficulty, note that we do not know how to reduce […] | The Quasi-Polynomial Low-Degree Conjecture is False
5289 Proof Systems Based on Structured Circuits — Explicit open question on PDF page 7 / To be more precise, given two SDDs D1 , D2 with vtrees (T1 , b1 ) ̸= (T2 , b2 ) it is unknown whether […] | Proof Systems Based on Structured Circuits
5290 Lower Bounds on Pure Dynamic Programming for Connectivity Problems on Graphs of Bounded Path-Width — Explicit open question on PDF page 2 / For example, in extremal combinatorics, it is an open question in various settings whether combinatorial proofs exist that match algebraic proofs (for example, a combinatorial […] | Lower Bounds on Pure Dynamic Programming for Connectivity Problems on Graphs of Bounded Path-Width
5291 Efficient Adversaries — Explicit open question on PDF page 13 / We do not know how to improve the conclusion in Proposition 10 (Item 2) into a P -refutation of Φ catching the adversary, but we […] | Efficient Adversaries
5292 Recursive Jump Operators and Optimal Proof Systems — Explicit open question on PDF page 3 / Hence, for most sets we do not know whether they have optimal proof systems and proving their existence would require to overcome at least the […] | Recursive Jump Operators and Optimal Proof Systems
5293 Hardness of Range Avoidance and Proof Complexity Generators from Demi-Bits — Unresolved-question passage on page 16 / While we do not know if Res[⊕] (resolution over linear equations modulo 2 [36]) is closed under low-degree algebraic reductions, it is straightforward to prove […] | Hardness of Range Avoidance and Proof Complexity Generators from Demi-Bits
5332 Proof Complexity and Its Relations to SAT Solving (Invited Talk) — Explicit open question on PDF page 1 / While it is now known and well understood that fully automating propositional Resolution as a proof system for propositional logic is NP-hard, it remains an […] | Proof Complexity and Its Relations to SAT Solving (Invited Talk)
5333 The Space Complexity of Cutting Planes Refutations — Unresolved-question passage on page 14 / Can every unsatisfiable CNF be refuted in CP in linear total space? | The Space Complexity of Cutting Planes Refutations
5354 On Equivalence of Parameterized Inapproximability of k-Median, k-Max-Coverage, and 2-CSP — Explicit open question on PDF page 2 / The analogue of (the resolution of) PIH in the NP-world is the celebrated PCP theorem [2, 1, 17], and thus positively resolving PIH is also […] | On Equivalence of Parameterized Inapproximability of k-Median, k-Max-Coverage, and 2-CSP
5380 A Degree 4 Sum-Of-Squares Lower Bound for the Clique Number of the Paley Graph — Explicit open question on PDF page 2 / The problem remains open, but, perhaps surprisingly, evidence has accumulated that such an algorithm does not exist [28, 17]. | A Degree 4 Sum-Of-Squares Lower Bound for the Clique Number of the Paley Graph
5413 The Power of Small Symmetries — Explicit open question on PDF page 1 / While proving superpolynomial proof-size lower bounds for Resolution with dynamic symmetries remains an open problem already for two decades, the power of proof systems with […] | The Power of Small Symmetries
5414 Delegation for Search Problems — Explicit open question on PDF page 3 / While in general we do not know how to check which (if any) of the solutions is valid, in cases for which there is an […] | Delegation for Search Problems
5438 Conditional Autarkies: Hard Formulas Made Easy — Unresolved-question passage on page 17 / Are redundancy based systems (SBC− /PR− /...) able to give polynomial size refutations of the perfect matching principle on expander graphs, either on the random […] | Conditional Autarkies: Hard Formulas Made Easy
5468 Communication Complexity vs Randomness Complexity in Interactive Proofs — Unresolved-question passage on page 10 / Unfortunately, we do not know how to construct an AM/poly protocol that certifies injectivity, however, we can use an approximate version of this property that […] | Communication Complexity vs Randomness Complexity in Interactive Proofs
5499 Resolution Lower Bounds for Refutation Statements — Explicit open question on PDF page 2 / However, they leave the lower bound problem for REFF Res,s as an open question, and in place of REFFRes,s they use in the proof a […] | Resolution Lower Bounds for Refutation Statements
5500 Tighter MA/1 Circuit Lower Bounds from Verifier Efficient PCPs for PSPACE — Explicit open question on PDF page 2 / For now we would like to stress that: (1) under plausible complexity assumptions the upper bound a is in fact super-constant in n; (2) even […] | Tighter MA/1 Circuit Lower Bounds from Verifier Efficient PCPs for PSPACE
5501 Sum-Of-Squares Lower Bounds for the Minimum Circuit Size Problem — Explicit open question on PDF page 1 / Despite many years of research, we do not know whether this problem is NP-hard. | Sum-Of-Squares Lower Bounds for the Minimum Circuit Size Problem
5538 Regularization of Low Error PCPs and an Application to MCSP — Unresolved-question passage on page 13 / Can we show NP-hardness of MCSP∗ under circuit lower bound assumptions, such as the assumption that E cannot be computed by non-deterministic circuits of size […] | Regularization of Low Error PCPs and an Application to MCSP
5573 A Lower Bound for Polynomial Calculus with Extension Rule — Explicit open question on PDF page 3 / However, the question about proving a superpolynomial lower bound even on the size of ΣΠΣ-PC refutations over any field remains open since it is not […] | A Lower Bound for Polynomial Calculus with Extension Rule
5574 Emptiness Problems for Integer Circuits — Unresolved-question passage on page 12 / Finding a decision algorithm and proving its correctness is at least as difficult as showing that Goldbach’s conjecture is provable or refutable, which is an […] | Emptiness Problems for Integer Circuits
5932 Proof Complexity Lower Bounds from Algebraic Circuit Complexity — Unresolved-question passage on page 13 / Finally, we leave open the question of extending our results from lower bounds on the “static” IPS to lower bounds on a “dynamic” algebraic proof […] | Proof Complexity Lower Bounds from Algebraic Circuit Complexity
5933 AC0[p]-Frege Cannot Efficiently Prove That Constant-Depth Algebraic Circuit Lower Bounds Are Hard — Explicit open question on PDF page 4 / Some progress on this question has been made in recent work [5, 23, 26], but it remains open whether there are unsatisfiable CNF formulas (or […] | AC0[p]-Frege Cannot Efficiently Prove That Constant-Depth Algebraic Circuit Lower Bounds Are Hard
5977 A Generalized Method for Proving Polynomial Calculus Degree Lower Bounds — Unresolved-question passage on page 19 / In particular, can our framework or some modification of it prove a lower bound for refuting the formulas encoding that a graph does not contain […] | A Generalized Method for Proving Polynomial Calculus Degree Lower Bounds
6015 Public Coin Interactive Proofs for Label-Invariant Distribution Properties — Explicit open question on PDF page 3 / Our protocol for this 4/3 problem achieves c · s = O(N ), and the question of whether there exists a more efficient e public-coin […] | Public Coin Interactive Proofs for Label-Invariant Distribution Properties
6201 A Hierarchy Theorem for Interactive Proofs of Proximity — Explicit open question on PDF page 5 / However, we do not know how to prove a corresponding lower bound, which is the reason that we set the modulus in our construction to […] | A Hierarchy Theorem for Interactive Proofs of Proximity
6455R Doubly efficient IP = PSPACE for the full time range | Towards a Doubly Efficient IP=PSPACE
6601R Do some tautologies require superpolynomial Extended Frege proofs? | The Relative Efficiency of Propositional Proof Systems
6602P Superpolynomial AC0[p]-Frege lower bounds | Research reference · drops.dagstuhl.de
6663P Frege versus Extended Frege | Proof Complexity Mini-tutorial — Samuel Buss
