0013 Efficient explicit constant-rate tree codes | Mathematics and Computation (2018 draft)
3224 More generally, is it possible to come up with non-black-box techniques that circumvent the limitations? | Query Complexity Lower Bounds for Local List-Decoding and Hard-Core Predicates (Even for Small Rate and Huge Lists)
3227 What are the optimal achievable parameters for contextually unique decoding? | Error Correcting Codes for Uncompressed Messages
3246 What are alternatives to the present strategy of combining the Aizenman-Sims-Starr scheme with the interpolation method? | Inference and Mutual Information on Random Factor Graphs
3347 The implication problem for Conditional Independence statements has been extensively studied in the literature, but its complexity remains an open problem. | Decision Problems in Information Theory
3457 How can we obtain near optimal linear codes? | Near-Optimal Erasure List-Decodable Codes
3513 Given any adversarial channel, when we are “below the Plotkin point” (i.e., there are non-confusable CP distributions), can we construct explicit codes of positive rate? | Generalized List Decoding
3693 Thus, it is an open question whether or not our bound is tight or whether one can do better. √ 2. | Lifted Multiplicity Codes and the Disjoint Repair Group Property
3835 We conjecture that analogous results, and in particular list-decoding random linear codes with list size C/ε for C < 1, hold over larger alphabets. | Improved List-Decodability of Random Linear Binary Codes
3871 Is the same bound true for protocols with private sources of random bits? | An Operational Characterization of Mutual Information in Algorithmic Information Theory
3921 Does it coincide with its upper bound C(x | y∗) for arbitrary x and y, or with its lower bound, the minimal upper semicomputable function […] | Plain Stopping Time and Conditional Complexities Revisited
4467 We leave the question of whether Γdet (δ) = 1/3 for all δ as an open problem. | Communication with Partial Noiseless Feedback
4524 For binary codes, what is the supremum p∗ of all fractions p of adversarial deletions for which one can have positive rate? | Deletion Codes in the High-noise and High-rate Regimes
4572 Assuming it is combinatorially feasible, can we give an efficient algorithm to list-decode Gabidulin codes without using subcodes or special evaluation points? | Evading Subspaces Over Large Fields and Explicit List-decodable Rank-metric Codes
4776 Maximally Extendable Product Codes are Good Coboundary Expanders — Explicit open question on PDF page 5 / 10 It is still unknown how to construct LTCs with arbitrary dimension. | Maximally Extendable Product Codes are Good Coboundary Expanders
4802 Binary Codes with Resilience Beyond 1/4 via Interaction — Explicit open question on PDF page 1 / Finding the maximal noise tolerance of (constant rate or even zero-rate) binary two-way codes is an intriguing question we leave open. | Binary Codes with Resilience Beyond 1/4 via Interaction
4817 Exponentially Fewer-Server PIR from Sparser $S$-Decoding Polynomials — Unresolved-question passage on page 48 / Within the same framework and matching vector construction, what is the best communication-server tradeoff achievable in regimes where s is superconstant in n? | Exponentially Fewer-Server PIR from Sparser $S$-Decoding Polynomials
4822 The Code Distortion Problem — Explicit open question on PDF page 12 / It is an open question if the upper bound in Lemma 15 can be reduced below n2 . | The Code Distortion Problem
4823 Good Locally Testable Codes with Small Alphabet and Small Query Size — Explicit open question on PDF page 3 / We do not know if there is a query complexity reduction method that works for a general good LTC. | Good Locally Testable Codes with Small Alphabet and Small Query Size
4828 A Simplified Reduction for Error Correcting Matrix Multiplication Algorithms — Explicit open question on PDF page 3 / It is an open problem to show a reduction whose running time is poly(1/ε) · O(T e (n)). | A Simplified Reduction for Error Correcting Matrix Multiplication Algorithms
4829 Random Reed-Solomon Codes Achieve the Half-Singleton Bound for Insertions and Deletions over Linear-Sized Alphabets — Explicit open question on PDF page 4 / However, we note that over small alphabets, determining the optimal rate-error tradeoff and finding optimal explicit constructions remains an open problem. | Random Reed-Solomon Codes Achieve the Half-Singleton Bound for Insertions and Deletions over Linear-Sized Alphabets
4873 High-Probability List-Recovery, and Applications to Heavy Hitters — Explicit open question on PDF page 4 / However, as Goal 1 remains open, [29] did not use a list-recoverable code to obtain their results. | High-Probability List-Recovery, and Applications to Heavy Hitters
4874 Star Transposition Gray Codes for Multiset Permutations — Explicit open question on PDF page 3 / It is an open problem whether the Cayley graph of the symmetric group has a Hamilton path for any set of generators [28]. | Star Transposition Gray Codes for Multiset Permutations
4875 New Near-Linear Time Decodable Codes Closer to the GV Bound — Explicit open question on PDF page 14 / Unfortunately, √ we do not know how to construct explicit mixing, or spectral, hypergraphs with λ ≈ 2/ d. | New Near-Linear Time Decodable Codes Closer to the GV Bound
4886 Sharp Threshold Rates for Random Codes — Explicit open question on PDF page 2 / However, there is still much we do not know about random codes, especially if we want extremely precise answers. | Sharp Threshold Rates for Random Codes
4887 Convolution and Knapsack in Higher Dimensions — Explicit open question on PDF page 5 / Part of this algorithm, involving so-called color-coding can be derandomized, but a full derandomization is still an open problem. | Convolution and Knapsack in Higher Dimensions
4905 Listing Spanning Trees of Outerplanar Graphs by Pivot-Exchanges — Unresolved-question passage on page 16 / Is there a pivot-exchange Gray code for the spanning trees of Kn ? | Listing Spanning Trees of Outerplanar Graphs by Pivot-Exchanges
4906 Decision Problems in Information Theory — Explicit open question on PDF page 6 / To date, the study of non-Shannon-type inequalities is an active area of research [49, 31, 48], and the question whether IIP is decidable remains open. | Decision Problems in Information Theory
4907 Randomness Efficient Noise Stability and Generalized Small Bias Sets — Explicit open question on PDF page 4 / Finding an efficient algorithm for deciding whether a graph is a small set expander remains an open problem. | Randomness Efficient Noise Stability and Generalized Small Bias Sets
4923 On List Recovery of High-Rate Tensor Codes — Explicit open question on PDF page 3 / Over binary alphabet, we do not know how to explicitly construct codes achieving list decoding capacity. | On List Recovery of High-Rate Tensor Codes
4924 Spanoids - An Abstraction of Spanning Structures, and a Barrier for LCCs — Explicit open question on PDF page 1 / Despite much progress, many basic questions regarding local testing, decoding and correcting of codes remain open. | Spanoids - An Abstraction of Spanning Structures, and a Barrier for LCCs
4925 Is This Correct? Let’s Check! — Unresolved-question passage on page 9 / At this point, we do not know whether an absolute constant (such as 0.55) is the correct term in the exponent in Theorem 6. | Is This Correct? Let’s Check!
4968 A Complete Linear Programming Hierarchy for Linear Codes — Unresolved-question passage on page 21 / The contrast between completeness of KrawtchoukLPLin and collapse of KrawtchoukLP also surfaces a very natural question: are optimum codes very far from being linear? | A Complete Linear Programming Hierarchy for Linear Codes
4969 The Composition Complexity of Majority — Unresolved-question passage on page 24 / Can we obtain 2ω( n) lower bounds for all “good enough” error-correcting codes? | The Composition Complexity of Majority
5010 Optimal Coding for Randomized Kolmogorov Complexity and Its Applications — Unresolved-question passage on page 6 / Although it remains open whether an existential coding theorem for rKpoly with respect to PS AMP can be obtained unconditionally, we remark that the non-existence […] | Optimal Coding for Randomized Kolmogorov Complexity and Its Applications
5068 Approximate Low-Weight Check Codes and Circuit Lower Bounds for Noisy Ground States — Unresolved-question passage on page 9 / Could approximate error-correcting codes play a role in trying to resolve the qPCP and qLDPC conjectures? | Approximate Low-Weight Check Codes and Circuit Lower Bounds for Noisy Ground States
5099 Random Reed-Solomon Codes and Random Linear Codes are Locally Equivalent — Explicit open question on PDF page 5 / We conjecture that this optimality extends more broadly within the class of linear codes and holds for all LCL properties (see Section II-C for a […] | Random Reed-Solomon Codes and Random Linear Codes are Locally Equivalent
5132 Unique Decoding of Reed–Solomon and Related Codes for Semi-Adversarial Errors — Unresolved-question passage on page 10 / However, although [43] has demonstrated numerous simulations for a wide variety of parameters that support the heuristic correctness of their approach, a formal proof of […] | Unique Decoding of Reed–Solomon and Related Codes for Semi-Adversarial Errors
5161 ABEL: Perfect Asynchronous Byzantine Extension from List-Decoding — Explicit open question on PDF page 2 / Despite nearly two decades and considerable recent work, the following remains open: for L = Ω(n log n), does there exist an asynchronous byzantine agreement […] | ABEL: Perfect Asynchronous Byzantine Extension from List-Decoding
5162 Amortized Locally Decodable Codes for Insertions and Deletions — Unresolved-question passage on page 4 / We leave it as an open question whether one can construct a consecutive inverval querying Hamming LDC with constant amortized locality in the information theoretic […] | Amortized Locally Decodable Codes for Insertions and Deletions
5192 When Do Low-Rate Concatenated Codes Approach The Gilbert-Varshamov Bound? — Explicit open question on PDF page 2 / For example, we do not know how to attain δ = 1−ε 2 2 and R = Ω(ε ) (without any o(1) term) explicitly, and […] | When Do Low-Rate Concatenated Codes Approach The Gilbert-Varshamov Bound?
5256 The Space Complexity of Sampling — Explicit open question on PDF page 5 / In particular, the best Ω(1) sampling lower bounds against good codes for AC0 are of the form 1 − 2−n [5], and the authors leave […] | The Space Complexity of Sampling
5308 Near-Optimal Erasure List-Decodable Codes — Explicit open question on PDF page 4 / We stress that the codes we present are explicit in the sense that they have explicit encoding, but we do not know whether the codes […] | Near-Optimal Erasure List-Decodable Codes
5309 Bounds for List-Decoding and List-Recovery of Random Linear Codes — Explicit open question on PDF page 7 / Further, if one insists on binary codes, or even codes over alphabets of size independent of ε, we do not know of any explicit constructions […] | Bounds for List-Decoding and List-Recovery of Random Linear Codes
5339 Exact Completeness of LP Hierarchies for Linear Codes — Explicit open question on PDF page 2 / However, analyzing these general hierarchies remains elusive; in fact it even remains open to analyze an SDP proposed by Schrijver [19], which lies between Delsarte’s […] | Exact Completeness of LP Hierarchies for Linear Codes
5340 Algorithmic Polarization for Hidden Markov Models — Explicit open question on PDF page 7 / However, we do not know how to give an effective finite-length analysis of the polarization process for Markovian process, as the analysis in [5, 6] […] | Algorithmic Polarization for Hidden Markov Models
5363 Vanishing Spaces of Random Sets and Applications to Reed-Muller Codes — Explicit open question on PDF page 3 / Despite all this progress, the general question of whether RM codes achieve capacity over the entire regime (1 ≤ r < m − 1) and […] | Vanishing Spaces of Random Sets and Applications to Reed-Muller Codes
5392 Higher-Order Delsarte Dual LPs: Lifting, Constructions and Completeness — Unresolved-question passage on page 21 / After lifting a dual solution of the original Delsate LP to a higher-level l of these hierarchies, can we improve its objective value and improve […] | Higher-Order Delsarte Dual LPs: Lifting, Constructions and Completeness
5590 Deletion Codes in the High-noise and High-rate Regimes — Explicit open question on PDF page 3 / In this case, we do not know (even non-constructively) the minimum fraction of deletions that forces the rate of the code to approach zero. (Contrast […] | Deletion Codes in the High-noise and High-rate Regimes
6456R Higher-dimensional product expansion for structured Reed–Solomon codes | Private PCPs from Product Expansion
6486 DTRU: A Versatile, Compact, Simple, and Robust NTRU KEM with Double $E_8$ Encoding — Unresolved-question passage on page 12 / We stress that fully eliminating the independence assumption for highdimensional lattice codes remains an open problem [33], and contemporary schemes such as NEV and DAWN […] | DTRU: A Versatile, Compact, Simple, and Robust NTRU KEM with Double $E_8$ Encoding
6606P The exact capacity region of the two-user Gaussian interference channel | Research reference · arXiv 1508.05726
6607P The capacity of the binary deletion channel | Research reference · arXiv 1910.07199
6608P Decidability of unconditional information inequalities | Research reference · drops.dagstuhl.de
6609P Constant-rate binary locally decodable codes with logarithmic query complexity | Research reference · eccc.weizmann.ac.il
6610P The Shannon capacity of C7 | Research reference · arXiv 2608.30273
6665P The capacity region of the general two-receiver broadcast channel | Chandra Nair — Research: Multiuser Information Theory
