rank,researcher,slot,id,title,area,action,affinity,status,evidence,formulation_status,formulation_reviewed_on,current_batch_scope,researcher_bibliography,problem_sources
6,Nikhil Bansal,1,TCS-7314,Komlós conjecture,Optimization and numerics,reused,Algorithmic discrepancy places the Komlos bound at the center of his research.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/69/5601.html,https://arxiv.org/abs/2508.03961
6,Nikhil Bansal,2,TCS-7317,Randomized competitiveness of k-server,Online algorithms,reused,"Randomized k-server connects his discrepancy, rounding and online-algorithm work.",source_open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/69/5601.html,https://arxiv.org/abs/2605.01497; https://arxiv.org/abs/2211.05753
7,Virginia Vassilevska Williams,1,TCS-0007,Matrix multiplication exponent,Algebraic computation,reused,Fast matrix multiplication is a direct sustained research contribution.,source_open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/63/8319.html,https://doi.org/10.1007/BF02165411; https://www.math.ias.edu/files/mathandcomp.pdf; https://arxiv.org/abs/1812.08731; https://doi.org/10.1137/1.9781611978322.63; https://arxiv.org/abs/2608.16884v1; https://arxiv.org/abs/2404.16349v3
7,Virginia Vassilevska Williams,2,TCS-6510,Truly subcubic APSP,Fine-grained complexity,reused,Truly subcubic APSP is a central barrier in her fine-grained complexity program.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/63/8319.html,https://doi.org/10.1109/FOCS.2010.67; https://arxiv.org/abs/1312.6680; https://arxiv.org/abs/2605.08588
8,Mark Braverman,1,TCS-5892,Constant-factor randomized direct sums for total Boolean functions,Communication complexity and Boolean function analysis,reused,Randomized direct sums for total functions concern the amortized cost of interaction in his information-complexity work.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/16/6136.html,https://doi.org/10.4230/LIPIcs.STACS.2019.50; https://eccc.weizmann.ac.il/report/2010/083/; https://arxiv.org/abs/2608.04141
8,Mark Braverman,2,TCS-7352,Real Grothendieck constant,Communication complexity and Boolean function analysis,added,He coauthored the breakthrough disproving Krivine's proposed value of the real Grothendieck constant.,source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/16/6136.html,https://arxiv.org/abs/1103.6161; https://arxiv.org/abs/2608.11158
9,Subhash Khot,1,TCS-0006,Unique Games Conjecture,Approximation algorithms and hardness of approximation,reused,He introduced the Unique Games conjecture.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/25/1492.html,https://cs.nyu.edu/~khot/papers/UGCSurvey.pdf; https://www.cs.cornell.edu/~abrahao/tdg/papers/p245.pdf; https://www.boazbarak.org/Papers/ssesubexp.pdf; https://cs.nyu.edu/~khot/PCP-Spring-20/2-to-2-Exposition.pdf; https://theoryofcomputing.org/articles/v021a011/
9,Subhash Khot,2,TCS-7160,Small-Set Expansion Hypothesis,Approximation algorithms and hardness of approximation,reused,Small-set expansion is a closely connected central hardness and geometry frontier.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/25/1492.html,https://doi.org/10.1145/1806689.1806792; https://en.wikipedia.org/wiki/Small_set_expansion_hypothesis; https://en.wikipedia.org/w/index.php?oldid=1368726535; https://www.dsteurer.org/paper/expansion.pdf; https://arxiv.org/abs/1011.2586; https://arxiv.org/abs/2608.02588
10,Vinod Vaikuntanathan,1,TCS-6551,Unleveled fully homomorphic encryption from LWE alone,Cryptography,reused,Removing the additional assumption from unbounded-depth FHE directly extends his lattice-based FHE work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/v/VinodVaikuntanathan.html,https://epubs.siam.org/doi/10.1137/120868669; https://www.iacr.org/archive/crypto2018/10993383/10993383.pdf; https://cseweb.ucsd.edu/classes/wi23/cse208-a/FHEorg.pdf; https://eprint.iacr.org/2023/1376.pdf; https://drops.dagstuhl.de/storage/00lipics/lipics-vol251-itcs2023/LIPIcs.ITCS.2023.17/LIPIcs.ITCS.2023.17.pdf; https://link.springer.com/article/10.1186/s42400-025-00431-z; https://arxiv.org/abs/2604.23490
10,Vinod Vaikuntanathan,2,TCS-6550,Circuit obfuscation from polynomial-hard LWE,Cryptography,reused,Basing iO on polynomial-hardness LWE alone is central to his lattice-cryptography program.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/v/VinodVaikuntanathan.html,https://www.wisdom.weizmann.ac.il/~oded/p_obfuscate.html; https://cims.nyu.edu/~regev/papers/qcrypto.pdf; https://doi.org/10.1145/3785007; https://eprint.iacr.org/2021/1334; https://doi.org/10.4230/LIPIcs.ICALP.2022.28
11,Aaron Sidford,1,TCS-0008,Strongly polynomial linear programming,Optimization and numerics,reused,Strongly polynomial LP continues his work on faster general optimization.,uncertain,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/125/2326.html,https://topp.openproblem.net/p8; https://doi.org/10.1287/opre.34.2.250; https://homepages.cwi.nl/~dadush/papers/genflow.pdf; https://arxiv.org/abs/2201.02186; https://homepages.cwi.nl/~dadush/papers/trust-region.pdf; https://arxiv.org/abs/2503.12041v10
11,Aaron Sidford,2,TCS-7228,Exact directed maximum flow in \(O((m+n) \operatorname{polylog} n)\) time,Structural graph theory,reused,Near-linear exact directed flow extends his flow and interior-point breakthroughs.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/125/2326.html,https://arxiv.org/abs/2203.00671; https://arxiv.org/abs/2608.17384
12,Ankur Moitra,1,TCS-3391,Efficient learning of well-separated Gaussian mixtures,Learning theory,reused,Efficient learning of separated Gaussian mixtures connects to his mixture-learning work.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/04/952.html,https://proceedings.mlr.press/v125/kwon20a.html
12,Ankur Moitra,2,TCS-6656,Planted clique conjecture,Beyond worst-case and average-case analysis,reused,Planted clique captures the computational-statistical gaps studied in his inference research.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/04/952.html,https://people.math.ethz.ch/~sudakovb/hidden-clique.pdf; https://doi.org/10.1137/17M1138236; https://arxiv.org/abs/2311.07540v2; https://arxiv.org/abs/2505.01990v2; https://proceedings.mlr.press/v336/gobel26a.html
13,Yin Tat Lee,1,TCS-6523,Kannan–Lovász–Simonovits conjecture,Computational geometry and metric spaces,reused,KLS is central to the geometry behind his sampling and optimization work.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/125/2145.html,https://randomstrasse101.math.ethz.ch/posts/KLSConjecture/; https://faculty.cc.gatech.edu/~vempala/papers/kls_survey.pdf; https://arxiv.org/abs/2203.15551; https://www.weizmann.ac.il/math/klartag/sites/math.klartag/files/uploads/root_log.pdf; https://arxiv.org/abs/2507.15495v2; https://arxiv.org/abs/2607.24164v1
13,Yin Tat Lee,2,TCS-0008,Strongly polynomial linear programming,Optimization and numerics,reused,Strongly polynomial LP is a fundamental frontier for his optimization algorithms.,uncertain,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/125/2145.html,https://topp.openproblem.net/p8; https://doi.org/10.1287/opre.34.2.250; https://homepages.cwi.nl/~dadush/papers/genflow.pdf; https://arxiv.org/abs/2201.02186; https://homepages.cwi.nl/~dadush/papers/trust-region.pdf; https://arxiv.org/abs/2503.12041v10
14,Shayan Oveis Gharan,1,TCS-7356,Optimal polynomial-time approximation ratio for metric TSP,Approximation algorithms and hardness of approximation,added,The optimal algorithmic ratio extends his breakthrough below Christofides' factor.,source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/61/395.html,https://arxiv.org/abs/2007.01409
14,Shayan Oveis Gharan,2,TCS-7355,Fully polynomial randomized approximation of mixed discriminants,Counting and enumeration,added,Mixed discriminants connect his log-concavity and approximate-counting work.,source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/61/395.html,https://eccc.weizmann.ac.il/report/2007/037/revision/1/; https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2017.36
15,Ilias Diakonikolas,1,TCS-5443,Polynomial-time learning of Gaussian mixtures,Property testing and distribution learning,reused,Efficient unrestricted Gaussian-mixture learning is directly within his distribution-learning program.,uncertain,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/d/IliasDiakonikolas.html,https://proceedings.mlr.press/v237/afzali24a.html
15,Ilias Diakonikolas,2,TCS-5087,Polynomial-time robust spectral estimation,Learning theory,reused,Robust spectral estimation is a substantial computational-statistical frontier in his robust learning research.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/d/IliasDiakonikolas.html,https://proceedings.mlr.press/v134/awasthi21a.html
16,Daniel Kane,1,TCS-6664,Maximum influence of polynomial threshold functions,Communication complexity and Boolean function analysis,reused,Influence of polynomial threshold functions relates directly to his Boolean-analysis work.,source_open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/52/6817.html,https://arxiv.org/abs/2108.02288; https://dspace.mit.edu/server/api/core/bitstreams/7f2e32fd-d615-4dba-97be-f26cd30ca234/content; https://arxiv.org/abs/1210.1283; https://arxiv.org/abs/1709.06650; https://arxiv.org/abs/2604.08095; https://arxiv.org/abs/2601.08727
16,Daniel Kane,2,TCS-4592,Time complexity of Gaussian agnostic halfspace learning,Learning theory,reused,Gaussian agnostic halfspace complexity connects his structural and algorithmic learning results.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/52/6817.html,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.793
17,David Woodruff,1,TCS-7007,Input-sparsity relative spectral low-rank approximation,Optimization and numerics,reused,Input-sparsity low-rank approximation extends his randomized numerical linear algebra.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/w/DPWoodruff.html,https://arxiv.org/abs/1411.4357
17,David Woodruff,2,TCS-7006,Optimal input-sparsity subspace embeddings,Computational geometry and metric spaces,reused,Optimal input-sparsity subspace embeddings directly concern his sketching and numerical-linear-algebra work.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/w/DPWoodruff.html,https://arxiv.org/abs/1411.4357
18,Sanjeev Arora,1,TCS-6587,Constant-factor approximation for Densest k-Subgraph,Approximation algorithms and hardness of approximation,reused,Densest k-subgraph is a major approximation barrier related to his approximation research.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/a/SArora.html,https://arxiv.org/abs/1001.2891; https://arxiv.org/abs/1110.1360; https://arxiv.org/abs/1611.05991; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2023.38; https://ojs.aaai.org/index.php/AAAI/article/view/38562; https://arxiv.org/abs/2605.25464
18,Sanjeev Arora,2,TCS-6657,Computational threshold for tensor PCA,Beyond worst-case and average-case analysis,reused,Tensor PCA captures computational-statistical barriers relevant to his provable learning work.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/a/SArora.html,https://arxiv.org/abs/1411.1076; https://www.jmlr.org/papers/v25/24-0006.html; https://arxiv.org/abs/2404.18735; https://arxiv.org/abs/2510.14329; https://arxiv.org/abs/2605.30113
19,Constantinos Daskalakis,1,TCS-7286,CLS versus FP,Computational complexity,reused,"CLS versus FP connects continuous optimization, equilibrium computation and his total-search work.",source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/d/ConstantinosDaskalakis.html,https://arxiv.org/abs/2011.01929
19,Constantinos Daskalakis,2,TCS-3391,Efficient learning of well-separated Gaussian mixtures,Learning theory,reused,Efficient Gaussian-mixture learning relates to his algorithmic statistics program.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/d/ConstantinosDaskalakis.html,https://proceedings.mlr.press/v125/kwon20a.html
20,Prasad Raghavendra,1,TCS-7160,Small-Set Expansion Hypothesis,Approximation algorithms and hardness of approximation,reused,He co-introduced the Small-Set Expansion hypothesis.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/69/3746.html,https://doi.org/10.1145/1806689.1806792; https://en.wikipedia.org/wiki/Small_set_expansion_hypothesis; https://en.wikipedia.org/w/index.php?oldid=1368726535; https://www.dsteurer.org/paper/expansion.pdf; https://arxiv.org/abs/1011.2586; https://arxiv.org/abs/2608.02588
20,Prasad Raghavendra,2,TCS-7281,Unconditional NP-hardness at the Goemans–Williamson Max-Cut threshold,Approximation algorithms and hardness of approximation,reused,Unconditional Max-Cut hardness probes the limits of his CSP and SDP approximation theory.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/69/3746.html,https://faculty.wharton.upenn.edu/wp-content/uploads/2014/07/Optimal_Inapproximability_Results_for_MAX_CUT_and_Other_2_Variable_CSPs_1.pdf
21,Oded Regev,1,TCS-6521,Dihedral hidden subgroup problem in BQP,Quantum computation,reused,Dihedral HSP links his quantum algorithms to lattice and subset-sum problems.,uncertain,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/r/OdedRegev.html,https://arxiv.org/abs/1112.3333; https://epubs.siam.org/doi/10.1137/S0097539703436345; https://arxiv.org/abs/2106.09907; https://arxiv.org/abs/quant-ph/0406151; https://cims.nyu.edu/~regev/papers/quantum_average.pdf; https://arxiv.org/abs/2202.09697; https://eprint.iacr.org/2026/1591; https://eprint.iacr.org/2026/1693; https://arxiv.org/abs/2608.16598; https://arxiv.org/abs/2608.05321
21,Oded Regev,2,TCS-6861,Classical reductions matching quantum LWE hardness,Lattices and computational number theory,reused,A classical worst-case reduction for LWE directly concerns the quantum reduction he introduced.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/r/OdedRegev.html,https://eprint.iacr.org/2015/939
22,Yael Tauman Kalai,1,TCS-6552,Noninteractive zero knowledge from one-way functions,Cryptography,reused,Minimal assumptions for noninteractive zero knowledge connect her cryptographic proof systems.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/k/YaelTaumanKalai.html,https://homepages.cwi.nl/~schaffne/courses/crypto/2014/papers/ComZK08.pdf; https://web.eecs.umich.edu/~cpeikert/pubs/nizk-lwe.pdf; https://eprint.iacr.org/2023/1938; https://eprint.iacr.org/2024/1514; https://eccc.weizmann.ac.il/report/2024/116/; https://arxiv.org/abs/2602.17651; https://doi.org/10.1007/978-3-032-35424-2_6
22,Yael Tauman Kalai,2,TCS-6549,Oblivious transfer from public-key encryption,Cryptography,reused,Obtaining OT from general public-key encryption concerns the foundations of secure computation she studies.,source_open,reviewed,not individually completed,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/k/YaelTaumanKalai.html,https://vmahesh.cs.illinois.edu/papers/focs00.pdf; https://iftachh.github.io/MyHomepage/papers/BlackBoxMPC/black-box-mpc.pdf; https://eprint.iacr.org/2021/882; https://eprint.iacr.org/2023/1002; https://doi.org/10.1587/transfun.2025CIP0019
23,Shachar Lovett,1,TCS-6603,Log-rank conjecture,Communication complexity and Boolean function analysis,reused,Log-rank is central to his communication-complexity work.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/77/4422.html,https://arxiv.org/abs/2510.02583v3; https://doi.org/10.1007/s10107-024-02117-9; https://doi.org/10.1137/16M1059369; https://arxiv.org/abs/2608.01812v1
23,Shachar Lovett,2,TCS-7271,Two-source extraction at log n plus constant entropy,Pseudorandomness and derandomization,reused,Optimal-entropy extraction relates to his pseudorandomness and additive-combinatorics work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/77/4422.html,https://arxiv.org/abs/2303.06802
24,Dor Minzer,1,TCS-7268,Sliding-scale PCP conjecture,Computational complexity,reused,PCP parameter tradeoffs are directly related to his hardness-of-approximation results.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/161/4102.html,https://arxiv.org/abs/1505.06362
24,Dor Minzer,2,TCS-0006,Unique Games Conjecture,Approximation algorithms and hardness of approximation,reused,"Unique Games connects his Boolean-analysis, expansion and hardness work.",source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/161/4102.html,https://cs.nyu.edu/~khot/papers/UGCSurvey.pdf; https://www.cs.cornell.edu/~abrahao/tdg/papers/p245.pdf; https://www.boazbarak.org/Papers/ssesubexp.pdf; https://cs.nyu.edu/~khot/PCP-Spring-20/2-to-2-Exposition.pdf; https://theoryofcomputing.org/articles/v021a011/
25,Thatchaphol Saranurak,1,TCS-7345,Almost-linear directed vertex connectivity,Structural graph theory,reused,Directed vertex connectivity continues his expander-decomposition and graph-algorithm program.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/123/4694.html,https://arxiv.org/abs/2512.24355; https://arxiv.org/abs/2512.00176; https://mj.ucw.cz/vyuka/ga/ga.pdf
25,Thatchaphol Saranurak,2,TCS-7341,Strongly polynomial near-linear negative-weight shortest paths,Structural graph theory,reused,Strongly polynomial fast negative-weight SSSP directly extends his shortest-path work.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/123/4694.html,https://arxiv.org/abs/2304.05279; https://arxiv.org/abs/2203.03456; https://arxiv.org/abs/2511.08551; https://arxiv.org/abs/2602.16153; https://mj.ucw.cz/vyuka/ga/ga.pdf
26,Lijie Chen,1,TCS-7161,NEXP versus nonuniform \(\mathrm{TC}^{0}\),Computational complexity,reused,NEXP versus TC0 is a natural next frontier in his circuit-lower-bound research.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/116/0948-1.html,https://doi.org/10.1109/CCC.2011.36; https://en.wikipedia.org/wiki/Circuit_complexity; https://en.wikipedia.org/w/index.php?oldid=1328197464; https://people.csail.mit.edu/rrw/acc-lbs-ccc.pdf; https://eccc.weizmann.ac.il/report/2026/039/; https://eccc.weizmann.ac.il/report/2026/167/; https://eccc.weizmann.ac.il/report/2026/118/
26,Lijie Chen,2,TCS-4786,Complexity of Minimum Circuit Size,Computational complexity,reused,MCSP is central to his work on meta-complexity and hardness magnification.,uncertain,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/116/0948-1.html,https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2023.31; https://doi.org/10.4230/LIPIcs.STACS.2026.23; https://doi.org/10.4230/LIPIcs.CCC.2023.31
27,Moses Charikar,1,TCS-7353,Optimal polynomial-time approximation ratio for Euclidean k-means,Approximation algorithms and hardness of approximation,added,"Optimal Euclidean clustering approximation directly extends his k-means algorithms, including 2026 work.",source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/c/MosesCharikar.html,https://arxiv.org/abs/2607.14654; https://doi.org/10.1145/3798129.3800894
27,Moses Charikar,2,TCS-7318,Constant-factor approximation for Dasgupta’s hierarchical clustering objective,Approximation algorithms and hardness of approximation,reused,Hierarchical clustering approximability is directly connected to his clustering research.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/c/MosesCharikar.html,https://arxiv.org/abs/1510.05043; https://arxiv.org/abs/1609.09548
28,László Babai,1,TCS-7222,Graph isomorphism in polynomial time,Structural graph theory,reused,Polynomial-time graph isomorphism is the main frontier after his quasipolynomial algorithm.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/b/LaszloBabai.html,https://arxiv.org/abs/1512.03547; https://people.cs.uchicago.edu/~laci/papers/icm18-babai.pdf; https://www.sciencedirect.com/science/article/pii/S1574013726000274; https://doi.org/10.4230/LIPIcs.MFCS.2021.27; https://doi.org/10.4230/LIPIcs.MFCS.2021.37
28,László Babai,2,TCS-7180,Graph canonization versus graph isomorphism,Structural graph theory,reused,Canonization versus isomorphism directly concerns his group-theoretic graph algorithms.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/b/LaszloBabai.html,https://par.nsf.gov/servlets/purl/10179675; https://en.wikipedia.org/wiki/Graph_canonization; https://en.wikipedia.org/w/index.php?oldid=1330143987; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2026.114
29,Thomas Rothvoss,1,TCS-7283,Superpolynomial semidefinite extension complexity of perfect matching,Optimization and numerics,reused,SDP extension complexity continues his lower bounds for matching formulations.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/10/1896.html,https://digital.lib.washington.edu/server/api/core/bitstreams/a7ac9607-c4f8-4d56-9b29-0f5ef033975d/content
29,Thomas Rothvoss,2,TCS-7315,Beck–Fiala conjecture,Optimization and numerics,reused,Beck-Fiala connects his discrepancy and integer-optimization work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/10/1896.html,https://arxiv.org/abs/2508.03961; https://arxiv.org/abs/2607.14238
30,Madhu Sudan,1,TCS-1020,Polynomial-length constant-query locally decodable codes,Coding and information theory,reused,Constant-query local decoding extends his foundational coding work.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/s/MadhuSudan.html,https://people.seas.harvard.edu/~salil/pseudorandomness/
30,Madhu Sudan,2,TCS-1011,Full-length Reed–Solomon list decoding beyond Johnson,Coding and information theory,reused,Reed-Solomon list decoding directly follows his algebraic list-decoding contributions.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/s/MadhuSudan.html,https://people.seas.harvard.edu/~salil/pseudorandomness/
31,Nima Anari,1,TCS-7355,Fully polynomial randomized approximation of mixed discriminants,Counting and enumeration,added,Mixed-discriminant approximation extends his log-concavity and partition-constrained sampling work.,source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/60/8821.html,https://eccc.weizmann.ac.il/report/2007/037/revision/1/; https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2017.36
