
Algebraic computation
TCS-0005 | VP versus VNP
TCS-1115 | Polynomial-time EF1 and Pareto-optimal goods allocation
TCS-1116 | Optimal universal approximation factor for EFX
TCS-1119 | Existence of pairwise maximin-share allocations
TCS-1714 | Polynomial-time stable matching in unimodular hypergraphs
TCS-2427 | Zero-sum stochastic games with variable discount factors
TCS-4584 | Nash equilibria in concurrent terminal-reward games
TCS-6632 | Constant-factor universally truthful auctions for submodular bidders
TCS-6633 | Polynomial query complexity of exact envy-free cake cutting
TCS-6634 | Randomized metric distortion in social choice
TCS-6639 | Constant-factor approximation for Santa Claus
TCS-6674 | Randomized truthful unrelated-machine scheduling
TCS-6957 | Characterizing domains restricted to affine maximizers
TCS-6958 | Algorithmic versus dominant-strategy implementation
TCS-7196 | Polynomial-time EFX for three additive agents
TCS-7197 | Polynomial-time approximation of EFX
TCS-7200 | Multiplicative MMS guarantee for chores
TCS-7203 | Bounded protocols for connected envy-free proportional cake cutting

Algorithms & data structures
TCS-0388 | Sorting \(X + Y\)
TCS-0809 | Strongly polynomial planar minimum-cost flow
TCS-0946 | Hypergraph cut sparsifiers with \(O(n/\varepsilon ^{2})\) hyperedges
TCS-1141 | Near-linear-time approximation of reachability diameter
TCS-1338 | Set-system sparsifiers of size proportional to chain length
TCS-1617 | Planarity dichotomy for induced subdivision detection
TCS-2018 | Quadratic-size submodular hypergraph sparsifiers
TCS-2822 | Complexity of directed detours
TCS-3263 | Polynomial-time minimum-total-length disjoint paths for fixed k
TCS-3346 | Quasipolynomial dependence on vertices for hypergraph isomorphism
TCS-4417 | Linear-time directed bottleneck paths and trees
TCS-5705 | Small Implicit Graph Conjecture
TCS-5969 | Complexity of planar 3-edge-colorability
TCS-6173 | Three disjoint directed shortest paths
TCS-6251 | Polynomial-time independent set under a forbidden forest
TCS-6270 | Near-linear-query reconstruction of bounded-degree graphs
TCS-6421 | Isomorphism dichotomy for finitely forbidden hereditary classes
TCS-6537 | Expected linear-time integer sorting for every word length
TCS-6783 | Optimal size of four-additive graph spanners
TCS-6784 | Spanners matching Thorup–Zwick emulator tradeoffs
TCS-6785 | Optimal additive error of linear-size spanners
TCS-7061 | Dichotomy for hereditary edge deletion
TCS-7075 | Complexity of general vertex-connectivity augmentation
TCS-7146 | Polynomial-time detection of fixed pivot- and vertex-minors
TCS-7350 | Near-linear output-sensitive Subset Sum
TCS-7351 | Linear-time exact inversion counting

Approximation algorithms and hardness of approximation
TCS-0006 | Unique Games Conjecture
TCS-0088 | Optimal approximation of Max Di-Cut
TCS-1168 | Hardness of coloring 2-dicolorable digraphs with any fixed number of colors
TCS-1930 | Parameterized Inapproximability Hypothesis from \(\mathrm{FPT} \ne  \mathrm{W}[1]\)
TCS-2625 | Almost 3-colorable graphs versus graphs with no large independent set
TCS-5407 | Optimal approximation for submodular maximization over a matroid
TCS-5544 | d-to-1 versus Unique Games conjectures
TCS-5554 | Subquadratic factor-three edit-distance approximation
TCS-5787 | Constant-factor approximation of graph crossing number
TCS-6309 | Constant-factor approximation for capacitated k-Median
TCS-6587 | Constant-factor approximation for Densest k-Subgraph
TCS-6588 | Polylogarithmic approximation for Directed Steiner Tree
TCS-6589 | Subtour-LP integrality gap for metric TSP
TCS-6590 | Subtour-LP integrality gap for asymmetric TSP
TCS-6591 | Constant-factor approximation for Directed Feedback Vertex Set
TCS-6659 | Optimal polynomial-time approximation ratio for metric k-Median
TCS-6723 | Steiner Forest approximation below factor two
TCS-6756 | Optimal general-domain CSP approximation under Unique Games hardness
TCS-6757 | Min-CSP approximation at the SDP integrality gap
TCS-7160 | Small-Set Expansion Hypothesis
TCS-7266 | Constant-factor approximation for uniform Sparsest Cut
TCS-7281 | Unconditional NP-hardness at the Goemans–Williamson Max-Cut threshold
TCS-7282 | Vertex Cover approximation below factor two
TCS-7287 | Square-root logarithmic approximation for metric labeling
TCS-7318 | Constant-factor approximation for Dasgupta’s hierarchical clustering objective

Automata and formal languages
TCS-0128 | Better bounds on complementing unambiguous automata
TCS-0133 | Stronger versions of inclusion of probabilistic automata
TCS-0135 | Zeroness problem
TCS-0136 | Universality of register automata over ordered domains
TCS-0138 | Deterministic separability of nondeterministic timed languages
TCS-0146 | Complexity of universality for unambiguous context-free grammars
TCS-0154 | Separating words problem
TCS-0164 | Decidability of equivalence for unambiguous context-free grammars
TCS-0167 | Primitive words and context-freeness
TCS-2243 | \(\mathrm{TC}^{0}/\mathrm{NC}^{1}\) complexity dichotomy
TCS-3378 | Low-complexity aperiodic two-dimensional shifts of finite type
TCS-3863 | Containment of finitely ambiguous automata
TCS-4575 | Universality of discounted-sum automata
TCS-4636 | Decidability of definability with modular predicates
TCS-4659 | Determinacy of Wadge games for Muller tree languages
TCS-4677 | Deciding first-order definability of orbit-finite automata
TCS-5651 | Recognizing good-for-games and good-for-MDP automata
TCS-5732 | Regular separability of VASS reachability languages
TCS-5738 | Recognizable separability of automatic relations
TCS-5863 | Decidability of stochastic resolvability for \(\omega\)-automata
TCS-5904 | Equivalence of discounted-sum automata
TCS-5959 | Complexity of the Game of Life limit set
TCS-6064 | Characterizing cellular-automaton limit sets
TCS-6158 | Unique invariant measures versus cellular-automaton ergodicity
TCS-6558 | Maximum reset threshold of synchronizing automata
TCS-6559 | Generalized star-height problem
TCS-6560 | Sakoda–Sipser problem
TCS-6561 | Decidability of every level of the dot-depth hierarchy
TCS-6563 | Equivalence of deterministic macro tree transducers
TCS-6564 | First-order definability of regular tree languages
TCS-6582 | Equivalence of deterministic higher-order recursion schemes
TCS-7261 | Linear-time minimization of deterministic finite automata
TCS-7309 | Decidability with two parametric clocks and arbitrarily many integer parameters

Automated reasoning and unification
TCS-0114 | Satisfiability of String Constraints with Subsequence relation
TCS-0163 | Complexity of satisfiable word equations
TCS-0171 | Complexity of word unification
TCS-0306 | Efficient negation of d-DNNFs
TCS-1595 | Decidability of fifth-order \(\beta\)-matching
TCS-1992 | Decidability of Presburger arithmetic with primes
TCS-5603 | Polynomial-time recognition of abelian cores
TCS-6016 | Satisfiability of weak MSO+U over infinite words
TCS-6562 | Word equations with linear length constraints
TCS-6643 | Decidability of unification in the basic modal logic K
TCS-6644 | Decidability of termination for one-rule string rewriting
TCS-6650 | Deterministic polynomial-time equivalence testing for d-DNNFs
TCS-7125 | Two-sided distributive unification with a unit
TCS-7134 | Polynomial-time equivalence of free binary decision diagrams
TCS-7194 | Singly exponential shortest solutions of word equations
TCS-7239 | Greedy CDCL without restarts versus resolution

Beyond worst-case and average-case analysis
TCS-0012 | Average-case NP hardness from \(\mathrm{P} \ne  \mathrm{NP}\)
TCS-4876 | Algorithmic threshold for random k-SAT
TCS-5011 | Algorithmic threshold for the symmetric binary perceptron
TCS-5406 | Optimization and certification in sparse random CSPs
TCS-6453 | Infinitely-often one-way functions from average-case NP hardness
TCS-6656 | Planted clique conjecture
TCS-6657 | Computational threshold for tensor PCA
TCS-6658 | Polynomial smoothed complexity of FLIP for Max-Cut
TCS-6684 | Computational Kesten–Stigum threshold
TCS-6702 | Worst-case-to-average-case reductions within NP
TCS-6703 | Optimal exponential-scale hardness amplification in NP
TCS-7148 | Smoothed simplex complexity under sparse perturbations
TCS-7238 | Polynomial-time refutation of random 3-SAT at constant density

Coding and information theory
TCS-0013 | Efficient explicit constant-rate tree codes
TCS-0178 | Bounded-alphabet approximation of entropy-region faces
TCS-0184 | Entropic matroid approximations approaching unit ratio
TCS-0187 | Field dependence of linear-rank inequalities
TCS-0196 | Polyhedrality of linear-rank inequality cones
TCS-0205 | Infimum of the Ingleton score
TCS-1010 | Optimal asymptotic binary rate–distance tradeoff
TCS-1011 | Full-length Reed–Solomon list decoding beyond Johnson
TCS-1012 | Explicit efficiently decoded binary codes beyond Gilbert–Varshamov
TCS-1020 | Polynomial-length constant-query locally decodable codes
TCS-3513 | Explicit positive-rate codes below the Plotkin point
TCS-4524 | Positive-rate binary codes against adversarial deletions
TCS-4802 | Noise tolerance of binary interactive codes
TCS-4968 | Linear versus nonlinear code parameters
TCS-6584 | Li–Li conjecture
TCS-6606 | Capacity of the two-user Gaussian interference channel
TCS-6607 | Capacity of the binary deletion channel
TCS-6608 | Decidability of unconditional Shannon information inequalities
TCS-6609 | Constant-rate binary locally decodable codes with logarithmic query complexity
TCS-6610 | Shannon capacity of \(C_{7}\)
TCS-6665 | Capacity of the general broadcast channel
TCS-6738 | Linear-length locally testable codes and proofs
TCS-6739 | Locally decodable versus relaxed locally decodable code length
TCS-7210 | Capacity of the general two-user interference channel
TCS-7211 | Capacity of the general two-way channel
TCS-7214 | Rate–distortion tradeoff for distributed lossy source coding
TCS-7215 | Computability of graph Shannon capacity
TCS-7267 | Binary codes beyond the Gilbert–Varshamov bound

Communication complexity and Boolean function analysis
TCS-0053 | Sign-representation
TCS-0218 | Cryptogenography
TCS-0220 | External Information and Amortized Expected Communication
TCS-0464 | Information leakage in distributed OR
TCS-0540 | Communication Complexity of Max-Flow
TCS-0811 | Monochromatic Rectangles in Low-Rank Matrices
TCS-1043 | Superlogarithmic clique-versus-independent-set communication
TCS-1047 | Formula size versus partition complexity
TCS-1059 | Linearizing arbitrary depth-two circuits efficiently
TCS-1061 | Quadratic decision-tree bounds from block sensitivity
TCS-1540 | Influence lower bounds for noisy query complexity
TCS-1845 | Complexity of truth-table decision-tree optimization
TCS-2571 | Communication characterization of nonmonotone Karchmer–Wigderson games
TCS-2658 | Sign-rank bounds from constant margin
TCS-2664 | Removing low-influence directions from convex sets
TCS-3153 | Fourier rank versus sparsity
TCS-4771 | Two-sided versus one-sided randomized communication
TCS-5189 | Approximating decision-tree complexity
TCS-5272 | Multiparty Clique lower bounds in compression games
TCS-5326 | Communication compression to information cost
TCS-5892 | Constant-factor randomized direct sums for total Boolean functions
TCS-6450 | Polynomial relation between classical and quantum communication
TCS-6581 | Mansour’s conjecture
TCS-6603 | Log-rank conjecture
TCS-6604 | Fourier Entropy–Influence conjecture
TCS-6605 | Aaronson–Ambainis conjecture
TCS-6664 | Maximum influence of polynomial threshold functions
TCS-6705 | Sharp low-degree Fourier weight of halfspaces
TCS-6707 | Randomized query complexity of recursive majority-of-three
TCS-6708 | Fourier Min-Entropy–Influence conjecture
TCS-6710 | Number-on-forehead Disjointness complexity
TCS-6711 | Deterministic communication versus monochromatic partition size
TCS-7219 | Aanderaa–Karp–Rosenberg conjecture

Computability and algorithmic information
TCS-0238 | An algorithmic Ahlswede–Körner lemma
TCS-0240 | Communication for algorithmic secret-key agreement
TCS-0247 | Equivalence of Shannon and algorithmic network coding
TCS-0250 | Scaling joint Kolmogorov-complexity profiles
TCS-0254 | Networks characterized by information-flow inequalities
TCS-0279 | Extraction of mutual information about two strings
TCS-0287 | Strong extractors for infinite sequences
TCS-2202 | NP-hardness of conditional polynomial-time pKt
TCS-4185 | Existence of strings without simple optimal hypotheses
TCS-5010 | Unconditional coding theorem for randomized Kolmogorov complexity
TCS-6105 | Computability of the Mandelbrot set
TCS-6646 | Martin’s conjecture
TCS-6647 | Rigidity of the Turing degrees
TCS-6648 | Kolmogorov–Loveland randomness versus Martin-Löf randomness
TCS-6649 | Reversal of Hindman’s theorem to the \(\omega\)-jump
TCS-6679 | Universality of Turing equivalence
TCS-6685 | Busy Beaver \(\mathrm{BB}(6)\)
TCS-7193 | Mortality of \(2\times 2\) integer matrix semigroups

Computational complexity
TCS-0001 | P versus NP
TCS-0002 | NP versus coNP
TCS-0004 | L versus NL
TCS-0015 | Superlinear Boolean circuit lower bounds
TCS-0016 | Exponential circuit lower bounds for 3-SAT
TCS-0017 | Karchmer–Raz–Wigderson conjecture
TCS-0018 | P versus NP intersect coNP
TCS-0019 | Polynomial formulas versus linear circuits
TCS-0020 | Polynomial-size circuits for EXP
TCS-0021 | NP versus P/poly
TCS-0293 | Subquadratic deterministic simulation of nondeterministic space
TCS-0297 | A counting characterization of P with NP access
TCS-0298 | SAT multi-prover proofs using efficient SAT-oracle provers
TCS-0301 | Excluding one-sided randomized quasilinear-time log-space SAT
TCS-0303 | Stronger log-space time lower bounds for SAT
TCS-0305 | Supercubic uniform formula lower bounds for SAT
TCS-0310 | Polynomial-time weighted falsifiability of unambiguous DNFs
TCS-1034 | Largest separation between SUM and OR circuits
TCS-1035 | Cost of restricting linear circuits to depth two
TCS-1036 | Unbounded XOR-over-OR complexity separations
TCS-1040 | Nonlinear-gate advantages for binary linear operators
TCS-1052 | Depth-three lower bounds beyond the switching-lemma barrier
TCS-1053 | Depth-three size bounds beyond exponential square root
TCS-1054 | Exponential lower bounds for unrestricted threshold-of-threshold circuits
TCS-1056 | Majority outside constant-depth modular circuits
TCS-1602 | Deterministic query complexity of tournament kings
TCS-2029 | FBPP versus negligible-error FBPP
TCS-2215 | A real analogue of Toda’s theorem
TCS-2333 | Downward self-reducibility of PLS-complete problems
TCS-2425 | Closure of SZK under truth-table reductions
TCS-2532 | Circuit lower bounds from indistinguishability obfuscation
TCS-2681 | UEOPL versus EOPL
TCS-3509 | Tarski in CLS or EOPL
TCS-3862 | Complete problems for search zero knowledge
TCS-3886 | \(\exists \cdot \mathrm{BPP}\) versus MA
TCS-4468 | Subcube partition complexity versus query complexity
TCS-4746 | Effective enumeration of BPP
TCS-4786 | Complexity of Minimum Circuit Size
TCS-4988 | Existence of TFNP-complete problems
TCS-5593 | Black-Box Hypothesis
TCS-6006 | Complexity of ARRIVAL
TCS-6091 | Exponential depth-three \(\mathrm{AC}^{0}\) lower bounds for E
TCS-6139 | Subexponential derandomization of multipass randomized logspace
TCS-6168 | Does NP-hardness of MCSP imply circuit lower bounds for EXP?
TCS-6285 | Closure of UL under complement
TCS-6455 | Doubly efficient \(\mathrm{IP} = \mathrm{PSPACE}\) for the full time range
TCS-6530 | P versus PSPACE
TCS-6531 | L versus P
TCS-6532 | Strictness of the polynomial hierarchy
TCS-6533 | NL versus UL
TCS-6534 | Berman–Hartmanis conjecture
TCS-6535 | Nonuniform \(\mathrm{TC}^{0}\) versus \(\mathrm{NC}^{1}\)
TCS-6681 | DNF versus d-DNNF succinctness
TCS-6712 | Nonuniform \(\mathrm{NC}^{1}\) versus P/poly
TCS-6714 | Nonuniform \(\mathrm{NC}^{1}\) perfect matching
TCS-6715 | Monotone circuits versus monotone span programs
TCS-6716 | General versus monotone span programs
TCS-6743 | Randomized evasiveness conjecture
TCS-6747 | Graph nonisomorphism in BPP
TCS-6817 | Directed reachability in polynomial time and polylogarithmic space
TCS-6832 | Separations among P, RP and NP
TCS-6934 | Unconditional exclusion of linear-time CNF satisfiability
TCS-6977 | Super-near-linear SAT time lower bounds
TCS-6978 | Separating space from comparable time bounds
TCS-6979 | Independence of P versus NP
TCS-7158 | PH versus PSPACE
TCS-7159 | Hartmanis–Stearns conjecture
TCS-7161 | NEXP versus nonuniform \(\mathrm{TC}^{0}\)
TCS-7243 | Linear-size circuits for stable ternary compaction
TCS-7256 | Reversible simulation in polynomial time and linear space simultaneously
TCS-7257 | Formula versus circuit noise thresholds
TCS-7260 | Closure of d-DNNF under negation
TCS-7268 | Sliding-scale PCP conjecture
TCS-7286 | CLS versus FP
TCS-7321 | \(\mathrm{P}_{R}\) versus \(\mathrm{NP}_{R}\) in the Blum–Shub–Smale model

Computational geometry and metric spaces
TCS-0318 | Planar k-set extremal function
TCS-0327 | Simple Polygonalizations
TCS-0340 | Average Distortion Embeddings
TCS-0377 | Smallest Universal Set of Points for Planar Graphs
TCS-0381 | Flip Graph Connectivity in 3D
TCS-0382 | General Unfoldings of Nonconvex Polyhedra
TCS-0398 | Planar Euclidean Maximum TSP
TCS-0403 | Euclidean Minimum Spanning Tree
TCS-0406 | Dürer’s conjecture
TCS-0408 | Minimum Euclidean Matching in 2D
TCS-0409 | Minimum-Link Path in 2D
TCS-0410 | Output-sensitive Convex Hull in \(\mathbb{R}^{d}\)
TCS-0411 | Point Location in 3D Subdivision
TCS-0416 | Visibility Graph Recognition
TCS-0417 | Voronoi Diagram of Lines in 3D
TCS-0419 | coNP certificates for three-manifold homeomorphism
TCS-0427 | NP certificates for homeomorphism of three-manifolds
TCS-0428 | NP recognition of closed hyperbolic three-manifolds
TCS-0430 | NP-hardness of three-manifold homeomorphism
TCS-0432 | Polynomial flip-distance bounds for three-manifold triangulations
TCS-0970 | Fast JL Transform for Sparse Vectors
TCS-0973 | Sketching Earth Mover Distance
TCS-0990 | Estimating Earth-Mover Distance
TCS-3059 | Freedman’s conjecture
TCS-4454 | Half-snowflake embeddings into Wasserstein p-space
TCS-5875 | Hausdorff distance between semialgebraic sets
TCS-6199 | Decidability of contractibility for finite two-dimensional complexes
TCS-6523 | Kannan–Lovász–Simonovits conjecture
TCS-6524 | Lang–Plaut problem
TCS-6525 | Gupta–Newman–Rabinovich–Sinclair conjecture
TCS-6526 | Optimal size of weak \(\varepsilon\)-nets for convex ranges
TCS-6527 | Constant-distortion Steiner point removal
TCS-6528 | Unknot recognition in polynomial time
TCS-6529 | Optimal \(\ell\)\(_{1}\) distortion of planar Earth Mover Distance
TCS-6573 | Polynomial Hirsch conjecture
TCS-6880 | Efficient constant-distortion cut-cone approximation
TCS-7006 | Optimal input-sparsity subspace embeddings
TCS-7182 | Simultaneous embedding with fixed edges for two graphs
TCS-7184 | Klee’s measure problem
TCS-7189 | Minimum-weight triangulation in NP
TCS-7242 | Decidability of PL four-sphere recognition
TCS-7292 | Polynomial-time recognition of the 3-sphere

Constraint satisfaction
TCS-0441 | Characterizing CSP languages with linear non-redundancy
TCS-0444 | Polynomial kernels for Boolean MinCSP
TCS-0504 | Uniform algorithms across tractable CSPs
TCS-1173 | NP-intermediate \(\omega\)-categorical CSPs
TCS-1555 | VCSP tractability without pp-constructions of \(K_{3}\)
TCS-1807 | Dichotomy for finite-domain restricted CSPs
TCS-1978 | Search tractability of BLP-solvable promise CSPs
TCS-3585 | Exact exponential-time equivalence for nonnegative Boolean Max-CSP
TCS-3678 | Polynomial-time tractability testing for core crisp CSP languages
TCS-3984 | Hardness of coloring 2-colorable 3-uniform hypergraphs
TCS-6635 | Finite-domain promise CSP dichotomy
TCS-6636 | Bodirsky–Pinsker conjecture
TCS-6637 | Constant-colour polynomial-time colouring of 3-colourable graphs
TCS-6675 | Search-to-decision equivalence for finite promise CSPs
TCS-6725 | Logarithmic-color approximation of 3-colorable graphs
TCS-6748 | Boolean decision-Holant dichotomy
TCS-7116 | Universal representation of NP by \(\omega\)-categorical CSPs
TCS-7124 | SNP definability of CSPs in NP
TCS-7237 | Hardness of 6-coloring 3-colorable graphs

Counting and enumeration
TCS-1004 | Deterministic relative counting for DNF
TCS-3037 | Parity subgraph-counting dichotomy
TCS-3635 | Treewidth classification of approximate counting CSP
TCS-4671 | Decision versus approximate counting for fixed-width SAT
TCS-6628 | FPRAS for counting perfect matchings
TCS-6629 | Deterministic FPTAS for the nonnegative permanent
TCS-6671 | FPRAS for counting undirected Euler tours
TCS-6820 | FP versus #P
TCS-6821 | FP = #P from \(\mathrm{P} = \mathrm{NP}\)
TCS-7082 | OutputP versus IncP
TCS-7084 | Time–space separations in polynomial enumeration
TCS-7086 | Incremental polynomial-time binary-matroid circuit enumeration
TCS-7099 | Finite-domain enumeration-CSP dichotomy
TCS-7112 | Output-polynomial hypergraph transversal enumeration
TCS-7221 | FPRAS for #BIS
TCS-7240 | Output-polynomial vertex enumeration
TCS-7320 | #BIS-easiness of Boolean log-supermodular counting CSPs

Cryptography
TCS-0022 | One-way functions from \(\mathrm{P} \ne  \mathrm{NP}\)
TCS-0465 | Sub-square-root share-size exponents in perfect secret sharing
TCS-1138 | Polynomial-time computationally sound NP verification of #SAT
TCS-2732 | Subpolynomial-key perfectly secure three-server DPFs
TCS-3025 | Exponentially hard weak versus strong one-way functions
TCS-4754 | Unconditional zero knowledge for gap circuit complexity
TCS-5013 | Sublinear-communication secure computation with polynomial setup
TCS-5015 | Foundations of quantum cryptography from EFI pairs
TCS-5793 | Pseudorandom functions from hardness of learning
TCS-6454 | Low-noise LPN hardness from Nearest Codeword hardness
TCS-6545 | Public-key encryption from one-way functions
TCS-6546 | One-way permutations from one-way functions
TCS-6547 | Collision-resistant hashing from one-way functions
TCS-6548 | Chosen-ciphertext security from ordinary public-key encryption
TCS-6549 | Oblivious transfer from public-key encryption
TCS-6550 | Circuit obfuscation from polynomial-hard LWE
TCS-6551 | Unleveled fully homomorphic encryption from LWE alone
TCS-6552 | Noninteractive zero knowledge from one-way functions
TCS-6692 | Linear-seed pseudorandom generators from one-way functions
TCS-6871 | Fully homomorphic encryption from worst-case hardness
TCS-6953 | Cryptographic primitives from worst-case or average-case hardness
TCS-7167 | Existence of one-way functions
TCS-7168 | Existence of public-key encryption
TCS-7225 | PZK versus SZK
TCS-7229 | Key agreement from one-way functions
TCS-7272 | Noninteractive SZK versus SZK
TCS-7274 | One-way functions in \(\mathrm{NC}^{0}\) from one-way functions
TCS-7276 | Average-case RSA inversion versus factoring for exponent 65537
TCS-7277 | Fully homomorphic encryption from public-key encryption
TCS-7278 | Identity-based encryption from arbitrary public-key encryption

Data structures
TCS-0300 | Randomized complexity of online labeling
TCS-0474 | Constant-update working-set heaps on pointer machines
TCS-0949 | Data Structure Lower Bound in the Cell Probe Model
TCS-5706 | Unified bound for binary search trees
TCS-5825 | Superconstant word-RAM lower bounds for prefix-U1
TCS-6498 | Dynamic optimality conjecture
TCS-6508 | Deque conjecture
TCS-6540 | Superlogarithmic static cell-probe lower bounds
TCS-6586 | Deterministic linear-time static dictionaries
TCS-7327 | Buffered fully persistent search trees
TCS-7328 | Amortized decrease-key complexity of standard pairing heaps
TCS-7329 | Logarithmic fully retroactive priority queues
TCS-7330 | Simultaneous local and global bounds for confluently persistent tries
TCS-7331 | Constant-time deterministic dynamic dictionaries
TCS-7333 | Subquadratic-space 3SUM indexing with polylogarithmic queries
TCS-7334 | Strong SetDisjointness conjecture
TCS-7338 | Multiphase conjecture
TCS-7340 | Optimal randomized memory-reallocation overhead

Database theory and finite model theory
TCS-0482 | Linear-round convergence over stable semirings
TCS-0487 | Complexity of polymatroid query-size bounds
TCS-0488 | Computability of entropic query-size bounds
TCS-0492 | Conjunctive-query containment under bag semantics
TCS-0494 | Finite controllability from bounded derivation
TCS-0499 | Query evaluation with treewidth parameter
TCS-0502 | Tractable probability versus tractable lineage
TCS-0505 | Uniform reliability of homomorphism-closed queries
TCS-1251 | Output-sensitive evaluation of cyclic queries
TCS-3557 | Does extension preservation eliminate stratified intensional negation?
TCS-3631 | A logic capturing logarithmic space
TCS-4458 | First-order versus successor-invariant logic
TCS-4995 | Entropic width versus submodular width
TCS-6157 | Determinacy and rewriting of regular path queries
TCS-6372 | Cai–Fürer–Immerman definability in choiceless polynomial time
TCS-6645 | Constant-delay conjunctive-query classification
TCS-6678 | FO model checking on hereditary monadically dependent graph classes
TCS-6680 | Decidability of conjunctive-query entailment in SROIQ
TCS-7128 | Unconditional constant-delay query-enumeration lower bounds
TCS-7195 | A logic capturing polynomial time
TCS-7232 | Asser’s problem

Differential privacy
TCS-0506 | Private PAC sample complexity from VC and Littlestone dimensions
TCS-0507 | Optimal regret for private stochastic online learning
TCS-0510 | Cost of privacy in online learning
TCS-3312 | Polynomial-time private convex-hull point selection
TCS-6673 | Optimal error for pure-DP continual counting
TCS-6825 | Computational versus statistical privacy in the curator model
TCS-7236 | Polynomial-time private release of all marginals

Distributed, parallel and sublinear algorithms
TCS-0469 | Maximum independent set in the congested clique
TCS-0515 | Deterministic volume gap
TCS-0519 | Bipartite maximal matching with polynomial-in-degree volume
TCS-0522 | Quantum 3-coloring of cycles in \(o(\log * n)\) rounds
TCS-0524 | LOCAL coloring below square-root degree dependence
TCS-0834 | Estimating a Graph's Degree Distribution
TCS-0836 | Non-Adaptive Group Testing
TCS-0849 | Group Testing
TCS-0940 | Lifting sketching resistance to sublinear streaming resistance
TCS-0950 | Linear Sketching Over $F_2$
TCS-0954 | Metric TSP Cost Approximation
TCS-0969 | Approximating LIS Length in the Streaming Model
TCS-0980 | Random Walks
TCS-0984 | “Ultimate” Deterministic Sparse Recovery
TCS-0985 | $L_\infty$ Estimation
