id,group,name,question_cs,wikipedia_article,wikipedia_url,revision_url,revision_timestamp,retrieved,status,status_note,evidence_locator,evidence_format
WIKI-011,Složitost a derandomizace,Berman–Hartmanis conjecture,Jsou všechny NP-úplné jazyky navzájem polynomiálně izomorfní?,Berman–Hartmanis conjecture,https://en.wikipedia.org/wiki/Berman%E2%80%93Hartmanis_conjecture,https://en.wikipedia.org/w/index.php?oldid=1373364810,2026-09-05T16:11:02Z,2026-09-11,open_as_presented_by_wikipedia,,all NP-complete languages,wikitext
WIKI-012,Složitost a derandomizace,Hartmanis–Stearns conjecture,Musí reálné číslo s rozvojem počitatelným v reálném čase být racionální nebo transcendentní?,Hartmanis–Stearns conjecture,https://en.wikipedia.org/wiki/Hartmanis%E2%80%93Stearns_conjecture,https://en.wikipedia.org/w/index.php?oldid=1302947231,2025-07-28T07:38:57Z,2026-09-11,open_as_presented_by_wikipedia,,real-time,wikitext
WIKI-013,Složitost a derandomizace,Exponential Time Hypothesis (ETH),Vyžaduje 3-SAT exponenciální čas v počtu proměnných?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,exponential time hypothesis,wikitext
WIKI-014,Složitost a derandomizace,Strong Exponential Time Hypothesis (SETH),Blíží se optimální exponenciální základ pro k-SAT s rostoucím k hodnotě 2?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,strong exponential time hypothesis,wikitext
WIKI-015,Složitost a derandomizace,Unique Games Conjecture,Platí tvrzená NP-těžkost rozlišení téměř splnitelných a téměř nesplnitelných unique games?,Unique games conjecture,https://en.wikipedia.org/wiki/Unique_games_conjecture,https://en.wikipedia.org/w/index.php?oldid=1360786672,2026-06-23T16:06:30Z,2026-09-11,open_as_presented_by_wikipedia,,conjecture,wikitext
WIKI-016,Složitost a derandomizace,Small-Set Expansion Hypothesis,Platí hypotéza výpočetní obtížnosti rozpoznávání expanze malých množin?,Small set expansion hypothesis,https://en.wikipedia.org/wiki/Small_set_expansion_hypothesis,https://en.wikipedia.org/w/index.php?oldid=1368726535,2026-08-10T19:16:45Z,2026-09-11,open_as_presented_by_wikipedia,,unproven computational,wikitext
WIKI-017,Složitost a derandomizace,Deterministic polynomial identity testing,Existuje deterministický polynomiální algoritmus pro obecný PIT?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,Schwartz,wikitext
WIKI-018,Složitost a derandomizace,ACC0 versus TC0,Lze funkci majority počítat obvody ACC0?,ACC0,https://en.wikipedia.org/wiki/ACC0,https://en.wikipedia.org/w/index.php?oldid=1363269458,2026-07-09T03:07:07Z,2026-09-11,open_as_presented_by_wikipedia,,majority function,wikitext
WIKI-019,Složitost a derandomizace,TC0 versus NC1,Jsou TC0 a NC1 různé?,TC0,https://en.wikipedia.org/wiki/TC0,https://en.wikipedia.org/w/index.php?oldid=1365865779,2026-07-24T22:17:28Z,2026-09-11,open_as_presented_by_wikipedia,,main open problems,wikitext
WIKI-020,Složitost a derandomizace,NEXP outside nonuniform TC0,Existuje jazyk v NEXP bez polynomiálně velkých obvodů TC0?,Circuit complexity,https://en.wikipedia.org/wiki/Circuit_complexity,https://en.wikipedia.org/w/index.php?oldid=1328197464,2025-12-18T12:57:27Z,2026-09-11,open_as_presented_by_wikipedia,,NEXPTIME,wikitext
WIKI-021,Důkazy a booleovské funkce,Frege proof-size lower bounds,Lze pro explicitní tautologie dokázat superpolynomiální dolní meze velikosti Fregeho důkazů?,Proof complexity,https://en.wikipedia.org/wiki/Proof_complexity,https://en.wikipedia.org/w/index.php?oldid=1373038636,2026-09-03T17:52:22Z,2026-09-11,open_as_presented_by_wikipedia,,lower bound for the Frege,wikitext
WIKI-022,Důkazy a booleovské funkce,Optimal and p-optimal propositional proof systems,"Existuje optimální, respektive p-optimální výrokový důkazový systém?",Proof complexity,https://en.wikipedia.org/wiki/Proof_complexity,https://en.wikipedia.org/w/index.php?oldid=1373038636,2026-09-03T17:52:22Z,2026-09-11,open_as_presented_by_wikipedia,"Dvě související otázky uvedené v jedné položce; nezaměňovat s p-bounded systémy, jejichž existence je ekvivalentní NP = coNP.",optimal or p-optimal,wikitext
WIKI-023,Důkazy a booleovské funkce,Effective polynomial simulation of Extended Frege by Resolution,Simuluje rezoluce Extended Frege v oslabeném smyslu effective polynomial simulation?,Proof complexity,https://en.wikipedia.org/wiki/Proof_complexity,https://en.wikipedia.org/w/index.php?oldid=1373038636,2026-09-03T17:52:22Z,2026-09-11,open_as_presented_by_wikipedia,"Jde o odborně definovanou oslabenou simulaci, nikoli běžnou polynomiální simulaci.",effectively polynomially,wikitext
WIKI-024,Důkazy a booleovské funkce,Weak automatability of Resolution,Jaké standardní předpoklady obtížnosti by vyvrátila slabá automatizovatelnost rezoluce?,Proof complexity,https://en.wikipedia.org/wiki/Proof_complexity,https://en.wikipedia.org/w/index.php?oldid=1373038636,2026-09-03T17:52:22Z,2026-09-11,open_as_presented_by_wikipedia,,weak automatability of Resolution,wikitext
WIKI-025,Důkazy a booleovské funkce,Log-rank conjecture,Je deterministická komunikační složitost polynomiálně omezená logaritmem hodnosti komunikační matice?,Log-rank conjecture,https://en.wikipedia.org/wiki/Log-rank_conjecture,https://en.wikipedia.org/w/index.php?oldid=1301706576,2025-07-21T07:45:21Z,2026-09-11,open_as_presented_by_wikipedia,,conjecture,wikitext
WIKI-026,Důkazy a booleovské funkce,Fourier Entropy–Influence conjecture,Je Fourierova entropie booleovské funkce nejvýše konstantním násobkem jejího celkového vlivu?,Entropy influence conjecture,https://en.wikipedia.org/wiki/Entropy_influence_conjecture,https://en.wikipedia.org/w/index.php?oldid=1117960858,2022-10-24T13:11:18Z,2026-09-11,open_as_presented_by_wikipedia,,entropy,wikitext
WIKI-027,Kvantové výpočty a kryptografie,BQP versus NP,"Jaký je vztah BQP a NP, zejména obsahuje BQP celou NP?",BQP,https://en.wikipedia.org/wiki/BQP,https://en.wikipedia.org/w/index.php?oldid=1374246676,2026-09-10T19:58:32Z,2026-09-11,open_as_presented_by_wikipedia,,relation between BQP and NP,plain_text
WIKI-028,Kvantové výpočty a kryptografie,QMA versus QCMA,Je kvantový certifikát silnější než klasický certifikát ověřovaný kvantovým algoritmem?,QMA,https://en.wikipedia.org/wiki/QMA,https://en.wikipedia.org/w/index.php?oldid=1368670417,2026-08-10T12:03:58Z,2026-09-11,open_as_presented_by_wikipedia,,whether QMA equals QCMA,wikitext
WIKI-029,Kvantové výpočty a kryptografie,Quantum PCP conjecture,Je aproximace energie lokálního Hamiltoniánu s konstantní relativní chybou QMA-těžká?,NLTS conjecture,https://en.wikipedia.org/wiki/NLTS_conjecture,https://en.wikipedia.org/w/index.php?oldid=1326614245,2025-12-09T22:46:32Z,2026-09-11,open_as_presented_by_wikipedia,,Quantum PCP conjecture,wikitext
WIKI-030,Kvantové výpočty a kryptografie,No low-energy sampleable states conjecture,"Existují lokální Hamiltoniány, jejichž všechny nízkoenergetické stavy nemají efektivně klasicky vzorkovatelné výsledky měření?",NLTS conjecture,https://en.wikipedia.org/wiki/NLTS_conjecture,https://en.wikipedia.org/w/index.php?oldid=1326614245,2025-12-09T22:46:32Z,2026-09-11,open_as_presented_by_wikipedia,,No low-energy sampleable states,wikitext
WIKI-031,Kvantové výpočty a kryptografie,Efficient nonabelian Hidden Subgroup Problem,Existuje efektivní kvantový algoritmus pro HSP nad obecnými konečnými grupami?,Hidden subgroup problem,https://en.wikipedia.org/wiki/Hidden_subgroup_problem,https://en.wikipedia.org/w/index.php?oldid=1370171150,2026-08-19T14:24:54Z,2026-09-11,open_as_presented_by_wikipedia,,arbitrary groups is open,wikitext
WIKI-032,Kvantové výpočty a kryptografie,Existence of one-way functions,Existují jednosměrné funkce?,One-way function,https://en.wikipedia.org/wiki/One-way_function,https://en.wikipedia.org/w/index.php?oldid=1368790985,2026-08-11T03:09:55Z,2026-09-11,open_as_presented_by_wikipedia,,Do one-way functions exist,wikitext
WIKI-033,Kvantové výpočty a kryptografie,Existence of secure public-key cryptography,Lze prokázat existenci bezpečné kryptografie s veřejným klíčem?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,"Otázka nepodmíněné existence, nikoli existence prakticky používaných schémat.",public-key cryptography,wikitext
WIKI-034,Algebra a výpočetní teorie čísel,Classical polynomial-time integer factorization,Lze celá čísla faktorizovat v klasickém polynomiálním čase?,Integer factorization,https://en.wikipedia.org/wiki/Integer_factorization,https://en.wikipedia.org/w/index.php?oldid=1374099499,2026-09-09T21:04:56Z,2026-09-11,open_as_presented_by_wikipedia,,polynomial time on a classical,wikitext
WIKI-035,Algebra a výpočetní teorie čísel,Classical polynomial-time discrete logarithm,Lze diskrétní logaritmus obecně počítat v klasickém polynomiálním čase?,Discrete logarithm,https://en.wikipedia.org/wiki/Discrete_logarithm,https://en.wikipedia.org/w/index.php?oldid=1374186946,2026-09-10T10:52:12Z,2026-09-11,open_as_presented_by_wikipedia,,polynomial time on a classical,wikitext
WIKI-036,Algebra a výpočetní teorie čísel,Polynomial-time exact Shortest Vector Problem,Existuje klasický nebo kvantový polynomiální algoritmus pro přesný SVP?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,shortest vector,wikitext
WIKI-037,Algebra a výpočetní teorie čísel,Square-root sum problem,Lze v Turingově modelu polynomiálně rozhodnout porovnání součtu odmocnin s daným číslem?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,square-root sum,wikitext
WIKI-038,Algebra a výpočetní teorie čísel,VP versus VNP / permanent circuit lower bounds,Vyžaduje permanent superpolynomiálně velké aritmetické obvody nad polem charakteristiky různé od 2?,Arithmetic circuit complexity,https://en.wikipedia.org/wiki/Arithmetic_circuit_complexity,https://en.wikipedia.org/w/index.php?oldid=1373729512,2026-09-07T16:33:45Z,2026-09-11,open_as_presented_by_wikipedia,,VP vs. VNP,wikitext
WIKI-039,Algebra a výpočetní teorie čísel,Shub–Smale tau-conjecture,Je počet různých celočíselných kořenů polynomu polynomiálně omezen délkou jeho aritmetického výpočtu?,Smale's problems,https://en.wikipedia.org/wiki/Smale%27s_problems,https://en.wikipedia.org/w/index.php?oldid=1374065491,2026-09-09T16:29:46Z,2026-09-11,open_as_presented_by_wikipedia,,tau-conjecture,wikitext
WIKI-040,Algebra a výpočetní teorie čísel,Scholz conjecture on addition chains,Platí Scholzova horní mez pro délku sčítacího řetězce pro 2^n − 1?,Scholz conjecture,https://en.wikipedia.org/wiki/Scholz_conjecture,https://en.wikipedia.org/w/index.php?oldid=1286134739,2025-04-17T23:24:24Z,2026-09-11,open_as_presented_by_wikipedia,,conjecture,wikitext
WIKI-041,Algebra a výpočetní teorie čísel,Baillie–PSW primality-test counterexample,"Existuje složené číslo, které projde Baillieho–PSW testem prvočíselnosti?",Baillie–PSW primality test,https://en.wikipedia.org/wiki/Baillie%E2%80%93PSW_primality_test,https://en.wikipedia.org/w/index.php?oldid=1373709147,2026-09-07T13:47:32Z,2026-09-11,open_as_presented_by_wikipedia,,composite number that passes,wikitext
WIKI-042,"Algoritmy, datové struktury a optimalizace",Dynamic optimality of splay trees,Dosahují splay stromy na každé posloupnosti přístupů ceny v konstantním poměru k optimálnímu BST?,Splay tree,https://en.wikipedia.org/wiki/Splay_tree,https://en.wikipedia.org/w/index.php?oldid=1357662481,2026-06-03T22:44:28Z,2026-09-11,open_as_presented_by_wikipedia,,Dynamic optimality conjecture,wikitext
WIKI-043,"Algoritmy, datové struktury a optimalizace",Traversal conjecture for splay trees,Zpracuje splay strom preorder jiné struktury na stejných klíčích v lineárním čase?,Splay tree,https://en.wikipedia.org/wiki/Splay_tree,https://en.wikipedia.org/w/index.php?oldid=1357662481,2026-06-03T22:44:28Z,2026-09-11,open_as_presented_by_wikipedia,,Traversal conjecture,wikitext
WIKI-044,"Algoritmy, datové struktury a optimalizace",Deque conjecture for splay trees,Mají deque operace implementované splay stromem konstantní amortizovanou cenu?,Splay tree,https://en.wikipedia.org/wiki/Splay_tree,https://en.wikipedia.org/w/index.php?oldid=1357662481,2026-06-03T22:44:28Z,2026-09-11,open_as_presented_by_wikipedia,,Deque conjecture,wikitext
WIKI-045,"Algoritmy, datové struktury a optimalizace",Split conjecture for splay trees,Má posloupnost rozdělení splay stromu v součtu lineární cenu?,Splay tree,https://en.wikipedia.org/wiki/Splay_tree,https://en.wikipedia.org/w/index.php?oldid=1357662481,2026-06-03T22:44:28Z,2026-09-11,open_as_presented_by_wikipedia,,Split conjecture,wikitext
WIKI-046,"Algoritmy, datové struktury a optimalizace",Optimal deterministic minimum spanning tree complexity,Jaká je optimální deterministická složitost MST v obecném porovnávacím modelu?,Minimum spanning tree,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/w/index.php?oldid=1371401929,2026-08-26T06:19:07Z,2026-09-11,open_as_presented_by_wikipedia,,decision trees,wikitext
WIKI-047,"Algoritmy, datové struktury a optimalizace",Depth-first search in NC,Lze nějaký DFS strom obecného grafu zkonstruovat v NC?,Depth-first search,https://en.wikipedia.org/wiki/Depth-first_search,https://en.wikipedia.org/w/index.php?oldid=1363174330,2026-07-08T14:39:37Z,2026-09-11,open_as_presented_by_wikipedia,Nejde o DFS s předepsaným lexikografickým pořadím sousedů.,deterministic parallel algorithm,wikitext
WIKI-048,"Algoritmy, datové struktury a optimalizace",Faster X + Y sorting,Lze součty všech dvojic ze dvou n-prvkových množin seřadit rychleji než O(n² log n)?,X + Y sorting,https://en.wikipedia.org/wiki/X_%2B_Y_sorting,https://en.wikipedia.org/w/index.php?oldid=1328369276,2025-12-19T13:18:48Z,2026-09-11,open_as_presented_by_wikipedia,,faster algorithm exists,wikitext
WIKI-049,"Algoritmy, datové struktury a optimalizace",Optimal average-case Shellsort complexity,Jaká je nejlepší průměrná složitost Shellsortu s pevnou deterministickou posloupností mezer?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,Shellsort,wikitext
WIKI-050,"Algoritmy, datové struktury a optimalizace",Optimal integer multiplication complexity,Je O(n log n) optimální bitová složitost násobení n-bitových čísel?,Multiplication algorithm,https://en.wikipedia.org/wiki/Multiplication_algorithm,https://en.wikipedia.org/w/index.php?oldid=1372948294,2026-09-03T03:29:52Z,2026-09-11,open_as_presented_by_wikipedia,,no matching algorithm,wikitext
WIKI-051,"Algoritmy, datové struktury a optimalizace",FFT lower bounds,Vyžaduje diskrétní Fourierova transformace v obecných příslušných modelech Ω(n log n) operací?,Fast Fourier transform,https://en.wikipedia.org/wiki/Fast_Fourier_transform,https://en.wikipedia.org/w/index.php?oldid=1371031345,2026-08-24T05:33:06Z,2026-09-11,open_as_presented_by_wikipedia,,lower bounds,wikitext
WIKI-052,"Algoritmy, datové struktury a optimalizace",Matrix multiplication exponent: omega = 2?,Je exponent násobení matic roven 2?,Computational complexity of matrix multiplication,https://en.wikipedia.org/wiki/Computational_complexity_of_matrix_multiplication,https://en.wikipedia.org/w/index.php?oldid=1373520723,2026-09-06T12:42:46Z,2026-09-11,open_as_presented_by_wikipedia,,fastest algorithm,wikitext
WIKI-053,"Algoritmy, datové struktury a optimalizace",Strongly polynomial linear programming,Existuje silně polynomiální algoritmus pro lineární programování?,Linear programming,https://en.wikipedia.org/wiki/Linear_programming,https://en.wikipedia.org/w/index.php?oldid=1373521375,2026-09-06T12:48:30Z,2026-09-11,open_as_presented_by_wikipedia,,strongly polynomial-time algorithm,wikitext
WIKI-054,"Algoritmy, datové struktury a optimalizace",Polynomial-time simplex pivot rule,Existuje pivotovací pravidlo zajišťující polynomiální nejhorší čas simplexové metody?,Linear programming,https://en.wikipedia.org/wiki/Linear_programming,https://en.wikipedia.org/w/index.php?oldid=1373521375,2026-09-06T12:48:30Z,2026-09-11,open_as_presented_by_wikipedia,,pivot rules,wikitext
WIKI-055,"Algoritmy, datové struktury a optimalizace",Polynomial diameter of polytopes,Je průměr grafu polytopu polynomiálně omezen jeho dimenzí a počtem stěn?,Linear programming,https://en.wikipedia.org/wiki/Linear_programming,https://en.wikipedia.org/w/index.php?oldid=1373521375,2026-09-06T12:48:30Z,2026-09-11,open_as_presented_by_wikipedia,,polynomially bounded diameter,wikitext
WIKI-056,"Algoritmy, datové struktury a optimalizace",Deterministic k-server conjecture,Existuje k-kompetitivní deterministický algoritmus pro k-server v libovolné metrice?,K-server problem,https://en.wikipedia.org/wiki/K-server_problem,https://en.wikipedia.org/w/index.php?oldid=1352284744,2026-05-03T08:51:19Z,2026-09-11,open_as_presented_by_wikipedia,,competitive ratio exactly,wikitext
WIKI-057,"Algoritmy, datové struktury a optimalizace",Exact pancake numbers,Jaký je nejhorší minimální počet prefixových otočení potřebných k setřídění permutace délky n?,Pancake sorting,https://en.wikipedia.org/wiki/Pancake_sorting,https://en.wikipedia.org/w/index.php?oldid=1357477976,2026-06-02T21:59:52Z,2026-09-11,open_as_presented_by_wikipedia,,exact value is not known,wikitext
WIKI-058,"Algoritmy, datové struktury a optimalizace",1/3–2/3 conjecture,Obsahuje každý konečný netotální poset dvojici s pravděpodobností pořadí v náhodné lineární extenzi mezi 1/3 a 2/3?,1/3–2/3 conjecture,https://en.wikipedia.org/wiki/1/3%E2%80%932/3_conjecture,https://en.wikipedia.org/w/index.php?oldid=1368808118,2026-08-11T06:00:58Z,2026-09-11,open_as_presented_by_wikipedia,,remains unsolved,wikitext
WIKI-059,"Algoritmy, datové struktury a optimalizace",Gold partition conjecture,"Lze vybrat dvě navazující porovnání tak, aby pro každý výsledek platilo t0 ≥ t1 + t2, kde ti je počet zbývajících lineárních extenzí po i porovnáních?",1/3–2/3 conjecture,https://en.wikipedia.org/wiki/1/3%E2%80%932/3_conjecture,https://en.wikipedia.org/w/index.php?oldid=1368808118,2026-08-11T06:00:58Z,2026-09-11,open_as_presented_by_wikipedia,,gold partition conjecture,wikitext
WIKI-060,Jemná složitost a enumerace,Truly subquadratic 3SUM,Existuje pro obecný 3SUM algoritmus O(n^(2−ε)) pro konstantní ε > 0?,3SUM,https://en.wikipedia.org/wiki/3SUM,https://en.wikipedia.org/w/index.php?oldid=1321403038,2025-11-10T09:06:09Z,2026-09-11,open_as_presented_by_wikipedia,Původní přísná kvadratická domněnka byla vyvrácena; tato silnější úspora exponentu zůstává otázkou.,Is there an algorithm to solve,wikitext
WIKI-061,Jemná složitost a enumerace,Truly subquadratic edit distance,Lze přesnou editační vzdálenost dvou n-znakových řetězců počítat v O(n^(2−ε))?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,edit distance,wikitext
WIKI-062,Jemná složitost a enumerace,Truly subcubic all-pairs shortest paths,Existuje obecný algoritmus pro vážené APSP v O(n^(3−ε))?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,all-pairs shortest paths,wikitext
WIKI-063,Jemná složitost a enumerace,Online matrix-vector multiplication conjecture,Lze n online násobení booleovské n×n matice vektorem provést v celkovém O(n^(3−ε))?,Online matrix-vector multiplication problem,https://en.wikipedia.org/wiki/Online_matrix-vector_multiplication_problem,https://en.wikipedia.org/w/index.php?oldid=1327696966,2025-12-15T19:20:38Z,2026-09-11,open_as_presented_by_wikipedia,,O(n,wikitext
WIKI-064,Jemná složitost a enumerace,Output-polynomial monotone dualization,Lze vypsat všechny minimální transverzály hypergrafu v čase polynomiálním ve velikosti vstupu a výstupu?,Monotone dualization,https://en.wikipedia.org/wiki/Monotone_dualization,https://en.wikipedia.org/w/index.php?oldid=1329896201,2025-12-28T13:38:59Z,2026-09-11,open_as_presented_by_wikipedia,"Zahrnuje ekvivalentní formulace přes minimální hitting sets, monotónní dualizaci a přesné učení s výstupem CNF i DNF.",polynomial time is an open problem,plain_text
WIKI-065,Geometrie a grafové algoritmy,Polynomial-time graph isomorphism,Lze izomorfismus obecných grafů rozhodnout v polynomiálním čase?,Graph isomorphism problem,https://en.wikipedia.org/wiki/Graph_isomorphism_problem,https://en.wikipedia.org/w/index.php?oldid=1350231769,2026-04-20T21:14:41Z,2026-09-11,open_as_presented_by_wikipedia,,solved in polynomial time,wikitext
WIKI-066,Geometrie a grafové algoritmy,Graph canonization versus graph isomorphism,Je kanonizace grafů polynomiálně ekvivalentní testování izomorfismu?,Graph canonization,https://en.wikipedia.org/wiki/Graph_canonization,https://en.wikipedia.org/w/index.php?oldid=1330143987,2025-12-29T18:39:50Z,2026-09-11,open_as_presented_by_wikipedia,,polynomial-time equivalent,wikitext
WIKI-067,Geometrie a grafové algoritmy,Exact bounded clique-width recognition,Lze pro každé pevné k rozpoznat grafy s clique-width nejvýše k v polynomiálním čase?,Clique-width,https://en.wikipedia.org/wiki/Clique-width,https://en.wikipedia.org/w/index.php?oldid=1368637779,2026-08-10T06:09:08Z,2026-09-11,open_as_presented_by_wikipedia,,clique-width four,wikitext
WIKI-068,Geometrie a grafové algoritmy,Polynomial-time planar treewidth,Lze treewidth rovinných grafů počítat v polynomiálním čase?,Treewidth,https://en.wikipedia.org/wiki/Treewidth,https://en.wikipedia.org/w/index.php?oldid=1371069928,2026-08-24T11:48:51Z,2026-09-11,open_as_presented_by_wikipedia,,treewidth of planar graphs,wikitext
WIKI-069,Geometrie a grafové algoritmy,Simultaneous Embedding with Fixed Edges (two graphs),Lze existenci SEFE pro dva grafy rozhodnout v polynomiálním čase?,Simultaneous embedding,https://en.wikipedia.org/wiki/Simultaneous_embedding,https://en.wikipedia.org/w/index.php?oldid=1346186093,2026-03-30T12:04:08Z,2026-09-11,open_as_presented_by_wikipedia,,two given graphs,wikitext
WIKI-070,Geometrie a grafové algoritmy,Polynomial-time simple closed quasigeodesic,Lze na konvexním mnohostěnu najít jednoduchou uzavřenou kvazigeodetiku v polynomiálním čase?,Theorem of the three geodesics,https://en.wikipedia.org/wiki/Theorem_of_the_three_geodesics,https://en.wikipedia.org/w/index.php?oldid=1366292263,2026-07-27T05:22:40Z,2026-09-11,open_as_presented_by_wikipedia,,quasigeodesics can be constructed,wikitext
WIKI-071,Geometrie a grafové algoritmy,Klee's measure problem in dimension at least three,Jaká je optimální složitost výpočtu objemu sjednocení osově rovnoběžných boxů v dimenzi alespoň tři?,Klee's measure problem,https://en.wikipedia.org/wiki/Klee%27s_measure_problem,https://en.wikipedia.org/w/index.php?oldid=1321323809,2025-11-09T22:45:42Z,2026-09-11,open_as_presented_by_wikipedia,,d ≥ 3,wikitext
WIKI-072,Geometrie a grafové algoritmy,Optimal higher-dimensional Euclidean MST complexity,Jaká je optimální složitost eukleidovské MST ve vyšších pevných dimenzích?,Euclidean minimum spanning tree,https://en.wikipedia.org/wiki/Euclidean_minimum_spanning_tree,https://en.wikipedia.org/w/index.php?oldid=1368650159,2026-08-10T08:08:33Z,2026-09-11,open_as_presented_by_wikipedia,,higher-dimensional minimum spanning trees,wikitext
